00000001d6536248 (__DATA,__data) non-external _C
00000001801fda90 (__TEXT,__text) external ___sflags
00000001801fd484 (__TEXT,__text) external ___sflush
00000001801fdb58 (__TEXT,__text) external ___sfp
00000001801fdd3c (__TEXT,__text) non-external (was a private external) ___sfprelease
00000001801f14fc (__TEXT,__text) external ___sfvwrite
000000018022f538 (__TEXT,__text) non-external (was a private external) ___sgetrune
00000001d65364e8 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00000001801f9124 (__TEXT,__text) external ___sinit
0000000180223ba4 (__TEXT,__text) external ___slbexpand
00000001802036c4 (__TEXT,__text) external ___smakebuf
00000001801f1868 (__TEXT,__text) external ___snprintf_chk
0000000180264c34 (__TEXT,__text) external ___snprintf_object_size_chk
0000000180236530 (__TEXT,__text) external ___split_page
0000000180252244 (__TEXT,__text) non-external ___sprint
00000001801f9a6c (__TEXT,__text) external ___sprintf_chk
0000000180264d5c (__TEXT,__text) external ___sprintf_object_size_chk
000000018022f638 (__TEXT,__text) non-external (was a private external) ___sputrune
000000018021e6fc (__TEXT,__text) external ___sread
00000001801f8f8c (__TEXT,__text) external ___srefill
00000001801f8fd8 (__TEXT,__text) non-external (was a private external) ___srefill0
00000001801f9588 (__TEXT,__text) non-external (was a private external) ___srefill1
0000000180214a60 (__TEXT,__text) external ___srget
000000018021e824 (__TEXT,__text) external ___sseek
0000000180257ce8 (__TEXT,__text) external ___stack_chk_fail
00000001d9289798 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
00000001d65364c8 (__DATA,__data) external ___stderrp
00000001d65364b8 (__DATA,__data) external ___stdinp
00000001d6537f58 (__DATA,__bss) non-external ___stdout_evp
00000001d65364c0 (__DATA,__data) external ___stdoutp
0000000180264cec (__TEXT,__text) external ___stpcpy_chk
0000000180264dc8 (__TEXT,__text) external ___stpncpy_chk
00000001801f27d4 (__TEXT,__text) external ___strcat_chk
000000018023ae4c (__TEXT,__text) external ___strcp_D2A
00000001801fb0c0 (__TEXT,__text) external ___strcpy_chk
00000001d9287f38 (__DATA_DIRTY,__bss) non-external ___stream_max
00000001d6538140 (__DATA,__bss) non-external ___strerror_ebuf
00000001801f7364 (__TEXT,__text) external ___strlcat_chk
00000001801f203c (__TEXT,__text) external ___strlcpy_chk
00000001801f4588 (__TEXT,__text) external ___strncat_chk
00000001801f9fbc (__TEXT,__text) external ___strncpy_chk
0000000180200650 (__TEXT,__text) external ___strtodg
000000018023afb8 (__TEXT,__text) external ___strtopdd
0000000180268650 (__TEXT,__const) non-external ___strtopdd.fpi0
000000018021d4c0 (__TEXT,__text) external ___sum_D2A
000000018024f070 (__TEXT,__text) external ___svfscanf
00000001801f7594 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
0000000180268d38 (__TEXT,__const) non-external ___svfscanf_l.basefix
0000000180220fc0 (__TEXT,__text) external ___swbuf
00000001802038f8 (__TEXT,__text) external ___swhatbuf
0000000180220598 (__TEXT,__text) external ___swrite
00000001802109e4 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___sysctlbyname (from libsystem_kernel)
00000001d65365b8 (__DATA,__data) non-external ___systemfn_mutex
00000001d65366b0 (__DATA,__data) non-external ___systemfn_mutex
0000000180268470 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
0000000180227e54 (__TEXT,__text) non-external ___thread_stack_async_pcs
0000000180227c4c (__TEXT,__text) non-external ___thread_stack_pcs
0000000180212d88 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00000001d6538138 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180268448 (__TEXT,__const) external ___tinytens_D2A
00000001801f46b4 (__TEXT,__text) external ___tolower
0000000180244ac0 (__TEXT,__text) external ___tolower_l
00000001801f46f0 (__TEXT,__text) external ___toupper
0000000180244aa0 (__TEXT,__text) external ___toupper_l
000000018021d60c (__TEXT,__text) external ___trailz_D2A
0000000180215898 (__TEXT,__text) external ___ulp_D2A
00000001801f18e4 (__TEXT,__text) non-external ___ultoa
0000000180251e80 (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
0000000180214b28 (__TEXT,__text) external ___ungetc
000000018024e4cc (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00000001801f23dc (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00000001802691b9 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00000001802609d8 (__TEXT,__text) non-external (was a private external) ___utmpxname
00000001d6538200 (__DATA,__bss) non-external ___utx__
0000000180268038 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00000001801ee16c (__TEXT,__text) non-external (was a private external) ___v2printf
00000001801ee4e0 (__TEXT,__text) non-external (was a private external) ___vfprintf
0000000180268cf7 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
0000000180268d07 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
000000018024f2cc (__TEXT,__text) non-external (was a private external) ___vfwprintf
0000000180268d5c (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
0000000180268d6c (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180252434 (__TEXT,__text) non-external (was a private external) ___vfwscanf
0000000180268e58 (__TEXT,__const) non-external ___vfwscanf.basefix
00000001801ff63c (__TEXT,__text) external ___vsnprintf_chk
0000000180264c7c (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180245680 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00000001802453d4 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00000001802449b4 (__TEXT,__text) external ___wcwidth
0000000180244ae0 (__TEXT,__text) external ___wcwidth_l
00000001802117e4 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
000000018020ee1c (__TEXT,__text) non-external (was a private external) ___xlocale_init
000000018022bc58 (__TEXT,__text) non-external ___xlocale_release
000000018021e88c (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180265024 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00000001d6536250 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
000000018025f7cc (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00000001801ff1f8 (__TEXT,__text) non-external (was a private external) ___xvprintf
000000018025a6e0 (__TEXT,__text) external __allocenvstate
000000018023b44c (__TEXT,__text) non-external (was a private external) __arc4_fork_child
0000000180242000 (__TEXT,__text) non-external (was a private external) __ascii_init
0000000180242064 (__TEXT,__text) non-external __ascii_mbrtowc
00000001802420c0 (__TEXT,__text) non-external __ascii_mbsinit
00000001802420c8 (__TEXT,__text) non-external __ascii_mbsnrtowcs
0000000180242194 (__TEXT,__text) non-external __ascii_wcrtomb
00000001802421d0 (__TEXT,__text) non-external __ascii_wcsnrtombs
0000000180227408 (__TEXT,__text) external __atexit_receipt
00000001d6537560 (__DATA,__bss) non-external __atexit_receipt_enabled
00000001802024d0 (__TEXT,__text) non-external __backtrace_snprintf
0000000180224130 (__TEXT,__text) non-external __boottime_fallback_usec
00000001d19be1d8 (__DATA_CONST,__const) external __c_locale
0000000180217ed8 (__TEXT,__text) external __cleanup
0000000180229348 (__TEXT,__text) external __closeutx
000000018025a6e4 (__TEXT,__text) external __copyenv
00000001d92a1498 (__AUTH,__data) external __cthread_init_routine
000000018025a770 (__TEXT,__text) external __deallocenvstate
000000018021e504 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00000001d6538228 (__DATA,__common) non-external (was a private external) __e_err_exit
00000001d6538220 (__DATA,__common) non-external (was a private external) __e_err_file
000000018023b6d0 (__TEXT,__text) non-external (was a private external) __e_visprintf
000000018025fe88 (__TEXT,__text) external __endutxent
00000001802668b0 (__TEXT,__text) non-external __endutxent.cold.1
00000001802668e8 (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
000000018023ea00 (__TEXT,__text) non-external (was a private external) __filldir
0000000180240c64 (__TEXT,__text) non-external (was a private external) __fixtelldir
0000000180249f88 (__TEXT,__text) external __flockfile_debug_stub
0000000180220218 (__TEXT,__text) external __fseeko
000000018021e71c (__TEXT,__text) external __ftello
0000000180217eec (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
0000000180257e90 (__TEXT,__text) external __getenvp
00000001802601a8 (__TEXT,__text) external __getutxent
0000000180266920 (__TEXT,__text) non-external __getutxent.cold.1
0000000180266958 (__TEXT,__text) non-external __getutxent.cold.2
0000000180260258 (__TEXT,__text) external __getutxid
0000000180266990 (__TEXT,__text) non-external __getutxid.cold.1
00000001802669c8 (__TEXT,__text) non-external __getutxid.cold.2
000000018026045c (__TEXT,__text) external __getutxline
0000000180266a00 (__TEXT,__text) non-external __getutxline.cold.1
0000000180266a38 (__TEXT,__text) non-external __getutxline.cold.2
00000001801fe94c (__TEXT,__text) external __inet_aton_check
000000018020eda4 (__TEXT,__text) external __init_clock_port
0000000180255158 (__TEXT,__text) external __int_to_time
00000001801fa0f0 (__TEXT,__text) non-external __isort
0000000180258fac (__TEXT,__text) non-external __isort
000000018025a634 (__TEXT,__text) non-external __legacy_crt1_environ
00000001d9287f00 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00000001d6537b68 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00000001d9287ef8 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00000001d6537b60 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00000001d9287ef0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00000001d6537b58 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
000000018022ecc0 (__TEXT,__text) external __libc_fork_child
000000018020ecf8 (__TEXT,__text) non-external (was a private external) __libc_fork_init
000000018020ec58 (__TEXT,__text) external __libc_initializer
0000000180255150 (__TEXT,__text) external __long_to_time
0000000180223f64 (__TEXT,__text) non-external __mach_boottime_usec
000000018022741c (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00000001d6537564 (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00000001d9287ee8 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
000000018021d2c8 (__TEXT,__text) non-external __mkdtemp_action
0000000180223158 (__TEXT,__text) non-external __mkfilex_np
000000018020e6c8 (__TEXT,__text) non-external __mkostemps_action
00000001801fb8f4 (__TEXT,__text) non-external __mkpath
000000018021e1d4 (__TEXT,__text) external __mkpath_np
000000018024b8bc (__TEXT,__text) non-external __mkstemp_dprotected_np_action
0000000180265f70 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
000000018024b7dc (__TEXT,__text) external __mktemp
0000000180204188 (__TEXT,__text) non-external __mktemp_action
0000000180244b24 (__TEXT,__text) non-external (was a private external) __none_init
000000018021a8d4 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
0000000180244b88 (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180244b90 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
0000000180217e9c (__TEXT,__text) non-external (was a private external) __none_wcrtomb
0000000180244c2c (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00000001d6537d10 (__DATA,__bss) non-external __onlyClocaleconv
00000001802292bc (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001802650cc (__TEXT,__text) external __os_assert_log
0000000180265420 (__TEXT,__text) external __os_assert_log_ctx
00000001802145a0 (__TEXT,__text) external __os_assumes_log
0000000180265284 (__TEXT,__text) external __os_assumes_log_ctx
00000001801f9c08 (__TEXT,__text) external __os_avoid_tail_call
000000018026505c (__TEXT,__text) external __os_crash
00000001d6538210 (__DATA,__common) external __os_crash_callback
000000018022fbdc (__TEXT,__text) external __os_crash_fmt
000000018026559c (__TEXT,__text) non-external __os_crash_fmt.cold.1
0000000180264ee4 (__TEXT,__text) external __os_debug_log
0000000180229580 (__TEXT,__text) external __os_debug_log_error_offset
0000000180214834 (__TEXT,__text) external __os_debug_log_error_str
0000000180214848 (__TEXT,__text) non-external __os_debug_log_init
0000000180229620 (__TEXT,__text) non-external __os_debug_log_open_file
00000001802293d0 (__TEXT,__text) non-external __os_debug_log_write
0000000180229590 (__TEXT,__text) non-external __os_debug_log_write_error
                 (undefined) external __os_log_pack_fill (from libsystem_trace)
                 (undefined) external __os_log_pack_size (from libsystem_trace)
0000000180214744 (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_once (from libsystem_platform)
00000001801f1f5c (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00000001801f1ad4 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00000001801f1ec4 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001da4498a8 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
000000018026af90 (__TEXT,__cstring) non-external __printf_tbl_flags
000000018020ecc0 (__TEXT,__text) non-external (was a private external) __program_vars_init
000000018025bb58 (__TEXT,__text) non-external __psort
000000018025c6a8 (__TEXT,__text) non-external __psort
000000018025d180 (__TEXT,__text) non-external __psort
00000001802664c4 (__TEXT,__text) non-external __psort.cold.1
0000000180266514 (__TEXT,__text) non-external __psort.cold.1
0000000180266564 (__TEXT,__text) non-external __psort.cold.1
000000018025baec (__TEXT,__text) non-external __psort_parallel
000000018025c63c (__TEXT,__text) non-external __psort_parallel
000000018025d110 (__TEXT,__text) non-external __psort_parallel
0000000180258500 (__TEXT,__text) external __putenvp
0000000180260564 (__TEXT,__text) external __pututxline
0000000180266a70 (__TEXT,__text) non-external __pututxline.cold.1
0000000180266aa8 (__TEXT,__text) non-external __pututxline.cold.2
0000000180227f34 (__TEXT,__text) non-external __pwuid_r
000000018021d920 (__TEXT,__text) non-external __qsort
0000000180258630 (__TEXT,__text) non-external __qsort
00000001d6536280 (__DATA,__data) external __rand48_add
00000001d6536278 (__DATA,__data) external __rand48_mult
00000001d6536270 (__DATA,__data) external __rand48_seed
000000018023f1a4 (__TEXT,__text) external __readdir_unlocked
00000001801f2fbc (__TEXT,__text) external __reclaim_telldir
00000001802032e8 (__TEXT,__text) non-external __releaselocale
00000001802690ec (__TEXT,__const) non-external (was a private external) __rp_alist
00000001d92897e0 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
0000000180240b98 (__TEXT,__text) external __seekdir
000000018025a7cc (__TEXT,__text) external __setenvp
000000018025fd60 (__TEXT,__text) external __setutxent
0000000180266840 (__TEXT,__text) non-external __setutxent.cold.1
0000000180266878 (__TEXT,__text) non-external __setutxent.cold.2
000000018022ee40 (__TEXT,__text) external __sigaction_nobind
00000001d6538248 (__DATA,__common) external __sigintr
00000001802405a4 (__TEXT,__text) external __signal_nobind
0000000180223e0c (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180240418 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00000001801f95f8 (__TEXT,__text) external __sread
0000000180203ad4 (__TEXT,__text) external __sseek
000000018020f5cc (__TEXT,__text) non-external (was a private external) __st_fmt
000000018022db6c (__TEXT,__text) non-external (was a private external) __st_get_timezone
00000001801f6828 (__TEXT,__text) non-external (was a private external) __st_localsub
00000001801f681c (__TEXT,__text) non-external (was a private external) __st_set_timezone
00000001802061b4 (__TEXT,__text) non-external (was a private external) __st_time1
00000001801f4878 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
0000000180260c64 (__TEXT,__text) non-external __strfmon
0000000180215cb4 (__TEXT,__text) non-external __strptime0
0000000180268f4c (__TEXT,__const) non-external __strptime0.start_of_month
000000018022d428 (__TEXT,__text) external __subsystem_init
00000001801ff3d8 (__TEXT,__text) external __swrite
0000000180227e10 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00000001801fb84c (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
0000000180255138 (__TEXT,__text) external __time32_to_time
0000000180255144 (__TEXT,__text) external __time64_to_time
0000000180255154 (__TEXT,__text) external __time_to_int
000000018025514c (__TEXT,__text) external __time_to_long
0000000180255140 (__TEXT,__text) external __time_to_time32
0000000180255148 (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
000000018025a85c (__TEXT,__text) external __unsetenvp
00000001802291e4 (__TEXT,__text) non-external (was a private external) __utmpx32_64
0000000180229250 (__TEXT,__text) non-external (was a private external) __utmpx64_32
00000001802281a0 (__TEXT,__text) non-external (was a private external) __utmpx_asl
00000001802691ca (__TEXT,__const) non-external (was a private external) __utmpx_vers
00000001802285cc (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00000001d6537568 (__DATA,__bss) non-external __utmpx_working_copy.idzero
0000000180260a9c (__TEXT,__text) external __utmpxname
0000000180266ae0 (__TEXT,__text) non-external __utmpxname.cold.1
0000000180266b18 (__TEXT,__text) non-external __utmpxname.cold.2
000000018021d79c (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180221b78 (__TEXT,__text) non-external (was a private external) __vdprintf
000000018021d684 (__TEXT,__text) non-external (was a private external) __vsnprintf
0000000180210390 (__TEXT,__text) non-external __yconv
0000000180257d48 (__TEXT,__text) external _a64l
0000000180267c30 (__TEXT,__const) non-external _a64toi
0000000180266298 (__TEXT,__text) external _abort
00000001802663f0 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
0000000180257e14 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
000000018022c3d0 (__TEXT,__text) external _acl_add_flag_np
000000018022c480 (__TEXT,__text) external _acl_add_perm
000000018022bd84 (__TEXT,__text) external _acl_calc_mask
000000018022c3e4 (__TEXT,__text) external _acl_clear_flags_np
000000018022c4cc (__TEXT,__text) external _acl_clear_perms
000000018022bda8 (__TEXT,__text) external _acl_copy_entry
000000018022c6f8 (__TEXT,__text) external _acl_copy_ext
00000001801fb66c (__TEXT,__text) external _acl_copy_ext_native
000000018022c7e0 (__TEXT,__text) external _acl_copy_int
0000000180222bfc (__TEXT,__text) external _acl_copy_int_native
000000018022bf0c (__TEXT,__text) external _acl_create_entry
000000018022be28 (__TEXT,__text) external _acl_create_entry_np
000000018022c3ac (__TEXT,__text) external _acl_delete_def_file
000000018022bf14 (__TEXT,__text) external _acl_delete_entry
000000018022c1bc (__TEXT,__text) external _acl_delete_fd_np
000000018022c1e0 (__TEXT,__text) external _acl_delete_file_np
000000018022c3f0 (__TEXT,__text) external _acl_delete_flag_np
000000018022c204 (__TEXT,__text) external _acl_delete_link_np
000000018022c4d8 (__TEXT,__text) external _acl_delete_perm
00000001801fb584 (__TEXT,__text) external _acl_dup
00000001d19be1e0 (__DATA_CONST,__const) non-external _acl_flags
00000001801fb744 (__TEXT,__text) external _acl_free
000000018022c8ac (__TEXT,__text) external _acl_from_text
0000000180223c1c (__TEXT,__text) external _acl_get_entry
000000018022c228 (__TEXT,__text) external _acl_get_fd
000000018021d2fc (__TEXT,__text) external _acl_get_fd_np
000000018021bebc (__TEXT,__text) external _acl_get_file
000000018021bec4 (__TEXT,__text) non-external _acl_get_file1
0000000180223d4c (__TEXT,__text) external _acl_get_flag_np
0000000180223cd4 (__TEXT,__text) external _acl_get_flagset_np
000000018022c230 (__TEXT,__text) external _acl_get_link_np
000000018022c524 (__TEXT,__text) external _acl_get_perm_np
000000018022c568 (__TEXT,__text) external _acl_get_permset
000000018022c634 (__TEXT,__text) external _acl_get_permset_mask_np
000000018022c010 (__TEXT,__text) external _acl_get_qualifier
000000018022c090 (__TEXT,__text) external _acl_get_tag_type
0000000180222cac (__TEXT,__text) external _acl_init
000000018022c620 (__TEXT,__text) external _acl_maximal_permset_mask_np
00000001d19be2a0 (__DATA_CONST,__const) non-external _acl_perms
000000018022c2b0 (__TEXT,__text) external _acl_set_fd
000000018022c238 (__TEXT,__text) external _acl_set_fd_np
000000018022c2b4 (__TEXT,__text) external _acl_set_file
000000018022c404 (__TEXT,__text) external _acl_set_flagset_np
000000018022c32c (__TEXT,__text) external _acl_set_link_np
000000018022c5c4 (__TEXT,__text) external _acl_set_permset
000000018022c690 (__TEXT,__text) external _acl_set_permset_mask_np
000000018022c0ec (__TEXT,__text) external _acl_set_qualifier
000000018022c158 (__TEXT,__text) external _acl_set_tag_type
00000001801fb600 (__TEXT,__text) external _acl_size
000000018022ced8 (__TEXT,__text) external _acl_to_text
000000018022bcc8 (__TEXT,__text) external _acl_valid
000000018022bd18 (__TEXT,__text) external _acl_valid_fd_np
000000018022bd3c (__TEXT,__text) external _acl_valid_file_np
000000018022bd60 (__TEXT,__text) external _acl_valid_link
0000000180240320 (__TEXT,__text) non-external _addcmd
0000000180247364 (__TEXT,__text) external _addr2ascii
00000001d6537ef8 (__DATA,__bss) non-external _addr2ascii.staticbuf
0000000180204eac (__TEXT,__text) non-external _advance_directory
0000000180264ecc (__TEXT,__text) non-external _advance_directory.cold.1
000000018021bfb8 (__TEXT,__text) external _alarm
00000001802343ec (__TEXT,__text) non-external _alloc_segs
000000018023fc08 (__TEXT,__text) external _alphasort
000000018026903c (__TEXT,__const) non-external _ambig
00000001801edbc8 (__TEXT,__text) non-external _arc4_init
00000001801fa0b0 (__TEXT,__text) external _arc4random
000000018023b448 (__TEXT,__text) external _arc4random_addrandom
00000001801edb7c (__TEXT,__text) external _arc4random_buf
000000018021ce78 (__TEXT,__text) external _arc4random_stir
00000001801ff7e0 (__TEXT,__text) external _arc4random_uniform
00000001d65381d0 (__DATA,__bss) non-external _arg_type_queue
000000018025f5c4 (__TEXT,__text) non-external (was a private external) _arrayfree
000000018021f22c (__TEXT,__text) non-external _arrayget
000000018024742c (__TEXT,__text) external _ascii2addr
000000018021ab40 (__TEXT,__text) external _asctime
000000018020f2e0 (__TEXT,__text) external _asctime_r
0000000180268e8f (__TEXT,__const) non-external _asctime_r.mon_name
0000000180268e7a (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
00000001801fae30 (__TEXT,__text) external _asprintf
0000000180249fd4 (__TEXT,__text) external _asprintf_l
000000018022db78 (__TEXT,__text) external _asxprintf
000000018022e2d4 (__TEXT,__text) external _asxprintf_exec
0000000180215a10 (__TEXT,__text) external _atexit
0000000180217f70 (__TEXT,__text) external _atexit_b
00000001d9287df0 (__DATA_DIRTY,__data) non-external _atexit_mutex
00000001801f2898 (__TEXT,__text) non-external _atexit_register
0000000180266444 (__TEXT,__text) non-external _atexit_register.cold.1
0000000180222b30 (__TEXT,__text) external _atof
0000000180210afc (__TEXT,__text) external _atof_l
00000001801fa38c (__TEXT,__text) external _atoi
0000000180257e24 (__TEXT,__text) external _atoi_l
0000000180204314 (__TEXT,__text) external _atol
0000000180257e48 (__TEXT,__text) external _atol_l
00000001801fbd18 (__TEXT,__text) external _atoll
0000000180257e58 (__TEXT,__text) external _atoll_l
00000001801fb7cc (__TEXT,__text) external _backtrace
0000000180224464 (__TEXT,__text) external _backtrace_async
00000001802244d0 (__TEXT,__text) external _backtrace_from_fp
0000000180203de4 (__TEXT,__text) external _backtrace_image_offsets
0000000180202344 (__TEXT,__text) external _backtrace_symbols
0000000180224538 (__TEXT,__text) external _backtrace_symbols_fd
0000000180203d84 (__TEXT,__text) external _basename
00000001d9287f20 (__DATA_DIRTY,__bss) non-external _basename.bname
00000001802034c8 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00000001801edd10 (__TEXT,__text) external _bcopy
0000000180268d17 (__TEXT,__const) non-external _blanks
0000000180268dd8 (__TEXT,__const) non-external _blanks
00000001d653668c (__DATA,__data) non-external _blanks
                 (undefined) external _bootstrap_parent (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
00000001802274a0 (__TEXT,__text) non-external _both_ftw
00000001d65374e8 (__DATA,__bss) non-external _brapreg
0000000180224244 (__TEXT,__text) external _brk
0000000180224268 (__TEXT,__text) external _bsd_signal
00000001801f4630 (__TEXT,__text) external _bsearch
00000001801fd350 (__TEXT,__text) external _bsearch_b
00000001802334c0 (__TEXT,__text) non-external _bt_broot
00000001802331ec (__TEXT,__text) non-external _bt_page
000000018023362c (__TEXT,__text) non-external _bt_preserve
0000000180233684 (__TEXT,__text) non-external _bt_psplit
0000000180233108 (__TEXT,__text) non-external _bt_root
00000001802333a8 (__TEXT,__text) non-external _bt_rroot
0000000180223474 (__TEXT,__text) external _btowc
0000000180223498 (__TEXT,__text) external _btowc_l
00000001d6537f88 (__DATA,__bss) non-external _buf_asctime
000000018024ca9c (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
0000000180267bd8 (__TEXT,__const) non-external (was a private external) _cVersionNumber
0000000180267bb0 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
0000000180249eac (__TEXT,__text) external _catclose
00000001d19be740 (__DATA_CONST,__const) non-external _categories
0000000180249b84 (__TEXT,__text) external _catgets
0000000180249488 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
0000000180240c98 (__TEXT,__text) external _cfgetispeed
0000000180210b90 (__TEXT,__text) external _cfgetospeed
0000000180240cc4 (__TEXT,__text) external _cfmakeraw
