00007ff9012f8fc0 (__TEXT,__text) non-external +[Calculate _lock]
00007ff9012f4d40 (__TEXT,__text) non-external -[UnitRank setRank:]
00007ff9012f4d2c (__TEXT,__text) non-external -[UnitRank setUnitID:]
00007ff9012f4d23 (__TEXT,__text) non-external -[UnitRank unitID]
00007ff9012f524c (__TEXT,__text) non-external -[UnitRanks .cxx_destruct]
00007ff9012f4fb6 (__TEXT,__text) non-external -[UnitRanks addUnitRank:]
00007ff9012f5200 (__TEXT,__text) non-external -[UnitRanks containsCurrency]
00007ff9012f51e2 (__TEXT,__text) non-external -[UnitRanks containsFrom]
00007ff9012f51ec (__TEXT,__text) non-external -[UnitRanks containsTo]
00007ff9012f51f6 (__TEXT,__text) non-external -[UnitRanks containsUnit]
00007ff9012f4da9 (__TEXT,__text) non-external -[UnitRanks initWithUnitsInfo:]
00007ff9012f4e72 (__TEXT,__text) non-external -[UnitRanks init]
00007ff9012f4f6a (__TEXT,__text) non-external -[UnitRanks isAmbiguous]
00007ff9012f51c7 (__TEXT,__text) non-external -[UnitRanks ranks]
00007ff9012f51d1 (__TEXT,__text) non-external -[UnitRanks setRanks:]
00007ff9012f523b (__TEXT,__text) non-external -[UnitRanks setUnits:]
00007ff9012f5220 (__TEXT,__text) non-external -[UnitRanks setUnitsInfo:]
00007ff9012f4f21 (__TEXT,__text) non-external -[UnitRanks sort]
00007ff9012f520a (__TEXT,__text) non-external -[UnitRanks unitsInfo]
00007ff9012f5231 (__TEXT,__text) non-external -[UnitRanks units]
00007ff9012f5cad (__TEXT,__text) non-external -[UnitTypeInfo .cxx_destruct]
00007ff9012f5c4d (__TEXT,__text) non-external -[UnitTypeInfo baseUnit]
00007ff9012f5b6d (__TEXT,__text) non-external -[UnitTypeInfo decompositionCoefficient]
00007ff9012f5b89 (__TEXT,__text) non-external -[UnitTypeInfo decomposition]
00007ff9012f5c87 (__TEXT,__text) non-external -[UnitTypeInfo isCurrency]
00007ff9012f5b5a (__TEXT,__text) non-external -[UnitTypeInfo isDecomposable]
00007ff9012f5c74 (__TEXT,__text) non-external -[UnitTypeInfo isTemperature]
00007ff9012f5c9a (__TEXT,__text) non-external -[UnitTypeInfo isVolume]
00007ff9012f5b3f (__TEXT,__text) non-external -[UnitTypeInfo name]
00007ff9012f5c63 (__TEXT,__text) non-external -[UnitTypeInfo setBaseUnit:]
00007ff9012f5bdd (__TEXT,__text) non-external -[UnitTypeInfo setDecomposition:]
00007ff9012f5b7b (__TEXT,__text) non-external -[UnitTypeInfo setDecompositionCoefficient:]
00007ff9012f5c91 (__TEXT,__text) non-external -[UnitTypeInfo setIsCurrency:]
00007ff9012f5b64 (__TEXT,__text) non-external -[UnitTypeInfo setIsDecomposable:]
00007ff9012f5c7e (__TEXT,__text) non-external -[UnitTypeInfo setIsTemperature:]
00007ff9012f5ca4 (__TEXT,__text) non-external -[UnitTypeInfo setIsVolume:]
00007ff9012f5b49 (__TEXT,__text) non-external -[UnitTypeInfo setName:]
00007ff9012f5b36 (__TEXT,__text) non-external -[UnitTypeInfo setUnitType:]
00007ff9012f5c3c (__TEXT,__text) non-external -[UnitTypeInfo setUnits:]
00007ff9012f5b2d (__TEXT,__text) non-external -[UnitTypeInfo unitType]
00007ff9012f5c32 (__TEXT,__text) non-external -[UnitTypeInfo units]
00007ff9012f7fe1 (__TEXT,__text) non-external -[UnitsInfo .cxx_destruct]
00007ff9012f7f6c (__TEXT,__text) non-external -[UnitsInfo angleInfo]
00007ff9012f7f93 (__TEXT,__text) non-external -[UnitsInfo degreesInfo]
00007ff9012f7eae (__TEXT,__text) non-external -[UnitsInfo infoForAngle]
00007ff9012f7ec0 (__TEXT,__text) non-external -[UnitsInfo infoForDegrees]
00007ff9012f7ed2 (__TEXT,__text) non-external -[UnitsInfo infoForRadians]
00007ff9012f7d69 (__TEXT,__text) non-external -[UnitsInfo infoForUnitID:]
00007ff9012f7e10 (__TEXT,__text) non-external -[UnitsInfo infoForUnitName:]
00007ff9012f7c48 (__TEXT,__text) non-external -[UnitsInfo infoForUnitType:]
00007ff9012f7cef (__TEXT,__text) non-external -[UnitsInfo infoForUnitTypeName:]
00007ff9012f5fb6 (__TEXT,__text) non-external -[UnitsInfo initWithDictionary:]
00007ff9012f7e9c (__TEXT,__text) non-external -[UnitsInfo objectAtIndexedSubscript:]
00007ff9012f7e8a (__TEXT,__text) non-external -[UnitsInfo objectForKeyedSubscript:]
00007ff9012f5cde (__TEXT,__text) non-external -[UnitsInfo populateSubunitIDs:forUnit:visited:]
00007ff9012f7fba (__TEXT,__text) non-external -[UnitsInfo radiansInfo]
00007ff9012f7f82 (__TEXT,__text) non-external -[UnitsInfo setAngleInfo:]
00007ff9012f7fa9 (__TEXT,__text) non-external -[UnitsInfo setDegreesInfo:]
00007ff9012f7fd0 (__TEXT,__text) non-external -[UnitsInfo setRadiansInfo:]
00007ff9012f7f25 (__TEXT,__text) non-external -[UnitsInfo setUnitIDToInfo:]
00007ff9012f7f0a (__TEXT,__text) non-external -[UnitsInfo setUnitNameToInfo:]
00007ff9012f7f40 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeNameToInfo:]
00007ff9012f7f5b (__TEXT,__text) non-external -[UnitsInfo setUnitTypeToInfo:]
00007ff9012f7eee (__TEXT,__text) non-external -[UnitsInfo unitCount]
00007ff9012f7f1b (__TEXT,__text) non-external -[UnitsInfo unitIDToInfo]
00007ff9012f7f00 (__TEXT,__text) non-external -[UnitsInfo unitNameToInfo]
00007ff9012f7ee4 (__TEXT,__text) non-external -[UnitsInfo unitNames]
00007ff9012f7ef7 (__TEXT,__text) non-external -[UnitsInfo unitTypeCount]
00007ff9012f7f36 (__TEXT,__text) non-external -[UnitsInfo unitTypeNameToInfo]
00007ff9012f7f51 (__TEXT,__text) non-external -[UnitsInfo unitTypeToInfo]
00007ff90147e5d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00007ff90147e5f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00007ff90147e5e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00007ff90147e650 (__TEXT,__gcc_except_tab) non-external GCC_except_table392
00007ff90147ede8 (__TEXT,__gcc_except_tab) non-external GCC_except_table424
00007ff90147e61c (__TEXT,__gcc_except_tab) non-external GCC_except_table43
00007ff90147ee08 (__TEXT,__gcc_except_tab) non-external GCC_except_table575
00007ff90147ef18 (__TEXT,__gcc_except_tab) non-external GCC_except_table610
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesSetAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringTokenizerAdvanceToNextToken (from CoreFoundation)
                 (undefined) external _CFStringTokenizerCreate (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGetCurrentTokenRange (from CoreFoundation)
00007ff9013095d6 (__TEXT,__text) external _CalculateExpression
00007ff9013092f6 (__TEXT,__text) external _CalculateExpressionError
00007ff9013095e3 (__TEXT,__text) external _CalculateInternationalExpression
00007ff940289ec8 (__DATA_CONST,__const) external _CalculateKeyAllowConversions
00007ff940289eb8 (__DATA_CONST,__const) external _CalculateKeyAllowPartialExpressions
00007ff940289ec0 (__DATA_CONST,__const) external _CalculateKeyAllowUnits
00007ff940289ea0 (__DATA_CONST,__const) external _CalculateKeyAutoScientificNotation
00007ff940289eb0 (__DATA_CONST,__const) external _CalculateKeyConvertTrivial
00007ff940289ee0 (__DATA_CONST,__const) external _CalculateKeyEngine
00007ff940289ef0 (__DATA_CONST,__const) external _CalculateKeyExpectedUnitTypes
00007ff940289ea8 (__DATA_CONST,__const) external _CalculateKeyFlexibleFractionDigits
00007ff940289ee8 (__DATA_CONST,__const) external _CalculateKeyIgnoreProbableSearches
00007ff940289e90 (__DATA_CONST,__const) external _CalculateKeyLocales
00007ff940289ef8 (__DATA_CONST,__const) external _CalculateKeyLocalizeUnit
00007ff940289ed0 (__DATA_CONST,__const) external _CalculateKeyMaximumConversions
00007ff940289e98 (__DATA_CONST,__const) external _CalculateKeyNumberFormatter
00007ff940289ed8 (__DATA_CONST,__const) external _CalculateKeyPreferMixedUnits
00007ff9012f4a05 (__TEXT,__text) non-external _CalculateLogForCategory
00007ff942168c80 (__DATA,__bss) non-external _CalculateLogForCategory.logObjects.0
00007ff942168c88 (__DATA,__bss) non-external _CalculateLogForCategory.loggingToken
00007ff9013092e3 (__TEXT,__text) external _CalculatePerformExpression
00007ff9012e3640 (__TEXT,__text) non-external _CountLeadingZeros
00007ff942168c28 (__DATA,__bss) non-external _DecimalPi.initialized
00007ff942168c10 (__DATA,__bss) non-external _DecimalPi.pi.0
00007ff942168c20 (__DATA,__bss) non-external _DecimalPi.pi.1
00007ff9012ebd89 (__TEXT,__text) non-external _DecimalToDegrees
00007ff942168c68 (__DATA,__bss) non-external _DecimalToDegrees.initialized
00007ff942168c50 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.0
00007ff942168c60 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.1
00007ff942168c48 (__DATA,__bss) non-external _DecimalToRadians.initialized
00007ff942168c30 (__DATA,__bss) non-external _DecimalToRadians.to_radians.0
00007ff942168c40 (__DATA,__bss) non-external _DecimalToRadians.to_radians.1
00007ff942168be8 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.initialized
00007ff942168bd0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.0
00007ff942168be0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.1
00007ff942168c08 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.initialized
00007ff942168bf0 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.0
00007ff942168c00 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.1
00007ff942168ba8 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.initialized
00007ff942168b90 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.0
00007ff942168ba0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.1
00007ff942168bc8 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.initialized
00007ff942168bb0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.0
00007ff942168bc0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.1
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSDecimalCompare (from Foundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleGroupingSeparator (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystem (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemMetric (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUK (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUS (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnit (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnitCelsius (from CoreFoundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringTransformStripDiacritics (from CoreFoundation)
00007ff9421682b0 (__DATA,__objc_data) external _OBJC_CLASS_$_Calculate
00007ff9421683c8 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateRequest
00007ff942168350 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateResult
00007ff942168328 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateTerm
00007ff942168440 (__DATA,__objc_data) non-external _OBJC_CLASS_$_CalculateToken
00007ff942168490 (__DATA,__objc_data) non-external _OBJC_CLASS_$_CalculateTokenizer
00007ff9421682d8 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateUnit
00007ff942168058 (__DATA,__objc_data) external _OBJC_CLASS_$_Converter
00007ff942168080 (__DATA,__objc_data) external _OBJC_CLASS_$_CurrencyCache
00007ff942168530 (__DATA,__objc_data) non-external _OBJC_CLASS_$_Localize
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCache (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDoubleNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumberHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableURLRequest (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OACredential (from OAuth)
                 (undefined) external _OBJC_CLASS_$_OAURLRequestSigner (from OAuth)
00007ff9421684b8 (__DATA,__objc_data) non-external _OBJC_CLASS_$_Trie
00007ff942168238 (__DATA,__objc_data) non-external _OBJC_CLASS_$_TrieNode
00007ff942168170 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitInfo
00007ff942168508 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitRank
00007ff9421684e0 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitRanks
00007ff9421681e8 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitTypeInfo
00007ff942168580 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitsInfo
                 (undefined) external _OBJC_EHTYPE_id (from libobjc)
00007ff942167f58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._expression
00007ff942167f50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._isCanceled
00007ff942167f60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._options
00007ff942167f68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._result
00007ff942167f70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._resultHandler
00007ff942167ea8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._autoScientificNotation
00007ff942167f18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._conversions
00007ff942167ee8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._expression
00007ff942167eb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._flexibleFractionDigits
00007ff942167ec0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._hasStaleCurrencyData
00007ff942167f10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._inputValueAndUnit
00007ff942167eb8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._isTrivial
00007ff942167ef8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._locales
00007ff942167ed0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._localizeUnit
00007ff942167ef0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._numberFormatter
00007ff942167f20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parent
00007ff942167f28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parseTree
00007ff942167f30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._resultTree
00007ff942167ee0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._singleUnitID
00007ff942167ec8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._synchronous
00007ff942167f08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._terms
00007ff942167f48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._typeInfo
00007ff942167ed8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitExponent
00007ff942167f38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitFormat
00007ff942167f00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitType
00007ff942167f40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitsInfo
00007ff942167ea0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._decimalValue
00007ff942167e98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._result
00007ff942167e90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._units
00007ff942167e88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._value
00007ff942167f90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._range
00007ff942167f88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._ranks
00007ff942167f80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._text
00007ff942167f78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._tokenType
00007ff942167f98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._index
00007ff942167fd8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._lastToken
00007ff942167fa8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._locales
00007ff942167fc8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekIndex
00007ff942167fd0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekTokens
00007ff942167fa0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._string
00007ff942167fc0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._stringLength
00007ff942167fb8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._trie
00007ff942167fb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._unitsInfo
00007ff942167fe0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndices
00007ff942167fe8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndicesIndex
00007ff942167e60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._exponent
00007ff942167e68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._name
00007ff942167e78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._nextSmallest
00007ff942167e80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitInfo
00007ff942167e70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitType
00007ff942168048 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._additionalResults
00007ff942168050 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._conversionType
00007ff942168040 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._currencyUpdateTimeOut
00007ff942167ff0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputString
00007ff942167ff8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputUnit
00007ff942168010 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputValue
00007ff942168038 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._isCurrency
00007ff942168018 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedInputValueAndUnit
00007ff942168030 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputUnit
00007ff942168028 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValue
00007ff942168020 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValueAndUnit
00007ff942168000 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputUnit
00007ff942168008 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputValue
00007ff942167c10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currencyData
00007ff942167c18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentCurrency
00007ff942167c20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentRate
00007ff942167c28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentString
00007ff942167bf8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._lastRefreshDate
00007ff942167c40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lastRefreshTimeInternal
00007ff942167c48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lock
00007ff942167c30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._mutableCurrencyCache
00007ff942167c00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._refreshInterval
00007ff942167c38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._serializer
00007ff942167c08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._timeout
00007ff942167bf0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._uuid
00007ff942167e08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._autocompress
00007ff942167e18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterCount
00007ff942167e20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterSize
00007ff942167e40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characters
00007ff942167e10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._compressed
00007ff942167e58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._firstByteCache
00007ff942167e28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeCount
00007ff942167e30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeSize
00007ff942167e48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodes
00007ff942167e50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._objects
00007ff942167e38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._root
00007ff942167df0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._node
00007ff942167df8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._offset
00007ff942167e00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._trie
00007ff942167d30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._allSubunitIDs
00007ff942167d48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseDenominator
00007ff942167d40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseNumerator
00007ff942167d10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._bestEquivalent
00007ff942167ce0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._doNotSuggest
00007ff942167ce8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._formatNextSmallest
00007ff942167cc0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._impliesDivision
00007ff942167cb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isBaseUnit
00007ff942167cd0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isCelsius
00007ff942167cb8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isDisplayName
00007ff942167cc8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isFahrenheit
00007ff942167ca8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isInverted
00007ff942167cd8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isKelvin
00007ff942167d38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._localizationToCompactName
00007ff942167d18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._measurementSystem
00007ff942167d00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._name
00007ff942167d20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._nextSmallest
00007ff942167d28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._subunitIDs
00007ff942167d08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._typeInfo
00007ff942167cf0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitID
00007ff942167cf8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitType
00007ff942167c68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._context
00007ff942167c60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._locale
00007ff942167c58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._rank
00007ff942167c50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._unitID
00007ff942167c88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsCurrency
00007ff942167c70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsFrom
00007ff942167c78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsTo
00007ff942167c80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsUnit
00007ff942167c90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._ranks
