00007ffd04f22ca2 (__TEXT,__text) non-external _Done_iODBC
00007ffd404372f0 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffd40437b40 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffd40437b60 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffd40437360 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffd40437330 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffd40437b80 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffd40436ef0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffd40436f20 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffd40437be0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffd40437c00 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffd40437c30 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffd40437c60 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffd40437cd0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffd40437d10 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffd40437d90 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffd40437df0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffd40437e70 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffd40437ea0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffd40437ef0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffd40437bb0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffd40437f20 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffd40437380 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffd40436f50 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffd404373a0 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffd40437020 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffd40437040 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffd404370f0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffd40437420 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffd404373d0 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffd40436d20 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffd04f3a045 (__TEXT,__text) non-external __trace_bufferlen
00007ffd04f39861 (__TEXT,__text) non-external __trace_c_type
00007ffd04f36d08 (__TEXT,__text) non-external __trace_colattr2_type
00007ffd04f37008 (__TEXT,__text) non-external __trace_colattr3_data
00007ffd04f36d46 (__TEXT,__text) non-external __trace_colattr3_type
00007ffd04f334f8 (__TEXT,__text) non-external __trace_connattr_type
00007ffd04f3a328 (__TEXT,__text) non-external __trace_connopt_type
00007ffd04f3c01c (__TEXT,__text) non-external __trace_connstr
00007ffd04f3c2b1 (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffd04f3c210 (__TEXT,__text) non-external __trace_connstr_w
00007ffd04f3b384 (__TEXT,__text) non-external __trace_data
00007ffd04f33786 (__TEXT,__text) non-external __trace_desc_null
00007ffd04f366cc (__TEXT,__text) non-external __trace_descfield_type
00007ffd04f3b0c8 (__TEXT,__text) non-external __trace_diag_type
00007ffd04f384dd (__TEXT,__text) non-external __trace_direction
00007ffd04f3c0ee (__TEXT,__text) non-external __trace_drvcn_completion
00007ffd04f34066 (__TEXT,__text) non-external __trace_envattr_type
00007ffd04f346e2 (__TEXT,__text) non-external __trace_fetchtype
00007ffd04f3c754 (__TEXT,__text) non-external __trace_freestmt_option
00007ffd04f37cb1 (__TEXT,__text) non-external __trace_func_name
00007ffd04f37c10 (__TEXT,__text) non-external __trace_func_result
00007ffd04f348d1 (__TEXT,__text) non-external __trace_getinfo
00007ffd04f393a3 (__TEXT,__text) non-external __trace_handle
00007ffd04f3933e (__TEXT,__text) non-external __trace_handle_p
00007ffd04f39300 (__TEXT,__text) non-external __trace_handletype
00007ffd04f39b6c (__TEXT,__text) non-external __trace_inouttype
00007ffd04f39415 (__TEXT,__text) non-external __trace_integer
00007ffd04f3952d (__TEXT,__text) non-external __trace_integer_p
00007ffd04f39606 (__TEXT,__text) non-external __trace_len
00007ffd04f39640 (__TEXT,__text) non-external __trace_len_p
00007ffd04f3944e (__TEXT,__text) non-external __trace_pointer
00007ffd04f39173 (__TEXT,__text) non-external __trace_print_function
00007ffd04f347af (__TEXT,__text) non-external __trace_scrollopt_type
00007ffd04f345b0 (__TEXT,__text) non-external __trace_setpos_irow
00007ffd04f3460a (__TEXT,__text) non-external __trace_setpos_lock
00007ffd04f345cc (__TEXT,__text) non-external __trace_setpos_oper
00007ffd04f393dc (__TEXT,__text) non-external __trace_smallint
00007ffd04f39486 (__TEXT,__text) non-external __trace_smallint_p
00007ffd04f3428e (__TEXT,__text) non-external __trace_spcols_null
00007ffd04f34250 (__TEXT,__text) non-external __trace_spcols_scope
00007ffd04f34211 (__TEXT,__text) non-external __trace_spcols_type
00007ffd04f39f8c (__TEXT,__text) non-external __trace_sql_subtype
00007ffd04f39baa (__TEXT,__text) non-external __trace_sql_type
00007ffd04f39d80 (__TEXT,__text) non-external __trace_sql_type_p
00007ffd04f3c49c (__TEXT,__text) non-external __trace_stats_accuracy
00007ffd04f3c45e (__TEXT,__text) non-external __trace_stats_unique
00007ffd04f3a608 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffd04f3adbf (__TEXT,__text) non-external __trace_stmtopt_type
00007ffd04f396e6 (__TEXT,__text) non-external __trace_string
00007ffd04f3978f (__TEXT,__text) non-external __trace_string_w
00007ffd04f395d2 (__TEXT,__text) non-external __trace_stringlen
00007ffd40437f40 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffd04f3ba60 (__TEXT,__text) non-external __trace_tran_completion
00007ffd04f3bd00 (__TEXT,__text) non-external __trace_typeinfo
00007ffd04f39432 (__TEXT,__text) non-external __trace_uinteger
00007ffd04f39580 (__TEXT,__text) non-external __trace_uinteger_p
00007ffd04f39623 (__TEXT,__text) non-external __trace_ulen
00007ffd04f39693 (__TEXT,__text) non-external __trace_ulen_p
00007ffd04f393f9 (__TEXT,__text) non-external __trace_usmallint
00007ffd04f394da (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffd41a4e6a2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd04f3d59e (__TEXT,__text) non-external _dm_SQL_A2W
00007ffd04f3dac2 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffd04f3d533 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffd04f3d7e6 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffd04f3d612 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffd04f3dce0 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffd04f3d6b1 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffd04f3d74d (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffd04f3d79b (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffd04f3f1d6 (__TEXT,__text) non-external _do_create_dsns
00007ffd41a4e660 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffd41a4e640 (__DATA,__common) non-external _ierror
00007ffd04f3f2ff (__TEXT,__text) non-external _install_from_ini
00007ffd04f3f7fc (__TEXT,__text) non-external _install_from_string
00007ffd41a4e0a0 (__DATA,__data) external _iodbc_version
00007ffd41a4e580 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd41a4e5c8 (__DATA,__data) non-external _numerrors
00007ffd41a4e0b0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffd41a4e5d0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffd04f3f9df (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffd40436260 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffd41a4e610 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffd04f360a5 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffd04f3a290 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffd04f36b8b (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffd04f3842d (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffd04f36af0 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffd04f37581 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffd04f3a118 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffd04f3a1d4 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffd04f341b5 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffd04f3b311 (__TEXT,__text) non-external _trace_SQLCancel
00007ffd04f384b3 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffd04f36f74 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffd04f37358 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffd04f373ef (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffd04f3749e (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffd04f3aeea (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffd04f3afd9 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffd04f3616c (__TEXT,__text) non-external _trace_SQLColumns
00007ffd04f3625b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffd04f3a936 (__TEXT,__text) non-external _trace_SQLConnect
00007ffd04f3a9f6 (__TEXT,__text) non-external _trace_SQLConnectW
00007ffd04f346a9 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffd04f3853c (__TEXT,__text) non-external _trace_SQLDataSources
00007ffd04f38621 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffd04f337f7 (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffd04f338e3 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffd04f3ae45 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffd04f38489 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffd04f3bf38 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffd04f3c12c (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffd04f377e2 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffd04f378c7 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffd04f36060 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffd04f33bfb (__TEXT,__text) non-external _trace_SQLError
00007ffd04f33cea (__TEXT,__text) non-external _trace_SQLErrorW
00007ffd04f3827e (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffd04f382dc (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffd04f341e7 (__TEXT,__text) non-external _trace_SQLExecute
00007ffd04f34724 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffd04f387b9 (__TEXT,__text) non-external _trace_SQLFetch
00007ffd04f3a2dd (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffd04f3aab6 (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffd04f3abfa (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffd04f3ad95 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffd04f34586 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffd04f3602e (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffd04f3c78f (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffd04f33670 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffd04f336fb (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffd04f3a4e8 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffd04f3a530 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffd04f36bf5 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffd04f36c7d (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffd04f3b990 (__TEXT,__text) non-external _trace_SQLGetData
00007ffd04f369c0 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffd04f36a58 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffd04f339cf (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffd04f33ae5 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffd04f3b1dc (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffd04f3b284 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffd04f33ea7 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffd04f33f86 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffd04f340d3 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffd04f38228 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffd04f34844 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffd04f35d7c (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffd04f3a83c (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffd04f3a8c7 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffd04f3adfd (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffd04f3bed4 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffd04f3bf06 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffd04f3ba36 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffd04f36529 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffd04f365fa (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffd04f3634a (__TEXT,__text) non-external _trace_SQLNumParams
00007ffd04f3ad3e (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffd04f3754d (__TEXT,__text) non-external _trace_SQLParamData
00007ffd04f36101 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffd04f3c7c1 (__TEXT,__text) non-external _trace_SQLPrepare
00007ffd04f3c81f (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffd04f379ac (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffd04f37a70 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffd04f35e09 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffd04f35ef8 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffd04f3765a (__TEXT,__text) non-external _trace_SQLProcedures
00007ffd04f3771e (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffd04f3b33b (__TEXT,__text) non-external _trace_SQLPutData
00007ffd04f3415e (__TEXT,__text) non-external _trace_SQLRowCount
00007ffd04f3c3bc (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffd04f3c40d (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffd04f3a578 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffd04f3a5c0 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffd04f386ff (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffd04f3875c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffd04f33dd9 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffd04f33e40 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffd04f37b34 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffd04f3833a (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffd04f34648 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffd04f347f1 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffd04f3838b (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffd04f383dc (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffd04f35fe7 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffd04f342cc (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffd04f34429 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffd04f3c4da (__TEXT,__text) non-external _trace_SQLStatistics
00007ffd04f3c617 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffd04f363a1 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffd04f36465 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffd04f3bb20 (__TEXT,__text) non-external _trace_SQLTables
00007ffd04f3bc0f (__TEXT,__text) non-external _trace_SQLTablesW
00007ffd04f3baa0 (__TEXT,__text) non-external _trace_SQLTransact
00007ffd41a4e600 (__DATA,__bss) non-external _trace_appname
00007ffd04f38ce9 (__TEXT,__text) non-external _trace_emit
00007ffd04f38ff2 (__TEXT,__text) non-external _trace_emit_binary
00007ffd04f38dda (__TEXT,__text) non-external _trace_emit_string
00007ffd04f38db4 (__TEXT,__text) non-external _trace_emitc
00007ffd41a4e608 (__DATA,__bss) non-external _trace_fname
00007ffd41a4e620 (__DATA,__bss) non-external _trace_fp
00007ffd41a4e628 (__DATA,__bss) non-external _trace_fp_close
00007ffd04f38814 (__TEXT,__text) non-external _trace_get_filename
00007ffd04f387e4 (__TEXT,__text) non-external _trace_set_appname
00007ffd04f38825 (__TEXT,__text) non-external _trace_set_filename
00007ffd04f38ab3 (__TEXT,__text) non-external _trace_start
00007ffd04f38c49 (__TEXT,__text) non-external _trace_stop
00007ffd04f38a60 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffd04f3dc80 (__TEXT,__text) non-external _utf8_len
00007ffd04f3dd5f (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffd41a4e6a0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
