000000020e2f1728 (__DATA,__bss) non-external _A
000000020024ed0c (__TEXT,__text) external _houdini_escape_html
000000020024ebdc (__TEXT,__text) external _houdini_escape_html0
00000002002675f0 (__TEXT,__text) external _houdini_unescape_ent
00000002002678b0 (__TEXT,__text) external _houdini_unescape_html
00000002002679dc (__TEXT,__text) external _houdini_unescape_html_f
000000020025018c (__TEXT,__text) non-external _html_render
0000000200252db0 (__TEXT,__text) non-external _html_render
00000002002692f8 (__TEXT,__text) non-external _html_render
000000020026b0d4 (__TEXT,__text) non-external _html_render.cold.1
0000000200269ee0 (__TEXT,__text) non-external _html_table_add_align
000000020026a2b8 (__TEXT,__text) non-external _init_arena
000000020026a2a8 (__TEXT,__text) non-external _initialize_arena
0000000200251a64 (__TEXT,__text) non-external _initialize_extensions
0000000200252f18 (__TEXT,__text) non-external _insert
000000020025138c (__TEXT,__text) non-external _is_valid_hostchar
0000000200252cd4 (__TEXT,__text) non-external _latex_render
0000000200268da4 (__TEXT,__text) non-external _latex_render
000000020026b07c (__TEXT,__text) non-external _latex_render.cold.1
00000002002660ec (__TEXT,__text) non-external _link_label
000000020026ad4c (__TEXT,__text) non-external _link_label.cold.1
000000020026ad74 (__TEXT,__text) non-external _link_label.cold.2
000000020026ad9c (__TEXT,__text) non-external _link_label.cold.3
000000020026adc4 (__TEXT,__text) non-external _link_label.cold.4
000000020026adec (__TEXT,__text) non-external _link_label.cold.5
0000000200266c7c (__TEXT,__text) non-external _make_autolink
000000020026aff8 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
0000000200252d08 (__TEXT,__text) non-external _man_render
00000002002690cc (__TEXT,__text) non-external _man_render
000000020026b0a8 (__TEXT,__text) non-external _man_render.cold.1
00000002002663f0 (__TEXT,__text) non-external _manual_scan_link_url
0000000200250c7c (__TEXT,__text) non-external _match
0000000200252df4 (__TEXT,__text) non-external _match
000000020024ff50 (__TEXT,__text) non-external _matches
00000002002682b8 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000020025ea8c (__TEXT,__text) external _normalize_map_label
000000020026a61c (__TEXT,__text) non-external _normalize_map_label.cold.1
0000000200269898 (__TEXT,__text) non-external _opaque_alloc
0000000200269914 (__TEXT,__text) non-external _opaque_free
000000020024ffe8 (__TEXT,__text) non-external _open_tasklist_item
000000020024d9fc (__TEXT,__text) non-external _outc
00000002002535d4 (__TEXT,__text) non-external _outc
0000000200267abc (__TEXT,__text) non-external _outc
0000000200252dd0 (__TEXT,__text) non-external _plaintext_render
0000000200251070 (__TEXT,__text) non-external _postprocess
00000002002513dc (__TEXT,__text) non-external _postprocess_text
0000000200265770 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000020025ed30 (__TEXT,__text) non-external _refcmp
000000020025f694 (__TEXT,__text) non-external _reference_free
000000020025ec74 (__TEXT,__text) non-external _refsearch
000000020025ea04 (__TEXT,__text) non-external _register_plugins
000000020e2f1480 (__DATA,__data) non-external _registered_once
0000000200265d4c (__TEXT,__text) non-external _remove_delimiter
000000020026ac08 (__TEXT,__text) non-external _remove_delimiter.cold.1
0000000200261ba4 (__TEXT,__text) non-external _resolve_reference_link_definitions
0000000200269b44 (__TEXT,__text) non-external _row_from_string
000000020a77cc28 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
0000000200261d70 (__TEXT,__text) non-external _sort_footnote_by_ix
00000002002662dc (__TEXT,__text) non-external _spnl
000000020026ae18 (__TEXT,__text) non-external _spnl.cold.1
000000020026ae40 (__TEXT,__text) non-external _spnl.cold.2
000000020026ae68 (__TEXT,__text) non-external _spnl.cold.3
000000020026ae90 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
000000020e2f15e0 (__DATA,__bss) non-external _syntax_extensions
0000000200268380 (__TEXT,__text) non-external _try_opening_table_block
0000000200269dbc (__TEXT,__text) non-external _unescape_pipes
000000020026b330 (__TEXT,__const) non-external _utf8proc_utf8class
000000020024ed40 (__TEXT,__text) non-external _xcalloc
000000020026a4b4 (__TEXT,__text) non-external _xcalloc.cold.1
000000020024ed80 (__TEXT,__text) non-external _xfree
0000000200250310 (__TEXT,__text) non-external _xml_attr
0000000200268ff8 (__TEXT,__text) non-external _xml_attr
000000020024ed60 (__TEXT,__text) non-external _xrealloc
000000020026a4e4 (__TEXT,__text) non-external _xrealloc.cold.1
