000000018017fc60 (__TEXT,__text) non-external K256
000000018018ed18 (__TEXT,__text) non-external __ZN5dyld412RuntimeState21initializeClosureModeEv.cold.1
000000018018ed18 (__TEXT,__text) non-external __ZN5dyld412RuntimeState21initializeClosureModeEv.cold.2
000000018018ed18 (__TEXT,__text) non-external __ZN5dyld412RuntimeState21initializeClosureModeEv.cold.3
0000000180118ee4 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState21loadInsertedLibrariesERN5dyld317OverflowSafeArrayIPNS_6LoaderELy4294967295EEEPKS3_
000000018011a8f0 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState21setLaunchMissingDylibEPKcS2_
00000001801209b8 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState22addNotifyBulkLoadImageEPKNS_6LoaderENS_16ReadOnlyCallbackIPFvjPPK11mach_headerPPKcEEE
000000018011ba34 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState22buildInterposingTablesEv
000000018011a908 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState22setLaunchMissingSymbolEPKcS2_S2_
000000018011aa40 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState23appendInterposingTuplesEPKNS_6LoaderEPKhj
000000018018e940 (__TEXT,__text) non-external __ZN5dyld412RuntimeState23appendInterposingTuplesEPKNS_6LoaderEPKhj.cold.1
000000018011a920 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState23recordInDataConstBitmapEy
0000000180118570 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState23recursiveMarkNonDelayedEPKNS_6LoaderEPNS1_14LinksWithChainES5_
000000018011a08c (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState24addMissingFlatLazySymbolEPKNS_6LoaderEPKcPm
000000018011fad8 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState25removeDynamicDependenciesEPKNS_6LoaderE
000000018011a920 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState25setVMAccountingSuspendingEb
000000018011a0f0 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState28rebindMissingFlatLazySymbolsERKNSt3__14spanIPKNS_6LoaderELm18446744073709551615EEE
000000018011a280 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState28removeMissingFlatLazySymbolsERKNSt3__14spanIPKNS_6LoaderELm18446744073709551615EEE
00000001801181dc (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState3addEPKNS_6LoaderE
000000018011969c (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState4vlogEPKcPc
000000018014e188 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeState9emptySlotEv
000000018010f520 (__TEXT,__text) non-external (was a private external) __ZN5dyld412RuntimeStateC2ERKNS_13ProcessConfigERNS_12RuntimeLocksERN3lsl9AllocatorE
0000000180136d84 (__TEXT,__text) non-external (was a private external) __ZN5dyld413BumpAllocator8zeroFillEy
000000018018f4d4 (__TEXT,__text) non-external __ZN5dyld413BumpAllocator8zeroFillEy.cold.1
000000018018f500 (__TEXT,__text) non-external __ZN5dyld413BumpAllocator8zeroFillEy.cold.2
0000000180137834 (__TEXT,__text) non-external (was a private external) __ZN5dyld413BumpAllocatorD2Ev
0000000180111be0 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig12scanForRootsEPv
0000000180115140 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig13PathOverrides15addPathOverrideERN3lsl9AllocatorEPKcS6_
0000000180114f44 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig13PathOverrides18checkVersionedPathERNS_15SyscallDelegateERKNS0_9DyldCacheERN3lsl9AllocatorEPKcN6mach_o8PlatformERKNSC_19GradedArchitecturesE
00000001801151c8 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig13PathOverrides18forEachInColonListEPKcS3_RbU13block_pointerFvS3_S4_E
0000000180114df8 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig13PathOverrides21processVersionedPathsERKNS0_7ProcessERNS_15SyscallDelegateERKNS0_9DyldCacheEN6mach_o8PlatformERKNSA_19GradedArchitecturesERN3lsl9AllocatorE
00000001801165c4 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig13PathOverrides8typeNameENS1_4TypeE
0000000180114988 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig13PathOverrides9addEnvVarERKNS0_7ProcessERKNS0_8SecurityERN3lsl9AllocatorEPKcbPc
00000001801156f8 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig13PathOverrides9setStringERN3lsl9AllocatorERPKcS6_
00000001801146b4 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig13PathOverridesC2ERKNS0_7ProcessERKNS0_8SecurityERKNS0_7LoggingERKNS0_9DyldCacheERNS_15SyscallDelegateERN3lsl9AllocatorE
00000001801128f8 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig38evaluateSystemWideFunctionVariantFlagsERKS0_
0000000180112924 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig45evaluateProcessorSpecificFunctionVariantFlagsERKS0_
0000000180112f30 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig7LoggingC2ERKNS0_7ProcessERKNS0_8SecurityERNS_15SyscallDelegateE
0000000180112388 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig7Process11getDyldPathERNS_15SyscallDelegateERN3lsl9AllocatorE
00000001801122d4 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig7Process11getMainPathERNS_15SyscallDelegateERN3lsl9AllocatorE
00000001801125c8 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig7Process12getMainArchsERNS_15SyscallDelegateE
00000001801121a4 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig7Process13getDyldFileIDEv
000000018011216c (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig7Process13getMainFileIDEv
0000000180112420 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig7Process15getMainPlatformEv
00000001801121dc (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig7Process17getMainUnrealPathERNS_15SyscallDelegateERN3lsl9AllocatorE
0000000180112678 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig7Process24fileIDFromFileHexStringsEPKc
0000000180110c50 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig7Process28evaluateFunctionVariantFlagsERKS0_
0000000180111c90 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig7ProcessC2EPKNS_10KernelArgsERNS_15SyscallDelegateERN3lsl9AllocatorE
0000000180112e70 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig8Security12pruneEnvVarsERNS0_7ProcessE
0000000180112c78 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig8Security7getAMFIERKNS0_7ProcessERNS_15SyscallDelegateE
0000000180112a40 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig8SecurityC2ERNS0_7ProcessERNS_15SyscallDelegateE
0000000180113dd0 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig9DyldCache17setupDyldCommPageERNS0_7ProcessERKNS0_8SecurityERNS_15SyscallDelegateE
0000000180113bc4 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig9DyldCache20setPlatformOSVersionERKNS0_7ProcessE
0000000180114534 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig9DyldCache23isAlwaysOverridablePathEPKc
000000018011455c (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig9DyldCache24isProtectedLibSystemPathEPKc
00000001801136a0 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfig9DyldCacheC2ERNS0_7ProcessERKNS0_8SecurityERKNS0_7LoggingERNS_15SyscallDelegateERN3lsl9AllocatorERKS0_
0000000180110ed4 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfigC1EPKNS_10KernelArgsERNS_15SyscallDelegateERN3lsl9AllocatorE
0000000180110a34 (__TEXT,__text) non-external (was a private external) __ZN5dyld413ProcessConfigC2EPKNS_10KernelArgsERNS_15SyscallDelegateERN3lsl9AllocatorE
000000018018ea58 (__TEXT,__text) non-external __ZN5dyld413ProcessConfigC2EPKNS_10KernelArgsERNS_15SyscallDelegateERN3lsl9AllocatorE.cold.1
00000001801347e0 (__TEXT,__text) non-external (was a private external) __ZN5dyld414PrebuiltLoader13BindTargetRef12makeAbsoluteEy
000000018013480c (__TEXT,__text) non-external (was a private external) __ZN5dyld414PrebuiltLoader13BindTargetRefC2Ey
000000018018f3f8 (__TEXT,__text) non-external __ZN5dyld414PrebuiltLoader13BindTargetRefC2Ey.cold.1
0000000180134e78 (__TEXT,__text) non-external (was a private external) __ZN5dyld414PrebuiltLoader14loadDependentsER11DiagnosticsRNS_12RuntimeStateERKNS_6Loader11LoadOptionsE
000000018013661c (__TEXT,__text) non-external (was a private external) __ZN5dyld414PrebuiltLoader17beginInitializersERNS_12RuntimeStateE
000000018018f4a8 (__TEXT,__text) non-external __ZN5dyld414PrebuiltLoader17beginInitializersERNS_12RuntimeStateE.cold.1
0000000180139098 (__TEXT,__text) non-external (was a private external) __ZN5dyld415SyscallDelegate12DyldCommPageC1Ev
00000001801334a4 (__TEXT,__text) non-external (was a private external) __ZN5dyld416JustInTimeLoader11withRegionsEPKN5dyld39MachOFileEU13block_pointerFvRKNS1_5ArrayINS_6Loader6RegionEEEE
0000000180131a4c (__TEXT,__text) non-external (was a private external) __ZN5dyld416JustInTimeLoader14dependentAttrsEj
000000018018f31c (__TEXT,__text) non-external __ZN5dyld416JustInTimeLoader14dependentAttrsEj.cold.1
000000018018f348 (__TEXT,__text) non-external __ZN5dyld416JustInTimeLoader14dependentAttrsEj.cold.2
0000000180131538 (__TEXT,__text) non-external (was a private external) __ZN5dyld416JustInTimeLoader14loadDependentsER11DiagnosticsRNS_12RuntimeStateERKNS_6Loader11LoadOptionsE
0000000180133e54 (__TEXT,__text) non-external (was a private external) __ZN5dyld416JustInTimeLoader16makeLaunchLoaderER11DiagnosticsRNS_12RuntimeStateE
0000000180132874 (__TEXT,__text) non-external (was a private external) __ZN5dyld416JustInTimeLoader17beginInitializersERNS_12RuntimeStateE
0000000180133f30 (__TEXT,__text) non-external (was a private external) __ZN5dyld416JustInTimeLoader21makePseudoDylibLoaderER11DiagnosticsRNS_12RuntimeStateEPKcRKNS_6Loader11LoadOptionsEPKNS_11PseudoDylibE
0000000180132ef8 (__TEXT,__text) non-external (was a private external) __ZN5dyld416JustInTimeLoader21parseSectionLocationsEPKN6mach_o6HeaderERNS_16SectionLocationsE
00000001801338bc (__TEXT,__text) non-external (was a private external) __ZN5dyld416JustInTimeLoader24makeJustInTimeLoaderDiskER11DiagnosticsRNS_12RuntimeStateEPKcRKNS_6Loader11LoadOptionsEbjPKN6mach_o6LayoutE
0000000180131bec (__TEXT,__text) non-external (was a private external) __ZN5dyld416JustInTimeLoader28handleStrongWeakDefOverridesERNS_12RuntimeStateERNS_34DyldCacheDataConstLazyScopedWriterE
0000000180133720 (__TEXT,__text) non-external (was a private external) __ZN5dyld416JustInTimeLoader29makeJustInTimeLoaderDyldCacheER11DiagnosticsRNS_12RuntimeStateEPKcRKNS_6Loader11LoadOptionsEjPKN6mach_o6LayoutE
0000000180132a80 (__TEXT,__text) non-external (was a private external) __ZN5dyld416JustInTimeLoader4makeERNS_12RuntimeStateEPKN5dyld39MachOFileEPKcRKNS_6FileIDEybbbtPKN6mach_o6LayoutE
00000001edb42bc8 (__DATA,__common) non-external (was a private external) __ZN5dyld416sSyscallDelegateE
0000000180116838 (__TEXT,__text) non-external (was a private external) __ZN5dyld420missing_symbol_abortEv
0000000180125900 (__TEXT,__text) non-external (was a private external) __ZN5dyld422HashTypeConformanceKey4hashERK43SwiftTypeProtocolConformanceDiskLocationKeyPv
00000001801099d4 (__TEXT,__text) non-external (was a private external) __ZN5dyld422restartWithDyldInCacheEPKNS_10KernelArgsEPKN6mach_o6HeaderEPK15DyldSharedCachePv
0000000180151428 (__TEXT,__text) non-external (was a private external) __ZN5dyld423EqualTypeConformanceKey5equalERK43SwiftTypeProtocolConformanceDiskLocationKeyS3_Pv
0000000180156804 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState10fork_childEv
0000000180155a8c (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState12removeImagesERN3lsl9AllocatorES3_RNSt3__14spanIPK11mach_headerLm18446744073709551615EEE
0000000180153c24 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState12setDyldStateEh
0000000180154200 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState13activateAtlasERN3lsl9AllocatorER10ByteStream
00000001801552b0 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState13atlasAddImageERN12PropertyList10DictionaryEyPKc
0000000180153dec (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState13generateAtlasERN3lsl9AllocatorE
00000001801542d8 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState14addDyldSimInfoEPKcy
00000001801542cc (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState14getProcessInfoEv
0000000180157434 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState15setRuntimeStateEPNS_12RuntimeStateE
0000000180157480 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState16addRosettaImagesERNSt3__14spanIK19dyld_aot_image_infoLm18446744073709551615EEERNS2_IK15dyld_image_infoLm18446744073709551615EEE
0000000180154704 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState17createMinimalInfoERN3lsl9AllocatorEyPKcyS5_PK15DyldSharedCache
00000001801546b4 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState18setSharedCacheInfoEyRKNS0_9ImageInfoEb
0000000180153864 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState19generateCompactInfoERN3lsl9AllocatorER10AAREncoder
0000000180157608 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState19removeRosettaImagesERNSt3__14spanIPK11mach_headerLm18446744073709551615EEE
000000018015544c (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState20triggerNotificationsE15dyld_image_modejPK15dyld_image_info
00000001801546e4 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState21setSharedCacheAddressEmm
00000001801567d4 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState22detachFromSharedRegionEv
0000000180154fa4 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState22gatherAtlasProcessInfoEyPK15DyldSharedCacheRN12PropertyList10DictionaryE
0000000180155710 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState23setLibSystemInitializedEv
0000000180157358 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState25notifyMonitorOfMainCalledEv
000000018015746c (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState25setRosettaSharedCacheInfoEyPKh
00000001801567f4 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState27disableCrashReportBacktraceEv
0000000180157870 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState30completeAllImageInfoTransitionERN3lsl9AllocatorEPKN5dyld39MachOFileE
00000001801576d8 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState31prepareInCacheDyldAllImageInfosEPKN6mach_o6HeaderE
0000000180154348 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState34notifyMonitorOfImageListChangesSimEbjPPK11mach_headerPPKc
00000001801573a0 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState37notifyMonitorOfDyldBeforeInitializersEv
0000000180155744 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableState9addImagesERN3lsl9AllocatorES3_RKNSt3__14spanINS0_9ImageInfoELm18446744073709551615EEE
0000000180153c20 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableStateC1ERN3lsl9AllocatorE
0000000180153b78 (__TEXT,__text) non-external (was a private external) __ZN5dyld423ExternallyViewableStateC2ERN3lsl9AllocatorE
0000000180125620 (__TEXT,__text) non-external (was a private external) __ZN5dyld425HashForeignConformanceKey4hashERK50SwiftForeignTypeProtocolConformanceDiskLocationKeyPv
0000000180125704 (__TEXT,__text) non-external (was a private external) __ZN5dyld426EqualForeignConformanceKey5equalERK50SwiftForeignTypeProtocolConformanceDiskLocationKeyS3_Pv
0000000180125900 (__TEXT,__text) non-external (was a private external) __ZN5dyld426HashMetadataConformanceKey4hashERK47SwiftMetadataProtocolConformanceDiskLocationKeyPv
0000000180151428 (__TEXT,__text) non-external (was a private external) __ZN5dyld427EqualMetadataConformanceKey5equalERK47SwiftMetadataProtocolConformanceDiskLocationKeyS3_Pv
000000018013e684 (__TEXT,__text) non-external (was a private external) __ZN5dyld427RemoteNotificationResponder11sendMessageEijP17mach_msg_header_t
000000018013eabc (__TEXT,__text) non-external (was a private external) __ZN5dyld427RemoteNotificationResponder23blockOnSynchronousEventEj
000000018013ea44 (__TEXT,__text) non-external (was a private external) __ZN5dyld427RemoteNotificationResponder25notifyMonitorOfMainCalledEv
000000018013e81c (__TEXT,__text) non-external (was a private external) __ZN5dyld427RemoteNotificationResponder31notifyMonitorOfImageListChangesEbjPPK11mach_headerPPKcy
000000018013eb14 (__TEXT,__text) non-external (was a private external) __ZN5dyld427RemoteNotificationResponder37notifyMonitorOfDyldBeforeInitializersEv
000000018013e608 (__TEXT,__text) non-external (was a private external) __ZN5dyld427RemoteNotificationResponderC1Ej
000000018013e520 (__TEXT,__text) non-external (was a private external) __ZN5dyld427RemoteNotificationResponderC2Ej
000000018013e680 (__TEXT,__text) non-external (was a private external) __ZN5dyld427RemoteNotificationResponderD1Ev
000000018013e60c (__TEXT,__text) non-external (was a private external) __ZN5dyld427RemoteNotificationResponderD2Ev
0000000180148bfc (__TEXT,__text) non-external (was a private external) __ZN5dyld429EqualTypeConformanceLookupKey5equalERK43SwiftTypeProtocolConformanceDiskLocationKeyyyPNS_12RuntimeStateE
000000018018fbfc (__TEXT,__text) non-external __ZN5dyld429EqualTypeConformanceLookupKey5equalERK43SwiftTypeProtocolConformanceDiskLocationKeyyyPNS_12RuntimeStateE.cold.1
0000000180121a3c (__TEXT,__text) non-external (was a private external) __ZN5dyld430DyldCacheDataConstScopedWriterC1ERNS_12RuntimeStateE
0000000180148f58 (__TEXT,__text) non-external (was a private external) __ZN5dyld432EqualForeignConformanceLookupKey5equalERK50SwiftForeignTypeProtocolConformanceDiskLocationKeyPKcmyPNS_12RuntimeStateE
000000018018fc80 (__TEXT,__text) non-external __ZN5dyld432EqualForeignConformanceLookupKey5equalERK50SwiftForeignTypeProtocolConformanceDiskLocationKeyPKcmyPNS_12RuntimeStateE.cold.1
0000000180148c8c (__TEXT,__text) non-external (was a private external) __ZN5dyld433EqualMetadataConformanceLookupKey5equalERK47SwiftMetadataProtocolConformanceDiskLocationKeyyyPNS_12RuntimeStateE
000000018018fc28 (__TEXT,__text) non-external __ZN5dyld433EqualMetadataConformanceLookupKey5equalERK47SwiftMetadataProtocolConformanceDiskLocationKeyyyPNS_12RuntimeStateE.cold.1
000000018011f680 (__TEXT,__text) non-external (was a private external) __ZN5dyld434DyldCacheDataConstLazyScopedWriterC1ERNS_12RuntimeStateE
000000018011f68c (__TEXT,__text) non-external (was a private external) __ZN5dyld434DyldCacheDataConstLazyScopedWriterD1Ev
000000018011f68c (__TEXT,__text) non-external (was a private external) __ZN5dyld434DyldCacheDataConstLazyScopedWriterD2Ev
000000018015789c (__TEXT,__text) non-external (was a private external) __ZN5dyld438setExternallyViewableStateToTerminatedEPKc
000000018014cafc (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs10NSAddImageEPKcj
000000018018fd04 (__TEXT,__text) non-external __ZN5dyld44APIs10NSAddImageEPKcj.cold.1
0000000180143f1c (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs11dlopen_fromEPKciPv
000000018018ed18 (__TEXT,__text) non-external __ZN5dyld44APIs11dlopen_fromEPKciPv.cold.1
000000018013f5d8 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs11validLoaderEPKNS_6LoaderE
000000018014c9b4 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs12NSAddLibraryEPKc
000000018014b140 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs12NSLinkModuleEP19__NSObjectFileImagePKcj
00000001801406b4 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs13getSdkVersionEPK11mach_header
000000018014bdf0 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs14NSNameOfModuleEP10__NSModule
000000018014b8a0 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs14NSUnLinkModuleEP10__NSModulej
000000018014db68 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs14_dyld_commpageEv
0000000180144ac0 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs14dlopen_auditedEPKci
000000018014bf50 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs14flatFindSymbolEPKcPPvPPK11mach_header
00000001801438c0 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs14setErrorStringEPKcz
000000018014c99c (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs15NSLinkEditErrorEP16NSLinkEditErrorsPiPPKcS6_
00000001801473f8 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs16_dyld_fork_childEv
0000000180143150 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs16clearErrorStringEv
000000018014455c (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs16dlopen_preflightEPKc
000000018014c694 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs17NSAddressOfSymbolEP10__NSSymbol
000000018014c804 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs17NSModuleForSymbolEP10__NSSymbol
000000018013fb48 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs17_dyld_image_countEv
000000018014a924 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs17_dyld_launch_modeEv
000000018014db74 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs17_dyld_stack_rangeEPPKvS3_
000000018014abd8 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs17dyld_need_closureEPKcS2_
0000000180140c20 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs17dyld_sdk_at_leastEPK11mach_header20dyld_build_version_t
0000000180142558 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs17findImageMappedAtEPKvPPKN5dyld311MachOLoadedEPbPPKcPS2_PyPhPPKNS_6LoaderE
0000000180140a8c (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs17mapFromVersionSetE20dyld_build_version_tN6mach_o8PlatformE
000000018014113c (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs18linkedDylibVersionEPKN6mach_o6HeaderEPKc
000000018014744c (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs19_dyld_atfork_parentEv
000000018014ac10 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs19_dyld_dlsym_blockedEv
000000018013f7f4 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs19_libdyld_initializeEv
0000000180140d30 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs19dyld_minos_at_leastEPK11mach_header20dyld_build_version_t
000000018013f740 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs19findImageContainingEPKv
000000018014156c (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs20_NSGetExecutablePathEPcPj
0000000180147444 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs20_dyld_atfork_prepareEv
000000018013ff0c (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs20_dyld_get_image_nameEj
00000001801414ec (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs20_dyld_get_image_uuidEPK11mach_headerPh
000000018014d850 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs20_dyld_is_pseudodylibEPv
0000000180140780 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs20dyld_get_sdk_versionEPK11mach_header
000000018014c118 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs21NSIsSymbolNameDefinedEPKc
000000018014c1ac (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs21NSLookupAndBindSymbolEPKc
000000018014c434 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs21NSLookupSymbolInImageEPK11mach_headerPKcj
000000018013fd00 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs21_dyld_get_image_slideEPK11mach_header
000000018014cc98 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs21_dyld_lookup_and_bindEPKcPPvPP10__NSModule
000000018014bea0 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs22NSLibraryNameForModuleEP10__NSModule
000000018014c274 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs22NSLookupSymbolInModuleEP10__NSModulePKc
000000018013fb94 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs22_dyld_get_image_headerEj
000000018014a8e0 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs22_dyld_is_objc_constantE20DyldObjCConstantKindPKv
0000000180148228 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs22_dyld_objc_class_countEv
00000001801409a0 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs22dyld_get_base_platformEj
00000001801412cc (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs22getPlatformAndVersionsEPKN6mach_o6HeaderE
000000018014746c (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs23_dyld_get_objc_selectorEPKc
000000018014a89c (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs23_dyld_has_fix_for_radarEPKc
0000000180141274 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs23deriveVersionFromDylibsEPKN6mach_o6HeaderE
0000000180141384 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs23dyld_get_image_versionsEPK11mach_headerU13block_pointerFvjjjE
0000000180140844 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs23dyld_get_min_os_versionEPK11mach_header
000000018014b924 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs24NSDestroyObjectFileImageEP19__NSObjectFileImage
0000000180147454 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs24_dyld_before_fork_dlopenEv
0000000180147f0c (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs24_dyld_visit_objc_classesENS_16ReadOnlyCallbackIU13block_pointerFvPKvEEE
0000000180140940 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs24dyld_get_active_platformEv
000000018014ca58 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs25NSAddLibraryWithSearchingEPKc
0000000180140270 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs25NSVersionOfRunTimeLibraryEPKc
0000000180147550 (__TEXT,__text) non-external (was a private external) __ZN5dyld44APIs25_dyld_for_each_objc_classEPKcNS_16ReadOnlyCallbackIU13block_pointerFvPvbPbEEE
