0000000237afb9e0 (__TEXT,__text) non-external +[CBOR cborFalse]
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
0000000290314ae0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
0000000290314ac8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftIOKit (from libswiftIOKit)
0000000290314af8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftIOKit_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftObjectiveC (from libswiftObjectiveC)
0000000290314ae8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftObjectiveC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftXPC (from libswiftXPC)
0000000290314ad0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftXPC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_Builtin_float (from libswift_Builtin_float)
0000000290314ad8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_Builtin_float_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftos (from libswiftos)
0000000290314b00 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftos_$_CBORLibrary
0000000237aeb460 (__TEXT,__text) non-external __swift_stdlib_malloc_size
                 (undefined) external __swift_stdlib_reportUnimplementedInitializer (from libswiftCore)
0000000237b03c30 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOSHAASQ
0000000237b03c40 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs23CustomStringConvertible
0000000237b03c38 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs28CustomDebugStringConvertible
0000000237b03c9e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC20DateEncodingStrategyOSHAASQ
0000000237b03c96 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyOSHAASQ
0000000237b03c74 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVSHAASQ
0000000237b03c84 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs23CustomStringConvertible
0000000237b03c7c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs28CustomDebugStringConvertible
0000000237b03dc8 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLVyxGs013KeyedEncodingD8ProtocolAA0C0sAFP_s06CodingC0
0000000237b03b2c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLVyxGs0c8DecodingD8ProtocolAA3KeysAFP_s06CodingO0
0000000237b03bc6 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance So4CBORC11CBORLibraryE9InitErrorOSHACSQ
                 (undefined) external _bzero (from libSystem)
0000000237aeb074 (__TEXT,__text) non-external (was a private external) _get_enum_tag_for_layout_string 10Foundation4DataV15_RepresentationO
0000000237af409c (__TEXT,__text) non-external (was a private external) _get_enum_tag_for_layout_string 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
0000000237af41c8 (__TEXT,__text) non-external (was a private external) _get_enum_tag_for_layout_string 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC9ReferenceO
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mktime (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_allocWithZone (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
0000000237b08d00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
0000000237b08d20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObjectsFromArray:
0000000237b08d40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allKeys
0000000237b08d60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendBytes:length:
0000000237b08d80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendData:
0000000237b08da0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
0000000237b08dc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendString:
0000000237b08de0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
0000000237b08e00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:count:
0000000237b08e20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asJSON
0000000237b08e40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$boolValue
0000000237b08e60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bytes
0000000237b08e80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cStringUsingEncoding:
0000000237b08ea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cachedHash
0000000237b08ec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborNil
0000000237b08ee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithArray:
0000000237b08f00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithData:
0000000237b08f20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithDictionary:
0000000237b08f40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithEmbeddedCBORData:
0000000237b08f60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithInteger:
0000000237b08f80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithUTF8String:
0000000237b08fa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
0000000237b08fc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$conformsToProtocol:
0000000237b08fe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$content
0000000237b09000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
0000000237b09020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
0000000237b09040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
0000000237b09060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$data
0000000237b09080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataUsingEncoding:
0000000237b090a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:
0000000237b090c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:encodingKeyOrder:
0000000237b090e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateByAddingTimeInterval:
0000000237b09100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateFromString:
0000000237b09120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:
0000000237b09140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:
0000000237b09160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:keepKeyOrdering:noCopy:
0000000237b09180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType0And1FromBuffer:length:tag:
0000000237b091a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:
0000000237b091c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
0000000237b091e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
0000000237b09200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType6FromBuffer:length:tag:
0000000237b09220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType7FromBuffer:length:tag:
0000000237b09240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$description
0000000237b09260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionary
0000000237b09280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
0000000237b092a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$doubleValue
0000000237b092c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$enumerateKeysAndObjectsUsingBlock:
0000000237b092e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$floatValue
0000000237b09300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
0000000237b09320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithArray:copyItems:
0000000237b09340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBool:
0000000237b09360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:
0000000237b09380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:encoding:
0000000237b093a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:encoding:freeWhenDone:
0000000237b093c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:freeWhenDone:
0000000237b093e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCBOR:
0000000237b09400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCapacity:
0000000237b09420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithData:
0000000237b09440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDictionary:
0000000237b09460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDouble:
0000000237b09480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFloat:
0000000237b094a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFormat:
0000000237b094c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithInt:
0000000237b094e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithLongLong:
0000000237b09500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithObjects:forKeys:
0000000237b09520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithShort:
0000000237b09540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithTimeIntervalSince1970:
0000000237b09560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithType:value:valueSize:tag:
0000000237b09580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInt:
0000000237b095a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInteger:
0000000237b095c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedLongLong:
0000000237b095e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedShort:
0000000237b09600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$intValue
0000000237b09620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$integerValue
0000000237b09640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
0000000237b09660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isWholeNumber
0000000237b09680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$length
0000000237b096a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lengthOfBytesUsingEncoding:
0000000237b096c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localeWithLocaleIdentifier:
0000000237b096e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$longLongValue
0000000237b09700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$mac
0000000237b09720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$null
0000000237b09740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
0000000237b09760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numeric
0000000237b09780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndex:
0000000237b097a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndexedSubscript:
0000000237b097c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKey:
0000000237b097e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKeyedSubscript:
0000000237b09800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$orderedKeys
0000000237b09820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeaderParameters
0000000237b09840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeadererDictionary
0000000237b09860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDateFormat:
0000000237b09880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setLocale:
0000000237b098a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKey:
0000000237b098c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKeyedSubscript:
0000000237b098e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setOrderedKeys:
0000000237b09900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTag:
0000000237b09920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTimeZone:
0000000237b09940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$signature
0000000237b09960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$sortedArrayUsingComparator:
0000000237b09980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$string
0000000237b099a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringFromDate:
0000000237b099c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringValue
0000000237b099e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFormat:
0000000237b09a00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tag
0000000237b09a20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeZoneForSecondsFromGMT:
0000000237b09a40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$type
0000000237b09a60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unprotectedHeaderParameters
0000000237b09a80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedIntValue
0000000237b09aa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedLongLongValue
0000000237b09ac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
0000000237b09ae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$valueSize
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_self (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _strptime_l (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _swift_allocBox (from libswiftCore)
                 (undefined) external _swift_allocError (from libswiftCore)
                 (undefined) external _swift_allocObject (from libswiftCore)
                 (undefined) external _swift_arrayInitWithCopy (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeBackToFront (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeFrontToBack (from libswiftCore)
                 (undefined) external _swift_beginAccess (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRelease (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain_n (from libswiftCore)
                 (undefined) external _swift_checkMetadataState (from libswiftCore)
                 (undefined) external _swift_conformsToProtocol2 (from libswiftCore)
                 (undefined) external _swift_cvw_allocateGenericValueMetadataWithLayoutString (from libswiftCore)
                 (undefined) external _swift_cvw_assignWithCopy (from libswiftCore)
                 (undefined) external _swift_cvw_assignWithTake (from libswiftCore)
                 (undefined) external _swift_cvw_destroy (from libswiftCore)
                 (undefined) external _swift_cvw_enumFn_getEnumTag (from libswiftCore)
                 (undefined) external _swift_cvw_initStructMetadataWithLayoutString (from libswiftCore)
                 (undefined) external _swift_cvw_initWithCopy (from libswiftCore)
                 (undefined) external _swift_cvw_initWithTake (from libswiftCore)
                 (undefined) external _swift_cvw_initializeBufferWithCopyOfBuffer (from libswiftCore)
                 (undefined) external _swift_cvw_instantiateLayoutString (from libswiftCore)
                 (undefined) external _swift_deallocClassInstance (from libswiftCore)
                 (undefined) external _swift_deallocObject (from libswiftCore)
                 (undefined) external _swift_deletedMethodError (from libswiftCore)
                 (undefined) external _swift_dynamicCast (from libswiftCore)
                 (undefined) external _swift_dynamicCastClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastMetatype (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClassUnconditional (from libswiftCore)
                 (undefined) external _swift_endAccess (from libswiftCore)
                 (undefined) external _swift_getDynamicType (from libswiftCore)
                 (undefined) external _swift_getForeignTypeMetadata (from libswiftCore)
                 (undefined) external _swift_getGenericMetadata (from libswiftCore)
                 (undefined) external _swift_getMetatypeMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassFromMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassMetadata (from libswiftCore)
                 (undefined) external _swift_getObjectType (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContext2 (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContextInMetadataState2 (from libswiftCore)
                 (undefined) external _swift_getWitnessTable (from libswiftCore)
                 (undefined) external _swift_initStackObject (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_bridgeObject (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_native (from libswiftCore)
                 (undefined) external _swift_lookUpClassMethod (from libswiftCore)
                 (undefined) external _swift_makeBoxUnique (from libswiftCore)
                 (undefined) external _swift_once (from libswiftCore)
                 (undefined) external _swift_release (from libswiftCore)
                 (undefined) external _swift_release_n (from libswiftCore)
                 (undefined) external _swift_retain (from libswiftCore)
                 (undefined) external _swift_retain_n (from libswiftCore)
                 (undefined) external _swift_setDeallocating (from libswiftCore)
                 (undefined) external _swift_slowAlloc (from libswiftCore)
                 (undefined) external _swift_slowDealloc (from libswiftCore)
                 (undefined) external _swift_unknownObjectRelease (from libswiftCore)
                 (undefined) external _swift_unknownObjectRetain (from libswiftCore)
                 (undefined) external _swift_weakAssign (from libswiftCore)
                 (undefined) external _swift_weakDestroy (from libswiftCore)
                 (undefined) external _swift_weakInit (from libswiftCore)
                 (undefined) external _swift_weakLoadStrong (from libswiftCore)
                 (undefined) external _swift_willThrow (from libswiftCore)
0000000237b03cf2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary27ExplicitKeyOrderedEncodableP
0000000237b039d4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary30_CBORDictionaryDecodableMarker33_9AD5FE8BA51478D9E31399B9411E4CF6LLP
0000000237b039b6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelDecoderP
0000000237b03cac (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelEncoderP
0000000237b03b26 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $sSY
0000000237b03b34 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedDecodingContainerProtocolP
0000000237b03dd0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedEncodingContainerProtocolP
0000000237b03b02 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCABG
0000000237b03cde (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCyXlG
0000000237b03a9c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____AAG s11AnyHashableV
0000000237b03a90 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____ypG s11AnyHashableV
0000000237b03a2a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____ypG s17CodingUserInfoKeyV
0000000237b03d90 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SE_p
0000000237b03bfa (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SS
0000000237b03aba (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SSSg
0000000237b03a48 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SaySo4CBORCG
0000000237b03aa8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Say_____G s11AnyHashableV
0000000237b03a3c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Say______pG s9CodingKeyP
0000000237b03d60 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SayyXlG
0000000237b03cee (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Sb
0000000237b03b1e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Si
0000000237b03c6e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SiSg
0000000237b03be4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So10COSE_Sign1C
0000000237b03dae (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC
0000000237b03d68 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC_Sit
0000000237b03bd4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So4CBORC
0000000237b03b9c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So4CBORC_ABt
0000000237b03c18 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So7COSEKeyC
0000000237b03cca (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So8NSObjectC
0000000237b03c04 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So9COSE_Mac0C
0000000237b03b22 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Su
0000000237b039aa (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 10Foundation4DataV
0000000237b03bde (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V
0000000237b03bf4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV
0000000237b03c2a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLO
0000000237b039b0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBORDecoderC
0000000237b03ca6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC
0000000237b03d26 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC20DateEncodingStrategyO
0000000237b03d20 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
0000000237b03a36 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBORDecoder33_9AD5FE8BA51478D9E31399B9411E4CF6LLC
0000000237b03d3e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBOREncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
0000000237b03b5a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary13CBORCodingKeyV
0000000237b03cd8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary15_CBORDictionary33_7693559CB90E2482CACD4C8EAD5C6230LLC
0000000237b03bce (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary18CBORCodableWrapperV
0000000237b03d44 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary20_CBOREncodingStorage33_7693559CB90E2482CACD4C8EAD5C6230LLV
0000000237b03d54 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
0000000237b03d5a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC9ReferenceO
0000000237b03dc2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
0000000237b03afc (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
0000000237b03a6a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBORDecoderUnkeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
0000000237b03da8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBOREncoderUnkeyedContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
0000000237b03c12 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary7COSEKeyV
0000000237b03bfe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary9COSE_Mac0V
