00007ffb42ceea88 (__DATA,__bss) non-external _A
00007ffb1f27da04 (__TEXT,__text) external _cmark_strbuf_set
00007ffb1f27da86 (__TEXT,__text) external _cmark_strbuf_sets
00007ffb1f27dc72 (__TEXT,__text) external _cmark_strbuf_strchr
00007ffb1f27dcb2 (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffb1f27dbbd (__TEXT,__text) external _cmark_strbuf_swap
00007ffb1f27dda0 (__TEXT,__text) external _cmark_strbuf_trim
00007ffb1f27dcf1 (__TEXT,__text) external _cmark_strbuf_truncate
00007ffb1f27de8b (__TEXT,__text) external _cmark_strbuf_unescape
00007ffb1f270fee (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffb1f288f33 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffb1f270f54 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffb1f2710e9 (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffb1f270f99 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffb1f27106b (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffb1f27110d (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffb1f27107f (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffb1f271075 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffb1f271023 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffb1f271061 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffb1f2710c1 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffb1f2710b4 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffb1f27104d (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffb1f271093 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffb1f2710a7 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffb1f27103a (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffb1f271043 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffb1f2710f3 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffb1f271100 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffb1f271030 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffb1f271089 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffb1f2710ce (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffb1f2710db (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffb1f271057 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffb1f27109d (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffb1f27d5db (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffb1f265df9 (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffb1f2659c0 (__TEXT,__text) external _cmark_utf8proc_check
00007ffb1f265cf4 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffb1f288e58 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffb1f26d8e6 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffb1f26d88c (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffb1f265b9d (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffb1f26f1f6 (__TEXT,__text) external _cmark_version
00007ffb1f26f201 (__TEXT,__text) external _cmark_version_string
00007ffb1f27078a (__TEXT,__text) non-external _commonmark_render
00007ffb1f27312e (__TEXT,__text) non-external _commonmark_render
00007ffb1f28768a (__TEXT,__text) non-external _commonmark_render
00007ffb1f2898e7 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffb1f287675 (__TEXT,__text) non-external _contains_inlines
00007ffb1f27d62d (__TEXT,__text) non-external _core_extensions_registration
00007ffb1f27111a (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffb1f27300b (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffb1f286c28 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffb1f288d51 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffb1f2705cc (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffb1f289ba0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffb1f28835f (__TEXT,__text) non-external _escape
00007ffb42cee8b0 (__DATA,__bss) non-external _extensions_lock
00007ffb42cee740 (__DATA,__data) non-external _extensions_once
00007ffb1f288d7f (__TEXT,__text) non-external _filter
00007ffb1f28006b (__TEXT,__text) non-external _finalize
00007ffb1f2891a6 (__TEXT,__text) non-external _finalize.cold.1
00007ffb1f2891c9 (__TEXT,__text) non-external _finalize.cold.2
00007ffb1f27d59f (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffb1f28097d (__TEXT,__text) non-external _free_node_as
00007ffb1f288999 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffb1f27435e (__TEXT,__text) non-external _get_link_type
00007ffb1f2706c5 (__TEXT,__text) non-external _get_type_string
00007ffb1f2730ed (__TEXT,__text) non-external _get_type_string
00007ffb1f2875ad (__TEXT,__text) non-external _get_type_string
00007ffb1f286078 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffb1f28c7b0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffb1f26f1e1 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffb1f26f0c4 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffb1f286194 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffb1f286425 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffb1f286552 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffb1f2707f7 (__TEXT,__text) non-external _html_render
00007ffb1f2731d0 (__TEXT,__text) non-external _html_render
00007ffb1f287cad (__TEXT,__text) non-external _html_render
00007ffb1f289950 (__TEXT,__text) non-external _html_render.cold.1
00007ffb1f288a01 (__TEXT,__text) non-external _html_table_add_align
00007ffb1f288d08 (__TEXT,__text) non-external _init_arena
00007ffb1f288cf5 (__TEXT,__text) non-external _initialize_arena
00007ffb1f2721fd (__TEXT,__text) non-external _initialize_extensions
00007ffb1f281cce (__TEXT,__text) non-external _initialize_nextflag
00007ffb1f27334d (__TEXT,__text) non-external _insert
00007ffb1f271f77 (__TEXT,__text) non-external _is_valid_hostchar
00007ffb1f27314e (__TEXT,__text) non-external _latex_render
00007ffb1f2878a9 (__TEXT,__text) non-external _latex_render
00007ffb1f28990a (__TEXT,__text) non-external _latex_render.cold.1
00007ffb1f284dc1 (__TEXT,__text) non-external _link_label
00007ffb1f289651 (__TEXT,__text) non-external _link_label.cold.1
00007ffb1f289674 (__TEXT,__text) non-external _link_label.cold.2
00007ffb1f289697 (__TEXT,__text) non-external _link_label.cold.3
00007ffb1f2896ba (__TEXT,__text) non-external _link_label.cold.4
00007ffb1f2896dd (__TEXT,__text) non-external _link_label.cold.5
00007ffb1f28586b (__TEXT,__text) non-external _make_autolink
00007ffb1f2898a2 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
00007ffb1f27317d (__TEXT,__text) non-external _man_render
00007ffb1f287b46 (__TEXT,__text) non-external _man_render
00007ffb1f28992d (__TEXT,__text) non-external _man_render.cold.1
00007ffb1f28505b (__TEXT,__text) non-external _manual_scan_link_url
00007ffb1f271188 (__TEXT,__text) non-external _match
00007ffb1f273212 (__TEXT,__text) non-external _match
00007ffb1f270661 (__TEXT,__text) non-external _matches
00007ffb1f286d4a (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffb42cee8f8 (__DATA,__bss) non-external _nextflag_lock
00007ffb42cee760 (__DATA,__data) non-external _nextflag_once
00007ffb1f27d692 (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffb1f289003 (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffb1f2882c0 (__TEXT,__text) non-external _opaque_alloc
00007ffb1f28830c (__TEXT,__text) non-external _opaque_free
00007ffb1f2706d2 (__TEXT,__text) non-external _open_tasklist_item
00007ffb1f26e0b0 (__TEXT,__text) non-external _outc
00007ffb1f27394a (__TEXT,__text) non-external _outc
00007ffb1f2865ec (__TEXT,__text) non-external _outc
00007ffb1f2731f2 (__TEXT,__text) non-external _plaintext_render
00007ffb1f2715e5 (__TEXT,__text) non-external _postprocess
00007ffb1f288f54 (__TEXT,__text) non-external _postprocess.cold.1
00007ffb1f288f77 (__TEXT,__text) non-external _postprocess.cold.2
00007ffb1f284500 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffb1f285789 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffb1f27d8f6 (__TEXT,__text) non-external _refcmp
00007ffb1f27e079 (__TEXT,__text) non-external _reference_free
00007ffb1f27d871 (__TEXT,__text) non-external _refsearch
00007ffb1f27d61c (__TEXT,__text) non-external _register_plugins
00007ffb42cee750 (__DATA,__data) non-external _registered_once
00007ffb1f289bb0 (__TEXT,__const) non-external _reltable.houdini_escape_html0
00007ffb1f284a8e (__TEXT,__text) non-external _remove_delimiter
00007ffb1f289539 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffb1f280438 (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffb1f288565 (__TEXT,__text) non-external _row_from_string
00007ffb42ce61c0 (__DATA,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffb1f280596 (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffb1f284f8d (__TEXT,__text) non-external _spnl
00007ffb1f2896fe (__TEXT,__text) non-external _spnl.cold.1
00007ffb1f289721 (__TEXT,__text) non-external _spnl.cold.2
00007ffb1f289744 (__TEXT,__text) non-external _spnl.cold.3
00007ffb1f289767 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffb42cee8f0 (__DATA,__bss) non-external _syntax_extensions
00007ffb1f286dd5 (__TEXT,__text) non-external _try_opening_table_block
00007ffb1f288900 (__TEXT,__text) non-external _unescape_pipes
00007ffb1f289aa0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffb1f271fb0 (__TEXT,__text) non-external _validate_protocol
00007ffb1f26f20e (__TEXT,__text) non-external _xcalloc
00007ffb1f288e9f (__TEXT,__text) non-external _xcalloc.cold.1
00007ffb1f26f240 (__TEXT,__text) non-external _xfree
00007ffb1f27094e (__TEXT,__text) non-external _xml_attr
00007ffb1f287a35 (__TEXT,__text) non-external _xml_attr
00007ffb1f26f227 (__TEXT,__text) non-external _xrealloc
00007ffb1f288ec4 (__TEXT,__text) non-external _xrealloc.cold.1
