00007ffc1df57f95 (__TEXT,__text) non-external +[ODCAction action]
00007ffc43fd2f88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffc43fd2f58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffc43fd2f60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffc43fd2f70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffc43fd2f38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffc43fd2fb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffc43fd2fc8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffc43fd2fb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffc43fd2ef8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffc43fd2fe0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffc43fd2f40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffc43fd2f80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffc43fd2f90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffc43fd2f98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffc43fd2ef0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffc43fd2ee0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffc43fd2ed0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffc43fd2ea0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffc43fd2ed8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffc43fd2e78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffc43fd2ec0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffc43fd2e90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffc43fd2e98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffc43fd2eb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffc43fd2e88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffc43fd2eb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffc43fd2e70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffc43fd2ec8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffc43fd2ea8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffc43fd2e80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffc43fd3030 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffc43fd3018 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffc43fd3038 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffc43fd3010 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffc43fd3040 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffc43fd3050 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffc43fd3028 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffc43fd3048 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffc43fd3020 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffc43fd30a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffc43fd3000 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffc43fd2ff8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffc43fd3008 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffc43fd2fe8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffc43fd2ff0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffc43fd3090 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffc43fd3098 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffc43fd30a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffc43fd3078 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffc43fd3088 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffc43fd3080 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffc43fd3068 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffc43fd3060 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffc43fd3070 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffc43fd3058 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffc43fd3128 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffc43fd30d8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffc43fd31c8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffc43fd32b8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffc43fd3178 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffc43fd3268 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffc43fd3218 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffc4253ad58 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffc4253ad50 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffc4253ad68 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffc4253ad60 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffc4253ac48 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffc4253ac50 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffc4253ac58 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffc4253ac60 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffc4253ac68 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffc4253ac70 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffc4253ad38 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffc4253ad00 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffc4253ad08 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffc4253ac90 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffc4253ac98 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffc4253aca0 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffc4253aca8 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffc4253acb0 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffc4253acb8 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffc4253acc0 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffc4253acc8 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffc4253ad28 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffc4253ac40 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffc4253ace8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffc4253acf0 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffc4253acf8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffc4253ad20 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffc4253ac78 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffc4253ac80 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffc4253ac88 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffc4253ad18 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffc4253ad10 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffc4253ad48 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffc4253ad40 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffc4253ad30 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffc4253acd0 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffc4253acd8 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffc4253ace0 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffc1df645e0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffc1df64658 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffc1df64670 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc1df64688 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer
00007ffc1df646a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffc1df64cf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction
00007ffc1df64ea8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffc1df64fc8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc1df65040 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffc1df65100 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffc1df65178 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffc4253d310 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffc4253cfa0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffc4253dba0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffc4253e110 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffc4253da10 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffc4253df50 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffc4253ddf0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffc4253d718 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffc4253d188 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffc4253dcc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffc4253e138 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffc4253dab8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffc4253e018 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffc4253de78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffc4253d980 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffc4253d280 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffc4253dd60 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffc4253e150 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffc4253db10 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffc4253e080 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffc4253dec0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffc4253d2c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffc4253cf58 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffc4253db58 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffc4253e0c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffc4253d9c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffc4253df08 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffc4253dda8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffc1df57fe3 (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffc1df5ff12 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffc1df559f0 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffc1df55be3 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffc1df58e42 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffc1df559c6 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffc1df559dd (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffc1df65250 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffc1df65210 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffc1df6411c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffc1df640da (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffc4253ad70 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffc4253adb0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffc4253ac10 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffc4253abe0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffc4253afd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc4253b018 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffc4253ad90 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc4253aff8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc4253b038 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffc1df55bf1 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffc1df55b40 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffc1df55c08 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffc1df55b9c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffc1df641fb (__TEXT,__text) non-external ___fixup_schema2
00007ffc1df64211 (__TEXT,__text) non-external ___fixup_schema3
00007ffc1df6423f (__TEXT,__text) non-external ___fixup_schema4
00007ffc1df642f8 (__TEXT,__text) non-external ___fixup_schema5
00007ffc1df63fb1 (__TEXT,__text) non-external ___get_keyinfo
00007ffc43fd3320 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffc1df6390d (__TEXT,__text) non-external __schema_construct
00007ffc1df643b9 (__TEXT,__text) non-external __schema_construct.cold.1
00007ffc1df63aff (__TEXT,__text) non-external __schema_deconstruct
00007ffc1df643b9 (__TEXT,__text) non-external __schema_deconstruct.cold.1
00007ffc1df6400c (__TEXT,__text) non-external __schema_validate_type
00007ffc43fd3300 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffc1df643d1 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffc1df643e9 (__TEXT,__text) non-external __schema_validate_type.cold.2
00007ffc43fd3318 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffc43fd3308 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffc43fd3310 (__DATA,__bss) non-external __schema_validate_type.num
00007ffc43fd32f0 (__DATA,__bss) non-external __schema_validate_type.once
00007ffc43fd32f8 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffc43fd32e0 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffc4253af68 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffc4253af70 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffc4253af78 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffc4253af80 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffc4253af88 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffc4253ae20 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffc4253ae28 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffc4253ae30 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffc4253ae38 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffc4253ae60 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffc4253ae40 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffc4253ae48 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffc4253ae58 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffc4253ae50 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffc4253ae68 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffc4253ae70 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffc4253ae78 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffc4253ae80 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffc4253ae88 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffc4253ae98 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffc4253ae90 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffc4253aea0 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffc4253aea8 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffc4253aeb0 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffc4253af10 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffc4253af08 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffc4253af28 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffc4253af30 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffc4253af20 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffc4253af18 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffc4253af00 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffc4253aeb8 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffc4253aec0 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffc4253aed0 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffc4253aed8 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffc4253aee0 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffc4253aee8 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffc4253aec8 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffc4253aef0 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffc4253aef8 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffc4253af90 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffc4253afa0 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffc4253afa8 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffc4253afb0 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffc4253afb8 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffc4253afc0 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffc4253afc8 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffc4253af98 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffc4253afd0 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffc1df652c0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffc4253af50 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffc4253af60 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffc4253af58 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffc4253af48 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffc4253af40 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffc4253af38 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffc1df63f52 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffc43fd32e8 (__DATA,__bss) non-external _request_schema
00007ffc1df63a3b (__TEXT,__text) external _schema_construct_request
00007ffc1df638f3 (__TEXT,__text) external _schema_construct_requestv
00007ffc1df63e8e (__TEXT,__text) external _schema_construct_result
