00007ffc105493d3 (__TEXT,__text) non-external _Done_iODBC
00007ffc40285fc0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffc40285fe0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffc40286010 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffc40286040 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffc402860b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffc402860f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffc40286170 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffc402861d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffc40286250 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffc40286280 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffc402862d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffc40285f90 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffc40286300 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffc40285760 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffc40285330 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffc40285780 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffc40285400 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffc40285420 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffc402854d0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffc40285800 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffc402857b0 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffc40285100 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffc10560649 (__TEXT,__text) non-external __trace_bufferlen
00007ffc1055fe65 (__TEXT,__text) non-external __trace_c_type
00007ffc1055d338 (__TEXT,__text) non-external __trace_colattr2_type
00007ffc1055d638 (__TEXT,__text) non-external __trace_colattr3_data
00007ffc1055d376 (__TEXT,__text) non-external __trace_colattr3_type
00007ffc10559b20 (__TEXT,__text) non-external __trace_connattr_type
00007ffc1056092c (__TEXT,__text) non-external __trace_connopt_type
00007ffc1056262c (__TEXT,__text) non-external __trace_connstr
00007ffc105628bc (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffc1056281b (__TEXT,__text) non-external __trace_connstr_w
00007ffc10561988 (__TEXT,__text) non-external __trace_data
00007ffc10559dae (__TEXT,__text) non-external __trace_desc_null
00007ffc1055ccfc (__TEXT,__text) non-external __trace_descfield_type
00007ffc105616cc (__TEXT,__text) non-external __trace_diag_type
00007ffc1055eb0d (__TEXT,__text) non-external __trace_direction
00007ffc105626f9 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffc1055a68e (__TEXT,__text) non-external __trace_envattr_type
00007ffc1055ad11 (__TEXT,__text) non-external __trace_fetchtype
00007ffc10562d62 (__TEXT,__text) non-external __trace_freestmt_option
00007ffc1055e2e1 (__TEXT,__text) non-external __trace_func_name
00007ffc1055e240 (__TEXT,__text) non-external __trace_func_result
00007ffc1055af01 (__TEXT,__text) non-external __trace_getinfo
00007ffc1055f9a7 (__TEXT,__text) non-external __trace_handle
00007ffc1055f942 (__TEXT,__text) non-external __trace_handle_p
00007ffc1055f904 (__TEXT,__text) non-external __trace_handletype
00007ffc10560170 (__TEXT,__text) non-external __trace_inouttype
00007ffc1055fa19 (__TEXT,__text) non-external __trace_integer
00007ffc1055fb31 (__TEXT,__text) non-external __trace_integer_p
00007ffc1055fc0a (__TEXT,__text) non-external __trace_len
00007ffc1055fc44 (__TEXT,__text) non-external __trace_len_p
00007ffc1055fa52 (__TEXT,__text) non-external __trace_pointer
00007ffc1055f775 (__TEXT,__text) non-external __trace_print_function
00007ffc1055adde (__TEXT,__text) non-external __trace_scrollopt_type
00007ffc1055abdf (__TEXT,__text) non-external __trace_setpos_irow
00007ffc1055ac39 (__TEXT,__text) non-external __trace_setpos_lock
00007ffc1055abfb (__TEXT,__text) non-external __trace_setpos_oper
00007ffc1055f9e0 (__TEXT,__text) non-external __trace_smallint
00007ffc1055fa8a (__TEXT,__text) non-external __trace_smallint_p
00007ffc1055a8b8 (__TEXT,__text) non-external __trace_spcols_null
00007ffc1055a87a (__TEXT,__text) non-external __trace_spcols_scope
00007ffc1055a839 (__TEXT,__text) non-external __trace_spcols_type
00007ffc10560590 (__TEXT,__text) non-external __trace_sql_subtype
00007ffc105601ae (__TEXT,__text) non-external __trace_sql_type
00007ffc10560384 (__TEXT,__text) non-external __trace_sql_type_p
00007ffc10562aa9 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffc10562a6a (__TEXT,__text) non-external __trace_stats_unique
00007ffc10560c0c (__TEXT,__text) non-external __trace_stmtattr_type
00007ffc105613c3 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffc1055fcea (__TEXT,__text) non-external __trace_string
00007ffc1055fd93 (__TEXT,__text) non-external __trace_string_w
00007ffc1055fbd6 (__TEXT,__text) non-external __trace_stringlen
00007ffc40286320 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffc10562070 (__TEXT,__text) non-external __trace_tran_completion
00007ffc10562310 (__TEXT,__text) non-external __trace_typeinfo
00007ffc1055fa36 (__TEXT,__text) non-external __trace_uinteger
00007ffc1055fb84 (__TEXT,__text) non-external __trace_uinteger_p
00007ffc1055fc27 (__TEXT,__text) non-external __trace_ulen
00007ffc1055fc97 (__TEXT,__text) non-external __trace_ulen_p
00007ffc1055f9fd (__TEXT,__text) non-external __trace_usmallint
00007ffc1055fade (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffc41496782 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffc10563ba7 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffc105640d2 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffc10563b41 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffc10563df3 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffc10563c11 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffc105642dc (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffc10563cb7 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffc10563d5a (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffc10563da8 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffc10565888 (__TEXT,__text) non-external _do_create_dsns
00007ffc41496740 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffc41496720 (__DATA,__common) non-external _ierror
00007ffc105659b1 (__TEXT,__text) non-external _install_from_ini
00007ffc10565ea4 (__TEXT,__text) non-external _install_from_string
00007ffc41496180 (__DATA,__data) external _iodbc_version
00007ffc41496660 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffc414966a8 (__DATA,__data) non-external _numerrors
00007ffc41496190 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffc414966b0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffc10566049 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffc40284640 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffc414966f0 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffc1055c6d5 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffc10560894 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffc1055d1bb (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffc1055ea5d (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffc1055d120 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffc1055dbb1 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffc1056071c (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffc105607d8 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffc1055a7dd (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffc10561915 (__TEXT,__text) non-external _trace_SQLCancel
00007ffc1055eae3 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffc1055d5a4 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffc1055d988 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffc1055da1f (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffc1055dace (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffc105614ee (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffc105615dd (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffc1055c79c (__TEXT,__text) non-external _trace_SQLColumns
00007ffc1055c88b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffc10560f3a (__TEXT,__text) non-external _trace_SQLConnect
00007ffc10560ffa (__TEXT,__text) non-external _trace_SQLConnectW
00007ffc1055acd8 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffc1055eb6c (__TEXT,__text) non-external _trace_SQLDataSources
00007ffc1055ec51 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffc10559e1f (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffc10559f0b (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffc10561449 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffc1055eab9 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffc10562548 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffc10562737 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffc1055de12 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffc1055def7 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffc1055c690 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffc1055a223 (__TEXT,__text) non-external _trace_SQLError
00007ffc1055a312 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffc1055e8ae (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffc1055e90c (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffc1055a80f (__TEXT,__text) non-external _trace_SQLExecute
00007ffc1055ad53 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffc1055ede9 (__TEXT,__text) non-external _trace_SQLFetch
00007ffc105608e1 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffc105610ba (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffc105611fe (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffc10561399 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffc1055abb5 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffc1055c65e (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffc10562d9d (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffc10559c98 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffc10559d23 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffc10560aec (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffc10560b34 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffc1055d225 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffc1055d2ad (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffc10561fa0 (__TEXT,__text) non-external _trace_SQLGetData
00007ffc1055cff0 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffc1055d088 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffc10559ff7 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffc1055a10d (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffc105617e0 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffc10561888 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffc1055a4cf (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffc1055a5ae (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffc1055a6fb (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffc1055e858 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffc1055ae74 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffc1055c3ac (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffc10560e40 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffc10560ecb (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffc10561401 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffc105624e4 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffc10562516 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffc10562046 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffc1055cb59 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffc1055cc2a (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffc1055c97a (__TEXT,__text) non-external _trace_SQLNumParams
00007ffc10561342 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffc1055db7d (__TEXT,__text) non-external _trace_SQLParamData
00007ffc1055c731 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffc10562dcf (__TEXT,__text) non-external _trace_SQLPrepare
00007ffc10562e2d (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffc1055dfdc (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffc1055e0a0 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffc1055c439 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffc1055c528 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffc1055dc8a (__TEXT,__text) non-external _trace_SQLProcedures
00007ffc1055dd4e (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffc1056193f (__TEXT,__text) non-external _trace_SQLPutData
00007ffc1055a786 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffc105629c8 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffc10562a19 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffc10560b7c (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffc10560bc4 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffc1055ed2f (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffc1055ed8c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffc1055a401 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffc1055a468 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffc1055e164 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffc1055e96a (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffc1055ac77 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffc1055ae20 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffc1055e9bb (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffc1055ea0c (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffc1055c617 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffc1055a8f7 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffc1055aa56 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffc10562ae8 (__TEXT,__text) non-external _trace_SQLStatistics
00007ffc10562c25 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffc1055c9d1 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffc1055ca95 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffc10562130 (__TEXT,__text) non-external _trace_SQLTables
00007ffc1056221f (__TEXT,__text) non-external _trace_SQLTablesW
00007ffc105620b0 (__TEXT,__text) non-external _trace_SQLTransact
00007ffc414966e0 (__DATA,__bss) non-external _trace_appname
00007ffc1055f307 (__TEXT,__text) non-external _trace_emit
00007ffc1055f5f8 (__TEXT,__text) non-external _trace_emit_binary
00007ffc1055f3f8 (__TEXT,__text) non-external _trace_emit_string
00007ffc1055f3d2 (__TEXT,__text) non-external _trace_emitc
00007ffc414966e8 (__DATA,__bss) non-external _trace_fname
00007ffc41496700 (__DATA,__bss) non-external _trace_fp
00007ffc41496708 (__DATA,__bss) non-external _trace_fp_close
00007ffc1055ee44 (__TEXT,__text) non-external _trace_get_filename
00007ffc1055ee14 (__TEXT,__text) non-external _trace_set_appname
00007ffc1055ee55 (__TEXT,__text) non-external _trace_set_filename
00007ffc1055f0d1 (__TEXT,__text) non-external _trace_start
00007ffc1055f267 (__TEXT,__text) non-external _trace_stop
00007ffc1055f07e (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffc1056427c (__TEXT,__text) non-external _utf8_len
00007ffc1056435b (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffc41496780 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
