00007ff843ad7718 (__DATA,__data) non-external _C
00007ff801dbfd06 (__TEXT,__text) external ___rec_vmap
00007ff801dbfab3 (__TEXT,__text) external ___rec_vpipe
00007ff801dbd63a (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff801d86ea9 (__TEXT,__text) external ___rshift_D2A
00007ff801df3a00 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00007ff801d82426 (__TEXT,__text) external ___rv_alloc_D2A
00007ff801d82e0f (__TEXT,__text) external ___s2b_D2A
00007ff8438d48f0 (__DATA_DIRTY,__data) external ___sF
00007ff8438d4ac0 (__DATA_DIRTY,__data) non-external ___sFX
00007ff801d939b6 (__TEXT,__text) external ___sclose
00007ff8438d5010 (__DATA_DIRTY,__bss) non-external ___scounted
00007ff8438d6870 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff801d773a7 (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
00007ff801dcaeab (__TEXT,__text) external ___setonlyClocaleconv
00007ff801d96609 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff843ad94c8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff843ad94d0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff801de9605 (__TEXT,__text) non-external ___setup_vars
00007ff801de7aa4 (__TEXT,__text) non-external (was a private external) ___setutxent
00007ff801d82b5e (__TEXT,__text) external ___sflags
00007ff801d825c7 (__TEXT,__text) external ___sflush
00007ff801d82bf5 (__TEXT,__text) external ___sfp
00007ff801d82dbf (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff801d76b8e (__TEXT,__text) external ___sfvwrite
00007ff801db6d20 (__TEXT,__text) non-external (was a private external) ___sgetrune
00007ff843ad7aa0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff801d7df84 (__TEXT,__text) external ___sinit
00007ff801da9a98 (__TEXT,__text) external ___slbexpand
00007ff801d87150 (__TEXT,__text) external ___smakebuf
00007ff801df11e1 (__TEXT,__text) non-external ___smakebuf.cold.1
00007ff801d76f73 (__TEXT,__text) external ___snprintf_chk
00007ff801def953 (__TEXT,__text) external ___snprintf_object_size_chk
00007ff801dbd897 (__TEXT,__text) external ___split_page
00007ff801dd9310 (__TEXT,__text) non-external ___sprint
00007ff801d7ec6d (__TEXT,__text) external ___sprintf_chk
00007ff801defaa2 (__TEXT,__text) external ___sprintf_object_size_chk
00007ff801db6df5 (__TEXT,__text) non-external (was a private external) ___sputrune
00007ff801da4d89 (__TEXT,__text) external ___sread
00007ff801d7de3c (__TEXT,__text) external ___srefill
00007ff801d7de63 (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff801d7e708 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff801d9a0d7 (__TEXT,__text) external ___srget
00007ff801da4ef8 (__TEXT,__text) external ___sseek
00007ff801ddeded (__TEXT,__text) external ___stack_chk_fail
00007ff8438d6890 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
                 (undefined) external ___stat_extended (from libsystem_kernel)
00007ff843ad9570 (__DATA,__bss) non-external ___stderr_evp
00007ff843ad7a80 (__DATA,__data) external ___stderrp
00007ff843ad9550 (__DATA,__bss) non-external ___stdin_evp
00007ff843ad7a70 (__DATA,__data) external ___stdinp
00007ff801defb9b (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff843ad9560 (__DATA,__bss) non-external ___stdout_evp
00007ff843ad7a78 (__DATA,__data) external ___stdoutp
00007ff801defa4d (__TEXT,__text) external ___stpcpy_chk
00007ff801defb75 (__TEXT,__text) external ___stpncpy_chk
00007ff801df1d19 (__TEXT,__text) non-external ___stpncpy_chk.cold.1
00007ff801d78040 (__TEXT,__text) external ___strcat_chk
00007ff801dc2134 (__TEXT,__text) external ___strcp_D2A
00007ff801d8033f (__TEXT,__text) external ___strcpy_chk
00007ff843ad9768 (__DATA,__bss) non-external ___strerror_ebuf
00007ff801d7b75e (__TEXT,__text) external ___strlcat_chk
00007ff801d77878 (__TEXT,__text) external ___strlcpy_chk
00007ff801d78d80 (__TEXT,__text) external ___strncat_chk
00007ff801d7f1c8 (__TEXT,__text) external ___strncpy_chk
00007ff801df1cc4 (__TEXT,__text) non-external ___strncpy_chk.cold.1
00007ff801da3283 (__TEXT,__text) external ___sum_D2A
00007ff801dd4fa0 (__TEXT,__text) external ___svfscanf
00007ff801d7ba2e (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff801df44b0 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff801da7ab4 (__TEXT,__text) external ___swbuf
00007ff801d873b6 (__TEXT,__text) external ___swhatbuf
00007ff801da7060 (__TEXT,__text) external ___swrite
00007ff801d95af0 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00007ff843ad7b88 (__DATA,__data) non-external ___systemfn_mutex
00007ff843ad7c00 (__DATA,__data) non-external ___systemfn_mutex
00007ff801df3c60 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff801daff75 (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff801dafac8 (__TEXT,__text) non-external ___thread_stack_pcs
00007ff801d981d0 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff843ad9760 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff801df3c30 (__TEXT,__const) external ___tinytens_D2A
00007ff801d78e88 (__TEXT,__text) external ___tolower
00007ff801dcb884 (__TEXT,__text) external ___tolower_l
00007ff801d78ece (__TEXT,__text) external ___toupper
00007ff801dcb863 (__TEXT,__text) external ___toupper_l
00007ff801da33d6 (__TEXT,__text) external ___trailz_D2A
00007ff801d9ae5a (__TEXT,__text) external ___ulp_D2A
00007ff801d7705c (__TEXT,__text) non-external ___ultoa
00007ff801d7716e (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
00007ff801d9a15f (__TEXT,__text) external ___ungetc
00007ff801dd4941 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff801d77bf9 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff801df4ab0 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff801de8509 (__TEXT,__text) non-external (was a private external) ___utmpxname
00007ff843ad9848 (__DATA,__bss) non-external ___utx__
00007ff801df3894 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00007ff801d723b4 (__TEXT,__text) non-external (was a private external) ___v2printf
00007ff801d726f8 (__TEXT,__text) non-external (was a private external) ___vfprintf
00007ff801df1323 (__TEXT,__text) non-external ___vfprintf.cold.1
00007ff801df4470 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007ff801df4480 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007ff801dd51fd (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007ff801df44e0 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007ff801df44f0 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007ff801dd952b (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007ff801df45e0 (__TEXT,__const) non-external ___vfwscanf.basefix
00007ff801d85051 (__TEXT,__text) external ___vsnprintf_chk
00007ff801def9fe (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007ff801dcc420 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007ff801dcc0d0 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007ff801dcb780 (__TEXT,__text) external ___wcwidth
00007ff801dcb8a5 (__TEXT,__text) external ___wcwidth_l
00007ff801d965e1 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007ff843ad7838 (__DATA,__data) external ___xlocale_C_collate
00007ff801d93da8 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007ff801db3615 (__TEXT,__text) non-external ___xlocale_release
00007ff801da4f48 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007ff801df0070 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007ff843ad7720 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007ff801de72fe (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007ff801d84c73 (__TEXT,__text) non-external (was a private external) ___xvprintf
00007ff801de23ce (__TEXT,__text) external __allocenvstate
00007ff801dc219d (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007ff801dc82a1 (__TEXT,__text) non-external (was a private external) __ascii_init
00007ff801dc82ee (__TEXT,__text) non-external __ascii_mbrtowc
00007ff801dc8331 (__TEXT,__text) non-external __ascii_mbsinit
00007ff801dc833c (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007ff801dc83cf (__TEXT,__text) non-external __ascii_wcrtomb
00007ff801dc83fd (__TEXT,__text) non-external __ascii_wcsnrtombs
00007ff801daf391 (__TEXT,__text) external __atexit_receipt
00007ff843ad8b30 (__DATA,__bss) non-external __atexit_receipt_enabled
00007ff801d86195 (__TEXT,__text) non-external __backtrace_snprintf
00007ff801da9ec7 (__TEXT,__text) non-external __boottime_fallback_usec
00007ff840082dc0 (__DATA_CONST,__const) external __c_locale
00007ff801d9cf7e (__TEXT,__text) external __cleanup
00007ff801db13e6 (__TEXT,__text) external __closeutx
00007ff801dc8c79 (__TEXT,__text) external __collate_lookup
00007ff801dc9f91 (__TEXT,__text) non-external (was a private external) __collate_sxfrm
00007ff801df101f (__TEXT,__text) non-external __collate_sxfrm.cold.1
00007ff801dc9d0e (__TEXT,__text) non-external (was a private external) __collate_wxfrm
00007ff801df0ffc (__TEXT,__text) non-external __collate_wxfrm.cold.1
00007ff801de23d8 (__TEXT,__text) external __copyenv
00007ff843ad7b80 (__DATA,__data) external __cthread_init_routine
00007ff801de2450 (__TEXT,__text) external __deallocenvstate
00007ff801da4c50 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
                 (undefined) external __dyld_stack_range (from libdyld)
00007ff843ad98b0 (__DATA,__common) non-external (was a private external) __e_err_exit
00007ff843ad98a8 (__DATA,__common) non-external (was a private external) __e_err_file
00007ff801dc2409 (__TEXT,__text) non-external (was a private external) __e_visprintf
00007ff801de7bc2 (__TEXT,__text) external __endutxent
00007ff801df1ae4 (__TEXT,__text) non-external __endutxent.cold.1
00007ff801df1b0c (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
00007ff801daa0fc (__TEXT,__text) non-external __ffpp_strtoencf32_l
00007ff801defbda (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
00007ff801defbfd (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
00007ff801df27d0 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
00007ff801daa3aa (__TEXT,__text) non-external __ffpp_strtoencf64_l
00007ff801defc20 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00007ff801defc43 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00007ff801defc66 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
00007ff801df2b70 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
00007ff801daa867 (__TEXT,__text) non-external __ffpp_strtoencf80_l
00007ff801defc89 (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.1
00007ff801defcac (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.2
00007ff801df2d20 (__TEXT,__const) non-external __ffpp_strtoencf80_l.longDoublePowerOf10
00007ff801dee0d2 (__TEXT,__text) non-external (was a private external) __filldir
00007ff801dc5794 (__TEXT,__text) non-external (was a private external) __filldir$INODE64
00007ff801dee945 (__TEXT,__text) non-external (was a private external) __fixtelldir
00007ff801d78a4a (__TEXT,__text) non-external (was a private external) __fixtelldir$INODE64
00007ff801dd07c6 (__TEXT,__text) external __flockfile_debug_stub
00007ff801da6c56 (__TEXT,__text) external __fseeko
00007ff801da4d9a (__TEXT,__text) external __ftello
00007ff801d9cf8f (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
00007ff801ddef8c (__TEXT,__text) external __getenvp
00007ff801de7e6a (__TEXT,__text) external __getutxent
00007ff801df1b34 (__TEXT,__text) non-external __getutxent.cold.1
00007ff801df1b5c (__TEXT,__text) non-external __getutxent.cold.2
00007ff801de7ee0 (__TEXT,__text) external __getutxid
00007ff801df1b84 (__TEXT,__text) non-external __getutxid.cold.1
00007ff801df1bac (__TEXT,__text) non-external __getutxid.cold.2
00007ff801de8046 (__TEXT,__text) external __getutxline
00007ff801df1bd4 (__TEXT,__text) non-external __getutxline.cold.1
00007ff801df1bfc (__TEXT,__text) non-external __getutxline.cold.2
00007ff801d83857 (__TEXT,__text) external __inet_aton_check
00007ff801d93d52 (__TEXT,__text) external __init_clock_port
00007ff801ddc4fb (__TEXT,__text) external __int_to_time
00007ff801d7f281 (__TEXT,__text) non-external __isort
00007ff801d7f415 (__TEXT,__text) non-external __isort
00007ff801de234e (__TEXT,__text) non-external __legacy_crt1_environ
00007ff8438d4fe0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00007ff843ad9138 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00007ff8438d4fd8 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00007ff843ad9130 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00007ff8438d4fd0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00007ff843ad9128 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00007ff801db66bf (__TEXT,__text) external __libc_fork_child
00007ff801d93ca2 (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007ff801db66b3 (__TEXT,__text) external __libc_fork_parent
00007ff801db66a7 (__TEXT,__text) external __libc_fork_prepare
00007ff801d93c14 (__TEXT,__text) external __libc_initializer
00007ff801dcaf1b (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
00007ff801dcaeec (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
00007ff801dcaebd (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
00007ff801ddc4e9 (__TEXT,__text) external __long_to_time
00007ff801da9d9c (__TEXT,__text) non-external __mach_boottime_usec
00007ff801daf3c7 (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00007ff843ad8b34 (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00007ff8438d4fc8 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
00007ff801da30d1 (__TEXT,__text) non-external __mkdtemp_action
00007ff801da90d2 (__TEXT,__text) non-external __mkfilex_np
00007ff801d936f3 (__TEXT,__text) non-external __mkostemps_action
00007ff801d80a6a (__TEXT,__text) non-external __mkpath
00007ff801da48c5 (__TEXT,__text) external __mkpath_np
00007ff801dd2237 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007ff801df11fc (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007ff801dd2181 (__TEXT,__text) external __mktemp
00007ff801d87b33 (__TEXT,__text) non-external __mktemp_action
00007ff801dcb8d8 (__TEXT,__text) non-external (was a private external) __none_init
00007ff801d9fa32 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007ff801dcb925 (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007ff801dcb930 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007ff801d9cf50 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007ff801dcb9a0 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00007ff843ad92f0 (__DATA,__bss) non-external __onlyClocaleconv
00007ff801db133f (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007ff801df0133 (__TEXT,__text) external __os_assert_log
00007ff801df044c (__TEXT,__text) external __os_assert_log_ctx
00007ff801d99c98 (__TEXT,__text) external __os_assumes_log
00007ff801df029b (__TEXT,__text) external __os_assumes_log_ctx
00007ff801d7ee4c (__TEXT,__text) external __os_avoid_tail_call
00007ff801df0117 (__TEXT,__text) external __os_crash
00007ff843ad9898 (__DATA,__common) external __os_crash_callback
00007ff801db7378 (__TEXT,__text) external __os_crash_fmt
00007ff801df05c5 (__TEXT,__text) non-external __os_crash_fmt.cold.1
00007ff801db733c (__TEXT,__text) external __os_crash_msg
00007ff801defed0 (__TEXT,__text) external __os_debug_log
00007ff801db15df (__TEXT,__text) external __os_debug_log_error_offset
00007ff801d99e99 (__TEXT,__text) external __os_debug_log_error_str
00007ff801d99eaf (__TEXT,__text) non-external __os_debug_log_init
00007ff801db166e (__TEXT,__text) non-external __os_debug_log_open_file
00007ff801db1459 (__TEXT,__text) weak external __os_debug_log_redirect_func
00007ff801db1461 (__TEXT,__text) non-external __os_debug_log_write
00007ff801db15f4 (__TEXT,__text) non-external __os_debug_log_write_error
00007ff801db7438 (__TEXT,__text) non-external __os_get_build
00007ff801db73c4 (__TEXT,__text) non-external __os_get_image_uuid
                 (undefined) external __os_log_default (from libsystem_trace)
00007ff801d99e4e (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
00007ff801d777b5 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007ff801d7732f (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007ff801d7774a (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007ff840083000 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007ff801df6b50 (__TEXT,__cstring) non-external __printf_tbl_flags
00007ff801d93c66 (__TEXT,__text) non-external (was a private external) __program_vars_init
00007ff801de37e2 (__TEXT,__text) non-external __psort
00007ff801de425d (__TEXT,__text) non-external __psort
00007ff801de4c8f (__TEXT,__text) non-external __psort
00007ff801df17d7 (__TEXT,__text) non-external __psort.cold.1
00007ff801df1813 (__TEXT,__text) non-external __psort.cold.1
00007ff801df184f (__TEXT,__text) non-external __psort.cold.1
00007ff801de378d (__TEXT,__text) non-external __psort_parallel
00007ff801de4208 (__TEXT,__text) non-external __psort_parallel
00007ff801de4c35 (__TEXT,__text) non-external __psort_parallel
00007ff801ddf54d (__TEXT,__text) external __putenvp
00007ff801de811d (__TEXT,__text) external __pututxline
00007ff801df1c24 (__TEXT,__text) non-external __pututxline.cold.1
00007ff801df1c4c (__TEXT,__text) non-external __pututxline.cold.2
00007ff801db0022 (__TEXT,__text) non-external __pwuid_r
00007ff801da3783 (__TEXT,__text) non-external __qsort
00007ff801da3fe6 (__TEXT,__text) non-external __qsort
00007ff843ad7758 (__DATA,__data) external __rand48_add
00007ff843ad7750 (__DATA,__data) external __rand48_mult
00007ff843ad7748 (__DATA,__data) external __rand48_seed
00007ff801dee348 (__TEXT,__text) external __readdir_unlocked
00007ff801d788cf (__TEXT,__text) external __readdir_unlocked$INODE64
00007ff801d78ae0 (__TEXT,__text) external __reclaim_telldir
00007ff801df49b4 (__TEXT,__const) non-external (was a private external) __rp_alist
00007ff8438d68d8 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
00007ff801dee8b9 (__TEXT,__text) external __seekdir
00007ff801da4bb9 (__TEXT,__text) external __seekdir$INODE64
00007ff801de2492 (__TEXT,__text) external __setenvp
00007ff801de7ae0 (__TEXT,__text) external __setutxent
00007ff801df1a98 (__TEXT,__text) non-external __setutxent.cold.1
00007ff801df1abe (__TEXT,__text) non-external __setutxent.cold.2
00007ff801db67fd (__TEXT,__text) external __sigaction_nobind
00007ff843ad98d0 (__DATA,__common) external __sigintr
00007ff801dc6ef6 (__TEXT,__text) external __signal_nobind
00007ff801da9cb9 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007ff801dc6da3 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007ff801d7e761 (__TEXT,__text) external __sread
00007ff801d87581 (__TEXT,__text) external __sseek
00007ff801d94462 (__TEXT,__text) non-external (was a private external) __st_fmt
00007ff801db5390 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007ff801d7ad04 (__TEXT,__text) non-external (was a private external) __st_localsub
00007ff801d7acee (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007ff801d8aee2 (__TEXT,__text) non-external (was a private external) __st_time1
00007ff801d79036 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007ff801de87dc (__TEXT,__text) non-external __strfmon
00007ff801d9b20c (__TEXT,__text) non-external __strptime0
00007ff801df4720 (__TEXT,__const) non-external __strptime0.start_of_month
00007ff801db4ba0 (__TEXT,__text) external __subsystem_init
00007ff801d84e84 (__TEXT,__text) external __swrite
00007ff801daff4c (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00007ff801d809cb (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007ff801ddc4bc (__TEXT,__text) external __time32_to_time
00007ff801ddc4ce (__TEXT,__text) external __time64_to_time
00007ff801ddc4f2 (__TEXT,__text) external __time_to_int
00007ff801ddc4e0 (__TEXT,__text) external __time_to_long
00007ff801ddc4c5 (__TEXT,__text) external __time_to_time32
00007ff801ddc4d7 (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
00007ff801de2510 (__TEXT,__text) external __unsetenvp
00007ff801db1272 (__TEXT,__text) non-external (was a private external) __utmpx32_64
00007ff801db12d9 (__TEXT,__text) non-external (was a private external) __utmpx64_32
00007ff801db028e (__TEXT,__text) non-external (was a private external) __utmpx_asl
00007ff801df4ac1 (__TEXT,__const) non-external (was a private external) __utmpx_vers
00007ff801db06f0 (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00007ff843ad8b38 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00007ff801de85dd (__TEXT,__text) external __utmpxname
00007ff801df1c74 (__TEXT,__text) non-external __utmpxname.cold.1
00007ff801df1c9c (__TEXT,__text) non-external __utmpxname.cold.2
00007ff801da35fe (__TEXT,__text) non-external (was a private external) __vasprintf
00007ff801da8638 (__TEXT,__text) non-external (was a private external) __vdprintf
00007ff801da3421 (__TEXT,__text) non-external (was a private external) __vsnprintf
00007ff801d953dc (__TEXT,__text) non-external __yconv
00007ff801ddee53 (__TEXT,__text) external _a64l
00007ff801df34b0 (__TEXT,__const) non-external _a64toi
00007ff801df1568 (__TEXT,__text) external _abort
00007ff801df16a7 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
00007ff801ddef02 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007ff801db3be2 (__TEXT,__text) external _acl_add_flag_np
00007ff801db3c4d (__TEXT,__text) external _acl_add_perm
00007ff801db3702 (__TEXT,__text) external _acl_calc_mask
00007ff801db3bec (__TEXT,__text) external _acl_clear_flags_np
00007ff801db3c70 (__TEXT,__text) external _acl_clear_perms
00007ff801db3718 (__TEXT,__text) external _acl_copy_entry
00007ff801db3dd0 (__TEXT,__text) external _acl_copy_ext
00007ff801d8085e (__TEXT,__text) external _acl_copy_ext_native
00007ff801db3ea4 (__TEXT,__text) external _acl_copy_int
00007ff801da8be1 (__TEXT,__text) external _acl_copy_int_native
00007ff801db383c (__TEXT,__text) external _acl_create_entry
00007ff801db3779 (__TEXT,__text) external _acl_create_entry_np
00007ff801db3bcc (__TEXT,__text) external _acl_delete_def_file
00007ff801db384b (__TEXT,__text) external _acl_delete_entry
00007ff801db3a25 (__TEXT,__text) external _acl_delete_fd_np
00007ff801db3a3b (__TEXT,__text) external _acl_delete_file_np
00007ff801db3bfa (__TEXT,__text) external _acl_delete_flag_np
00007ff801db3a51 (__TEXT,__text) external _acl_delete_link_np
00007ff801db3c7e (__TEXT,__text) external _acl_delete_perm
00007ff801d807a4 (__TEXT,__text) external _acl_dup
00007ff840082dd0 (__DATA_CONST,__const) non-external _acl_flags
00007ff801d80924 (__TEXT,__text) external _acl_free
00007ff801db3f4a (__TEXT,__text) external _acl_from_text
00007ff801da9b01 (__TEXT,__text) external _acl_get_entry
00007ff801db3a67 (__TEXT,__text) external _acl_get_fd
00007ff801da30fb (__TEXT,__text) external _acl_get_fd_np
00007ff801da1da0 (__TEXT,__text) external _acl_get_file
00007ff801da1daf (__TEXT,__text) non-external _acl_get_file1
00007ff801da9bcf (__TEXT,__text) external _acl_get_flag_np
00007ff801da9b82 (__TEXT,__text) external _acl_get_flagset_np
00007ff801db3a76 (__TEXT,__text) external _acl_get_link_np
00007ff801db3ca3 (__TEXT,__text) external _acl_get_perm_np
00007ff801db3cc9 (__TEXT,__text) external _acl_get_permset
00007ff801db3d4a (__TEXT,__text) external _acl_get_permset_mask_np
00007ff801db3906 (__TEXT,__text) external _acl_get_qualifier
00007ff801db3969 (__TEXT,__text) external _acl_get_tag_type
00007ff801da8c6a (__TEXT,__text) external _acl_init
00007ff801db3d3b (__TEXT,__text) external _acl_maximal_permset_mask_np
00007ff840082e90 (__DATA_CONST,__const) non-external _acl_perms
00007ff801db3aee (__TEXT,__text) external _acl_set_fd
00007ff801db3a82 (__TEXT,__text) external _acl_set_fd_np
00007ff801db3af8 (__TEXT,__text) external _acl_set_file
00007ff801db3c06 (__TEXT,__text) external _acl_set_flagset_np
