00000001900ec92c (__TEXT,__text) non-external _Annihilate
00000001900fcd10 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
00000001900fd784 (__TEXT,__text) non-external _is_image_valid
00000001900f1dd8 (__TEXT,__text) non-external (was a private external) _join_thread
000000019014f370 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
0000000190130b10 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
0000000190130b70 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001e74f91f0 (__DATA_CONST,__const) non-external _kBrotliDictionary
0000000190131388 (__TEXT,__const) non-external _kBrotliDictionaryData
0000000190130a50 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
0000000190130ab0 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000019018eb58 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
0000000190151038 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001e74f93d8 (__DATA_CONST,__const) non-external _kBrotliTransforms
0000000190131168 (__TEXT,__const) non-external _kCmdHistoSeed
000000019014f4b2 (__TEXT,__const) non-external _kCmdLut
0000000190182a14 (__TEXT,__const) non-external _kCodeLengthBits
000000019014f480 (__TEXT,__const) non-external _kCodeLengthCodeOrder
0000000190182a00 (__TEXT,__const) non-external _kCodeLengthDepth
000000019014f492 (__TEXT,__const) non-external _kCodeLengthPrefixLength
000000019014f4a2 (__TEXT,__const) non-external _kCodeLengthPrefixValue
0000000190150ef8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
0000000190150eb8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000019015158c (__TEXT,__const) non-external _kDistanceCacheIndex
00000001901515cc (__TEXT,__const) non-external _kDistanceCacheOffset
0000000190150e04 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
0000000190150df0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
0000000190150e68 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
0000000190150e54 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
0000000190183560 (__TEXT,__const) non-external _kNonZeroRepsBits
0000000190182a5c (__TEXT,__const) non-external _kNonZeroRepsDepth
0000000190180604 (__TEXT,__const) non-external _kPrefixSuffix
00000001901806de (__TEXT,__const) non-external _kPrefixSuffixMap
0000000190184e20 (__TEXT,__const) non-external _kStaticCommandCodeBits
0000000190184b60 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00000001901516a0 (__TEXT,__const) non-external _kStaticDictionaryBuckets
000000019019f366 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
000000019018f366 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00000001901616a0 (__TEXT,__const) non-external _kStaticDictionaryWords
00000001901853e0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00000001901853a0 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
0000000190180742 (__TEXT,__const) non-external _kTransformsData
0000000190181400 (__TEXT,__const) non-external _kZeroRepsBits
0000000190180900 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00000001900d95e0 (__TEXT,__text) non-external _longest_match
000000019018a214 (__TEXT,__const) non-external (was a private external) _lut_rle
00000001900f1a9c (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
00000001900fa724 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00000001900fa718 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00000001900df3d0 (__TEXT,__text) non-external (was a private external) _lz4_decode
00000001900defc0 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00000001900dede4 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00000001900df740 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00000001900e0d54 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00000001900dae8c (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000019010ca20 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000019010ca20 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000019010ca20 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000019010c9ec (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000019010c324 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000019010c3dc (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00000001900faea0 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00000001900fad9c (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00000001900f713c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
0000000190108eec (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
0000000190107bd0 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle_unsafe
0000000190108f5c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
0000000190105c40 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
0000000190108f20 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
0000000190107ad4 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle_unsafe
0000000190108f64 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
0000000190105b0c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
0000000190102828 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
0000000190108e60 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00000001900f90c4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
0000000190108e94 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
0000000190108ed0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00000001900f90a4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
000000019018b260 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
0000000190105b60 (__TEXT,__text) non-external _lzbitmap_init_encode_state
000000019018aa60 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
0000000190105d80 (__TEXT,__text) non-external _lzbitmap_process_block
0000000190108f80 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
000000019018c260 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
000000019018a260 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
000000019012a1b0 (__TEXT,__text) non-external _lzfseBackendMatch
00000001900db414 (__TEXT,__text) non-external (was a private external) _lzfseDecode
00000001900df58c (__TEXT,__text) non-external _lzfseDecodeV1
0000000190129eb8 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
000000019012a210 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
0000000190129d18 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
0000000190129d70 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
000000019012a5ac (__TEXT,__text) non-external _lzfseEncodeMatches
0000000190129d40 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
0000000190129e38 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
000000019012a2bc (__TEXT,__text) non-external _lzfsePushMatch
00000001900db150 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00000001900db078 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
000000019010281c (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
000000019011d4cc (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
000000019011d434 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
000000019011d414 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00000001900dc784 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00000001900fbd6c (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00000001900fbb68 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00000001900fbd64 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00000001900dfe40 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
00000001900dfb90 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
00000001900fc940 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001ef3832b8 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00000001900dc40c (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
0000000190110298 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
0000000190110258 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
0000000190150ff8 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
0000000190151018 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00000001900dae8c (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00000001900fa1c4 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00000001900fa1c0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00000001900fa194 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00000001900fa130 (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00000001900db04c (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00000001900db12c (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
000000019012e958 (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
0000000190102f78 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
000000019012ce5c (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
0000000190107a28 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00000001900dc828 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
0000000190107a84 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00000001900dc828 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
0000000190151430 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00000001900db014 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
000000019012c808 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
000000019018f360 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00000001900daebc (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00000001900daf60 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
000000019012c410 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
000000019012c740 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
00000001900dbef8 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001ef382ab8 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
0000000190108124 (__TEXT,__text) non-external (was a private external) _lzvnEncode
00000001901080c8 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00000001900ed17c (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00000001900ed0e0 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00000001900ed0d4 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00000001900f140c (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00000001900f1338 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00000001900f1318 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00000001900dc840 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00000001900dc828 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
0000000190108b54 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
0000000190108b9c (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
0000000190108b40 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00000001900dae8c (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
0000000190107a24 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
0000000190107a20 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00000001901079f4 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00000001901079b8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
0000000190107968 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
0000000190107994 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
000000019010f93c (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
000000019010f930 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
0000000190124a14 (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00000001900e73b0 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00000001900e6ccc (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00000001900e6fb4 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00000001900e70c4 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
0000000190102e44 (__TEXT,__text) non-external (was a private external) _parse_size
00000001901856a4 (__TEXT,__const) non-external _position_slot_base_position
000000019018562c (__TEXT,__const) non-external _position_slot_extra_bits
00000001900da1d8 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00000001901263c4 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00000001900de750 (__TEXT,__text) non-external _readHuffmanTable
0000000190102d74 (__TEXT,__text) non-external (was a private external) _read_expected
00000001900d78f0 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00000001900da2bc (__TEXT,__text) non-external _scan_tree
00000001900da3c0 (__TEXT,__text) non-external _send_tree
0000000190108e30 (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
0000000190108db8 (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
0000000190108dc8 (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
0000000190108d8c (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
000000019010ca2c (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
000000019010cc08 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
00000001900fde14 (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
00000001900fe540 (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
00000001900f7c60 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
00000001900f7e64 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat (from libSystem)
00000001eb089960 (__DATA,__data) non-external _static_bl_desc
00000001eb089940 (__DATA,__data) non-external _static_d_desc
000000019018d9e8 (__TEXT,__const) non-external _static_dtree
00000001eb089920 (__DATA,__data) non-external _static_l_desc
000000019018d568 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001eb089900 (__DATA,__data) non-external (was a private external) _tc_quant16
00000001900ece08 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00000001900ed010 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00000001900ecf38 (__TEXT,__text) non-external _thread_pool_entry
00000001900ecc74 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00000001900ecd6c (__TEXT,__text) non-external (was a private external) _thread_pool_sync
0000000190124870 (__TEXT,__text) external _touchpadCodecCreate
00000001900ed3c0 (__TEXT,__text) external _touchpadCodecDecodeImage
00000001901249a0 (__TEXT,__text) external _touchpadCodecDestroy
000000019012c820 (__TEXT,__text) external _touchpadCodecEncodeImage
0000000190124010 (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
0000000190102ddc (__TEXT,__text) non-external (was a private external) _write_expected
000000019018eb12 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
000000019018eb0c (__TEXT,__const) non-external (was a private external) _xz_header_magic
000000019012c798 (__TEXT,__text) non-external _xz_read_multi_byte
000000019012c748 (__TEXT,__text) non-external _xz_simple_crc32
000000019011d934 (__TEXT,__text) external _yzip_codec_create
000000019011d970 (__TEXT,__text) external _yzip_codec_destroy
00000001900fcf6c (__TEXT,__text) external _yzip_image_create
00000001900fd0d4 (__TEXT,__text) external _yzip_image_create_with_payload
00000001900fd94c (__TEXT,__text) external _yzip_image_decode
00000001900fd270 (__TEXT,__text) external _yzip_image_destroy
00000001900fd274 (__TEXT,__text) external _yzip_image_encode
00000001900fdb44 (__TEXT,__text) external _yzip_image_get_descriptor
00000001900fdbfc (__TEXT,__text) external _yzip_image_get_max_payload_size
00000001900fdbb0 (__TEXT,__text) external _yzip_image_get_plane_descriptor
00000001900fdc84 (__TEXT,__text) external _yzip_image_set_data
00000001900fde08 (__TEXT,__text) external _yzip_image_set_identifier
00000001900fdd40 (__TEXT,__text) external _yzip_image_set_plane_data
00000001900f85e0 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00000001900f84f0 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00000001900f82e0 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00000001900f9020 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00000001900f8a8c (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00000001900f8f48 (__TEXT,__text) non-external _yzip_jobs_process
00000001900f8270 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
0000000190125cf4 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
0000000190124de4 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
0000000190124cf8 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
0000000190124e50 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
0000000190125640 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00000001900e0d3c (__TEXT,__text) non-external (was a private external) _zError
00000001e74f91a0 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
00000001900d7cb8 (__TEXT,__text) non-external (was a private external) _zcalloc
00000001900dae08 (__TEXT,__text) non-external (was a private external) _zcfree
00000001900e0308 (__TEXT,__text) external _zero_coder_decode
00000001900e040c (__TEXT,__text) external _zero_coder_encode
00000001900e0550 (__TEXT,__text) non-external _zero_coder_init_luts
00000001eb089b00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001eb089c00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001eb08a400 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001eb089a00 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
00000001900e0d34 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00000001900dcde0 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00000001900dda2c (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00000001901854dc (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00000001901854a0 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00000001900e0d28 (__TEXT,__text) non-external (was a private external) _zlibVersion
000000019010f464 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
000000019010f458 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00000001900ed92c (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00000001900ed920 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
0000000190108d88 (__TEXT,__text) non-external (was a private external) _zlib_free
0000000190108d5c (__TEXT,__text) non-external (was a private external) _zlib_malloc
00000001900dae8c (__TEXT,__text) non-external (was a private external) _zlib_stream_end
000000019010f908 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00000001900dc828 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
000000019010f914 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
000000019010f900 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00000001900d7840 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00000001900d80c0 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
00000001900e02e0 (__TEXT,__text) non-external vec_table
