00007fff780101e4 (__TEXT,__text) non-external _Done_iODBC
00007fff8d891bf0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007fff8d891c70 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007fff8d891ca0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007fff8d891cf0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007fff8d8919b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007fff8d891d20 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007fff8d891180 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007fff8d890d50 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007fff8d8911a0 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007fff8d890e20 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007fff8d890e40 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007fff8d890ef0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007fff8d891220 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007fff8d8911d0 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007fff8d890b20 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007fff7802759b (__TEXT,__text) non-external __trace_bufferlen
00007fff78026db8 (__TEXT,__text) non-external __trace_c_type
00007fff7802429c (__TEXT,__text) non-external __trace_colattr2_type
00007fff780245a5 (__TEXT,__text) non-external __trace_colattr3_data
00007fff780242d7 (__TEXT,__text) non-external __trace_colattr3_type
00007fff78020ae0 (__TEXT,__text) non-external __trace_connattr_type
00007fff78027864 (__TEXT,__text) non-external __trace_connopt_type
00007fff78029533 (__TEXT,__text) non-external __trace_connstr
00007fff780297be (__TEXT,__text) non-external __trace_connstr_hidepwd
00007fff7802971d (__TEXT,__text) non-external __trace_connstr_w
00007fff780288b4 (__TEXT,__text) non-external __trace_data
00007fff78020d68 (__TEXT,__text) non-external __trace_desc_null
00007fff78023c70 (__TEXT,__text) non-external __trace_descfield_type
00007fff780285f8 (__TEXT,__text) non-external __trace_diag_type
00007fff78025a70 (__TEXT,__text) non-external __trace_direction
00007fff780295ff (__TEXT,__text) non-external __trace_drvcn_completion
00007fff78021637 (__TEXT,__text) non-external __trace_envattr_type
00007fff78021ca5 (__TEXT,__text) non-external __trace_fetchtype
00007fff78029c66 (__TEXT,__text) non-external __trace_freestmt_option
00007fff78025245 (__TEXT,__text) non-external __trace_func_name
00007fff78025198 (__TEXT,__text) non-external __trace_func_result
00007fff78021e91 (__TEXT,__text) non-external __trace_getinfo
00007fff78026904 (__TEXT,__text) non-external __trace_handle
00007fff7802689f (__TEXT,__text) non-external __trace_handle_p
00007fff78026864 (__TEXT,__text) non-external __trace_handletype
00007fff780270c4 (__TEXT,__text) non-external __trace_inouttype
00007fff78026976 (__TEXT,__text) non-external __trace_integer
00007fff78026a8e (__TEXT,__text) non-external __trace_integer_p
00007fff78026b5d (__TEXT,__text) non-external __trace_len
00007fff78026b97 (__TEXT,__text) non-external __trace_len_p
00007fff780269af (__TEXT,__text) non-external __trace_pointer
00007fff780266e6 (__TEXT,__text) non-external __trace_print_function
00007fff78021d72 (__TEXT,__text) non-external __trace_scrollopt_type
00007fff78021b78 (__TEXT,__text) non-external __trace_setpos_irow
00007fff78021bcf (__TEXT,__text) non-external __trace_setpos_lock
00007fff78021b94 (__TEXT,__text) non-external __trace_setpos_oper
00007fff7802693d (__TEXT,__text) non-external __trace_smallint
00007fff780269e7 (__TEXT,__text) non-external __trace_smallint_p
00007fff7802185a (__TEXT,__text) non-external __trace_spcols_null
00007fff7802181f (__TEXT,__text) non-external __trace_spcols_scope
00007fff780217de (__TEXT,__text) non-external __trace_spcols_type
00007fff780274e0 (__TEXT,__text) non-external __trace_sql_subtype
00007fff780270ff (__TEXT,__text) non-external __trace_sql_type
00007fff780272d4 (__TEXT,__text) non-external __trace_sql_type_p
00007fff780299a8 (__TEXT,__text) non-external __trace_stats_accuracy
00007fff78029968 (__TEXT,__text) non-external __trace_stats_unique
00007fff78027b48 (__TEXT,__text) non-external __trace_stmtattr_type
00007fff780282f8 (__TEXT,__text) non-external __trace_stmtopt_type
00007fff78026c3d (__TEXT,__text) non-external __trace_string
00007fff78026ce6 (__TEXT,__text) non-external __trace_string_w
00007fff78026b33 (__TEXT,__text) non-external __trace_stringlen
00007fff8d891e20 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007fff78028f79 (__TEXT,__text) non-external __trace_tran_completion
00007fff78029214 (__TEXT,__text) non-external __trace_typeinfo
00007fff78026993 (__TEXT,__text) non-external __trace_uinteger
00007fff78026ae1 (__TEXT,__text) non-external __trace_uinteger_p
00007fff78026b7a (__TEXT,__text) non-external __trace_ulen
00007fff78026bea (__TEXT,__text) non-external __trace_ulen_p
00007fff7802695a (__TEXT,__text) non-external __trace_usmallint
00007fff78026a3b (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007fff7802afa2 (__TEXT,__text) non-external _calc_len_for_utf8
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007fff86945d12 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007fff7802ab4b (__TEXT,__text) non-external _dm_SQL_A2W
00007fff7802b064 (__TEXT,__text) non-external _dm_SQL_U8toW
00007fff7802aae6 (__TEXT,__text) non-external _dm_SQL_W2A
00007fff7802ad83 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007fff7802abb4 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007fff7802b252 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007fff7802ac52 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007fff7802acea (__TEXT,__text) non-external _dm_strcpy_A2W
00007fff7802ad38 (__TEXT,__text) non-external _dm_strcpy_W2A
00007fff7802c71e (__TEXT,__text) non-external _do_create_dsns
00007fff86945cd0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007fff86945cb0 (__DATA,__common) non-external _ierror
00007fff7802c854 (__TEXT,__text) non-external _install_from_ini
00007fff7802cd3b (__TEXT,__text) non-external _install_from_string
00007fff86945718 (__DATA,__data) external _iodbc_version
00007fff86945bf0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007fff86945c38 (__DATA,__data) non-external _numerrors
00007fff86945720 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007fff86945c40 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007fff7802cedf (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007fff8d88ff80 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007fff86945c80 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007fff7802365f (__TEXT,__text) non-external _trace_SQLAllocConnect
00007fff780277cf (__TEXT,__text) non-external _trace_SQLAllocEnv
00007fff7802412c (__TEXT,__text) non-external _trace_SQLAllocHandle
00007fff780259c3 (__TEXT,__text) non-external _trace_SQLAllocStmt
00007fff78024092 (__TEXT,__text) non-external _trace_SQLBindCol
00007fff78024b0e (__TEXT,__text) non-external _trace_SQLBindParameter
00007fff78027655 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007fff78027712 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007fff78021780 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007fff7802883f (__TEXT,__text) non-external _trace_SQLCancel
00007fff78025a46 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007fff78024510 (__TEXT,__text) non-external _trace_SQLColAttribute
00007fff780248e8 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007fff78024980 (__TEXT,__text) non-external _trace_SQLColAttributes
00007fff78024a2d (__TEXT,__text) non-external _trace_SQLColAttributesW
00007fff7802841e (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007fff7802850a (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007fff78023720 (__TEXT,__text) non-external _trace_SQLColumns
00007fff7802380c (__TEXT,__text) non-external _trace_SQLColumnsW
00007fff78027e70 (__TEXT,__text) non-external _trace_SQLConnect
00007fff78027f2b (__TEXT,__text) non-external _trace_SQLConnectW
00007fff78021c6c (__TEXT,__text) non-external _trace_SQLCopyDesc
00007fff78025ad4 (__TEXT,__text) non-external _trace_SQLDataSources
00007fff78025bb4 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007fff78020dd6 (__TEXT,__text) non-external _trace_SQLDescribeCol
00007fff78020ec0 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007fff7802837b (__TEXT,__text) non-external _trace_SQLDescribeParam
00007fff78025a1c (__TEXT,__text) non-external _trace_SQLDisconnect
00007fff78029450 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007fff7802963a (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007fff78024d70 (__TEXT,__text) non-external _trace_SQLDrivers
00007fff78024e50 (__TEXT,__text) non-external _trace_SQLDriversW
00007fff7802361c (__TEXT,__text) non-external _trace_SQLEndTran
00007fff780211dc (__TEXT,__text) non-external _trace_SQLError
00007fff780212c3 (__TEXT,__text) non-external _trace_SQLErrorW
00007fff78025813 (__TEXT,__text) non-external _trace_SQLExecDirect
00007fff78025870 (__TEXT,__text) non-external _trace_SQLExecDirectW
00007fff780217b4 (__TEXT,__text) non-external _trace_SQLExecute
00007fff78021ce4 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007fff78025d4f (__TEXT,__text) non-external _trace_SQLFetch
00007fff78027819 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007fff78027fe6 (__TEXT,__text) non-external _trace_SQLForeignKeys
00007fff78028130 (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007fff780282ce (__TEXT,__text) non-external _trace_SQLFreeConnect
00007fff78021b4e (__TEXT,__text) non-external _trace_SQLFreeEnv
00007fff780235ed (__TEXT,__text) non-external _trace_SQLFreeHandle
00007fff78029c9e (__TEXT,__text) non-external _trace_SQLFreeStmt
00007fff78020c58 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007fff78020ce0 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007fff78027a28 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007fff78027a70 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007fff78024193 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007fff78024217 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007fff78028ea4 (__TEXT,__text) non-external _trace_SQLGetData
00007fff78023f64 (__TEXT,__text) non-external _trace_SQLGetDescField
00007fff78023ffb (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007fff78020faa (__TEXT,__text) non-external _trace_SQLGetDescRec
00007fff780210c3 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007fff7802870c (__TEXT,__text) non-external _trace_SQLGetDiagField
00007fff780287b2 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007fff7802147d (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007fff7802155c (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007fff780216a4 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007fff780257c0 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007fff78021e04 (__TEXT,__text) non-external _trace_SQLGetInfo
00007fff78023340 (__TEXT,__text) non-external _trace_SQLGetInfoW
00007fff78027d7c (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007fff78027e04 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007fff78028333 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007fff780293e8 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007fff7802941c (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007fff78028f4f (__TEXT,__text) non-external _trace_SQLMoreResults
00007fff78023ad8 (__TEXT,__text) non-external _trace_SQLNativeSql
00007fff78023ba4 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007fff780238f8 (__TEXT,__text) non-external _trace_SQLNumParams
00007fff7802827a (__TEXT,__text) non-external _trace_SQLNumResultCols
00007fff78024ada (__TEXT,__text) non-external _trace_SQLParamData
00007fff780236b8 (__TEXT,__text) non-external _trace_SQLParamOptions
00007fff78029cd2 (__TEXT,__text) non-external _trace_SQLPrepare
00007fff78029d2f (__TEXT,__text) non-external _trace_SQLPrepareW
00007fff78024f30 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007fff78024ff6 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007fff780233cd (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007fff780234b9 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007fff78024be4 (__TEXT,__text) non-external _trace_SQLProcedures
00007fff78024caa (__TEXT,__text) non-external _trace_SQLProceduresW
00007fff78028869 (__TEXT,__text) non-external _trace_SQLPutData
00007fff7802172c (__TEXT,__text) non-external _trace_SQLRowCount
00007fff780298c4 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007fff78029916 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007fff78027ab8 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007fff78027b00 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007fff78025c97 (__TEXT,__text) non-external _trace_SQLSetCursorName
00007fff78025cf3 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007fff780213af (__TEXT,__text) non-external _trace_SQLSetDescField
00007fff78021416 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007fff780250bc (__TEXT,__text) non-external _trace_SQLSetDescRec
00007fff780258cd (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007fff78021c0a (__TEXT,__text) non-external _trace_SQLSetPos
00007fff78021db1 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007fff7802591f (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007fff78025971 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007fff780235a5 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007fff7802189a (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007fff780219f4 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007fff780299e8 (__TEXT,__text) non-external _trace_SQLStatistics
00007fff78029b27 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007fff7802394c (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007fff78023a12 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007fff78029039 (__TEXT,__text) non-external _trace_SQLTables
00007fff78029125 (__TEXT,__text) non-external _trace_SQLTablesW
00007fff78028fb9 (__TEXT,__text) non-external _trace_SQLTransact
00007fff86945c70 (__DATA,__bss) non-external _trace_appname
00007fff78026267 (__TEXT,__text) non-external _trace_emit
00007fff78026562 (__TEXT,__text) non-external _trace_emit_binary
00007fff78026358 (__TEXT,__text) non-external _trace_emit_string
00007fff78026332 (__TEXT,__text) non-external _trace_emitc
00007fff86945c78 (__DATA,__bss) non-external _trace_fname
00007fff86945c90 (__DATA,__bss) non-external _trace_fp
00007fff86945c98 (__DATA,__bss) non-external _trace_fp_close
00007fff78025dac (__TEXT,__text) non-external _trace_get_filename
00007fff78025d7c (__TEXT,__text) non-external _trace_set_appname
00007fff78025dbd (__TEXT,__text) non-external _trace_set_filename
00007fff7802603b (__TEXT,__text) non-external _trace_start
00007fff780261c7 (__TEXT,__text) non-external _trace_stop
00007fff78025fe8 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007fff7802b1fe (__TEXT,__text) non-external _utf8_len
00007fff7802b2d6 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007fff86945d10 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
