00007ff80ed074a7 (__TEXT,__text) non-external _Annihilate
00007ff80ecf3f8c (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80ed52761 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fwrite (from libSystem)
00007ff80edb27f0 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80edb1d70 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80edb1eb0 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80ed1ddcc (__TEXT,__text) non-external (was a private external) _get_conversion_set
00007ff80ed4a233 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80ed227b2 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80ed1bc01 (__TEXT,__text) non-external _get_format_bits
00007ff80ed1ba69 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00007ff80ed1ba8a (__TEXT,__text) non-external (was a private external) _get_format_components
00007ff80ed1bb04 (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00007ff80ed1bdaf (__TEXT,__text) non-external _get_format_plane_count
00007ff80ed1bb22 (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00007ff80ed16475 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80ed164b0 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80ed164f1 (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80ed2277e (__TEXT,__text) non-external (was a private external) _get_real_time
00007ff80ed164da (__TEXT,__text) non-external (was a private external) _get_slice_height
00007ff80ed164c4 (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
00007ff80ed1bdf6 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80ed1bb33 (__TEXT,__text) non-external (was a private external) _is_format_invalid
00007ff80ed1ba4c (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
00007ff80ed1c451 (__TEXT,__text) non-external _is_image_valid
00007ff80ed0f173 (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80ed73300 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80ed54980 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80ed549e0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff8415621c0 (__DATA_CONST,__const) non-external _kBrotliDictionary
00007ff80ed552d0 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80ed548c0 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80ed54920 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80edb2be0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80ed74e80 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff841562a90 (__DATA_CONST,__const) non-external _kBrotliTransforms
00007ff80ed55050 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80ed73440 (__TEXT,__const) non-external _kCmdLut
00007ff80eda69a0 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80ed73400 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80eda6980 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80ed73420 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80ed73430 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80ed74d40 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80ed74d00 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80ed75530 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80ed75570 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80ed74c40 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80ed74c20 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80ed74cb0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80ed74c90 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80eda74f0 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80eda69f0 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80eda4550 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80eda4630 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80ed547c0 (__TEXT,__const) non-external _kReverseBits
00007ff80eda8db0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80eda8af0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80ed755e0 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80edc33f0 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80edb33f0 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80ed855e0 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff80eda9370 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff80eda9330 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00007ff80eda46a0 (__TEXT,__const) non-external _kTransformsData
00007ff80eda5380 (__TEXT,__const) non-external _kZeroRepsBits
00007ff80eda4880 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff80ecf23c7 (__TEXT,__text) non-external _longest_match
00007ff80edae250 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff80ed0ed9f (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
00007ff80ed192fb (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00007ff80ed192f0 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00007ff80ecf80d0 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff80ecf7c40 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff80ecf7a8b (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00007ff80ecf8fe2 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00007ff80ecf8e36 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00007ff80ecf415c (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00007ff80ed2f98a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00007ff80ed2f98a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00007ff80ed2f98a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00007ff80ed2f963 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00007ff80ed2f280 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00007ff80ed2f328 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00007ff80ed19b71 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00007ff80ed19a85 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00007ff80ed14a08 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00007ff80ed2b929 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00007ff80ed2a486 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
00007ff80ed2b96c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00007ff80ed282d8 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00007ff80ed2b945 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00007ff80ed2a3a3 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
00007ff80ed2b977 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00007ff80ed281a0 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00007ff80ed21e3c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00007ff80ed2b8d9 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00007ff80ed175ed (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00007ff80ed2b8f5 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00007ff80ed2b91c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00007ff80ed175d3 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00007ff80edaf290 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00007ff80ed281e5 (__TEXT,__text) non-external _lzbitmap_init_encode_state
00007ff80edaea90 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00007ff80ed28412 (__TEXT,__text) non-external _lzbitmap_process_block
00007ff80ed2b984 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00007ff80edb0290 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00007ff80edae290 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00007ff80ed5140a (__TEXT,__text) non-external _lzfseBackendMatch
00007ff80ecf4670 (__TEXT,__text) non-external (was a private external) _lzfseDecode
00007ff80ecf82ae (__TEXT,__text) non-external _lzfseDecodeV1
00007ff80ed5104f (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00007ff80ed51449 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00007ff80ed50e80 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00007ff80ed50eeb (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00007ff80ed517d0 (__TEXT,__text) non-external _lzfseEncodeMatches
00007ff80ed50ea9 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00007ff80ed50fb7 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00007ff80ed514ee (__TEXT,__text) non-external _lzfsePushMatch
00007ff80ecf43ef (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00007ff80ecf431d (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00007ff80ed21e2f (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00007ff80ed4368b (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00007ff80ed435f5 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00007ff80ed435e4 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00007ff80ecf60c3 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00007ff80ed1a984 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00007ff80ed1a7e5 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00007ff80ed1a979 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00007ff80ed1b66f (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00007ff841562290 (__DATA_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00007ff80ecf5d08 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00007ff80ed33a87 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00007ff80ed33a53 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00007ff80ed74e40 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00007ff80ed74e60 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00007ff80ecf415c (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00007ff80ed18c69 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00007ff80ed18c5f (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00007ff80ed18c36 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00007ff80ed18bf5 (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00007ff80ecf42f5 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00007ff80ecf43c9 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
00007ff80ed2282e (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
00007ff80ed227f4 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
00007ff80ed54286 (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00007ff80ed2a309 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00007ff80ecf6163 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00007ff80ed2a361 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00007ff80ecf6163 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
00007ff80ed753c0 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00007ff80ecf42cd (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00007ff80ed53c22 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00007ff80edb33e0 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00007ff80ecf417f (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00007ff80ecf423d (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00007ff80ed537cd (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
00007ff80ed53b59 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
00007ff80ecf57df (__TEXT,__text) non-external (was a private external) _lzvnDecode
00007ff8415619c0 (__DATA_CONST,__const) non-external _lzvnDecode.opc_tbl
00007ff80ed2a9c1 (__TEXT,__text) non-external (was a private external) _lzvnEncode
00007ff80ed2a945 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00007ff80ed092de (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00007ff80ed0924d (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00007ff80ed09242 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00007ff80ed0e66c (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00007ff80ed0e596 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00007ff80ed0e585 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00007ff843761940 (__DATA,__data) non-external _lzvn_decode.opcode_table
00007ff80ecf6180 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00007ff80ecf6163 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00007ff80ed2b56d (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00007ff80ed2b5ab (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00007ff80ed2b553 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00007ff80ecf415c (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00007ff80ed2a2ff (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00007ff80ed2a2f5 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00007ff80ed2a2cc (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00007ff80ed2a2aa (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00007ff80ed2a25c (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00007ff80ed2a284 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00007ff80ed330d2 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00007ff80ed330c7 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00007ff80ed4af6d (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00007ff80ed01067 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00007ff80ed00acd (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00007ff80ed00c8a (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00007ff80ed00d6e (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00007ff80ed22704 (__TEXT,__text) non-external (was a private external) _parse_size
00007ff80eda9670 (__TEXT,__const) non-external _position_slot_base_position
00007ff80eda95f0 (__TEXT,__const) non-external _position_slot_extra_bits
00007ff80ecf341b (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80ed4cd00 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00007ff80ecf71f0 (__TEXT,__text) non-external _readHuffmanTable
00007ff80ed22658 (__TEXT,__text) non-external (was a private external) _read_expected
00007ff80ecf038b (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00007ff80ecf3501 (__TEXT,__text) non-external _scan_tree
00007ff80ecf35f0 (__TEXT,__text) non-external _send_tree
00007ff80ed2b8a0 (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
00007ff80ed2b82a (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
00007ff80ed2b841 (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
00007ff80ed2b7f5 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
00007ff80ed2f995 (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
00007ff80ed2fba6 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
00007ff80ed1cb59 (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
00007ff80ed1d0df (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
00007ff80ed15ed8 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
00007ff80ed160f7 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat$INODE64 (from libSystem)
00007ff80ed32cf0 (__TEXT,__text) non-external _staticHuffmanTable
00007ff8437618f0 (__DATA,__data) non-external _static_bl_desc
00007ff8437618d0 (__DATA,__data) non-external _static_d_desc
00007ff80edb1a50 (__TEXT,__const) non-external _static_dtree
00007ff8437618b0 (__DATA,__data) non-external _static_l_desc
00007ff80edb15d0 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ff843761810 (__DATA,__data) non-external (was a private external) _tc_quant16
00007ff80ed08f63 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00007ff80ed09185 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00007ff80ed09088 (__TEXT,__text) non-external _thread_pool_entry
00007ff80ed08dbb (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00007ff80ed08ed8 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
00007ff80ed4addc (__TEXT,__text) external _touchpadCodecCreate
00007ff80ed094f3 (__TEXT,__text) external _touchpadCodecDecodeImage
00007ff80ed4af20 (__TEXT,__text) external _touchpadCodecDestroy
00007ff80ed53c33 (__TEXT,__text) external _touchpadCodecEncodeImage
00007ff80ed4a51c (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
00007ff80ed226b0 (__TEXT,__text) non-external (was a private external) _write_expected
00007ff80edb2b96 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
00007ff80edb2b90 (__TEXT,__const) non-external (was a private external) _xz_header_magic
00007ff80ed53bb6 (__TEXT,__text) non-external _xz_read_multi_byte
00007ff80ed53b64 (__TEXT,__text) non-external _xz_simple_crc32
00007ff80ed43ac1 (__TEXT,__text) external _yzip_codec_create
00007ff80ed43aef (__TEXT,__text) external _yzip_codec_destroy
00007ff80ed43b14 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
00007ff80ed1bc7c (__TEXT,__text) external _yzip_image_create
00007ff80ed1bdce (__TEXT,__text) external _yzip_image_create_with_payload
00007ff80ed1c5e3 (__TEXT,__text) external _yzip_image_decode
00007ff80ed1bf1d (__TEXT,__text) external _yzip_image_destroy
00007ff80ed1bf27 (__TEXT,__text) external _yzip_image_encode
00007ff80ed1c82e (__TEXT,__text) external _yzip_image_get_descriptor
00007ff80ed1c8e4 (__TEXT,__text) external _yzip_image_get_max_payload_size
00007ff80ed1c893 (__TEXT,__text) external _yzip_image_get_plane_descriptor
00007ff80ed1c967 (__TEXT,__text) external _yzip_image_set_data
00007ff80ed1cb4c (__TEXT,__text) external _yzip_image_set_identifier
00007ff80ed1ca74 (__TEXT,__text) external _yzip_image_set_plane_data
00007ff80ed16aef (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00007ff80ed169e3 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00007ff80ed16756 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00007ff80ed17551 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00007ff80ed16fde (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00007ff80ed174b5 (__TEXT,__text) non-external _yzip_jobs_process
00007ff80ed166fa (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00007ff80ed4c57f (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00007ff80ed4b2db (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
00007ff80ed4b1ec (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
00007ff80ed4b342 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00007ff80ed4bd77 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00007ff80ecf8e1c (__TEXT,__text) non-external (was a private external) _zError
00007ff841561970 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
00007ff80ecf0699 (__TEXT,__text) non-external (was a private external) _zcalloc
00007ff80ecf40ce (__TEXT,__text) non-external (was a private external) _zcfree
00007ff80ecf8490 (__TEXT,__text) external _zero_coder_decode
00007ff80ecf8598 (__TEXT,__text) external _zero_coder_encode
00007ff80ecf86c6 (__TEXT,__text) non-external _zero_coder_init_luts
00007ff843762150 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00007ff843762250 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00007ff843762a50 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00007ff843762140 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
00007ff80ecf8e11 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00007ff80ecf64bf (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00007ff80ecf6aa0 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00007ff80eda9490 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00007ff80eda9450 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00007ff80ecf8e04 (__TEXT,__text) non-external (was a private external) _zlibVersion
00007ff80ed32b5f (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00007ff80ed32b54 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00007ff80ed09baf (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00007ff80ed09ba4 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00007ff80ed2b7ef (__TEXT,__text) non-external (was a private external) _zlib_free
00007ff80ed2b7c7 (__TEXT,__text) non-external (was a private external) _zlib_malloc
00007ff80ecf415c (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00007ff80ed330a4 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00007ff80ecf6163 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00007ff80ed330af (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00007ff80ecf6163 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00007ff80ecf02c5 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00007ff80ecf0f85 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
                 (undefined) external dyld_stub_binder (from libSystem)
00007ff80ecf97bb (__TEXT,__text) non-external n_loop
00007ff80ecf9aaa (__TEXT,__text) non-external scalar_loop
00007ff80ecf97a0 (__TEXT,__text) non-external skip_loading_tables
00007ff843761860 (__DATA,__data) non-external sum2_coefficients
00007ff843761830 (__DATA,__data) non-external sum2_coefficients_nossse3
