00000002266284a8 (__TEXT,__text) non-external _DiToMD5
000000022662a278 (__TEXT,__text) external __ZN12IODMACommand14GetPreparationEPyS0_PP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
000000022662a3ec (__TEXT,__text) external __ZN12IODMACommand16PerformOperationEyyyyP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
000000022662a6cc (__TEXT,__text) external __ZN12IODMACommand18CompleteDMA_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
000000022662a5c0 (__TEXT,__text) external __ZN12IODMACommand20PrepareForDMA_InvokeE5IORPCP15OSMetaClassBasePFiS2_yP18IOMemoryDescriptoryyPyPjP16IOAddressSegmentE
000000022662a764 (__TEXT,__text) external __ZN12IODMACommand21GetPreparation_InvokeE5IORPCP15OSMetaClassBasePFiS2_PyS3_PP18IOMemoryDescriptorE
000000022662a818 (__TEXT,__text) external __ZN12IODMACommand23PerformOperation_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyP18IOMemoryDescriptorE
0000000226610e20 (__TEXT,__text) external __ZN12IODMACommand4freeEv
0000000226610da8 (__TEXT,__text) external __ZN12IODMACommand4initEv
0000000226629e9c (__TEXT,__text) external __ZN12IODMACommand6CreateEP9IOServiceyPK25IODMACommandSpecificationPPS_
0000000226629da4 (__TEXT,__text) external __ZN12IODMACommand8DispatchE5IORPC
0000000226629df4 (__TEXT,__text) external __ZN12IODMACommand9_DispatchEPS_5IORPC
0000000226611a6c (__TEXT,__text) external __ZN12IOUserClient14ExternalMethodEyP27IOUserClientMethodArgumentsPK26IOUserClientMethodDispatchP8OSObjectPv
00000002266367a8 (__TEXT,__text) external __ZN12IOUserClient15AsyncCompletionEP8OSActioniPKyjPFiP15OSMetaClassBase5IORPCE
0000000226636ca4 (__TEXT,__text) external __ZN12IOUserClient15_ExternalMethodEyPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS3_S5_P8OSActionPFiP15OSMetaClassBase5IORPCE
0000000226611be0 (__TEXT,__text) external __ZN12IOUserClient20_ExternalMethod_ImplEyPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS3_S5_P8OSAction
0000000226636f84 (__TEXT,__text) external __ZN12IOUserClient22AsyncCompletion_InvokeE5IORPCP15OSMetaClassBasePFvS2_P8OSActioniPKyjE
0000000226636fbc (__TEXT,__text) external __ZN12IOUserClient22AsyncCompletion_InvokeE5IORPCP15OSMetaClassBasePFvS2_P8OSActioniPKyjEPK11OSMetaClass
0000000226636b60 (__TEXT,__text) external __ZN12IOUserClient22CopyClientEntitlementsEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
0000000226636594 (__TEXT,__text) external __ZN12IOUserClient22_ExternalMethod_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS6_S8_P8OSActionE
0000000226636878 (__TEXT,__text) external __ZN12IOUserClient23CopyClientMemoryForTypeEyPyPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00000002266119f8 (__TEXT,__text) external __ZN12IOUserClient27CopyClientEntitlements_ImplEPP12OSDictionary
0000000226636ed0 (__TEXT,__text) external __ZN12IOUserClient28CreateActionKernelCompletionEmPP8OSAction
00000002266364e0 (__TEXT,__text) external __ZN12IOUserClient29CopyClientEntitlements_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
0000000226637098 (__TEXT,__text) external __ZN12IOUserClient30CopyClientMemoryForType_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPyPP18IOMemoryDescriptorE
00000002266369d8 (__TEXT,__text) external __ZN12IOUserClient32CreateMemoryDescriptorFromClientEyjPK16IOAddressSegmentPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
000000022663714c (__TEXT,__text) external __ZN12IOUserClient39CreateMemoryDescriptorFromClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_yjPK16IOAddressSegmentPP18IOMemoryDescriptorE
0000000226610fb4 (__TEXT,__text) external __ZN12IOUserClient4freeEv
0000000226610e70 (__TEXT,__text) external __ZN12IOUserClient4initEv
00000002266363c4 (__TEXT,__text) external __ZN12IOUserClient8DispatchE5IORPC
00000002266363f8 (__TEXT,__text) external __ZN12IOUserClient9_DispatchEPS_5IORPC
00000002266379bc (__TEXT,__text) external __ZN12IOUserServer10LoadModuleEPKcPFiP15OSMetaClassBase5IORPCE
0000000226637500 (__TEXT,__text) external __ZN12IOUserServer11Exit_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
0000000226637b00 (__TEXT,__text) external __ZN12IOUserServer13Create_InvokeE5IORPCPFiPKcyyP8OSStringPPS_E
000000022660cf90 (__TEXT,__text) external __ZN12IOUserServer15LoadModule_ImplEPKc
00000002266375cc (__TEXT,__text) external __ZN12IOUserServer17LoadModule_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
0000000226637878 (__TEXT,__text) external __ZN12IOUserServer4ExitEPKcPFiP15OSMetaClassBase5IORPCE
000000022660cea8 (__TEXT,__text) external __ZN12IOUserServer4freeEv
000000022660ce98 (__TEXT,__text) external __ZN12IOUserServer4initEv
00000002266376ec (__TEXT,__text) external __ZN12IOUserServer6CreateEPKcyyP8OSStringPPS_
00000002266373e4 (__TEXT,__text) external __ZN12IOUserServer8DispatchE5IORPC
000000022660cf68 (__TEXT,__text) external __ZN12IOUserServer9Exit_ImplEPKc
0000000226637418 (__TEXT,__text) external __ZN12IOUserServer9_DispatchEPS_5IORPC
0000000226618a44 (__TEXT,__text) external __ZN12OSDictionary11withObjectsEPPK8OSObjectS3_jj
0000000226618c20 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPK8OSObject
0000000226618c2c (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPKc
0000000226618a40 (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
000000022661889c (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
0000000226618af8 (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00000002266188ac (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00000002266189c8 (__TEXT,__text) external __ZN12OSDictionary4freeEv
0000000226618b60 (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
0000000226618aec (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
0000000226618c10 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
0000000226612150 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00000002266124d8 (__TEXT,__text) external __ZN12OSMappedFile4freeEv
0000000226612458 (__TEXT,__text) external __ZN12OSMappedFile4initEv
0000000226619f5c (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
0000000226619be0 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
0000000226619e1c (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
0000000226619e80 (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
0000000226619c90 (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
0000000226619c84 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
0000000226619d00 (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
0000000226612834 (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
0000000226612658 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
0000000226612974 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
0000000226612a58 (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
000000022663bb5c (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
0000000226612b34 (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
000000022663bb88 (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00000002266126f4 (__TEXT,__text) external __ZN13IOCommandPool4freeEv
0000000226612648 (__TEXT,__text) external __ZN13IOCommandPool4initEv
0000000226612780 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
0000000226627ef4 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
0000000226627e60 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
0000000226627d2c (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
0000000226627c94 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00000002266279cc (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
0000000226627d20 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00000002266394e8 (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
000000022662bb7c (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
000000022660b084 (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
000000022662bd94 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
000000022660d4d4 (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
000000022660d748 (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
000000022662bcfc (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
000000022660af24 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
000000022660dc30 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
000000022660d8f4 (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
000000022663b5b0 (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
000000022660dcc4 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
000000022663b68c (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
000000022663b6b8 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
000000022660d670 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
000000022660d6c0 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
000000022663b584 (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
000000022660d480 (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
000000022660d1e4 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
000000022660cff4 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
000000022660dcc0 (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
000000022660d074 (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
000000022660ca80 (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
000000022663b31c (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
000000022663b348 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
000000022663b374 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
000000022663b3a0 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
000000022663b3cc (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
000000022663b3f8 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
000000022663b424 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
000000022663b450 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
000000022660dd78 (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
000000022660ae18 (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
000000022660ae24 (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
000000022662ba94 (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
000000022662b99c (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
000000022660dd80 (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
000000022662b9ec (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
0000000226627274 (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
0000000226626d14 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
0000000226626dc4 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
0000000226627418 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
0000000226627498 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
0000000226626dc8 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
000000022663d044 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00000002266276b4 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00000002266277f8 (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
0000000226626f94 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
000000022663d05c (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
0000000226627804 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
0000000226627810 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
000000022662650c (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00000002266265c4 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
000000022662716c (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
0000000226627270 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
0000000226638bf4 (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00000002266095ac (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
0000000226609e48 (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
000000022660a120 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
000000022663a644 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
000000022663a670 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
000000022660a06c (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
000000022663a5f4 (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
000000022660a830 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
000000022663a8c0 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
000000022663a8ec (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
000000022663a918 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
000000022663a944 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
000000022663a970 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
000000022663a99c (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
000000022660a2e8 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
000000022663a760 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
000000022663a78c (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
000000022663a7b8 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
000000022663a7e4 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00000002266095a4 (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00000002266095dc (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00000002266159e4 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
000000022661a768 (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
000000022663c6e0 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
000000022661a71c (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
000000022663c6b4 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
000000022661a714 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
000000022661a718 (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
000000022661a79c (__TEXT,__text) external __ZN15OSSerialization4freeEv
000000022662c2b4 (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
000000022662c52c (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
000000022660df2c (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
000000022662bfb0 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
000000022662c664 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
000000022662c1a4 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
000000022662c5c4 (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
000000022660df20 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
000000022660df10 (__TEXT,__text) external __ZN16IODispatchSource4initEv
000000022662c09c (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
000000022662bedc (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
000000022662c420 (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
000000022662bf10 (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
000000022662512c (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
000000022663cc10 (__TEXT,__text) non-external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey.cold.1
000000022662473c (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
0000000226624fe4 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
000000022662476c (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
000000022662560c (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00000002266254f4 (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
000000022663cc4c (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
0000000226625470 (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
000000022663cc24 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
0000000226625540 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
000000022663cc74 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
0000000226625680 (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
0000000226624b34 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
000000022663cae8 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
000000022663cb10 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
000000022663cb4c (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
000000022663cb7c (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
000000022663cbb8 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
0000000226624804 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
000000022663c958 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
000000022663c980 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
000000022663c998 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
0000000226624f34 (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
0000000226624d1c (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
000000022662470c (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
0000000226625538 (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
0000000226624e54 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
000000022663cbe8 (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
0000000226625598 (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00000002266249c4 (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
000000022663c9c0 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
000000022663c9e8 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
000000022663ca10 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
000000022663ca4c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
000000022663ca7c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
000000022663cab8 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
0000000226624778 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
0000000226624bfc (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
0000000226624364 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
0000000226624258 (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00000002266244b4 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00000002266244b0 (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00000002266243d4 (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
000000022663c86c (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
000000022663c8a8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
000000022663c8d8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
000000022663c914 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
000000022662596c (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
000000022662572c (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
0000000226625a70 (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00000002266257e0 (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
0000000226625870 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
0000000226638a04 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
000000022663a0a4 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
0000000226638310 (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00000002266384bc (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
0000000226638af4 (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
0000000226638d4c (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
0000000226638db4 (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
0000000226638e9c (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
0000000226639570 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
0000000226629c70 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
000000022662e9cc (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
000000022662eaf0 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
000000022662eed0 (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
000000022662ef68 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
000000022662ec40 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
000000022662ed5c (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
000000022662f020 (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
000000022662f104 (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
000000022660f16c (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
000000022663b844 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
0000000226610a20 (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00000002266109a0 (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
000000022662e8d4 (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
0000000226610aac (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
000000022663b9d0 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
000000022662e924 (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
000000022662f770 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
0000000226630254 (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
0000000226638a8c (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
0000000226626500 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00000002266263ac (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00000002266262f4 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
0000000226625b60 (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
0000000226625c60 (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
000000022662f568 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
000000022662c74c (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
