00000001c6a787e0 (__TEXT,__text) non-external +[Cube initialize]
00000001c68d0710 (__TEXT,__text) non-external -[MPEffect(AppleScript) objectSpecifier]
00000001c68cffec (__TEXT,__text) non-external -[MPEffect(AppleScript) removeObjectFromFiltersAtIndex:]
00000001c68cfdc4 (__TEXT,__text) non-external -[MPEffect(AppleScript) removeObjectFromSlidesAtIndex:]
00000001c68cfed8 (__TEXT,__text) non-external -[MPEffect(AppleScript) removeObjectFromTextsAtIndex:]
00000001c68d0030 (__TEXT,__text) non-external -[MPEffect(AppleScript) replaceObjectInFiltersAtIndex:withObject:]
00000001c68cfe08 (__TEXT,__text) non-external -[MPEffect(AppleScript) replaceObjectInSlidesAtIndex:withObject:]
00000001c68cff1c (__TEXT,__text) non-external -[MPEffect(AppleScript) replaceObjectInTextsAtIndex:withObject:]
00000001c68d020c (__TEXT,__text) non-external -[MPEffect(AppleScript) scriptingAnimations]
00000001c68d0174 (__TEXT,__text) non-external -[MPEffect(AppleScript) setHeight:]
00000001c68d04d0 (__TEXT,__text) non-external -[MPEffect(AppleScript) setScriptingAnimations:]
00000001c68d01c0 (__TEXT,__text) non-external -[MPEffect(AppleScript) setWidth:]
00000001c68d00a8 (__TEXT,__text) non-external -[MPEffect(AppleScript) setXPosition:]
00000001c68d0110 (__TEXT,__text) non-external -[MPEffect(AppleScript) setYPosition:]
00000001c68d0708 (__TEXT,__text) non-external -[MPEffect(AppleScript) setupDefaultDurations:]
00000001c68d01bc (__TEXT,__text) non-external -[MPEffect(AppleScript) width]
00000001c68d00a4 (__TEXT,__text) non-external -[MPEffect(AppleScript) xPosition]
00000001c68d00f4 (__TEXT,__text) non-external -[MPEffect(AppleScript) yPosition]
00000001c68cdd48 (__TEXT,__text) non-external -[MPEffect(Internal) _effectAttributes]
00000001c68cde74 (__TEXT,__text) non-external -[MPEffect(Internal) applyFormattedAttributes]
00000001c68ce9f4 (__TEXT,__text) non-external -[MPEffect(Internal) cleanup]
00000001c68ce88c (__TEXT,__text) non-external -[MPEffect(Internal) copyAnimationPaths:]
00000001c68ce9a8 (__TEXT,__text) non-external -[MPEffect(Internal) copyAudioPlaylist:]
00000001c68ce75c (__TEXT,__text) non-external -[MPEffect(Internal) copyFilters:]
00000001c68ce4fc (__TEXT,__text) non-external -[MPEffect(Internal) copySecondarySlides:]
00000001c68ce3cc (__TEXT,__text) non-external -[MPEffect(Internal) copySlides:]
00000001c68ce62c (__TEXT,__text) non-external -[MPEffect(Internal) copyTexts:]
00000001c68ce2f8 (__TEXT,__text) non-external -[MPEffect(Internal) copyVars:]
00000001c68cddbc (__TEXT,__text) non-external -[MPEffect(Internal) formattedAttributes]
00000001c68cf96c (__TEXT,__text) non-external -[MPEffect(Internal) hasMovies]
00000001c68cfa5c (__TEXT,__text) non-external -[MPEffect(Internal) hasPanoramasInDocument:]
00000001c68cdcf4 (__TEXT,__text) non-external -[MPEffect(Internal) isLive]
00000001c68cfb54 (__TEXT,__text) non-external -[MPEffect(Internal) nearestLayerGroup]
00000001c68ce2bc (__TEXT,__text) non-external -[MPEffect(Internal) nearestPlug]
00000001c68cf63c (__TEXT,__text) non-external -[MPEffect(Internal) needsParallelizer]
00000001c68ce260 (__TEXT,__text) non-external -[MPEffect(Internal) objectID]
00000001c68ce290 (__TEXT,__text) non-external -[MPEffect(Internal) parentDocument]
00000001c68ce238 (__TEXT,__text) non-external -[MPEffect(Internal) plugID]
00000001c68cf740 (__TEXT,__text) non-external -[MPEffect(Internal) scaleMainDuration]
00000001c68cef0c (__TEXT,__text) non-external -[MPEffect(Internal) setContainer:]
00000001c68cf5f4 (__TEXT,__text) non-external -[MPEffect(Internal) setParentContainer:]
00000001c68ceb18 (__TEXT,__text) non-external -[MPEffect(Internal) setPlug:]
00000001c68cdd2c (__TEXT,__text) non-external -[MPEffect(Internal) setSkipEffectTiming:]
00000001c68cfb7c (__TEXT,__text) non-external -[MPEffect(Internal) slideForMCSlide:]
00000001c68cdf20 (__TEXT,__text) non-external -[MPEffect(Internal) slideInformationWithDocument:]
00000001c68cdf18 (__TEXT,__text) non-external -[MPEffect(Internal) supportsEffectTiming]
00000001c68ce1a8 (__TEXT,__text) non-external -[MPEffect(Internal) updateEffectAttributes]
00000001c68cdd3c (__TEXT,__text) non-external -[MPEffect(Internal) updateTimingForExport]
00000001c68cdd34 (__TEXT,__text) non-external -[MPEffect(Internal) updateTiming]
00000001c68ce288 (__TEXT,__text) non-external -[MPEffect(Internal) uuid]
00000001c68ccf18 (__TEXT,__text) non-external -[MPEffect(Private) container]
00000001c68cd5ac (__TEXT,__text) non-external -[MPEffect(Private) createSecondarySlidesWithPaths:]
00000001c68cd49c (__TEXT,__text) non-external -[MPEffect(Private) createSlidesWithPaths:]
00000001c68ccf28 (__TEXT,__text) non-external -[MPEffect(Private) createTextsWithDefaultStrings]
00000001c68cd1e0 (__TEXT,__text) non-external -[MPEffect(Private) createTextsWithStrings:secondLineFactor:]
00000001c68cd1e8 (__TEXT,__text) non-external -[MPEffect(Private) createTextsWithStrings:secondLineFactor:fillIn:]
00000001c68cd884 (__TEXT,__text) non-external -[MPEffect(Private) dump]
00000001c68cdc98 (__TEXT,__text) non-external -[MPEffect(Private) effectPresetID]
00000001c68cd8b4 (__TEXT,__text) non-external -[MPEffect(Private) fullDebugLog]
00000001c68ccf08 (__TEXT,__text) non-external -[MPEffect(Private) liveIndex]
00000001c68cceb8 (__TEXT,__text) non-external -[MPEffect(Private) maxNumberOfSecondarySlides]
00000001c68cce68 (__TEXT,__text) non-external -[MPEffect(Private) maxNumberOfSlides]
00000001c68ccf20 (__TEXT,__text) non-external -[MPEffect(Private) plug]
00000001c68cd6b4 (__TEXT,__text) non-external -[MPEffect(Private) reconfigureSlides]
00000001c68cd020 (__TEXT,__text) non-external -[MPEffect(Private) replaceTextsWitStrings:]
00000001c68ccf10 (__TEXT,__text) non-external -[MPEffect(Private) setLiveIndex:]
00000001c68cdb88 (__TEXT,__text) non-external -[MPEffect(Private) videoPaths]
00000001c68d10bc (__TEXT,__text) non-external -[MPEffectContainer addEffect:]
00000001c68d113c (__TEXT,__text) non-external -[MPEffectContainer addEffects:]
00000001c68d1de0 (__TEXT,__text) non-external -[MPEffectContainer addFilter:]
00000001c68d1e40 (__TEXT,__text) non-external -[MPEffectContainer addFilters:]
00000001c68d248c (__TEXT,__text) non-external -[MPEffectContainer audioPlaylist]
00000001c68d28b4 (__TEXT,__text) non-external -[MPEffectContainer backgroundCGColor]
00000001c68d2338 (__TEXT,__text) non-external -[MPEffectContainer backgroundColor]
00000001c68d0f80 (__TEXT,__text) non-external -[MPEffectContainer copyWithZone:]
00000001c68d0ff4 (__TEXT,__text) non-external -[MPEffectContainer dealloc]
00000001c68d0874 (__TEXT,__text) non-external -[MPEffectContainer description]
00000001c68d28bc (__TEXT,__text) non-external -[MPEffectContainer duration]
00000001c68d10b4 (__TEXT,__text) non-external -[MPEffectContainer effects]
00000001c68d099c (__TEXT,__text) non-external -[MPEffectContainer encodeWithCoder:]
00000001c68d1dd8 (__TEXT,__text) non-external -[MPEffectContainer filters]
00000001c68d25a4 (__TEXT,__text) non-external -[MPEffectContainer index]
00000001c68d0b0c (__TEXT,__text) non-external -[MPEffectContainer initWithCoder:]
00000001c68d0814 (__TEXT,__text) non-external -[MPEffectContainer init]
00000001c68d1190 (__TEXT,__text) non-external -[MPEffectContainer insertEffects:atIndex:]
00000001c68d1e94 (__TEXT,__text) non-external -[MPEffectContainer insertFilters:atIndex:]
00000001c68d283c (__TEXT,__text) non-external -[MPEffectContainer introTransitionDuration]
00000001c68d1904 (__TEXT,__text) non-external -[MPEffectContainer moveEffectsFromIndices:toIndex:]
00000001c68d225c (__TEXT,__text) non-external -[MPEffectContainer moveFiltersFromIndices:toIndex:]
00000001c68d28a0 (__TEXT,__text) non-external -[MPEffectContainer outroTransitionDuration]
00000001c68d263c (__TEXT,__text) non-external -[MPEffectContainer parentLayer]
00000001c68d1880 (__TEXT,__text) non-external -[MPEffectContainer removeAllEffects]
00000001c68d21d8 (__TEXT,__text) non-external -[MPEffectContainer removeAllFilters]
00000001c68d15b8 (__TEXT,__text) non-external -[MPEffectContainer removeEffectsAtIndices:]
00000001c68d20d4 (__TEXT,__text) non-external -[MPEffectContainer removeFiltersAtIndices:]
00000001c68d2494 (__TEXT,__text) non-external -[MPEffectContainer setAudioPlaylist:]
00000001c68d23d4 (__TEXT,__text) non-external -[MPEffectContainer setBackgroundCGColor:]
00000001c68d234c (__TEXT,__text) non-external -[MPEffectContainer setBackgroundColor:]
00000001c68d2390 (__TEXT,__text) non-external -[MPEffectContainer setBackgroundColorString:]
00000001c68d264c (__TEXT,__text) non-external -[MPEffectContainer setDuration:]
00000001c68d1afc (__TEXT,__text) non-external -[MPEffectContainer setTransition:]
00000001c68d2644 (__TEXT,__text) non-external -[MPEffectContainer startTime]
00000001c68d1af4 (__TEXT,__text) non-external -[MPEffectContainer transition]
00000001c68d4324 (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) countOfEffects]
00000001c68d4438 (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) countOfFilters]
00000001c68d4334 (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) insertObject:inEffectsAtIndex:]
00000001c68d4448 (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) insertObject:inFiltersAtIndex:]
00000001c68d432c (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) objectInEffectsAtIndex:]
00000001c68d4440 (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) objectInFiltersAtIndex:]
00000001c68d4734 (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) objectSpecifier]
00000001c68d4380 (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) removeObjectFromEffectsAtIndex:]
00000001c68d4494 (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) removeObjectFromFiltersAtIndex:]
00000001c68d43c4 (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) replaceObjectInEffectsAtIndex:withObject:]
00000001c68d44d8 (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) replaceObjectInFiltersAtIndex:withObject:]
00000001c68d454c (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) scriptingTransition]
00000001c68d461c (__TEXT,__text) non-external -[MPEffectContainer(AppleScript) setScriptingTransition:]
00000001c68d311c (__TEXT,__text) non-external -[MPEffectContainer(Internal) adjustPhasesWithDuration:]
00000001c68d3c84 (__TEXT,__text) non-external -[MPEffectContainer(Internal) calculateDurationToSmallest:]
00000001c68d32b8 (__TEXT,__text) non-external -[MPEffectContainer(Internal) cleanup]
00000001c68d3b24 (__TEXT,__text) non-external -[MPEffectContainer(Internal) convertFromEffectContainerToParallelizer]
00000001c68d39d0 (__TEXT,__text) non-external -[MPEffectContainer(Internal) convertFromParallelizerToEffectContainer]
00000001c68d30d0 (__TEXT,__text) non-external -[MPEffectContainer(Internal) copyAudioPlaylist:]
00000001c68d2e24 (__TEXT,__text) non-external -[MPEffectContainer(Internal) copyEffects:]
00000001c68d2f54 (__TEXT,__text) non-external -[MPEffectContainer(Internal) copyFilters:]
00000001c68d3084 (__TEXT,__text) non-external -[MPEffectContainer(Internal) copyTransition:]
00000001c68d2dc4 (__TEXT,__text) non-external -[MPEffectContainer(Internal) copyVars:]
00000001c68d42b4 (__TEXT,__text) non-external -[MPEffectContainer(Internal) nearestLayerGroup]
00000001c68d2d8c (__TEXT,__text) non-external -[MPEffectContainer(Internal) objectID]
00000001c68d2d9c (__TEXT,__text) non-external -[MPEffectContainer(Internal) parentDocument]
00000001c68d2d84 (__TEXT,__text) non-external -[MPEffectContainer(Internal) plugID]
00000001c68d3810 (__TEXT,__text) non-external -[MPEffectContainer(Internal) setContainerEffect:]
00000001c68d375c (__TEXT,__text) non-external -[MPEffectContainer(Internal) setContainerParallelizer:]
00000001c68d3308 (__TEXT,__text) non-external -[MPEffectContainer(Internal) setContainerPlug:]
00000001c68d385c (__TEXT,__text) non-external -[MPEffectContainer(Internal) setParentLayer:]
00000001c68d38a8 (__TEXT,__text) non-external -[MPEffectContainer(Internal) setStartTime:]
00000001c68d405c (__TEXT,__text) non-external -[MPEffectContainer(Internal) setUserInfoAttribute:forKey:]
00000001c68d38b0 (__TEXT,__text) non-external -[MPEffectContainer(Internal) shouldBeParallelizer]
00000001c68d40c4 (__TEXT,__text) non-external -[MPEffectContainer(Internal) slideCount]
00000001c68d41bc (__TEXT,__text) non-external -[MPEffectContainer(Internal) textCount]
00000001c68d40bc (__TEXT,__text) non-external -[MPEffectContainer(Internal) userInfoAttributeForKey:]
00000001c68d2d94 (__TEXT,__text) non-external -[MPEffectContainer(Internal) uuid]
00000001c68d28c4 (__TEXT,__text) non-external -[MPEffectContainer(Private) container]
00000001c68d29f8 (__TEXT,__text) non-external -[MPEffectContainer(Private) disconnectTransition]
00000001c68d290c (__TEXT,__text) non-external -[MPEffectContainer(Private) dump]
00000001c68d293c (__TEXT,__text) non-external -[MPEffectContainer(Private) findMinDuration]
00000001c68d2b4c (__TEXT,__text) non-external -[MPEffectContainer(Private) fullDebugLog]
00000001c68d2b3c (__TEXT,__text) non-external -[MPEffectContainer(Private) isTransitionConnected]
00000001c68d2904 (__TEXT,__text) non-external -[MPEffectContainer(Private) plug]
00000001c68d2a94 (__TEXT,__text) non-external -[MPEffectContainer(Private) reconnectTransition]
00000001c68d5378 (__TEXT,__text) non-external -[MPEffectManager allCategoryIDs]
00000001c68d5370 (__TEXT,__text) non-external -[MPEffectManager allEffectIDs]
00000001c68d61e4 (__TEXT,__text) non-external -[MPEffectManager aspectRatioForEffectID:]
00000001c68d5618 (__TEXT,__text) non-external -[MPEffectManager attributesForEffectID:andPresetID:]
00000001c68d4d80 (__TEXT,__text) non-external -[MPEffectManager categoryIDsForEffectID:]
00000001c68d50f4 (__TEXT,__text) non-external -[MPEffectManager controlForAttribute:forEffectID:]
00000001c68d4904 (__TEXT,__text) non-external -[MPEffectManager dealloc]
00000001c68d5db8 (__TEXT,__text) non-external -[MPEffectManager defaultDurationsForEffectID:phaseInDuration:mainDuration:phaseOutDuration:]
00000001c68d5d50 (__TEXT,__text) non-external -[MPEffectManager defaultMainDurationForEffectID:]
00000001c68d5d1c (__TEXT,__text) non-external -[MPEffectManager defaultPhaseInDurationForEffectID:]
00000001c68d5d84 (__TEXT,__text) non-external -[MPEffectManager defaultPhaseOutDurationForEffectID:]
00000001c68d6028 (__TEXT,__text) non-external -[MPEffectManager defaultPosterFrameTimeForEffect:]
00000001c68d5f74 (__TEXT,__text) non-external -[MPEffectManager defaultPosterFrameTimeForEffectID:andPresetID:]
00000001c68d5534 (__TEXT,__text) non-external -[MPEffectManager defaultStringForTextInEffectID:presetID:atIndex:]
00000001c68d573c (__TEXT,__text) non-external -[MPEffectManager descriptionForEffectID:]
00000001c68d4db4 (__TEXT,__text) non-external -[MPEffectManager effectIDsForCategoryID:]
00000001c68d5244 (__TEXT,__text) non-external -[MPEffectManager effectsWithNumOfImages:]
00000001c68d5ce0 (__TEXT,__text) non-external -[MPEffectManager imageInputInfoForEffectID:]
00000001c68d4d1c (__TEXT,__text) non-external -[MPEffectManager imageResourceForEffectID:withFileName:]
00000001c68d4f38 (__TEXT,__text) non-external -[MPEffectManager localizedCategoryNameFromCategoryID:]
00000001c68d4efc (__TEXT,__text) non-external -[MPEffectManager localizedEffectNameForEffectID:]
00000001c68d623c (__TEXT,__text) non-external -[MPEffectManager localizedFontsForEffectID:]
00000001c68d50ac (__TEXT,__text) non-external -[MPEffectManager localizedSettingsUITitleForTitleKey:inEffect:]
00000001c68d5064 (__TEXT,__text) non-external -[MPEffectManager localizedString:forEffectID:]
00000001c68d553c (__TEXT,__text) non-external -[MPEffectManager maxFontSizeInEffectID:presetID:atIndex:]
00000001c68d5a54 (__TEXT,__text) non-external -[MPEffectManager mediaAspectRatioForEffectID:usingAttributes:atIndex:defaultAspectRatio:]
00000001c68d5834 (__TEXT,__text) non-external -[MPEffectManager mediaAspectRatioForEffectID:usingPresetID:atIndex:]
00000001c68d5970 (__TEXT,__text) non-external -[MPEffectManager mediaAspectRatioForEffectID:usingPresetID:atIndex:defaultAspectRatio:]
00000001c68d5744 (__TEXT,__text) non-external -[MPEffectManager mediaAspectRatiosForEffectID:usingPresetID:]
00000001c68d5894 (__TEXT,__text) non-external -[MPEffectManager mediaAspectRatiosForEffectID:usingPresetID:defaultAspectRatio:]
00000001c68d4ae4 (__TEXT,__text) non-external -[MPEffectManager numOfImagesForEffectID:]
00000001c68d4c7c (__TEXT,__text) non-external -[MPEffectManager numOfTextsForEffectID:]
00000001c68d616c (__TEXT,__text) non-external -[MPEffectManager numberOfSecondarySlidesForEffectID:]
00000001c68d60c0 (__TEXT,__text) non-external -[MPEffectManager numberOfSlidesForEffectID:]
00000001c68d61b0 (__TEXT,__text) non-external -[MPEffectManager orientationForEffectID:]
00000001c68d55e0 (__TEXT,__text) non-external -[MPEffectManager presetIDsForEffectID:]
00000001c68d5210 (__TEXT,__text) non-external -[MPEffectManager settingsUIControlDescriptionsForEffect:]
00000001c68d4cac (__TEXT,__text) non-external -[MPEffectManager thumbnailForEffectID:]
00000001c68d4ab0 (__TEXT,__text) non-external -[MPEffectManager versionOfEffectID:]
00000001c68d77ac (__TEXT,__text) non-external -[MPEffectManager(Internal) allowTextCustomizationForEffectID:presetID:forTextAtIndex:]
00000001c68d69ac (__TEXT,__text) non-external -[MPEffectManager(Internal) defaultFullDurationForEffectID:]
00000001c68d62b4 (__TEXT,__text) non-external -[MPEffectManager(Internal) defaultStringForTextInEffectID:presetID:atIndex:needsNSConversion:]
00000001c68d76b0 (__TEXT,__text) non-external -[MPEffectManager(Internal) durationPaddingForEffectID:]
00000001c68d6d18 (__TEXT,__text) non-external -[MPEffectManager(Internal) effectDoesAccumulate:]
00000001c68d6ce0 (__TEXT,__text) non-external -[MPEffectManager(Internal) effectNeedsPanoInformation:]
00000001c68d6ca8 (__TEXT,__text) non-external -[MPEffectManager(Internal) effectNeedsRandomSeedInformation:]
00000001c68d6a90 (__TEXT,__text) non-external -[MPEffectManager(Internal) maxNumOfImagesPerEffectInList:]
00000001c68d73bc (__TEXT,__text) non-external -[MPEffectManager(Internal) mediaAspectRatioForEffectID:usingAttributes:atIndex:defaultAspectRatio:imageAspectRatio:]
00000001c68d715c (__TEXT,__text) non-external -[MPEffectManager(Internal) mediaAspectRatioHintForEffectID:usingAttributes:atIndex:defaultAspectRatio:]
00000001c68d6d50 (__TEXT,__text) non-external -[MPEffectManager(Internal) mediaAspectRatioHintsForEffectID:usingPresetID:defaultAspectRatio:]
00000001c68d6b9c (__TEXT,__text) non-external -[MPEffectManager(Internal) minNumOfImagesPerEffectInList:]
00000001c68d68ac (__TEXT,__text) non-external -[MPEffectManager(Internal) minimumEffectDurationForEffectID:]
00000001c68d6a18 (__TEXT,__text) non-external -[MPEffectManager(Internal) numOfImagesForEffectPresetID:]
00000001c68d6ea8 (__TEXT,__text) non-external -[MPEffectManager(Internal) panoTypeForSlideAtIndex:inEffect:forPresetID:]
00000001c68d7668 (__TEXT,__text) non-external -[MPEffectManager(Internal) panoramaScaleOffsetForEffectID:]
00000001c68d67a8 (__TEXT,__text) non-external -[MPEffectManager(Internal) posterTimeIsStaticForEffectID:andPresetID:]
00000001c68d6848 (__TEXT,__text) non-external -[MPEffectManager(Internal) showTimeScriptForEffectID:atSlideIndex:]
00000001c68d6948 (__TEXT,__text) non-external -[MPEffectManager(Internal) sizeScriptForEffectID:atIndex:]
00000001c68d6270 (__TEXT,__text) non-external -[MPEffectManager(Internal) skipPanoramaScaleForEffectID:]
00000001c68d76f8 (__TEXT,__text) non-external -[MPEffectManager(Internal) useUppercaseForEffectID:presetID:forTextAtIndex:]
00000001c68d8224 (__TEXT,__text) non-external -[MPEffectManager(VeryPrivate) _loadFontsFromPath:requiredFonts:]
00000001c68d78b0 (__TEXT,__text) non-external -[MPEffectManager(VeryPrivate) initWithPaths:]
00000001c6a35280 (__TEXT,__text) non-external -[MPFaceDetector _addPathToQueue:]
00000001c6a35744 (__TEXT,__text) non-external -[MPFaceDetector _checkPlayingSlides]
00000001c6a35318 (__TEXT,__text) non-external -[MPFaceDetector _pathIsInQueue:]
00000001c6a352cc (__TEXT,__text) non-external -[MPFaceDetector _removePathToQueue:]
00000001c6a356f0 (__TEXT,__text) non-external -[MPFaceDetector _setupTimer]
00000001c6a35360 (__TEXT,__text) non-external -[MPFaceDetector _start]
00000001c6a35798 (__TEXT,__text) non-external -[MPFaceDetector checkPlayingSlides]
00000001c6a351a4 (__TEXT,__text) non-external -[MPFaceDetector dealloc]
00000001c6a35578 (__TEXT,__text) non-external -[MPFaceDetector detectFaces:]
00000001c6a35a08 (__TEXT,__text) non-external -[MPFaceDetector document]
00000001c6a350d0 (__TEXT,__text) non-external -[MPFaceDetector init]
00000001c6a35a28 (__TEXT,__text) non-external -[MPFaceDetector isCancelled]
00000001c6a35a18 (__TEXT,__text) non-external -[MPFaceDetector renderer]
00000001c6a35564 (__TEXT,__text) non-external -[MPFaceDetector resume]
00000001c6a35a10 (__TEXT,__text) non-external -[MPFaceDetector setDocument:]
00000001c6a35a30 (__TEXT,__text) non-external -[MPFaceDetector setIsCancelled:]
00000001c6a35a20 (__TEXT,__text) non-external -[MPFaceDetector setRenderer:]
00000001c6a35258 (__TEXT,__text) non-external -[MPFaceDetector start]
00000001c6a35994 (__TEXT,__text) non-external -[MPFaceDetector stop]
00000001c6a35558 (__TEXT,__text) non-external -[MPFaceDetector suspend]
00000001c6a35570 (__TEXT,__text) non-external -[MPFaceDetector suspended]
00000001c68d931c (__TEXT,__text) non-external -[MPFilter animationPathForKey:]
00000001c68d9314 (__TEXT,__text) non-external -[MPFilter animationPaths]
00000001c68d8cac (__TEXT,__text) non-external -[MPFilter copyWithZone:]
00000001c68d90f4 (__TEXT,__text) non-external -[MPFilter dealloc]
00000001c68d8cfc (__TEXT,__text) non-external -[MPFilter description]
00000001c68d8da4 (__TEXT,__text) non-external -[MPFilter encodeWithCoder:]
00000001c68d9230 (__TEXT,__text) non-external -[MPFilter filterAttributeForKey:]
00000001c68d9228 (__TEXT,__text) non-external -[MPFilter filterAttributes]
00000001c68d9164 (__TEXT,__text) non-external -[MPFilter filterID]
00000001c68d94e8 (__TEXT,__text) non-external -[MPFilter index]
00000001c68d8e78 (__TEXT,__text) non-external -[MPFilter initWithCoder:]
00000001c68d8be0 (__TEXT,__text) non-external -[MPFilter initWithFilterID:]
00000001c68d8c34 (__TEXT,__text) non-external -[MPFilter init]
00000001c68d9538 (__TEXT,__text) non-external -[MPFilter parent]
00000001c68d91c0 (__TEXT,__text) non-external -[MPFilter presetID]
00000001c68d945c (__TEXT,__text) non-external -[MPFilter removeAnimationPathForKey:]
00000001c68d9324 (__TEXT,__text) non-external -[MPFilter setAnimationPath:forKey:]
00000001c68d9238 (__TEXT,__text) non-external -[MPFilter setFilterAttribute:forKey:]
00000001c68d916c (__TEXT,__text) non-external -[MPFilter setFilterID:]
00000001c68d91c8 (__TEXT,__text) non-external -[MPFilter setPresetID:]
00000001c68da71c (__TEXT,__text) non-external -[MPFilter(AppleScript) objectSpecifier]
00000001c68da1dc (__TEXT,__text) non-external -[MPFilter(Internal) copyAnimationPaths:]
00000001c68da174 (__TEXT,__text) non-external -[MPFilter(Internal) copyStruct:]
00000001c68da65c (__TEXT,__text) non-external -[MPFilter(Internal) parentDocument]
00000001c68da2f4 (__TEXT,__text) non-external -[MPFilter(Internal) setFilter:]
00000001c68da614 (__TEXT,__text) non-external -[MPFilter(Internal) setParent:]
00000001c68d9b7c (__TEXT,__text) non-external -[MPFilter(Private) convertMCAttributeToMPAttribute:withKey:]
00000001c68d96d0 (__TEXT,__text) non-external -[MPFilter(Private) convertMPAttributeToMCAttribute:withKey:]
00000001c68d9548 (__TEXT,__text) non-external -[MPFilter(Private) dump]
00000001c68d9540 (__TEXT,__text) non-external -[MPFilter(Private) filter]
00000001c68d9578 (__TEXT,__text) non-external -[MPFilter(Private) fullDebugLog]
00000001c68d95bc (__TEXT,__text) non-external -[MPFilter(Private) setDefaults]
00000001c68d8b20 (__TEXT,__text) non-external -[MPFilterInternal dealloc]
00000001c68d8b7c (__TEXT,__text) non-external -[MPFilterInternal filterID]
00000001c68d8b8c (__TEXT,__text) non-external -[MPFilterInternal presetID]
00000001c68d8b84 (__TEXT,__text) non-external -[MPFilterInternal setFilterID:]
00000001c68d8b94 (__TEXT,__text) non-external -[MPFilterInternal setPresetID:]
00000001c68da91c (__TEXT,__text) non-external -[MPFilterManager allFilterIDs]
00000001c68dab70 (__TEXT,__text) non-external -[MPFilterManager animationsForFilterID:andPresetID:]
00000001c68daadc (__TEXT,__text) non-external -[MPFilterManager attributesForFilterID:andPresetID:]
00000001c68da8b4 (__TEXT,__text) non-external -[MPFilterManager dealloc]
00000001c68daa9c (__TEXT,__text) non-external -[MPFilterManager filterCategoryIDs]
00000001c68da958 (__TEXT,__text) non-external -[MPFilterManager filterIDsForCategoryID:]
00000001c68daaa4 (__TEXT,__text) non-external -[MPFilterManager presetIDsForFilterID:]
00000001c68da924 (__TEXT,__text) non-external -[MPFilterManager versionOfFilterID:]
00000001c68dac2c (__TEXT,__text) non-external -[MPFilterManager(Internal) constraintsForFilterPresetsMatchingList:andCriteria:]
00000001c68db288 (__TEXT,__text) non-external -[MPFilterManager(Internal) filterPresetsMatchingCriteria:]
00000001c68db5a8 (__TEXT,__text) non-external -[MPFilterManager(Internal) randomFilter:]
00000001c68db058 (__TEXT,__text) non-external -[MPFilterManager(Internal) randomFilterPresetFromList:abidingWithConstraints:]
00000001c68db648 (__TEXT,__text) non-external -[MPFilterManager(VeryInternal) initWithPaths:]
00000001c68dbfbc (__TEXT,__text) non-external -[MPFrame copyWithZone:]
00000001c68dc284 (__TEXT,__text) non-external -[MPFrame dealloc]
00000001c68dc000 (__TEXT,__text) non-external -[MPFrame description]
00000001c68dc05c (__TEXT,__text) non-external -[MPFrame encodeWithCoder:]
00000001c68dc4b4 (__TEXT,__text) non-external -[MPFrame frameAttributeForKey:]
00000001c68dc434 (__TEXT,__text) non-external -[MPFrame frameAttributes]
00000001c68dc2dc (__TEXT,__text) non-external -[MPFrame frameID]
00000001c68dc108 (__TEXT,__text) non-external -[MPFrame initWithCoder:]
00000001c68dbefc (__TEXT,__text) non-external -[MPFrame initWithFrameID:]
00000001c68dbf48 (__TEXT,__text) non-external -[MPFrame init]
00000001c68dc5d4 (__TEXT,__text) non-external -[MPFrame parentSlide]
00000001c68dc358 (__TEXT,__text) non-external -[MPFrame presetID]
00000001c68dc4ec (__TEXT,__text) non-external -[MPFrame setFrameAttribute:forKey:]
00000001c68dc2e4 (__TEXT,__text) non-external -[MPFrame setFrameID:]
00000001c68dc384 (__TEXT,__text) non-external -[MPFrame setPresetID:]
00000001c68dc678 (__TEXT,__text) non-external -[MPFrame(Internal) copyStruct:]
00000001c68dc650 (__TEXT,__text) non-external -[MPFrame(Internal) parentDocument]
00000001c68dc6e0 (__TEXT,__text) non-external -[MPFrame(Internal) setParentSlide:]
00000001c68dc5dc (__TEXT,__text) non-external -[MPFrame(Private) dump]
00000001c68dc60c (__TEXT,__text) non-external -[MPFrame(Private) fullDebugLog]
00000001c68dbe3c (__TEXT,__text) non-external -[MPFrameInternal dealloc]
00000001c68dbe98 (__TEXT,__text) non-external -[MPFrameInternal frameID]
00000001c68dbea8 (__TEXT,__text) non-external -[MPFrameInternal presetID]
00000001c68dbea0 (__TEXT,__text) non-external -[MPFrameInternal setFrameID:]
00000001c68dbeb0 (__TEXT,__text) non-external -[MPFrameInternal setPresetID:]
