000000028124bc38 (__DATA,__bss) non-external _A
0000000268246b18 (__TEXT,__text) external _cmark_syntax_extension_set_private
0000000268246ab8 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
0000000268246af0 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
000000026825448c (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
000000026823cc4c (__TEXT,__text) external _cmark_utf8proc_case_fold
000000026823c7d0 (__TEXT,__text) external _cmark_utf8proc_check
000000026823cb14 (__TEXT,__text) external _cmark_utf8proc_encode_char
0000000268260a90 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
0000000268242e2c (__TEXT,__text) external _cmark_utf8proc_is_punctuation
0000000268242db0 (__TEXT,__text) external _cmark_utf8proc_is_space
000000026823c9e4 (__TEXT,__text) external _cmark_utf8proc_iterate
0000000268244928 (__TEXT,__text) external _cmark_version
0000000268244930 (__TEXT,__text) external _cmark_version_string
0000000268245f64 (__TEXT,__text) non-external _commonmark_render
0000000268248dcc (__TEXT,__text) non-external _commonmark_render
000000026825ed18 (__TEXT,__text) non-external _commonmark_render
000000026826126c (__TEXT,__text) non-external _commonmark_render.cold.1
000000026825ed00 (__TEXT,__text) non-external _contains_inlines
00000002682544f4 (__TEXT,__text) non-external _core_extensions_registration
0000000268246b44 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
0000000268248c48 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
000000026825e138 (__TEXT,__text) non-external (was a private external) _create_table_extension
0000000268260940 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
0000000268245cfc (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
000000028124baa8 (__DATA,__bss) non-external _enable_safety_checks
0000000268261c80 (__TEXT,__const) non-external _encode_unknown.repl
000000026825fca0 (__TEXT,__text) non-external _escape
000000028124ba20 (__DATA,__bss) non-external _extensions_lock
000000028124b8c8 (__DATA,__data) non-external _extensions_once
0000000268260984 (__TEXT,__text) non-external _filter
0000000268257230 (__TEXT,__text) non-external _finalize
0000000268260f88 (__TEXT,__text) non-external _finalize.cold.1
0000000268260fb4 (__TEXT,__text) non-external _finalize.cold.2
0000000268254430 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
0000000268257d84 (__TEXT,__text) non-external _free_node_as
0000000268260388 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
000000026824a304 (__TEXT,__text) non-external _get_link_type
0000000268245e70 (__TEXT,__text) non-external _get_type_string
0000000268248d84 (__TEXT,__text) non-external _get_type_string
000000026825ebf0 (__TEXT,__text) non-external _get_type_string
000000026825d5cc (__TEXT,__text) non-external (was a private external) _houdini_escape_href
000000026826111c (__TEXT,__text) non-external _houdini_escape_href.cold.1
00000002682647f4 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
0000000268260be8 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
0000000268260ae8 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
000000026825d618 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
000000026825d8b8 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
000000026825d9c8 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
0000000268246020 (__TEXT,__text) non-external _html_render
0000000268248ecc (__TEXT,__text) non-external _html_render
000000026825f550 (__TEXT,__text) non-external _html_render
00000002682612f0 (__TEXT,__text) non-external _html_render.cold.1
00000002682604d4 (__TEXT,__text) non-external _html_table_add_align
00000002682608d0 (__TEXT,__text) non-external _init_arena
00000002682608c0 (__TEXT,__text) non-external _initialize_arena
0000000268247c10 (__TEXT,__text) non-external _initialize_extensions
000000026825940c (__TEXT,__text) non-external _initialize_nextflag
00000002682593fc (__TEXT,__text) non-external _initialize_safety
0000000268249034 (__TEXT,__text) non-external _insert
00000002682478a8 (__TEXT,__text) non-external _is_valid_hostchar
0000000268248df0 (__TEXT,__text) non-external _latex_render
000000026825efd8 (__TEXT,__text) non-external _latex_render
0000000268261298 (__TEXT,__text) non-external _latex_render.cold.1
000000026825c0f0 (__TEXT,__text) non-external _link_label
000000026826100c (__TEXT,__text) non-external _link_label.cold.1
00000002682610c4 (__TEXT,__text) non-external _link_label.cold.2
00000002682610c4 (__TEXT,__text) non-external _link_label.cold.3
00000002682610c4 (__TEXT,__text) non-external _link_label.cold.4
00000002682610c4 (__TEXT,__text) non-external _link_label.cold.5
000000026825cde4 (__TEXT,__text) non-external _make_autolink
0000000268261098 (__TEXT,__text) non-external _make_autolink.cold.1
000000026825cc50 (__TEXT,__text) non-external _make_literal
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
0000000268248e24 (__TEXT,__text) non-external _man_render
000000026825f328 (__TEXT,__text) non-external _man_render
00000002682612c4 (__TEXT,__text) non-external _man_render.cold.1
000000026825c3dc (__TEXT,__text) non-external _manual_scan_link_url
0000000268246bd0 (__TEXT,__text) non-external _match
0000000268248f10 (__TEXT,__text) non-external _match
0000000268245de0 (__TEXT,__text) non-external _matches
000000026825e2ec (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000028124bab0 (__DATA,__bss) non-external _nextflag_lock
000000028124b8f8 (__DATA,__data) non-external _nextflag_once
0000000268254568 (__TEXT,__text) non-external (was a private external) _normalize_map_label
0000000268260dc8 (__TEXT,__text) non-external _normalize_map_label.cold.1
000000026825fb90 (__TEXT,__text) non-external _opaque_alloc
000000026825fc0c (__TEXT,__text) non-external _opaque_free
0000000268245e7c (__TEXT,__text) non-external _open_tasklist_item
0000000268243700 (__TEXT,__text) non-external _outc
0000000268249674 (__TEXT,__text) non-external _outc
000000026825daa8 (__TEXT,__text) non-external _outc
0000000268248eec (__TEXT,__text) non-external _plaintext_render
0000000268246ff0 (__TEXT,__text) non-external _postprocess
0000000268260cec (__TEXT,__text) non-external _postprocess.cold.1
0000000268260d18 (__TEXT,__text) non-external _postprocess.cold.2
000000026825b77c (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
000000026825ccf4 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
000000026825481c (__TEXT,__text) non-external _refcmp
000000026825516c (__TEXT,__text) non-external _reference_free
000000026825475c (__TEXT,__text) non-external _refsearch
00000002682544e0 (__TEXT,__text) non-external _register_plugins
000000028124b8d8 (__DATA,__data) non-external _registered_once
000000026825bd4c (__TEXT,__text) non-external _remove_delimiter
00000002682610f0 (__TEXT,__text) non-external _remove_delimiter.cold.1
00000002682575c4 (__TEXT,__text) non-external _resolve_reference_link_definitions
000000026825ff14 (__TEXT,__text) non-external _row_from_string
000000028124ba68 (__DATA,__bss) non-external _safety_lock
000000028124b8e8 (__DATA,__data) non-external _safety_once
000000027c097de8 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
0000000268257864 (__TEXT,__text) non-external _sort_footnote_by_ix
000000026825c2d0 (__TEXT,__text) non-external _spnl
00000002682610c4 (__TEXT,__text) non-external _spnl.cold.1
00000002682610c4 (__TEXT,__text) non-external _spnl.cold.2
00000002682610c4 (__TEXT,__text) non-external _spnl.cold.3
00000002682610c4 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
000000028124ba60 (__DATA,__bss) non-external _syntax_extensions
000000026826040c (__TEXT,__text) non-external _try_inserting_table_header_paragraph
000000026825e3a4 (__TEXT,__text) non-external _try_opening_table_block
00000002682602b4 (__TEXT,__text) non-external _unescape_pipes
0000000268261b80 (__TEXT,__const) non-external _utf8proc_utf8class
00000002682478f8 (__TEXT,__text) non-external _validate_protocol
000000026824493c (__TEXT,__text) non-external _xcalloc
0000000268260c08 (__TEXT,__text) non-external _xcalloc.cold.1
000000026824498c (__TEXT,__text) non-external _xfree
00000002682461a8 (__TEXT,__text) non-external _xml_attr
000000026825f228 (__TEXT,__text) non-external _xml_attr
0000000268244964 (__TEXT,__text) non-external _xrealloc
0000000268260c38 (__TEXT,__text) non-external _xrealloc.cold.1
