00007fff70fbe2dc (__TEXT,__text) non-external +[GKBrush brush]
00007fff70fa8c5e (__TEXT,__text) non-external -[GKTextStyle resolveFontAndLineSpacing:]
00007fff70faa121 (__TEXT,__text) non-external -[GKTextStyle roundButtonTitle]
00007fff70faa89b (__TEXT,__text) non-external -[GKTextStyle scaled:]
00007fff70faa831 (__TEXT,__text) non-external -[GKTextStyle scaledForM34:zPosition:]
00007fff70fab9aa (__TEXT,__text) non-external -[GKTextStyle sectionCaptionSmall]
00007fff70fab93b (__TEXT,__text) non-external -[GKTextStyle sectionCaption]
00007fff70fab869 (__TEXT,__text) non-external -[GKTextStyle sectionHeader]
00007fff70faa2fd (__TEXT,__text) non-external -[GKTextStyle selectedBuyButtonTitle]
00007fff70fad5ad (__TEXT,__text) non-external -[GKTextStyle setColor:]
00007fff70fad5f7 (__TEXT,__text) non-external -[GKTextStyle setFontName:]
00007fff70fa8e10 (__TEXT,__text) non-external -[GKTextStyle setFontName:kitTextStyleName:leadingOverrideFromHISpec:shouldOverrideSize:rebaseSelector:]
00007fff70fa8df8 (__TEXT,__text) non-external -[GKTextStyle setFontName:kitTextStyleName:shouldOverrideSize:rebaseSelector:]
00007fff70fa8dd6 (__TEXT,__text) non-external -[GKTextStyle setFontName:rebaseSelector:]
00007fff70fad6a9 (__TEXT,__text) non-external -[GKTextStyle setFontNameRebaseSelector:]
00007fff70fa8dc7 (__TEXT,__text) non-external -[GKTextStyle setFontSize:rebaseSelector:]
00007fff70fad695 (__TEXT,__text) non-external -[GKTextStyle setFontSizeRebaseSelector:]
00007fff70fa8d97 (__TEXT,__text) non-external -[GKTextStyle setLineBreakMode:]
00007fff70fad644 (__TEXT,__text) non-external -[GKTextStyle setM34:]
00007fff70fa8dab (__TEXT,__text) non-external -[GKTextStyle setMinimumLineHeight:]
00007fff70fad66f (__TEXT,__text) non-external -[GKTextStyle setNeedsParagraphStyle:]
00007fff70fad682 (__TEXT,__text) non-external -[GKTextStyle setOverrideUIKitFontSize:]
00007fff70fad5dc (__TEXT,__text) non-external -[GKTextStyle setPalette:]
00007fff70fa8d83 (__TEXT,__text) non-external -[GKTextStyle setTextAlignment:]
00007fff70fad612 (__TEXT,__text) non-external -[GKTextStyle setUIKitFontTextStyleName:]
00007fff70fad65a (__TEXT,__text) non-external -[GKTextStyle setZPosition:]
00007fff70fad16e (__TEXT,__text) non-external -[GKTextStyle settingsBoldButton]
00007fff70fad0c6 (__TEXT,__text) non-external -[GKTextStyle settingsButton]
00007fff70fad371 (__TEXT,__text) non-external -[GKTextStyle settingsFooter]
00007fff70fad2db (__TEXT,__text) non-external -[GKTextStyle settingsHeader]
00007fff70fad216 (__TEXT,__text) non-external -[GKTextStyle settingsLabel]
00007fff70fad035 (__TEXT,__text) non-external -[GKTextStyle settingsLinkText]
00007fff70faa523 (__TEXT,__text) non-external -[GKTextStyle smallInfo]
00007fff70faa3f3 (__TEXT,__text) non-external -[GKTextStyle small]
00007fff70faaac7 (__TEXT,__text) non-external -[GKTextStyle strong]
00007fff70fad407 (__TEXT,__text) non-external -[GKTextStyle styleWithName:fallback:layoutMode:]
00007fff70fabff8 (__TEXT,__text) non-external -[GKTextStyle tabIconCaption]
00007fff70fabe36 (__TEXT,__text) non-external -[GKTextStyle tableCellSubtitle]
00007fff70fabd31 (__TEXT,__text) non-external -[GKTextStyle tableCellTitle]
00007fff70fabf3b (__TEXT,__text) non-external -[GKTextStyle tableFooterStyle]
00007fff70fad5be (__TEXT,__text) non-external -[GKTextStyle textAlignment]
00007fff70fab20b (__TEXT,__text) non-external -[GKTextStyle thinNumberText]
00007fff70faab11 (__TEXT,__text) non-external -[GKTextStyle thin]
00007fff70faa63a (__TEXT,__text) non-external -[GKTextStyle viewBackground]
00007fff70fad64f (__TEXT,__text) non-external -[GKTextStyle zPosition]
00007fff70fadbf7 (__TEXT,__text) non-external -[GKTextStyleFocus bannerTitle]
00007fff70fae141 (__TEXT,__text) non-external -[GKTextStyleMac detailSecondaryHeaderText]
00007fff70fae26a (__TEXT,__text) non-external -[GKTextStyleMac emphasized]
00007fff70fae0ab (__TEXT,__text) non-external -[GKTextStyleMac gameDetailNameText]
00007fff70fae205 (__TEXT,__text) non-external -[GKTextStyleMac info]
00007fff70fadf60 (__TEXT,__text) non-external -[GKTextStyleMac sectionCaption]
00007fff70fadecf (__TEXT,__text) non-external -[GKTextStyleMac sectionHeader]
00007fff70fadd96 (__TEXT,__text) non-external -[GKTextStyleMac tableCellSubtitle]
00007fff70fadcee (__TEXT,__text) non-external -[GKTextStyleMac tableCellTitle]
00007fff70fade3e (__TEXT,__text) non-external -[GKTextStyleMac tableFooterStyle]
00007fff70fadff6 (__TEXT,__text) non-external -[GKTextStyleMac thinNumberText]
00007fff70fadb3a (__TEXT,__text) non-external -[GKTextStylePad cellActionItem]
00007fff70fad6ff (__TEXT,__text) non-external -[GKTextStylePad header1]
00007fff70fad7c4 (__TEXT,__text) non-external -[GKTextStylePad header2]
00007fff70fad889 (__TEXT,__text) non-external -[GKTextStylePad header3]
00007fff70fad94e (__TEXT,__text) non-external -[GKTextStylePad header4]
00007fff70fadad8 (__TEXT,__text) non-external -[GKTextStylePad sectionCaptionSmall]
00007fff70fada13 (__TEXT,__text) non-external -[GKTextStylePad smallInfo]
00007fff70fae653 (__TEXT,__text) non-external -[GKTextStylePhone cellActionItem]
00007fff70fae2dd (__TEXT,__text) non-external -[GKTextStylePhone header1]
00007fff70fae3a2 (__TEXT,__text) non-external -[GKTextStylePhone header2]
00007fff70fae467 (__TEXT,__text) non-external -[GKTextStylePhone header4]
00007fff70fae5f1 (__TEXT,__text) non-external -[GKTextStylePhone sectionCaptionSmall]
00007fff70fae52c (__TEXT,__text) non-external -[GKTextStylePhone smallInfo]
00007fff70fbe658 (__TEXT,__text) non-external -[GKThemeBrush .cxx_destruct]
00007fff70fbe554 (__TEXT,__text) non-external -[GKThemeBrush copyWithZone:]
00007fff70fbe5cb (__TEXT,__text) non-external -[GKThemeBrush initWithTheme:]
00007fff70fbe644 (__TEXT,__text) non-external -[GKThemeBrush setTheme:]
00007fff70fbe633 (__TEXT,__text) non-external -[GKThemeBrush theme]
00007fff70fb83ff (__TEXT,__text) non-external -[GKThreadsafeImageCache applicationDidEnterBackground:]
00007fff70fb83e6 (__TEXT,__text) non-external -[GKThreadsafeImageCache greatestScreenScaleDidChange:]
00007fff70fb8301 (__TEXT,__text) non-external -[GKThreadsafeImageCache initWithName:maxCount:]
00007fff70fc5311 (__TEXT,__text) non-external -[GKUIActivityIndicatorView initWithActivityIndicatorStyle:]
00007fff70fc527f (__TEXT,__text) non-external -[GKUIActivityIndicatorView initWithFrame:]
00007fff70fc524d (__TEXT,__text) non-external -[GKUIActivityIndicatorView init]
00007fff70fc5343 (__TEXT,__text) non-external -[GKUIActivityIndicatorView startAnimating]
00007fff70fc5358 (__TEXT,__text) non-external -[GKUIActivityIndicatorView stopAnimating]
00007fff70fc8869 (__TEXT,__text) non-external -[GKUITheme .cxx_destruct]
00007fff70fc6b0f (__TEXT,__text) non-external -[GKUITheme _catalogImageWithName:bundle:]
00007fff70fc7209 (__TEXT,__text) non-external -[GKUITheme achievementsDefaultIcon]
00007fff70fc7276 (__TEXT,__text) non-external -[GKUITheme achievementsNotStartedIcon]
00007fff70fc745c (__TEXT,__text) non-external -[GKUITheme avatarSourceWithDimension:]
00007fff70fc68c8 (__TEXT,__text) non-external -[GKUITheme clearResourceCache]
00007fff70fc84a4 (__TEXT,__text) non-external -[GKUITheme contactsCircleImage]
00007fff70fc7e6e (__TEXT,__text) non-external -[GKUITheme defaultLeaderboardIcon]
00007fff70fc7fc3 (__TEXT,__text) non-external -[GKUITheme defaultPlayerPhoto]
00007fff70fc862b (__TEXT,__text) non-external -[GKUITheme eventIconImage]
00007fff70fc7bf8 (__TEXT,__text) non-external -[GKUITheme iconLeaderboardListSource]
00007fff70fc7d33 (__TEXT,__text) non-external -[GKUITheme iconLeaderboardSetListSource]
00007fff70fc6e6c (__TEXT,__text) non-external -[GKUITheme imageNamed:]
00007fff70fc6a76 (__TEXT,__text) non-external -[GKUITheme init]
00007fff70fc71f0 (__TEXT,__text) non-external -[GKUITheme interactiveRatingStarsBackground]
00007fff70fc71d7 (__TEXT,__text) non-external -[GKUITheme interactiveRatingStarsForeground]
00007fff70fc72c5 (__TEXT,__text) non-external -[GKUITheme macGameIconSource]
00007fff70fc75ba (__TEXT,__text) non-external -[GKUITheme monogramSourceWithDimension:]
00007fff70fc7ac7 (__TEXT,__text) non-external -[GKUITheme photoDetailSource]
00007fff70fc79ae (__TEXT,__text) non-external -[GKUITheme photoListSource]
00007fff70fc77b4 (__TEXT,__text) non-external -[GKUITheme placeholderSourceWithDimension:]
00007fff70fc82e8 (__TEXT,__text) non-external -[GKUITheme playerPickerSelectedImage]
00007fff70fc82c8 (__TEXT,__text) non-external -[GKUITheme playerPickerUnselectedImage]
00007fff70fc71a5 (__TEXT,__text) non-external -[GKUITheme ratingStarsBackgroundImage]
00007fff70fc71be (__TEXT,__text) non-external -[GKUITheme ratingStarsForegroundImage]
00007fff70fc8308 (__TEXT,__text) non-external -[GKUITheme removePlayerButtonImage]
00007fff70fc8699 (__TEXT,__text) non-external -[GKUITheme resourceCache]
00007fff70fc86b3 (__TEXT,__text) non-external -[GKUITheme resourceForSelector:missingHandler:]
00007fff70fc87a3 (__TEXT,__text) non-external -[GKUITheme resourceWithName:missingHandler:]
00007fff70fc6875 (__TEXT,__text) non-external -[GKUITheme setResourceCache:]
00007fff70fc8321 (__TEXT,__text) non-external -[GKUITheme statusDotImage]
00007fff70fc744a (__TEXT,__text) non-external -[GKUITheme untreatedAchievementImageDetailSource]
00007fff70fc73ae (__TEXT,__text) non-external -[GKUITheme untreatedAchievementImageSource]
00007fff70fc68c0 (__TEXT,__text) non-external -[GKUITheme useStandardControls]
00007fff70fc1bdf (__TEXT,__text) non-external -[NSApplication(GKAdditions) _gkSendAction:viaResponder:withObject:]
00007fff70fc1aef (__TEXT,__text) non-external -[NSApplication(GKAdditions) _gkTargetForAction:viaResponder:]
00007fff70fc1c88 (__TEXT,__text) non-external -[NSApplication(GKAdditions_UIKit) _gkOpenURL:]
00007fff70faf6d1 (__TEXT,__text) non-external -[NSAttributedString(GKTextStyle) _gkAttributedStringWithStyle:selected:]
00007fff70fc5de3 (__TEXT,__text) non-external -[NSBezierPath(GKAdditions) CGPath]
00007fff70fc5d8a (__TEXT,__text) non-external -[NSButton(GKAdditions) setImage:forState:]
00007fff70fc5cd3 (__TEXT,__text) non-external -[NSButton(GKAdditions) setTitle:forState:]
00007fff70fc5d78 (__TEXT,__text) non-external -[NSButton(GKAdditions) setUserInteractionEnabled:]
00007fff70fc5d2c (__TEXT,__text) non-external -[NSButton(GKAdditions) titleForState:]
00007fff70fc5d66 (__TEXT,__text) non-external -[NSButton(GKAdditions) userInteractionEnabled]
00007fff70fe6033 (__TEXT,__text) non-external -[NSButton(GKConfigForNavbar) _gkConfigForNavbar]
00007fff70fe69b4 (__TEXT,__text) non-external -[NSButton(GKMButtonHack) initWithButtonKind:]
00007fff70fe69e6 (__TEXT,__text) non-external -[NSButton(GKMButtonHack) initWithButtonKind:theme:]
00007fff70fe6a18 (__TEXT,__text) non-external -[NSButton(GKMButtonHack) setButtonKind:]
00007fff70fbdba4 (__TEXT,__text) non-external -[NSColor(GKColorAdditions) _gkLuminance]
00007fff70fc59db (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) isSelected]
00007fff70fc5a35 (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) removeTarget]
00007fff70fc59bf (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) setSelected:]
00007fff70fc59f8 (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) setTarget:action:]
00007fff70fd2489 (__TEXT,__text) non-external -[NSImage(DrawStretched) _gkDrawStretchedInRect:alpha:]
00007fff70fb06df (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByAddingAlpha]
00007fff70fb00ba (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByScalingAndCroppingToSize:scale:]
00007fff70fb0690 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByScalingToSize:]
00007fff70fb067c (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByScalingToSize:scale:]
00007fff70fb03a9 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByScalingToSize:scale:padColor:]
00007fff70fb0a2f (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByTintingWithColor:]
00007fff70fc48b5 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) CGImage]
00007fff70fc518f (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkContentStretchInPixels]
00007fff70fc514f (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkDrawAtPoint:]
00007fff70fc50b2 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkResizableImageWithCapInsets:]
00007fff70fc5101 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkStretchableImageWithLeftCapWidth:topCapHeight:]
00007fff70fc4bdf (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) imageOrientation]
00007fff70fc4bba (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) imageWithRenderingMode:]
00007fff70fc4ad1 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) initWithCGImage:scale:orientation:]
00007fff70fc4843 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) scale]
00007fff70fb1b85 (__TEXT,__text) non-external -[NSImage(GKTransferFunction) _gkReadAtSize:ARGBHostEndianBytes:]
00007fff70fe6a20 (__TEXT,__text) non-external -[NSImage(MinorAdditions) alignmentRectInsets]
00007fff70fe6a93 (__TEXT,__text) non-external -[NSImage(MinorAdditions) setAlignmentRectInsets:]
00007fff70fc51d4 (__TEXT,__text) non-external -[NSImageView(GKAdditions_UIKit) initWithImage:]
00007fff70fc59ae (__TEXT,__text) non-external -[NSResponder(GKAdditions_UIKit) _gkCanPerformAction:withSender:]
00007fff70fc47db (__TEXT,__text) non-external -[NSScreen(GKAdditions_UIKit) bounds]
00007fff70fc47c9 (__TEXT,__text) non-external -[NSScreen(GKAdditions_UIKit) scale]
00007fff70fc3230 (__TEXT,__text) non-external -[NSString(GKAdditions_UIKit) _gkDrawAtPoint:withFont:]
00007fff70fc32f7 (__TEXT,__text) non-external -[NSString(GKAdditions_UIKit) _gkIsNaturallyRTL]
00007fff70fc31b6 (__TEXT,__text) non-external -[NSString(GKAdditions_UIKit) _gkSizeWithFont:]
00007fff70fae710 (__TEXT,__text) non-external -[NSString(GKTextStyle) _gkAttributedStringByApplyingStyle:]
00007fff70fae79c (__TEXT,__text) non-external -[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:]
00007fff70fc5a8b (__TEXT,__text) non-external -[NSTextField(GKAdditions) attributedText]
00007fff70fc5b05 (__TEXT,__text) non-external -[NSTextField(GKAdditions) numberOfLines]
00007fff70fc5c66 (__TEXT,__text) non-external -[NSTextField(GKAdditions) placeholder]
00007fff70fc5a9d (__TEXT,__text) non-external -[NSTextField(GKAdditions) setAttributedText:]
00007fff70fc5bb4 (__TEXT,__text) non-external -[NSTextField(GKAdditions) setNumberOfLines:]
00007fff70fc5c78 (__TEXT,__text) non-external -[NSTextField(GKAdditions) setPlaceholder:]
00007fff70fc5ac1 (__TEXT,__text) non-external -[NSTextField(GKAdditions) setText:]
00007fff70fc5af3 (__TEXT,__text) non-external -[NSTextField(GKAdditions) setTextAlignment:]
00007fff70fc5ae1 (__TEXT,__text) non-external -[NSTextField(GKAdditions) textAlignment]
00007fff70fc5aaf (__TEXT,__text) non-external -[NSTextField(GKAdditions) text]
00007fff70fc5a79 (__TEXT,__text) non-external -[NSTextView(GKAdditions) setText:]
00007fff70fc5a67 (__TEXT,__text) non-external -[NSTextView(GKAdditions) text]
00007fff70fc554b (__TEXT,__text) non-external -[NSValue(GKAdditions_UIKit) _gkCGPointValue]
00007fff70fc5520 (__TEXT,__text) non-external -[NSValue(GKAdditions_UIKit) _gkCGSizeValue]
00007fff70fc1df6 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _autoresizingDescription]
00007fff70fc21de (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkDescriptionCuzNSViewDescriptionIzLame]
00007fff70fc2a99 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkDescriptionWithChildren:]
00007fff70fc2cd7 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkRecursiveDescription]
00007fff70fc1f5a (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkValueDescription]
00007fff70fc2d37 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) alpha]
00007fff70fc2d5b (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) center]
00007fff70fc311b (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) contentCompressionResistancePriorityForAxis:]
00007fff70fc30f7 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) contentHuggingPriorityForAxis:]
00007fff70fc2e89 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) insertSubview:atIndex:]
00007fff70fc313f (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) isFocused]
00007fff70fc3062 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) layoutIfNeeded]
00007fff70fc305c (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) layoutSubviews]
00007fff70fc3147 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) preferredFocusEnvironments]
00007fff70fc31a7 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) preferredFocusedView]
00007fff70fc2d49 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setAlpha:]
00007fff70fc2de2 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setCenter:]
00007fff70fc312d (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setContentCompressionResistancePriority:forAxis:]
00007fff70fc3109 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setContentHuggingPriority:forAxis:]
00007fff70fc3045 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsDisplay]
00007fff70fc31b0 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsFocusUpdate]
00007fff70fc3074 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsLayout]
00007fff70fc2e72 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsUpdateConstraints]
00007fff70fc2ceb (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setOpaque:]
00007fff70fc30e5 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setSize:]
00007fff70fc2e64 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setTintColor:]
00007fff70fc3086 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) sizeThatFits:]
00007fff70fc30b5 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) size]
00007fff70fc2e6a (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) tintColor]
00007fff70fcf14d (__TEXT,__text) non-external -[NSView(UXViewController) _uxAttachToViewController:]
00007fff70fcedad (__TEXT,__text) non-external -[NSView(UXViewController) _uxAttachToViewController:withDropShadow:]
00007fff70fcfb1f (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkForceNextContentUpdate]
00007fff70fd05d8 (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkRefreshContentsForDataType:userInfo:]
00007fff70fcfb0d (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkResetContents]
00007fff70fcfce4 (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]
00007fff70fd05de (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkShouldRefreshContentsForDataType:userInfo:]
00007fff70fcfaf7 (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkUpdateContentsWithCompletionHandlerAndError:]
00007fff70fc1ca1 (__TEXT,__text) non-external -[NSViewController(GKAdditions_UIKit) preferredFocusEnvironments]
00007fff70fc1d68 (__TEXT,__text) non-external -[NSViewController(GKAdditions_UIKit) preferredFocusedView]
00007fff70fc1d7a (__TEXT,__text) non-external -[NSViewController(GKAdditions_UIKit) setNeedsFocusUpdate]
00007fff70fc1772 (__TEXT,__text) non-external -[NSViewController(GKRestrictionAlerts) _gkInGameUIUnavailableAlertWithRestrictionMode:dismissHandler:]
00007fff70fb7477 (__TEXT,__text) non-external -[SortHueEntry count]
00007fff70fb7406 (__TEXT,__text) non-external -[SortHueEntry description]
00007fff70fb7463 (__TEXT,__text) non-external -[SortHueEntry hue]
00007fff70fb7395 (__TEXT,__text) non-external -[SortHueEntry initWithHue:count:]
00007fff70fb7481 (__TEXT,__text) non-external -[SortHueEntry setCount:]
00007fff70fb746d (__TEXT,__text) non-external -[SortHueEntry setHue:]
00007fff70fcd78f (__TEXT,__text) non-external -[UXAlertAction .cxx_destruct]
00007fff70fcd730 (__TEXT,__text) non-external -[UXAlertAction copyWithZone:]
00007fff70fcd76c (__TEXT,__text) non-external -[UXAlertAction handler]
00007fff70fcd6f8 (__TEXT,__text) non-external -[UXAlertAction init]
00007fff70fcd759 (__TEXT,__text) non-external -[UXAlertAction isEnabled]
00007fff70fcd763 (__TEXT,__text) non-external -[UXAlertAction setEnabled:]
00007fff70fcd780 (__TEXT,__text) non-external -[UXAlertAction setHandler:]
00007fff70fcd74f (__TEXT,__text) non-external -[UXAlertAction style]
00007fff70fcd73b (__TEXT,__text) non-external -[UXAlertAction title]
00007fff70fce0dc (__TEXT,__text) non-external -[UXAlertController .cxx_destruct]
00007fff70fcdef5 (__TEXT,__text) non-external -[UXAlertController _gkExecuteActionForReturnCode:]
00007fff70fcde37 (__TEXT,__text) non-external -[UXAlertController _gkPresentInWindow:]
00007fff70fcdd20 (__TEXT,__text) non-external -[UXAlertController _gkPresentYourself]
00007fff70fce0b5 (__TEXT,__text) non-external -[UXAlertController accessoryView]
00007fff70fce02f (__TEXT,__text) non-external -[UXAlertController actions]
00007fff70fcd856 (__TEXT,__text) non-external -[UXAlertController addAction:]
00007fff70fcd969 (__TEXT,__text) non-external -[UXAlertController addTextFieldWithConfigurationHandler:]
00007fff70fce08e (__TEXT,__text) non-external -[UXAlertController alert]
00007fff70fcd9e6 (__TEXT,__text) non-external -[UXAlertController createAlert]
00007fff70fce008 (__TEXT,__text) non-external -[UXAlertController message]
00007fff70fce07d (__TEXT,__text) non-external -[UXAlertController preferredStyle]
00007fff70fce0cb (__TEXT,__text) non-external -[UXAlertController setAccessoryView:]
00007fff70fce045 (__TEXT,__text) non-external -[UXAlertController setActions:]
00007fff70fce0a4 (__TEXT,__text) non-external -[UXAlertController setAlert:]
00007fff70fce01e (__TEXT,__text) non-external -[UXAlertController setMessage:]
00007fff70fce06c (__TEXT,__text) non-external -[UXAlertController setTextFields:]
00007fff70fce056 (__TEXT,__text) non-external -[UXAlertController textFields]
00007fff70fc16bf (__TEXT,__text) non-external -[UXAlertController(GKAlerts) _gkAddCancelButtonWithNoAction]
00007fff70fd5c35 (__TEXT,__text) non-external -[UXNavigationBar .cxx_destruct]
00007fff70fd5490 (__TEXT,__text) non-external -[UXNavigationBar _invalidateConstraints]
00007fff70fd5ad4 (__TEXT,__text) non-external -[UXNavigationBar backgroundView]
00007fff70fd307d (__TEXT,__text) non-external -[UXNavigationBar currentInnerLeftBarButtonView]
00007fff70fd34b5 (__TEXT,__text) non-external -[UXNavigationBar currentInnerRightBarButtonView]
00007fff70fd2e61 (__TEXT,__text) non-external -[UXNavigationBar currentLeftBarButtonView]
00007fff70fd3299 (__TEXT,__text) non-external -[UXNavigationBar currentRightBarButtonView]
00007fff70fd37a8 (__TEXT,__text) non-external -[UXNavigationBar currentSpinnerEnabled]
00007fff70fd36b6 (__TEXT,__text) non-external -[UXNavigationBar currentTitleView]
00007fff70fd5b53 (__TEXT,__text) non-external -[UXNavigationBar customNavBarHeight]
00007fff70fd2665 (__TEXT,__text) non-external -[UXNavigationBar dealloc]
00007fff70fd285d (__TEXT,__text) non-external -[UXNavigationBar defaultItem]
00007fff70fd5bef (__TEXT,__text) non-external -[UXNavigationBar didSetupObservers]
00007fff70fd5c10 (__TEXT,__text) non-external -[UXNavigationBar effectView]
00007fff70fd2d4f (__TEXT,__text) non-external -[UXNavigationBar emptyCenterView]
00007fff70fd2aee (__TEXT,__text) non-external -[UXNavigationBar emptyInnerLeftView]
00007fff70fd2c84 (__TEXT,__text) non-external -[UXNavigationBar emptyInnerRightView]
00007fff70fd2a23 (__TEXT,__text) non-external -[UXNavigationBar emptyLeftView]
00007fff70fd2bb9 (__TEXT,__text) non-external -[UXNavigationBar emptyRightView]
00007fff70fd5a90 (__TEXT,__text) non-external -[UXNavigationBar items]
00007fff70fd5753 (__TEXT,__text) non-external -[UXNavigationBar observeValueForKeyPath:ofObject:change:context:]
00007fff70fd5132 (__TEXT,__text) non-external -[UXNavigationBar popNavigationItemAnimated:]
00007fff70fec72d (__TEXT,__text) non-external -[UXNavigationBar popNavigationItemAnimated:].cold.1
00007fff70fd539e (__TEXT,__text) non-external -[UXNavigationBar popToNavigationItem:animated:]
00007fff70fd5b21 (__TEXT,__text) non-external -[UXNavigationBar prefersLargeTitles]
00007fff70fd5017 (__TEXT,__text) non-external -[UXNavigationBar pushNavigationItem:animated:]
00007fff70fd5ae5 (__TEXT,__text) non-external -[UXNavigationBar setBackgroundView:]
00007fff70fd5b65 (__TEXT,__text) non-external -[UXNavigationBar setCustomNavBarHeight:]
00007fff70fd5af9 (__TEXT,__text) non-external -[UXNavigationBar setDefaultItem:]
00007fff70fd5c00 (__TEXT,__text) non-external -[UXNavigationBar setDidSetupObservers:]
00007fff70fd5c21 (__TEXT,__text) non-external -[UXNavigationBar setEffectView:]
00007fff70fd5bc7 (__TEXT,__text) non-external -[UXNavigationBar setEmptyCenterView:]
00007fff70fd5bb3 (__TEXT,__text) non-external -[UXNavigationBar setEmptyInnerLeftView:]
00007fff70fd5b8b (__TEXT,__text) non-external -[UXNavigationBar setEmptyInnerRightView:]
00007fff70fd5b9f (__TEXT,__text) non-external -[UXNavigationBar setEmptyLeftView:]
00007fff70fd5b77 (__TEXT,__text) non-external -[UXNavigationBar setEmptyRightView:]
00007fff70fd5aa3 (__TEXT,__text) non-external -[UXNavigationBar setItems:]
00007fff70fd5b32 (__TEXT,__text) non-external -[UXNavigationBar setPrefersLargeTitles:]
00007fff70fd5b0d (__TEXT,__text) non-external -[UXNavigationBar setSpinner:]
00007fff70fd5ac4 (__TEXT,__text) non-external -[UXNavigationBar setStyle:]
00007fff70fd5bdb (__TEXT,__text) non-external -[UXNavigationBar setTopItem:]
00007fff70fd5626 (__TEXT,__text) non-external -[UXNavigationBar setTranslucent:]
00007fff70fd2514 (__TEXT,__text) non-external -[UXNavigationBar setupObservers]
00007fff70fd289e (__TEXT,__text) non-external -[UXNavigationBar spinner]
00007fff70fd5ab4 (__TEXT,__text) non-external -[UXNavigationBar style]
00007fff70fd27a7 (__TEXT,__text) non-external -[UXNavigationBar topItem]
00007fff70fd5b42 (__TEXT,__text) non-external -[UXNavigationBar translucent]
00007fff70fd37ed (__TEXT,__text) non-external -[UXNavigationBar updateConstraints]
00007fff70fd570d (__TEXT,__text) non-external -[UXNavigationBar viewDidMoveToSuperview]
00007fff70fda70d (__TEXT,__text) non-external -[UXNavigationController .cxx_destruct]
00007fff70fd9a03 (__TEXT,__text) non-external -[UXNavigationController _didBeginSheet]
