00007ff8165b2ca3 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff8439110b8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00007ff843910fc8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00007ff843911068 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00007ff843911248 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00007ff843911018 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00007ff843911108 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalEvent
00007ff8439111a8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00007ff843910f78 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00007ff8439111f8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00007ff843911158 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
00007ff843911298 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalTask
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSMethodExceptionProem (from Foundation)
00007ff8165bd880 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalAlarm
00007ff8165bd898 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendar
00007ff8165bd8b0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarItem
00007ff8165bd8c8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarStore
00007ff8165bd990 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalEvent
00007ff8165bd9b0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalNthWeekDay
00007ff8165bd9c8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceEnd
00007ff8165bd9e8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceRule
00007ff8165bda18 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalTask
00007ff841e08b70 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_CalCalendarStore
00007ff8165bda30 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAlarm
00007ff8165bdba0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAttendee
00007ff8165bdc30 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendar
00007ff8165bdd10 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarItem
00007ff8165bde78 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarStore
00007ff8165bdf98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalEvent
00007ff8165be0b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalNthWeekDay
00007ff8165be138 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalPredicate
00007ff8165be188 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceEnd
00007ff8165be230 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceRule
00007ff8165be370 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalTask
00007ff841e08e00 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAlarm
00007ff841e08ab8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAttendee
00007ff841e08cb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendar
00007ff841e09480 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarItem
00007ff841e08bd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarStore
00007ff841e08f90 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalEvent
00007ff841e09260 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalNthWeekDay
00007ff841e089c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalPredicate
00007ff841e09368 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceEnd
00007ff841e090f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceRule
00007ff841e095f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalTask
00007ff841e08e68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAlarm
00007ff841e08ae0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAttendee
00007ff841e08ce0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendar
00007ff841e094c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarItem
00007ff841e08bf8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarStore
00007ff841e08fb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalEvent
00007ff841e09288 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalNthWeekDay
00007ff841e09390 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceEnd
00007ff841e09120 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceRule
00007ff841e09618 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalTask
00007ff841e08a30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff841e08a50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ff841e08da0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAlarm
00007ff841e08a58 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAttendee
00007ff841e08c58 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendar
00007ff841e09420 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendarItem
00007ff841e09200 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalNthWeekDay
00007ff841e09308 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceEnd
00007ff841e09098 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceRule
00007ff841e08f00 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAlarm
00007ff841e08b28 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAttendee
00007ff841e08d58 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendar
00007ff841e09560 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarItem
00007ff841e08c10 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarStore
00007ff841e09050 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalEvent
00007ff841e092c0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalNthWeekDay
00007ff841e089e8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalPredicate
00007ff841e093d8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceEnd
00007ff841e091b8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceRule
00007ff841e09670 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalTask
00007ff841e08968 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ff841e08db8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAlarm
00007ff841e08a70 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAttendee
00007ff841e08c70 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendar
00007ff841e09438 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarItem
00007ff841e08b88 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarStore
00007ff841e08f48 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalEvent
00007ff841e09218 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalNthWeekDay
00007ff841e08978 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalPredicate
00007ff841e09320 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceEnd
00007ff841e090b0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceRule
00007ff841e095a8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalTask
00007ff8439112c0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
                 (undefined) external __Unwind_Resume (from libSystem)
00007ff8165b4bba (__TEXT,__text) non-external ___58+[CalCalendarStore requestAccessForEntityType:eventStore:]_block_invoke
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff841e07998 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e20_v20?0c8"NSError"12l
00007ff8165b4bd4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00007ff8165b4c04 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff843911320 (__DATA,__bss) non-external __defaultCalendarStore
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
