0000000298c0f830 (__DATA_DIRTY,__common) external _AfterColour
00000002440dc34c (__TEXT,__text) external __ZN4llvm15ScalarEvolution23SplitIntoInitAndPostIncEPKNS_4LoopEPKNS_4SCEVE
00000002440e5e0c (__TEXT,__text) external __ZN4llvm15ScalarEvolution23computeBlockDispositionEPKNS_4SCEVEPKNS_10BasicBlockE
00000002440aef18 (__TEXT,__text) external __ZN4llvm15ScalarEvolution23findExistingSCEVInCacheENS_9SCEVTypesENS_8ArrayRefIPKNS_4SCEVEEE
000000024409e918 (__TEXT,__text) external __ZN4llvm15ScalarEvolution23getLosslessPtrToIntExprEPKNS_4SCEVEj
00000002440b35a8 (__TEXT,__text) external __ZN4llvm15ScalarEvolution23getSequentialMinMaxExprENS_9SCEVTypesERNS_15SmallVectorImplIPKNS_4SCEVEEE
00000002440a011c (__TEXT,__text) external __ZN4llvm15ScalarEvolution23getTruncateOrSignExtendEPKNS_4SCEVEPNS_4TypeEj
000000024409f298 (__TEXT,__text) external __ZN4llvm15ScalarEvolution23getTruncateOrZeroExtendEPKNS_4SCEVEPNS_4TypeEj
00000002440aa8f8 (__TEXT,__text) external __ZN4llvm15ScalarEvolution23isKnownOnEveryIterationENS_7CmpInst9PredicateEPKNS_14SCEVAddRecExprEPKNS_4SCEVE
00000002440cff38 (__TEXT,__text) external __ZN4llvm15ScalarEvolution24computeExitLimitFromCondEPKNS_4LoopEPNS_5ValueEbbb
00000002440d1624 (__TEXT,__text) external __ZN4llvm15ScalarEvolution24computeExitLimitFromICmpEPKNS_4LoopENS_7CmpInst9PredicateEPKNS_4SCEVES8_bb
00000002440d1370 (__TEXT,__text) external __ZN4llvm15ScalarEvolution24computeExitLimitFromICmpEPKNS_4LoopEPNS_8ICmpInstEbbb
00000002440ba2bc (__TEXT,__text) external __ZN4llvm15ScalarEvolution24createNodeForSelectOrPHIEPNS_5ValueES2_S2_S2_
00000002440b8508 (__TEXT,__text) external __ZN4llvm15ScalarEvolution24createSimpleAffineAddRecEPNS_7PHINodeEPNS_5ValueES4_
00000002440dbac4 (__TEXT,__text) external __ZN4llvm15ScalarEvolution24isLoopEntryGuardedByCondEPKNS_4LoopENS_7CmpInst9PredicateEPKNS_4SCEVES8_
00000002440c59c8 (__TEXT,__text) external __ZN4llvm15ScalarEvolution24loopIsFiniteByAssumptionEPKNS_4LoopE
00000002440cd790 (__TEXT,__text) external __ZN4llvm15ScalarEvolution25computeBackedgeTakenCountEPKNS_4LoopEb
00000002440df7e8 (__TEXT,__text) external __ZN4llvm15ScalarEvolution25computeConstantDifferenceEPKNS_4SCEVES3_
00000002440ced28 (__TEXT,__text) external __ZN4llvm15ScalarEvolution25forgetBackedgeTakenCountsEPKNS_4LoopEb
00000002440e61bc (__TEXT,__text) external __ZN4llvm15ScalarEvolution25forgetMemoizedResultsImplEPKNS_4SCEVE
00000002440dd348 (__TEXT,__text) external __ZN4llvm15ScalarEvolution25getLoopInvariantPredicateENS_7CmpInst9PredicateEPKNS_4SCEVES5_PKNS_4LoopE
00000002440dd264 (__TEXT,__text) external __ZN4llvm15ScalarEvolution25getMonotonicPredicateTypeEPKNS_14SCEVAddRecExprENS_7CmpInst9PredicateE
00000002451de494 (__TEXT,__text) external __ZN4llvm15ScalarEvolution25getSmallConstantTripCountEPKNS_4LoopE
00000002440cb0c0 (__TEXT,__text) external __ZN4llvm15ScalarEvolution25getSmallConstantTripCountEPKNS_4LoopEPKNS_10BasicBlockE
00000002440caca4 (__TEXT,__text) external __ZN4llvm15ScalarEvolution25getTripCountFromExitCountEPKNS_4SCEVEb
00000002451ddd70 (__TEXT,__text) external __ZN4llvm15ScalarEvolution26getUMaxFromMismatchedTypesEPKNS_4SCEVES3_
00000002440b6d14 (__TEXT,__text) external __ZN4llvm15ScalarEvolution26getUMinFromMismatchedTypesEPKNS_4SCEVES3_b
00000002440b6da0 (__TEXT,__text) external __ZN4llvm15ScalarEvolution26getUMinFromMismatchedTypesERNS_15SmallVectorImplIPKNS_4SCEVEEEb
00000002440e5ba4 (__TEXT,__text) external __ZN4llvm15ScalarEvolution26hasComputableLoopEvolutionEPKNS_4SCEVEPKNS_4LoopE
00000002440dec40 (__TEXT,__text) external __ZN4llvm15ScalarEvolution26isImpliedCondBalancedTypesENS_7CmpInst9PredicateEPKNS_4SCEVES5_S2_S5_S5_PKNS_11InstructionE
00000002440b9a84 (__TEXT,__text) external __ZN4llvm15ScalarEvolution27createNodeFromSelectLikePHIEPNS_7PHINodeE
00000002451ddc44 (__TEXT,__text) external __ZN4llvm15ScalarEvolution27getSizeOfScalableVectorExprEPNS_4TypeEPNS_18ScalableVectorTypeE
00000002440e167c (__TEXT,__text) external __ZN4llvm15ScalarEvolution27isImpliedCondOperandsHelperENS_7CmpInst9PredicateEPKNS_4SCEVES5_S5_S5_
00000002440aa120 (__TEXT,__text) external __ZN4llvm15ScalarEvolution27isLoopBackedgeGuardedByCondEPKNS_4LoopENS_7CmpInst9PredicateEPKNS_4SCEVES8_
00000002440d1ccc (__TEXT,__text) external __ZN4llvm15ScalarEvolution28computeExitCountExhaustivelyEPKNS_4LoopEPNS_5ValueEb
00000002440d05e4 (__TEXT,__text) external __ZN4llvm15ScalarEvolution28computeExitLimitFromCondImplERNS0_14ExitLimitCacheEPKNS_4LoopEPNS_5ValueEbbb
00000002440d238c (__TEXT,__text) external __ZN4llvm15ScalarEvolution28computeShiftCompareExitLimitEPNS_5ValueES2_PKNS_4LoopENS_7CmpInst9PredicateE
00000002440b8238 (__TEXT,__text) external __ZN4llvm15ScalarEvolution28createAddRecFromPHIWithCastsEPKNS_11SCEVUnknownE
00000002440bc8e8 (__TEXT,__text) external __ZN4llvm15ScalarEvolution28getRangeForUnknownRecurrenceEPKNS_11SCEVUnknownE
00000002440bdb00 (__TEXT,__text) external __ZN4llvm15ScalarEvolution28getSmallConstantMaxTripCountEPKNS_4LoopE
00000002440cc13c (__TEXT,__text) external __ZN4llvm15ScalarEvolution28getSmallConstantTripMultipleEPKNS_4LoopE
00000002440cc250 (__TEXT,__text) external __ZN4llvm15ScalarEvolution28getSmallConstantTripMultipleEPKNS_4LoopEPKNS_10BasicBlockE
00000002440cc2e8 (__TEXT,__text) external __ZN4llvm15ScalarEvolution28getSmallConstantTripMultipleEPKNS_4LoopEPKNS_4SCEVE
00000002440dc850 (__TEXT,__text) external __ZN4llvm15ScalarEvolution28isKnownPredicateViaSplittingENS_7CmpInst9PredicateEPKNS_4SCEVES5_
00000002440a6f08 (__TEXT,__text) external __ZN4llvm15ScalarEvolution28proveNoWrapViaConstantRangesEPKNS_14SCEVAddRecExprE
00000002440dd268 (__TEXT,__text) external __ZN4llvm15ScalarEvolution29getMonotonicPredicateTypeImplEPKNS_14SCEVAddRecExprENS_7CmpInst9PredicateE
00000002440cd6cc (__TEXT,__text) external __ZN4llvm15ScalarEvolution29isBackedgeTakenCountMaxOrZeroEPKNS_4LoopE
00000002440e1014 (__TEXT,__text) external __ZN4llvm15ScalarEvolution29isImpliedCondOperandsViaShiftENS_7CmpInst9PredicateEPKNS_4SCEVES5_S5_S5_
00000002440dd460 (__TEXT,__text) external __ZN4llvm15ScalarEvolution29isKnownPredicateViaNoOverflowENS_7CmpInst9PredicateEPKNS_4SCEVES5_
00000002440ad5fc (__TEXT,__text) external __ZN4llvm15ScalarEvolution29proveNoSignedWrapViaInductionEPKNS_14SCEVAddRecExprE
00000002440d01dc (__TEXT,__text) external __ZN4llvm15ScalarEvolution30computeExitLimitFromCondCachedERNS0_14ExitLimitCacheEPKNS_4LoopEPNS_5ValueEbbb
00000002440cd130 (__TEXT,__text) external __ZN4llvm15ScalarEvolution30getPredicatedBackedgeTakenInfoEPKNS_4LoopE
00000002440dcb7c (__TEXT,__text) external __ZN4llvm15ScalarEvolution30isBasicBlockEntryGuardedByCondEPKNS_10BasicBlockENS_7CmpInst9PredicateEPKNS_4SCEVES8_
00000002440e126c (__TEXT,__text) external __ZN4llvm15ScalarEvolution30isImpliedCondOperandsViaRangesENS_7CmpInst9PredicateEPKNS_4SCEVES5_S5_S5_
00000002440c534c (__TEXT,__text) external __ZN4llvm15ScalarEvolution31getNonTrivialDefiningScopeBoundEPKNS_4SCEVE
00000002451de4e8 (__TEXT,__text) external __ZN4llvm15ScalarEvolution31getPredicatedBackedgeTakenCountEPKNS_4LoopERNS_11SmallVectorIPKNS_13SCEVPredicateELj4EEE
00000002440b3288 (__TEXT,__text) external __ZN4llvm15ScalarEvolution31isKnownViaNonRecursiveReasoningENS_7CmpInst9PredicateEPKNS_4SCEVES5_
00000002440a9a94 (__TEXT,__text) external __ZN4llvm15ScalarEvolution31proveNoUnsignedWrapViaInductionEPKNS_14SCEVAddRecExprE
00000002440b7824 (__TEXT,__text) external __ZN4llvm15ScalarEvolution32createAddRecFromPHIWithCastsImplEPKNS_11SCEVUnknownE
00000002440cb210 (__TEXT,__text) external __ZN4llvm15ScalarEvolution32getConstantMaxTripCountFromArrayEPKNS_4LoopE
00000002440d0d84 (__TEXT,__text) external __ZN4llvm15ScalarEvolution33computeExitLimitFromCondFromBinOpERNS0_14ExitLimitCacheEPKNS_4LoopEPNS_5ValueEbbb
00000002440db9a4 (__TEXT,__text) external __ZN4llvm15ScalarEvolution33convertSCEVToAddRecWithPredicatesEPKNS_4SCEVEPKNS_4LoopERNS_15SmallPtrSetImplIPKNS_13SCEVPredicateEEE
00000002451dea64 (__TEXT,__text) external __ZN4llvm15ScalarEvolution33getConstantEvolutionLoopExitValueEPNS_7PHINodeERKNS_5APIntEPKNS_4LoopE
00000002451de09c (__TEXT,__text) external __ZN4llvm15ScalarEvolution33getRangeForAffineNoSelfWrappingAREPKNS_14SCEVAddRecExprEPKNS_4SCEVEjNS0_13RangeSignHintE
00000002440af994 (__TEXT,__text) external __ZN4llvm15ScalarEvolution33isGuaranteedToTransferExecutionToEPKNS_11InstructionES3_
00000002440c3de0 (__TEXT,__text) external __ZN4llvm15ScalarEvolution33isKnownPredicateViaConstantRangesENS_7CmpInst9PredicateEPKNS_4SCEVES5_
00000002440bba34 (__TEXT,__text) external __ZN4llvm15ScalarEvolution34createNodeForSelectOrPHIViaUMinSeqEPNS_5ValueES2_S2_S2_
00000002451df748 (__TEXT,__text) external __ZN4llvm15ScalarEvolution34hasLoopInvariantBackedgeTakenCountEPKNS_4LoopE
00000002440b4890 (__TEXT,__text) external __ZN4llvm15ScalarEvolution34instructionCouldExistWitthOperandsEPKNS_4SCEVES3_
00000002440dff94 (__TEXT,__text) external __ZN4llvm15ScalarEvolution34isImpliedCondOperandsViaNoOverflowENS_7CmpInst9PredicateEPKNS_4SCEVES5_S5_S5_
00000002440ae268 (__TEXT,__text) external __ZN4llvm15ScalarEvolution35getStrengthenedNoWrapFlagsFromBinOpEPKNS_25OverflowingBinaryOperatorE
00000002440dfd10 (__TEXT,__text) external __ZN4llvm15ScalarEvolution35isImpliedCondOperandsViaAddRecStartENS_7CmpInst9PredicateEPKNS_4SCEVES5_S5_S5_PKNS_11InstructionE
00000002440cffd8 (__TEXT,__text) external __ZN4llvm15ScalarEvolution36computeExitLimitFromSingleExitSwitchEPKNS_4LoopEPNS_10SwitchInstEPNS_10BasicBlockEb
00000002440cf4b0 (__TEXT,__text) external __ZN4llvm15ScalarEvolution36computeSymbolicMaxBackedgeTakenCountEPKNS_4LoopE
00000002440ba940 (__TEXT,__text) external __ZN4llvm15ScalarEvolution44createNodeForSelectOrPHIInstWithICmpInstCondEPNS_11InstructionEPNS_8ICmpInstEPNS_5ValueES6_
00000002451df0f0 (__TEXT,__text) external __ZN4llvm15ScalarEvolution45getLoopInvariantExitCondDuringFirstIterationsENS_7CmpInst9PredicateEPKNS_4SCEVES5_PKNS_4LoopEPKNS_11InstructionES5_
00000002440ae4dc (__TEXT,__text) external __ZN4llvm15ScalarEvolution7getSCEVEPNS_5ValueE
00000002440cf890 (__TEXT,__text) external __ZN4llvm15ScalarEvolution9ExitLimitC1EPKNS_4SCEVE
00000002440cf964 (__TEXT,__text) external __ZN4llvm15ScalarEvolution9ExitLimitC1EPKNS_4SCEVES4_b
00000002440cf8a4 (__TEXT,__text) external __ZN4llvm15ScalarEvolution9ExitLimitC1EPKNS_4SCEVES4_bNS_8ArrayRefIPKNS_15SmallPtrSetImplIPKNS_13SCEVPredicateEEEEE
00000002440cf900 (__TEXT,__text) external __ZN4llvm15ScalarEvolution9ExitLimitC1EPKNS_4SCEVES4_bRKNS_15SmallPtrSetImplIPKNS_13SCEVPredicateEEE
00000002440cf6ec (__TEXT,__text) external __ZN4llvm15ScalarEvolution9ExitLimitC2EPKNS_4SCEVE
00000002440cf958 (__TEXT,__text) external __ZN4llvm15ScalarEvolution9ExitLimitC2EPKNS_4SCEVES4_b
00000002440cf700 (__TEXT,__text) external __ZN4llvm15ScalarEvolution9ExitLimitC2EPKNS_4SCEVES4_bNS_8ArrayRefIPKNS_15SmallPtrSetImplIPKNS_13SCEVPredicateEEEEE
00000002440cf8a8 (__TEXT,__text) external __ZN4llvm15ScalarEvolution9ExitLimitC2EPKNS_4SCEVES4_bRKNS_15SmallPtrSetImplIPKNS_13SCEVPredicateEEE
00000002440e0ff4 (__TEXT,__text) external __ZN4llvm15ScalarEvolution9dominatesEPKNS_4SCEVEPKNS_10BasicBlockE
00000002440aac40 (__TEXT,__text) external __ZN4llvm15ScalarEvolution9matchURemEPKNS_4SCEVERS3_S4_
00000002440e46d4 (__TEXT,__text) external __ZN4llvm15ScalarEvolutionC1EOS0_
00000002451df744 (__TEXT,__text) external __ZN4llvm15ScalarEvolutionC1ERNS_8FunctionERNS_17TargetLibraryInfoERNS_15AssumptionCacheERNS_13DominatorTreeERNS_8LoopInfoE
00000002440e40c0 (__TEXT,__text) external __ZN4llvm15ScalarEvolutionC2EOS0_
00000002440e3cac (__TEXT,__text) external __ZN4llvm15ScalarEvolutionC2ERNS_8FunctionERNS_17TargetLibraryInfoERNS_15AssumptionCacheERNS_13DominatorTreeERNS_8LoopInfoE
00000002440e4b00 (__TEXT,__text) external __ZN4llvm15ScalarEvolutionD1Ev
00000002440e46d8 (__TEXT,__text) external __ZN4llvm15ScalarEvolutionD2Ev
000000029583fc80 (__DATA,__common) external __ZN4llvm15ScopedNoAliasAA3KeyE
0000000244118668 (__TEXT,__text) external __ZN4llvm15ScopedNoAliasAA3runERNS_8FunctionERNS_15AnalysisManagerIS1_JEEE
0000000245687450 (__TEXT,__text) external __ZN4llvm15SignpostEmitter11endIntervalEPKvNS_9StringRefE
000000024568744c (__TEXT,__text) external __ZN4llvm15SignpostEmitter13startIntervalEPKvNS_9StringRefE
0000000245687404 (__TEXT,__text) external __ZN4llvm15SignpostEmitterC1Ev
0000000244e63330 (__TEXT,__text) external __ZN4llvm15SignpostEmitterC2Ev
000000024568740c (__TEXT,__text) external __ZN4llvm15SignpostEmitterD1Ev
0000000244e63338 (__TEXT,__text) external __ZN4llvm15SignpostEmitterD2Ev
0000000243ffa268 (__TEXT,__text) external __ZN4llvm15SimplifyAddInstEPNS_5ValueES1_bbRKNS_13SimplifyQueryE
0000000243ffbd90 (__TEXT,__text) external __ZN4llvm15SimplifyAndInstEPNS_5ValueES1_RKNS_13SimplifyQueryE
0000000245581b1c (__TEXT,__text) external __ZN4llvm15SimplifyCFGPass13printPipelineERNS_11raw_ostreamENS_12function_refIFNS_9StringRefES4_EEE
0000000244d0134c (__TEXT,__text) external __ZN4llvm15SimplifyCFGPass3runERNS_8FunctionERNS_15AnalysisManagerIS1_JEEE
0000000245581ae4 (__TEXT,__text) external __ZN4llvm15SimplifyCFGPassC1ERKNS_18SimplifyCFGOptionsE
0000000244d012d4 (__TEXT,__text) external __ZN4llvm15SimplifyCFGPassC1Ev
0000000244d01314 (__TEXT,__text) external __ZN4llvm15SimplifyCFGPassC2ERKNS_18SimplifyCFGOptionsE
0000000244d011e8 (__TEXT,__text) external __ZN4llvm15SimplifyCFGPassC2Ev
0000000244007f40 (__TEXT,__text) external __ZN4llvm15SimplifyCmpInstEjPNS_5ValueES1_RKNS_13SimplifyQueryE
0000000244007724 (__TEXT,__text) external __ZN4llvm15SimplifyFMAFMulEPNS_5ValueES1_NS_13FastMathFlagsERKNS_13SimplifyQueryENS_2fp17ExceptionBehaviorENS_12RoundingModeE
0000000244005090 (__TEXT,__text) external __ZN4llvm15SimplifyGEPInstEPNS_4TypeEPNS_5ValueENS_8ArrayRefIS3_EEbRKNS_13SimplifyQueryE
0000000243ffb194 (__TEXT,__text) external __ZN4llvm15SimplifyMulInstEPNS_5ValueES1_RKNS_13SimplifyQueryE
0000000243ffb6a4 (__TEXT,__text) external __ZN4llvm15SimplifyShlInstEPNS_5ValueES1_bbRKNS_13SimplifyQueryE
0000000243ffa7c4 (__TEXT,__text) external __ZN4llvm15SimplifySubInstEPNS_5ValueES1_bbRKNS_13SimplifyQueryE
0000000243ffe270 (__TEXT,__text) external __ZN4llvm15SimplifyXorInstEPNS_5ValueES1_RKNS_13SimplifyQueryE
0000000244e63e3c (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIjE11SizeTypeMaxEv
0000000244e63e5c (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm
0000000244e63f08 (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIjE8grow_podEPvmm
0000000244e64038 (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIjE8set_sizeEm
0000000244e63e50 (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIjEC1EPvm
0000000244e63e44 (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIjEC2EPvm
0000000244e64040 (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIyE11SizeTypeMaxEv
0000000244e64060 (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIyE13mallocForGrowEmmRm
0000000244e640f0 (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm
0000000244e64200 (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIyE8set_sizeEm
0000000244e64054 (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIyEC1EPvm
0000000244e64048 (__TEXT,__text) weak external __ZN4llvm15SmallVectorBaseIyEC2EPvm
0000000245688e3c (__TEXT,__text) external __ZN4llvm15SpecialCaseList11createOrDieERKNSt3__16vectorINS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEENS6_IS8_EEEERNS_3vfs10FileSystemE
0000000245688dc4 (__TEXT,__text) external __ZN4llvm15SpecialCaseList14createInternalEPKNS_12MemoryBufferERNSt3__112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEE
0000000244e67644 (__TEXT,__text) external __ZN4llvm15SpecialCaseList14createInternalERKNSt3__16vectorINS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEENS6_IS8_EEEERNS_3vfs10FileSystemERS8_
0000000244e67950 (__TEXT,__text) external __ZN4llvm15SpecialCaseList5parseEPKNS_12MemoryBufferERNS_9StringMapImNS_15MallocAllocatorEEERNSt3__112basic_stringIcNS8_11char_traitsIcEENS8_9allocatorIcEEEE
0000000245688ce4 (__TEXT,__text) external __ZN4llvm15SpecialCaseList6createEPKNS_12MemoryBufferERNSt3__112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEE
0000000245688c40 (__TEXT,__text) external __ZN4llvm15SpecialCaseList6createERKNSt3__16vectorINS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEENS6_IS8_EEEERNS_3vfs10FileSystemERS8_
0000000244e671b4 (__TEXT,__text) external __ZN4llvm15SpecialCaseList7Matcher6insertENSt3__112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEjRS8_
0000000245688f04 (__TEXT,__text) external __ZN4llvm15SpecialCaseListD1Ev
0000000245688ecc (__TEXT,__text) external __ZN4llvm15SpecialCaseListD2Ev
0000000290433398 (__DATA_CONST,__const) external __ZN4llvm15StackColoringIDE
00000002440fd5a4 (__TEXT,__text) external __ZN4llvm15StackSafetyInfoC1EOS0_
00000002440fd4e4 (__TEXT,__text) external __ZN4llvm15StackSafetyInfoC1EPNS_8FunctionENSt3__18functionIFRNS_15ScalarEvolutionEvEEE
00000002440fd4a4 (__TEXT,__text) external __ZN4llvm15StackSafetyInfoC1Ev
00000002440fd518 (__TEXT,__text) external __ZN4llvm15StackSafetyInfoC2EOS0_
00000002440fd4b0 (__TEXT,__text) external __ZN4llvm15StackSafetyInfoC2EPNS_8FunctionENSt3__18functionIFRNS_15ScalarEvolutionEvEEE
00000002440fd498 (__TEXT,__text) external __ZN4llvm15StackSafetyInfoC2Ev
00000002440fd67c (__TEXT,__text) external __ZN4llvm15StackSafetyInfoD1Ev
00000002440fd5fc (__TEXT,__text) external __ZN4llvm15StackSafetyInfoD2Ev
00000002440fd5a8 (__TEXT,__text) external __ZN4llvm15StackSafetyInfoaSEOS0_
00000002452c3504 (__TEXT,__text) external __ZN4llvm15StatepointOpers14getNumGCPtrIdxEv
00000002452c35c4 (__TEXT,__text) external __ZN4llvm15StatepointOpers15getGCPointerMapERNS_15SmallVectorImplINSt3__14pairIjjEEEE
00000002452c3434 (__TEXT,__text) external __ZN4llvm15StatepointOpers15getNumAllocaIdxEv
00000002452c3580 (__TEXT,__text) external __ZN4llvm15StatepointOpers16getFirstGCPtrIdxEv
00000002452c33a8 (__TEXT,__text) external __ZN4llvm15StatepointOpers21getNumGcMapEntriesIdxEv
00000002904333b0 (__DATA_CONST,__const) external __ZN4llvm15TailDuplicateIDE
00000002452cbb80 (__TEXT,__text) external __ZN4llvm15TargetInstrInfo17PipelinerLoopInfoD0Ev
00000002452cbb7c (__TEXT,__text) external __ZN4llvm15TargetInstrInfo17PipelinerLoopInfoD1Ev
0000000244412648 (__TEXT,__text) external __ZN4llvm15TargetInstrInfo17PipelinerLoopInfoD2Ev
00000002452ca1d4 (__TEXT,__text) external __ZN4llvm15TargetInstrInfo20fixCommutedOpIndicesERjS1_jj
00000002452c9b38 (__TEXT,__text) external __ZN4llvm15TargetInstrInfoD0Ev
00000002452c9ad0 (__TEXT,__text) external __ZN4llvm15TargetInstrInfoD1Ev
00000002452c9a5c (__TEXT,__text) external __ZN4llvm15TargetInstrInfoD2Ev
0000000244534914 (__TEXT,__text) external __ZN4llvm15UnreachableInstC1ERNS_11LLVMContextEPNS_10BasicBlockE
00000002445347c0 (__TEXT,__text) external __ZN4llvm15UnreachableInstC1ERNS_11LLVMContextEPNS_11InstructionE
0000000244534870 (__TEXT,__text) external __ZN4llvm15UnreachableInstC2ERNS_11LLVMContextEPNS_10BasicBlockE
0000000244534710 (__TEXT,__text) external __ZN4llvm15UnreachableInstC2ERNS_11LLVMContextEPNS_11InstructionE
00000002444965d4 (__TEXT,__text) external __ZN4llvm15UpgradeTBAANodeERNS_6MDNodeE
0000000245319f18 (__TEXT,__text) external __ZN4llvm15VPCastIntrinsic8isVPCastEj
000000024572dfc4 (__TEXT,__text) external __ZN4llvm15VPRecipeBuilder10tryToBlendEPNS_7PHINodeENS_8ArrayRefIPNS_7VPValueEEERNSt3__110unique_ptrINS_5VPlanENS7_14default_deleteIS9_EEEE
000000024572e758 (__TEXT,__text) external __ZN4llvm15VPRecipeBuilder13fixHeaderPhisEv
000000024572ce0c (__TEXT,__text) external __ZN4llvm15VPRecipeBuilder14createEdgeMaskEPNS_10BasicBlockES2_RNSt3__110unique_ptrINS_5VPlanENS3_14default_deleteIS5_EEEE
000000024572d9d4 (__TEXT,__text) external __ZN4llvm15VPRecipeBuilder16tryToWidenMemoryEPNS_11InstructionENS_8ArrayRefIPNS_7VPValueEEERNS_7VFRangeERNSt3__110unique_ptrINS_5VPlanENS9_14default_deleteISB_EEEE
000000024572d22c (__TEXT,__text) external __ZN4llvm15VPRecipeBuilder17createBlockInMaskEPNS_10BasicBlockERNSt3__110unique_ptrINS_5VPlanENS3_14default_deleteIS5_EEEE
000000024572e894 (__TEXT,__text) external __ZN4llvm15VPRecipeBuilder17handleReplicationEPNS_11InstructionERNS_7VFRangeEPNS_12VPBasicBlockERNSt3__110unique_ptrINS_5VPlanENS7_14default_deleteIS9_EEEE
000000024572ed50 (__TEXT,__text) external __ZN4llvm15VPRecipeBuilder21createReplicateRegionEPNS_11InstructionEPNS_12VPRecipeBaseERNSt3__110unique_ptrINS_5VPlanENS5_14default_deleteIS7_EEEE
000000024572f250 (__TEXT,__text) external __ZN4llvm15VPRecipeBuilder22tryToCreateWidenRecipeEPNS_11InstructionENS_8ArrayRefIPNS_7VPValueEEERNS_7VFRangeERNSt3__110unique_ptrINS_5VPlanENS9_14default_deleteISB_EEEE
000000024572dbb4 (__TEXT,__text) external __ZN4llvm15VPRecipeBuilder25tryToOptimizeInductionPHIEPNS_7PHINodeENS_8ArrayRefIPNS_7VPValueEEERNS_5VPlanERNS_7VFRangeE
000000024572de80 (__TEXT,__text) external __ZN4llvm15VPRecipeBuilder30tryToOptimizeInductionTruncateEPNS_9TruncInstENS_8ArrayRefIPNS_7VPValueEEERNS_7VFRangeERNS_5VPlanE
0000000245759ee8 (__TEXT,__text) external __ZN4llvm15VPlanPredicator16genPredicateTreeERNSt3__14listIPNS_7VPValueENS1_9allocatorIS4_EEEE
00000002450ae330 (__TEXT,__text) external __ZN4llvm15VPlanPredicator18getEdgeTypeBetweenEPNS_11VPBlockBaseES2_
000000024575a33c (__TEXT,__text) external __ZN4llvm15VPlanPredicator18linearizeRegionRecEPNS_13VPRegionBlockE
000000024575a2b8 (__TEXT,__text) external __ZN4llvm15VPlanPredicator18predicateRegionRecEPNS_13VPRegionBlockE
0000000245759d94 (__TEXT,__text) external __ZN4llvm15VPlanPredicator23getOrCreateNotPredicateEPNS_12VPBasicBlockES2_
0000000245759ff4 (__TEXT,__text) external __ZN4llvm15VPlanPredicator27createOrPropagatePredicatesEPNS_11VPBlockBaseEPNS_13VPRegionBlockE
000000024575a4d4 (__TEXT,__text) external __ZN4llvm15VPlanPredicator9predicateEv
000000024575a51c (__TEXT,__text) external __ZN4llvm15VPlanPredicatorC1ERNS_5VPlanE
00000002450ae344 (__TEXT,__text) external __ZN4llvm15VPlanPredicatorC2ERNS_5VPlanE
000000024575bb38 (__TEXT,__text) external __ZN4llvm15VPlanTransforms17removeDeadRecipesERNS_5VPlanERNS_4LoopE
00000002450b0c58 (__TEXT,__text) external __ZN4llvm15VPlanTransforms18optimizeInductionsERNS_5VPlanERNS_15ScalarEvolutionE
000000024575b024 (__TEXT,__text) external __ZN4llvm15VPlanTransforms18sinkScalarOperandsERNS_5VPlanE
000000024575b548 (__TEXT,__text) external __ZN4llvm15VPlanTransforms21mergeReplicateRegionsERNS_5VPlanE
000000024575a758 (__TEXT,__text) external __ZN4llvm15VPlanTransforms25VPInstructionsToVPRecipesEPNS_4LoopERNSt3__110unique_ptrINS_5VPlanENS3_14default_deleteIS5_EEEENS_12function_refIFPKNS_19InductionDescriptorEPNS_7PHINodeEEEERNS_15SmallPtrSetImplIPNS_11InstructionEEERNS_15ScalarEvolutionE
00000002450b0a78 (__TEXT,__text) external __ZN4llvm15VPlanTransforms27removeRedundantCanonicalIVsERNS_5VPlanE
00000002450b090c (__TEXT,__text) external __ZN4llvm15VPlanTransforms29removeRedundantInductionCastsERNS_5VPlanE
00000002450b0fa8 (__TEXT,__text) external __ZN4llvm15VPlanTransforms32removeRedundantExpandSCEVRecipesERNS_5VPlanE
0000000244558d1c (__TEXT,__text) external __ZN4llvm15ValueAsMetadata10handleRAUWEPNS_5ValueES2_
0000000244558b9c (__TEXT,__text) external __ZN4llvm15ValueAsMetadata11getIfExistsEPNS_5ValueE
