00007ffc027df935 (__TEXT,__text) external _LLVMExtraCreateBinary
                 (undefined) external __ZN7metalfe11GPUArchiver5flushERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver6createEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addToolEN4llvm5MachO12ArchitectureEjRKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addUnitEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9packUnitsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9setTargetEN4llvm5MachO12PlatformTypeERKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiverD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10handleSPIsEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10loadToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12loadToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12stitchToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_9StringRefENS1_8ArrayRefINSD_IhEEEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13lowerToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13setNativeArchEN4llvm5MachO12ArchitectureE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13setTargetArchEN4llvm9StringRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler14stitchToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_9StringRefENS1_8ArrayRefINSD_IhEEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler15setTargetTripleEN4llvm9StringRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler17setStitcherScriptENSt3__110unique_ptrIN4llvm3air10ScriptFileENS1_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler18specializeFunctionERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefESE_NSA_IhEEbRNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler24specializeDynamicLibraryERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEEbRNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler24specializeFunctionToFileERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefESE_NSA_IhEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler26specializeFunctionToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefESE_NSA_IhEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler30specializeDynamicLibraryToFileERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler32specializeDynamicLibraryToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler4loadERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler5lowerERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler6stitchERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_9StringRefENS1_8ArrayRefINSD_IhEEEEbRNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompilerC1Eb (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm11NamedMDNode10getOperandEj (from libLLVM)
                 (undefined) external __ZNK4llvm11NamedMDNode14getNumOperandsEv (from libLLVM)
                 (undefined) external __ZNK4llvm12MemoryBuffer15getMemBufferRefEv (from libLLVM)
                 (undefined) external __ZNK4llvm13StringMapImpl7FindKeyENS_9StringRefE (from libLLVM)
                 (undefined) external __ZNK4llvm3air16MetalDefinedSymb13getAIRVersionEv (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm3air16MetalDefinedSymb15getMetalVersionEv (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm5Value5printERNS_11raw_ostreamEb (from libLLVM)
                 (undefined) external __ZNK4llvm6Module16getNamedMetadataERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZNK4llvm6Module5printERNS_11raw_ostreamEPNS_24AssemblyAnnotationWriterEbb (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile17getSymbolImplNameENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile17getSymbolImplSizeENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile18getSymbolImplFlagsENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile20getSymbolImplAddressENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile23getSymbolReflectionSizeENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile24getSymbolReflectionFlagsENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile26getSymbolReflectionAddressENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile29getSymbolImplDecompressedSizeENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile35getSymbolReflectionDecompressedSizeENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object20MachOUniversalBinary18getIRObjectForArchENS_9StringRefERNS_11LLVMContextE (from libLLVM)
                 (undefined) external __ZNK4llvm6object6Binary11getFileNameEv (from libLLVM)
                 (undefined) external __ZNK4llvm6object6Binary7getDataEv (from libLLVM)
                 (undefined) external __ZNK4llvm8Function14getFnAttributeENS_9StringRefE (from libLLVM)
                 (undefined) external __ZNK4llvm8Function14hasFnAttributeENS_9StringRefE (from libLLVM)
                 (undefined) external __ZNK4llvm8MDString9getStringEv (from libLLVM)
                 (undefined) external __ZNK4llvm9Attribute16getValueAsStringEv (from libLLVM)
                 (undefined) external __ZNKSt3__119__shared_weak_count13__get_deleterERKSt9type_info (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6__initEPKcm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6appendEPKcm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE7reserveEm (from libc++)
                 (undefined) external __ZNSt3__119__shared_weak_count14__release_weakEv (from libc++)
                 (undefined) external __ZNSt3__119__shared_weak_countD2Ev (from libc++)
                 (undefined) external __ZNSt3__15mutex4lockEv (from libc++)
                 (undefined) external __ZNSt3__15mutex6unlockEv (from libc++)
                 (undefined) external __ZTVN4llvm19raw_svector_ostreamE (from libLLVM)
                 (undefined) external __ZTVN4llvm9ErrorListE (from libLLVM)
                 (undefined) external __ZdaPvSt19__type_descriptor_t (from libc++)
                 (undefined) external __ZdlPv (from libc++)
                 (undefined) external __ZdlPvSt19__type_descriptor_t (from libc++)
                 (undefined) external __ZnwmSt19__type_descriptor_t (from libc++)
                 (undefined) external ___cxa_atexit (from libSystem)
                 (undefined) external ___cxa_guard_acquire (from libc++)
                 (undefined) external ___cxa_guard_release (from libc++)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strlen (from libSystem)
