00000001981ef71c (__TEXT,__text) non-external +[CalAlarm alarm]
00000001ee1c7b50 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalTask
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSMethodExceptionProem (from Foundation)
00000001981f97d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalAlarm
00000001981f97e8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendar
00000001981f9800 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarItem
00000001981f9818 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarStore
00000001981f98e0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalEvent
00000001981f9900 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalNthWeekDay
00000001981f9918 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceEnd
00000001981f9938 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceRule
00000001981f9958 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalTask
00000001f06df470 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_CalCalendarStore
00000001981f9970 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAlarm
00000001981f9ae0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAttendee
00000001981f9b70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendar
00000001981f9c50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarItem
00000001981f9db8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarStore
00000001981f9ed8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalEvent
00000001981f9ff8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalNthWeekDay
00000001981fa078 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalPredicate
00000001981fa0c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceEnd
00000001981fa170 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceRule
00000001981fa2b0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalTask
00000001f06df700 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAlarm
00000001f06df3b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAttendee
00000001f06df5b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendar
00000001f06dfd80 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarItem
00000001f06df4d0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarStore
00000001f06df890 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalEvent
00000001f06dfb60 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalNthWeekDay
00000001f06df2e0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalPredicate
00000001f06dfc68 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceEnd
00000001f06df9f8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceRule
00000001f06dfef0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalTask
00000001f06df768 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAlarm
00000001f06df3e0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAttendee
00000001f06df5e0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendar
00000001f06dfdc8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarItem
00000001f06df4f8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarStore
00000001f06df8b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalEvent
00000001f06dfb88 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalNthWeekDay
00000001f06dfc90 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceEnd
00000001f06dfa20 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceRule
00000001f06dff18 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalTask
00000001981fa378 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001f06df350 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001f06df6a0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAlarm
00000001f06df358 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAttendee
00000001f06df558 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendar
00000001f06dfd20 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendarItem
00000001f06dfb00 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalNthWeekDay
00000001f06dfc08 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceEnd
00000001f06df998 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceRule
00000001f06df800 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAlarm
00000001f06df428 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAttendee
00000001f06df658 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendar
00000001f06dfe60 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarItem
00000001f06df510 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarStore
00000001f06df950 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalEvent
00000001f06dfbc0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalNthWeekDay
00000001f06df308 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalPredicate
00000001f06dfcd8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceEnd
00000001f06dfab8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceRule
00000001f06dff70 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalTask
00000001e749c580 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001f06df6b8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAlarm
00000001f06df370 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAttendee
00000001f06df570 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendar
00000001f06dfd38 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarItem
00000001f06df488 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarStore
00000001f06df848 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalEvent
00000001f06dfb18 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalNthWeekDay
00000001f06df298 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalPredicate
00000001f06dfc20 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceEnd
00000001f06df9b0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceRule
00000001f06dfea8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalTask
00000001eae45e98 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
                 (undefined) external __Unwind_Resume (from libSystem)
00000001981f0e2c (__TEXT,__text) non-external ___58+[CalCalendarStore requestAccessForEntityType:eventStore:]_block_invoke
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001f06de508 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e20_v20?0B8"NSError"12l
00000001981f0e40 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00000001981f0e88 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001eae45ef8 (__DATA,__bss) non-external __defaultCalendarStore
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
00000001981fcf80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$URL
00000001981fcfa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUID
00000001981fcfc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUIDString
00000001981fcfe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarDoesNotSupportEventsErrorWithCalendarName:
00000001981fd000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarDoesNotSupportTasksErrorWithCalendarName:
00000001981fd020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarNotEditableErrorWithCalendarName:isEvent:
00000001981fd040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarNotFoundWithCalendarName:isEvent:
00000001981fd060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$absoluteDate
00000001981fd080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$absoluteTrigger
00000001981fd0a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$acknowledged
00000001981fd0c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$acknowledgedDate
00000001981fd0e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$action
00000001981fd100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addAlarm:
00000001981fd120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000001981fd140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$address
00000001981fd160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$alarms
00000001981fd180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allAlarms
00000001981fd1a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allocWithZone:
00000001981fd1c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowEvents
00000001981fd1e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowReminders
00000001981fd200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowedEntityTypes
00000001981fd220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowsContentModifications
00000001981fd240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
00000001981fd260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
00000001981fd280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObject:
00000001981fd2a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:count:
00000001981fd2c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$attendees
00000001981fd2e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$availableCalendarTitle:
00000001981fd300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$availableCalendarTitle:forCalendar:
00000001981fd320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bundleForClass:
00000001981fd340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendar
00000001981fd360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarForEntityType:eventStore:
00000001981fd380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarIdentifier
00000001981fd3a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarWithIdentifier:
00000001981fd3c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarWithUID:
00000001981fd3e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendars
00000001981fd400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarsForEntityType:
00000001981fd420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$code
00000001981fd440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$color
00000001981fd460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$commonName
00000001981fd480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
00000001981fd4a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$completedDate
00000001981fd4c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$completionDate
00000001981fd4e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
00000001981fd500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000001981fd520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000001981fd540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$date
00000001981fd560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateByAddingTimeInterval:
00000001981fd580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateStamp
00000001981fd5a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateWithTimeInterval:sinceDate:
00000001981fd5c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dayOfTheWeek
00000001981fd5e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dayOfWeek:
00000001981fd600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dayOfWeek:weekNumber:
00000001981fd620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$daysOfTheMonth
00000001981fd640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$daysOfTheWeek
00000001981fd660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultCalendarStore
00000001981fd680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
00000001981fd6a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjectsAndKeys:
00000001981fd6c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$domain
00000001981fd6e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dueDate
00000001981fd700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$duplicate
00000001981fd720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekAlarm
00000001981fd740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekCalendar
00000001981fd760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekCalendarItem
00000001981fd780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekEvent
00000001981fd7a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekRecurrenceEnd
00000001981fd7c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekRecurrenceRule
00000001981fd7e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekReminder
00000001981fd800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekSpanFromCalSpan:
00000001981fd820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$emailAddress
00000001981fd840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$endDate
00000001981fd860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$errorWithDomain:code:userInfo:
00000001981fd880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventStore
00000001981fd8a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventWithEventStore:
00000001981fd8c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventWithUID:occurrence:
00000001981fd8e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventWithUniqueId:occurrenceDate:
00000001981fd900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventsMatchingPredicate:
00000001981fd920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$existsInStore
00000001981fd940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$externalID
00000001981fd960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$firstObject
00000001981fd980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$frequency
00000001981fd9a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$generateUntitledTitle
00000001981fd9c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handleUnsavedRelateToDictionaryWithCalendarItem:
00000001981fd9e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hasAlarms
00000001981fda00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
00000001981fda20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$iCalendarValueFromDate:isDateOnly:isFloating:
00000001981fda40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$iCalendarValueFromDayOfTheWeek:
00000001981fda60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$iCalendarValueFromRecurrenceType:
00000001981fda80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initRecurrenceWithFrequency:interval:daysOfTheWeek:daysOfTheMonth:monthsOfTheYear:weeksOfTheYear:daysOfTheYear:setPositions:end:
00000001981fdaa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initRecurrenceWithFrequency:interval:end:
00000001981fdac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKAlarm:
00000001981fdae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKCalendar:
00000001981fdb00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKCalendarItem:
00000001981fdb20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKParticipant:
00000001981fdb40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKRecurrenceDayOfWeek:
00000001981fdb60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKRecurrenceEnd:
00000001981fdb80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKRecurrenceRule:
00000001981fdba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEndDate:
00000001981fdbc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEventStore:
00000001981fdbe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithOccurrenceCount:
00000001981fdc00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithType:subpredicates:
00000001981fdc20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$intValue
00000001981fdc40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$integerValue
00000001981fdc60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$interval
00000001981fdc80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isAllDay
00000001981fdca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isCompleted
00000001981fdcc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isDefaultAlarm
00000001981fdce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isDetached
00000001981fdd00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEditable
00000001981fdd20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqual:
00000001981fdd40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToArray:
00000001981fdd60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToDate:
00000001981fdd80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
00000001981fdda0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lastModifiedDate
00000001981fddc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localSourceEnableIfNeeded
00000001981fdde0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localizedStringForKey:value:table:
00000001981fde00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localizedStringWithFormat:
00000001981fde20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$location
00000001981fde40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$monthsOfTheYear
00000001981fde60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$name
00000001981fde80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$notes
00000001981fdea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nthWeekDaysOfTheMonth
00000001981fdec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
00000001981fdee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndex:
00000001981fdf00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKeyedSubscript:
00000001981fdf20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$occurrence
00000001981fdf40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$occurrenceCount
00000001981fdf60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$originalAlarm
00000001981fdf80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$originalStartDate
00000001981fdfa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$participantStatus
00000001981fdfc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForCalendarStoreForRemindersInCalendars:
00000001981fdfe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForCompletedRemindersWithCompletionDateStarting:ending:calendars:
00000001981fe000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForEventsWithStartDate:endDate:calendars:
00000001981fe020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForEventsWithStartDate:endDate:uniqueID:calendars:
00000001981fe040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForIncompleteRemindersWithDueDateStarting:ending:calendars:
00000001981fe060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$priority
00000001981fe080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$raise:format:
00000001981fe0a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceEnd
00000001981fe0c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceEndWithEndDate:
00000001981fe0e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceEndWithOccurrenceCount:
00000001981fe100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceInterval
00000001981fe120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceRule
00000001981fe140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceRules
00000001981fe160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceType
00000001981fe180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$relatedToString
00000001981fe1a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$relativeOffset
00000001981fe1c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$relativeTrigger
00000001981fe1e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$reminderWithEventStore:
00000001981fe200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$reminderWithUniqueId:
00000001981fe220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$remindersMatchingPredicate:
00000001981fe240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeAlarm:
00000001981fe260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeAllObjects
00000001981fe280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeCalendar:commit:error:
00000001981fe2a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeEvent:span:error:
00000001981fe2c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeReminder:commit:error:
00000001981fe2e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$requestAccessForEntityType:eventStore:
00000001981fe300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$requestFullAccessToEventsWithCompletion:
00000001981fe320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$requestFullAccessToRemindersWithCompletion:
00000001981fe340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$saveCalendar:commit:error:
00000001981fe360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$saveEvent:span:error:
00000001981fe380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$saveReminder:error:
00000001981fe3a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAbsoluteDate:
00000001981fe3c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAcknowledgedDate:
00000001981fe3e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAlarms:
00000001981fe400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAllDay:
00000001981fe420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCalendar:
00000001981fe440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setColor:
00000001981fe460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCompleted:
00000001981fe480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCompletionDate:
00000001981fe4a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDateFormat:
