0000000182cbb2a8 (__DATA,__data) non-external _C
0000000180b63324 (__TEXT,__text) external ___swbuf
0000000180b53e94 (__TEXT,__text) external ___swhatbuf
0000000180b57770 (__TEXT,__text) external ___swrite
0000000180b63554 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
0000000182cbc0d0 (__DATA,__data) non-external ___systemfn_mutex
0000000182cbc130 (__DATA,__data) non-external ___systemfn_mutex
0000000180b8c678 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
0000000180b2908c (__TEXT,__text) non-external ___thread_stack_async_pcs
0000000180b28c3c (__TEXT,__text) non-external ___thread_stack_pcs
0000000180b69858 (__TEXT,__text) non-external (was a private external) ___time_load_locale
0000000182cc7bf8 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180b8c650 (__TEXT,__const) external ___tinytens_D2A
0000000180b4af2c (__TEXT,__text) external ___tolower
0000000180b4b080 (__TEXT,__text) external ___tolower_l
0000000180b4aeec (__TEXT,__text) external ___toupper
0000000180b4b060 (__TEXT,__text) external ___toupper_l
0000000180b3b1b8 (__TEXT,__text) external ___trailz_D2A
0000000180b3c170 (__TEXT,__text) external ___ulp_D2A
0000000180b5b908 (__TEXT,__text) non-external ___ultoa
0000000180b60a68 (__TEXT,__text) non-external ___ultoa
0000000180b58068 (__TEXT,__text) external ___ungetc
0000000180b58220 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
0000000180b73b4c (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
0000000180b8d361 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180b7af80 (__TEXT,__text) non-external (was a private external) ___v2printf
0000000180b58964 (__TEXT,__text) non-external (was a private external) ___vfprintf
0000000180b8a95c (__TEXT,__text) non-external ___vfprintf.cold.1
0000000180b8ce7f (__TEXT,__const) non-external ___vfprintf.xdigs_lower
0000000180b8ce8f (__TEXT,__const) non-external ___vfprintf.xdigs_upper
0000000180b5de78 (__TEXT,__text) non-external (was a private external) ___vfwprintf
0000000180b8cee4 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
0000000180b8cef4 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180b61010 (__TEXT,__text) non-external (was a private external) ___vfwscanf
0000000180b8cfe0 (__TEXT,__const) non-external ___vfwscanf.basefix
0000000180b895c4 (__TEXT,__text) external ___vsnprintf_chk
0000000180b893ac (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180b4cff0 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
0000000180b4cd58 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180b4af6c (__TEXT,__text) external ___wcwidth
0000000180b4b0a0 (__TEXT,__text) external ___wcwidth_l
0000000180b4c20c (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
0000000182cbb970 (__DATA,__data) external ___xlocale_C_collate
0000000180b2c098 (__TEXT,__text) non-external (was a private external) ___xlocale_init
0000000180b2c0d0 (__TEXT,__text) non-external ___xlocale_release
0000000180b2cd08 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180b89954 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
0000000182cbb870 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180b7b4b8 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
0000000180b7b304 (__TEXT,__text) non-external (was a private external) ___xvprintf
0000000180b73c38 (__TEXT,__text) external __allocenvstate
0000000180b3c368 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
0000000180b45998 (__TEXT,__text) non-external (was a private external) __ascii_init
0000000180b45a10 (__TEXT,__text) non-external __ascii_mbrtowc
0000000180b45a6c (__TEXT,__text) non-external __ascii_mbsinit
0000000180b45a74 (__TEXT,__text) non-external __ascii_mbsnrtowcs
0000000180b45b34 (__TEXT,__text) non-external __ascii_wcrtomb
0000000180b45b74 (__TEXT,__text) non-external __ascii_wcsnrtombs
0000000180b2193c (__TEXT,__text) non-external __boottime_fallback_usec
0000000180c99188 (__DATA_CONST,__const) external __c_locale
0000000180b51420 (__TEXT,__text) external __cleanup
0000000180b46be4 (__TEXT,__text) external __collate_lookup
0000000180b47f0c (__TEXT,__text) non-external (was a private external) __collate_sxfrm
0000000180b8a6f8 (__TEXT,__text) non-external __collate_sxfrm.cold.1
0000000180b47c98 (__TEXT,__text) non-external (was a private external) __collate_wxfrm
0000000180b8a6cc (__TEXT,__text) non-external __collate_wxfrm.cold.1
0000000180b73c3c (__TEXT,__text) external __copyenv
0000000182ce1a70 (__AUTH,__data) external __cthread_init_routine
0000000180b73cd4 (__TEXT,__text) external __deallocenvstate
0000000180b73530 (__TEXT,__text) non-external __do_nothing
0000000180b2b5f4 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
                 (undefined) external __dyld_stack_range (from libdyld)
0000000182cc7d08 (__DATA,__common) non-external (was a private external) __e_err_exit
0000000182cc7d00 (__DATA,__common) non-external (was a private external) __e_err_file
0000000180b3c874 (__TEXT,__text) non-external (was a private external) __e_visprintf
0000000180b5690c (__TEXT,__text) non-external __ensurespace
                 (undefined) external __exit (from libsystem_kernel)
0000000180b21bf0 (__TEXT,__text) non-external __ffpp_strtoencf32_l
0000000180b895f4 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
0000000180b89620 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
0000000180b8bfb0 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
0000000180b21f48 (__TEXT,__text) non-external __ffpp_strtoencf64_l
0000000180b8964c (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
0000000180b89678 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
0000000180b896a4 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
0000000180b8c350 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
0000000180b40d18 (__TEXT,__text) non-external (was a private external) __filldir
0000000180b434d0 (__TEXT,__text) non-external (was a private external) __fixtelldir
0000000180b4fd80 (__TEXT,__text) external __flockfile_debug_stub
0000000180b52890 (__TEXT,__text) external __fseeko
0000000180b52d14 (__TEXT,__text) external __ftello
0000000180b532c8 (__TEXT,__text) external __fwalk
0000000180b6db8c (__TEXT,__text) external __getenvp
0000000180b28234 (__TEXT,__text) external __init_clock_port
0000000180b69830 (__TEXT,__text) external __int_to_time
0000000180b705c4 (__TEXT,__text) non-external __isort
0000000180b7115c (__TEXT,__text) non-external __isort
0000000182cbcfd0 (__DATA,__bss) non-external __libSystem_atfork_child
0000000182cbcfb8 (__DATA,__bss) non-external __libSystem_atfork_child_v2
0000000182cbcfc8 (__DATA,__bss) non-external __libSystem_atfork_parent
0000000182cbcfb0 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
0000000182cbcfc0 (__DATA,__bss) non-external __libSystem_atfork_prepare
0000000182cbcfa8 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
0000000180b2e364 (__TEXT,__text) external __libc_fork_child
0000000180b2e418 (__TEXT,__text) non-external (was a private external) __libc_fork_init
0000000180b2e360 (__TEXT,__text) external __libc_fork_parent
0000000180b2e35c (__TEXT,__text) external __libc_fork_prepare
0000000180b2e2ac (__TEXT,__text) external __libc_initializer
0000000180b49ce0 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
0000000180b49cb8 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180b49c90 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
0000000180b69828 (__TEXT,__text) external __long_to_time
0000000180b21604 (__TEXT,__text) non-external __mach_boottime_usec
0000000182cbcfa0 (__DATA,__bss) non-external __mh_execute_header_pointer
0000000180b5466c (__TEXT,__text) non-external __mkdtemp_action
0000000180b5439c (__TEXT,__text) non-external __mkostemps_action
0000000180b2d5cc (__TEXT,__text) non-external __mkpath
0000000180b2d5b8 (__TEXT,__text) external __mkpath_np
0000000180b54890 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
0000000180b8a818 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
0000000180b546f0 (__TEXT,__text) external __mktemp
0000000180b54748 (__TEXT,__text) non-external __mktemp_action
0000000180b4b0e4 (__TEXT,__text) non-external (was a private external) __none_init
0000000180b4b15c (__TEXT,__text) non-external (was a private external) __none_mbrtowc
0000000180b4b18c (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180b4b194 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
0000000180b4b228 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
0000000180b4b268 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
0000000180b89b54 (__TEXT,__text) external __os_assert_log
0000000180b89d60 (__TEXT,__text) external __os_assert_log_ctx
0000000180b89a48 (__TEXT,__text) external __os_assumes_log
0000000180b89c24 (__TEXT,__text) external __os_assumes_log_ctx
0000000180b2ee9c (__TEXT,__text) external __os_avoid_tail_call
0000000180b89a3c (__TEXT,__text) external __os_crash
0000000182cc7cf0 (__DATA,__common) external __os_crash_callback
0000000180b2eea0 (__TEXT,__text) non-external __os_get_build
                 (undefined) external __os_once (from libsystem_platform)
0000000180b73538 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
0000000180b73690 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
0000000180b735fc (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
0000000182d5bbc0 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
0000000180b8eef8 (__TEXT,__cstring) non-external __printf_tbl_flags
0000000180b2e3e0 (__TEXT,__text) non-external (was a private external) __program_vars_init
0000000180b6fb8c (__TEXT,__text) external __putenvp
0000000180b6fd0c (__TEXT,__text) non-external __qsort
0000000180b707e8 (__TEXT,__text) non-external __qsort
0000000182cbb8d0 (__DATA,__data) external __rand48_add
0000000182cbb8c8 (__DATA,__data) external __rand48_mult
0000000182cbb8c0 (__DATA,__data) external __rand48_seed
0000000180b415f0 (__TEXT,__text) external __readdir_unlocked
0000000180b43504 (__TEXT,__text) external __reclaim_telldir
0000000180b8d2c8 (__TEXT,__const) non-external (was a private external) __rp_alist
0000000180b43414 (__TEXT,__text) external __seekdir
0000000180b73d30 (__TEXT,__text) external __setenvp
0000000180b2ea50 (__TEXT,__text) external __sigaction_nobind
0000000182cc7d20 (__DATA,__common) external __sigintr
0000000180b42650 (__TEXT,__text) external __signal_nobind
0000000180b210a8 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180b42374 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
0000000180b577a0 (__TEXT,__text) external __sread
0000000180b578d4 (__TEXT,__text) external __sseek
0000000180b66f60 (__TEXT,__text) non-external (was a private external) __st_fmt
0000000180b2c928 (__TEXT,__text) non-external (was a private external) __st_get_timezone
0000000180b64f98 (__TEXT,__text) non-external (was a private external) __st_localsub
0000000180b2c934 (__TEXT,__text) non-external (was a private external) __st_set_timezone
0000000180b65a5c (__TEXT,__text) non-external (was a private external) __st_time1
0000000180b63df0 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
0000000180b7ba9c (__TEXT,__text) non-external __strfmon
0000000180b68070 (__TEXT,__text) non-external __strptime0
0000000180b8d0b8 (__TEXT,__const) non-external __strptime0.start_of_month
0000000180b2c194 (__TEXT,__text) external __subsystem_init
0000000180b57810 (__TEXT,__text) external __swrite
0000000180b29024 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
0000000180b28c1c (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
0000000180b69810 (__TEXT,__text) external __time32_to_time
0000000180b6981c (__TEXT,__text) external __time64_to_time
0000000180b6982c (__TEXT,__text) external __time_to_int
0000000180b69824 (__TEXT,__text) external __time_to_long
0000000180b69818 (__TEXT,__text) external __time_to_time32
0000000180b69820 (__TEXT,__text) external __time_to_time64
0000000180b73dc0 (__TEXT,__text) external __unsetenvp
0000000180b583dc (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180b585c4 (__TEXT,__text) non-external (was a private external) __vdprintf
0000000180b629dc (__TEXT,__text) non-external (was a private external) __vsnprintf
0000000180b67dc8 (__TEXT,__text) non-external __yconv
0000000180b6d1ec (__TEXT,__text) external _a64l
0000000180b8ab60 (__TEXT,__text) external _abort
0000000180b8ac90 (__TEXT,__text) external _abort_report_np
0000000180b6d2d4 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
0000000180b23b08 (__TEXT,__text) non-external _addToMP
0000000180b4227c (__TEXT,__text) non-external _addcmd
0000000180b27168 (__TEXT,__text) non-external _advance_directory
0000000180b89938 (__TEXT,__text) non-external _advance_directory.cold.1
0000000180b3c1dc (__TEXT,__text) external _alarm
0000000180b336fc (__TEXT,__text) non-external _alloc_segs
0000000180b41b08 (__TEXT,__text) external _alphasort
0000000180b8d1ae (__TEXT,__const) non-external _ambig
0000000180b3c2d4 (__TEXT,__text) non-external _arc4_init
0000000180b89ec0 (__TEXT,__text) non-external _arc4_init.cold.1
0000000180b3c240 (__TEXT,__text) external _arc4random
0000000180b3c23c (__TEXT,__text) external _arc4random_addrandom
0000000180b3c284 (__TEXT,__text) external _arc4random_buf
0000000180b3c31c (__TEXT,__text) external _arc4random_stir
0000000180b3c320 (__TEXT,__text) external _arc4random_uniform
0000000180b7aa4c (__TEXT,__text) non-external _arrayget
0000000180b63be8 (__TEXT,__text) external _asctime
0000000180b63a9c (__TEXT,__text) external _asctime_r
0000000180b8d017 (__TEXT,__const) non-external _asctime_r.mon_name
0000000180b8d002 (__TEXT,__const) non-external _asctime_r.wday_name
0000000180b4fe08 (__TEXT,__text) external _asprintf
0000000180b4fe58 (__TEXT,__text) external _asprintf_l
0000000180b2c940 (__TEXT,__text) external _asxprintf
0000000180b2d350 (__TEXT,__text) external _asxprintf_exec
0000000180b7b988 (__TEXT,__text) external _at_quick_exit
0000000180b6d32c (__TEXT,__text) external _atexit
0000000180b6d480 (__TEXT,__text) external _atexit_b
0000000182cbbf98 (__DATA,__data) non-external _atexit_mutex
0000000180b6d360 (__TEXT,__text) non-external _atexit_register
0000000180b8ace4 (__TEXT,__text) non-external _atexit_register.cold.1
0000000180b6d818 (__TEXT,__text) external _atof
0000000180b6d840 (__TEXT,__text) external _atof_l
0000000180b6d84c (__TEXT,__text) external _atoi
0000000180b6d88c (__TEXT,__text) external _atoi_l
0000000180b6d8b0 (__TEXT,__text) external _atol
0000000180b6d8dc (__TEXT,__text) external _atol_l
0000000180b6d8ec (__TEXT,__text) external _atoll
0000000180b6d918 (__TEXT,__text) external _atoll_l
0000000180b244d0 (__TEXT,__text) external _backtrace
0000000180b24538 (__TEXT,__text) external _backtrace_async
0000000180b245b4 (__TEXT,__text) external _backtrace_from_fp
0000000182ce1898 (__AUTH,__data) non-external _backtrace_get_pcs_func
0000000180b2461c (__TEXT,__text) external _backtrace_image_offsets
0000000180b244ac (__TEXT,__text) external _backtrace_set_pcs_func
0000000180b3c444 (__TEXT,__text) external _basename
0000000182cbd000 (__DATA,__bss) non-external _basename.bname
0000000180b3c36c (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
0000000180b2a404 (__TEXT,__text) external _bcopy
0000000180b23e30 (__TEXT,__text) non-external _bitCountMP
0000000180b8990c (__TEXT,__text) non-external _bitCountMP.cold.1
0000000180b8ce9f (__TEXT,__const) non-external _blanks
0000000180b8cf60 (__TEXT,__const) non-external _blanks
0000000182cbc120 (__DATA,__data) non-external _blanks
0000000180b28478 (__TEXT,__text) non-external _both_ftw
0000000182cbce98 (__DATA,__bss) non-external _brapreg
0000000180b21a50 (__TEXT,__text) external _brk
0000000180b21a74 (__TEXT,__text) external _bsd_signal
0000000180b6d928 (__TEXT,__text) external _bsearch
0000000180b6d9b0 (__TEXT,__text) external _bsearch_b
0000000180b32718 (__TEXT,__text) non-external _bt_broot
0000000180b32464 (__TEXT,__text) non-external _bt_page
0000000180b32880 (__TEXT,__text) non-external _bt_preserve
0000000180b328d8 (__TEXT,__text) non-external _bt_psplit
0000000180b32380 (__TEXT,__text) non-external _bt_root
0000000180b32618 (__TEXT,__text) non-external _bt_rroot
0000000180b45e88 (__TEXT,__text) external _btowc
0000000180b45dcc (__TEXT,__text) external _btowc_l
0000000182cbeb78 (__DATA,__bss) non-external _buf_asctime
0000000180b55944 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
0000000180b8bd48 (__TEXT,__const) non-external (was a private external) _cVersionNumber
0000000180b8bd20 (__TEXT,__const) non-external (was a private external) _cVersionString
0000000180b4fc68 (__TEXT,__text) external _catclose
0000000180c994c8 (__DATA_CONST,__const) non-external _categories
0000000180b4f998 (__TEXT,__text) external _catgets
0000000180b4f2bc (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
0000000180b4371c (__TEXT,__text) external _cfgetispeed
0000000180b43714 (__TEXT,__text) external _cfgetospeed
0000000180b43748 (__TEXT,__text) external _cfmakeraw
0000000180b43730 (__TEXT,__text) external _cfsetispeed
0000000180b43724 (__TEXT,__text) external _cfsetospeed
0000000180b4373c (__TEXT,__text) external _cfsetspeed
0000000180b3eb04 (__TEXT,__text) external _cgetcap
0000000180b3f314 (__TEXT,__text) external _cgetclose
0000000180b3eb90 (__TEXT,__text) external _cgetent
0000000180b3f2a4 (__TEXT,__text) external _cgetfirst
0000000180b3f22c (__TEXT,__text) external _cgetmatch
0000000180b3f360 (__TEXT,__text) external _cgetnext
0000000180b3fac8 (__TEXT,__text) external _cgetnum
0000000180b3ea6c (__TEXT,__text) external _cgetset
0000000180b3f724 (__TEXT,__text) external _cgetstr
0000000180b3f9c8 (__TEXT,__text) external _cgetustr
0000000180b46d54 (__TEXT,__text) non-external _chainsearch
0000000180b8cc78 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
0000000180b2740c (__TEXT,__text) non-external _check_env_var
0000000180b4fe84 (__TEXT,__text) external _clearerr
0000000180b4fec8 (__TEXT,__text) external _clearerr_unlocked
0000000180b3c4b4 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
0000000180b2182c (__TEXT,__text) external _clock_getres
0000000180b2167c (__TEXT,__text) external _clock_gettime
0000000180b21458 (__TEXT,__text) external _clock_gettime_nsec_np
0000000182cc7cb4 (__DATA,__common) external _clock_port
0000000182cc7cb0 (__DATA,__common) external _clock_sem
0000000180b218d0 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
0000000180b26ecc (__TEXT,__text) non-external _close_directory
0000000180b3c524 (__TEXT,__text) external _closedir
0000000180c99a90 (__DATA_CONST,__const) non-external _cnames
0000000180b34b64 (__TEXT,__text) non-external _collect_data
0000000180b34d2c (__TEXT,__text) non-external _collect_key
0000000180b8d12e (__TEXT,__const) non-external _command_substitution_str
0000000180b27208 (__TEXT,__text) external _compat_mode
0000000180b246d8 (__TEXT,__text) external _confstr
0000000180b2ce74 (__TEXT,__text) external _copy_printf_domain
0000000180b878b4 (__TEXT,__text) external _creat
0000000180b2ef58 (__TEXT,__text) external _creat$NOCANCEL
0000000180b3c598 (__TEXT,__text) external _ctermid
0000000182cbb8d8 (__DATA,__data) non-external _ctermid.def
0000000180b3c5c4 (__TEXT,__text) external _ctermid_r
0000000180b659d8 (__TEXT,__text) external _ctime
0000000180b65a0c (__TEXT,__text) external _ctime_r
0000000182cbba44 (__DATA,__data) non-external _current_categories
0000000180b4b7e4 (__TEXT,__text) non-external _currentlocale
0000000182cbd2c0 (__DATA,__bss) non-external _currentlocale.current_locale_string
0000000182cbcef8 (__DATA,__bss) non-external _curshell
0000000182cbc000 (__DATA,__data) non-external _dash_prefix
0000000182cc7d40 (__DATA,__common) external _daylight
0000000180b36dc4 (__TEXT,__text) external _dbm_clearerr
0000000180b36bf4 (__TEXT,__text) external _dbm_close
0000000180b36d38 (__TEXT,__text) external _dbm_delete
0000000180b36dd4 (__TEXT,__text) external _dbm_dirfno
0000000180b36db8 (__TEXT,__text) external _dbm_error
0000000180b36c00 (__TEXT,__text) external _dbm_fetch
0000000180b36c4c (__TEXT,__text) external _dbm_firstkey
0000000180b36cbc (__TEXT,__text) external _dbm_nextkey
0000000180b36b08 (__TEXT,__text) external _dbm_open
0000000180b36d74 (__TEXT,__text) external _dbm_store
0000000180b33048 (__TEXT,__text) external _dbopen
0000000182cbd070 (__DATA,__bss) non-external _dbp
0000000182cbceb8 (__DATA,__bss) non-external _decpreg
0000000180b8d2a0 (__TEXT,__const) non-external _degrees
0000000180b46ad0 (__TEXT,__text) non-external _destruct_collate
0000000180b7727c (__TEXT,__text) non-external _destruct_ctype
0000000180b4930c (__TEXT,__text) non-external (was a private external) _destruct_ldpart
0000000180b2c0f8 (__TEXT,__text) non-external _destruct_locale
0000000180b24bb4 (__TEXT,__text) external _devname
0000000182cbce18 (__DATA,__bss) non-external _devname.buf
0000000180b24a64 (__TEXT,__text) external _devname_r
0000000180b63bf4 (__TEXT,__text) external _difftime
0000000180b2981c (__TEXT,__text) external _digittoint
0000000180b29b1c (__TEXT,__text) external _digittoint_l
0000000180b2ee64 (__TEXT,__text) external _dirfd
0000000180b3c6ec (__TEXT,__text) external _dirname
0000000182cbd008 (__DATA,__bss) non-external _dirname.dname
0000000180b3c5e4 (__TEXT,__text) external _dirname_r
0000000180b6da48 (__TEXT,__text) external _div
0000000182cbabe8 (__DATA,__data) non-external _dktypenames
0000000180b45060 (__TEXT,__text) non-external _do_hvis
0000000180b45198 (__TEXT,__text) non-external _do_mvis
0000000180b45340 (__TEXT,__text) non-external _do_svis
0000000180b4fed8 (__TEXT,__text) external _dprintf
0000000180b4ff28 (__TEXT,__text) external _dprintf_l
0000000180b3c75c (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
0000000180b2b598 (__TEXT,__text) external _duplocale
0000000180b2c97c (__TEXT,__text) external _dxprintf
0000000180b2d390 (__TEXT,__text) external _dxprintf_exec
0000000180b75d1c (__TEXT,__text) external _ecvt
0000000182cbd0d8 (__DATA,__bss) non-external _empty
0000000182cbd0e8 (__DATA,__bss) non-external _empty
0000000182cbc048 (__DATA,__data) non-external _end_ptr
0000000180b27d38 (__TEXT,__text) external _endttyent
0000000180b280a4 (__TEXT,__text) external _endusershell
0000000180b6db64 (__TEXT,__text) external _environ_lock_np
0000000182cbcf90 (__DATA,__bss) non-external _environ_pointer
0000000180b6db74 (__TEXT,__text) external _environ_unlock_np
0000000180b62e18 (__TEXT,__text) non-external _eofread
0000000180b63248 (__TEXT,__text) non-external _eofread
0000000180b3c7e0 (__TEXT,__text) external _erand48
0000000180b89ff8 (__TEXT,__text) external _err
0000000180b3c9c0 (__TEXT,__text) external _err_set_exit
0000000180b3ca18 (__TEXT,__text) external _err_set_exit_b
0000000180b3c9a0 (__TEXT,__text) external _err_set_file
0000000180b8a164 (__TEXT,__text) external _errc
0000000180b8a184 (__TEXT,__text) external _errx
0000000180b8c730 (__TEXT,__const) non-external _escape
0000000180b3ca74 (__TEXT,__text) external _execl
0000000180b3cb54 (__TEXT,__text) external _execle
0000000180b3cc3c (__TEXT,__text) external _execlp
0000000180b3cd7c (__TEXT,__text) external _execv
0000000180b3cdb8 (__TEXT,__text) external _execvP
0000000180b3ce04 (__TEXT,__text) non-external _execvPe
0000000180b8c830 (__TEXT,__const) non-external _execvPe_err_preamble
0000000180b8c839 (__TEXT,__const) non-external _execvPe_err_trailer
                 (undefined) external _execve (from libsystem_kernel)
0000000180b3cd18 (__TEXT,__text) external _execvp
0000000180b6da78 (__TEXT,__text) external _exit
0000000180b2c2c4 (__TEXT,__text) non-external _extract_next_subsystem_root_path
0000000180b51394 (__TEXT,__text) external _f_prealloc
0000000180b22494 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
0000000180b4ff54 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
0000000180b75f08 (__TEXT,__text) external _fcvt
0000000180b500cc (__TEXT,__text) external _fdopen
0000000180b88470 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180b409fc (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
0000000180b50254 (__TEXT,__text) external _feof
0000000180b5028c (__TEXT,__text) external _feof_unlocked
0000000180b50298 (__TEXT,__text) external _ferror
0000000180b502d0 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
0000000180b36a68 (__TEXT,__text) non-external _fetch_bitmap
0000000180b28a34 (__TEXT,__text) external _fflagstostr
0000000180b502dc (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
0000000180b5057c (__TEXT,__text) external _fgetc
0000000180b50664 (__TEXT,__text) external _fgetln
0000000180b50810 (__TEXT,__text) external _fgetpos
0000000180b50840 (__TEXT,__text) external _fgets
0000000180b50a1c (__TEXT,__text) external _fgetwc
0000000180b50ba8 (__TEXT,__text) external _fgetwc_l
0000000180b50d04 (__TEXT,__text) external _fgetwln
0000000180b50c2c (__TEXT,__text) external _fgetwln_l
0000000180b50ef8 (__TEXT,__text) external _fgetws
0000000180b50d28 (__TEXT,__text) external _fgetws_l
0000000182cbbde8 (__DATA,__data) non-external _filelist_lock
0000000180b50f1c (__TEXT,__text) external _fileno
0000000180b50f50 (__TEXT,__text) external _fileno_unlocked
0000000180b54100 (__TEXT,__text) non-external _find_temp_path
0000000180b6975c (__TEXT,__text) non-external _first_wday_of
0000000180b4fd44 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
