00007ffc417666a8 (__DATA,__bss) non-external _A
00007ffc12b2c9af (__TEXT,__text) external _cmark_strbuf_puts
00007ffc12b2cbc5 (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffc12b2c878 (__TEXT,__text) external _cmark_strbuf_set
00007ffc12b2c8f2 (__TEXT,__text) external _cmark_strbuf_sets
00007ffc12b2cadd (__TEXT,__text) external _cmark_strbuf_strchr
00007ffc12b2cb1d (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffc12b2ca28 (__TEXT,__text) external _cmark_strbuf_swap
00007ffc12b2cc0d (__TEXT,__text) external _cmark_strbuf_trim
00007ffc12b2cb5e (__TEXT,__text) external _cmark_strbuf_truncate
00007ffc12b2ccf9 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffc12b1f74e (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffc12b37f4f (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffc12b1f6b4 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffc12b1f849 (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffc12b1f6f9 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffc12b1f7cb (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffc12b1f86d (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffc12b1f7df (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffc12b1f7d5 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffc12b1f783 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffc12b1f7c1 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffc12b1f821 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffc12b1f814 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffc12b1f7ad (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffc12b1f7f3 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffc12b1f807 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffc12b1f79a (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffc12b1f7a3 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffc12b1f853 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffc12b1f860 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffc12b1f790 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffc12b1f7e9 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffc12b1f82e (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffc12b1f83b (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffc12b1f7b7 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffc12b1f7fd (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffc12b2c45c (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffc12b145ed (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffc12b141b0 (__TEXT,__text) external _cmark_utf8proc_check
00007ffc12b144e8 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffc12b37e74 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffc12b1c0da (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffc12b1c080 (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffc12b143aa (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffc12b1d946 (__TEXT,__text) external _cmark_version
00007ffc12b1d951 (__TEXT,__text) external _cmark_version_string
00007ffc12b1eee6 (__TEXT,__text) non-external _commonmark_render
00007ffc12b218ec (__TEXT,__text) non-external _commonmark_render
00007ffc12b366e2 (__TEXT,__text) non-external _commonmark_render
00007ffc12b38907 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffc12b366cd (__TEXT,__text) non-external _contains_inlines
00007ffc12b2c4ae (__TEXT,__text) non-external _core_extensions_registration
00007ffc12b1f87a (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffc12b217c9 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffc12b35b94 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffc12b37d64 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffc12b1ed28 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffc41766518 (__DATA,__bss) non-external _enable_safety_checks
00007ffc12b38bb0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffc12b37314 (__TEXT,__text) non-external _escape
00007ffc41766490 (__DATA,__bss) non-external _extensions_lock
00007ffc41766310 (__DATA,__data) non-external _extensions_once
00007ffc12b37d92 (__TEXT,__text) non-external _filter
00007ffc12b2ef59 (__TEXT,__text) non-external _finalize
00007ffc12b381bf (__TEXT,__text) non-external _finalize.cold.1
00007ffc12b381e2 (__TEXT,__text) non-external _finalize.cold.2
00007ffc12b2c420 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffc12b2f8eb (__TEXT,__text) non-external _free_node_as
00007ffc12b37969 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffc12b379d0 (__TEXT,__text) non-external _get_cell_alignment
00007ffc12b22b5b (__TEXT,__text) non-external _get_link_type
00007ffc12b1ee21 (__TEXT,__text) non-external _get_type_string
00007ffc12b218ab (__TEXT,__text) non-external _get_type_string
00007ffc12b36605 (__TEXT,__text) non-external _get_type_string
00007ffc12b350c4 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffc12b3b7a0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffc12b1d931 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffc12b1d810 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffc12b351de (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffc12b35450 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffc12b3557a (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffc12b1ef56 (__TEXT,__text) non-external _html_render
00007ffc12b21991 (__TEXT,__text) non-external _html_render
00007ffc12b36cd2 (__TEXT,__text) non-external _html_render
00007ffc12b38970 (__TEXT,__text) non-external _html_render.cold.1
00007ffc12b37a14 (__TEXT,__text) non-external _html_table_add_align
00007ffc12b37d1b (__TEXT,__text) non-external _init_arena
00007ffc12b37d08 (__TEXT,__text) non-external _initialize_arena
00007ffc12b2093c (__TEXT,__text) non-external _initialize_extensions
00007ffc12b30ccc (__TEXT,__text) non-external _initialize_nextflag
00007ffc12b30cb9 (__TEXT,__text) non-external _initialize_safety
00007ffc12b21b13 (__TEXT,__text) non-external _insert
00007ffc12b206b3 (__TEXT,__text) non-external _is_valid_hostchar
00007ffc12b2190d (__TEXT,__text) non-external _latex_render
00007ffc12b36908 (__TEXT,__text) non-external _latex_render
00007ffc12b3892a (__TEXT,__text) non-external _latex_render.cold.1
00007ffc12b33db9 (__TEXT,__text) non-external _link_label
00007ffc12b38670 (__TEXT,__text) non-external _link_label.cold.1
00007ffc12b38693 (__TEXT,__text) non-external _link_label.cold.2
00007ffc12b386b6 (__TEXT,__text) non-external _link_label.cold.3
00007ffc12b386d9 (__TEXT,__text) non-external _link_label.cold.4
00007ffc12b386fc (__TEXT,__text) non-external _link_label.cold.5
00007ffc12b34888 (__TEXT,__text) non-external _make_autolink
00007ffc12b388c1 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
00007ffc12b2193c (__TEXT,__text) non-external _man_render
00007ffc12b36b65 (__TEXT,__text) non-external _man_render
00007ffc12b3894d (__TEXT,__text) non-external _man_render.cold.1
00007ffc12b34060 (__TEXT,__text) non-external _manual_scan_link_url
00007ffc12b1f8e8 (__TEXT,__text) non-external _match
00007ffc12b219d4 (__TEXT,__text) non-external _match
00007ffc12b1edbd (__TEXT,__text) non-external _matches
00007ffc12b35cb6 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffc41766520 (__DATA,__bss) non-external _nextflag_lock
00007ffc41766340 (__DATA,__data) non-external _nextflag_once
00007ffc12b2c513 (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffc12b3801f (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffc12b37275 (__TEXT,__text) non-external _opaque_alloc
00007ffc12b372c1 (__TEXT,__text) non-external _opaque_free
00007ffc12b1ee2e (__TEXT,__text) non-external _open_tasklist_item
00007ffc12b1c89f (__TEXT,__text) non-external _outc
00007ffc12b22126 (__TEXT,__text) non-external _outc
00007ffc12b3560f (__TEXT,__text) non-external _outc
00007ffc12b219b3 (__TEXT,__text) non-external _plaintext_render
00007ffc12b1fd45 (__TEXT,__text) non-external _postprocess
00007ffc12b37f70 (__TEXT,__text) non-external _postprocess.cold.1
00007ffc12b37f93 (__TEXT,__text) non-external _postprocess.cold.2
00007ffc12b334cc (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffc12b347a4 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffc12b2c769 (__TEXT,__text) non-external _refcmp
00007ffc12b2ceea (__TEXT,__text) non-external _reference_free
00007ffc12b2c6e4 (__TEXT,__text) non-external _refsearch
00007ffc12b2c49d (__TEXT,__text) non-external _register_plugins
00007ffc41766320 (__DATA,__data) non-external _registered_once
00007ffc12b38bc0 (__TEXT,__const) non-external _reltable.houdini_escape_html0
00007ffc12b33a73 (__TEXT,__text) non-external _remove_delimiter
00007ffc12b38558 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffc12b2f30c (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffc12b37519 (__TEXT,__text) non-external _row_from_string
00007ffc417664d8 (__DATA,__bss) non-external _safety_lock
00007ffc41766330 (__DATA,__data) non-external _safety_once
00007ffc4175dd90 (__DATA,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffc12b2f46f (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffc12b33f82 (__TEXT,__text) non-external _spnl
00007ffc12b3871d (__TEXT,__text) non-external _spnl.cold.1
00007ffc12b38740 (__TEXT,__text) non-external _spnl.cold.2
00007ffc12b38763 (__TEXT,__text) non-external _spnl.cold.3
00007ffc12b38786 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffc417664d0 (__DATA,__bss) non-external _syntax_extensions
00007ffc12b35d45 (__TEXT,__text) non-external _try_opening_table_block
00007ffc12b378c5 (__TEXT,__text) non-external _unescape_pipes
00007ffc12b38ab0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffc12b206ec (__TEXT,__text) non-external _validate_protocol
00007ffc12b1d95e (__TEXT,__text) non-external _xcalloc
00007ffc12b37ebb (__TEXT,__text) non-external _xcalloc.cold.1
00007ffc12b1d990 (__TEXT,__text) non-external _xfree
00007ffc12b1f0ad (__TEXT,__text) non-external _xml_attr
00007ffc12b36a9f (__TEXT,__text) non-external _xml_attr
00007ffc12b1d977 (__TEXT,__text) non-external _xrealloc
00007ffc12b37ee0 (__TEXT,__text) non-external _xrealloc.cold.1
