00007ff81f2581b7 (__TEXT,__text) non-external +[Calculate _lock]
00007ff81f253efd (__TEXT,__text) non-external -[UnitRank setLocale:]
00007ff81f253ee8 (__TEXT,__text) non-external -[UnitRank setRank:]
00007ff81f253ed4 (__TEXT,__text) non-external -[UnitRank setUnitID:]
00007ff81f253ecb (__TEXT,__text) non-external -[UnitRank unitID]
00007ff81f25440e (__TEXT,__text) non-external -[UnitRanks .cxx_destruct]
00007ff81f254159 (__TEXT,__text) non-external -[UnitRanks addUnitRank:]
00007ff81f2543c2 (__TEXT,__text) non-external -[UnitRanks containsCurrency]
00007ff81f2543a4 (__TEXT,__text) non-external -[UnitRanks containsFrom]
00007ff81f2543ae (__TEXT,__text) non-external -[UnitRanks containsTo]
00007ff81f2543b8 (__TEXT,__text) non-external -[UnitRanks containsUnit]
00007ff81f253f51 (__TEXT,__text) non-external -[UnitRanks initWithUnitsInfo:]
00007ff81f25401a (__TEXT,__text) non-external -[UnitRanks init]
00007ff81f254112 (__TEXT,__text) non-external -[UnitRanks isAmbiguous]
00007ff81f254389 (__TEXT,__text) non-external -[UnitRanks ranks]
00007ff81f254393 (__TEXT,__text) non-external -[UnitRanks setRanks:]
00007ff81f2543fd (__TEXT,__text) non-external -[UnitRanks setUnits:]
00007ff81f2543e2 (__TEXT,__text) non-external -[UnitRanks setUnitsInfo:]
00007ff81f2540c9 (__TEXT,__text) non-external -[UnitRanks sort]
00007ff81f2543cc (__TEXT,__text) non-external -[UnitRanks unitsInfo]
00007ff81f2543f3 (__TEXT,__text) non-external -[UnitRanks units]
00007ff81f254e76 (__TEXT,__text) non-external -[UnitTypeInfo .cxx_destruct]
00007ff81f254e16 (__TEXT,__text) non-external -[UnitTypeInfo baseUnit]
00007ff81f254d36 (__TEXT,__text) non-external -[UnitTypeInfo decompositionCoefficient]
00007ff81f254d52 (__TEXT,__text) non-external -[UnitTypeInfo decomposition]
00007ff81f254e50 (__TEXT,__text) non-external -[UnitTypeInfo isCurrency]
00007ff81f254d23 (__TEXT,__text) non-external -[UnitTypeInfo isDecomposable]
00007ff81f254e3d (__TEXT,__text) non-external -[UnitTypeInfo isTemperature]
00007ff81f254e63 (__TEXT,__text) non-external -[UnitTypeInfo isVolume]
00007ff81f254d08 (__TEXT,__text) non-external -[UnitTypeInfo name]
00007ff81f254e2c (__TEXT,__text) non-external -[UnitTypeInfo setBaseUnit:]
00007ff81f254da6 (__TEXT,__text) non-external -[UnitTypeInfo setDecomposition:]
00007ff81f254d44 (__TEXT,__text) non-external -[UnitTypeInfo setDecompositionCoefficient:]
00007ff81f254e5a (__TEXT,__text) non-external -[UnitTypeInfo setIsCurrency:]
00007ff81f254d2d (__TEXT,__text) non-external -[UnitTypeInfo setIsDecomposable:]
00007ff81f254e47 (__TEXT,__text) non-external -[UnitTypeInfo setIsTemperature:]
00007ff81f254e6d (__TEXT,__text) non-external -[UnitTypeInfo setIsVolume:]
00007ff81f254d12 (__TEXT,__text) non-external -[UnitTypeInfo setName:]
00007ff81f254cff (__TEXT,__text) non-external -[UnitTypeInfo setUnitType:]
00007ff81f254e05 (__TEXT,__text) non-external -[UnitTypeInfo setUnits:]
00007ff81f254cf6 (__TEXT,__text) non-external -[UnitTypeInfo unitType]
00007ff81f254dfb (__TEXT,__text) non-external -[UnitTypeInfo units]
00007ff81f2571d8 (__TEXT,__text) non-external -[UnitsInfo .cxx_destruct]
00007ff81f257163 (__TEXT,__text) non-external -[UnitsInfo angleInfo]
00007ff81f25718a (__TEXT,__text) non-external -[UnitsInfo degreesInfo]
00007ff81f2570a5 (__TEXT,__text) non-external -[UnitsInfo infoForAngle]
00007ff81f2570b7 (__TEXT,__text) non-external -[UnitsInfo infoForDegrees]
00007ff81f2570c9 (__TEXT,__text) non-external -[UnitsInfo infoForRadians]
00007ff81f256f4e (__TEXT,__text) non-external -[UnitsInfo infoForUnitID:]
00007ff81f256ffe (__TEXT,__text) non-external -[UnitsInfo infoForUnitName:]
00007ff81f256e1b (__TEXT,__text) non-external -[UnitsInfo infoForUnitType:]
00007ff81f256ecb (__TEXT,__text) non-external -[UnitsInfo infoForUnitTypeName:]
00007ff81f25518c (__TEXT,__text) non-external -[UnitsInfo initWithDictionary:]
00007ff81f257093 (__TEXT,__text) non-external -[UnitsInfo objectAtIndexedSubscript:]
00007ff81f257081 (__TEXT,__text) non-external -[UnitsInfo objectForKeyedSubscript:]
00007ff81f254ea7 (__TEXT,__text) non-external -[UnitsInfo populateSubunitIDs:forUnit:visited:]
00007ff81f2571b1 (__TEXT,__text) non-external -[UnitsInfo radiansInfo]
00007ff81f257179 (__TEXT,__text) non-external -[UnitsInfo setAngleInfo:]
00007ff81f2571a0 (__TEXT,__text) non-external -[UnitsInfo setDegreesInfo:]
00007ff81f2571c7 (__TEXT,__text) non-external -[UnitsInfo setRadiansInfo:]
00007ff81f25711c (__TEXT,__text) non-external -[UnitsInfo setUnitIDToInfo:]
00007ff81f257101 (__TEXT,__text) non-external -[UnitsInfo setUnitNameToInfo:]
00007ff81f257137 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeNameToInfo:]
00007ff81f257152 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeToInfo:]
00007ff81f2570e5 (__TEXT,__text) non-external -[UnitsInfo unitCount]
00007ff81f257112 (__TEXT,__text) non-external -[UnitsInfo unitIDToInfo]
00007ff81f2570f7 (__TEXT,__text) non-external -[UnitsInfo unitNameToInfo]
00007ff81f2570db (__TEXT,__text) non-external -[UnitsInfo unitNames]
00007ff81f2570ee (__TEXT,__text) non-external -[UnitsInfo unitTypeCount]
00007ff81f25712d (__TEXT,__text) non-external -[UnitsInfo unitTypeNameToInfo]
00007ff81f257148 (__TEXT,__text) non-external -[UnitsInfo unitTypeToInfo]
00007ff81f3dd5b0 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00007ff81f3dd5d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00007ff81f3dd5c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00007ff81f3dd630 (__TEXT,__gcc_except_tab) non-external GCC_except_table392
00007ff81f3ddd80 (__TEXT,__gcc_except_tab) non-external GCC_except_table424
00007ff81f3dd5fc (__TEXT,__gcc_except_tab) non-external GCC_except_table43
00007ff81f3ddda0 (__TEXT,__gcc_except_tab) non-external GCC_except_table575
00007ff81f3ddeb0 (__TEXT,__gcc_except_tab) non-external GCC_except_table610
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesSetAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringTokenizerAdvanceToNextToken (from CoreFoundation)
                 (undefined) external _CFStringTokenizerCreate (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGetCurrentTokenRange (from CoreFoundation)
00007ff81f268473 (__TEXT,__text) external _CalculateExpression
00007ff81f26818b (__TEXT,__text) external _CalculateExpressionError
00007ff81f268480 (__TEXT,__text) external _CalculateInternationalExpression
00007ff841c7c3a8 (__DATA_CONST,__const) external _CalculateKeyAllowConversions
00007ff841c7c398 (__DATA_CONST,__const) external _CalculateKeyAllowPartialExpressions
00007ff841c7c3a0 (__DATA_CONST,__const) external _CalculateKeyAllowUnits
00007ff841c7c380 (__DATA_CONST,__const) external _CalculateKeyAutoScientificNotation
00007ff841c7c390 (__DATA_CONST,__const) external _CalculateKeyConvertTrivial
00007ff841c7c3c0 (__DATA_CONST,__const) external _CalculateKeyEngine
00007ff841c7c3d0 (__DATA_CONST,__const) external _CalculateKeyExpectedUnitTypes
00007ff841c7c388 (__DATA_CONST,__const) external _CalculateKeyFlexibleFractionDigits
00007ff841c7c3c8 (__DATA_CONST,__const) external _CalculateKeyIgnoreProbableSearches
00007ff841c7c370 (__DATA_CONST,__const) external _CalculateKeyLocales
00007ff841c7c3d8 (__DATA_CONST,__const) external _CalculateKeyLocalizeUnit
00007ff841c7c3b0 (__DATA_CONST,__const) external _CalculateKeyMaximumConversions
00007ff841c7c378 (__DATA_CONST,__const) external _CalculateKeyNumberFormatter
00007ff841c7c3b8 (__DATA_CONST,__const) external _CalculateKeyPreferMixedUnits
00007ff81f253bb8 (__TEXT,__text) non-external _CalculateLogForCategory
00007ff8430ab640 (__DATA,__bss) non-external _CalculateLogForCategory.logObjects
00007ff8430ab648 (__DATA,__bss) non-external _CalculateLogForCategory.loggingToken
00007ff81f268178 (__TEXT,__text) external _CalculatePerformExpression
00007ff81f242a72 (__TEXT,__text) non-external _CountLeadingZeros
00007ff8430ab5e8 (__DATA,__bss) non-external _DecimalPi.initialized
00007ff8430ab5d0 (__DATA,__bss) non-external _DecimalPi.pi.0
00007ff8430ab5e0 (__DATA,__bss) non-external _DecimalPi.pi.1
00007ff81f24affe (__TEXT,__text) non-external _DecimalToDegrees
00007ff8430ab628 (__DATA,__bss) non-external _DecimalToDegrees.initialized
00007ff8430ab610 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.0
00007ff8430ab620 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.1
00007ff8430ab608 (__DATA,__bss) non-external _DecimalToRadians.initialized
00007ff8430ab5f0 (__DATA,__bss) non-external _DecimalToRadians.to_radians.0
00007ff8430ab600 (__DATA,__bss) non-external _DecimalToRadians.to_radians.1
00007ff8430ab5a8 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.initialized
00007ff8430ab590 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.0
00007ff8430ab5a0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.1
00007ff8430ab5c8 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.initialized
00007ff8430ab5b0 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.0
00007ff8430ab5c0 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.1
00007ff8430ab568 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.initialized
00007ff8430ab550 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.0
00007ff8430ab560 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.1
00007ff8430ab588 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.initialized
00007ff8430ab570 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.0
00007ff8430ab580 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.1
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSDecimalCompare (from Foundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleGroupingSeparator (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystem (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemMetric (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUK (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUS (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnit (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnitCelsius (from CoreFoundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringTransformStripDiacritics (from CoreFoundation)
00007ff8430aac70 (__DATA,__objc_data) external _OBJC_CLASS_$_Calculate
00007ff8430aad88 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateRequest
00007ff8430aad10 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateResult
00007ff8430aace8 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateTerm
00007ff8430aae00 (__DATA,__objc_data) non-external _OBJC_CLASS_$_CalculateToken
00007ff8430aae50 (__DATA,__objc_data) non-external _OBJC_CLASS_$_CalculateTokenizer
00007ff8430aac98 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateUnit
00007ff8430aaa18 (__DATA,__objc_data) external _OBJC_CLASS_$_Converter
00007ff8430aaa40 (__DATA,__objc_data) external _OBJC_CLASS_$_CurrencyCache
00007ff8430aaef0 (__DATA,__objc_data) non-external _OBJC_CLASS_$_Localize
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCache (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDoubleNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumberHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableURLRequest (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OACredential (from OAuth)
                 (undefined) external _OBJC_CLASS_$_OAURLRequestSigner (from OAuth)
00007ff8430aae78 (__DATA,__objc_data) non-external _OBJC_CLASS_$_Trie
00007ff8430aabf8 (__DATA,__objc_data) non-external _OBJC_CLASS_$_TrieNode
00007ff8430aab30 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitInfo
00007ff8430aaec8 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitRank
00007ff8430aaea0 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitRanks
00007ff8430aaba8 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitTypeInfo
00007ff8430aaf40 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitsInfo
                 (undefined) external _OBJC_EHTYPE_id (from libobjc)
00007ff8430aa918 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._expression
00007ff8430aa910 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._isCanceled
00007ff8430aa920 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._options
00007ff8430aa928 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._result
00007ff8430aa930 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._resultHandler
00007ff8430aa868 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._autoScientificNotation
00007ff8430aa8d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._conversions
00007ff8430aa8a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._expression
00007ff8430aa870 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._flexibleFractionDigits
00007ff8430aa880 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._hasStaleCurrencyData
00007ff8430aa8d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._inputValueAndUnit
00007ff8430aa878 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._isTrivial
00007ff8430aa8b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._locales
00007ff8430aa890 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._localizeUnit
00007ff8430aa8b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._numberFormatter
00007ff8430aa8e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parent
00007ff8430aa8e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parseTree
00007ff8430aa8f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._resultTree
00007ff8430aa8a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._singleUnitID
00007ff8430aa888 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._synchronous
00007ff8430aa8c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._terms
00007ff8430aa908 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._typeInfo
00007ff8430aa898 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitExponent
00007ff8430aa8f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitFormat
00007ff8430aa8c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitType
00007ff8430aa900 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitsInfo
00007ff8430aa860 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._decimalValue
00007ff8430aa858 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._result
00007ff8430aa850 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._units
00007ff8430aa848 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._value
00007ff8430aa950 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._range
00007ff8430aa948 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._ranks
00007ff8430aa940 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._text
00007ff8430aa938 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._tokenType
00007ff8430aa958 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._index
00007ff8430aa998 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._lastToken
00007ff8430aa968 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._locales
00007ff8430aa988 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekIndex
00007ff8430aa990 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekTokens
00007ff8430aa960 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._string
00007ff8430aa980 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._stringLength
00007ff8430aa978 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._trie
00007ff8430aa970 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._unitsInfo
00007ff8430aa9a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndices
00007ff8430aa9a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndicesIndex
00007ff8430aa820 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._exponent
00007ff8430aa828 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._name
00007ff8430aa838 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._nextSmallest
00007ff8430aa840 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitInfo
00007ff8430aa830 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitType
00007ff8430aaa08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._additionalResults
00007ff8430aaa10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._conversionType
00007ff8430aaa00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._currencyUpdateTimeOut
00007ff8430aa9b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputString
00007ff8430aa9b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputUnit
00007ff8430aa9d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputValue
00007ff8430aa9f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._isCurrency
00007ff8430aa9d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedInputValueAndUnit
00007ff8430aa9f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputUnit
00007ff8430aa9e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValue
00007ff8430aa9e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValueAndUnit
00007ff8430aa9c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputUnit
00007ff8430aa9c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputValue
00007ff8430aa5d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currencyData
00007ff8430aa5d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentCurrency
00007ff8430aa5e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentRate
00007ff8430aa5e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentString
00007ff8430aa5b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._lastRefreshDate
00007ff8430aa600 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lastRefreshTimeInternal
00007ff8430aa608 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lock
00007ff8430aa5f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._mutableCurrencyCache
00007ff8430aa5c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._refreshInterval
00007ff8430aa5f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._serializer
00007ff8430aa5c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._timeout
00007ff8430aa5b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._uuid
00007ff8430aa7c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._autocompress
00007ff8430aa7d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterCount
00007ff8430aa7e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterSize
00007ff8430aa800 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characters
00007ff8430aa7d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._compressed
00007ff8430aa818 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._firstByteCache
00007ff8430aa7e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeCount
00007ff8430aa7f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeSize
00007ff8430aa808 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodes
00007ff8430aa810 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._objects
00007ff8430aa7f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._root
00007ff8430aa7b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._node
00007ff8430aa7b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._offset
00007ff8430aa7c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._trie
00007ff8430aa6f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._allSubunitIDs
00007ff8430aa708 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseDenominator
00007ff8430aa700 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseNumerator
00007ff8430aa6d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._bestEquivalent
00007ff8430aa6a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._doNotSuggest
00007ff8430aa6a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._formatNextSmallest
00007ff8430aa680 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._impliesDivision
00007ff8430aa670 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isBaseUnit
00007ff8430aa690 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isCelsius
00007ff8430aa678 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isDisplayName
00007ff8430aa688 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isFahrenheit
00007ff8430aa668 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isInverted
00007ff8430aa698 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isKelvin
00007ff8430aa6f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._localizationToCompactName
00007ff8430aa6d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._measurementSystem
00007ff8430aa6c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._name
00007ff8430aa6e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._nextSmallest
00007ff8430aa6e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._subunitIDs
00007ff8430aa6c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._typeInfo
00007ff8430aa6b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitID
00007ff8430aa6b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitType
00007ff8430aa628 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._context
00007ff8430aa620 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._locale
00007ff8430aa618 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._rank
00007ff8430aa610 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._unitID
