00007ff84338a698 (__DATA,__data) non-external _C
00007ff8431a7430 (__DATA_DIRTY,__data) external ___sF
00007ff8431a7600 (__DATA_DIRTY,__data) non-external ___sFX
00007ff80030f2ce (__TEXT,__text) external ___sclose
00007ff8431a7b50 (__DATA_DIRTY,__bss) non-external ___scounted
00007ff8431a93b0 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff8002f2e46 (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
00007ff800345f16 (__TEXT,__text) external ___setonlyClocaleconv
00007ff800312020 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff84338c488 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff84338c490 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff800364992 (__TEXT,__text) non-external ___setup_vars
00007ff800362e60 (__TEXT,__text) non-external (was a private external) ___setutxent
00007ff8002fe59b (__TEXT,__text) external ___sflags
00007ff8002fe00f (__TEXT,__text) external ___sflush
00007ff8002fe633 (__TEXT,__text) external ___sfp
00007ff8002fe7fd (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff8002f262c (__TEXT,__text) external ___sfvwrite
00007ff800332490 (__TEXT,__text) non-external (was a private external) ___sgetrune
00007ff84338aa20 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff8002f99b5 (__TEXT,__text) external ___sinit
00007ff80032551c (__TEXT,__text) external ___slbexpand
00007ff800302b20 (__TEXT,__text) external ___smakebuf
00007ff8002f2a11 (__TEXT,__text) external ___snprintf_chk
00007ff80036aefe (__TEXT,__text) external ___snprintf_object_size_chk
00007ff800339001 (__TEXT,__text) external ___split_page
00007ff800354552 (__TEXT,__text) non-external ___sprint
00007ff8002fa699 (__TEXT,__text) external ___sprintf_chk
00007ff80036b047 (__TEXT,__text) external ___sprintf_object_size_chk
00007ff800332565 (__TEXT,__text) non-external (was a private external) ___sputrune
00007ff800320813 (__TEXT,__text) external ___sread
00007ff8002f986d (__TEXT,__text) external ___srefill
00007ff8002f9894 (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff8002fa134 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff800315ae5 (__TEXT,__text) external ___srget
00007ff80032098b (__TEXT,__text) external ___sseek
00007ff80035a1a1 (__TEXT,__text) external ___stack_chk_fail
00007ff8431a93d0 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
                 (undefined) external ___stat_extended (from libsystem_kernel)
00007ff84338c530 (__DATA,__bss) non-external ___stderr_evp
00007ff84338aa00 (__DATA,__data) external ___stderrp
00007ff84338c510 (__DATA,__bss) non-external ___stdin_evp
00007ff84338a9f0 (__DATA,__data) external ___stdinp
00007ff80036b171 (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff84338c520 (__DATA,__bss) non-external ___stdout_evp
00007ff84338a9f8 (__DATA,__data) external ___stdoutp
00007ff80036aff2 (__TEXT,__text) external ___stpcpy_chk
00007ff80036b114 (__TEXT,__text) external ___stpncpy_chk
00007ff8002f3ad0 (__TEXT,__text) external ___strcat_chk
00007ff80033d628 (__TEXT,__text) external ___strcp_D2A
00007ff8002fbd86 (__TEXT,__text) external ___strcpy_chk
00007ff84338c728 (__DATA,__bss) non-external ___strerror_ebuf
00007ff8002f71d5 (__TEXT,__text) external ___strlcat_chk
00007ff8002f3311 (__TEXT,__text) external ___strlcpy_chk
00007ff8002f47e6 (__TEXT,__text) external ___strncat_chk
00007ff8002fabff (__TEXT,__text) external ___strncpy_chk
00007ff80031ed3d (__TEXT,__text) external ___sum_D2A
00007ff800350014 (__TEXT,__text) external ___svfscanf
00007ff8002f74a6 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff80036f940 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff800323525 (__TEXT,__text) external ___swbuf
00007ff800302d9d (__TEXT,__text) external ___swhatbuf
00007ff800322afe (__TEXT,__text) external ___swrite
00007ff800311514 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00007ff84338ab08 (__DATA,__data) non-external ___systemfn_mutex
00007ff84338ab80 (__DATA,__data) non-external ___systemfn_mutex
00007ff80036f0f0 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff80032b7e8 (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff80032b615 (__TEXT,__text) non-external ___thread_stack_pcs
00007ff800313bce (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff84338c720 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff80036f0c0 (__TEXT,__const) external ___tinytens_D2A
00007ff8002f48ee (__TEXT,__text) external ___tolower
00007ff8003468ec (__TEXT,__text) external ___tolower_l
00007ff8002f4932 (__TEXT,__text) external ___toupper
00007ff8003468cd (__TEXT,__text) external ___toupper_l
00007ff80031ee91 (__TEXT,__text) external ___trailz_D2A
00007ff800316879 (__TEXT,__text) external ___ulp_D2A
00007ff8002f2afc (__TEXT,__text) non-external ___ultoa
00007ff8002f2c0e (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
00007ff800315b6d (__TEXT,__text) external ___ungetc
00007ff80034f9c7 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff8002f3689 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff80036ff80 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff8003638fb (__TEXT,__text) non-external (was a private external) ___utmpxname
00007ff84338c808 (__DATA,__bss) non-external ___utx__
00007ff80036ed04 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00007ff8002edce4 (__TEXT,__text) non-external (was a private external) ___v2printf
00007ff8002ee028 (__TEXT,__text) non-external (was a private external) ___vfprintf
00007ff80036c856 (__TEXT,__text) non-external ___vfprintf.cold.1
00007ff80036f900 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007ff80036f910 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007ff80035027c (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007ff80036f980 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007ff80036f990 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007ff80035476e (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007ff80036fa80 (__TEXT,__const) non-external ___vfwscanf.basefix
00007ff800300a70 (__TEXT,__text) external ___vsnprintf_chk
00007ff80036afa9 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007ff800347470 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007ff800347129 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007ff8003467ea (__TEXT,__text) external ___wcwidth
00007ff80034690b (__TEXT,__text) external ___wcwidth_l
00007ff800311ff8 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007ff84338a7b8 (__DATA,__data) external ___xlocale_C_collate
00007ff80030f6c8 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007ff80032ee85 (__TEXT,__text) non-external ___xlocale_release
00007ff8003209e4 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007ff80036b644 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007ff84338a6a0 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007ff8003626ba (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007ff80030069b (__TEXT,__text) non-external (was a private external) ___xvprintf
00007ff80035d764 (__TEXT,__text) external __allocenvstate
00007ff80033d68e (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007ff800343792 (__TEXT,__text) non-external (was a private external) __ascii_init
00007ff8003437df (__TEXT,__text) non-external __ascii_mbrtowc
00007ff800343823 (__TEXT,__text) non-external __ascii_mbsinit
00007ff80034382e (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007ff8003438c1 (__TEXT,__text) non-external __ascii_wcrtomb
00007ff8003438f0 (__TEXT,__text) non-external __ascii_wcsnrtombs
00007ff80032aec5 (__TEXT,__text) external __atexit_receipt
00007ff84338baf0 (__DATA,__bss) non-external __atexit_receipt_enabled
00007ff800301b6e (__TEXT,__text) non-external __backtrace_snprintf
00007ff800325936 (__TEXT,__text) non-external __boottime_fallback_usec
00007ff8400830f0 (__DATA_CONST,__const) external __c_locale
00007ff80031897c (__TEXT,__text) external __cleanup
00007ff80032cc65 (__TEXT,__text) external __closeutx
00007ff80035d76e (__TEXT,__text) external __copyenv
00007ff84338ab00 (__DATA,__data) external __cthread_init_routine
00007ff80035d7f7 (__TEXT,__text) external __deallocenvstate
00007ff8003206da (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00007ff84338c870 (__DATA,__common) non-external (was a private external) __e_err_exit
00007ff84338c868 (__DATA,__common) non-external (was a private external) __e_err_file
00007ff80033d903 (__TEXT,__text) non-external (was a private external) __e_visprintf
00007ff800362f85 (__TEXT,__text) external __endutxent
00007ff80036d004 (__TEXT,__text) non-external __endutxent.cold.1
00007ff80036d02c (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
00007ff800325b6c (__TEXT,__text) non-external __ffpp_strtoencf32_l
00007ff80036b1ae (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
00007ff80036b1d1 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
00007ff80036dc40 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
00007ff800325e12 (__TEXT,__text) non-external __ffpp_strtoencf64_l
00007ff80036b1f4 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00007ff80036b217 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00007ff80036b23a (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
00007ff80036dfe0 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
00007ff8003262cd (__TEXT,__text) non-external __ffpp_strtoencf80_l
00007ff80036b25d (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.1
00007ff80036b280 (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.2
00007ff80036e190 (__TEXT,__const) non-external __ffpp_strtoencf80_l.longDoublePowerOf10
00007ff8003696d2 (__TEXT,__text) non-external (was a private external) __filldir
00007ff800340c74 (__TEXT,__text) non-external (was a private external) __filldir$INODE64
00007ff800369f1e (__TEXT,__text) non-external (was a private external) __fixtelldir
00007ff8002f44c7 (__TEXT,__text) non-external (was a private external) __fixtelldir$INODE64
00007ff80034b87d (__TEXT,__text) external __flockfile_debug_stub
00007ff800322702 (__TEXT,__text) external __fseeko
00007ff800320824 (__TEXT,__text) external __ftello
00007ff80031898d (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
00007ff80035a32e (__TEXT,__text) external __getenvp
00007ff800363234 (__TEXT,__text) external __getutxent
00007ff80036d054 (__TEXT,__text) non-external __getutxent.cold.1
00007ff80036d07c (__TEXT,__text) non-external __getutxent.cold.2
00007ff8003632b0 (__TEXT,__text) external __getutxid
00007ff80036d0a4 (__TEXT,__text) non-external __getutxid.cold.1
00007ff80036d0cc (__TEXT,__text) non-external __getutxid.cold.2
00007ff80036342a (__TEXT,__text) external __getutxline
00007ff80036d0f4 (__TEXT,__text) non-external __getutxline.cold.1
00007ff80036d11c (__TEXT,__text) non-external __getutxline.cold.2
00007ff8002ff296 (__TEXT,__text) external __inet_aton_check
00007ff80030f672 (__TEXT,__text) external __init_clock_port
00007ff80035776b (__TEXT,__text) external __int_to_time
00007ff8002facee (__TEXT,__text) non-external __isort
00007ff8002fae84 (__TEXT,__text) non-external __isort
00007ff80035d6ee (__TEXT,__text) non-external __legacy_crt1_environ
00007ff8431a7b20 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00007ff84338c0f8 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00007ff8431a7b18 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00007ff84338c0f0 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00007ff8431a7b10 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00007ff84338c0e8 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00007ff800331e2b (__TEXT,__text) external __libc_fork_child
00007ff80030f5da (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007ff800331e1f (__TEXT,__text) external __libc_fork_parent
00007ff800331e13 (__TEXT,__text) external __libc_fork_prepare
00007ff80030f54c (__TEXT,__text) external __libc_initializer
00007ff800345f86 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
00007ff800345f57 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
00007ff800345f28 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
00007ff800357759 (__TEXT,__text) external __long_to_time
00007ff800325804 (__TEXT,__text) non-external __mach_boottime_usec
00007ff80032aefb (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00007ff84338baf4 (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00007ff8431a7b08 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
00007ff80031eb91 (__TEXT,__text) non-external __mkdtemp_action
00007ff800324b30 (__TEXT,__text) non-external __mkfilex_np
00007ff80030f00b (__TEXT,__text) non-external __mkostemps_action
00007ff8002fc4ba (__TEXT,__text) non-external __mkpath
00007ff80032035f (__TEXT,__text) external __mkpath_np
00007ff80034d328 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007ff80036c732 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007ff80034d272 (__TEXT,__text) external __mktemp
00007ff80030350e (__TEXT,__text) non-external __mktemp_action
00007ff80034693e (__TEXT,__text) non-external (was a private external) __none_init
00007ff80031b548 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007ff80034698b (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007ff800346996 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007ff80031894d (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007ff800346a06 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00007ff84338c2b0 (__DATA,__bss) non-external __onlyClocaleconv
00007ff80032cbbe (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007ff80036b707 (__TEXT,__text) external __os_assert_log
00007ff80036ba20 (__TEXT,__text) external __os_assert_log_ctx
00007ff8003156a4 (__TEXT,__text) external __os_assumes_log
00007ff80036b86f (__TEXT,__text) external __os_assumes_log_ctx
00007ff8002fa872 (__TEXT,__text) external __os_avoid_tail_call
00007ff80036b6eb (__TEXT,__text) external __os_crash
00007ff84338c858 (__DATA,__common) external __os_crash_callback
00007ff800332aeb (__TEXT,__text) external __os_crash_fmt
00007ff80036bb99 (__TEXT,__text) non-external __os_crash_fmt.cold.1
00007ff800332aaf (__TEXT,__text) external __os_crash_msg
00007ff80036b4a5 (__TEXT,__text) external __os_debug_log
00007ff80032ce5e (__TEXT,__text) external __os_debug_log_error_offset
00007ff8003158a5 (__TEXT,__text) external __os_debug_log_error_str
00007ff8003158bb (__TEXT,__text) non-external __os_debug_log_init
00007ff80032ceed (__TEXT,__text) non-external __os_debug_log_open_file
00007ff80032ccd8 (__TEXT,__text) weak external __os_debug_log_redirect_func
00007ff80032cce0 (__TEXT,__text) non-external __os_debug_log_write
00007ff80032ce73 (__TEXT,__text) non-external __os_debug_log_write_error
00007ff800332bad (__TEXT,__text) non-external __os_get_build
00007ff800332b39 (__TEXT,__text) non-external __os_get_image_uuid
                 (undefined) external __os_log_default (from libsystem_trace)
00007ff80031585a (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
00007ff8002f324e (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007ff8002f2dce (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007ff8002f31e3 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007ff840083330 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007ff800372020 (__TEXT,__cstring) non-external __printf_tbl_flags
00007ff80030f59e (__TEXT,__text) non-external (was a private external) __program_vars_init
00007ff80035eb7a (__TEXT,__text) non-external __psort
00007ff80035f606 (__TEXT,__text) non-external __psort
00007ff800360071 (__TEXT,__text) non-external __psort
00007ff80036ccef (__TEXT,__text) non-external __psort.cold.1
00007ff80036cd2b (__TEXT,__text) non-external __psort.cold.1
00007ff80036cd67 (__TEXT,__text) non-external __psort.cold.1
00007ff80035eb25 (__TEXT,__text) non-external __psort_parallel
00007ff80035f5b1 (__TEXT,__text) non-external __psort_parallel
00007ff800360017 (__TEXT,__text) non-external __psort_parallel
00007ff80035a8ea (__TEXT,__text) external __putenvp
00007ff800363507 (__TEXT,__text) external __pututxline
00007ff80036d144 (__TEXT,__text) non-external __pututxline.cold.1
00007ff80036d16c (__TEXT,__text) non-external __pututxline.cold.2
00007ff80032b896 (__TEXT,__text) non-external __pwuid_r
00007ff80031f247 (__TEXT,__text) non-external __qsort
00007ff80031fa8b (__TEXT,__text) non-external __qsort
00007ff84338a6d8 (__DATA,__data) external __rand48_add
00007ff84338a6d0 (__DATA,__data) external __rand48_mult
00007ff84338a6c8 (__DATA,__data) external __rand48_seed
00007ff800369935 (__TEXT,__text) external __readdir_unlocked
00007ff8002f434b (__TEXT,__text) external __readdir_unlocked$INODE64
00007ff8002f455d (__TEXT,__text) external __reclaim_telldir
00007ff80036fe94 (__TEXT,__const) non-external (was a private external) __rp_alist
00007ff8431a9418 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
00007ff800369e99 (__TEXT,__text) external __seekdir
00007ff80032064a (__TEXT,__text) external __seekdir$INODE64
00007ff80035d839 (__TEXT,__text) external __setenvp
00007ff800362e9c (__TEXT,__text) external __setutxent
00007ff80036cfb8 (__TEXT,__text) non-external __setutxent.cold.1
00007ff80036cfde (__TEXT,__text) non-external __setutxent.cold.2
00007ff800331f69 (__TEXT,__text) external __sigaction_nobind
00007ff84338c890 (__DATA,__common) external __sigintr
00007ff8003423da (__TEXT,__text) external __signal_nobind
00007ff800325722 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007ff800342287 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007ff8002fa18d (__TEXT,__text) external __sread
00007ff800302f6d (__TEXT,__text) external __sseek
00007ff80030fd8e (__TEXT,__text) non-external (was a private external) __st_fmt
00007ff800330ae0 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007ff8002f6770 (__TEXT,__text) non-external (was a private external) __st_localsub
00007ff8002f6757 (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007ff8003069fc (__TEXT,__text) non-external (was a private external) __st_time1
00007ff8002f4a94 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007ff800363bd4 (__TEXT,__text) non-external __strfmon
00007ff800316c28 (__TEXT,__text) non-external __strptime0
00007ff80036fbc0 (__TEXT,__const) non-external __strptime0.start_of_month
00007ff800330360 (__TEXT,__text) external __subsystem_init
00007ff8003008a9 (__TEXT,__text) external __swrite
00007ff80032b7bf (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00007ff8002fc41b (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007ff80035772c (__TEXT,__text) external __time32_to_time
00007ff80035773e (__TEXT,__text) external __time64_to_time
00007ff800357762 (__TEXT,__text) external __time_to_int
00007ff800357750 (__TEXT,__text) external __time_to_long
00007ff800357735 (__TEXT,__text) external __time_to_time32
00007ff800357747 (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
00007ff80035d8b7 (__TEXT,__text) external __unsetenvp
00007ff80032caf1 (__TEXT,__text) non-external (was a private external) __utmpx32_64
00007ff80032cb58 (__TEXT,__text) non-external (was a private external) __utmpx64_32
00007ff80032bb02 (__TEXT,__text) non-external (was a private external) __utmpx_asl
00007ff80036ff91 (__TEXT,__const) non-external (was a private external) __utmpx_vers
00007ff80032bf75 (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00007ff84338baf8 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00007ff8003639cf (__TEXT,__text) external __utmpxname
00007ff80036d194 (__TEXT,__text) non-external __utmpxname.cold.1
00007ff80036d1bc (__TEXT,__text) non-external __utmpxname.cold.2
00007ff80031f0c7 (__TEXT,__text) non-external (was a private external) __vasprintf
00007ff8003240a8 (__TEXT,__text) non-external (was a private external) __vdprintf
00007ff80031eedc (__TEXT,__text) non-external (was a private external) __vsnprintf
00007ff800310e10 (__TEXT,__text) non-external __yconv
00007ff80035a207 (__TEXT,__text) external _a64l
00007ff80036e920 (__TEXT,__const) non-external _a64toi
00007ff80036ca9b (__TEXT,__text) external _abort
00007ff80036cbda (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
00007ff80035a2a4 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007ff80032f414 (__TEXT,__text) external _acl_add_flag_np
00007ff80032f47a (__TEXT,__text) external _acl_add_perm
00007ff80032ef6c (__TEXT,__text) external _acl_calc_mask
00007ff80032f41e (__TEXT,__text) external _acl_clear_flags_np
00007ff80032f49e (__TEXT,__text) external _acl_clear_perms
00007ff80032ef82 (__TEXT,__text) external _acl_copy_entry
00007ff80032f5e0 (__TEXT,__text) external _acl_copy_ext
00007ff8002fc2a9 (__TEXT,__text) external _acl_copy_ext_native
00007ff80032f6bf (__TEXT,__text) external _acl_copy_int
00007ff80032463c (__TEXT,__text) external _acl_copy_int_native
00007ff80032f094 (__TEXT,__text) external _acl_create_entry
00007ff80032efd7 (__TEXT,__text) external _acl_create_entry_np
00007ff80032f3fe (__TEXT,__text) external _acl_delete_def_file
00007ff80032f0a3 (__TEXT,__text) external _acl_delete_entry
00007ff80032f257 (__TEXT,__text) external _acl_delete_fd_np
00007ff80032f26d (__TEXT,__text) external _acl_delete_file_np
00007ff80032f42c (__TEXT,__text) external _acl_delete_flag_np
00007ff80032f283 (__TEXT,__text) external _acl_delete_link_np
00007ff80032f4ac (__TEXT,__text) external _acl_delete_perm
00007ff8002fc1fc (__TEXT,__text) external _acl_dup
00007ff840083100 (__DATA_CONST,__const) non-external _acl_flags
00007ff8002fc36f (__TEXT,__text) external _acl_free
00007ff80032f765 (__TEXT,__text) external _acl_from_text
00007ff800325585 (__TEXT,__text) external _acl_get_entry
00007ff80032f299 (__TEXT,__text) external _acl_get_fd
00007ff80031ebbb (__TEXT,__text) external _acl_get_fd_np
00007ff80031d887 (__TEXT,__text) external _acl_get_file
00007ff80031d896 (__TEXT,__text) non-external _acl_get_file1
00007ff800325640 (__TEXT,__text) external _acl_get_flag_np
00007ff8003255fd (__TEXT,__text) external _acl_get_flagset_np
00007ff80032f2a8 (__TEXT,__text) external _acl_get_link_np
00007ff80032f4d2 (__TEXT,__text) external _acl_get_perm_np
00007ff80032f4f9 (__TEXT,__text) external _acl_get_permset
00007ff80032f570 (__TEXT,__text) external _acl_get_permset_mask_np
00007ff80032f14f (__TEXT,__text) external _acl_get_qualifier
00007ff80032f1ac (__TEXT,__text) external _acl_get_tag_type
00007ff8003246c5 (__TEXT,__text) external _acl_init
00007ff80032f561 (__TEXT,__text) external _acl_maximal_permset_mask_np
00007ff8400831c0 (__DATA_CONST,__const) non-external _acl_perms
00007ff80032f320 (__TEXT,__text) external _acl_set_fd
00007ff80032f2b4 (__TEXT,__text) external _acl_set_fd_np
00007ff80032f32a (__TEXT,__text) external _acl_set_file
00007ff80032f438 (__TEXT,__text) external _acl_set_flagset_np
00007ff80032f396 (__TEXT,__text) external _acl_set_link_np
00007ff80032f52e (__TEXT,__text) external _acl_set_permset
00007ff80032f5a4 (__TEXT,__text) external _acl_set_permset_mask_np
00007ff80032f1df (__TEXT,__text) external _acl_set_qualifier
00007ff80032f21e (__TEXT,__text) external _acl_set_tag_type
00007ff8002fc260 (__TEXT,__text) external _acl_size
00007ff80032fe0c (__TEXT,__text) external _acl_to_text
00007ff80032eefe (__TEXT,__text) external _acl_valid
00007ff80032ef2a (__TEXT,__text) external _acl_valid_fd_np
00007ff80032ef40 (__TEXT,__text) external _acl_valid_file_np
00007ff80032ef56 (__TEXT,__text) external _acl_valid_link
00007ff8003281e6 (__TEXT,__text) non-external _addToMP
00007ff80034dd48 (__TEXT,__text) non-external _addaster
00007ff8003421c8 (__TEXT,__text) non-external _addcmd
00007ff800348da2 (__TEXT,__text) external _addr2ascii
00007ff84338c498 (__DATA,__bss) non-external _addr2ascii.staticbuf
00007ff80034e037 (__TEXT,__text) non-external _addsarg
00007ff80034df49 (__TEXT,__text) non-external _addtype
00007ff80034e1a2 (__TEXT,__text) non-external _adduarg
00007ff80034ed08 (__TEXT,__text) non-external _addwaster
00007ff80030508d (__TEXT,__text) non-external _advance_directory
00007ff80030508d (__TEXT,__text) non-external _advance_directory
00007ff80036b490 (__TEXT,__text) non-external _advance_directory.cold.1
00007ff80036b490 (__TEXT,__text) non-external _advance_directory.cold.1
00007ff80031d950 (__TEXT,__text) external _alarm
00007ff8003370d8 (__TEXT,__text) non-external _alloc_segs
00007ff800369d89 (__TEXT,__text) external _alphasort
