00007fff849e1c40 (__DATA,__bss) non-external _SVC_REQ_KEY
                 (undefined) external _listen (from libSystem)
                 (undefined) external _lseek (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
00007fff5dbb1219 (__TEXT,__text) non-external _makefd_xprt
00007fff5dbbb9d5 (__TEXT,__text) non-external _makefd_xprt.cold.1
00007fff5dbbba83 (__TEXT,__text) non-external _makefd_xprt.cold.2
00007fff5dbbbb31 (__TEXT,__text) non-external _makefd_xprt.cold.3
00007fff5dbbbbdf (__TEXT,__text) non-external _makefd_xprt.cold.4
00007fff5dbbbc7a (__TEXT,__text) non-external _makefd_xprt.cold.5
                 (undefined) external _malloc (from libSystem)
00007fff5dbaa63e (__TEXT,__text) non-external _marshal_new_auth
00007fff5dbb963e (__TEXT,__text) non-external _marshal_new_auth.cold.1
00007fff849e16d8 (__DATA,__data) non-external _maxgrplist
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mkstemps (from libSystem)
00007fff8b98d700 (__DATA_CONST,__const) non-external _nc_tab
00007fff8b98d610 (__DATA_CONST,__const) non-external _netids
00007fff5dbbe6c0 (__TEXT,__const) external _oncrpcVersionNumber
00007fff5dbbe690 (__TEXT,__const) external _oncrpcVersionString
00007fff849e1a38 (__DATA,__data) non-external _oncrpc_xprt_init
                 (undefined) external _open (from libSystem)
00007fff5dbb6000 (__TEXT,__text) non-external (was a private external) _open_socket
00007fff849e1688 (__DATA,__data) non-external _ops
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _pipe (from libSystem)
00007fff849e17a0 (__DATA,__data) non-external _pmap_addrs
00007fff5dbaed3f (__TEXT,__text) non-external _pmap_bcastrecv
00007fff5dbae057 (__TEXT,__text) non-external (was a private external) _pmap_getport_timeout
00007fff5dbaea9f (__TEXT,__text) non-external _pmap_mcastrecv
                 (undefined) external _poll (from libSystem)
00007fff849e1988 (__DATA,__data) non-external _poll_timeout
00007fff849e1ba0 (__DATA,__data) non-external (was a private external) _portmap_netid
00007fff849e1c30 (__DATA,__bss) non-external _proglst
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_set_qos_class_np (from libSystem)
                 (undefined) external _pthread_attr_setdetachstate (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait_relative_np (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_exit (from libSystem)
                 (undefined) external _pthread_getspecific (from libSystem)
                 (undefined) external _pthread_getugid_np (from libSystem)
                 (undefined) external _pthread_key_create (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_destroy (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _pthread_rwlock_init (from libSystem)
                 (undefined) external _pthread_rwlock_rdlock (from libSystem)
                 (undefined) external _pthread_rwlock_unlock (from libSystem)
                 (undefined) external _pthread_rwlock_wrlock (from libSystem)
                 (undefined) external _pthread_set_qos_class_self_np (from libSystem)
                 (undefined) external _pthread_setspecific (from libSystem)
                 (undefined) external _pthread_setugid_np (from libSystem)
                 (undefined) external _read (from libSystem)
00007fff5dbacbb5 (__TEXT,__text) non-external _readstrm
00007fff5dbb1693 (__TEXT,__text) non-external _readstrm
00007fff5dbbbe84 (__TEXT,__text) non-external _readstrm.cold.1
00007fff5dbbbf32 (__TEXT,__text) non-external _readstrm.cold.2
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _reallocf (from libSystem)
                 (undefined) external _recvfrom (from libSystem)
00007fff5dbb6098 (__TEXT,__text) non-external (was a private external) _recvfrom_and_to
00007fff5dbbdd84 (__TEXT,__text) non-external _recvfrom_and_to.cold.1
                 (undefined) external _recvmsg (from libSystem)
00007fff5dbb15fc (__TEXT,__text) non-external _rendezvous_abort_freeargs
00007fff5dbb15ec (__TEXT,__text) non-external _rendezvous_abort_getargs
00007fff5dbb15f4 (__TEXT,__text) non-external _rendezvous_abort_reply
00007fff5dbb1604 (__TEXT,__text) non-external _rendezvous_destroy
00007fff5dbb1483 (__TEXT,__text) non-external _rendezvous_request
00007fff5dbbbd28 (__TEXT,__text) non-external _rendezvous_request.cold.1
00007fff5dbb15e1 (__TEXT,__text) non-external _rendezvous_stat
00007fff5dbaad61 (__TEXT,__text) external _reply_addr_cache_create
00007fff5dbaadb9 (__TEXT,__text) external _reply_addr_cache_destroy
00007fff849e17e0 (__DATA,__data) non-external _reply_dscrm
00007fff5dbb6dc0 (__TEXT,__text) non-external _reset_if_addr_cache
00007fff5dbabee6 (__TEXT,__text) non-external _rpc_createerr_destroy
00007fff849e1c00 (__DATA,__bss) non-external _rpc_createerr_key
00007fff849e16e0 (__DATA,__data) non-external _rpc_createerr_once
00007fff8b98d330 (__DATA_CONST,__const) non-external _rpc_errlist
00007fff849e17b8 (__DATA,__data) non-external _rpc_multicast
00007fff849e1790 (__DATA,__data) non-external _rpcb_addrs
00007fff5dbae865 (__TEXT,__text) non-external _rpcb_mcastrecv
00007fff5dbb8a02 (__TEXT,__text) non-external _rpcbind_getaddr_generic
00007fff5dbb62cd (__TEXT,__text) non-external _search_local_ifaddr_cache
                 (undefined) external _sendto (from libSystem)
00007fff849e1810 (__DATA,__data) non-external _server_ops
00007fff5dbb4c37 (__TEXT,__text) non-external _set_input_fragment
00007fff5dbb6caa (__TEXT,__text) non-external (was a private external) _set_local_ephemeral_sockname
00007fff849e1b40 (__DATA,__data) non-external _set_retry_timeout
00007fff849e1ba8 (__DATA,__data) non-external _set_retry_timeout
00007fff849e1b50 (__DATA,__data) non-external _set_total_timeout
00007fff849e1bb8 (__DATA,__data) non-external _set_total_timeout
                 (undefined) external _setsockopt (from libSystem)
00007fff5dbb4bda (__TEXT,__text) non-external _skip_input_bytes
                 (undefined) external _sleep (from libSystem)
00007fff5dbabdf1 (__TEXT,__text) non-external _slprintf
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _socket (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror_r (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
00007fff849e1730 (__DATA,__data) non-external _strm_ops
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strtol (from libSystem)
00007fff849e1c18 (__DATA,__bss) non-external _svc_active_threads
00007fff5dbb2c27 (__TEXT,__text) non-external (was a private external) _svc_armxprt
00007fff5dbbcf10 (__TEXT,__text) non-external _svc_armxprt.cold.1
00007fff5dbbcfbe (__TEXT,__text) non-external _svc_armxprt.cold.2
00007fff5dbbd047 (__TEXT,__text) non-external _svc_armxprt.cold.3
00007fff5dbb2dc5 (__TEXT,__text) non-external (was a private external) _svc_clear_kq_control
00007fff5dbb071a (__TEXT,__text) non-external _svc_complete
00007fff849e1d64 (__DATA,__common) non-external (was a private external) _svc_cred_switch
00007fff849e1898 (__DATA,__data) non-external _svc_exit_cond
00007fff849e1c1c (__DATA,__bss) non-external _svc_exit_flag
00007fff5dbb3175 (__TEXT,__text) non-external (was a private external) _svc_get_thread_req
00007fff849e1c38 (__DATA,__bss) non-external _svc_head
00007fff5dbb2db9 (__TEXT,__text) non-external (was a private external) _svc_kq_control
00007fff849e1998 (__DATA,__data) non-external (was a private external) _svc_listen_backlog
00007fff849e1840 (__DATA,__data) non-external (was a private external) _svc_max_threads
00007fff849e1844 (__DATA,__data) non-external (was a private external) _svc_min_threads
00007fff849e1848 (__DATA,__data) non-external (was a private external) _svc_nreq
00007fff5dbb2af1 (__TEXT,__text) non-external _svc_oncrpc_start
00007fff5dbbcd06 (__TEXT,__text) non-external _svc_oncrpc_start.cold.1
00007fff5dbbcdb4 (__TEXT,__text) non-external _svc_oncrpc_start.cold.2
00007fff5dbbce62 (__TEXT,__text) non-external _svc_oncrpc_start.cold.3
00007fff849e1958 (__DATA,__data) non-external _svc_poll_cond
00007fff849e1918 (__DATA,__data) non-external _svc_poll_lock
00007fff849e1c20 (__DATA,__bss) non-external _svc_polling
00007fff5dbb2e3f (__TEXT,__text) non-external (was a private external) _svc_rearmxprt
00007fff5dbbd244 (__TEXT,__text) non-external _svc_rearmxprt.cold.1
00007fff5dbbd2e5 (__TEXT,__text) non-external _svc_rearmxprt.cold.2
00007fff5dbbd393 (__TEXT,__text) non-external _svc_rearmxprt.cold.3
00007fff849e1a50 (__DATA,__data) non-external _svc_register_lock
00007fff5dbb31ac (__TEXT,__text) external _svc_req_clone
00007fff5dbb32e3 (__TEXT,__text) external _svc_req_destroy
00007fff5dbb2d29 (__TEXT,__text) non-external (was a private external) _svc_rmxprt
00007fff5dbbd0e8 (__TEXT,__text) non-external _svc_rmxprt.cold.1
00007fff849e1850 (__DATA,__data) non-external (was a private external) _svc_stack_size
00007fff5dbaff85 (__TEXT,__text) non-external _svc_start_threads
00007fff5dbaff32 (__TEXT,__text) non-external _svc_thread
00007fff5dbb069a (__TEXT,__text) non-external _svc_thread_exit
00007fff849e1858 (__DATA,__data) non-external _svc_thread_lock
00007fff849e1d58 (__DATA,__common) non-external (was a private external) _svc_thread_qos_class
00007fff849e1d5c (__DATA,__common) non-external (was a private external) _svc_thread_relative_priority
00007fff5dbb2f72 (__TEXT,__text) non-external (was a private external) _svc_unarmxprt
00007fff5dbbd434 (__TEXT,__text) non-external _svc_unarmxprt.cold.1
00007fff5dbbd4bd (__TEXT,__text) non-external _svc_unarmxprt.cold.2
00007fff849e18c8 (__DATA,__data) non-external _svc_workq_lock
00007fff5dbb26fb (__TEXT,__text) non-external (was a private external) _svc_xprt_create
00007fff5dbbcbaa (__TEXT,__text) non-external _svc_xprt_create.cold.1
00007fff5dbbcc58 (__TEXT,__text) non-external _svc_xprt_create.cold.2
00007fff5dbb2990 (__TEXT,__text) non-external (was a private external) _svc_xprt_destroy
00007fff8b98d4d0 (__DATA_CONST,__const) non-external _svcauthsw
00007fff5dbafe6e (__TEXT,__text) non-external _svcraw_destroy
00007fff5dbafe66 (__TEXT,__text) non-external _svcraw_freeargs
00007fff5dbafe56 (__TEXT,__text) non-external _svcraw_getargs
00007fff5dbafe43 (__TEXT,__text) non-external _svcraw_recv
00007fff5dbafe5e (__TEXT,__text) non-external _svcraw_reply
00007fff5dbafe4b (__TEXT,__text) non-external _svcraw_stat
00007fff5dbb163d (__TEXT,__text) non-external _svcstrm_destroy
00007fff5dbbbdd6 (__TEXT,__text) non-external _svcstrm_destroy.cold.1
00007fff5dbb0d4a (__TEXT,__text) non-external _svcstrm_domain_create
00007fff5dbbb1e9 (__TEXT,__text) non-external _svcstrm_domain_create.cold.1
00007fff5dbbb297 (__TEXT,__text) non-external _svcstrm_domain_create.cold.2
00007fff5dbbb345 (__TEXT,__text) non-external _svcstrm_domain_create.cold.3
00007fff5dbb1cc5 (__TEXT,__text) non-external _svcstrm_freeargs
00007fff5dbb1b7d (__TEXT,__text) non-external _svcstrm_getargs
00007fff849e19d0 (__DATA,__data) non-external _svcstrm_op
00007fff5dbb19b0 (__TEXT,__text) non-external _svcstrm_recv
00007fff5dbbc07b (__TEXT,__text) non-external _svcstrm_recv.cold.1
00007fff5dbbc116 (__TEXT,__text) non-external _svcstrm_recv.cold.2
00007fff5dbbc1c4 (__TEXT,__text) non-external _svcstrm_recv.cold.3
00007fff849e19a0 (__DATA,__data) non-external _svcstrm_rendezvous_op
00007fff5dbb1c0f (__TEXT,__text) non-external _svcstrm_reply
00007fff5dbbc25f (__TEXT,__text) non-external _svcstrm_reply.cold.1
00007fff5dbb1b21 (__TEXT,__text) non-external _svcstrm_stat
00007fff5dbb0ed0 (__TEXT,__text) external _svcticots_create
00007fff5dbb0eda (__TEXT,__text) external _svcticotsord_create
00007fff5dbbb3f3 (__TEXT,__text) non-external _svcticotsord_create.cold.1
00007fff5dbbb4a1 (__TEXT,__text) non-external _svcticotsord_create.cold.2
00007fff5dbbb54f (__TEXT,__text) non-external _svcticotsord_create.cold.3
00007fff5dbbb5e3 (__TEXT,__text) non-external _svcticotsord_create.cold.4
00007fff5dbbb682 (__TEXT,__text) non-external _svcticotsord_create.cold.5
00007fff5dbbb71d (__TEXT,__text) non-external _svcticotsord_create.cold.6
00007fff5dbbb7cb (__TEXT,__text) non-external _svcticotsord_create.cold.7
00007fff5dbbb879 (__TEXT,__text) non-external _svcticotsord_create.cold.8
00007fff5dbbb927 (__TEXT,__text) non-external _svcticotsord_create.cold.9
00007fff5dbb269d (__TEXT,__text) non-external _svcudp_destroy
00007fff5dbbcafc (__TEXT,__text) non-external _svcudp_destroy.cold.1
00007fff5dbb267d (__TEXT,__text) non-external _svcudp_freeargs
00007fff5dbb2301 (__TEXT,__text) non-external _svcudp_getargs
00007fff849e1a00 (__DATA,__data) non-external _svcudp_op
00007fff5dbb2008 (__TEXT,__text) non-external _svcudp_recv
00007fff5dbbc721 (__TEXT,__text) non-external _svcudp_recv.cold.1
00007fff5dbbc7cf (__TEXT,__text) non-external _svcudp_recv.cold.2
00007fff5dbb237f (__TEXT,__text) non-external _svcudp_reply
00007fff5dbbc87d (__TEXT,__text) non-external _svcudp_reply.cold.1
00007fff5dbbc918 (__TEXT,__text) non-external _svcudp_reply.cold.2
00007fff5dbbc9b3 (__TEXT,__text) non-external _svcudp_reply.cold.3
00007fff5dbbca4e (__TEXT,__text) non-external _svcudp_reply.cold.4
00007fff5dbb22f6 (__TEXT,__text) non-external _svcudp_stat
                 (undefined) external _sys_nerr (from libSystem)
00007fff5dbabef7 (__TEXT,__text) non-external _tsd_init_buf
00007fff5dbb9b7b (__TEXT,__text) non-external _tsd_init_buf.cold.1
00007fff5dbab8bd (__TEXT,__text) non-external _tsd_init_rpc_createerr
00007fff5dbb9986 (__TEXT,__text) non-external _tsd_init_rpc_createerr.cold.1
00007fff849e1760 (__DATA,__data) non-external _udp_ops
00007fff5dbb69f0 (__TEXT,__text) non-external _ugetport
00007fff5dbb08e6 (__TEXT,__text) non-external _universal
00007fff5dbbab93 (__TEXT,__text) non-external _universal.cold.1
00007fff5dbbac2e (__TEXT,__text) non-external _universal.cold.2
00007fff5dbbacc2 (__TEXT,__text) non-external _universal.cold.3
                 (undefined) external _unlink (from libSystem)
00007fff849e1b60 (__DATA,__data) non-external _unset_retry_timeout
00007fff849e1bc8 (__DATA,__data) non-external _unset_retry_timeout
00007fff849e1b70 (__DATA,__data) non-external _unset_total_timeout
00007fff849e1bd8 (__DATA,__data) non-external _unset_total_timeout
                 (undefined) external _vm_allocate (from libSystem)
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) external _vsnprintf (from libSystem)
00007fff5dbb2ded (__TEXT,__text) non-external _wakeup_kq
00007fff5dbbd196 (__TEXT,__text) non-external _wakeup_kq.cold.1
                 (undefined) external _warnx (from libSystem)
00007fff849e1908 (__DATA,__data) non-external _workq
                 (undefined) external _write (from libSystem)
00007fff5dbaccb4 (__TEXT,__text) non-external _writestrm
00007fff5dbb1854 (__TEXT,__text) non-external _writestrm
00007fff5dbbbfcd (__TEXT,__text) non-external _writestrm.cold.1
00007fff5dbb51d2 (__TEXT,__text) non-external _x_destroy
00007fff5dbb51c1 (__TEXT,__text) non-external _x_getpostn
00007fff5dbb5151 (__TEXT,__text) non-external _x_inline
00007fff5dbb5143 (__TEXT,__text) non-external _x_putbytes
00007fff5dbb5134 (__TEXT,__text) non-external _x_putlong
00007fff5dbb51ca (__TEXT,__text) non-external _x_setpostn
00007fff5dbaf9d8 (__TEXT,__text) non-external _xdr_accepted_reply
00007fff5dbaef2b (__TEXT,__text) non-external _xdr_callit_args
00007fff5dbb42e7 (__TEXT,__text) non-external (was a private external) _xdr_is_memstream
00007fff5dbb4ef7 (__TEXT,__text) non-external (was a private external) _xdr_is_recstream
00007fff5dbaf0bd (__TEXT,__text) non-external _xdr_pmapcallres
00007fff5dbafa67 (__TEXT,__text) non-external _xdr_rejected_reply
00007fff5dbaefa8 (__TEXT,__text) non-external _xdr_rmt3callres
00007fff5dbb591f (__TEXT,__text) external _xdr_vmbytes
00007fff5dbbdc26 (__TEXT,__text) non-external _xdr_vmbytes.cold.1
00007fff5dbbe6d8 (__TEXT,__const) non-external _xdr_zero
00007fff5dbb442c (__TEXT,__text) non-external _xdrmem_destroy
00007fff5dbb4367 (__TEXT,__text) non-external _xdrmem_getbytes
00007fff5dbb4432 (__TEXT,__text) non-external _xdrmem_getlong_aligned
00007fff5dbb4310 (__TEXT,__text) non-external _xdrmem_getlong_unaligned
00007fff5dbb43d3 (__TEXT,__text) non-external _xdrmem_getpos
00007fff5dbb427e (__TEXT,__text) non-external (was a private external) _xdrmem_getrecord
00007fff5dbb448c (__TEXT,__text) non-external _xdrmem_inline_aligned
00007fff5dbb4424 (__TEXT,__text) non-external _xdrmem_inline_unaligned
00007fff8b98d530 (__DATA_CONST,__const) non-external _xdrmem_ops_aligned
00007fff8b98d4e8 (__DATA_CONST,__const) non-external _xdrmem_ops_unaligned
00007fff5dbb43a0 (__TEXT,__text) non-external _xdrmem_putbytes
00007fff5dbb445f (__TEXT,__text) non-external _xdrmem_putlong_aligned
00007fff5dbb433d (__TEXT,__text) non-external _xdrmem_putlong_unaligned
00007fff5dbb43f1 (__TEXT,__text) non-external _xdrmem_setpos
00007fff5dbb478f (__TEXT,__text) non-external _xdrrec_destroy
00007fff5dbb4574 (__TEXT,__text) non-external _xdrrec_getbytes
00007fff5dbb44ad (__TEXT,__text) non-external _xdrrec_getlong
00007fff5dbb466f (__TEXT,__text) non-external _xdrrec_getpos
00007fff5dbb4da7 (__TEXT,__text) non-external (was a private external) _xdrrec_getrecord
00007fff5dbb4744 (__TEXT,__text) non-external _xdrrec_inline
00007fff5dbb4952 (__TEXT,__text) non-external (was a private external) _xdrrec_isrecordstart
00007fff5dbbda04 (__TEXT,__text) non-external _xdrrec_isrecordstart.cold.1
00007fff8b98d578 (__DATA_CONST,__const) non-external (was a private external) _xdrrec_ops
00007fff5dbb45e9 (__TEXT,__text) non-external _xdrrec_putbytes
00007fff5dbb450e (__TEXT,__text) non-external _xdrrec_putlong
00007fff5dbb46c2 (__TEXT,__text) non-external _xdrrec_setpos
00007fff5dbb534d (__TEXT,__text) non-external _xdrstdio_destroy
00007fff5dbb52ac (__TEXT,__text) non-external _xdrstdio_getbytes
00007fff5dbb5235 (__TEXT,__text) non-external _xdrstdio_getlong
00007fff5dbb530c (__TEXT,__text) non-external _xdrstdio_getpos
00007fff5dbb5345 (__TEXT,__text) non-external _xdrstdio_inline
00007fff8b98d5c0 (__DATA_CONST,__const) non-external _xdrstdio_ops
00007fff5dbb52dc (__TEXT,__text) non-external _xdrstdio_putbytes
00007fff5dbb5273 (__TEXT,__text) non-external _xdrstdio_putlong
00007fff5dbb532d (__TEXT,__text) non-external _xdrstdio_setpos
00007fff5dbb2a16 (__TEXT,__text) non-external (was a private external) _xprt_ref
00007fff5dbb2a5f (__TEXT,__text) non-external (was a private external) _xprt_unref
                 (undefined) external dyld_stub_binder (from libSystem)
