00007ffb18b8652c (__TEXT,__text) non-external _Done_iODBC
00007ffb4099dbb0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffb4099d3b0 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffb4099d380 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffb4099dbd0 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffb4099cf40 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffb4099cf70 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffb4099dc30 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffb4099dc50 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffb4099dc80 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffb4099dcb0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffb4099dd20 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffb4099dd60 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffb4099dde0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffb4099de40 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffb4099dec0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffb4099def0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffb4099df40 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffb4099dc00 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffb4099df70 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffb4099d3d0 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffb4099cfa0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffb4099d3f0 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffb4099d070 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffb4099d090 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffb4099d140 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffb4099d470 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffb4099d420 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffb4099cd70 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffb18b9d8cb (__TEXT,__text) non-external __trace_bufferlen
00007ffb18b9d0ea (__TEXT,__text) non-external __trace_c_type
00007ffb18b9a5c0 (__TEXT,__text) non-external __trace_colattr2_type
00007ffb18b9a8c9 (__TEXT,__text) non-external __trace_colattr3_data
00007ffb18b9a5fb (__TEXT,__text) non-external __trace_colattr3_type
00007ffb18b96e04 (__TEXT,__text) non-external __trace_connattr_type
00007ffb18b9dba8 (__TEXT,__text) non-external __trace_connopt_type
00007ffb18b9f8df (__TEXT,__text) non-external __trace_connstr
00007ffb18b9fb6a (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffb18b9fac9 (__TEXT,__text) non-external __trace_connstr_w
00007ffb18b9ebf8 (__TEXT,__text) non-external __trace_data
00007ffb18b9708c (__TEXT,__text) non-external __trace_desc_null
00007ffb18b99f94 (__TEXT,__text) non-external __trace_descfield_type
00007ffb18b9e93c (__TEXT,__text) non-external __trace_diag_type
00007ffb18b9bd94 (__TEXT,__text) non-external __trace_direction
00007ffb18b9f9ab (__TEXT,__text) non-external __trace_drvcn_completion
00007ffb18b9795b (__TEXT,__text) non-external __trace_envattr_type
00007ffb18b97fc8 (__TEXT,__text) non-external __trace_fetchtype
00007ffb18ba0010 (__TEXT,__text) non-external __trace_freestmt_option
00007ffb18b9b569 (__TEXT,__text) non-external __trace_func_name
00007ffb18b9b4bc (__TEXT,__text) non-external __trace_func_result
00007ffb18b981b5 (__TEXT,__text) non-external __trace_getinfo
00007ffb18b9cc2c (__TEXT,__text) non-external __trace_handle
00007ffb18b9cbc7 (__TEXT,__text) non-external __trace_handle_p
00007ffb18b9cb8c (__TEXT,__text) non-external __trace_handletype
00007ffb18b9d3f4 (__TEXT,__text) non-external __trace_inouttype
00007ffb18b9cc9e (__TEXT,__text) non-external __trace_integer
00007ffb18b9cdb6 (__TEXT,__text) non-external __trace_integer_p
00007ffb18b9ce8f (__TEXT,__text) non-external __trace_len
00007ffb18b9cec9 (__TEXT,__text) non-external __trace_len_p
00007ffb18b9ccd7 (__TEXT,__text) non-external __trace_pointer
00007ffb18b9c9fc (__TEXT,__text) non-external __trace_print_function
00007ffb18b98095 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffb18b97e9b (__TEXT,__text) non-external __trace_setpos_irow
00007ffb18b97ef2 (__TEXT,__text) non-external __trace_setpos_lock
00007ffb18b97eb7 (__TEXT,__text) non-external __trace_setpos_oper
00007ffb18b9cc65 (__TEXT,__text) non-external __trace_smallint
00007ffb18b9cd0f (__TEXT,__text) non-external __trace_smallint_p
00007ffb18b97b7e (__TEXT,__text) non-external __trace_spcols_null
00007ffb18b97b43 (__TEXT,__text) non-external __trace_spcols_scope
00007ffb18b97b02 (__TEXT,__text) non-external __trace_spcols_type
00007ffb18b9d810 (__TEXT,__text) non-external __trace_sql_subtype
00007ffb18b9d42f (__TEXT,__text) non-external __trace_sql_type
00007ffb18b9d604 (__TEXT,__text) non-external __trace_sql_type_p
00007ffb18b9fd53 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffb18b9fd14 (__TEXT,__text) non-external __trace_stats_unique
00007ffb18b9de8c (__TEXT,__text) non-external __trace_stmtattr_type
00007ffb18b9e63c (__TEXT,__text) non-external __trace_stmtopt_type
00007ffb18b9cf6f (__TEXT,__text) non-external __trace_string
00007ffb18b9d018 (__TEXT,__text) non-external __trace_string_w
00007ffb18b9ce5b (__TEXT,__text) non-external __trace_stringlen
00007ffb4099e070 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffb18b9f325 (__TEXT,__text) non-external __trace_tran_completion
00007ffb18b9f5c0 (__TEXT,__text) non-external __trace_typeinfo
00007ffb18b9ccbb (__TEXT,__text) non-external __trace_uinteger
00007ffb18b9ce09 (__TEXT,__text) non-external __trace_uinteger_p
00007ffb18b9ceac (__TEXT,__text) non-external __trace_ulen
00007ffb18b9cf1c (__TEXT,__text) non-external __trace_ulen_p
00007ffb18b9cc82 (__TEXT,__text) non-external __trace_usmallint
00007ffb18b9cd63 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffb4302f5c2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffb18ba0e66 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffb18ba1375 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffb18ba0e01 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffb18ba10af (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffb18ba0ecf (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffb18ba1563 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffb18ba0f74 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffb18ba1016 (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffb18ba1064 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffb18ba2a75 (__TEXT,__text) non-external _do_create_dsns
00007ffb4302f580 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffb4302f560 (__DATA,__common) non-external _ierror
00007ffb18ba2b9a (__TEXT,__text) non-external _install_from_ini
00007ffb18ba3065 (__TEXT,__text) non-external _install_from_string
00007ffb4302efc0 (__DATA,__data) external _iodbc_version
00007ffb4302f4a0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffb4302f4e8 (__DATA,__data) non-external _numerrors
00007ffb4302efd0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffb4302f4f0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffb18ba320c (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffb4099c1d0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffb4302f530 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffb18b99983 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffb18b9db15 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffb18b9a450 (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffb18b9bce7 (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffb18b9a3b6 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffb18b9ae32 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffb18b9d99b (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffb18b9da58 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffb18b97aa4 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffb18b9eb83 (__TEXT,__text) non-external _trace_SQLCancel
00007ffb18b9bd6a (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffb18b9a834 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffb18b9ac0c (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffb18b9aca4 (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffb18b9ad51 (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffb18b9e762 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffb18b9e84e (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffb18b99a44 (__TEXT,__text) non-external _trace_SQLColumns
00007ffb18b99b30 (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffb18b9e1b4 (__TEXT,__text) non-external _trace_SQLConnect
00007ffb18b9e26f (__TEXT,__text) non-external _trace_SQLConnectW
00007ffb18b97f8f (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffb18b9bdf8 (__TEXT,__text) non-external _trace_SQLDataSources
00007ffb18b9bed8 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffb18b970fa (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffb18b971e4 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffb18b9e6bf (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffb18b9bd40 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffb18b9f7fc (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffb18b9f9e6 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffb18b9b094 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffb18b9b174 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffb18b99940 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffb18b97500 (__TEXT,__text) non-external _trace_SQLError
00007ffb18b975e7 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffb18b9bb37 (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffb18b9bb94 (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffb18b97ad8 (__TEXT,__text) non-external _trace_SQLExecute
00007ffb18b98007 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffb18b9c073 (__TEXT,__text) non-external _trace_SQLFetch
00007ffb18b9db5f (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffb18b9e32a (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffb18b9e474 (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffb18b9e612 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffb18b97e71 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffb18b99911 (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffb18ba0048 (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffb18b96f7c (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffb18b97004 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffb18b9dd6c (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffb18b9ddb4 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffb18b9a4b7 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffb18b9a53b (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffb18b9f250 (__TEXT,__text) non-external _trace_SQLGetData
00007ffb18b9a288 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffb18b9a31f (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffb18b972ce (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffb18b973e7 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffb18b9ea50 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffb18b9eaf6 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffb18b977a1 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffb18b97880 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffb18b979c8 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffb18b9bae4 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffb18b98128 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffb18b99664 (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffb18b9e0c0 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffb18b9e148 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffb18b9e677 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffb18b9f794 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffb18b9f7c8 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffb18b9f2fb (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffb18b99dfc (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffb18b99ec8 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffb18b99c1c (__TEXT,__text) non-external _trace_SQLNumParams
00007ffb18b9e5be (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffb18b9adfe (__TEXT,__text) non-external _trace_SQLParamData
00007ffb18b999dc (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffb18ba007c (__TEXT,__text) non-external _trace_SQLPrepare
00007ffb18ba00d9 (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffb18b9b254 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffb18b9b31a (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffb18b996f1 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffb18b997dd (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffb18b9af08 (__TEXT,__text) non-external _trace_SQLProcedures
00007ffb18b9afce (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffb18b9ebad (__TEXT,__text) non-external _trace_SQLPutData
00007ffb18b97a50 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffb18b9fc70 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffb18b9fcc2 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffb18b9ddfc (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffb18b9de44 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffb18b9bfbb (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffb18b9c017 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffb18b976d3 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffb18b9773a (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffb18b9b3e0 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffb18b9bbf1 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffb18b97f2d (__TEXT,__text) non-external _trace_SQLSetPos
00007ffb18b980d4 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffb18b9bc43 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffb18b9bc95 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffb18b998c9 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffb18b97bbd (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffb18b97d17 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffb18b9fd92 (__TEXT,__text) non-external _trace_SQLStatistics
00007ffb18b9fed1 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffb18b99c70 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffb18b99d36 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffb18b9f3e5 (__TEXT,__text) non-external _trace_SQLTables
00007ffb18b9f4d1 (__TEXT,__text) non-external _trace_SQLTablesW
00007ffb18b9f365 (__TEXT,__text) non-external _trace_SQLTransact
00007ffb4302f520 (__DATA,__bss) non-external _trace_appname
00007ffb18b9c588 (__TEXT,__text) non-external _trace_emit
00007ffb18b9c881 (__TEXT,__text) non-external _trace_emit_binary
00007ffb18b9c679 (__TEXT,__text) non-external _trace_emit_string
00007ffb18b9c653 (__TEXT,__text) non-external _trace_emitc
00007ffb4302f528 (__DATA,__bss) non-external _trace_fname
00007ffb4302f540 (__DATA,__bss) non-external _trace_fp
00007ffb4302f548 (__DATA,__bss) non-external _trace_fp_close
00007ffb18b9c0d0 (__TEXT,__text) non-external _trace_get_filename
00007ffb18b9c0a0 (__TEXT,__text) non-external _trace_set_appname
00007ffb18b9c0e1 (__TEXT,__text) non-external _trace_set_filename
00007ffb18b9c35f (__TEXT,__text) non-external _trace_start
00007ffb18b9c4e8 (__TEXT,__text) non-external _trace_stop
00007ffb18b9c30c (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffb18ba150f (__TEXT,__text) non-external _utf8_len
00007ffb18ba15e1 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffb4302f5c0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
