000000019057d26c (__TEXT,__text) non-external _Annihilate
000000019059291c (__TEXT,__text) non-external (was a private external) _get_format_components
0000000190592980 (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
0000000190592c64 (__TEXT,__text) non-external _get_format_plane_count
000000019059299c (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
0000000190588870 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00000001905888b4 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
0000000190598544 (__TEXT,__text) non-external (was a private external) _get_real_time
00000001905888e4 (__TEXT,__text) non-external (was a private external) _get_slice_height
00000001905888c8 (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
0000000190592ccc (__TEXT,__text) non-external _header_fetch_from_payload
00000001905bb3c8 (__TEXT,__text) non-external _init_block
00000001905ba5dc (__TEXT,__text) non-external _init_quantization_lut
00000001905929b0 (__TEXT,__text) non-external (was a private external) _is_format_invalid
00000001905928c4 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
000000019059331c (__TEXT,__text) non-external _is_image_valid
0000000190582530 (__TEXT,__text) non-external (was a private external) _join_thread
00000001905e3f98 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00000001905c5748 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00000001905c57a8 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001e63b3488 (__DATA_CONST,__const) non-external _kBrotliDictionary
00000001905c5fa8 (__TEXT,__const) non-external _kBrotliDictionaryData
00000001905c5688 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00000001905c56e8 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
0000000190623758 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00000001905e5cc0 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001e63b3670 (__DATA_CONST,__const) non-external _kBrotliTransforms
00000001905c5d88 (__TEXT,__const) non-external _kCmdHistoSeed
00000001905e40a2 (__TEXT,__const) non-external _kCmdLut
0000000190617654 (__TEXT,__const) non-external _kCodeLengthBits
00000001905e4070 (__TEXT,__const) non-external _kCodeLengthCodeOrder
0000000190617640 (__TEXT,__const) non-external _kCodeLengthDepth
00000001905e4082 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00000001905e4092 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00000001905e5b80 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00000001905e5b40 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00000001905e61dc (__TEXT,__const) non-external _kDistanceCacheIndex
00000001905e621c (__TEXT,__const) non-external _kDistanceCacheOffset
00000001905e5a8c (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00000001905e5a78 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00000001905e5af0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00000001905e5adc (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00000001906181a0 (__TEXT,__const) non-external _kNonZeroRepsBits
000000019061769c (__TEXT,__const) non-external _kNonZeroRepsDepth
0000000190615284 (__TEXT,__const) non-external _kPrefixSuffix
000000019061535e (__TEXT,__const) non-external _kPrefixSuffixMap
0000000190619a60 (__TEXT,__const) non-external _kStaticCommandCodeBits
00000001906197a0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00000001905e6320 (__TEXT,__const) non-external _kStaticDictionaryBuckets
0000000190633f66 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
0000000190623f66 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00000001905f6320 (__TEXT,__const) non-external _kStaticDictionaryWords
000000019061a020 (__TEXT,__const) non-external _kStaticDistanceCodeBits
0000000190619fe0 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00000001906153c2 (__TEXT,__const) non-external _kTransformsData
0000000190616040 (__TEXT,__const) non-external _kZeroRepsBits
0000000190615540 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
000000019056a5cc (__TEXT,__text) non-external _longest_match
000000019061ee3c (__TEXT,__const) non-external (was a private external) _lut_rle
00000001905821ec (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
0000000190590400 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00000001905903f4 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
000000019056ff10 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000019056fb00 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000019056f91c (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00000001905702a0 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000019057180c (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
000000019056be5c (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00000001905a1de0 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00000001905a1de0 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00000001905a1de0 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00000001905a1dac (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00000001905a16f4 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00000001905a17ac (__TEXT,__text) non-external (was a private external) _lz4_stream_process
0000000190590b60 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
0000000190590a5c (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00000001905877ec (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
000000019059e560 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
000000019059d27c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle_unsafe
000000019059e5d0 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
000000019059b26c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
000000019059e594 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
000000019059d180 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle_unsafe
000000019059e5d8 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
000000019059b13c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
0000000190597eb4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
000000019059e4d4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
000000019058975c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
000000019059e508 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
000000019059e544 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
000000019058973c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
000000019061fe80 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
000000019059b190 (__TEXT,__text) non-external _lzbitmap_init_encode_state
000000019061f680 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
000000019059b3ac (__TEXT,__text) non-external _lzbitmap_process_block
000000019059e5f4 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
0000000190620e80 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
000000019061ee80 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00000001905bedf4 (__TEXT,__text) non-external _lzfseBackendMatch
000000019056c3e4 (__TEXT,__text) non-external (was a private external) _lzfseDecode
00000001905700c8 (__TEXT,__text) non-external _lzfseDecodeV1
00000001905beaf0 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00000001905bee54 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00000001905be96c (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00000001905be9c4 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00000001905bf1f0 (__TEXT,__text) non-external _lzfseEncodeMatches
00000001905be994 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00000001905bea70 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00000001905bef00 (__TEXT,__text) non-external _lzfsePushMatch
000000019056c120 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
000000019056c048 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
0000000190597ea8 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00000001905b24b4 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00000001905b241c (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00000001905b23fc (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
000000019056d808 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
0000000190591978 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
0000000190591770 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
0000000190591970 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00000001905709a0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
00000001905706f0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
0000000190592508 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001eebf4808 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
000000019056d44c (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00000001905a52e8 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00000001905a52a8 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00000001905e5c80 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00000001905e5ca0 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
000000019056be5c (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
000000019058feb4 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
000000019058feb0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
000000019058fe84 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
000000019058fe20 (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
000000019056c01c (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
000000019056c0fc (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
00000001905c35bc (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
00000001905985dc (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
00000001905c1ad4 (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
000000019059d0d4 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
000000019056d8ac (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
000000019059d130 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
000000019056d8ac (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
00000001905e6090 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
000000019056bfe4 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00000001905c1480 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
0000000190623f60 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
000000019056be8c (__TEXT,__text) non-external (was a private external) _lzma_stream_init
000000019056bf30 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00000001905c1080 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
00000001905c13b8 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
000000019056ce6c (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001eebf4008 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
000000019059d7ac (__TEXT,__text) non-external (was a private external) _lzvnEncode
000000019059d750 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
000000019057dabc (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
000000019057da20 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
000000019057da14 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
0000000190581b5c (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
0000000190581aa4 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
0000000190581a84 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
000000019056d8c0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
000000019056d8ac (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
000000019059e1c8 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
000000019059e210 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
000000019059e1b4 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
000000019056be5c (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
000000019059d0d0 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
000000019059d0cc (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
000000019059d0a0 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
000000019059d064 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
000000019059d014 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
000000019059d040 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00000001905a4990 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00000001905a4984 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00000001905b9a5c (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
0000000190577bc8 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
0000000190577608 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00000001905777d0 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00000001905778dc (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
000000019058a75c (__TEXT,__text) non-external (was a private external) _pal_decode_buffer
000000019058a754 (__TEXT,__text) non-external (was a private external) _pal_decode_scratch_size
000000019058b67c (__TEXT,__text) non-external (was a private external) _pal_encode_buffer
000000019058b644 (__TEXT,__text) non-external (was a private external) _pal_encode_scratch_size
00000001905984a8 (__TEXT,__text) non-external (was a private external) _parse_size
000000019061a2e4 (__TEXT,__const) non-external _position_slot_base_position
000000019061a26c (__TEXT,__const) non-external _position_slot_extra_bits
000000019056b1b8 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _read (from libSystem)
000000019056f180 (__TEXT,__text) non-external _readHuffmanTable
00000001905983d8 (__TEXT,__text) non-external (was a private external) _read_expected
00000001905688f0 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
000000019056b29c (__TEXT,__text) non-external _scan_tree
000000019056b3a0 (__TEXT,__text) non-external _send_tree
000000019059e4a4 (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
000000019059e42c (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
000000019059e43c (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
000000019059e400 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
00000001905a1dec (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
00000001905a1fc8 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
0000000190593958 (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
0000000190593e64 (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
00000001905882fc (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
0000000190588500 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat (from libSystem)
00000001e9e9fd60 (__DATA,__data) non-external _static_bl_desc
00000001e9e9fd40 (__DATA,__data) non-external _static_d_desc
0000000190622608 (__TEXT,__const) non-external _static_dtree
00000001e9e9fd20 (__DATA,__data) non-external _static_l_desc
0000000190622188 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001e9e9fd00 (__DATA,__data) non-external (was a private external) _tc_quant16
000000019057d748 (__TEXT,__text) non-external (was a private external) _thread_pool_create
000000019057d950 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
000000019057d878 (__TEXT,__text) non-external _thread_pool_entry
000000019057d5b8 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
000000019057d6b0 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
00000001905b98b8 (__TEXT,__text) external _touchpadCodecCreate
000000019057dd00 (__TEXT,__text) external _touchpadCodecDecodeImage
00000001905b99e8 (__TEXT,__text) external _touchpadCodecDestroy
00000001905c1498 (__TEXT,__text) external _touchpadCodecEncodeImage
00000001905b9054 (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
0000000190598440 (__TEXT,__text) non-external (was a private external) _write_expected
0000000190623712 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
000000019062370c (__TEXT,__const) non-external (was a private external) _xz_header_magic
00000001905c1410 (__TEXT,__text) non-external _xz_read_multi_byte
00000001905c13c0 (__TEXT,__text) non-external _xz_simple_crc32
00000001905b291c (__TEXT,__text) external _yzip_codec_create
00000001905b2958 (__TEXT,__text) external _yzip_codec_destroy
0000000190592b20 (__TEXT,__text) external _yzip_image_create
0000000190592c84 (__TEXT,__text) external _yzip_image_create_with_payload
00000001905934dc (__TEXT,__text) external _yzip_image_decode
0000000190592e1c (__TEXT,__text) external _yzip_image_destroy
0000000190592e20 (__TEXT,__text) external _yzip_image_encode
00000001905936d0 (__TEXT,__text) external _yzip_image_get_descriptor
000000019059378c (__TEXT,__text) external _yzip_image_get_max_payload_size
000000019059373c (__TEXT,__text) external _yzip_image_get_plane_descriptor
0000000190593814 (__TEXT,__text) external _yzip_image_set_data
000000019059394c (__TEXT,__text) external _yzip_image_set_identifier
0000000190593884 (__TEXT,__text) external _yzip_image_set_plane_data
0000000190588c70 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
0000000190588b80 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
0000000190588970 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00000001905896b8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
000000019058911c (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00000001905895e0 (__TEXT,__text) non-external _yzip_jobs_process
0000000190588900 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00000001905badb0 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00000001905b9e2c (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
00000001905b9d40 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
00000001905b9e98 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00000001905ba6fc (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00000001905717f4 (__TEXT,__text) non-external (was a private external) _zError
00000001e63b3438 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
0000000190568cb8 (__TEXT,__text) non-external (was a private external) _zcalloc
000000019056bdd8 (__TEXT,__text) non-external (was a private external) _zcfree
0000000190570e88 (__TEXT,__text) external _zero_coder_decode
0000000190570f88 (__TEXT,__text) external _zero_coder_encode
00000001905710cc (__TEXT,__text) non-external _zero_coder_init_luts
00000001e9e9ff00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001e9ea0000 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001e9ea0800 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001e9e9fe00 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
00000001905717ec (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
000000019056de60 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
000000019056e780 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
000000019061a11c (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
000000019061a0e0 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00000001905717e0 (__TEXT,__text) non-external (was a private external) _zlibVersion
00000001905a47ec (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00000001905a47e0 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
000000019057e264 (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
000000019057e258 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
000000019059e3fc (__TEXT,__text) non-external (was a private external) _zlib_free
000000019059e3d0 (__TEXT,__text) non-external (was a private external) _zlib_malloc
000000019056be5c (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00000001905a495c (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
000000019056d8ac (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00000001905a4968 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00000001905a4954 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
0000000190568840 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00000001905690bc (__TEXT,__text) non-external (was a private external) _zlib_stream_process
0000000190570e60 (__TEXT,__text) non-external vec_table
