00007ff812dc8a6d (__TEXT,__text) external _CCAESCmac
                 (undefined) external _ccckg_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_share (from libcorecrypto)
                 (undefined) external _cccmac_final_generate (from libcorecrypto)
                 (undefined) external _cccmac_init (from libcorecrypto)
                 (undefined) external _cccmac_one_shot_generate (from libcorecrypto)
                 (undefined) external _cccmac_update (from libcorecrypto)
00007ff8416bc310 (__DATA_CONST,__const) non-external (was a private external) _ccconversionTable
00007ff8416bc8c0 (__DATA_CONST,__const) non-external (was a private external) _ccctr_mode
00007ff812dccb34 (__TEXT,__text) non-external _ccctr_mode_crypt
00007ff812dccb0e (__TEXT,__text) non-external _ccctr_mode_get_block_size
00007ff812dccb05 (__TEXT,__text) non-external _ccctr_mode_get_ctx_size
00007ff812dccb18 (__TEXT,__text) non-external _ccctr_mode_setup
00007ff812dccb58 (__TEXT,__text) non-external _ccctr_setiv
00007ff812dccf0e (__TEXT,__text) non-external _cccts3_decrypt_pad
00007ff812dccede (__TEXT,__text) non-external _cccts3_encrypt_pad
00007ff8416bca90 (__DATA_CONST,__const) non-external (was a private external) _cccts3_pad
00007ff812dccf3e (__TEXT,__text) non-external _cccts3_padlen
00007ff812dccfaf (__TEXT,__text) non-external _cccts3_reserve
                 (undefined) external _ccdes3_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cbc_cksum (from libcorecrypto)
                 (undefined) external _ccdes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_key_is_weak (from libcorecrypto)
                 (undefined) external _ccdes_key_set_odd_parity (from libcorecrypto)
                 (undefined) external _ccdes_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdh_ccn_size (from libcorecrypto)
                 (undefined) external _ccdh_compute_shared_secret (from libcorecrypto)
                 (undefined) external _ccdh_ctx_init (from libcorecrypto)
                 (undefined) external _ccdh_ctx_public (from libcorecrypto)
                 (undefined) external _ccdh_export_pub (from libcorecrypto)
                 (undefined) external _ccdh_export_pub_size (from libcorecrypto)
                 (undefined) external _ccdh_generate_key (from libcorecrypto)
                 (undefined) external _ccdh_gp_rfc3526group05 (from libcorecrypto)
                 (undefined) external _ccdh_import_pub (from libcorecrypto)
                 (undefined) external _ccdigest (from libcorecrypto)
00007ff812dc4397 (__TEXT,__text) non-external _ccdigest_finalize
                 (undefined) external _ccdigest_init (from libcorecrypto)
00007ff812dc4275 (__TEXT,__text) non-external _ccdigest_process
                 (undefined) external _ccdigest_update (from libcorecrypto)
                 (undefined) external _ccec_blind (from libcorecrypto)
                 (undefined) external _ccec_compact_export_pub (from libcorecrypto)
                 (undefined) external _ccec_compact_import_pub (from libcorecrypto)
                 (undefined) external _ccec_compact_import_pub_size (from libcorecrypto)
                 (undefined) external _ccec_cp_256 (from libcorecrypto)
                 (undefined) external _ccec_cp_384 (from libcorecrypto)
                 (undefined) external _ccec_cp_521 (from libcorecrypto)
                 (undefined) external _ccec_diversify_min_entropy_len (from libcorecrypto)
                 (undefined) external _ccec_diversify_priv_twin (from libcorecrypto)
                 (undefined) external _ccec_diversify_pub_twin (from libcorecrypto)
                 (undefined) external _ccec_generate_blinding_keys (from libcorecrypto)
                 (undefined) external _ccec_generate_key (from libcorecrypto)
                 (undefined) external _ccec_get_cp (from libcorecrypto)
                 (undefined) external _ccec_get_fullkey_components (from libcorecrypto)
                 (undefined) external _ccec_get_pubkey_components (from libcorecrypto)
                 (undefined) external _ccec_keysize_is_supported (from libcorecrypto)
                 (undefined) external _ccec_make_pub (from libcorecrypto)
                 (undefined) external _ccec_sign (from libcorecrypto)
                 (undefined) external _ccec_unblind (from libcorecrypto)
                 (undefined) external _ccec_verify (from libcorecrypto)
                 (undefined) external _ccec_x963_export (from libcorecrypto)
                 (undefined) external _ccec_x963_import_priv (from libcorecrypto)
                 (undefined) external _ccec_x963_import_priv_size (from libcorecrypto)
                 (undefined) external _ccec_x963_import_pub (from libcorecrypto)
                 (undefined) external _ccec_x963_import_pub_size (from libcorecrypto)
00007ff8416bc780 (__DATA_CONST,__const) non-external (was a private external) _ccecb_mode
00007ff812dcca11 (__TEXT,__text) non-external _ccecb_mode_crypt
00007ff812dcc9ee (__TEXT,__text) non-external _ccecb_mode_get_block_size
00007ff812dcc9e5 (__TEXT,__text) non-external _ccecb_mode_get_ctx_size
00007ff812dcc9f8 (__TEXT,__text) non-external _ccecb_mode_setup
                 (undefined) external _ccecdh_compute_shared_secret (from libcorecrypto)
                 (undefined) external _ccgcm_aad (from libcorecrypto)
                 (undefined) external _ccgcm_finalize (from libcorecrypto)
00007ff8416bc9b0 (__DATA_CONST,__const) non-external (was a private external) _ccgcm_mode
00007ff812dccd58 (__TEXT,__text) non-external _ccgcm_mode_crypt
00007ff812dccd45 (__TEXT,__text) non-external _ccgcm_mode_get_block_size
00007ff812dc548c (__TEXT,__text) non-external _ccgcm_mode_get_ctx_size
00007ff812dc549f (__TEXT,__text) non-external _ccgcm_mode_setup
                 (undefined) external _ccgcm_one_shot (from libcorecrypto)
                 (undefined) external _ccgcm_reset (from libcorecrypto)
                 (undefined) external _ccgcm_set_iv (from libcorecrypto)
                 (undefined) external _ccgcm_set_iv_legacy (from libcorecrypto)
00007ff812dccd73 (__TEXT,__text) non-external _ccgcm_setiv
                 (undefined) external _ccgcm_update (from libcorecrypto)
                 (undefined) external _cch2c (from libcorecrypto)
                 (undefined) external _cch2c_p256_sha256_sswu_ro_info (from libcorecrypto)
                 (undefined) external _cch2c_p384_sha512_sswu_ro_info (from libcorecrypto)
                 (undefined) external _cch2c_p521_sha512_sswu_ro_info (from libcorecrypto)
                 (undefined) external _cchkdf (from libcorecrypto)
                 (undefined) external _cchkdf_expand (from libcorecrypto)
                 (undefined) external _cchkdf_extract (from libcorecrypto)
                 (undefined) external _cchmac (from libcorecrypto)
                 (undefined) external _cchmac_final (from libcorecrypto)
                 (undefined) external _cchmac_init (from libcorecrypto)
                 (undefined) external _cchmac_update (from libcorecrypto)
                 (undefined) external _ccmd2_ltc_di (from libcorecrypto)
                 (undefined) external _ccmd4_ltc_di (from libcorecrypto)
                 (undefined) external _ccmd5_di (from libcorecrypto)
00007ff8416bc390 (__DATA_CONST,__const) non-external (was a private external) _ccmodeList
                 (undefined) external _ccn_bitlen (from libcorecrypto)
                 (undefined) external _ccn_cmpn (from libcorecrypto)
                 (undefined) external _ccn_read_uint (from libcorecrypto)
                 (undefined) external _ccn_write_int (from libcorecrypto)
                 (undefined) external _ccn_write_int_size (from libcorecrypto)
                 (undefined) external _ccn_write_uint (from libcorecrypto)
                 (undefined) external _ccn_write_uint_padded (from libcorecrypto)
                 (undefined) external _ccn_write_uint_size (from libcorecrypto)
                 (undefined) external _ccnistkdf_ctr_hmac (from libcorecrypto)
                 (undefined) external _ccnistkdf_ctr_hmac_fixed (from libcorecrypto)
00007ff812dc6da6 (__TEXT,__text) non-external _ccnopad_decrypt_pad
00007ff812dc634e (__TEXT,__text) non-external _ccnopad_encrypt_pad
00007ff8416bcab0 (__DATA_CONST,__const) non-external (was a private external) _ccnopad_pad
00007ff812dc617e (__TEXT,__text) non-external _ccnopad_padlen
00007ff812dc61a5 (__TEXT,__text) non-external _ccnopad_reserve
00007ff8416bc910 (__DATA_CONST,__const) non-external (was a private external) _ccofb_mode
00007ff812dccba8 (__TEXT,__text) non-external _ccofb_mode_crypt
00007ff812dccb82 (__TEXT,__text) non-external _ccofb_mode_get_block_size
00007ff812dccb79 (__TEXT,__text) non-external _ccofb_mode_get_ctx_size
00007ff812dccb8c (__TEXT,__text) non-external _ccofb_mode_setup
                 (undefined) external _ccpad_cts3_decrypt (from libcorecrypto)
                 (undefined) external _ccpad_cts3_encrypt (from libcorecrypto)
                 (undefined) external _ccpad_pkcs7_decrypt (from libcorecrypto)
                 (undefined) external _ccpad_pkcs7_ecb_decrypt (from libcorecrypto)
                 (undefined) external _ccpad_pkcs7_ecb_encrypt (from libcorecrypto)
                 (undefined) external _ccpad_pkcs7_encrypt (from libcorecrypto)
                 (undefined) external _ccpad_xts_decrypt (from libcorecrypto)
                 (undefined) external _ccpad_xts_encrypt (from libcorecrypto)
                 (undefined) external _ccpbkdf2_hmac (from libcorecrypto)
00007ff812dcceb7 (__TEXT,__text) non-external _ccpkcs7_decrypt_ecb_pad
00007ff812dc6dcc (__TEXT,__text) non-external _ccpkcs7_decrypt_pad
00007ff8416bca70 (__DATA_CONST,__const) non-external (was a private external) _ccpkcs7_ecb_pad
00007ff812dcce7b (__TEXT,__text) non-external _ccpkcs7_encrypt_ecb_pad
00007ff812dcce29 (__TEXT,__text) non-external _ccpkcs7_encrypt_pad
00007ff8416bca50 (__DATA_CONST,__const) non-external (was a private external) _ccpkcs7_pad
00007ff812dc5cdd (__TEXT,__text) non-external _ccpkcs7_padlen
00007ff812dc5d58 (__TEXT,__text) non-external _ccpkcs7_reserve
                 (undefined) external _ccrc2_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccrc2_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccrc2_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccrc2_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccrc2_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccrc2_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccrc2_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccrc2_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccrc2_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccrc2_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccrc4_eay (from libcorecrypto)
                 (undefined) external _ccrmd160_ltc_di (from libcorecrypto)
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
                 (undefined) external _ccrsa_ctx_private_zp (from libcorecrypto)
                 (undefined) external _ccrsa_ctx_public (from libcorecrypto)
                 (undefined) external _ccrsa_decrypt_eme_pkcs1v15 (from libcorecrypto)
                 (undefined) external _ccrsa_decrypt_oaep (from libcorecrypto)
                 (undefined) external _ccrsa_encrypt_eme_pkcs1v15 (from libcorecrypto)
                 (undefined) external _ccrsa_encrypt_oaep (from libcorecrypto)
                 (undefined) external _ccrsa_export_priv (from libcorecrypto)
                 (undefined) external _ccrsa_export_priv_size (from libcorecrypto)
                 (undefined) external _ccrsa_export_pub (from libcorecrypto)
                 (undefined) external _ccrsa_export_pub_size (from libcorecrypto)
                 (undefined) external _ccrsa_generate_fips186_key (from libcorecrypto)
                 (undefined) external _ccrsa_get_fullkey_components (from libcorecrypto)
                 (undefined) external _ccrsa_get_pubkey_components (from libcorecrypto)
                 (undefined) external _ccrsa_import_priv (from libcorecrypto)
                 (undefined) external _ccrsa_import_priv_n (from libcorecrypto)
                 (undefined) external _ccrsa_import_pub (from libcorecrypto)
                 (undefined) external _ccrsa_import_pub_n (from libcorecrypto)
                 (undefined) external _ccrsa_init_pub (from libcorecrypto)
                 (undefined) external _ccrsa_make_priv (from libcorecrypto)
                 (undefined) external _ccrsa_make_pub (from libcorecrypto)
                 (undefined) external _ccrsa_priv_crypt (from libcorecrypto)
                 (undefined) external _ccrsa_pub_crypt (from libcorecrypto)
                 (undefined) external _ccrsa_recover_priv (from libcorecrypto)
                 (undefined) external _ccrsa_sign_pkcs1v15 (from libcorecrypto)
                 (undefined) external _ccrsa_sign_pss (from libcorecrypto)
                 (undefined) external _ccrsa_verify_pkcs1v15_digest (from libcorecrypto)
                 (undefined) external _ccrsa_verify_pss_digest (from libcorecrypto)
                 (undefined) external _ccsha1_di (from libcorecrypto)
                 (undefined) external _ccsha224_di (from libcorecrypto)
                 (undefined) external _ccsha256_di (from libcorecrypto)
                 (undefined) external _ccsha384_di (from libcorecrypto)
                 (undefined) external _ccsha3_224_di (from libcorecrypto)
                 (undefined) external _ccsha3_256_di (from libcorecrypto)
                 (undefined) external _ccsha3_384_di (from libcorecrypto)
                 (undefined) external _ccsha3_512_di (from libcorecrypto)
                 (undefined) external _ccsha512_di (from libcorecrypto)
                 (undefined) external _ccwrap_auth_decrypt_withiv (from libcorecrypto)
                 (undefined) external _ccwrap_auth_encrypt_withiv (from libcorecrypto)
                 (undefined) external _ccwrap_unwrapped_size (from libcorecrypto)
                 (undefined) external _ccwrap_wrapped_size (from libcorecrypto)
                 (undefined) external _ccxts_context_size (from libcorecrypto)
00007ff8416bc960 (__DATA_CONST,__const) non-external (was a private external) _ccxts_mode
00007ff812dccc9a (__TEXT,__text) non-external _ccxts_mode_decrypt_tweak
00007ff812dccbf8 (__TEXT,__text) non-external _ccxts_mode_encrypt_tweak
00007ff812dccbd5 (__TEXT,__text) non-external _ccxts_mode_get_block_size
00007ff812dccbcc (__TEXT,__text) non-external _ccxts_mode_get_ctx_size
00007ff812dccbdf (__TEXT,__text) non-external _ccxts_mode_setup
                 (undefined) external _ccz_add (from libcorecrypto)
                 (undefined) external _ccz_addi (from libcorecrypto)
                 (undefined) external _ccz_bitlen (from libcorecrypto)
00007ff843739338 (__DATA_DIRTY,__data) non-external _ccz_c
                 (undefined) external _ccz_cmp (from libcorecrypto)
                 (undefined) external _ccz_cmpi (from libcorecrypto)
                 (undefined) external _ccz_divmod (from libcorecrypto)
                 (undefined) external _ccz_expmod (from libcorecrypto)
                 (undefined) external _ccz_free (from libcorecrypto)
                 (undefined) external _ccz_init (from libcorecrypto)
                 (undefined) external _ccz_is_negative (from libcorecrypto)
                 (undefined) external _ccz_is_prime (from libcorecrypto)
                 (undefined) external _ccz_is_zero (from libcorecrypto)
                 (undefined) external _ccz_lsl (from libcorecrypto)
                 (undefined) external _ccz_lsr (from libcorecrypto)
                 (undefined) external _ccz_mod (from libcorecrypto)
                 (undefined) external _ccz_mul (from libcorecrypto)
                 (undefined) external _ccz_muli (from libcorecrypto)
                 (undefined) external _ccz_mulmod (from libcorecrypto)
                 (undefined) external _ccz_neg (from libcorecrypto)
                 (undefined) external _ccz_random_bits (from libcorecrypto)
                 (undefined) external _ccz_read_radix (from libcorecrypto)
                 (undefined) external _ccz_read_uint (from libcorecrypto)
                 (undefined) external _ccz_set (from libcorecrypto)
                 (undefined) external _ccz_seti (from libcorecrypto)
                 (undefined) external _ccz_size (from libcorecrypto)
                 (undefined) external _ccz_sub (from libcorecrypto)
                 (undefined) external _ccz_subi (from libcorecrypto)
                 (undefined) external _ccz_trailing_zeros (from libcorecrypto)
                 (undefined) external _ccz_write_int_size (from libcorecrypto)
                 (undefined) external _ccz_write_radix (from libcorecrypto)
                 (undefined) external _ccz_write_radix_size (from libcorecrypto)
                 (undefined) external _ccz_write_uint (from libcorecrypto)
                 (undefined) external _ccz_write_uint_size (from libcorecrypto)
                 (undefined) external _ccz_zero (from libcorecrypto)
                 (undefined) external _cczp_bitlen (from libcorecrypto)
                 (undefined) external _cczp_n (from libcorecrypto)
                 (undefined) external _cczp_prime (from libcorecrypto)
00007ff812dc8390 (__TEXT,__text) non-external (was a private external) _crc_normal_final
00007ff812dc827c (__TEXT,__text) non-external (was a private external) _crc_normal_init
00007ff812dc83bf (__TEXT,__text) non-external (was a private external) _crc_normal_oneshot
00007ff812dc82ae (__TEXT,__text) non-external (was a private external) _crc_normal_update
00007ff812dc8418 (__TEXT,__text) non-external (was a private external) _crc_reverse_final
00007ff812dc827c (__TEXT,__text) non-external (was a private external) _crc_reverse_init
00007ff812dc6eb5 (__TEXT,__text) non-external (was a private external) _crc_reverse_oneshot
00007ff812dc7282 (__TEXT,__text) non-external (was a private external) _crc_reverse_update
00007ff812dcd5d6 (__TEXT,__text) non-external _deCode
00007ff812dcd49c (__TEXT,__text) non-external _decodeLen
00007ff8416bcb98 (__DATA_CONST,__const) non-external (was a private external) _defaultBase16
00007ff8416bcb20 (__DATA_CONST,__const) non-external (was a private external) _defaultBase32
00007ff8416bcaf8 (__DATA_CONST,__const) non-external (was a private external) _defaultBase64
                 (undefined) external _dispatch_once_f (from libdispatch)
00007ff812dc80ec (__TEXT,__text) non-external (was a private external) _dump_crc_table
                 (undefined) external _dyld_program_sdk_at_least (from libdyld)
00007ff812dc69e0 (__TEXT,__text) non-external _enCode
00007ff812dc6986 (__TEXT,__text) non-external _encodeLen
00007ff812dcef70 (__TEXT,__const) non-external _encoderValue
                 (undefined) external _free (from libsystem_malloc)
00007ff812dc5568 (__TEXT,__text) non-external _gcm_update
00007ff812dc6f08 (__TEXT,__text) non-external (was a private external) _gen_std_crc_table
00007ff812dc52f8 (__TEXT,__text) non-external (was a private external) _getCipherMode
00007ff812dc6e6a (__TEXT,__text) non-external _getDesc
00007ff812dce026 (__TEXT,__text) non-external _getDesc.cold.1
00007ff8416bcb70 (__DATA_CONST,__const) non-external (was a private external) _hexBase32
00007ff812dc3ab5 (__TEXT,__text) non-external (was a private external) _init_globals
00007ff8416bc370 (__DATA_CONST,__const) external _kCCRandomDefault
00007ff8416bc378 (__DATA_CONST,__const) external _kCCRandomDevRandom
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memmove (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
00007ff812dc7760 (__TEXT,__text) non-external _noMode
                 (undefined) external _os_log_type_enabled (from libsystem_trace)
                 (undefined) external _printf (from libsystem_c)
                 (undefined) external _putchar (from libsystem_c)
                 (undefined) external _puts (from libsystem_c)
00007ff812dccfcd (__TEXT,__text) non-external _rc4ModeInit
00007ff812dccfe8 (__TEXT,__text) non-external _rc4crypt
00007ff8416bcad0 (__DATA_CONST,__const) non-external _rc4mode
00007ff8416bcb48 (__DATA_CONST,__const) non-external (was a private external) _recoveryBase32
00007ff812dc7223 (__TEXT,__text) non-external (was a private external) _reflect
00007ff812dc7210 (__TEXT,__text) non-external (was a private external) _reflect_byte
00007ff812dced40 (__TEXT,__const) non-external _reflector
00007ff812dc8429 (__TEXT,__text) non-external (was a private external) _reverse_poly
00007ff812dcef48 (__TEXT,__const) non-external _rfc3394_iv_data
00007ff812dc3d7c (__TEXT,__text) non-external (was a private external) _setReverseMap
                 (undefined) external _strlen (from libsystem_c)
                 (undefined) external _strnlen (from libsystem_c)
00007ff812dcbb44 (__TEXT,__text) non-external _to_msec
00007ff812dcc68f (__TEXT,__text) non-external _validate_sign_verify_params
