00000001e986e9a0 (__DATA,__data) external _NDR_record
00000001804c64ec (__TEXT,__text) external _coalition_info_debug_info
00000001804c6598 (__TEXT,__text) external _coalition_info_pid_list
00000001804c64b4 (__TEXT,__text) external _coalition_info_resource_usage
00000001804c655c (__TEXT,__text) external _coalition_info_set_efficiency
00000001804c6524 (__TEXT,__text) external _coalition_info_set_name
00000001804c65cc (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001804b9fc0 (__TEXT,__text) external _coalition_policy_get
00000001804b9fec (__TEXT,__text) external _coalition_policy_set
00000001804c6484 (__TEXT,__text) external _coalition_reap
00000001804c6454 (__TEXT,__text) external _coalition_terminate
00000001e986e9b8 (__DATA,__bss) non-external _commpage_pfz_base
00000001804b035c (__TEXT,__text) external _connect
00000001804b01c4 (__TEXT,__text) external _connect$NOCANCEL
00000001804b03e0 (__TEXT,__text) external _connectx
00000001804ad8d4 (__TEXT,__text) external _csops
00000001804ac5c8 (__TEXT,__text) external _csops_audittoken
00000001804ac6b8 (__TEXT,__text) external _csr_check
00000001804b4a54 (__TEXT,__text) external _csr_get_active_config
00000001804abd4c (__TEXT,__text) external _debug_control_port_for_pid
00000001804c67c0 (__TEXT,__text) external _debug_syscall_reject
00000001804c66ac (__TEXT,__text) external _debug_syscall_reject_config
00000001e986e998 (__DATA,__data) external _denap_boost_assertion_token
00000001804ba018 (__TEXT,__text) external _disconnectx
00000001804b2774 (__TEXT,__text) non-external _do_compat
00000001804b0490 (__TEXT,__text) external _dup
00000001804b47b4 (__TEXT,__text) external _dup2
00000001e55cac30 (__DATA_CONST,__const) non-external _err_codes_auth
00000001e55caac0 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001e55cae28 (__DATA_CONST,__const) non-external _err_codes_exception
00000001e55cab00 (__DATA_CONST,__const) non-external _err_codes_execd
00000001e55cac00 (__DATA_CONST,__const) non-external _err_codes_io
00000001e55cbbe0 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001e55cb818 (__DATA_CONST,__const) non-external _err_codes_iokit_common
00000001804e0bd0 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001e55cbaa8 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
00000001804e0c10 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001e55cb9c8 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
00000001804e0be0 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001e55ca600 (__DATA_CONST,__const) non-external _err_codes_kern
00000001e55cb630 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001e55cb6a0 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001e55cb640 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001e55cadf8 (__DATA_CONST,__const) non-external _err_codes_loader
00000001e55cb4d8 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001e55cb450 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001e55cb398 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001e55cadc8 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001e55cb2e0 (__DATA_CONST,__const) non-external _err_codes_mig
00000001e55cab20 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001e55caaa0 (__DATA_CONST,__const) non-external _err_codes_netname
00000001e55cab70 (__DATA_CONST,__const) non-external _err_codes_ns
00000001e55cb298 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001e55cb238 (__DATA_CONST,__const) non-external _err_codes_send
00000001e55cad38 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001e55cab40 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001e55cab38 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001e55ca7d0 (__DATA_CONST,__const) non-external _err_codes_unix
00000001e55cac78 (__DATA_CONST,__const) non-external _err_codes_us
00000001e55cae60 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001e55cb5a0 (__DATA_CONST,__const) non-external _err_codes_vm_reclaim
00000001e55caf50 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001e55cbc08 (__DATA_CONST,__const) non-external _err_iokit_sub
00000001804e0bc0 (__TEXT,__const) non-external _err_iokit_sub_map
00000001e55cb320 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001e55cb7a0 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001e55cb528 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001e55caa00 (__DATA_CONST,__const) non-external _err_os_sub
00000001e55cafb8 (__DATA_CONST,__const) non-external _err_server_sub
00000001804e0b98 (__TEXT,__const) non-external _err_us_sub
00000001e55cb5e0 (__DATA_CONST,__const) non-external _err_vm_sub
00000001ec305f60 (__DATA_DIRTY,__common) external _errno
00000001804dccb0 (__TEXT,__text) external _etap_trace_thread
00000001804c7a38 (__TEXT,__text) non-external _eth_rule_iterate
00000001804cafc0 (__TEXT,__text) external _exc_server
00000001804caf8c (__TEXT,__text) external _exc_server_routine
00000001804ca5e8 (__TEXT,__text) external _exception_raise
00000001804ca764 (__TEXT,__text) external _exception_raise_state
00000001804ca9d4 (__TEXT,__text) external _exception_raise_state_identity
00000001804b82f8 (__TEXT,__text) external _exchangedata
00000001804be3f0 (__TEXT,__text) external _exclaves_aoe_enumerate_and_setup_services
00000001804be424 (__TEXT,__text) external _exclaves_aoe_get_all_service_infos
00000001804be48c (__TEXT,__text) external _exclaves_aoe_message_loop
00000001804be4f4 (__TEXT,__text) external _exclaves_aoe_message_loop_with_service_id
00000001804be3bc (__TEXT,__text) external _exclaves_aoe_setup
00000001804be458 (__TEXT,__text) external _exclaves_aoe_work_loop
00000001804be4c0 (__TEXT,__text) external _exclaves_aoe_work_loop_with_service_id
00000001804bdf28 (__TEXT,__text) external _exclaves_arbitrated_buffer_copyout
00000001804bdef8 (__TEXT,__text) external _exclaves_arbitrated_buffer_create
00000001804bde88 (__TEXT,__text) external _exclaves_audio_buffer_copyout
00000001804bdec0 (__TEXT,__text) external _exclaves_audio_buffer_copyout_with_status
00000001804bde58 (__TEXT,__text) external _exclaves_audio_buffer_create
00000001804bde24 (__TEXT,__text) external _exclaves_boot
00000001804be290 (__TEXT,__text) external _exclaves_daemon_notification_deregister
00000001804be164 (__TEXT,__text) external _exclaves_daemon_notification_register
00000001804bdbe0 (__TEXT,__text) external _exclaves_endpoint_call
00000001804bdcf4 (__TEXT,__text) external _exclaves_inbound_buffer_copyin
00000001804bdcc4 (__TEXT,__text) external _exclaves_inbound_buffer_create
00000001804be030 (__TEXT,__text) external _exclaves_indicator_min_on_time
00000001804bdd44 (__TEXT,__text) external _exclaves_launch_conclave
00000001804bdd8c (__TEXT,__text) external _exclaves_lookup_service
00000001804bdd34 (__TEXT,__text) external _exclaves_named_buffer_copyin
00000001804bdd3c (__TEXT,__text) external _exclaves_named_buffer_copyout
00000001804bdd2c (__TEXT,__text) external _exclaves_named_buffer_create
00000001804be0c8 (__TEXT,__text) external _exclaves_notification_create
00000001804bdc8c (__TEXT,__text) external _exclaves_outbound_buffer_copyout
00000001804bdc5c (__TEXT,__text) external _exclaves_outbound_buffer_create
00000001804bdf60 (__TEXT,__text) external _exclaves_sensor_create
00000001804bdf94 (__TEXT,__text) external _exclaves_sensor_start
00000001804bdffc (__TEXT,__text) external _exclaves_sensor_status
00000001804bdfc8 (__TEXT,__text) external _exclaves_sensor_stop
00000001804b4774 (__TEXT,__text) external _execve
00000001e986e9d0 (__DATA,__bss) non-external _execve_with_filter
00000001804ba044 (__TEXT,__text) external _faccessat
00000001804ba070 (__TEXT,__text) external _fchdir
00000001804b1458 (__TEXT,__text) external _fchflags
00000001804b051c (__TEXT,__text) external _fchmod
00000001804ba09c (__TEXT,__text) external _fchmodat
00000001804b189c (__TEXT,__text) external _fchown
00000001804ba0c8 (__TEXT,__text) external _fchownat
00000001804ba0f4 (__TEXT,__text) external _fclonefileat
00000001804ac714 (__TEXT,__text) external _fcntl
00000001804affc4 (__TEXT,__text) external _fcntl$NOCANCEL
00000001804ba120 (__TEXT,__text) external _fdatasync
00000001804b39c8 (__TEXT,__text) external _ffsctl
00000001804af68c (__TEXT,__text) external _fgetattrlist
00000001804b0464 (__TEXT,__text) external _fgetxattr
00000001804ba14c (__TEXT,__text) external _fhopen
00000001804b21a0 (__TEXT,__text) external _fileport_makefd
00000001804b2418 (__TEXT,__text) external _fileport_makeport
00000001804b820c (__TEXT,__text) external _flistxattr
00000001804afcd0 (__TEXT,__text) external _flock
00000001804ba178 (__TEXT,__text) external _fmount
00000001804ba1a4 (__TEXT,__text) external _fpathconf
00000001804bd994 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
00000001804ba1d0 (__TEXT,__text) external _freadlink
00000001804ba1fc (__TEXT,__text) external _fremovexattr
00000001804c6608 (__TEXT,__text) external _fs_snapshot_create
00000001804c6624 (__TEXT,__text) external _fs_snapshot_delete
00000001804b4664 (__TEXT,__text) external _fs_snapshot_list
00000001804c6694 (__TEXT,__text) external _fs_snapshot_mount
00000001804c6640 (__TEXT,__text) external _fs_snapshot_rename
00000001804c665c (__TEXT,__text) external _fs_snapshot_revert
00000001804c6678 (__TEXT,__text) external _fs_snapshot_root
00000001804af660 (__TEXT,__text) external _fsctl
00000001804b1870 (__TEXT,__text) external _fsetattrlist
00000001804b1298 (__TEXT,__text) external _fsetxattr
00000001804af74c (__TEXT,__text) external _fsgetpath
00000001804ba228 (__TEXT,__text) external _fsgetpath_ext
00000001804ba280 (__TEXT,__text) external _fstat
00000001804ba280 (__TEXT,__text) external _fstat64
00000001804ba2d8 (__TEXT,__text) external _fstatat
00000001804ba2d8 (__TEXT,__text) external _fstatat64
00000001804b7978 (__TEXT,__text) external _fstatfs
00000001804b7978 (__TEXT,__text) external _fstatfs64
00000001804c13fc (__TEXT,__text) external _fstatfs_ext
00000001804af7fc (__TEXT,__text) external _fsync
00000001804b8e4c (__TEXT,__text) external _fsync$NOCANCEL
00000001804af454 (__TEXT,__text) external _ftruncate
00000001804ba330 (__TEXT,__text) external _funmount
00000001804c0e30 (__TEXT,__text) external _futimens
00000001804b1484 (__TEXT,__text) external _futimes
00000001e986e6a0 (__DATA,__crash_info) non-external _gCRAnnotations
00000001804ac634 (__TEXT,__text) external _getattrlist
00000001804ba35c (__TEXT,__text) external _getattrlistat
00000001804af4ac (__TEXT,__text) external _getattrlistbulk
00000001804c9c48 (__TEXT,__text) external _getaudit
00000001804ae0ec (__TEXT,__text) external _getaudit_addr
00000001804ba388 (__TEXT,__text) external _getauid
00000001804ba3b4 (__TEXT,__text) external _getdirentries
00000001804ba3e0 (__TEXT,__text) external _getdirentriesattr
00000001804b4b04 (__TEXT,__text) external _getdtablesize
00000001804ad8a8 (__TEXT,__text) external _getegid
00000001804ac13c (__TEXT,__text) external _getentropy
00000001804ad048 (__TEXT,__text) external _geteuid
00000001804ba40c (__TEXT,__text) external _getfh
00000001804ba464 (__TEXT,__text) external _getfsstat
00000001804ba464 (__TEXT,__text) external _getfsstat64
00000001804aff40 (__TEXT,__text) external _getgid
00000001804b18c8 (__TEXT,__text) external _getgroups
00000001804b1658 (__TEXT,__text) external _gethostuuid
00000001804b0644 (__TEXT,__text) external _getiopolicy_np
00000001804ba490 (__TEXT,__text) external _getitimer
00000001804b04f0 (__TEXT,__text) external _getpeername
00000001804b62cc (__TEXT,__text) external _getpgid
00000001804b4748 (__TEXT,__text) external _getpgrp
00000001804ac178 (__TEXT,__text) external _getpid
00000001804b249c (__TEXT,__text) external _getppid
00000001804b4588 (__TEXT,__text) external _getpriority
00000001804ae0b8 (__TEXT,__text) external _getrlimit
00000001804b37fc (__TEXT,__text) external _getrusage
00000001804b8e78 (__TEXT,__text) external _getsgroups_np
00000001804ba4bc (__TEXT,__text) external _getsid
00000001804b39f4 (__TEXT,__text) external _getsockname
00000001804b040c (__TEXT,__text) external _getsockopt
00000001804ad850 (__TEXT,__text) external _getuid
00000001804b8ea4 (__TEXT,__text) external _getwgroups_np
00000001804aeed0 (__TEXT,__text) external _getxattr
00000001804ba4e8 (__TEXT,__text) external _grab_pgo_data
00000001804ba514 (__TEXT,__text) external _graftdmg
00000001804af7d0 (__TEXT,__text) external _guarded_close_np
00000001804b6a14 (__TEXT,__text) external _guarded_kqueue_np
00000001804bda0c (__TEXT,__text) external _guarded_open_dprotected_np
00000001804af55c (__TEXT,__text) external _guarded_open_np
00000001804af5b8 (__TEXT,__text) external _guarded_pwrite_np
00000001804b3b58 (__TEXT,__text) external _guarded_write_np
00000001804ba540 (__TEXT,__text) external _guarded_writev_np
00000001804e6240 (__TEXT,__cstring) non-external _hex
00000001804bda5c (__TEXT,__text) external _host_check_multiuser_mode
00000001804ace14 (__TEXT,__text) external _host_create_mach_voucher
00000001804abcbc (__TEXT,__text) external _host_create_mach_voucher_trap
00000001804cb598 (__TEXT,__text) external _host_default_memory_manager
00000001804ccf60 (__TEXT,__text) external _host_get_UNDServer
00000001804bda3c (__TEXT,__text) external _host_get_atm_diagnostic_flag
00000001804cb04c (__TEXT,__text) external _host_get_boot_info
00000001804cbc68 (__TEXT,__text) external _host_get_clock_control
00000001804b1d50 (__TEXT,__text) external _host_get_clock_service
00000001804cc438 (__TEXT,__text) external _host_get_exception_ports
00000001804cdbec (__TEXT,__text) external _host_get_io_main
00000001804af828 (__TEXT,__text) external _host_get_io_master
00000001804bda54 (__TEXT,__text) external _host_get_multiuser_config_flags
00000001804aca5c (__TEXT,__text) external _host_get_special_port
00000001804b0d40 (__TEXT,__text) external _host_info
00000001804cd580 (__TEXT,__text) external _host_kernel_version
00000001804ce4b8 (__TEXT,__text) external _host_lockgroup_info
00000001804bdbb0 (__TEXT,__text) external _host_page_size
00000001804cb378 (__TEXT,__text) external _host_priv_statistics
00000001804cda50 (__TEXT,__text) external _host_processor_info
00000001804cccd4 (__TEXT,__text) external _host_processor_set_priv
00000001804ccb54 (__TEXT,__text) external _host_processor_sets
00000001804cbae8 (__TEXT,__text) external _host_processors
00000001804cb25c (__TEXT,__text) external _host_reboot
00000001804ceb20 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
00000001804cecac (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001804addb8 (__TEXT,__text) external _host_request_notification
00000001804cd2a4 (__TEXT,__text) external _host_security_create_task_token
00000001804cd440 (__TEXT,__text) external _host_security_set_task_token
00000001804be80c (__TEXT,__text) external _host_self
00000001804abb60 (__TEXT,__text) external _host_self_trap
00000001804cce44 (__TEXT,__text) external _host_set_UNDServer
00000001804cee2c (__TEXT,__text) external _host_set_atm_diagnostic_flag
00000001804cc308 (__TEXT,__text) external _host_set_exception_ports
00000001804cf15c (__TEXT,__text) external _host_set_multiuser_config_flags
00000001804cc1dc (__TEXT,__text) external _host_set_special_port
00000001804b63c4 (__TEXT,__text) external _host_statistics
00000001804b5c58 (__TEXT,__text) external _host_statistics64
00000001804cc6fc (__TEXT,__text) external _host_swap_exception_ports
00000001804cdec8 (__TEXT,__text) external _host_virtual_physical_table_info
00000001e986e980 (__DATA,__data) external _important_boost_assertion_token
00000001804c7ae8 (__TEXT,__text) non-external _inet_rule_iterate
00000001ed97fb28 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
00000001804bd8e4 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001e986e970 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
00000001804bd814 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001e986e968 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
00000001804bd730 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001e986e960 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
00000001804b0300 (__TEXT,__text) external _ioctl
00000001804ab924 (__TEXT,__text) external _issetugid
00000001804ba56c (__TEXT,__text) external _kas_info
00000001804ab7c0 (__TEXT,__text) external _kdebug_is_enabled
00000001804c682c (__TEXT,__text) external _kdebug_signpost
00000001804b63b8 (__TEXT,__text) external _kdebug_signpost_end
00000001804b6304 (__TEXT,__text) non-external _kdebug_signpost_internal
00000001804b62f8 (__TEXT,__text) external _kdebug_signpost_start
00000001804c67dc (__TEXT,__text) external _kdebug_timestamp
00000001804c67f4 (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001804c6810 (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001804ab8a4 (__TEXT,__text) external _kdebug_trace
00000001804ae864 (__TEXT,__text) external _kdebug_trace_string
00000001804ab820 (__TEXT,__text) external _kdebug_typefilter
00000001ec3058d8 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
00000001804c67c8 (__TEXT,__text) external _kdebug_using_continuous_time
00000001804b1fbc (__TEXT,__text) external _kevent
00000001804b7ba0 (__TEXT,__text) external _kevent64
00000001804ada6c (__TEXT,__text) external _kevent_id
00000001804ada40 (__TEXT,__text) external _kevent_qos
00000001804cd0bc (__TEXT,__text) external _kext_request
00000001804b3ff8 (__TEXT,__text) external _kill
00000001804cc03c (__TEXT,__text) external _kmod_control
00000001804cbdd4 (__TEXT,__text) external _kmod_create
00000001804cbf20 (__TEXT,__text) external _kmod_destroy
00000001804cdd48 (__TEXT,__text) external _kmod_get_info
00000001804c9d34 (__TEXT,__text) external _kpersona_alloc
00000001804c9db4 (__TEXT,__text) external _kpersona_dealloc
00000001804c9e80 (__TEXT,__text) external _kpersona_find
00000001804c9f64 (__TEXT,__text) external _kpersona_find_by_type
00000001804aff00 (__TEXT,__text) external _kpersona_get
00000001804c9df8 (__TEXT,__text) external _kpersona_getpath
00000001804afc08 (__TEXT,__text) external _kpersona_info
00000001804c9d74 (__TEXT,__text) external _kpersona_palloc
00000001804c9e3c (__TEXT,__text) external _kpersona_pidinfo
00000001804b1f90 (__TEXT,__text) external _kqueue
00000001804b18f4 (__TEXT,__text) external _lchown
00000001804ba598 (__TEXT,__text) external _ledger
00000001804b06e8 (__TEXT,__text) external _link
00000001804ba5c4 (__TEXT,__text) external _linkat
00000001804ba5f0 (__TEXT,__text) external _lio_listio
00000001804b4698 (__TEXT,__text) external _listen
00000001804af4d8 (__TEXT,__text) external _listxattr
00000001804d79f8 (__TEXT,__text) external _lock_set_create
00000001804d7b60 (__TEXT,__text) external _lock_set_destroy
00000001804c17c4 (__TEXT,__text) external _log_data_as_kernel
00000001804ad61c (__TEXT,__text) external _lseek
00000001804b7858 (__TEXT,__text) external _lstat
00000001804b7858 (__TEXT,__text) external _lstat64
00000001804ac0a0 (__TEXT,__text) external _mach_absolute_time
00000001804ac124 (__TEXT,__text) external _mach_absolute_time_kernel
00000001804ad484 (__TEXT,__text) external _mach_approximate_time
00000001804c08c4 (__TEXT,__text) external _mach_boottime_usec
00000001804b349c (__TEXT,__text) external _mach_continuous_approximate_time
00000001804ac024 (__TEXT,__text) external _mach_continuous_time
00000001804ac130 (__TEXT,__text) external _mach_continuous_time_kernel
00000001804bdb2c (__TEXT,__text) external _mach_error
00000001e986ea00 (__DATA,__common) external _mach_error_full_diag
00000001804b25f8 (__TEXT,__text) external _mach_error_string
00000001804b261c (__TEXT,__text) non-external _mach_error_string_int
00000001804bda64 (__TEXT,__text) external _mach_error_type
00000001804df670 (__TEXT,__text) external _mach_eventlink_associate
00000001804df3b8 (__TEXT,__text) external _mach_eventlink_create
00000001804df554 (__TEXT,__text) external _mach_eventlink_destroy
00000001804df7b0 (__TEXT,__text) external _mach_eventlink_disassociate
00000001804c0d94 (__TEXT,__text) external _mach_eventlink_signal
00000001804c0df0 (__TEXT,__text) external _mach_eventlink_signal_wait_until
00000001804c0db0 (__TEXT,__text) external _mach_eventlink_wait_until
00000001804abbfc (__TEXT,__text) external _mach_generate_activity_id
00000001804adcd0 (__TEXT,__text) external _mach_get_times
00000001804aca58 (__TEXT,__text) external _mach_host_self
00000001804bc7a0 (__TEXT,__text) external _mach_host_special_port_description
00000001e55ca460 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
00000001804bc800 (__TEXT,__text) external _mach_host_special_port_for_id
00000001e986e7e8 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
00000001804b1bfc (__TEXT,__text) external _mach_init
00000001ec3058c0 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
00000001804b1c34 (__TEXT,__text) non-external _mach_init_doit
00000001804d37c0 (__TEXT,__text) external _mach_make_memory_entry
00000001804ad2c0 (__TEXT,__text) external _mach_make_memory_entry_64
00000001804defa0 (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001804df24c (__TEXT,__text) external _mach_memory_entry_get_page_counts
00000001804df11c (__TEXT,__text) external _mach_memory_entry_ownership
00000001804dee48 (__TEXT,__text) external _mach_memory_entry_purgable_control
00000001804cef48 (__TEXT,__text) external _mach_memory_info
00000001804cf8bc (__TEXT,__text) external _mach_memory_info_redacted
00000001804cd8c8 (__TEXT,__text) external _mach_memory_object_memory_entry
00000001804ce330 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001804abfa8 (__TEXT,__text) external _mach_msg
00000001804be528 (__TEXT,__text) external _mach_msg2_internal
00000001804abc2c (__TEXT,__text) external _mach_msg2_trap
00000001804acbc4 (__TEXT,__text) external _mach_msg_destroy
00000001804acd08 (__TEXT,__text) non-external _mach_msg_destroy_port
00000001804b47e0 (__TEXT,__text) external _mach_msg_overwrite
00000001804abb78 (__TEXT,__text) external _mach_msg_overwrite_trap
00000001804be63c (__TEXT,__text) external _mach_msg_priority_encode
00000001804be62c (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001804be670 (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001804be680 (__TEXT,__text) external _mach_msg_priority_qos
00000001804be690 (__TEXT,__text) external _mach_msg_priority_relpri
00000001804b8238 (__TEXT,__text) external _mach_msg_receive
00000001804b06ac (__TEXT,__text) external _mach_msg_send
00000001804b3ca0 (__TEXT,__text) external _mach_msg_server
00000001804b4a9c (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001804be628 (__TEXT,__text) external _mach_msg_server_importance
00000001804b6ff4 (__TEXT,__text) external _mach_msg_server_once
00000001804abb6c (__TEXT,__text) external _mach_msg_trap
00000001804d4c50 (__TEXT,__text) external _mach_notify_dead_name
00000001804d4b8c (__TEXT,__text) external _mach_notify_no_senders
00000001804d4ab0 (__TEXT,__text) external _mach_notify_port_deleted
00000001804d4b18 (__TEXT,__text) external _mach_notify_port_destroyed
00000001804d4bf4 (__TEXT,__text) external _mach_notify_send_once
00000001804adee4 (__TEXT,__text) external _mach_port_allocate
00000001804c9698 (__TEXT,__text) external _mach_port_allocate_full
00000001804c9684 (__TEXT,__text) external _mach_port_allocate_name
00000001804c9694 (__TEXT,__text) external _mach_port_allocate_qos
00000001804c9908 (__TEXT,__text) external _mach_port_assert_attributes
00000001804acea4 (__TEXT,__text) external _mach_port_construct
00000001804ad074 (__TEXT,__text) external _mach_port_deallocate
00000001804b1654 (__TEXT,__text) external _mach_port_destroy
00000001804ad6b0 (__TEXT,__text) external _mach_port_destruct
00000001804c9838 (__TEXT,__text) external _mach_port_dnrequest_info
00000001804af360 (__TEXT,__text) external _mach_port_extract_member
00000001804b6020 (__TEXT,__text) external _mach_port_extract_right
00000001804ae66c (__TEXT,__text) external _mach_port_get_attributes
00000001804b12c4 (__TEXT,__text) external _mach_port_get_context
00000001804af1ac (__TEXT,__text) external _mach_port_get_refs
00000001804c9904 (__TEXT,__text) external _mach_port_get_service_port_info
00000001804b7e18 (__TEXT,__text) external _mach_port_get_set_status
00000001804c96a0 (__TEXT,__text) external _mach_port_get_srights
00000001804aebcc (__TEXT,__text) external _mach_port_guard
00000001804c98f8 (__TEXT,__text) external _mach_port_guard_with_flags
00000001804adf54 (__TEXT,__text) external _mach_port_insert_member
00000001804ae180 (__TEXT,__text) external _mach_port_insert_right
00000001804c9900 (__TEXT,__text) external _mach_port_is_connection_for_service
00000001804c983c (__TEXT,__text) external _mach_port_kernel_object
00000001804c9880 (__TEXT,__text) external _mach_port_kobject
00000001804c9884 (__TEXT,__text) external _mach_port_kobject_description
00000001804ac334 (__TEXT,__text) external _mach_port_mod_refs
00000001804b0f60 (__TEXT,__text) external _mach_port_move_member
00000001804c967c (__TEXT,__text) external _mach_port_names
00000001804c9688 (__TEXT,__text) external _mach_port_peek
00000001804c9680 (__TEXT,__text) external _mach_port_rename
00000001804adb1c (__TEXT,__text) external _mach_port_request_notification
00000001804ae6f8 (__TEXT,__text) external _mach_port_set_attributes
00000001804b7cf8 (__TEXT,__text) external _mach_port_set_context
00000001804c968c (__TEXT,__text) external _mach_port_set_mscount
00000001804c9690 (__TEXT,__text) external _mach_port_set_seqno
00000001804c96a8 (__TEXT,__text) external _mach_port_space_basic_info
00000001804c96a4 (__TEXT,__text) external _mach_port_space_info
00000001804c98fc (__TEXT,__text) external _mach_port_swap_guard
00000001804ae938 (__TEXT,__text) external _mach_port_type
00000001804c9888 (__TEXT,__text) external _mach_port_unguard
00000001804b79a4 (__TEXT,__text) external _mach_ports_lookup
00000001804c0a14 (__TEXT,__text) non-external _mach_ports_lookup_legacy
00000001804b3828 (__TEXT,__text) external _mach_ports_register
00000001804c0928 (__TEXT,__text) non-external _mach_ports_register_legacy
00000001804abb3c (__TEXT,__text) external _mach_reply_port
00000001804beb24 (__TEXT,__text) external _mach_right_recv_construct
00000001804bebfc (__TEXT,__text) external _mach_right_recv_destruct
00000001804bec94 (__TEXT,__text) external _mach_right_send_create
00000001804beddc (__TEXT,__text) external _mach_right_send_once_consume
00000001804bed70 (__TEXT,__text) external _mach_right_send_once_create
00000001804b0714 (__TEXT,__text) external _mach_right_send_release
00000001804becfc (__TEXT,__text) external _mach_right_send_retain
00000001804c9718 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001804c97c4 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
00000001804c08d4 (__TEXT,__text) external _mach_task_is_self
00000001804beb20 (__TEXT,__text) external _mach_task_self
00000001ec305918 (__DATA_DIRTY,__common) external _mach_task_self_
00000001804bc7c0 (__TEXT,__text) external _mach_task_special_port_description
00000001e55ca580 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
00000001804bc8c4 (__TEXT,__text) external _mach_task_special_port_for_id
00000001e986e8e0 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
00000001804b1d20 (__TEXT,__text) external _mach_thread_self
00000001804bc7e0 (__TEXT,__text) external _mach_thread_special_port_description
00000001e55ca5e0 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
00000001804bc8d4 (__TEXT,__text) external _mach_thread_special_port_for_id
00000001e986e940 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
00000001804abfcc (__TEXT,__text) external _mach_timebase_info
00000001ec3058b8 (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
00000001804abcf8 (__TEXT,__text) external _mach_timebase_info_trap
00000001804ae004 (__TEXT,__text) external _mach_vm_allocate
00000001804d3254 (__TEXT,__text) external _mach_vm_behavior_set
00000001804b3b84 (__TEXT,__text) external _mach_vm_copy
00000001804ad7ac (__TEXT,__text) external _mach_vm_deallocate
00000001804d3f94 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_allocate
00000001804d4100 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_flush
00000001804d47f0 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_query
00000001804d4420 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_resize
00000001804d2bd4 (__TEXT,__text) external _mach_vm_inherit
00000001804d3374 (__TEXT,__text) external _mach_vm_machine_attribute
00000001804ab950 (__TEXT,__text) external _mach_vm_map
