00007ff80b3be7fc (__TEXT,__text) non-external _Annihilate
00007ff80b454e80 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff80b3a810d (__TEXT,__text) non-external _longest_match
00007ff84231c140 (__DATA,__common) non-external (was a private external) _lut_ok
00007ff84231c150 (__DATA,__common) non-external (was a private external) _lut_quantize
00007ff80b45e860 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff80b3ae3d0 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff80b3adf80 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff80b3adda8 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00007ff80b3af5b5 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00007ff80b3af408 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00007ff80b3de014 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00007ff80b3de074 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00007ff80b3de069 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00007ff80b3de05e (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00007ff80b3de037 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00007ff80b3dd8cc (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00007ff80b3dd989 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00007ff80b3cda81 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00007ff80b3cd99a (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00007ff80b3d6cf5 (__TEXT,__text) non-external (was a private external) _lzbitmap_alloc
00007ff80b3d6d44 (__TEXT,__text) non-external (was a private external) _lzbitmap_buf_align
00007ff80b3d83ab (__TEXT,__text) non-external (was a private external) _lzbitmap_create_dictionary_and_token_map
00007ff80b3c9d00 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00007ff80b3d9f38 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00007ff80b3d8beb (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
00007ff80b3d9f84 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00007ff80b3d884e (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00007ff80b3d85ac (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_block
00007ff80b3d9f59 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00007ff80b3d8b0e (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
00007ff80b3d9f8f (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00007ff80b3d6e45 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00007ff80b3d2e98 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00007ff80b3d9edf (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00007ff80b3ccf90 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00007ff80b3d9f00 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00007ff80b3d9f2b (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00007ff80b3cc0d7 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00007ff80b3cc0f1 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser0
00007ff80b3cc58a (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser1
00007ff80b3cca81 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser2
00007ff80b45f8a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00007ff80b3d6cd0 (__TEXT,__text) non-external (was a private external) _lzbitmap_flags
00007ff80b3d82b0 (__TEXT,__text) non-external (was a private external) _lzbitmap_get_top_k
00007ff80b3d6d56 (__TEXT,__text) non-external (was a private external) _lzbitmap_init_encode_state
00007ff80b3d827e (__TEXT,__text) non-external (was a private external) _lzbitmap_init_token_info
00007ff80b3d847d (__TEXT,__text) non-external (was a private external) _lzbitmap_output_masks_and_buffer_commands
00007ff80b3d84c0 (__TEXT,__text) non-external (was a private external) _lzbitmap_output_nibbles
00007ff80b45f0a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00007ff80b3d6e8a (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l0
00007ff80b3d746e (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l1
00007ff80b3d7ad2 (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l2
00007ff80b3d879f (__TEXT,__text) non-external (was a private external) _lzbitmap_process_block
00007ff80b3d6d0f (__TEXT,__text) non-external (was a private external) _lzbitmap_store
00007ff80b3d9f9c (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00007ff80b4608a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00007ff80b45e8a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00007ff80b4029f0 (__TEXT,__text) non-external _lzfseBackendMatch
00007ff80b3aa592 (__TEXT,__text) non-external (was a private external) _lzfseDecode
00007ff80b3ae5a9 (__TEXT,__text) non-external _lzfseDecodeV1
00007ff80b402652 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00007ff80b402a2f (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00007ff80b4024a5 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00007ff80b402512 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00007ff80b402de0 (__TEXT,__text) non-external _lzfseEncodeMatches
00007ff80b4024ce (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00007ff80b4025d6 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00007ff80b402ad6 (__TEXT,__text) non-external _lzfsePushMatch
00007ff80b3aa2f6 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00007ff80b3aa223 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00007ff80b3d2e8b (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00007ff80b3f1298 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00007ff80b3f1201 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00007ff80b3f11f0 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00007ff80b3abb0b (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00007ff80b3ce888 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00007ff80b3ce6f6 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00007ff80b3ce87d (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00007ff80b3af0d0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
00007ff80b3cf5ab (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00007ff84231af20 (__DATA,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00007ff80b3ab82b (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00007ff80b3e1689 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00007ff80b3e163f (__TEXT,__text) non-external (was a private external) _lzfse_encode_lzvn_algo
00007ff80b3e1655 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00007ff80b425590 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00007ff80b4255b0 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00007ff80b3ab744 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00007ff80b3cd36e (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00007ff80b3cd364 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00007ff80b3cd33b (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00007ff80b3cd2fa (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00007ff80b3aa1fb (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00007ff80b3aa2d0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00007ff80b3d8a6c (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00007ff80b3d8a64 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00007ff80b3d8acc (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00007ff80b3d8ac4 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00007ff80b3aa1d3 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00007ff80b4048e1 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00007ff80b463920 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00007ff80b3aa092 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00007ff80b3aa143 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00007ff80b3ab308 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00007ff84231a530 (__DATA,__const) non-external _lzvnDecode.opc_tbl
00007ff80b3d90fd (__TEXT,__text) non-external (was a private external) _lzvnEncode
00007ff80b3d9081 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00007ff80b3bf0eb (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00007ff80b3bf057 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00007ff80b3bf04c (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00007ff80b3c3984 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00007ff80b3c38af (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00007ff80b3c389e (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00007ff84231b940 (__DATA,__data) non-external _lzvn_decode.opcode_table
00007ff80b3abbc0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00007ff80b3abbad (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00007ff80b3d9c4d (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00007ff80b3d9c8b (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00007ff80b3d9c33 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00007ff80b3d89e2 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00007ff80b3d8a5a (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00007ff80b3d8a50 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00007ff80b3d8a27 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00007ff80b3d8a05 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00007ff80b3d8994 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00007ff80b3d89bc (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00007ff80b3e0d89 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00007ff80b3e0d28 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00007ff80b3fc57e (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00007ff80b3e0d33 (__TEXT,__text) non-external (was a private external) _lzx_e8_translation
00007ff80b3b7e02 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00007ff80b3b7883 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00007ff80b3b7a2f (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00007ff80b3b7b1d (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00007ff80b3d35e1 (__TEXT,__text) non-external (was a private external) _parse_size
00007ff80b459c70 (__TEXT,__const) non-external _position_slot_base_position
00007ff80b459bf0 (__TEXT,__const) non-external _position_slot_extra_bits
00007ff80b3a9365 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80b3fdda7 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00007ff80b3ad508 (__TEXT,__text) non-external _readHuffmanTable
00007ff80b3d3530 (__TEXT,__text) non-external (was a private external) _read_expected
00007ff80b3a5c0f (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00007ff80b3a943b (__TEXT,__text) non-external _scan_tree
00007ff80b3a9525 (__TEXT,__text) non-external _send_tree
                 (undefined) external _stat$INODE64 (from libSystem)
00007ff84231b920 (__DATA,__data) non-external _static_bl_desc
00007ff84231b900 (__DATA,__data) non-external _static_d_desc
00007ff80b462120 (__TEXT,__const) non-external _static_dtree
00007ff84231b8e0 (__DATA,__data) non-external _static_l_desc
00007ff80b461ca0 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ff84231b840 (__DATA,__data) non-external (was a private external) _tc_quant16
00007ff80b3bed69 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00007ff80b3bef94 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00007ff80b3bee97 (__TEXT,__text) non-external _thread_pool_entry
00007ff80b3bebb9 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00007ff80b3becda (__TEXT,__text) non-external (was a private external) _thread_pool_sync
                 (undefined) external _write (from libSystem)
00007ff80b3d358d (__TEXT,__text) non-external (was a private external) _write_expected
00007ff80b3f16df (__TEXT,__text) external _yzip_codec_create
00007ff80b3f1711 (__TEXT,__text) external _yzip_codec_destroy
00007ff80b3f1736 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
00007ff80b3cf984 (__TEXT,__text) external _yzip_image_create
00007ff80b3cfacc (__TEXT,__text) external _yzip_image_create_with_payload
00007ff80b3cfe02 (__TEXT,__text) external _yzip_image_decode
00007ff80b3cfbf6 (__TEXT,__text) external _yzip_image_destroy
00007ff80b3cfc00 (__TEXT,__text) external _yzip_image_encode
00007ff80b3cff11 (__TEXT,__text) external _yzip_image_get_descriptor
00007ff80b3cffcf (__TEXT,__text) external _yzip_image_get_max_payload_size
00007ff80b3cff7b (__TEXT,__text) external _yzip_image_get_plane_descriptor
00007ff80b3d0047 (__TEXT,__text) external _yzip_image_set_data
00007ff80b3d0493 (__TEXT,__text) external _yzip_image_set_identifier
00007ff80b3d0420 (__TEXT,__text) external _yzip_image_set_plane_data
00007ff80b3cb544 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00007ff80b3cb435 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00007ff80b3cb227 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00007ff80b3cc057 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00007ff80b3cba29 (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00007ff80b3cbfbb (__TEXT,__text) non-external _yzip_jobs_process
00007ff80b3cb1cb (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00007ff80b3fd7fe (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00007ff80b3fc82f (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00007ff80b3fd001 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00007ff80b3af3ee (__TEXT,__text) non-external (was a private external) _zError
00007ff84231a4e0 (__DATA,__const) non-external (was a private external) _z_errmsg
00007ff80b3a5f23 (__TEXT,__text) non-external (was a private external) _zcalloc
00007ff80b3a9fe1 (__TEXT,__text) non-external (was a private external) _zcfree
00007ff80b3af3e3 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00007ff80b3ac191 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00007ff80b3acac4 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00007ff80b459a90 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00007ff80b459a50 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00007ff80b3e0b5b (__TEXT,__text) non-external (was a private external) _zlibDecodeStateInit
00007ff80b3af3d6 (__TEXT,__text) non-external (was a private external) _zlibVersion
00007ff80b3e0b70 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00007ff80b3e0b50 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00007ff80b3abefc (__TEXT,__text) non-external (was a private external) _zlib_decode_stream_process
00007ff80b3bf33c (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00007ff80b3bf331 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00007ff80b3a69e4 (__TEXT,__text) non-external (was a private external) _zlib_encode_stream_process
00007ff80b3d9ed9 (__TEXT,__text) non-external (was a private external) _zlib_free
00007ff80b3d9eb1 (__TEXT,__text) non-external (was a private external) _zlib_malloc
00007ff80b3aa06f (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00007ff80b3e0d05 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00007ff80b3e0cfd (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00007ff80b3e0d10 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00007ff80b3e0cf5 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00007ff80b3a5b45 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00007ff80b3a69be (__TEXT,__text) non-external (was a private external) _zlib_stream_process
                 (undefined) external dyld_stub_binder (from libSystem)
00007ff80b3afdab (__TEXT,__text) non-external n_loop
00007ff80b3b009a (__TEXT,__text) non-external scalar_loop
00007ff80b3afd90 (__TEXT,__text) non-external skip_loading_tables
00007ff84231b890 (__DATA,__data) non-external sum2_coefficients
00007ff84231b860 (__DATA,__data) non-external sum2_coefficients_nossse3
