00007ffc4191e7f8 (__DATA,__bss) non-external _A
00007ffc13bf081f (__TEXT,__text) external _cmark_strbuf_len
00007ffc13bf0c62 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffc13bf095b (__TEXT,__text) external _cmark_strbuf_put
00007ffc13bf0922 (__TEXT,__text) external _cmark_strbuf_putc
00007ffc13bf09af (__TEXT,__text) external _cmark_strbuf_puts
00007ffc13bf0bc5 (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffc13bf0878 (__TEXT,__text) external _cmark_strbuf_set
00007ffc13bf08f2 (__TEXT,__text) external _cmark_strbuf_sets
00007ffc13bf0add (__TEXT,__text) external _cmark_strbuf_strchr
00007ffc13bf0b1d (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffc13bf0a28 (__TEXT,__text) external _cmark_strbuf_swap
00007ffc13bf0c0d (__TEXT,__text) external _cmark_strbuf_trim
00007ffc13bf0b5e (__TEXT,__text) external _cmark_strbuf_truncate
00007ffc13bf0cf9 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffc13be374e (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffc13bfbf4f (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffc13be36b4 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffc13be3849 (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffc13be36f9 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffc13be37cb (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffc13be386d (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffc13be37df (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffc13be37d5 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffc13be3783 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffc13be37c1 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffc13be3821 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffc13be3814 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffc13be37ad (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffc13be37f3 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffc13be3807 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffc13be379a (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffc13be37a3 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffc13be3853 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffc13be3860 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffc13be3790 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffc13be37e9 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffc13be382e (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffc13be383b (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffc13be37b7 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffc13be37fd (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffc13bf045c (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffc13bd85ed (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffc13bd81b0 (__TEXT,__text) external _cmark_utf8proc_check
00007ffc13bd84e8 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffc13bfbe74 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffc13be00da (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffc13be0080 (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffc13bd83aa (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffc13be1946 (__TEXT,__text) external _cmark_version
00007ffc13be1951 (__TEXT,__text) external _cmark_version_string
00007ffc13be2ee6 (__TEXT,__text) non-external _commonmark_render
00007ffc13be58ec (__TEXT,__text) non-external _commonmark_render
00007ffc13bfa6e2 (__TEXT,__text) non-external _commonmark_render
00007ffc13bfc907 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffc13bfa6cd (__TEXT,__text) non-external _contains_inlines
00007ffc13bf04ae (__TEXT,__text) non-external _core_extensions_registration
00007ffc13be387a (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffc13be57c9 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffc13bf9b94 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffc13bfbd64 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffc13be2d28 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffc4191e668 (__DATA,__bss) non-external _enable_safety_checks
00007ffc13bfcbb0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffc13bfb314 (__TEXT,__text) non-external _escape
00007ffc4191e5e0 (__DATA,__bss) non-external _extensions_lock
00007ffc4191e460 (__DATA,__data) non-external _extensions_once
00007ffc13bfbd92 (__TEXT,__text) non-external _filter
00007ffc13bf2f59 (__TEXT,__text) non-external _finalize
00007ffc13bfc1bf (__TEXT,__text) non-external _finalize.cold.1
00007ffc13bfc1e2 (__TEXT,__text) non-external _finalize.cold.2
00007ffc13bf0420 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffc13bf38eb (__TEXT,__text) non-external _free_node_as
00007ffc13bfb969 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffc13bfb9d0 (__TEXT,__text) non-external _get_cell_alignment
00007ffc13be6b5b (__TEXT,__text) non-external _get_link_type
00007ffc13be2e21 (__TEXT,__text) non-external _get_type_string
00007ffc13be58ab (__TEXT,__text) non-external _get_type_string
00007ffc13bfa605 (__TEXT,__text) non-external _get_type_string
00007ffc13bf90c4 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffc13bff7a0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffc13be1931 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffc13be1810 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffc13bf91de (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffc13bf9450 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffc13bf957a (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffc13be2f56 (__TEXT,__text) non-external _html_render
00007ffc13be5991 (__TEXT,__text) non-external _html_render
00007ffc13bfacd2 (__TEXT,__text) non-external _html_render
00007ffc13bfc970 (__TEXT,__text) non-external _html_render.cold.1
00007ffc13bfba14 (__TEXT,__text) non-external _html_table_add_align
00007ffc13bfbd1b (__TEXT,__text) non-external _init_arena
00007ffc13bfbd08 (__TEXT,__text) non-external _initialize_arena
00007ffc13be493c (__TEXT,__text) non-external _initialize_extensions
00007ffc13bf4ccc (__TEXT,__text) non-external _initialize_nextflag
00007ffc13bf4cb9 (__TEXT,__text) non-external _initialize_safety
00007ffc13be5b13 (__TEXT,__text) non-external _insert
00007ffc13be46b3 (__TEXT,__text) non-external _is_valid_hostchar
00007ffc13be590d (__TEXT,__text) non-external _latex_render
00007ffc13bfa908 (__TEXT,__text) non-external _latex_render
00007ffc13bfc92a (__TEXT,__text) non-external _latex_render.cold.1
00007ffc13bf7db9 (__TEXT,__text) non-external _link_label
00007ffc13bfc670 (__TEXT,__text) non-external _link_label.cold.1
00007ffc13bfc693 (__TEXT,__text) non-external _link_label.cold.2
00007ffc13bfc6b6 (__TEXT,__text) non-external _link_label.cold.3
00007ffc13bfc6d9 (__TEXT,__text) non-external _link_label.cold.4
00007ffc13bfc6fc (__TEXT,__text) non-external _link_label.cold.5
00007ffc13bf8888 (__TEXT,__text) non-external _make_autolink
00007ffc13bfc8c1 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
00007ffc13be593c (__TEXT,__text) non-external _man_render
00007ffc13bfab65 (__TEXT,__text) non-external _man_render
00007ffc13bfc94d (__TEXT,__text) non-external _man_render.cold.1
00007ffc13bf8060 (__TEXT,__text) non-external _manual_scan_link_url
00007ffc13be38e8 (__TEXT,__text) non-external _match
00007ffc13be59d4 (__TEXT,__text) non-external _match
00007ffc13be2dbd (__TEXT,__text) non-external _matches
00007ffc13bf9cb6 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffc4191e670 (__DATA,__bss) non-external _nextflag_lock
00007ffc4191e490 (__DATA,__data) non-external _nextflag_once
00007ffc13bf0513 (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffc13bfc01f (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffc13bfb275 (__TEXT,__text) non-external _opaque_alloc
00007ffc13bfb2c1 (__TEXT,__text) non-external _opaque_free
00007ffc13be2e2e (__TEXT,__text) non-external _open_tasklist_item
00007ffc13be089f (__TEXT,__text) non-external _outc
00007ffc13be6126 (__TEXT,__text) non-external _outc
00007ffc13bf960f (__TEXT,__text) non-external _outc
00007ffc13be59b3 (__TEXT,__text) non-external _plaintext_render
00007ffc13be3d45 (__TEXT,__text) non-external _postprocess
00007ffc13bfbf70 (__TEXT,__text) non-external _postprocess.cold.1
00007ffc13bfbf93 (__TEXT,__text) non-external _postprocess.cold.2
00007ffc13bf74cc (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffc13bf87a4 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffc13bf0769 (__TEXT,__text) non-external _refcmp
00007ffc13bf0eea (__TEXT,__text) non-external _reference_free
00007ffc13bf06e4 (__TEXT,__text) non-external _refsearch
00007ffc13bf049d (__TEXT,__text) non-external _register_plugins
00007ffc4191e470 (__DATA,__data) non-external _registered_once
00007ffc13bfcbc0 (__TEXT,__const) non-external _reltable.houdini_escape_html0
00007ffc13bf7a73 (__TEXT,__text) non-external _remove_delimiter
00007ffc13bfc558 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffc13bf330c (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffc13bfb519 (__TEXT,__text) non-external _row_from_string
00007ffc4191e628 (__DATA,__bss) non-external _safety_lock
00007ffc4191e480 (__DATA,__data) non-external _safety_once
00007ffc41915ee0 (__DATA,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffc13bf346f (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffc13bf7f82 (__TEXT,__text) non-external _spnl
00007ffc13bfc71d (__TEXT,__text) non-external _spnl.cold.1
00007ffc13bfc740 (__TEXT,__text) non-external _spnl.cold.2
00007ffc13bfc763 (__TEXT,__text) non-external _spnl.cold.3
00007ffc13bfc786 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffc4191e620 (__DATA,__bss) non-external _syntax_extensions
00007ffc13bf9d45 (__TEXT,__text) non-external _try_opening_table_block
00007ffc13bfb8c5 (__TEXT,__text) non-external _unescape_pipes
00007ffc13bfcab0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffc13be46ec (__TEXT,__text) non-external _validate_protocol
00007ffc13be195e (__TEXT,__text) non-external _xcalloc
00007ffc13bfbebb (__TEXT,__text) non-external _xcalloc.cold.1
00007ffc13be1990 (__TEXT,__text) non-external _xfree
00007ffc13be30ad (__TEXT,__text) non-external _xml_attr
00007ffc13bfaa9f (__TEXT,__text) non-external _xml_attr
00007ffc13be1977 (__TEXT,__text) non-external _xrealloc
00007ffc13bfbee0 (__TEXT,__text) non-external _xrealloc.cold.1
