00007ffb180b2cf0 (__TEXT,__text) non-external +[ODCAction action]
00007ffb4281bda0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffb4281bd68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffb4281bde0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffb4281bdf8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffb4281bde8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffb4281bd28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffb4281be10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffb4281bd70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffb4281bdb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffb4281bdc0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffb4281bdc8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffb4281bd20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffb4281bd10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffb4281bd00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffb4281bcd0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffb4281bd08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffb4281bca8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffb4281bcf0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffb4281bcc0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffb4281bcc8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffb4281bce8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffb4281bcb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffb4281bce0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffb4281bca0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffb4281bcf8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffb4281bcd8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffb4281bcb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffb4281be60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffb4281be48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffb4281be68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffb4281be40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffb4281be70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffb4281be80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffb4281be58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffb4281be78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffb4281be50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffb4281bed8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffb4281be30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffb4281be28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffb4281be38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffb4281be18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffb4281be20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffb4281bec0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffb4281bec8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffb4281bed0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffb4281bea8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffb4281beb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffb4281beb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffb4281be98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffb4281be90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffb4281bea0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffb4281be88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb4281bf58 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffb4281bf08 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffb4281bff8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffb4281c0e8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffb4281bfa8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffb4281c098 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffb4281c048 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffb40a6a968 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffb40a6a960 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffb40a6a978 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffb40a6a970 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffb40a6a858 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffb40a6a860 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffb40a6a868 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffb40a6a870 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffb40a6a878 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffb40a6a880 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffb40a6a948 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffb40a6a910 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffb40a6a918 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffb40a6a8a0 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffb40a6a8a8 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffb40a6a8b0 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffb40a6a8b8 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffb40a6a8c0 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffb40a6a8c8 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffb40a6a8d0 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffb40a6a8d8 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffb40a6a938 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffb40a6a850 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffb40a6a8f8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffb40a6a900 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffb40a6a908 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffb40a6a930 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffb40a6a888 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffb40a6a890 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffb40a6a898 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffb40a6a928 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffb40a6a920 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffb40a6a958 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffb40a6a950 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffb40a6a940 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffb40a6a8e0 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffb40a6a8e8 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffb40a6a8f0 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb180bf5c8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffb180bf400 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb180bffa0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb180bff08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer(PrivateMethods)
00007ffb180bf640 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffb180bf418 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb180bfd50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffb180bffb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb180bfc90 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffb180bff28 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffb180bfe70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffb40a6cf20 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffb40a6cbb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffb40a6d7b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffb40a6dd20 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffb40a6d620 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffb40a6db60 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffb40a6da00 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffb40a6d328 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffb40a6cd98 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffb40a6d8d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffb40a6dd48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffb40a6d6c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffb40a6dc28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffb40a6da88 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffb40a6d590 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffb40a6ce90 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffb40a6d970 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffb40a6dd60 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffb40a6d720 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffb40a6dc90 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffb40a6dad0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffb40a6ced8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffb40a6cb68 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffb40a6d768 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffb40a6dcd8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffb40a6d5d8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffb40a6db18 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffb40a6d9b8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb180b2d3e (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffb180bad28 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffb180b07a3 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffb180b0996 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffb180b3ba5 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffb180b0779 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb180b0790 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb180c0070 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffb180c0030 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffb180bef6c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffb180bef2a (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb40a6a980 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffb40a6a9c0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffb40a6a820 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffb40a6a7f0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffb40a6abe8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb40a6ac28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffb40a6a9a0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb40a6ac08 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb40a6ac48 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffb180b09a4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffb180b08f3 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffb180b09bb (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffb180b094f (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffb180bf04b (__TEXT,__text) non-external ___fixup_schema2
00007ffb180bf061 (__TEXT,__text) non-external ___fixup_schema3
00007ffb180bf08f (__TEXT,__text) non-external ___fixup_schema4
00007ffb180bf148 (__TEXT,__text) non-external ___fixup_schema5
00007ffb180bedef (__TEXT,__text) non-external ___get_keyinfo
00007ffb4281c150 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffb180be71e (__TEXT,__text) non-external __schema_construct
00007ffb180be921 (__TEXT,__text) non-external __schema_deconstruct
00007ffb180bee4a (__TEXT,__text) non-external __schema_validate_type
00007ffb4281c130 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffb180bf209 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffb4281c148 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffb4281c138 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffb4281c140 (__DATA,__bss) non-external __schema_validate_type.num
00007ffb4281c120 (__DATA,__bss) non-external __schema_validate_type.once
00007ffb4281c128 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffb4281c110 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffb40a6ab78 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffb40a6ab80 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffb40a6ab88 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffb40a6ab90 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffb40a6ab98 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffb40a6aa30 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffb40a6aa38 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffb40a6aa40 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffb40a6aa48 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffb40a6aa70 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffb40a6aa50 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffb40a6aa58 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffb40a6aa68 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffb40a6aa60 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffb40a6aa78 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffb40a6aa80 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffb40a6aa88 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffb40a6aa90 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffb40a6aa98 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffb40a6aaa8 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffb40a6aaa0 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffb40a6aab0 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffb40a6aab8 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffb40a6aac0 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffb40a6ab20 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffb40a6ab18 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffb40a6ab38 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffb40a6ab40 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffb40a6ab30 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffb40a6ab28 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffb40a6ab10 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffb40a6aac8 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffb40a6aad0 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffb40a6aae0 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffb40a6aae8 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffb40a6aaf0 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffb40a6aaf8 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffb40a6aad8 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffb40a6ab00 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffb40a6ab08 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffb40a6aba0 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffb40a6abb0 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffb40a6abb8 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffb40a6abc0 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffb40a6abc8 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffb40a6abd0 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffb40a6abd8 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffb40a6aba8 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffb40a6abe0 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffb180c00e0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffb40a6ab60 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffb40a6ab70 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffb40a6ab68 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffb40a6ab58 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffb40a6ab50 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffb40a6ab48 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffb180bed90 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffb4281c118 (__DATA,__bss) non-external _request_schema
00007ffb180be85d (__TEXT,__text) external _schema_construct_request
00007ffb180be704 (__TEXT,__text) external _schema_construct_requestv
00007ffb180beccc (__TEXT,__text) external _schema_construct_result
00007ffb180becb2 (__TEXT,__text) external _schema_construct_resultv
00007ffb180be907 (__TEXT,__text) external _schema_deconstruct_request
00007ffb180bed76 (__TEXT,__text) external _schema_deconstruct_result
00007ffb180bebf1 (__TEXT,__text) external _schema_get_callback
00007ffb180beb66 (__TEXT,__text) external _schema_set_callback
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strlen (from libSystem)
