00007ffb0b717dac (__TEXT,__text) non-external +[ODCAction action]
00007ffb41bcc858 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odSession
00007ffb41bcc838 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffb41bcc808 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffb41bcc810 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffb41bcc820 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffb41bcc7e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffb41bcc860 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffb41bcc878 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffb41bcc868 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffb41bcc7a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffb41bcc890 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffb41bcc7f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffb41bcc830 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffb41bcc840 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffb41bcc848 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffb41bcc7a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffb41bcc790 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffb41bcc780 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffb41bcc750 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffb41bcc788 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffb41bcc728 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffb41bcc770 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffb41bcc740 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffb41bcc748 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffb41bcc768 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffb41bcc738 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffb41bcc760 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffb41bcc720 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffb41bcc778 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffb41bcc758 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffb41bcc730 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffb41bcc8e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffb41bcc8c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffb41bcc8e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffb41bcc8c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffb41bcc8f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffb41bcc900 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffb41bcc8d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffb41bcc8f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffb41bcc8d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffb41bcc958 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffb41bcc8b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffb41bcc8a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffb41bcc8b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffb41bcc898 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffb41bcc8a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffb41bcc940 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffb41bcc948 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffb41bcc950 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffb41bcc928 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffb41bcc938 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffb41bcc930 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffb41bcc918 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffb41bcc910 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffb41bcc920 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffb41bcc908 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb41bcc9d8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffb41bcc988 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffb41bcca78 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffb41bccb68 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffb41bcca28 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffb41bccb18 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffb41bccac8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffb404a42d0 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffb404a42c8 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffb404a42e0 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffb404a42d8 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffb404a41c0 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffb404a41c8 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffb404a41d0 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffb404a41d8 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffb404a41e0 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffb404a41e8 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffb404a42b0 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffb404a4278 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffb404a4280 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffb404a4208 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffb404a4210 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffb404a4218 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffb404a4220 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffb404a4228 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffb404a4230 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffb404a4238 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffb404a4240 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffb404a42a0 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffb404a41b8 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffb404a4260 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffb404a4268 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffb404a4270 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffb404a4298 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffb404a41f0 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffb404a41f8 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffb404a4200 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffb404a4290 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffb404a4288 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffb404a42c0 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffb404a42b8 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffb404a42a8 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffb404a4248 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffb404a4250 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffb404a4258 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb0b7245a8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffb0b7243e0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb0b724f80 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb0b724ee8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer(PrivateMethods)
00007ffb0b724620 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffb0b7243f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb0b724d30 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffb0b724f98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb0b724c70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffb0b724f08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffb0b724e50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffb404a6848 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffb404a64d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffb404a70d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffb404a7648 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffb404a6f48 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffb404a7488 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffb404a7328 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffb404a6c50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffb404a66c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffb404a7200 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffb404a7670 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffb404a6ff0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffb404a7550 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffb404a73b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffb404a6eb8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffb404a67b8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffb404a7298 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffb404a7688 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffb404a7048 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffb404a75b8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffb404a73f8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffb404a6800 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffb404a6490 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffb404a7090 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffb404a7600 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffb404a6f00 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffb404a7440 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffb404a72e0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb0b717dfa (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffb0b71fcf1 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffb0b715878 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffb0b715a73 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffb0b718c56 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffb0b71584e (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb0b715865 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb0b725050 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffb0b725010 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffb0b723f4c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffb0b723f0a (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb404a42e8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffb404a4328 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffb404a4188 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffb404a4158 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffb404a4510 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb404a4550 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffb404a4308 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb404a4530 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb404a4570 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffb0b715a81 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffb0b7159d0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffb0b715a98 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffb0b715a2c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffb0b72402b (__TEXT,__text) non-external ___fixup_schema2
00007ffb0b724041 (__TEXT,__text) non-external ___fixup_schema3
00007ffb0b72406f (__TEXT,__text) non-external ___fixup_schema4
00007ffb0b724128 (__TEXT,__text) non-external ___fixup_schema5
00007ffb0b723dd3 (__TEXT,__text) non-external ___get_keyinfo
00007ffb41bccbd0 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffb0b723702 (__TEXT,__text) non-external __schema_construct
00007ffb0b72390b (__TEXT,__text) non-external __schema_deconstruct
00007ffb0b723e2e (__TEXT,__text) non-external __schema_validate_type
00007ffb41bccbb0 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffb0b7241e9 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffb41bccbc8 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffb41bccbb8 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffb41bccbc0 (__DATA,__bss) non-external __schema_validate_type.num
00007ffb41bccba0 (__DATA,__bss) non-external __schema_validate_type.once
00007ffb41bccba8 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffb41bccb90 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffb404a44a0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffb404a44a8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffb404a44b0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffb404a44b8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffb404a44c0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffb404a4358 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffb404a4360 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffb404a4368 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffb404a4370 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffb404a4398 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffb404a4378 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffb404a4380 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffb404a4390 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffb404a4388 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffb404a43a0 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffb404a43a8 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffb404a43b0 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffb404a43b8 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffb404a43c0 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffb404a43d0 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffb404a43c8 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffb404a43d8 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffb404a43e0 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffb404a43e8 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffb404a4448 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffb404a4440 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffb404a4460 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffb404a4468 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffb404a4458 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffb404a4450 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffb404a4438 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffb404a43f0 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffb404a43f8 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffb404a4408 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffb404a4410 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffb404a4418 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffb404a4420 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffb404a4400 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffb404a4428 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffb404a4430 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffb404a44c8 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffb404a44d8 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffb404a44e0 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffb404a44e8 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffb404a44f0 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffb404a44f8 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffb404a4500 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffb404a44d0 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffb404a4508 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffb0b7250c0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffb404a4488 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffb404a4498 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffb404a4490 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffb404a4480 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffb404a4478 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffb404a4470 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffb0b723d75 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffb41bccb98 (__DATA,__bss) non-external _request_schema
00007ffb0b723847 (__TEXT,__text) external _schema_construct_request
00007ffb0b7236e8 (__TEXT,__text) external _schema_construct_requestv
00007ffb0b723cb1 (__TEXT,__text) external _schema_construct_result
00007ffb0b723c97 (__TEXT,__text) external _schema_construct_resultv
00007ffb0b7238f1 (__TEXT,__text) external _schema_deconstruct_request
00007ffb0b723d5b (__TEXT,__text) external _schema_deconstruct_result
