00000001e6fa2c58 (__DATA,__data) non-external _C
00000001803014d8 (__TEXT,__text) external ___srget
000000018030b560 (__TEXT,__text) external ___sseek
00000001803451fc (__TEXT,__text) external ___stack_chk_fail
00000001e8289f28 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
00000001e6fa2ed8 (__DATA,__data) external ___stderrp
00000001e6fa2ec8 (__DATA,__data) external ___stdinp
00000001803520d0 (__TEXT,__text) non-external (was a private external) ___stdio_init
00000001e6fa4978 (__DATA,__bss) non-external ___stdout_evp
00000001e6fa2ed0 (__DATA,__data) external ___stdoutp
0000000180351f80 (__TEXT,__text) external ___stpcpy_chk
000000018035205c (__TEXT,__text) external ___stpncpy_chk
00000001802e3154 (__TEXT,__text) external ___strcat_chk
00000001803298ec (__TEXT,__text) external ___strcp_D2A
00000001802ea65c (__TEXT,__text) external ___strcpy_chk
00000001e82886c8 (__DATA_DIRTY,__bss) non-external ___stream_max
00000001e6fa4b60 (__DATA,__bss) non-external ___strerror_ebuf
00000001802e68cc (__TEXT,__text) external ___strlcat_chk
00000001802e2950 (__TEXT,__text) external ___strlcpy_chk
00000001802e3bf8 (__TEXT,__text) external ___strncat_chk
00000001802e93c4 (__TEXT,__text) external ___strncpy_chk
0000000180309888 (__TEXT,__text) external ___sum_D2A
000000018033c9f4 (__TEXT,__text) external ___svfscanf
00000001802e6afc (__TEXT,__text) non-external (was a private external) ___svfscanf_l
0000000180356aa0 (__TEXT,__const) non-external ___svfscanf_l.basefix
000000018030df18 (__TEXT,__text) external ___swbuf
00000001802f10ac (__TEXT,__text) external ___swhatbuf
000000018030d3e4 (__TEXT,__text) external ___swrite
00000001802fd1e0 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00000001e6fa2fd0 (__DATA,__data) non-external ___systemfn_mutex
00000001e6fa30c8 (__DATA,__data) non-external ___systemfn_mutex
0000000180356260 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
0000000180316934 (__TEXT,__text) non-external ___thread_stack_async_pcs
0000000180316728 (__TEXT,__text) non-external ___thread_stack_pcs
00000001802ff4d8 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00000001e6fa4b58 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180356238 (__TEXT,__const) external ___tinytens_D2A
00000001802e3d24 (__TEXT,__text) external ___tolower
0000000180333150 (__TEXT,__text) external ___tolower_l
00000001802e3d60 (__TEXT,__text) external ___toupper
0000000180333130 (__TEXT,__text) external ___toupper_l
00000001803099d0 (__TEXT,__text) external ___trailz_D2A
00000001803022ec (__TEXT,__text) external ___ulp_D2A
00000001802e20d4 (__TEXT,__text) non-external ___ultoa
00000001802e21fc (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
00000001803015a0 (__TEXT,__text) external ___ungetc
000000018033be64 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00000001802e2d50 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
0000000180356f31 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
000000018034d204 (__TEXT,__text) non-external (was a private external) ___utmpxname
00000001e6fa4c20 (__DATA,__bss) non-external ___utx__
0000000180355f38 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00000001802deb8c (__TEXT,__text) non-external (was a private external) ___v2printf
00000001802deec8 (__TEXT,__text) non-external (was a private external) ___vfprintf
00000001803536e4 (__TEXT,__text) non-external ___vfprintf.cold.1
0000000180356a5f (__TEXT,__const) non-external ___vfprintf.xdigs_lower
0000000180356a6f (__TEXT,__const) non-external ___vfprintf.xdigs_upper
000000018033cc48 (__TEXT,__text) non-external (was a private external) ___vfwprintf
0000000180356ac4 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
0000000180356ad4 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
000000018033fc30 (__TEXT,__text) non-external (was a private external) ___vfwscanf
0000000180356bc0 (__TEXT,__const) non-external ___vfwscanf.basefix
00000001802eeb6c (__TEXT,__text) external ___vsnprintf_chk
0000000180351f10 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180333c50 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00000001803339cc (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180333044 (__TEXT,__text) external ___wcwidth
0000000180333170 (__TEXT,__text) external ___wcwidth_l
00000001802fdf40 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00000001802fb630 (__TEXT,__text) non-external (was a private external) ___xlocale_init
000000018031a73c (__TEXT,__text) non-external ___xlocale_release
000000018030b5c8 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180352664 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00000001e6fa2c60 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
000000018034bff8 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00000001802ee758 (__TEXT,__text) non-external (was a private external) ___xvprintf
0000000180347088 (__TEXT,__text) external __allocenvstate
0000000180329954 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
0000000180330688 (__TEXT,__text) non-external (was a private external) __ascii_init
00000001803306ec (__TEXT,__text) non-external __ascii_mbrtowc
0000000180330748 (__TEXT,__text) non-external __ascii_mbsinit
0000000180330750 (__TEXT,__text) non-external __ascii_mbsnrtowcs
0000000180330814 (__TEXT,__text) non-external __ascii_wcrtomb
0000000180330850 (__TEXT,__text) non-external __ascii_wcsnrtombs
0000000180315ee4 (__TEXT,__text) external __atexit_receipt
00000001e6fa3f80 (__DATA,__bss) non-external __atexit_receipt_enabled
00000001802efd2c (__TEXT,__text) non-external __backtrace_snprintf
0000000180310704 (__TEXT,__text) non-external __boottime_fallback_usec
00000001e4d19870 (__DATA_CONST,__const) external __c_locale
00000001803043f0 (__TEXT,__text) external __cleanup
0000000180317e2c (__TEXT,__text) external __closeutx
000000018034708c (__TEXT,__text) external __copyenv
00000001e875d328 (__AUTH,__data) external __cthread_init_routine
0000000180347114 (__TEXT,__text) external __deallocenvstate
000000018030b1d0 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00000001e6fa4c48 (__DATA,__common) non-external (was a private external) __e_err_exit
00000001e6fa4c40 (__DATA,__common) non-external (was a private external) __e_err_file
0000000180329bc4 (__TEXT,__text) non-external (was a private external) __e_visprintf
000000018034c6b4 (__TEXT,__text) external __endutxent
0000000180353ff0 (__TEXT,__text) non-external __endutxent.cold.1
0000000180354028 (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
000000018031098c (__TEXT,__text) non-external __ffpp_strtoencf32_l
000000018035211c (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
0000000180352148 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
0000000180355580 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
0000000180310c64 (__TEXT,__text) non-external __ffpp_strtoencf64_l
0000000180352174 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00000001803521a0 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00000001803521cc (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
0000000180355920 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
000000018032d06c (__TEXT,__text) non-external (was a private external) __filldir
000000018032f2d4 (__TEXT,__text) non-external (was a private external) __fixtelldir
00000001803382e0 (__TEXT,__text) external __flockfile_debug_stub
000000018030d068 (__TEXT,__text) external __fseeko
000000018030b3e8 (__TEXT,__text) external __ftello
0000000180304404 (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
00000001803453a4 (__TEXT,__text) external __getenvp
000000018034c9d4 (__TEXT,__text) external __getutxent
0000000180354060 (__TEXT,__text) non-external __getutxent.cold.1
0000000180354098 (__TEXT,__text) non-external __getutxent.cold.2
000000018034ca84 (__TEXT,__text) external __getutxid
00000001803540d0 (__TEXT,__text) non-external __getutxid.cold.1
0000000180354108 (__TEXT,__text) non-external __getutxid.cold.2
000000018034cc88 (__TEXT,__text) external __getutxline
0000000180354140 (__TEXT,__text) non-external __getutxline.cold.1
0000000180354178 (__TEXT,__text) non-external __getutxline.cold.2
00000001802edeac (__TEXT,__text) external __inet_aton_check
00000001802fb5b8 (__TEXT,__text) external __init_clock_port
0000000180342734 (__TEXT,__text) external __int_to_time
00000001802e94f8 (__TEXT,__text) non-external __isort
00000001802e96ac (__TEXT,__text) non-external __isort
0000000180346fdc (__TEXT,__text) non-external __legacy_crt1_environ
00000001e8288690 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00000001e6fa4588 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00000001e8288688 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00000001e6fa4580 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00000001e8288680 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00000001e6fa4578 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
000000018031d7d4 (__TEXT,__text) external __libc_fork_child
00000001802fb504 (__TEXT,__text) non-external (was a private external) __libc_fork_init
000000018031d7d0 (__TEXT,__text) external __libc_fork_parent
000000018031d7cc (__TEXT,__text) external __libc_fork_prepare
00000001802fb460 (__TEXT,__text) external __libc_initializer
00000001803327e0 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
00000001803327b8 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180332790 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
000000018034272c (__TEXT,__text) external __long_to_time
0000000180310538 (__TEXT,__text) non-external __mach_boottime_usec
0000000180315ef8 (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00000001e6fa3f84 (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00000001e8288678 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
0000000180309690 (__TEXT,__text) non-external __mkdtemp_action
000000018030f744 (__TEXT,__text) non-external __mkfilex_np
00000001802faeec (__TEXT,__text) non-external __mkostemps_action
00000001802eaec4 (__TEXT,__text) non-external __mkpath
000000018030aea0 (__TEXT,__text) external __mkpath_np
0000000180339c08 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00000001803535a0 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
0000000180339b28 (__TEXT,__text) external __mktemp
00000001802f1940 (__TEXT,__text) non-external __mktemp_action
00000001803331b4 (__TEXT,__text) non-external (was a private external) __none_init
0000000180306d4c (__TEXT,__text) non-external (was a private external) __none_mbrtowc
0000000180333218 (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180333220 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00000001803043b4 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00000001803332b4 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00000001e6fa4730 (__DATA,__bss) non-external __onlyClocaleconv
0000000180317d90 (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
000000018035270c (__TEXT,__text) external __os_assert_log
0000000180352994 (__TEXT,__text) external __os_assert_log_ctx
0000000180301024 (__TEXT,__text) external __os_assumes_log
000000018035284c (__TEXT,__text) external __os_assumes_log_ctx
00000001802e9010 (__TEXT,__text) external __os_avoid_tail_call
000000018035269c (__TEXT,__text) external __os_crash
00000001e6fa4c30 (__DATA,__common) external __os_crash_callback
000000018031e770 (__TEXT,__text) external __os_crash_fmt
0000000180352ab4 (__TEXT,__text) non-external __os_crash_fmt.cold.1
000000018031e6fc (__TEXT,__text) external __os_crash_msg
0000000180352524 (__TEXT,__text) external __os_debug_log
0000000180318064 (__TEXT,__text) external __os_debug_log_error_offset
0000000180301270 (__TEXT,__text) external __os_debug_log_error_str
0000000180301284 (__TEXT,__text) non-external __os_debug_log_init
0000000180318108 (__TEXT,__text) non-external __os_debug_log_open_file
0000000180317eb4 (__TEXT,__text) non-external __os_debug_log_write
0000000180318074 (__TEXT,__text) non-external __os_debug_log_write_error
000000018031e8c4 (__TEXT,__text) non-external __os_get_build
000000018031e818 (__TEXT,__text) non-external __os_get_image_uuid
                 (undefined) external __os_log_default (from libsystem_trace)
0000000180301180 (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
00000001802e2870 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00000001802e23e4 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00000001802e27d8 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001ece4e958 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
0000000180358f61 (__TEXT,__cstring) non-external __printf_tbl_flags
00000001802fb4cc (__TEXT,__text) non-external (was a private external) __program_vars_init
0000000180348410 (__TEXT,__text) non-external __psort
0000000180348f40 (__TEXT,__text) non-external __psort
00000001803499f0 (__TEXT,__text) non-external __psort
0000000180353c04 (__TEXT,__text) non-external __psort.cold.1
0000000180353c54 (__TEXT,__text) non-external __psort.cold.1
0000000180353ca4 (__TEXT,__text) non-external __psort.cold.1
00000001803483a4 (__TEXT,__text) non-external __psort_parallel
0000000180348ed4 (__TEXT,__text) non-external __psort_parallel
0000000180349980 (__TEXT,__text) non-external __psort_parallel
0000000180345a0c (__TEXT,__text) external __putenvp
000000018034cd90 (__TEXT,__text) external __pututxline
00000001803541b0 (__TEXT,__text) non-external __pututxline.cold.1
00000001803541e8 (__TEXT,__text) non-external __pututxline.cold.2
0000000180316a14 (__TEXT,__text) non-external __pwuid_r
0000000180309cdc (__TEXT,__text) non-external __qsort
000000018030a564 (__TEXT,__text) non-external __qsort
00000001e6fa2c90 (__DATA,__data) external __rand48_add
00000001e6fa2c88 (__DATA,__data) external __rand48_mult
00000001e6fa2c80 (__DATA,__data) external __rand48_seed
000000018032d808 (__TEXT,__text) external __readdir_unlocked
00000001802e3920 (__TEXT,__text) external __reclaim_telldir
00000001802f0ac0 (__TEXT,__text) non-external __releaselocale
0000000180356e64 (__TEXT,__const) non-external (was a private external) __rp_alist
00000001e8289f70 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
000000018032f218 (__TEXT,__text) external __seekdir
0000000180347170 (__TEXT,__text) external __setenvp
000000018034c58c (__TEXT,__text) external __setutxent
0000000180353f80 (__TEXT,__text) non-external __setutxent.cold.1
0000000180353fb8 (__TEXT,__text) non-external __setutxent.cold.2
000000018031d958 (__TEXT,__text) external __sigaction_nobind
00000001e6fa4c68 (__DATA,__common) external __sigintr
000000018032ec38 (__TEXT,__text) external __signal_nobind
00000001803103d8 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
000000018032eab0 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00000001802e89f8 (__TEXT,__text) external __sread
00000001802f1288 (__TEXT,__text) external __sseek
00000001802fbdc8 (__TEXT,__text) non-external (was a private external) __st_fmt
000000018031c6e0 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00000001802e5db8 (__TEXT,__text) non-external (was a private external) __st_localsub
00000001802e5dac (__TEXT,__text) non-external (was a private external) __st_set_timezone
00000001802f3a08 (__TEXT,__text) non-external (was a private external) __st_time1
00000001802e3ee8 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
000000018034d490 (__TEXT,__text) non-external __strfmon
0000000180302700 (__TEXT,__text) non-external __strptime0
0000000180356cb4 (__TEXT,__const) non-external __strptime0.start_of_month
000000018031bf24 (__TEXT,__text) external __subsystem_init
00000001802ee938 (__TEXT,__text) external __swrite
00000001803168f0 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00000001802eadf0 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
0000000180342714 (__TEXT,__text) external __time32_to_time
0000000180342720 (__TEXT,__text) external __time64_to_time
0000000180342730 (__TEXT,__text) external __time_to_int
0000000180342728 (__TEXT,__text) external __time_to_long
000000018034271c (__TEXT,__text) external __time_to_time32
0000000180342724 (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
0000000180347200 (__TEXT,__text) external __unsetenvp
0000000180317cb8 (__TEXT,__text) non-external (was a private external) __utmpx32_64
0000000180317d24 (__TEXT,__text) non-external (was a private external) __utmpx64_32
0000000180316c80 (__TEXT,__text) non-external (was a private external) __utmpx_asl
0000000180356f42 (__TEXT,__const) non-external (was a private external) __utmpx_vers
00000001803170a8 (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00000001e6fa3f88 (__DATA,__bss) non-external __utmpx_working_copy.idzero
000000018034d2c8 (__TEXT,__text) external __utmpxname
0000000180354220 (__TEXT,__text) non-external __utmpxname.cold.1
0000000180354258 (__TEXT,__text) non-external __utmpxname.cold.2
0000000180309b5c (__TEXT,__text) non-external (was a private external) __vasprintf
000000018030eb04 (__TEXT,__text) non-external (was a private external) __vdprintf
0000000180309a44 (__TEXT,__text) non-external (was a private external) __vsnprintf
00000001802fcb8c (__TEXT,__text) non-external __yconv
000000018034525c (__TEXT,__text) external _a64l
0000000180355b30 (__TEXT,__const) non-external _a64toi
000000018035397c (__TEXT,__text) external _abort
0000000180353ae8 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
0000000180345328 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
000000018031aeb4 (__TEXT,__text) external _acl_add_flag_np
000000018031af64 (__TEXT,__text) external _acl_add_perm
000000018031a868 (__TEXT,__text) external _acl_calc_mask
000000018031aec8 (__TEXT,__text) external _acl_clear_flags_np
000000018031afb0 (__TEXT,__text) external _acl_clear_perms
000000018031a88c (__TEXT,__text) external _acl_copy_entry
000000018031b1dc (__TEXT,__text) external _acl_copy_ext
00000001802eac08 (__TEXT,__text) external _acl_copy_ext_native
000000018031b2c4 (__TEXT,__text) external _acl_copy_int
000000018030f1d4 (__TEXT,__text) external _acl_copy_int_native
000000018031a9f0 (__TEXT,__text) external _acl_create_entry
000000018031a90c (__TEXT,__text) external _acl_create_entry_np
000000018031ae90 (__TEXT,__text) external _acl_delete_def_file
000000018031a9f8 (__TEXT,__text) external _acl_delete_entry
000000018031aca0 (__TEXT,__text) external _acl_delete_fd_np
000000018031acc4 (__TEXT,__text) external _acl_delete_file_np
000000018031aed4 (__TEXT,__text) external _acl_delete_flag_np
000000018031ace8 (__TEXT,__text) external _acl_delete_link_np
000000018031afbc (__TEXT,__text) external _acl_delete_perm
00000001802eab20 (__TEXT,__text) external _acl_dup
00000001e4d19878 (__DATA_CONST,__const) non-external _acl_flags
00000001802eace0 (__TEXT,__text) external _acl_free
000000018031b38c (__TEXT,__text) external _acl_from_text
00000001803101ec (__TEXT,__text) external _acl_get_entry
000000018031ad0c (__TEXT,__text) external _acl_get_fd
00000001803096c4 (__TEXT,__text) external _acl_get_fd_np
00000001803082ac (__TEXT,__text) external _acl_get_file
00000001803082b4 (__TEXT,__text) non-external _acl_get_file1
0000000180310318 (__TEXT,__text) external _acl_get_flag_np
00000001803102a8 (__TEXT,__text) external _acl_get_flagset_np
000000018031ad14 (__TEXT,__text) external _acl_get_link_np
000000018031b008 (__TEXT,__text) external _acl_get_perm_np
000000018031b04c (__TEXT,__text) external _acl_get_permset
000000018031b118 (__TEXT,__text) external _acl_get_permset_mask_np
000000018031aaf4 (__TEXT,__text) external _acl_get_qualifier
000000018031ab74 (__TEXT,__text) external _acl_get_tag_type
000000018030f284 (__TEXT,__text) external _acl_init
000000018031b104 (__TEXT,__text) external _acl_maximal_permset_mask_np
00000001e4d19938 (__DATA_CONST,__const) non-external _acl_perms
000000018031ad94 (__TEXT,__text) external _acl_set_fd
000000018031ad1c (__TEXT,__text) external _acl_set_fd_np
000000018031ad98 (__TEXT,__text) external _acl_set_file
000000018031aee8 (__TEXT,__text) external _acl_set_flagset_np
000000018031ae10 (__TEXT,__text) external _acl_set_link_np
000000018031b0a8 (__TEXT,__text) external _acl_set_permset
000000018031b174 (__TEXT,__text) external _acl_set_permset_mask_np
000000018031abd0 (__TEXT,__text) external _acl_set_qualifier
000000018031ac3c (__TEXT,__text) external _acl_set_tag_type
00000001802eab9c (__TEXT,__text) external _acl_size
000000018031b9d0 (__TEXT,__text) external _acl_to_text
000000018031a7ac (__TEXT,__text) external _acl_valid
000000018031a7fc (__TEXT,__text) external _acl_valid_fd_np
000000018031a820 (__TEXT,__text) external _acl_valid_file_np
000000018031a844 (__TEXT,__text) external _acl_valid_link
000000018031261c (__TEXT,__text) non-external _addToMP
000000018033a718 (__TEXT,__text) non-external _addaster
000000018032e9b8 (__TEXT,__text) non-external _addcmd
000000018033577c (__TEXT,__text) external _addr2ascii
00000001e6fa4918 (__DATA,__bss) non-external _addr2ascii.staticbuf
000000018033a904 (__TEXT,__text) non-external _addtype
000000018033b460 (__TEXT,__text) non-external _addwaster
00000001802f2638 (__TEXT,__text) non-external _advance_directory
0000000180352508 (__TEXT,__text) non-external _advance_directory.cold.1
00000001803083a8 (__TEXT,__text) external _alarm
00000001803230d4 (__TEXT,__text) non-external _alloc_segs
000000018032e264 (__TEXT,__text) external _alphasort
0000000180356db4 (__TEXT,__const) non-external _ambig
00000001802de6b0 (__TEXT,__text) non-external _arc4_init
0000000180352b54 (__TEXT,__text) non-external _arc4_init.cold.1
00000001802e94b8 (__TEXT,__text) external _arc4random
0000000180329950 (__TEXT,__text) external _arc4random_addrandom
00000001802de664 (__TEXT,__text) external _arc4random_buf
0000000180309260 (__TEXT,__text) external _arc4random_stir
00000001802eed10 (__TEXT,__text) external _arc4random_uniform
00000001e6fa4bf0 (__DATA,__bss) non-external _arg_type_queue
000000018034bdf0 (__TEXT,__text) non-external (was a private external) _arrayfree
000000018030bfa0 (__TEXT,__text) non-external _arrayget
0000000180335858 (__TEXT,__text) external _ascii2addr
0000000180306fc4 (__TEXT,__text) external _asctime
00000001802fbae0 (__TEXT,__text) external _asctime_r
0000000180356bf7 (__TEXT,__const) non-external _asctime_r.mon_name
0000000180356be2 (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
00000001802ea3d0 (__TEXT,__text) external _asprintf
000000018033832c (__TEXT,__text) external _asprintf_l
000000018031c6ec (__TEXT,__text) external _asxprintf
000000018031ce38 (__TEXT,__text) external _asxprintf_exec
0000000180302464 (__TEXT,__text) external _atexit
0000000180304488 (__TEXT,__text) external _atexit_b
00000001e8288580 (__DATA_DIRTY,__data) non-external _atexit_mutex
00000001802e3218 (__TEXT,__text) non-external _atexit_register
0000000180353b3c (__TEXT,__text) non-external _atexit_register.cold.1
000000018030f0d4 (__TEXT,__text) external _atof
00000001802fd2f8 (__TEXT,__text) external _atof_l
00000001802e9948 (__TEXT,__text) external _atoi
0000000180345338 (__TEXT,__text) external _atoi_l
00000001802f1acc (__TEXT,__text) external _atol
000000018034535c (__TEXT,__text) external _atol_l
00000001802eb2ec (__TEXT,__text) external _atoll
000000018034536c (__TEXT,__text) external _atoll_l
00000001802ead68 (__TEXT,__text) external _backtrace
0000000180312dbc (__TEXT,__text) external _backtrace_async
0000000180312e28 (__TEXT,__text) external _backtrace_from_fp
00000001e875d300 (__AUTH,__data) non-external _backtrace_get_pcs_func
00000001802f1598 (__TEXT,__text) external _backtrace_image_offsets
0000000180312d9c (__TEXT,__text) external _backtrace_set_pcs_func
00000001802efb90 (__TEXT,__text) external _backtrace_symbols
0000000180312e90 (__TEXT,__text) external _backtrace_symbols_fd
00000001802f1538 (__TEXT,__text) external _basename
00000001e82886b0 (__DATA_DIRTY,__bss) non-external _basename.bname
00000001802f0ca0 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00000001802de794 (__TEXT,__text) external _bcopy
0000000180312948 (__TEXT,__text) non-external _bitCountMP
0000000180352434 (__TEXT,__text) non-external _bitCountMP.cold.1
0000000180356a7f (__TEXT,__const) non-external _blanks
0000000180356b40 (__TEXT,__const) non-external _blanks
00000001e6fa30a4 (__DATA,__data) non-external _blanks
                 (undefined) external _bootstrap_parent (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
0000000180315f7c (__TEXT,__text) non-external _both_ftw
00000001e6fa3f08 (__DATA,__bss) non-external _brapreg
0000000180310818 (__TEXT,__text) external _brk
000000018031083c (__TEXT,__text) external _bsd_signal
00000001802e3ca0 (__TEXT,__text) external _bsearch
00000001802ec910 (__TEXT,__text) external _bsearch_b
000000018032218c (__TEXT,__text) non-external _bt_broot
0000000180321edc (__TEXT,__text) non-external _bt_page
00000001803222f8 (__TEXT,__text) non-external _bt_preserve
0000000180322350 (__TEXT,__text) non-external _bt_psplit
0000000180321df8 (__TEXT,__text) non-external _bt_root
0000000180322084 (__TEXT,__text) non-external _bt_rroot
000000018030fa60 (__TEXT,__text) external _btowc
000000018030fa84 (__TEXT,__text) external _btowc_l
00000001e6fa49a8 (__DATA,__bss) non-external _buf_asctime
000000018033a9e8 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
0000000180355300 (__TEXT,__const) non-external (was a private external) _cVersionNumber
