000000025a1a26e4 (__TEXT,__text) external _AAAFSCGetMetadata
000000025a15971c (__TEXT,__text) non-external (was a private external) _OECCStreamWrite
000000025a15c848 (__TEXT,__text) non-external (was a private external) _OFileStreamCreateWithFilename
000000025a15c928 (__TEXT,__text) non-external (was a private external) _OFileStreamDestroy
000000025a15c978 (__TEXT,__text) non-external (was a private external) _OFileStreamWrite
000000025a15d238 (__TEXT,__text) non-external (was a private external) _OMemStreamCreate
000000025a15d31c (__TEXT,__text) non-external (was a private external) _OMemStreamDestroy
000000025a15b16c (__TEXT,__text) non-external (was a private external) _OMemStreamGetNWritten
000000025a15d2b0 (__TEXT,__text) non-external (was a private external) _OMemStreamWrite
000000025a15c074 (__TEXT,__text) non-external (was a private external) _ONullStreamWrite
000000025a15c1dc (__TEXT,__text) non-external (was a private external) _OSHA1StreamAbort
000000025a15c07c (__TEXT,__text) non-external (was a private external) _OSHA1StreamCreate
000000025a15c114 (__TEXT,__text) non-external (was a private external) _OSHA1StreamDestroy
000000025a15c15c (__TEXT,__text) non-external (was a private external) _OSHA1StreamWrite
000000025a138f14 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000025a136b4c (__TEXT,__text) non-external (was a private external) _PCompressCopyDecode
000000025a136b0c (__TEXT,__text) non-external (was a private external) _PCompressCopyEncode
000000025a135fb8 (__TEXT,__text) non-external (was a private external) _PCompressFilter
000000025a12d160 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderDescription
000000025a14a608 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderFilter
000000025a12d134 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderKey
000000025a12d128 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDecoder
000000025a12d108 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDescription
000000025a14a5e8 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderFilter
000000025a138f70 (__TEXT,__text) non-external (was a private external) _PCompressLZ4Decode
000000025a138f48 (__TEXT,__text) non-external (was a private external) _PCompressLZ4Encode
000000025a1acdd0 (__TEXT,__text) non-external (was a private external) _PCompressLZBITMAPDecode
000000025a1acda8 (__TEXT,__text) non-external (was a private external) _PCompressLZBITMAPEncode
000000025a13bc08 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEDecode
000000025a13bbe0 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEEncode
000000025a13d754 (__TEXT,__text) non-external (was a private external) _PCompressLZMA6Encode
000000025a13d77c (__TEXT,__text) non-external (was a private external) _PCompressLZMADecode
000000025a149274 (__TEXT,__text) non-external (was a private external) _PCompressLZVNDecode
000000025a14924c (__TEXT,__text) non-external (was a private external) _PCompressLZVNEncode
000000025a14a4a8 (__TEXT,__text) non-external (was a private external) _PCompressZLIB5Encode
000000025a14a4f0 (__TEXT,__text) non-external (was a private external) _PCompressZLIBDecode
000000025a1acdf8 (__TEXT,__text) non-external (was a private external) _PagedFileCreate
000000025a1ad1c8 (__TEXT,__text) non-external (was a private external) _PagedFileDestroy
000000025a1ad354 (__TEXT,__text) non-external (was a private external) _PagedFileDump
000000025a1ada78 (__TEXT,__text) non-external (was a private external) _PagedFileHasAllOut
000000025a1ada28 (__TEXT,__text) non-external (was a private external) _PagedFileHasNoIn
000000025a1adae4 (__TEXT,__text) non-external (was a private external) _PagedFileReadAndReleaseIn
000000025a1ada1c (__TEXT,__text) non-external (was a private external) _PagedFileReleaseAllIn
000000025a1ad6b0 (__TEXT,__text) non-external (was a private external) _PagedFileReleaseIn
000000025a1add00 (__TEXT,__text) non-external (was a private external) _PagedFileRetainAndWriteOut
000000025a1ad604 (__TEXT,__text) non-external (was a private external) _PagedFileRetainIn
000000025a1ad7d0 (__TEXT,__text) non-external (was a private external) _PagedFileRetainOut
000000025a1588fc (__TEXT,__text) non-external _ParallelArchiveECCFixCommon
000000025a1588e0 (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCFixFileSegment
000000025a1592bc (__TEXT,__text) non-external _ParallelArchiveECCVerifyCommon
000000025a159484 (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCVerifyFileSegment
000000025a161e54 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCCompress
000000025a160c20 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCFixupMetadata
000000025a160b3c (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCGetMetadata
000000025a1608a0 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCGetMetadataFD
000000025a16013c (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamClose
000000025a15fb14 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamOpen
000000025a15feb4 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamWrite
000000025a14a590 (__TEXT,__text) non-external (was a private external) _ParallelCompressionDecode
000000025a14a530 (__TEXT,__text) non-external (was a private external) _ParallelCompressionEncode
000000025a16b950 (__TEXT,__text) non-external (was a private external) _ParallelCompressionEnterThreadErrorContext
000000025a14dfc0 (__TEXT,__text) non-external (was a private external) _ParallelCompressionGetCompressedSize
000000025a16b954 (__TEXT,__text) non-external (was a private external) _ParallelCompressionLeaveThreadErrorContext
000000025a16b958 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateError
000000025a16b990 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateWarning
000000025a13dca8 (__TEXT,__text) non-external _RNG
000000025a1a9920 (__TEXT,__text) non-external _RandomAccessDecompressStreamAbort
000000025a1a9724 (__TEXT,__text) non-external _RandomAccessDecompressStreamDestroy
000000025a1a9798 (__TEXT,__text) non-external _RandomAccessDecompressStreamGetBlock
000000025a132938 (__TEXT,__text) non-external _RandomAccessDecryptionStreamAbort
000000025a1327ac (__TEXT,__text) non-external _RandomAccessDecryptionStreamDestroy
000000025a1328b8 (__TEXT,__text) non-external _RandomAccessDecryptionStreamGetBlock
000000025a16fa00 (__TEXT,__text) non-external (was a private external) _RawImageDiff
000000025a14a628 (__TEXT,__text) non-external (was a private external) _RawImagePatchInternal
000000025a13e5d8 (__TEXT,__text) non-external _ScryptDerive_KEY256
                 (undefined) external _SecAccessControlCreateWithFlags (from Security)
                 (undefined) external _SecItemAdd (from Security)
                 (undefined) external _SecItemCopyMatching (from Security)
                 (undefined) external _SecItemDelete (from Security)
000000025a16f518 (__TEXT,__text) non-external _SegmentStreamCancel
000000025a16e678 (__TEXT,__text) non-external _SegmentStreamClose
000000025a16e510 (__TEXT,__text) non-external _SegmentStreamCreate
000000025a16ed44 (__TEXT,__text) non-external _SegmentStreamPRead
000000025a16f38c (__TEXT,__text) non-external _SegmentStreamPWrite
000000025a16f520 (__TEXT,__text) non-external _SegmentStreamSimulate
000000025a18c2e8 (__TEXT,__text) non-external _SemInit
000000025a18c2e8 (__TEXT,__text) non-external _SemInit
000000025a144870 (__TEXT,__text) non-external _SharedArrayEnqueue
000000025a144870 (__TEXT,__text) non-external _SharedArrayEnqueue
000000025a150c0c (__TEXT,__text) non-external _SharedArrayEnqueue
000000025a150c0c (__TEXT,__text) non-external _SharedArrayEnqueue
000000025a1503d8 (__TEXT,__text) non-external _SharedArrayPush
000000025a1aac48 (__TEXT,__text) non-external _SharedArrayPush
000000025a1508d4 (__TEXT,__text) non-external (was a private external) _SharedBufferAbort
000000025a15003c (__TEXT,__text) non-external (was a private external) _SharedBufferCreate
000000025a150570 (__TEXT,__text) non-external (was a private external) _SharedBufferDecRefCount
000000025a1504f4 (__TEXT,__text) non-external (was a private external) _SharedBufferDestroy
000000025a150588 (__TEXT,__text) non-external (was a private external) _SharedBufferFillFromStream
000000025a150998 (__TEXT,__text) non-external (was a private external) _SharedBufferFlushToStream
000000025a150de4 (__TEXT,__text) non-external (was a private external) _SharedBufferRead
000000025a150da0 (__TEXT,__text) non-external _SharedBufferReadFromBufferProc
000000025a150d40 (__TEXT,__text) non-external (was a private external) _SharedBufferWrite
000000025a150e34 (__TEXT,__text) non-external _SharedBufferWriteToBufferProc
000000025a14fbd8 (__TEXT,__text) non-external _SimStreamClose
000000025a14fd34 (__TEXT,__text) non-external _SimStreamPRead
000000025a14fd3c (__TEXT,__text) non-external _SimStreamPWrite
000000025a14fd44 (__TEXT,__text) non-external _SimStreamSimulate
000000025a157ff4 (__TEXT,__text) non-external (was a private external) _StringTableAppend
000000025a158124 (__TEXT,__text) non-external (was a private external) _StringTableAppendTable
000000025a157fe8 (__TEXT,__text) non-external (was a private external) _StringTableClear
000000025a1585d8 (__TEXT,__text) non-external _StringTableCmp
000000025a157ea8 (__TEXT,__text) non-external (was a private external) _StringTableCreate
000000025a157f9c (__TEXT,__text) non-external (was a private external) _StringTableDestroy
000000025a15853c (__TEXT,__text) non-external (was a private external) _StringTableMatchesPrefixSorted
000000025a1583f4 (__TEXT,__text) non-external _StringTableSearchSortedWithLength
000000025a1585d0 (__TEXT,__text) non-external (was a private external) _StringTableSize
000000025a158254 (__TEXT,__text) non-external (was a private external) _StringTableSort
000000025a15e6a4 (__TEXT,__text) non-external (was a private external) _ThreadPipelineCreate
000000025a15f100 (__TEXT,__text) non-external (was a private external) _ThreadPipelineDestroy
000000025a15f784 (__TEXT,__text) non-external (was a private external) _ThreadPipelineFlush
000000025a15f520 (__TEXT,__text) non-external (was a private external) _ThreadPipelineGetWorker
000000025a15f664 (__TEXT,__text) non-external (was a private external) _ThreadPipelineRunWorker
000000025a1a83f8 (__TEXT,__text) non-external (was a private external) _ThreadPoolCreate
000000025a1a888c (__TEXT,__text) non-external (was a private external) _ThreadPoolDestroy
000000025a1a8bac (__TEXT,__text) non-external (was a private external) _ThreadPoolGetWorker
000000025a1a8cf0 (__TEXT,__text) non-external (was a private external) _ThreadPoolRunWorker
000000025a1a8ddc (__TEXT,__text) non-external (was a private external) _ThreadPoolSync
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000025a12cdec (__TEXT,__text) non-external (was a private external) __Z13pc_array_initm
000000025a12cd74 (__TEXT,__text) non-external (was a private external) __Z13pc_array_initmm
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
000000026ba16278 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
000000025a16b730 (__TEXT,__text) non-external ___createThread_block_invoke
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
000000025a147150 (__TEXT,__text) non-external (was a private external) _aaArchiveFileOutputStreamCloseAndReturnFD
000000025a1460d8 (__TEXT,__text) non-external (was a private external) _aaArchiveFileOutputStreamOpenAt
000000025a146c3c (__TEXT,__text) non-external (was a private external) _aaArchiveFileOutputStreamOpenAtWithState
000000025a132954 (__TEXT,__text) non-external (was a private external) _aaAssetDecodeStreamDone
000000025a132b28 (__TEXT,__text) non-external (was a private external) _aaAssetDecodeStreamOpen
000000025a133d38 (__TEXT,__text) non-external (was a private external) _aaAssetDecodeStreamOpenWithState
000000025a132aa4 (__TEXT,__text) non-external (was a private external) _aaAssetDecodeStreamSetParameterPtr
000000025a15d630 (__TEXT,__text) non-external (was a private external) _aaAssetDecompressionStreamOpen
000000025a15e0cc (__TEXT,__text) non-external (was a private external) _aaAssetDecompressionStreamOpenWithState
000000025a17ca2c (__TEXT,__text) non-external (was a private external) _aaAssetDecryptionStreamOpen
000000025a17e548 (__TEXT,__text) non-external (was a private external) _aaAssetDecryptionStreamOpenWithState
000000025a1673d0 (__TEXT,__text) non-external (was a private external) _aaAssetExtractStreamOpen
000000025a1675f0 (__TEXT,__text) non-external (was a private external) _aaAssetExtractStreamOpenWithState
000000025a167338 (__TEXT,__text) non-external (was a private external) _aaAssetExtractStreamSetParameterCallback
000000025a1670cc (__TEXT,__text) non-external (was a private external) _aaAssetExtractStreamSetParameterPtr
000000025a134f2c (__TEXT,__text) non-external _aaAssetExtractorCreateCommon
000000025a13590c (__TEXT,__text) non-external _aaAssetExtractorProgress
000000025a1a993c (__TEXT,__text) non-external (was a private external) _aaAsyncByteStreamAlloc
000000025a1aa0d0 (__TEXT,__text) non-external (was a private external) _aaAsyncByteStreamIsCancelled
000000025a1a0888 (__TEXT,__text) non-external (was a private external) _aaByteStreamPCWriteProc
000000025a1a0870 (__TEXT,__text) non-external (was a private external) _aaByteStreamSimulate
000000025a141f50 (__TEXT,__text) non-external _aaCacheStreamCancel
000000025a141f5c (__TEXT,__text) non-external _aaCacheStreamClose
000000025a141880 (__TEXT,__text) non-external (was a private external) _aaCacheStreamOpen
000000025a141be8 (__TEXT,__text) non-external _aaCacheStreamPRead
000000025a141d80 (__TEXT,__text) non-external _aaCacheStreamPWrite
000000025a141f40 (__TEXT,__text) non-external _aaCacheStreamRead
000000025a141b68 (__TEXT,__text) non-external _aaCacheStreamSeek
000000025a1420a0 (__TEXT,__text) non-external _aaCacheStreamTruncate
000000025a141f48 (__TEXT,__text) non-external _aaCacheStreamWrite
000000025a1834f0 (__TEXT,__text) non-external (was a private external) _aaCheckAndFixWithPath
000000025a152374 (__TEXT,__text) non-external (was a private external) _aaCompositeChunkAsyncStreamOpen
000000025a1a5a18 (__TEXT,__text) non-external _aaCompressionOutputStreamAbort
000000025a1a5a24 (__TEXT,__text) non-external _aaCompressionOutputStreamClose
000000025a1a5b78 (__TEXT,__text) non-external _aaCompressionOutputStreamFlush
000000025a1a58ec (__TEXT,__text) non-external _aaCompressionOutputStreamWrite
000000025a183d4c (__TEXT,__text) non-external (was a private external) _aaCopyFile
000000025a1a78cc (__TEXT,__text) non-external _aaDecompressionStreamAbort
000000025a1a7058 (__TEXT,__text) non-external _aaDecompressionStreamClose
000000025a1a7110 (__TEXT,__text) non-external _aaDecompressionStreamRead
000000025a1a6f7c (__TEXT,__text) non-external _aaDecompressionStreamReadInput
000000025a1a6e10 (__TEXT,__text) non-external _aaDecompressionStreamRefill
000000025a196d74 (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobApplyToFD
000000025a195e90 (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobInitWithEncodedData
000000025a196470 (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobInitWithFD
000000025a196310 (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobInitWithPath
000000025a182c54 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesApplyToFD
000000025a182614 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesApplyToPath
000000025a183194 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesCmp
000000025a181f58 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesInitWithFD
000000025a181924 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesInitWithHeader
000000025a182260 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesInitWithPath
000000025a18339c (__TEXT,__text) non-external (was a private external) _aaEntryHashesCmp
000000025a181510 (__TEXT,__text) non-external (was a private external) _aaEntryHashesInitWithFD
000000025a1817a8 (__TEXT,__text) non-external (was a private external) _aaEntryHashesInitWithPath
000000025a183308 (__TEXT,__text) non-external (was a private external) _aaEntryInternalAttributesCmp
000000025a1818f4 (__TEXT,__text) non-external (was a private external) _aaEntryTypeFromMode
000000025a193f0c (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobApplyToFD
000000025a193364 (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobInitWithEncodedData
000000025a19384c (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobInitWithFD
000000025a1936fc (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobInitWithPath
000000025a19d61c (__TEXT,__text) non-external (was a private external) _aaEntryYECBlobInitWithEncodedData
000000025a19d8b8 (__TEXT,__text) non-external (was a private external) _aaEntryYECBlobInitWithFD
000000025a19d760 (__TEXT,__text) non-external (was a private external) _aaEntryYECBlobInitWithPath
000000025a17c3e0 (__TEXT,__text) non-external (was a private external) _aaEntryYFPBlobInitWithPath
000000025a1a0e48 (__TEXT,__text) non-external _aaFileStreamAbort
000000025a1a08f8 (__TEXT,__text) non-external _aaFileStreamClose
000000025a1a0e84 (__TEXT,__text) non-external _aaFileStreamFlush
000000025a1a08b8 (__TEXT,__text) non-external (was a private external) _aaFileStreamGetFD
000000025a1a0d38 (__TEXT,__text) non-external _aaFileStreamPRead
000000025a1a0dc0 (__TEXT,__text) non-external _aaFileStreamPWrite
000000025a1a0c30 (__TEXT,__text) non-external _aaFileStreamRead
000000025a1a0e54 (__TEXT,__text) non-external _aaFileStreamSeek
000000025a1a0e6c (__TEXT,__text) non-external _aaFileStreamTruncate
000000025a1a0cb4 (__TEXT,__text) non-external _aaFileStreamWrite
000000025a16e6dc (__TEXT,__text) non-external (was a private external) _aaForkInputStreamOpen
000000025a156ab4 (__TEXT,__text) non-external (was a private external) _aaForkOutputStreamOpen
000000025a191314 (__TEXT,__text) non-external (was a private external) _aaHeaderAppendEntryAttributes
000000025a19164c (__TEXT,__text) non-external (was a private external) _aaHeaderBlobArrayInitWithHeader
000000025a19195c (__TEXT,__text) non-external (was a private external) _aaHeaderBlobArrayPayloadSize
000000025a18fdb8 (__TEXT,__text) non-external (was a private external) _aaHeaderInitWithEncodedData
000000025a1905f4 (__TEXT,__text) non-external (was a private external) _aaHeaderInitWithPath
000000025a16daec (__TEXT,__text) non-external _aaInPlaceStreamCancel
000000025a16da10 (__TEXT,__text) non-external _aaInPlaceStreamClose
000000025a16d660 (__TEXT,__text) non-external (was a private external) _aaInPlaceStreamOpen
000000025a16d938 (__TEXT,__text) non-external _aaInPlaceStreamPRead
000000025a16d940 (__TEXT,__text) non-external _aaInPlaceStreamPWrite
000000025a16d948 (__TEXT,__text) non-external _aaInPlaceStreamRead
000000025a16d960 (__TEXT,__text) non-external _aaInPlaceStreamSeek
000000025a16d954 (__TEXT,__text) non-external _aaInPlaceStreamWrite
000000025a174e58 (__TEXT,__text) non-external (was a private external) _aaInSituStreamOpen
000000025a16eaf0 (__TEXT,__text) non-external (was a private external) _aaIntervalInputStreamOpen
000000025a1a16a0 (__TEXT,__text) non-external _aaMagicStreamAbort
000000025a1a1558 (__TEXT,__text) non-external _aaMagicStreamClose
000000025a1a158c (__TEXT,__text) non-external _aaMagicStreamRead
000000025a16e268 (__TEXT,__text) non-external (was a private external) _aaSegmentStreamOpen
000000025a1a6550 (__TEXT,__text) non-external (was a private external) _aaSequentialDecompressionIStreamOpen
000000025a1a136c (__TEXT,__text) non-external _aaSharedBufferIStreamClose
000000025a1a1324 (__TEXT,__text) non-external _aaSharedBufferOStreamClose
000000025a1a13a0 (__TEXT,__text) non-external _aaSharedBufferRead
000000025a1a1368 (__TEXT,__text) non-external _aaSharedBufferWrite
000000025a1a19fc (__TEXT,__text) non-external _aaTeeStreamAbort
000000025a1a17a8 (__TEXT,__text) non-external _aaTeeStreamClose
000000025a1a18d0 (__TEXT,__text) non-external _aaTeeStreamPWrite
000000025a1a17c4 (__TEXT,__text) non-external _aaTeeStreamWrite
000000025a1a0940 (__TEXT,__text) non-external _aaTempFileStreamClose
000000025a197824 (__TEXT,__text) non-external _ace_check_entry
                 (undefined) external _acl_add_flag_np (from libSystem)
                 (undefined) external _acl_create_entry (from libSystem)
                 (undefined) external _acl_free (from libSystem)
                 (undefined) external _acl_get_entry (from libSystem)
                 (undefined) external _acl_get_fd_np (from libSystem)
                 (undefined) external _acl_get_flag_np (from libSystem)
                 (undefined) external _acl_get_flagset_np (from libSystem)
                 (undefined) external _acl_get_permset_mask_np (from libSystem)
                 (undefined) external _acl_get_qualifier (from libSystem)
                 (undefined) external _acl_get_tag_type (from libSystem)
                 (undefined) external _acl_init (from libSystem)
                 (undefined) external _acl_set_fd (from libSystem)
                 (undefined) external _acl_set_permset_mask_np (from libSystem)
                 (undefined) external _acl_set_qualifier (from libSystem)
                 (undefined) external _acl_set_tag_type (from libSystem)
000000025a178b9c (__TEXT,__text) non-external _add_control
000000025a139474 (__TEXT,__text) non-external (was a private external) _aeaChecksum
000000025a139048 (__TEXT,__text) non-external (was a private external) _aeaChecksumSize
000000025a1538cc (__TEXT,__text) non-external (was a private external) _aeaContainerAppendSegment
000000025a1528cc (__TEXT,__text) non-external (was a private external) _aeaContainerCreateExisting
000000025a152614 (__TEXT,__text) non-external (was a private external) _aeaContainerCreateNew
000000025a152574 (__TEXT,__text) non-external (was a private external) _aeaContainerDestroy
000000025a154f54 (__TEXT,__text) non-external (was a private external) _aeaContainerFinish
000000025a1547d8 (__TEXT,__text) non-external (was a private external) _aeaContainerLoadSegment
000000025a139408 (__TEXT,__text) non-external (was a private external) _aeaContainerOffsetsInit
000000025a139064 (__TEXT,__text) non-external (was a private external) _aeaContainerParamsInitWithMagic
000000025a138fa4 (__TEXT,__text) non-external (was a private external) _aeaContainerParamsInitWithProfile
000000025a139140 (__TEXT,__text) non-external (was a private external) _aeaContainerParamsInitWithRootHeader
000000025a153c9c (__TEXT,__text) non-external (was a private external) _aeaContainerReencrypt
000000025a153b74 (__TEXT,__text) non-external (was a private external) _aeaContainerRemoveLastSegment
000000025a153b10 (__TEXT,__text) non-external (was a private external) _aeaContainerRemovePadding
000000025a176a00 (__TEXT,__text) non-external (was a private external) _aeaContextCreateWithPrologue
000000025a175b1c (__TEXT,__text) non-external (was a private external) _aeaContextUnlock
000000025a13d7a4 (__TEXT,__text) non-external (was a private external) _aeaCryptoInit
000000025a139674 (__TEXT,__text) non-external (was a private external) _aeaDeriveMainKeyExisting
000000025a13a69c (__TEXT,__text) non-external (was a private external) _aeaDeriveMainKeyNew
000000025a139664 (__TEXT,__text) non-external (was a private external) _aeaEffectiveCompressionAlgorithm
000000025a1413e4 (__TEXT,__text) non-external _aeaInputStreamAuthenticatePadding
000000025a140540 (__TEXT,__text) non-external _aeaInputStreamCancel
000000025a1405a4 (__TEXT,__text) non-external _aeaInputStreamClose
000000025a140764 (__TEXT,__text) non-external _aeaInputStreamDecryptSegment
000000025a140cac (__TEXT,__text) non-external _aeaInputStreamLoadSegment
000000025a140324 (__TEXT,__text) non-external _aeaInputStreamRead
000000025a149de4 (__TEXT,__text) non-external _aeaKeychainCreateAttributes
000000025a1b4902 (__TEXT,__cstring) non-external _aeaKeychainCreateAttributes.hex
000000025a139300 (__TEXT,__text) non-external (was a private external) _aeaMagicInit
000000025a143bc8 (__TEXT,__text) non-external _aeaOutputStreamAbort
000000025a143be4 (__TEXT,__text) non-external _aeaOutputStreamClose
000000025a1442ec (__TEXT,__text) non-external _aeaOutputStreamCloseAndUpdateContext
000000025a14475c (__TEXT,__text) non-external _aeaOutputStreamRunCurrentWorker
000000025a14269c (__TEXT,__text) non-external (was a private external) _aeaOutputStreamRunThreads
000000025a142b30 (__TEXT,__text) non-external _aeaOutputStreamWorkerThreadProc
000000025a14398c (__TEXT,__text) non-external _aeaOutputStreamWrite
000000025a143338 (__TEXT,__text) non-external _aeaOutputStreamWriterThreadProc
000000025a154eac (__TEXT,__text) non-external (was a private external) _aeaPaddedContainerSize
000000025a138f98 (__TEXT,__text) non-external (was a private external) _aeaProfileIsValid
000000025a139324 (__TEXT,__text) non-external (was a private external) _aeaRootHeaderInit
000000025a1466ec (__TEXT,__text) non-external _afStreamCancel
000000025a146540 (__TEXT,__text) non-external _afStreamClose
000000025a1469e0 (__TEXT,__text) non-external _afStreamCloseWithState
000000025a146700 (__TEXT,__text) non-external _afStreamWrite
000000025a1a4284 (__TEXT,__text) non-external _afscStreamCancel
000000025a1a3d54 (__TEXT,__text) non-external _afscStreamClose
000000025a1a46b4 (__TEXT,__text) non-external _afscStreamCloseWithState
000000025a1a1b8c (__TEXT,__text) non-external _afscStreamOpen
000000025a1a4298 (__TEXT,__text) non-external _afscStreamWrite
000000025a12c2d4 (__TEXT,__text) non-external _aggregate_copy_fork
000000025a12cd14 (__TEXT,__text) non-external _aggregate_identical_forks
000000025a137a88 (__TEXT,__text) non-external (was a private external) _apfs_scan_diskimage
000000025a195e18 (__TEXT,__text) non-external _appendFieldIfNotDefinedString
000000025a195db0 (__TEXT,__text) non-external _appendFieldIfNotDefinedTimespec
000000025a195d40 (__TEXT,__text) non-external _appendFieldIfNotDefinedUInt
000000025a12f908 (__TEXT,__text) non-external (was a private external) _appendPathListWorkerProc
000000025a16b158 (__TEXT,__text) non-external (was a private external) _appendThreadErrorContextString
000000025a192804 (__TEXT,__text) non-external _append_field
000000025a18f22c (__TEXT,__text) non-external _applyEntryAttributes
000000025a16ab70 (__TEXT,__text) non-external _applyYEC
000000025a165ff0 (__TEXT,__text) non-external (was a private external) _areFilesEqual
000000025a1662f4 (__TEXT,__text) non-external (was a private external) _areFilesEqual2
000000025a134788 (__TEXT,__text) non-external _asyncContext
000000025a152018 (__TEXT,__text) non-external _asyncContext
000000025a134a7c (__TEXT,__text) non-external _asyncProgress
000000025a15232c (__TEXT,__text) non-external _asyncProgress
000000025a134a64 (__TEXT,__text) non-external _asyncSelect
000000025a15af20 (__TEXT,__text) non-external _bestMatchInRange
000000025a16dce0 (__TEXT,__text) non-external _blockGetFromCache
000000025a16db68 (__TEXT,__text) non-external _blockReader
000000025a16de34 (__TEXT,__text) non-external _blockWriter
                 (undefined) external _bsearch (from libSystem)
000000025a173104 (__TEXT,__text) non-external (was a private external) _bxdiff5Alloc
000000025a173abc (__TEXT,__text) non-external (was a private external) _bxdiff5CreateComboControls
000000025a174420 (__TEXT,__text) non-external (was a private external) _bxdiff5CreateComboPatch
000000025a1738e8 (__TEXT,__text) non-external (was a private external) _bxdiff5CreateInControls
000000025a173d24 (__TEXT,__text) non-external (was a private external) _bxdiff5CreateInPatch
000000025a173d8c (__TEXT,__text) non-external _bxdiff5CreatePatchBackend
000000025a173358 (__TEXT,__text) non-external (was a private external) _bxdiff5Dump
000000025a173160 (__TEXT,__text) non-external (was a private external) _bxdiff5Free
000000025a1736ec (__TEXT,__text) non-external (was a private external) _bxdiff5SetIn
000000025a173880 (__TEXT,__text) non-external (was a private external) _bxdiff5SetOut
                 (undefined) external _bzero (from libSystem)
000000025a1ae630 (__TEXT,__text) non-external _cacheData
000000025a1425cc (__TEXT,__text) non-external _cacheFlush
000000025a142470 (__TEXT,__text) non-external _cachePageEvict
000000025a14213c (__TEXT,__text) non-external _cachePageGet
000000025a1422b8 (__TEXT,__text) non-external _cachePageReadFromDisk
                 (undefined) external _calloc (from libSystem)
000000025a133d08 (__TEXT,__text) non-external _cancelProc
000000025a15e09c (__TEXT,__text) non-external _cancelProc
000000025a169878 (__TEXT,__text) non-external _cancelProc
000000025a17e518 (__TEXT,__text) non-external _cancelProc
000000025a180d40 (__TEXT,__text) non-external _cancelStreams
                 (undefined) external _ccaes_ctr_crypt_mode (from libSystem)
                 (undefined) external _ccec_cp_256 (from libSystem)
                 (undefined) external _ccec_generate_key (from libSystem)
                 (undefined) external _ccec_sign (from libSystem)
                 (undefined) external _ccec_verify (from libSystem)
                 (undefined) external _ccec_x963_export (from libSystem)
                 (undefined) external _ccec_x963_import_priv (from libSystem)
                 (undefined) external _ccec_x963_import_pub (from libSystem)
                 (undefined) external _ccecdh_compute_shared_secret (from libSystem)
                 (undefined) external _cchkdf (from libSystem)
                 (undefined) external _cchmac_final (from libSystem)
