000000027065a188 (__DATA,__bss) non-external _A
000000025a528a98 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
000000025a5289fc (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
000000025a528a44 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
000000025a528a74 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
000000025a528a7c (__TEXT,__text) external _cmark_syntax_extension_set_private
000000025a528a1c (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
000000025a528a54 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
000000025a536908 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
000000025a51ed24 (__TEXT,__text) external _cmark_utf8proc_case_fold
000000025a51e894 (__TEXT,__text) external _cmark_utf8proc_check
000000025a51ebec (__TEXT,__text) external _cmark_utf8proc_encode_char
000000025a542f98 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
000000025a524e70 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
000000025a524df4 (__TEXT,__text) external _cmark_utf8proc_is_space
000000025a51eaa8 (__TEXT,__text) external _cmark_utf8proc_iterate
000000025a526a20 (__TEXT,__text) external _cmark_version
000000025a526a28 (__TEXT,__text) external _cmark_version_string
000000025a527f8c (__TEXT,__text) non-external _commonmark_render
000000025a52acfc (__TEXT,__text) non-external _commonmark_render
000000025a5412c0 (__TEXT,__text) non-external _commonmark_render
000000025a543530 (__TEXT,__text) non-external _commonmark_render.cold.1
000000025a5412a8 (__TEXT,__text) non-external _contains_inlines
000000025a536970 (__TEXT,__text) non-external _core_extensions_registration
000000025a528aa8 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
000000025a52ab78 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
000000025a540674 (__TEXT,__text) non-external (was a private external) _create_table_extension
000000025a542e48 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
000000025a527d28 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
0000000270659ff8 (__DATA,__bss) non-external _enable_safety_checks
000000025a543f40 (__TEXT,__const) non-external _encode_unknown.repl
000000025a54223c (__TEXT,__text) non-external _escape
0000000270659f70 (__DATA,__bss) non-external _extensions_lock
0000000270659e18 (__DATA,__data) non-external _extensions_once
000000025a542e8c (__TEXT,__text) non-external _filter
000000025a539744 (__TEXT,__text) non-external _finalize
000000025a54339c (__TEXT,__text) non-external _finalize.cold.1
000000025a5433c8 (__TEXT,__text) non-external _finalize.cold.2
000000025a5368ac (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
000000025a53a1d4 (__TEXT,__text) non-external _free_node_as
000000025a542964 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
000000025a52c230 (__TEXT,__text) non-external _get_link_type
000000025a527e98 (__TEXT,__text) non-external _get_type_string
000000025a52acb4 (__TEXT,__text) non-external _get_type_string
000000025a541198 (__TEXT,__text) non-external _get_type_string
000000025a53fa38 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
000000025a546ab4 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
000000025a526a00 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
000000025a526900 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
000000025a53fb84 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
000000025a53fe30 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
000000025a53ff4c (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
000000025a528048 (__TEXT,__text) non-external _html_render
000000025a52adfc (__TEXT,__text) non-external _html_render
000000025a541af4 (__TEXT,__text) non-external _html_render
000000025a5435b4 (__TEXT,__text) non-external _html_render.cold.1
000000025a5429e8 (__TEXT,__text) non-external _html_table_add_align
000000025a542dd8 (__TEXT,__text) non-external _init_arena
000000025a542dc8 (__TEXT,__text) non-external _initialize_arena
000000025a529b28 (__TEXT,__text) non-external _initialize_extensions
000000025a53b7f8 (__TEXT,__text) non-external _initialize_nextflag
000000025a53b7e8 (__TEXT,__text) non-external _initialize_safety
000000025a52af64 (__TEXT,__text) non-external _insert
000000025a5297c0 (__TEXT,__text) non-external _is_valid_hostchar
000000025a52ad20 (__TEXT,__text) non-external _latex_render
000000025a54157c (__TEXT,__text) non-external _latex_render
000000025a54355c (__TEXT,__text) non-external _latex_render.cold.1
000000025a53e5d8 (__TEXT,__text) non-external _link_label
000000025a5434ac (__TEXT,__text) non-external _link_label.cold.1
000000025a5434ac (__TEXT,__text) non-external _link_label.cold.2
000000025a5434ac (__TEXT,__text) non-external _link_label.cold.3
000000025a5434ac (__TEXT,__text) non-external _link_label.cold.4
000000025a5432c0 (__TEXT,__text) non-external _link_label.cold.5
000000025a53f224 (__TEXT,__text) non-external _make_autolink
000000025a543480 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
000000025a52ad54 (__TEXT,__text) non-external _man_render
000000025a5418cc (__TEXT,__text) non-external _man_render
000000025a543588 (__TEXT,__text) non-external _man_render.cold.1
000000025a53e8c4 (__TEXT,__text) non-external _manual_scan_link_url
000000025a528b34 (__TEXT,__text) non-external _match
000000025a52ae40 (__TEXT,__text) non-external _match
000000025a527e0c (__TEXT,__text) non-external _matches
000000025a540828 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000027065a000 (__DATA,__bss) non-external _nextflag_lock
0000000270659e48 (__DATA,__data) non-external _nextflag_once
000000025a5369e4 (__TEXT,__text) non-external (was a private external) _normalize_map_label
000000025a5431b0 (__TEXT,__text) non-external _normalize_map_label.cold.1
000000025a54212c (__TEXT,__text) non-external _opaque_alloc
000000025a5421a8 (__TEXT,__text) non-external _opaque_free
000000025a527ea4 (__TEXT,__text) non-external _open_tasklist_item
000000025a525744 (__TEXT,__text) non-external _outc
000000025a52b5bc (__TEXT,__text) non-external _outc
000000025a54002c (__TEXT,__text) non-external _outc
000000025a52ae1c (__TEXT,__text) non-external _plaintext_render
000000025a528f68 (__TEXT,__text) non-external _postprocess
000000025a5430d4 (__TEXT,__text) non-external _postprocess.cold.1
000000025a543100 (__TEXT,__text) non-external _postprocess.cold.2
000000025a53dc40 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
000000025a53f134 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
000000025a536c98 (__TEXT,__text) non-external _refcmp
000000025a5375e8 (__TEXT,__text) non-external _reference_free
000000025a536bd8 (__TEXT,__text) non-external _refsearch
000000025a53695c (__TEXT,__text) non-external _register_plugins
0000000270659e28 (__DATA,__data) non-external _registered_once
000000025a53e218 (__TEXT,__text) non-external _remove_delimiter
000000025a5434d8 (__TEXT,__text) non-external _remove_delimiter.cold.1
000000025a539afc (__TEXT,__text) non-external _resolve_reference_link_definitions
000000025a5424ac (__TEXT,__text) non-external _row_from_string
0000000270659fb8 (__DATA,__bss) non-external _safety_lock
0000000270659e38 (__DATA,__data) non-external _safety_once
000000026ba1de80 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
000000025a539cc0 (__TEXT,__text) non-external _sort_footnote_by_ix
000000025a53e7bc (__TEXT,__text) non-external _spnl
000000025a5434ac (__TEXT,__text) non-external _spnl.cold.1
000000025a5434ac (__TEXT,__text) non-external _spnl.cold.2
000000025a5434ac (__TEXT,__text) non-external _spnl.cold.3
000000025a5434ac (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
0000000270659fb0 (__DATA,__bss) non-external _syntax_extensions
000000025a5408e0 (__TEXT,__text) non-external _try_opening_table_block
000000025a542890 (__TEXT,__text) non-external _unescape_pipes
000000025a543e40 (__TEXT,__const) non-external _utf8proc_utf8class
000000025a529810 (__TEXT,__text) non-external _validate_protocol
000000025a526a34 (__TEXT,__text) non-external _xcalloc
000000025a542ff0 (__TEXT,__text) non-external _xcalloc.cold.1
000000025a526a84 (__TEXT,__text) non-external _xfree
000000025a5281cc (__TEXT,__text) non-external _xml_attr
000000025a5417cc (__TEXT,__text) non-external _xml_attr
000000025a526a5c (__TEXT,__text) non-external _xrealloc
000000025a543020 (__TEXT,__text) non-external _xrealloc.cold.1
