                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
0000000192b6484c (__TEXT,__text) external __cg_jcopy_block_row
0000000192b64cc4 (__TEXT,__text) non-external _start_pass_prep
0000000192b70e64 (__TEXT,__text) non-external _start_pass_upsample
0000000192b82cc8 (__TEXT,__const) non-external _std_chrominance_quant_tbl
0000000192b82bc8 (__TEXT,__const) non-external _std_luminance_quant_tbl
                 (undefined) external _strlen (from libSystem)
0000000192b80950 (__TEXT,__text) non-external _term_destination
0000000192b80bcc (__TEXT,__text) non-external _term_mem_destination
0000000192b61228 (__TEXT,__text) non-external _term_source
                 (undefined) external _unlink (from libSystem)
0000000192b5c784 (__TEXT,__text) non-external _update_box
0000000192b6fdf8 (__TEXT,__text) non-external _use_merged_upsample
0000000192b60f80 (__TEXT,__text) non-external _write_backing_store
0000000192b7b6e8 (__TEXT,__text) non-external _write_file_header
0000000192b7bfb8 (__TEXT,__text) non-external _write_file_trailer
0000000192b7b900 (__TEXT,__text) non-external _write_frame_header
0000000192b7c160 (__TEXT,__text) non-external _write_marker_byte
0000000192b7c0cc (__TEXT,__text) non-external _write_marker_header
0000000192b7bc6c (__TEXT,__text) non-external _write_scan_header
0000000192b7bff8 (__TEXT,__text) non-external _write_tables_only
0000000192b63a7c (__TEXT,__text) non-external _ycc_rgb_convert
0000000192b63d14 (__TEXT,__text) non-external _ycck_cmyk_convert
