000000018959cbd0 (__TEXT,__const) non-external _A1_Table
00000001893d72bc (__TEXT,__text) non-external _I2DPass_Print
00000001893d70dc (__TEXT,__text) non-external _I2DPass_dtor
00000001891ea8cc (__TEXT,__text) non-external _ImagePaletteCreate
00000001893f4634 (__TEXT,__text) non-external (was a private external) _ImageTilingInfo_Print
00000001891bff30 (__TEXT,__text) non-external (was a private external) _ImageTilingInfo_Release
0000000189325ccc (__TEXT,__text) non-external _InitAccGPUSession
00000001891ac0a0 (__TEXT,__text) non-external (was a private external) _InitCGInterfaces
00000001891b0484 (__TEXT,__text) non-external (was a private external) _InitPass
0000000189323b40 (__TEXT,__text) non-external (was a private external) _InitReverseTableFromGamma
0000000189323ad0 (__TEXT,__text) non-external (was a private external) _InitTableFromGamma
0000000189323c54 (__TEXT,__text) non-external (was a private external) _InitTableFromPolynomial
                 (undefined) weak external _Init_CGInterfaces (from libCGInterfaces)
0000000189512a2c (__TEXT,__delay_stubs) non-external (was a private external) _Init_CGInterfaces$delayInitStub
00000001891fd510 (__TEXT,__text) external _Init_vImage
0000000189324fe4 (__TEXT,__text) non-external (was a private external) _InterpolatedLookup_BuildTable16Q12
0000000189517750 (__TEXT,__const) non-external (was a private external) _InvAlpha
00000001893ccd6c (__TEXT,__text) non-external _Invert_16U
00000001893ccc68 (__TEXT,__text) non-external _Invert_8
00000001893cce00 (__TEXT,__text) non-external _Invert_F
00000001893e2b64 (__TEXT,__text) non-external _IsCGBitmapAlphaInfoValidForPackedFormat
00000001893e6d30 (__TEXT,__text) non-external _LUT1DTableData_dtor
00000001891c0968 (__TEXT,__text) non-external _LUTNDTableData_dtor
00000001893dfbb8 (__TEXT,__text) non-external _LUTPass_LookupTable_8to64U
00000001893dfb18 (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanar128
00000001893df938 (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanar16
00000001891e4a44 (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanar24
00000001893df9d8 (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanar48
00000001893dfa78 (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanar96
00000001891c733c (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanarF
00000001893df898 (__TEXT,__text) non-external _LUTPass_TableLookup_Planar8
00000001891c791c (__TEXT,__text) non-external _LUTPass_dtor
00000001891c8968 (__TEXT,__text) non-external (was a private external) _Lanczos3
00000001891d5f2c (__TEXT,__text) non-external (was a private external) _Lanczos5
00000001892e6130 (__TEXT,__text) non-external (was a private external) _LazySaveCheck
00000001ebff7764 (__DATA,__data) non-external _LazySaveCheck.smeVersion
00000001893cf380 (__TEXT,__text) non-external _LinearTransform_16Q12to8
00000001893cd0c4 (__TEXT,__text) non-external _LinearTransform_16U
00000001893cf53c (__TEXT,__text) non-external _LinearTransform_16Uto8
00000001893cd430 (__TEXT,__text) non-external _LinearTransform_16UtoF
00000001893cce94 (__TEXT,__text) non-external _LinearTransform_8
00000001893cd308 (__TEXT,__text) non-external _LinearTransform_8to16Q12
00000001893cf414 (__TEXT,__text) non-external _LinearTransform_8to16U
00000001893cd39c (__TEXT,__text) non-external _LinearTransform_8toF
00000001893cd274 (__TEXT,__text) non-external _LinearTransform_F
00000001893cf5d0 (__TEXT,__text) non-external _LinearTransform_Fto16U
00000001893cf4a8 (__TEXT,__text) non-external _LinearTransform_Fto8
00000001891ac040 (__TEXT,__text) non-external (was a private external) _LoadCGInterfaces
00000001ebff77b8 (__DATA,__bss) non-external _LoadCGInterfaces.pred
00000001891d41b8 (__TEXT,__text) non-external _LoadY00
00000001891efa88 (__TEXT,__text) non-external _LoadYCC
00000001891b86c0 (__TEXT,__text) non-external _LookupTable_Planar8toPlanar16
00000001893e6de0 (__TEXT,__text) non-external _LuminanceScalingData_dtor
0000000189207260 (__TEXT,__text) non-external _LuminanceScaling_GCDWork
0000000189332df4 (__TEXT,__text) non-external _Mapping_CreateFromImageMap_Image8U
000000018933249c (__TEXT,__text) non-external _Mapping_CreateFromMap_Image8U
00000001891c0444 (__TEXT,__text) non-external _MatrixData_dtor
00000001893012ac (__TEXT,__text) non-external (was a private external) _MatrixMultiply_PlanarF_disp
0000000189332040 (__TEXT,__text) non-external (was a private external) _MultithreadFunction
0000000189332214 (__TEXT,__text) non-external (was a private external) _MultithreadTwoBufferFunction
00000001891cf51c (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_ARGB8888
00000001893d32a0 (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_ARGBFFFF
00000001893d3258 (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_Chunky16U
00000001893d318c (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_Chunky8
00000001893d32b4 (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_ChunkyF
00000001893d327c (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_Planar16U
00000001893d317c (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_Planar8
00000001893d328c (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_PlanarF
0000000189207fe0 (__TEXT,__text) non-external _PQEETFToneMap_GCDWork
00000001893e6de8 (__TEXT,__text) non-external _PQToneMappingData_dtor
00000001891c0760 (__TEXT,__text) non-external _ParameterTableData_dtor
00000001893d356c (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_ARGB16U
00000001893d3430 (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_ARGB8888
00000001893d36dc (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_ARGBFFFF
00000001893d3618 (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_Chunky16U
00000001893d34b8 (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_Chunky8
00000001893d3790 (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_ChunkyF
00000001893e8060 (__TEXT,__text) non-external _PermuteChannelsWithMaskedInsert_ARGB16U
00000001891cf25c (__TEXT,__text) non-external _PermuteChannelsWithMaskedInsert_ARGB8888
00000001893e814c (__TEXT,__text) non-external _PermuteChannelsWithMaskedInsert_ARGBFFFF
00000001891d0558 (__TEXT,__text) non-external (was a private external) _PermuteChannels_ARGB16U
00000001891bfe30 (__TEXT,__text) non-external (was a private external) _PermuteChannels_ARGB8888
00000001893d36cc (__TEXT,__text) non-external (was a private external) _PermuteChannels_ARGBFFFF
00000001893d35fc (__TEXT,__text) non-external (was a private external) _PermuteChannels_Chunky16U
00000001893d349c (__TEXT,__text) non-external (was a private external) _PermuteChannels_Chunky8
00000001893d3774 (__TEXT,__text) non-external (was a private external) _PermuteChannels_ChunkyF
00000001893e807c (__TEXT,__text) non-external _PermuteInsertPass_Print16
00000001893e7f90 (__TEXT,__text) non-external _PermuteInsertPass_Print8
00000001893e8168 (__TEXT,__text) non-external _PermuteInsertPass_PrintF
00000001893d3844 (__TEXT,__text) non-external (was a private external) _PermutePass_Print
00000001892baa98 (__TEXT,__text) non-external _PerspectiveWarp_ARGB16F_GCDWork
00000001892ba424 (__TEXT,__text) non-external _PerspectiveWarp_ARGB16U_GCDWork
00000001892b9da8 (__TEXT,__text) non-external _PerspectiveWarp_ARGB8888_GCDWork
00000001892ba734 (__TEXT,__text) non-external _PerspectiveWarp_Planar16F_GCDWork
00000001892ba0c0 (__TEXT,__text) non-external _PerspectiveWarp_Planar16U_GCDWork
00000001892b9a44 (__TEXT,__text) non-external _PerspectiveWarp_Planar8_GCDWork
0000000189321ff0 (__TEXT,__text) non-external (was a private external) _PiecewiseGamma_BuildTable8
00000001891b68a8 (__TEXT,__text) non-external (was a private external) _PiecewiseGamma_BuildTable8to16
00000001893226cc (__TEXT,__text) non-external (was a private external) _PiecewiseGamma_BuildTable8toF
0000000189322968 (__TEXT,__text) non-external (was a private external) _PiecewiseGamma_ComputeInterpolatedTableF
00000001891b6fb0 (__TEXT,__text) non-external (was a private external) _PiecewiseGamma_ComputeTable16Q12
0000000189253f18 (__TEXT,__text) non-external (was a private external) _PixelCopy
000000018959be00 (__TEXT,__const) non-external (was a private external) _PixelSize
0000000189599930 (__TEXT,__const) non-external (was a private external) _Planar16FtoPlanar8_LUT
00000001891c3878 (__TEXT,__text) non-external (was a private external) _Planar16Q12to8
00000001891b5504 (__TEXT,__text) non-external (was a private external) _Planar16Q12toARGB8888
00000001893d04a0 (__TEXT,__text) non-external (was a private external) _Planar16Q12toF
00000001891c5fa0 (__TEXT,__text) non-external (was a private external) _Planar16Q12toRGB888
00000001893d0614 (__TEXT,__text) non-external (was a private external) _Planar16ToChunky
00000001893d0558 (__TEXT,__text) non-external (was a private external) _Planar16UTo16U
00000001891d18f8 (__TEXT,__text) non-external (was a private external) _Planar16UtoARGB16U
0000000189577f78 (__TEXT,__const) non-external (was a private external) _Planar16UtoPlanar16F
00000001891d2154 (__TEXT,__text) non-external (was a private external) _Planar16UtoRGB16U
00000001891c3ac8 (__TEXT,__text) non-external (was a private external) _Planar8ToChunky
00000001891b48c8 (__TEXT,__text) non-external _Planar8to16Q12
00000001893e6984 (__TEXT,__text) non-external _Planar8toF
0000000189598f30 (__TEXT,__const) non-external (was a private external) _Planar8toPlanar16F_LUT
00000001893d06b8 (__TEXT,__text) non-external (was a private external) _PlanarFTo16Q12
00000001893d02c4 (__TEXT,__text) non-external (was a private external) _PlanarFTo16U
00000001891da780 (__TEXT,__text) non-external (was a private external) _PlanarFTo8
00000001893d027c (__TEXT,__text) non-external (was a private external) _PlanarFToARGB8888
000000018959cf08 (__TEXT,__const) non-external _PlanarFToARGB8888.minFloat
00000001893d037c (__TEXT,__text) non-external (was a private external) _PlanarFToF
00000001893d046c (__TEXT,__text) non-external (was a private external) _PlanarFToRGBXFFFF
00000001893d0438 (__TEXT,__text) non-external (was a private external) _PlanarFToXRGBFFFF
00000001893d015c (__TEXT,__text) non-external (was a private external) _PlanarFtoARGBFFFF
00000001893d0194 (__TEXT,__text) non-external (was a private external) _PlanarFtoChunky
0000000189599130 (__TEXT,__const) non-external (was a private external) _PlanarFtoPlanar16F_LUT
00000001891b3e10 (__TEXT,__text) non-external (was a private external) _PlanarFtoRGBFFF
00000001893d3948 (__TEXT,__text) non-external (was a private external) _PrecisionPass_Print
00000001893d30f8 (__TEXT,__text) non-external (was a private external) _PremultiplyData_ARGB16Q12
00000001893d30bc (__TEXT,__text) non-external (was a private external) _PremultiplyData_ARGB16U
00000001891b5a54 (__TEXT,__text) non-external (was a private external) _PremultiplyData_ARGB8888
00000001893d3140 (__TEXT,__text) non-external (was a private external) _PremultiplyData_ARGBFFFF
00000001893d30e0 (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky16AlphaFirst
00000001893d30c8 (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky16AlphaLast
00000001893d311c (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky16Q12AlphaFirst
00000001893d3104 (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky16Q12AlphaLast
00000001893d3098 (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky8AlphaFirst
00000001891c3c1c (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky8AlphaLast
00000001893d3164 (__TEXT,__text) non-external (was a private external) _PremultiplyData_ChunkyFAlphaFirst
00000001893d314c (__TEXT,__text) non-external (was a private external) _PremultiplyData_ChunkyFAlphaLast
00000001891d1e20 (__TEXT,__text) non-external (was a private external) _PremultiplyData_RGBA16Q12
00000001893d30b0 (__TEXT,__text) non-external (was a private external) _PremultiplyData_RGBA16U
00000001891b571c (__TEXT,__text) non-external (was a private external) _PremultiplyData_RGBA8888
00000001893d3134 (__TEXT,__text) non-external (was a private external) _PremultiplyData_RGBAFFFF
00000001893cb1c0 (__TEXT,__text) non-external _PrintBufferOrderNames
00000001e81eea28 (__DATA_CONST,__const) non-external _PrintBufferOrderNames.kBufferOrderNames_Base
00000001e81eeb18 (__DATA_CONST,__const) non-external _PrintBufferOrderNames.kBufferOrderNames_CMYK
00000001e81eeb40 (__DATA_CONST,__const) non-external _PrintBufferOrderNames.kBufferOrderNames_LAB
00000001e81eeaf8 (__DATA_CONST,__const) non-external _PrintBufferOrderNames.kBufferOrderNames_RGB
00000001893e6a4c (__TEXT,__text) non-external _RGB16UtoPlanar16U
00000001893e6958 (__TEXT,__text) non-external _RGB888toPlanar16Q12
00000001891c5dd4 (__TEXT,__text) non-external _RGB888toPlanar8
00000001891b2b54 (__TEXT,__text) non-external _RGBFFFtoPlanarF
00000001892aac74 (__TEXT,__text) non-external (was a private external) _ReadTileRowEdge_ARGB8888
00000001891ae78c (__TEXT,__text) non-external (was a private external) _ReduceToCoreFormats
00000001893d33d0 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_Chunky16UAlphaFirst
00000001893d33b8 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_Chunky16UAlphaLast
00000001893d3388 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_Chunky8AlphaFirst
00000001893d3370 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_Chunky8AlphaLast
00000001893d3418 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_ChunkyFAlphaFirst
00000001893d3400 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_ChunkyFAlphaLast
00000001891afb50 (__TEXT,__text) non-external _ResolveDecodeArrays
00000001893e0e0c (__TEXT,__text) non-external _ResolveDecodeArrays_version1
00000001891b62fc (__TEXT,__text) non-external _RowDecodeY00
00000001891fc9f8 (__TEXT,__text) non-external _RowDecodeYCC
00000001891fc604 (__TEXT,__text) non-external _RowEncodeY00
00000001891fc794 (__TEXT,__text) non-external _RowEncodeYCC
00000001891ec5a0 (__TEXT,__text) non-external _SepConvolve16F_GCDWork
00000001891ed3b4 (__TEXT,__text) non-external _SepConvolve16U_GCDWork
00000001891ee49c (__TEXT,__text) non-external _SepConvolve8888_GCDWork
00000001891eccb0 (__TEXT,__text) non-external _SepConvolve8_GCDWork
00000001891edad8 (__TEXT,__text) non-external _SepConvolve8to16_GCDWork
00000001891ebe68 (__TEXT,__text) non-external _SepConvolveF_GCDWork
00000001891ebd90 (__TEXT,__text) non-external _SeparableNumWorkItemsForGCD
00000001891ebd90 (__TEXT,__text) non-external _SeparableNumWorkItemsForGCD
00000001891ebd90 (__TEXT,__text) non-external _SeparableNumWorkItemsForGCD
00000001892b9980 (__TEXT,__text) non-external _SeparableNumWorkItemsForGCD
00000001892b9980 (__TEXT,__text) non-external _SeparableNumWorkItemsForGCD
0000000189253d48 (__TEXT,__text) non-external (was a private external) _SetupBufferInfo
00000001f00435d8 (__AUTH_CONST,__const) non-external (was a private external) _SetupROI
0000000189252420 (__TEXT,__text) non-external (was a private external) _SetupROI_ARGB8888
00000001892528e8 (__TEXT,__text) non-external (was a private external) _SetupROI_ARGBFFFF
0000000189251d04 (__TEXT,__text) non-external (was a private external) _SetupROI_Pixel_8
0000000189251fb4 (__TEXT,__text) non-external (was a private external) _SetupROI_Pixel_F
0000000189334fb0 (__TEXT,__text) external _SetvImageThreadCount
0000000189334f9c (__TEXT,__text) external _SetvImageThreadState
00000001891fd514 (__TEXT,__text) external _SetvImageVectorAvailable
0000000189397600 (__TEXT,__text) non-external _Shear_GCDWork
00000001892aac6c (__TEXT,__text) non-external _SkipProcessing_ARGB8888
00000001892ac03c (__TEXT,__text) non-external _Sobel8to16_GCDWork
00000001891eeb54 (__TEXT,__text) non-external _SquareBoxConvolve8888_GCDWork
00000001891ee804 (__TEXT,__text) non-external _SquareBoxConvolve8_GCDWork
00000001891ef694 (__TEXT,__text) non-external _StoreY
00000001891ef824 (__TEXT,__text) non-external _StoreYCC
00000001891e7aa0 (__TEXT,__text) non-external _Swap16
00000001891d0030 (__TEXT,__text) non-external _Swap32
000000018959d22c (__TEXT,__const) non-external _Swap32.swap32Map
00000001893e6d34 (__TEXT,__text) non-external _TRCsData_dtor
00000001893d7500 (__TEXT,__text) non-external _TableLookUp_Planar8
00000001893d78dc (__TEXT,__text) non-external _TableLookUp_Planar8toIndexed8
00000001892508b4 (__TEXT,__text) non-external _TileThreadCount
00000001892508b4 (__TEXT,__text) non-external _TileThreadCount
00000001892b61d0 (__TEXT,__text) non-external _TileThreadCount
00000001893d2920 (__TEXT,__text) non-external (was a private external) _TransformPassHLGSceneReferredMapping_dtor
00000001893d0ea0 (__TEXT,__text) non-external (was a private external) _TransformPassLUT1D_dtor
00000001891c08f0 (__TEXT,__text) non-external (was a private external) _TransformPassLUT_dtor
00000001893d2748 (__TEXT,__text) non-external (was a private external) _TransformPassLUTs_dtor
00000001893d2834 (__TEXT,__text) non-external (was a private external) _TransformPassLuminanceScaling_dtor
00000001891c03cc (__TEXT,__text) non-external (was a private external) _TransformPassMatrix_dtor
00000001893d2a18 (__TEXT,__text) non-external (was a private external) _TransformPassPQToneMapping_dtor
00000001891c0354 (__TEXT,__text) non-external (was a private external) _TransformPassParameter_dtor
00000001893d26d0 (__TEXT,__text) non-external (was a private external) _TransformPassTRCs_dtor
00000001893d0758 (__TEXT,__text) non-external (was a private external) _TransformPass_PrintMatrix
00000001893d0c90 (__TEXT,__text) non-external (was a private external) _TransformPass_PrintTransform
00000001893d0e68 (__TEXT,__text) non-external (was a private external) _TransformPass_dtor
0000000189205f28 (__TEXT,__text) non-external _TransformTRCNumWorkItemsForGCD
0000000189205ffc (__TEXT,__text) non-external _TransformTRC_GCDWork
0000000189286780 (__TEXT,__text) non-external (was a private external) _TruncateKernel_ARGB8888
0000000189274540 (__TEXT,__text) non-external (was a private external) _TruncateKernel_ARGBFFFF
0000000189279d3c (__TEXT,__text) non-external (was a private external) _TruncateKernel_Planar8
000000018926e178 (__TEXT,__text) non-external (was a private external) _TruncateKernel_PlanarF
00000001893d3014 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ARGB16Q12
00000001893d2fcc (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ARGB16U
00000001891bff5c (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ARGB8888
00000001893d305c (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ARGBFFFF
00000001893d2ff0 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky16AlphaFirst
00000001893d2fd8 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky16AlphaLast
00000001893d3038 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky16Q12AlphaFirst
00000001893d3020 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky16Q12AlphaLast
00000001893d2fa8 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky8AlphaFirst
00000001891b4280 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky8AlphaLast
00000001893d3080 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ChunkyFAlphaFirst
00000001893d3068 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ChunkyFAlphaLast
00000001893d3008 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_RGBA16Q12
00000001893d2fc0 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_RGBA16U
00000001891b8368 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_RGBA8888
00000001893d3050 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_RGBAFFFF
0000000189513660 (__TEXT,__const) non-external (was a private external) _Unpremultiply_16Q12_table
00000001893e0c00 (__TEXT,__text) non-external _VerifyCGConverterParams
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00000001891b1970 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_Not_ReadWriteable_By_vImage__CheckBacktrace
00000001891b1674 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_Not_Readable_By_vImage__CheckBacktrace
00000001891b18b8 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_Not_Writeable_By_vImage__CheckBacktrace
00000001891b1990 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_ReadWrite__Too_Small_For_Arguments_To_vImage__CheckBacktrace
00000001891b1690 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_Read__Too_Small_For_Arguments_To_vImage__CheckBacktrace
00000001891b18d8 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_Write__Too_Small_For_Arguments_To_vImage__CheckBacktrace
00000001ee47e658 (__DATA_DIRTY,__bss) non-external __MergedGlobals
00000001ee47e670 (__DATA_DIRTY,__bss) non-external __MergedGlobals
00000001ee47e8a8 (__DATA_DIRTY,__bss) non-external __MergedGlobals
00000001ee47e8b8 (__DATA_DIRTY,__bss) non-external __MergedGlobals
00000001ee47e8c8 (__DATA_DIRTY,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001894e89e4 (__TEXT,__text) non-external __ZL10vecPQ_EOTFDv8_fffffffff
00000001894f2d2c (__TEXT,__text) non-external __ZL12vecPQToneMapPDv8_fS0_S0_PKfPK9PQ_params
00000001894e9448 (__TEXT,__text) non-external __ZL13vecPQ_EOTFsymDv8_fffffffff
00000001894eb9e8 (__TEXT,__text) non-external __ZL13vecPQ_OETFsymDv8_fffffffff
00000001894f1500 (__TEXT,__text) non-external __ZL17vecHLGSceneRefMapPDv8_fS0_S0_ffffff
0000000189250d4c (__TEXT,__text) non-external ____vImageConvert_ARGB16Q12ToXRGB2101010_block_invoke
0000000189250bc8 (__TEXT,__text) non-external ____vImageConvert_ARGB16UToXRGB2101010_block_invoke
0000000189250a44 (__TEXT,__text) non-external ____vImageConvert_ARGB8888ToXRGB2101010_block_invoke
0000000189250ed4 (__TEXT,__text) non-external ____vImageConvert_ARGBFFFFToXRGB2101010_block_invoke
0000000189250f94 (__TEXT,__text) non-external ____vImageConvert_XRGB2101010ToARGB16F_block_invoke
0000000189250c88 (__TEXT,__text) non-external ____vImageConvert_XRGB2101010ToARGB16Q12_block_invoke
0000000189250b04 (__TEXT,__text) non-external ____vImageConvert_XRGB2101010ToARGB16U_block_invoke
0000000189250980 (__TEXT,__text) non-external ____vImageConvert_XRGB2101010ToARGB8888_block_invoke
0000000189250e10 (__TEXT,__text) non-external ____vImageConvert_XRGB2101010ToARGBFFFF_block_invoke
0000000189512400 (__TEXT,__text) non-external (was a private external) ___arm_tpidr2_save
                 (undefined) external ___assert_rtn (from libSystem)
00000001e81ecf68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81ecf88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81ed188 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81ed2a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81ed338 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81ed918 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81ed958 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81edb58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81edcd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81edfc8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81ee5c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81eea08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e81eef48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001f0043440 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001f00434c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001f0044120 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001f0044180 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001f00441e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001e81ecfa8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001e81ed1a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001e81ed358 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001e81ed938 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001e81ed978 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001e81edb78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001e81edcf8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001e81edfe8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001e81ee5e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001f0043470 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1
00000001f00436e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1
00000001f0044150 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1
00000001f00441b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1
00000001e81ed478 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e81eda98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e81edee8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e81ee108 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e81ee708 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e81eefa8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001f0043770 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10
00000001f0042f90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.100
00000001f0042fc0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.103
00000001f00433e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.104
00000001f0042ff0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.107
00000001f0043410 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.107
00000001e81ed498 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00000001e81edab8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00000001e81edf08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00000001e81ee128 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00000001e81eefc8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00000001f0043020 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.110
00000001f0043050 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.114
00000001e81ed4b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001e81edad8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001e81ee148 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001e81eefe8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001f0042ab0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12
00000001f00430e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12
00000001f0043080 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.120
00000001f00430b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.123
00000001e81ed4d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.13
00000001e81edaf8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.13
00000001e81ee168 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.13
00000001e81ef008 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.13
00000001e81ed048 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00000001e81ed4f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00000001e81edb18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
