00007ff812df7ca6 (__TEXT,__text) non-external _Annihilate
00007ff812e3696f (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff812e112b6 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff812e0a53d (__TEXT,__text) non-external _get_format_bits
00007ff812e0a39c (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00007ff812e0a3bd (__TEXT,__text) non-external (was a private external) _get_format_components
00007ff812e0a438 (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00007ff812e0a6d5 (__TEXT,__text) non-external _get_format_plane_count
00007ff812e0a456 (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00007ff812e04f20 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff812e04f5b (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff812e11282 (__TEXT,__text) non-external (was a private external) _get_real_time
00007ff812e04f85 (__TEXT,__text) non-external (was a private external) _get_slice_height
00007ff812e04f6f (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
00007ff812e0a71b (__TEXT,__text) non-external _header_fetch_from_payload
00007ff812e0a467 (__TEXT,__text) non-external (was a private external) _is_format_invalid
00007ff812e0a380 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
00007ff812e0adb9 (__TEXT,__text) non-external _is_image_valid
00007ff812dfe253 (__TEXT,__text) non-external (was a private external) _join_thread
00007ff812e63b80 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff812e45270 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff812e452d0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff8416b77c0 (__DATA_CONST,__const) non-external _kBrotliDictionary
00007ff812e45b70 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff812e451b0 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff812e45210 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff812ea34f0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff812e65740 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff8416b8090 (__DATA_CONST,__const) non-external _kBrotliTransforms
00007ff812e45950 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff812e63cc0 (__TEXT,__const) non-external _kCmdLut
00007ff812e972a0 (__TEXT,__const) non-external _kCodeLengthBits
00007ff812e63c80 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff812e97280 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff812e63ca0 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff812e63cb0 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff812e655f0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff812e655b0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff812e65df0 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff812e65e30 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff812e654f0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff812e654d0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff812e65560 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff812e65540 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff812e97df0 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff812e972f0 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff812e94e70 (__TEXT,__const) non-external _kPrefixSuffix
00007ff812e94f50 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff812e450b0 (__TEXT,__const) non-external _kReverseBits
00007ff812e996b0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff812e993f0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff812e65f00 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff812eb3d00 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff812ea3d00 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff812e75f00 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff812e99c70 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff812e99c30 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00007ff812e94fc0 (__TEXT,__const) non-external _kTransformsData
00007ff812e95c80 (__TEXT,__const) non-external _kZeroRepsBits
00007ff812e95180 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff812de0835 (__TEXT,__text) non-external _longest_match
00007ff812e9eb60 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff812dfde89 (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
00007ff812e07cad (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00007ff812e07ca2 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00007ff812de8250 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff812de7dc0 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff812de7bd5 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00007ff812de97ff (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00007ff812de9656 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00007ff812de25b8 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00007ff812e1c79a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00007ff812e1c79a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00007ff812e1c79a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00007ff812e1c773 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00007ff812e1c06c (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00007ff812e1c114 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00007ff812e084ce (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00007ff812e083da (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00007ff812e03a55 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00007ff812e186ba (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00007ff812e17277 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle_unsafe
00007ff812e186fd (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00007ff812e1491e (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00007ff812e186d6 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00007ff812e171ae (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle_unsafe
00007ff812e18708 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00007ff812e147e4 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00007ff812e109a0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00007ff812e1866a (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00007ff812e05ea8 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00007ff812e18686 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00007ff812e186ad (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00007ff812e05e8f (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00007ff812e9fba0 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00007ff812e14829 (__TEXT,__text) non-external _lzbitmap_init_encode_state
00007ff812e9f3a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00007ff812e14a44 (__TEXT,__text) non-external _lzbitmap_process_block
00007ff812e18715 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00007ff812ea0ba0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00007ff812e9eba0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00007ff812e3dc14 (__TEXT,__text) non-external _lzfseBackendMatch
00007ff812de2acf (__TEXT,__text) non-external (was a private external) _lzfseDecode
00007ff812de842b (__TEXT,__text) non-external _lzfseDecodeV1
00007ff812e3d84d (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00007ff812e3dc53 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00007ff812e3d67e (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00007ff812e3d6e9 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00007ff812e3dfda (__TEXT,__text) non-external _lzfseEncodeMatches
00007ff812e3d6a7 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00007ff812e3d7b5 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00007ff812e3dcf8 (__TEXT,__text) non-external _lzfsePushMatch
00007ff812de284b (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00007ff812de2779 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00007ff812e10993 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00007ff812e2fdf7 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00007ff812e2fd61 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00007ff812e2fd50 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00007ff812de4534 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00007ff812e0929a (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00007ff812e09129 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00007ff812e0928f (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00007ff812e09f9d (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00007ff8416b7890 (__DATA_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00007ff812de4179 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00007ff812e203d5 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00007ff812e203a1 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00007ff812e656f0 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00007ff812e65710 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00007ff812de25b8 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00007ff812e0763e (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00007ff812e07634 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00007ff812e0760b (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00007ff812e075ca (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00007ff812de2751 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00007ff812de2825 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
00007ff812e428d3 (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
00007ff812e112f8 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
00007ff812e40aed (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00007ff812e17114 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00007ff812de45d4 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00007ff812e1716c (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00007ff812de45d4 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
00007ff812e65c80 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00007ff812de2729 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00007ff812e404c0 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00007ff812ea3cf0 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00007ff812de25db (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00007ff812de2699 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00007ff812e40074 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
00007ff812e403f6 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
00007ff812de3c49 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00007ff8416b6fc0 (__DATA_CONST,__const) non-external _lzvnDecode.opc_tbl
00007ff812e177b1 (__TEXT,__text) non-external (was a private external) _lzvnEncode
00007ff812e17735 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00007ff812df857d (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00007ff812df84ec (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00007ff812df84e1 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00007ff812dfd69e (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00007ff812dfd5c8 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00007ff812dfd5b7 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00007ff843d04200 (__DATA,__data) non-external _lzvn_decode.opcode_table
00007ff812de4600 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00007ff812de45d4 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00007ff812e18315 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00007ff812e18353 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00007ff812e182fb (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00007ff812de25b8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00007ff812e1710a (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00007ff812e17100 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00007ff812e170d7 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00007ff812e170b5 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00007ff812e17067 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00007ff812e1708f (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00007ff812e1fa1e (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00007ff812e1fa13 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00007ff812e376a0 (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00007ff812df1698 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00007ff812df0e35 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00007ff812df12c1 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00007ff812df13a5 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00007ff812e11208 (__TEXT,__text) non-external (was a private external) _parse_size
00007ff812e99f70 (__TEXT,__const) non-external _position_slot_base_position
00007ff812e99ef0 (__TEXT,__const) non-external _position_slot_extra_bits
00007ff812de187c (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff812e393a8 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00007ff812de6b54 (__TEXT,__text) non-external _readHuffmanTable
00007ff812e1115c (__TEXT,__text) non-external (was a private external) _read_expected
00007ff812dde80b (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00007ff812de1961 (__TEXT,__text) non-external _scan_tree
00007ff812de1a4c (__TEXT,__text) non-external _send_tree
00007ff812e18631 (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
00007ff812e185bb (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
00007ff812e185d2 (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
00007ff812e18586 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
00007ff812e1c7a5 (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
00007ff812e1c9b1 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
00007ff812e0b49d (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
00007ff812e0bef6 (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
00007ff812e04935 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
00007ff812e04b56 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat$INODE64 (from libSystem)
00007ff843d041e0 (__DATA,__data) non-external _static_bl_desc
00007ff843d041c0 (__DATA,__data) non-external _static_d_desc
00007ff812ea2360 (__TEXT,__const) non-external _static_dtree
00007ff843d041a0 (__DATA,__data) non-external _static_l_desc
00007ff812ea1ee0 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ff843d04100 (__DATA,__data) non-external (was a private external) _tc_quant16
00007ff812df81f8 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00007ff812df8424 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00007ff812df8323 (__TEXT,__text) non-external _thread_pool_entry
00007ff812df804a (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00007ff812df816b (__TEXT,__text) non-external (was a private external) _thread_pool_sync
00007ff812e37511 (__TEXT,__text) external _touchpadCodecCreate
00007ff812df8792 (__TEXT,__text) external _touchpadCodecDecodeImage
00007ff812e37653 (__TEXT,__text) external _touchpadCodecDestroy
00007ff812e404d1 (__TEXT,__text) external _touchpadCodecEncodeImage
00007ff812e36c52 (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
00007ff812e111b4 (__TEXT,__text) non-external (was a private external) _write_expected
00007ff812ea34a6 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
00007ff812ea34a0 (__TEXT,__const) non-external (was a private external) _xz_header_magic
00007ff812e40454 (__TEXT,__text) non-external _xz_read_multi_byte
00007ff812e40401 (__TEXT,__text) non-external _xz_simple_crc32
00007ff812e3022f (__TEXT,__text) external _yzip_codec_create
00007ff812e3025d (__TEXT,__text) external _yzip_codec_destroy
00007ff812e0a5b0 (__TEXT,__text) external _yzip_image_create
00007ff812e0a6f3 (__TEXT,__text) external _yzip_image_create_with_payload
00007ff812e0af62 (__TEXT,__text) external _yzip_image_decode
00007ff812e0a852 (__TEXT,__text) external _yzip_image_destroy
00007ff812e0a85c (__TEXT,__text) external _yzip_image_encode
00007ff812e0b17d (__TEXT,__text) external _yzip_image_get_descriptor
00007ff812e0b233 (__TEXT,__text) external _yzip_image_get_max_payload_size
00007ff812e0b1e2 (__TEXT,__text) external _yzip_image_get_plane_descriptor
00007ff812e0b2b6 (__TEXT,__text) external _yzip_image_set_data
00007ff812e0b490 (__TEXT,__text) external _yzip_image_set_identifier
00007ff812e0b3c4 (__TEXT,__text) external _yzip_image_set_plane_data
00007ff812e0536d (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00007ff812e05284 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00007ff812e04ff8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00007ff812e05e0d (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00007ff812e0588f (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00007ff812e05d71 (__TEXT,__text) non-external _yzip_jobs_process
00007ff812e04f9c (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00007ff812e38c7d (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00007ff812e37a0d (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
00007ff812e3791e (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
00007ff812e37a74 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00007ff812e3848b (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00007ff812de963c (__TEXT,__text) non-external (was a private external) _zError
00007ff8416b6f70 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
00007ff812ddeb91 (__TEXT,__text) non-external (was a private external) _zcalloc
00007ff812de252a (__TEXT,__text) non-external (was a private external) _zcfree
00007ff812de8b2f (__TEXT,__text) external _zero_coder_decode
00007ff812de8c2d (__TEXT,__text) external _zero_coder_encode
00007ff812de8d47 (__TEXT,__text) non-external _zero_coder_init_luts
00007ff843d04a20 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00007ff843d04b20 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00007ff843d05320 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00007ff843d04a10 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
00007ff812de9631 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00007ff812de493c (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00007ff812de5988 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00007ff812e99d90 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00007ff812e99d50 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00007ff812de9624 (__TEXT,__text) non-external (was a private external) _zlibVersion
00007ff812e1f857 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00007ff812e1f84c (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00007ff812df8dbb (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00007ff812df8db0 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00007ff812e18580 (__TEXT,__text) non-external (was a private external) _zlib_free
00007ff812e18558 (__TEXT,__text) non-external (was a private external) _zlib_malloc
00007ff812de25b8 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00007ff812e1f9f0 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00007ff812de45d4 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00007ff812e1f9fb (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00007ff812de45d4 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00007ff812dde745 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00007ff812ddf458 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
                 (undefined) external dyld_stub_binder (from libSystem)
00007ff812de87fb (__TEXT,__text) non-external n_loop
00007ff812de8aea (__TEXT,__text) non-external scalar_loop
00007ff812de87e0 (__TEXT,__text) non-external skip_loading_tables
00007ff843d04150 (__DATA,__data) non-external sum2_coefficients
00007ff843d04120 (__DATA,__data) non-external sum2_coefficients_nossse3
