00000001e01a6300 (__DATA,__common) external _BC
000000019fd8fb78 (__TEXT,__text) external _ripoffline
000000019fd92398 (__TEXT,__text) external _savetty
000000019fd8e94c (__TEXT,__text) external _scanw
000000019fd8ed84 (__TEXT,__text) external _scr_dump
000000019fd8edf0 (__TEXT,__text) external _scr_init
000000019fd8ed00 (__TEXT,__text) external _scr_restore
000000019fd8ee9c (__TEXT,__text) external _scr_set
000000019fd9d3dc (__TEXT,__text) external _scrl
000000019fd9d3f0 (__TEXT,__text) external _scroll
000000019fd8f1d8 (__TEXT,__text) external _scrollok
                 (undefined) external _select (from libSystem)
000000019fd7b9b4 (__TEXT,__text) external _set_curterm
000000019fd884a0 (__TEXT,__text) external _set_escdelay
000000019fd8fbcc (__TEXT,__text) external _set_tabsize
000000019fd8f238 (__TEXT,__text) external _set_term
000000019fd86760 (__TEXT,__text) external _setcchar
                 (undefined) external _setlocale (from libSystem)
000000019fd9d3f8 (__TEXT,__text) external _setscrreg
000000019fd8fdfc (__TEXT,__text) external _setupterm
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _sigaction (from libSystem)
                 (undefined) external _sigprocmask (from libSystem)
                 (undefined) external _sleep (from libSystem)
000000019fd9045c (__TEXT,__text) external _slk_attr
000000019fd9d410 (__TEXT,__text) external _slk_attr_off
000000019fd9d420 (__TEXT,__text) external _slk_attr_on
000000019fd902f0 (__TEXT,__text) external _slk_attr_set
000000019fd90370 (__TEXT,__text) external _slk_attroff
000000019fd903c4 (__TEXT,__text) external _slk_attron
000000019fd90420 (__TEXT,__text) external _slk_attrset
000000019fd90484 (__TEXT,__text) external _slk_clear
000000019fd90530 (__TEXT,__text) external _slk_color
000000019fd9058c (__TEXT,__text) external _slk_init
000000019fd905cc (__TEXT,__text) external _slk_label
000000019fd9061c (__TEXT,__text) external _slk_noutrefresh
000000019fd90928 (__TEXT,__text) external _slk_refresh
000000019fd901c0 (__TEXT,__text) external _slk_restore
000000019fd9099c (__TEXT,__text) external _slk_set
000000019fd90d0c (__TEXT,__text) external _slk_touch
000000019fd901e8 (__TEXT,__text) external _slk_wset
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _sscanf (from libSystem)
000000019fd9d44c (__TEXT,__text) external _standend
000000019fd9d430 (__TEXT,__text) external _standout
000000019fd86c3c (__TEXT,__text) external _start_color
                 (undefined) external _stat (from libSystem)
00000001e01a61b8 (__DATA,__common) external _stdscr
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
00000001e6f46590 (__DATA_CONST,__const) external _strcodes
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
00000001e6f484d0 (__DATA_CONST,__const) external _strfnames
                 (undefined) external _strlen (from libSystem)
00000001e6f477d8 (__DATA_CONST,__const) external _strnames
                 (undefined) external _strncat (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _strtol (from libSystem)
000000019fd8d400 (__TEXT,__text) external _subpad
000000019fd8cad8 (__TEXT,__text) external _subwin
000000019fd93894 (__TEXT,__text) external _syncok
                 (undefined) external _tcflush (from libSystem)
                 (undefined) external _tcgetattr (from libSystem)
                 (undefined) external _tcgetpgrp (from libSystem)
                 (undefined) external _tcsetattr (from libSystem)
000000019fd92974 (__TEXT,__text) external _term_attrs
000000019fd931f0 (__TEXT,__text) external _termattrs
000000019fd90fd4 (__TEXT,__text) external _termname
000000019fd7a324 (__TEXT,__text) external _tgetent
000000019fd90d3c (__TEXT,__text) external _tgetflag
000000019fd90de8 (__TEXT,__text) external _tgetnum
000000019fd90ea4 (__TEXT,__text) external _tgetstr
000000019fd90ff4 (__TEXT,__text) external _tgoto
000000019fd9144c (__TEXT,__text) external _tigetflag
000000019fd914f4 (__TEXT,__text) external _tigetnum
000000019fd915ac (__TEXT,__text) external _tigetstr
000000019fd9d464 (__TEXT,__text) external _timeout
000000019fd9d478 (__TEXT,__text) external _touchline
000000019fd9d480 (__TEXT,__text) external _touchwin
000000019fd7c114 (__TEXT,__text) external _tparm
000000019fd91aa8 (__TEXT,__text) external _tputs
00000001e01a61e8 (__DATA,__common) external _ttytype
000000019fd8ce30 (__TEXT,__text) external _typeahead
000000019fd9a464 (__TEXT,__text) external _unctrl
000000019fd927b4 (__TEXT,__text) external _unget_wch
000000019fd9293c (__TEXT,__text) external _ungetch
000000019fd8a0f4 (__TEXT,__text) external _ungetmouse
000000019fd9d4a0 (__TEXT,__text) external _untouchwin
000000019fd87a74 (__TEXT,__text) external _use_default_colors
000000019fd8fc1c (__TEXT,__text) external _use_env
000000019fd832e4 (__TEXT,__text) external _use_extended_names
000000019fd844a0 (__TEXT,__text) external _use_legacy_coding
000000019fd9a478 (__TEXT,__text) external _use_screen
000000019fd9a4d4 (__TEXT,__text) external _use_window
                 (undefined) external _vfprintf (from libSystem)
000000019fd92960 (__TEXT,__text) external _vid_attr
000000019fd92950 (__TEXT,__text) external _vid_puts
000000019fd931cc (__TEXT,__text) external _vidattr
000000019fd929fc (__TEXT,__text) external _vidputs
000000019fd9d4c0 (__TEXT,__text) external _vline
000000019fd9e794 (__TEXT,__text) external _vline_set
                 (undefined) external _vsnprintf (from libSystem)
                 (undefined) external _vsscanf (from libSystem)
000000019fd9d4d8 (__TEXT,__text) external _vw_printw
000000019fd9d4dc (__TEXT,__text) external _vw_scanw
000000019fd8da58 (__TEXT,__text) external _vwprintw
000000019fd8e8c8 (__TEXT,__text) external _vwscanw
000000019fd8471c (__TEXT,__text) external _wadd_wch
000000019fd857c8 (__TEXT,__text) external _wadd_wchnstr
000000019fd9e7ac (__TEXT,__text) external _wadd_wchstr
000000019fd84e44 (__TEXT,__text) external _waddch
000000019fd856a8 (__TEXT,__text) external _waddchnstr
000000019fd9d4e0 (__TEXT,__text) external _waddchstr
000000019fd85604 (__TEXT,__text) external _waddnstr
000000019fd85b8c (__TEXT,__text) external _waddnwstr
000000019fd9d4e8 (__TEXT,__text) external _waddstr
000000019fd9e7b4 (__TEXT,__text) external _waddwstr
000000019fd9d50c (__TEXT,__text) external _wattr_get
000000019fd93624 (__TEXT,__text) external _wattr_off
000000019fd93654 (__TEXT,__text) external _wattr_on
000000019fd9d52c (__TEXT,__text) external _wattr_set
000000019fd9d4f8 (__TEXT,__text) external _wattroff
000000019fd9d4f0 (__TEXT,__text) external _wattron
000000019fd9d500 (__TEXT,__text) external _wattrset
000000019fd85f90 (__TEXT,__text) external _wbkgd
000000019fd85d50 (__TEXT,__text) external _wbkgdset
000000019fd85d88 (__TEXT,__text) external _wbkgrnd
000000019fd85c88 (__TEXT,__text) external _wbkgrndset
000000019fd85fc8 (__TEXT,__text) external _wborder
000000019fd86398 (__TEXT,__text) external _wborder_set
000000019fd868fc (__TEXT,__text) external _wchgat
000000019fd869bc (__TEXT,__text) external _wclear
000000019fd86a0c (__TEXT,__text) external _wclrtobot
000000019fd86aec (__TEXT,__text) external _wclrtoeol
000000019fd87824 (__TEXT,__text) external _wcolor_set
                 (undefined) external _wcrtomb (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsrtombs (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
                 (undefined) external _wctob (from libSystem)
000000019fd93974 (__TEXT,__text) external _wcursyncup
                 (undefined) external _wcwidth (from libSystem)
000000019fd878d4 (__TEXT,__text) external _wdelch
000000019fd9d540 (__TEXT,__text) external _wdeleteln
000000019fd8482c (__TEXT,__text) external _wecho_wchar
000000019fd84edc (__TEXT,__text) external _wechochar
000000019fd8a3e4 (__TEXT,__text) external _wenclose
000000019fd87c08 (__TEXT,__text) external _werase
000000019fd87e1c (__TEXT,__text) external _wget_wch
000000019fd9e7bc (__TEXT,__text) external _wget_wstr
000000019fd9e7c4 (__TEXT,__text) external _wgetbkgrnd
000000019fd88b58 (__TEXT,__text) external _wgetch
000000019fd87f8c (__TEXT,__text) external _wgetn_wstr
000000019fd88bac (__TEXT,__text) external _wgetnstr
000000019fd9d640 (__TEXT,__text) external _wgetparent
000000019fd9d6a4 (__TEXT,__text) external _wgetscrreg
000000019fd9d548 (__TEXT,__text) external _wgetstr
000000019fd89054 (__TEXT,__text) external _whline
000000019fd891a4 (__TEXT,__text) external _whline_set
000000019fd892e4 (__TEXT,__text) external _win_wch
000000019fd89328 (__TEXT,__text) external _win_wchnstr
000000019fd9e7dc (__TEXT,__text) external _win_wchstr
000000019fd93684 (__TEXT,__text) external _winch
000000019fd893d4 (__TEXT,__text) external _winchnstr
000000019fd9d550 (__TEXT,__text) external _winchstr
000000019fd89c18 (__TEXT,__text) external _winnstr
000000019fd89dcc (__TEXT,__text) external _winnwstr
000000019fd89694 (__TEXT,__text) external _wins_nwstr
000000019fd89504 (__TEXT,__text) external _wins_wch
000000019fd9e7e4 (__TEXT,__text) external _wins_wstr
000000019fd89ab4 (__TEXT,__text) external _winsch
000000019fd89b04 (__TEXT,__text) external _winsdelln
000000019fd9d558 (__TEXT,__text) external _winsertln
000000019fd89b78 (__TEXT,__text) external _winsnstr
000000019fd9d560 (__TEXT,__text) external _winsstr
000000019fd9d568 (__TEXT,__text) external _winstr
000000019fd89e9c (__TEXT,__text) external _winwstr
                 (undefined) external _wmemchr (from libSystem)
                 (undefined) external _wmemcpy (from libSystem)
000000019fd8a47c (__TEXT,__text) external _wmouse_trafo
000000019fd8ab74 (__TEXT,__text) external _wmove
000000019fd8e3a0 (__TEXT,__text) external _wnoutrefresh
000000019fd8dab4 (__TEXT,__text) external _wprintw
000000019fd8e1e8 (__TEXT,__text) external _wredrawln
000000019fd8e30c (__TEXT,__text) external _wrefresh
000000019fd9a71c (__TEXT,__text) external _wresize
                 (undefined) external _write (from libSystem)
000000019fd8e988 (__TEXT,__text) external _wscanw
000000019fd8f168 (__TEXT,__text) external _wscrl
000000019fd8f1f4 (__TEXT,__text) external _wsetscrreg
000000019fd9d580 (__TEXT,__text) external _wstandend
000000019fd9d570 (__TEXT,__text) external _wstandout
000000019fd938b0 (__TEXT,__text) external _wsyncdown
000000019fd93708 (__TEXT,__text) external _wsyncup
000000019fd8cc90 (__TEXT,__text) external _wtimeout
000000019fd916e4 (__TEXT,__text) external _wtouchln
000000019fd93b2c (__TEXT,__text) external _wunctrl
000000019fd932a8 (__TEXT,__text) external _wvline
000000019fd933f8 (__TEXT,__text) external _wvline_set
