000000025fc6c6e4 (__TEXT,__text) external _AAAFSCGetMetadata
000000025fc274f8 (__TEXT,__text) non-external (was a private external) _OBufferedStreamDestroy
000000025fc27550 (__TEXT,__text) non-external (was a private external) _OBufferedStreamWrite
000000025fc2349c (__TEXT,__text) non-external (was a private external) _OECCStreamCreate
000000025fc236a0 (__TEXT,__text) non-external (was a private external) _OECCStreamDestroy
000000025fc236ec (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataPtr
000000025fc23704 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataSize
000000025fc2371c (__TEXT,__text) non-external (was a private external) _OECCStreamWrite
000000025fc26848 (__TEXT,__text) non-external (was a private external) _OFileStreamCreateWithFilename
000000025fc26928 (__TEXT,__text) non-external (was a private external) _OFileStreamDestroy
000000025fc26978 (__TEXT,__text) non-external (was a private external) _OFileStreamWrite
000000025fc27238 (__TEXT,__text) non-external (was a private external) _OMemStreamCreate
000000025fc2731c (__TEXT,__text) non-external (was a private external) _OMemStreamDestroy
000000025fc2516c (__TEXT,__text) non-external (was a private external) _OMemStreamGetNWritten
000000025fc272b0 (__TEXT,__text) non-external (was a private external) _OMemStreamWrite
000000025fc26074 (__TEXT,__text) non-external (was a private external) _ONullStreamWrite
000000025fc261dc (__TEXT,__text) non-external (was a private external) _OSHA1StreamAbort
000000025fc2607c (__TEXT,__text) non-external (was a private external) _OSHA1StreamCreate
000000025fc26114 (__TEXT,__text) non-external (was a private external) _OSHA1StreamDestroy
000000025fc2615c (__TEXT,__text) non-external (was a private external) _OSHA1StreamWrite
000000025fc02f14 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000025fc00b4c (__TEXT,__text) non-external (was a private external) _PCompressCopyDecode
000000025fc00b0c (__TEXT,__text) non-external (was a private external) _PCompressCopyEncode
000000025fbfffb8 (__TEXT,__text) non-external (was a private external) _PCompressFilter
000000025fbf7160 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderDescription
000000025fc14608 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderFilter
000000025fbf7134 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderKey
000000025fbf7128 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDecoder
000000025fbf7108 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDescription
000000025fc145e8 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderFilter
000000025fc02f70 (__TEXT,__text) non-external (was a private external) _PCompressLZ4Decode
000000025fc02f48 (__TEXT,__text) non-external (was a private external) _PCompressLZ4Encode
000000025fc76dd0 (__TEXT,__text) non-external (was a private external) _PCompressLZBITMAPDecode
000000025fc76da8 (__TEXT,__text) non-external (was a private external) _PCompressLZBITMAPEncode
000000025fc05c08 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEDecode
000000025fc05be0 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEEncode
000000025fc07754 (__TEXT,__text) non-external (was a private external) _PCompressLZMA6Encode
000000025fc0777c (__TEXT,__text) non-external (was a private external) _PCompressLZMADecode
000000025fc13274 (__TEXT,__text) non-external (was a private external) _PCompressLZVNDecode
000000025fc1324c (__TEXT,__text) non-external (was a private external) _PCompressLZVNEncode
000000025fc144a8 (__TEXT,__text) non-external (was a private external) _PCompressZLIB5Encode
000000025fc144f0 (__TEXT,__text) non-external (was a private external) _PCompressZLIBDecode
000000025fc76df8 (__TEXT,__text) non-external (was a private external) _PagedFileCreate
000000025fc771c8 (__TEXT,__text) non-external (was a private external) _PagedFileDestroy
000000025fc77354 (__TEXT,__text) non-external (was a private external) _PagedFileDump
000000025fc77a78 (__TEXT,__text) non-external (was a private external) _PagedFileHasAllOut
000000025fc77a28 (__TEXT,__text) non-external (was a private external) _PagedFileHasNoIn
000000025fc77ae4 (__TEXT,__text) non-external (was a private external) _PagedFileReadAndReleaseIn
000000025fc77a1c (__TEXT,__text) non-external (was a private external) _PagedFileReleaseAllIn
000000025fc776b0 (__TEXT,__text) non-external (was a private external) _PagedFileReleaseIn
000000025fc77d00 (__TEXT,__text) non-external (was a private external) _PagedFileRetainAndWriteOut
000000025fc77604 (__TEXT,__text) non-external (was a private external) _PagedFileRetainIn
000000025fc777d0 (__TEXT,__text) non-external (was a private external) _PagedFileRetainOut
000000025fc228fc (__TEXT,__text) non-external _ParallelArchiveECCFixCommon
000000025fc228e0 (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCFixFileSegment
000000025fc232bc (__TEXT,__text) non-external _ParallelArchiveECCVerifyCommon
000000025fc23484 (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCVerifyFileSegment
000000025fc2be54 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCCompress
000000025fc2ac20 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCFixupMetadata
000000025fc2ab3c (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCGetMetadata
000000025fc2a8a0 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCGetMetadataFD
000000025fc2a13c (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamClose
000000025fc29b14 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamOpen
000000025fc29eb4 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamWrite
000000025fc14590 (__TEXT,__text) non-external (was a private external) _ParallelCompressionDecode
000000025fc14530 (__TEXT,__text) non-external (was a private external) _ParallelCompressionEncode
000000025fc35950 (__TEXT,__text) non-external (was a private external) _ParallelCompressionEnterThreadErrorContext
000000025fc17fc0 (__TEXT,__text) non-external (was a private external) _ParallelCompressionGetCompressedSize
000000025fc35954 (__TEXT,__text) non-external (was a private external) _ParallelCompressionLeaveThreadErrorContext
000000025fc35958 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateError
000000025fc35990 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateWarning
000000025fc07ca8 (__TEXT,__text) non-external _RNG
000000025fc73920 (__TEXT,__text) non-external _RandomAccessDecompressStreamAbort
000000025fc73724 (__TEXT,__text) non-external _RandomAccessDecompressStreamDestroy
000000025fc73798 (__TEXT,__text) non-external _RandomAccessDecompressStreamGetBlock
000000025fbfc938 (__TEXT,__text) non-external _RandomAccessDecryptionStreamAbort
000000025fbfc7ac (__TEXT,__text) non-external _RandomAccessDecryptionStreamDestroy
000000025fbfc8b8 (__TEXT,__text) non-external _RandomAccessDecryptionStreamGetBlock
000000025fc39a00 (__TEXT,__text) non-external (was a private external) _RawImageDiff
000000025fc14628 (__TEXT,__text) non-external (was a private external) _RawImagePatchInternal
000000025fc085d8 (__TEXT,__text) non-external _ScryptDerive_KEY256
                 (undefined) external _SecAccessControlCreateWithFlags (from Security)
                 (undefined) external _SecItemAdd (from Security)
                 (undefined) external _SecItemCopyMatching (from Security)
                 (undefined) external _SecItemDelete (from Security)
000000025fc39518 (__TEXT,__text) non-external _SegmentStreamCancel
000000025fc38678 (__TEXT,__text) non-external _SegmentStreamClose
000000025fc38510 (__TEXT,__text) non-external _SegmentStreamCreate
000000025fc38d44 (__TEXT,__text) non-external _SegmentStreamPRead
000000025fc3938c (__TEXT,__text) non-external _SegmentStreamPWrite
000000025fc39520 (__TEXT,__text) non-external _SegmentStreamSimulate
000000025fc562e8 (__TEXT,__text) non-external _SemInit
000000025fc562e8 (__TEXT,__text) non-external _SemInit
000000025fc0e870 (__TEXT,__text) non-external _SharedArrayEnqueue
000000025fc0e870 (__TEXT,__text) non-external _SharedArrayEnqueue
000000025fc1ac0c (__TEXT,__text) non-external _SharedArrayEnqueue
000000025fc1ac0c (__TEXT,__text) non-external _SharedArrayEnqueue
000000025fc1a3d8 (__TEXT,__text) non-external _SharedArrayPush
000000025fc74c48 (__TEXT,__text) non-external _SharedArrayPush
000000025fc1a8d4 (__TEXT,__text) non-external (was a private external) _SharedBufferAbort
000000025fc1a03c (__TEXT,__text) non-external (was a private external) _SharedBufferCreate
000000025fc1a570 (__TEXT,__text) non-external (was a private external) _SharedBufferDecRefCount
000000025fc1a4f4 (__TEXT,__text) non-external (was a private external) _SharedBufferDestroy
000000025fc1a588 (__TEXT,__text) non-external (was a private external) _SharedBufferFillFromStream
000000025fc1a998 (__TEXT,__text) non-external (was a private external) _SharedBufferFlushToStream
000000025fc1ade4 (__TEXT,__text) non-external (was a private external) _SharedBufferRead
000000025fc1ada0 (__TEXT,__text) non-external _SharedBufferReadFromBufferProc
000000025fc1ad40 (__TEXT,__text) non-external (was a private external) _SharedBufferWrite
000000025fc1ae34 (__TEXT,__text) non-external _SharedBufferWriteToBufferProc
000000025fc19bd8 (__TEXT,__text) non-external _SimStreamClose
000000025fc19d34 (__TEXT,__text) non-external _SimStreamPRead
000000025fc19d3c (__TEXT,__text) non-external _SimStreamPWrite
000000025fc19d44 (__TEXT,__text) non-external _SimStreamSimulate
000000025fc21ff4 (__TEXT,__text) non-external (was a private external) _StringTableAppend
000000025fc22124 (__TEXT,__text) non-external (was a private external) _StringTableAppendTable
000000025fc21fe8 (__TEXT,__text) non-external (was a private external) _StringTableClear
000000025fc225d8 (__TEXT,__text) non-external _StringTableCmp
000000025fc21ea8 (__TEXT,__text) non-external (was a private external) _StringTableCreate
000000025fc21f9c (__TEXT,__text) non-external (was a private external) _StringTableDestroy
000000025fc2253c (__TEXT,__text) non-external (was a private external) _StringTableMatchesPrefixSorted
000000025fc223f4 (__TEXT,__text) non-external _StringTableSearchSortedWithLength
000000025fc225d0 (__TEXT,__text) non-external (was a private external) _StringTableSize
000000025fc22254 (__TEXT,__text) non-external (was a private external) _StringTableSort
000000025fc286a4 (__TEXT,__text) non-external (was a private external) _ThreadPipelineCreate
000000025fc29100 (__TEXT,__text) non-external (was a private external) _ThreadPipelineDestroy
000000025fc29784 (__TEXT,__text) non-external (was a private external) _ThreadPipelineFlush
000000025fc29520 (__TEXT,__text) non-external (was a private external) _ThreadPipelineGetWorker
000000025fc29664 (__TEXT,__text) non-external (was a private external) _ThreadPipelineRunWorker
000000025fc723f8 (__TEXT,__text) non-external (was a private external) _ThreadPoolCreate
000000025fc7288c (__TEXT,__text) non-external (was a private external) _ThreadPoolDestroy
000000025fc72bac (__TEXT,__text) non-external (was a private external) _ThreadPoolGetWorker
000000025fc72cf0 (__TEXT,__text) non-external (was a private external) _ThreadPoolRunWorker
000000025fc72ddc (__TEXT,__text) non-external (was a private external) _ThreadPoolSync
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000025fbf6dec (__TEXT,__text) non-external (was a private external) __Z13pc_array_initm
000000025fbf6d74 (__TEXT,__text) non-external (was a private external) __Z13pc_array_initmm
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000002727792a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
000000025fc35730 (__TEXT,__text) non-external ___createThread_block_invoke
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
000000025fc11150 (__TEXT,__text) non-external (was a private external) _aaArchiveFileOutputStreamCloseAndReturnFD
000000025fc100d8 (__TEXT,__text) non-external (was a private external) _aaArchiveFileOutputStreamOpenAt
000000025fc10c3c (__TEXT,__text) non-external (was a private external) _aaArchiveFileOutputStreamOpenAtWithState
000000025fbfc954 (__TEXT,__text) non-external (was a private external) _aaAssetDecodeStreamDone
000000025fbfcb28 (__TEXT,__text) non-external (was a private external) _aaAssetDecodeStreamOpen
000000025fbfdd38 (__TEXT,__text) non-external (was a private external) _aaAssetDecodeStreamOpenWithState
000000025fbfcaa4 (__TEXT,__text) non-external (was a private external) _aaAssetDecodeStreamSetParameterPtr
000000025fc27630 (__TEXT,__text) non-external (was a private external) _aaAssetDecompressionStreamOpen
000000025fc280cc (__TEXT,__text) non-external (was a private external) _aaAssetDecompressionStreamOpenWithState
000000025fc46a2c (__TEXT,__text) non-external (was a private external) _aaAssetDecryptionStreamOpen
000000025fc48548 (__TEXT,__text) non-external (was a private external) _aaAssetDecryptionStreamOpenWithState
000000025fc313d0 (__TEXT,__text) non-external (was a private external) _aaAssetExtractStreamOpen
000000025fc315f0 (__TEXT,__text) non-external (was a private external) _aaAssetExtractStreamOpenWithState
000000025fc31338 (__TEXT,__text) non-external (was a private external) _aaAssetExtractStreamSetParameterCallback
000000025fc310cc (__TEXT,__text) non-external (was a private external) _aaAssetExtractStreamSetParameterPtr
000000025fbfef2c (__TEXT,__text) non-external _aaAssetExtractorCreateCommon
000000025fbff90c (__TEXT,__text) non-external _aaAssetExtractorProgress
000000025fc7393c (__TEXT,__text) non-external (was a private external) _aaAsyncByteStreamAlloc
000000025fc740d0 (__TEXT,__text) non-external (was a private external) _aaAsyncByteStreamIsCancelled
000000025fc6a888 (__TEXT,__text) non-external (was a private external) _aaByteStreamPCWriteProc
000000025fc6a870 (__TEXT,__text) non-external (was a private external) _aaByteStreamSimulate
000000025fc0bf50 (__TEXT,__text) non-external _aaCacheStreamCancel
000000025fc0bf5c (__TEXT,__text) non-external _aaCacheStreamClose
000000025fc0b880 (__TEXT,__text) non-external (was a private external) _aaCacheStreamOpen
000000025fc0bbe8 (__TEXT,__text) non-external _aaCacheStreamPRead
000000025fc0bd80 (__TEXT,__text) non-external _aaCacheStreamPWrite
000000025fc0bf40 (__TEXT,__text) non-external _aaCacheStreamRead
000000025fc0bb68 (__TEXT,__text) non-external _aaCacheStreamSeek
000000025fc0c0a0 (__TEXT,__text) non-external _aaCacheStreamTruncate
000000025fc0bf48 (__TEXT,__text) non-external _aaCacheStreamWrite
000000025fc4d4f0 (__TEXT,__text) non-external (was a private external) _aaCheckAndFixWithPath
000000025fc1c374 (__TEXT,__text) non-external (was a private external) _aaCompositeChunkAsyncStreamOpen
000000025fc6fa18 (__TEXT,__text) non-external _aaCompressionOutputStreamAbort
000000025fc6fa24 (__TEXT,__text) non-external _aaCompressionOutputStreamClose
000000025fc6fb78 (__TEXT,__text) non-external _aaCompressionOutputStreamFlush
000000025fc6f8ec (__TEXT,__text) non-external _aaCompressionOutputStreamWrite
000000025fc4dd4c (__TEXT,__text) non-external (was a private external) _aaCopyFile
000000025fc718cc (__TEXT,__text) non-external _aaDecompressionStreamAbort
000000025fc71058 (__TEXT,__text) non-external _aaDecompressionStreamClose
000000025fc71110 (__TEXT,__text) non-external _aaDecompressionStreamRead
000000025fc70f7c (__TEXT,__text) non-external _aaDecompressionStreamReadInput
000000025fc70e10 (__TEXT,__text) non-external _aaDecompressionStreamRefill
000000025fc60d74 (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobApplyToFD
000000025fc5fe90 (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobInitWithEncodedData
000000025fc60470 (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobInitWithFD
000000025fc60310 (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobInitWithPath
000000025fc4cc54 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesApplyToFD
000000025fc4c614 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesApplyToPath
000000025fc4d194 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesCmp
000000025fc4bf58 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesInitWithFD
000000025fc4b924 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesInitWithHeader
000000025fc4c260 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesInitWithPath
000000025fc4d39c (__TEXT,__text) non-external (was a private external) _aaEntryHashesCmp
000000025fc4b510 (__TEXT,__text) non-external (was a private external) _aaEntryHashesInitWithFD
000000025fc4b7a8 (__TEXT,__text) non-external (was a private external) _aaEntryHashesInitWithPath
000000025fc4d308 (__TEXT,__text) non-external (was a private external) _aaEntryInternalAttributesCmp
000000025fc4b8f4 (__TEXT,__text) non-external (was a private external) _aaEntryTypeFromMode
000000025fc5df0c (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobApplyToFD
000000025fc5d364 (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobInitWithEncodedData
000000025fc5d84c (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobInitWithFD
000000025fc5d6fc (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobInitWithPath
000000025fc6761c (__TEXT,__text) non-external (was a private external) _aaEntryYECBlobInitWithEncodedData
000000025fc678b8 (__TEXT,__text) non-external (was a private external) _aaEntryYECBlobInitWithFD
000000025fc67760 (__TEXT,__text) non-external (was a private external) _aaEntryYECBlobInitWithPath
000000025fc463e0 (__TEXT,__text) non-external (was a private external) _aaEntryYFPBlobInitWithPath
000000025fc6ae48 (__TEXT,__text) non-external _aaFileStreamAbort
000000025fc6a8f8 (__TEXT,__text) non-external _aaFileStreamClose
000000025fc6ae84 (__TEXT,__text) non-external _aaFileStreamFlush
000000025fc6a8b8 (__TEXT,__text) non-external (was a private external) _aaFileStreamGetFD
000000025fc6ad38 (__TEXT,__text) non-external _aaFileStreamPRead
000000025fc6adc0 (__TEXT,__text) non-external _aaFileStreamPWrite
000000025fc6ac30 (__TEXT,__text) non-external _aaFileStreamRead
000000025fc6ae54 (__TEXT,__text) non-external _aaFileStreamSeek
000000025fc6ae6c (__TEXT,__text) non-external _aaFileStreamTruncate
000000025fc6acb4 (__TEXT,__text) non-external _aaFileStreamWrite
000000025fc386dc (__TEXT,__text) non-external (was a private external) _aaForkInputStreamOpen
000000025fc20ab4 (__TEXT,__text) non-external (was a private external) _aaForkOutputStreamOpen
000000025fc5b314 (__TEXT,__text) non-external (was a private external) _aaHeaderAppendEntryAttributes
000000025fc5b64c (__TEXT,__text) non-external (was a private external) _aaHeaderBlobArrayInitWithHeader
000000025fc5b95c (__TEXT,__text) non-external (was a private external) _aaHeaderBlobArrayPayloadSize
000000025fc59db8 (__TEXT,__text) non-external (was a private external) _aaHeaderInitWithEncodedData
000000025fc5a5f4 (__TEXT,__text) non-external (was a private external) _aaHeaderInitWithPath
000000025fc37aec (__TEXT,__text) non-external _aaInPlaceStreamCancel
000000025fc37a10 (__TEXT,__text) non-external _aaInPlaceStreamClose
000000025fc37660 (__TEXT,__text) non-external (was a private external) _aaInPlaceStreamOpen
000000025fc37938 (__TEXT,__text) non-external _aaInPlaceStreamPRead
000000025fc37940 (__TEXT,__text) non-external _aaInPlaceStreamPWrite
000000025fc37948 (__TEXT,__text) non-external _aaInPlaceStreamRead
000000025fc37960 (__TEXT,__text) non-external _aaInPlaceStreamSeek
000000025fc37954 (__TEXT,__text) non-external _aaInPlaceStreamWrite
000000025fc3ee58 (__TEXT,__text) non-external (was a private external) _aaInSituStreamOpen
000000025fc38af0 (__TEXT,__text) non-external (was a private external) _aaIntervalInputStreamOpen
000000025fc6b6a0 (__TEXT,__text) non-external _aaMagicStreamAbort
000000025fc6b558 (__TEXT,__text) non-external _aaMagicStreamClose
000000025fc6b58c (__TEXT,__text) non-external _aaMagicStreamRead
000000025fc38268 (__TEXT,__text) non-external (was a private external) _aaSegmentStreamOpen
000000025fc70550 (__TEXT,__text) non-external (was a private external) _aaSequentialDecompressionIStreamOpen
000000025fc6b36c (__TEXT,__text) non-external _aaSharedBufferIStreamClose
000000025fc6b324 (__TEXT,__text) non-external _aaSharedBufferOStreamClose
000000025fc6b3a0 (__TEXT,__text) non-external _aaSharedBufferRead
000000025fc6b368 (__TEXT,__text) non-external _aaSharedBufferWrite
000000025fc6b9fc (__TEXT,__text) non-external _aaTeeStreamAbort
000000025fc6b7a8 (__TEXT,__text) non-external _aaTeeStreamClose
000000025fc6b8d0 (__TEXT,__text) non-external _aaTeeStreamPWrite
000000025fc6b7c4 (__TEXT,__text) non-external _aaTeeStreamWrite
000000025fc6a940 (__TEXT,__text) non-external _aaTempFileStreamClose
000000025fc61824 (__TEXT,__text) non-external _ace_check_entry
                 (undefined) external _acl_add_flag_np (from libSystem)
                 (undefined) external _acl_create_entry (from libSystem)
                 (undefined) external _acl_free (from libSystem)
                 (undefined) external _acl_get_entry (from libSystem)
                 (undefined) external _acl_get_fd_np (from libSystem)
                 (undefined) external _acl_get_flag_np (from libSystem)
                 (undefined) external _acl_get_flagset_np (from libSystem)
                 (undefined) external _acl_get_permset_mask_np (from libSystem)
                 (undefined) external _acl_get_qualifier (from libSystem)
                 (undefined) external _acl_get_tag_type (from libSystem)
                 (undefined) external _acl_init (from libSystem)
                 (undefined) external _acl_set_fd (from libSystem)
                 (undefined) external _acl_set_permset_mask_np (from libSystem)
                 (undefined) external _acl_set_qualifier (from libSystem)
                 (undefined) external _acl_set_tag_type (from libSystem)
000000025fc42b9c (__TEXT,__text) non-external _add_control
000000025fc03474 (__TEXT,__text) non-external (was a private external) _aeaChecksum
000000025fc03048 (__TEXT,__text) non-external (was a private external) _aeaChecksumSize
000000025fc1d8cc (__TEXT,__text) non-external (was a private external) _aeaContainerAppendSegment
000000025fc1c8cc (__TEXT,__text) non-external (was a private external) _aeaContainerCreateExisting
000000025fc1c614 (__TEXT,__text) non-external (was a private external) _aeaContainerCreateNew
000000025fc1c574 (__TEXT,__text) non-external (was a private external) _aeaContainerDestroy
000000025fc1ef54 (__TEXT,__text) non-external (was a private external) _aeaContainerFinish
000000025fc1e7d8 (__TEXT,__text) non-external (was a private external) _aeaContainerLoadSegment
000000025fc03408 (__TEXT,__text) non-external (was a private external) _aeaContainerOffsetsInit
000000025fc03064 (__TEXT,__text) non-external (was a private external) _aeaContainerParamsInitWithMagic
000000025fc02fa4 (__TEXT,__text) non-external (was a private external) _aeaContainerParamsInitWithProfile
000000025fc03140 (__TEXT,__text) non-external (was a private external) _aeaContainerParamsInitWithRootHeader
000000025fc1dc9c (__TEXT,__text) non-external (was a private external) _aeaContainerReencrypt
000000025fc1db74 (__TEXT,__text) non-external (was a private external) _aeaContainerRemoveLastSegment
000000025fc1db10 (__TEXT,__text) non-external (was a private external) _aeaContainerRemovePadding
000000025fc40a00 (__TEXT,__text) non-external (was a private external) _aeaContextCreateWithPrologue
000000025fc3fb1c (__TEXT,__text) non-external (was a private external) _aeaContextUnlock
000000025fc077a4 (__TEXT,__text) non-external (was a private external) _aeaCryptoInit
000000025fc03674 (__TEXT,__text) non-external (was a private external) _aeaDeriveMainKeyExisting
000000025fc0469c (__TEXT,__text) non-external (was a private external) _aeaDeriveMainKeyNew
000000025fc03664 (__TEXT,__text) non-external (was a private external) _aeaEffectiveCompressionAlgorithm
000000025fc0b3e4 (__TEXT,__text) non-external _aeaInputStreamAuthenticatePadding
000000025fc0a540 (__TEXT,__text) non-external _aeaInputStreamCancel
000000025fc0a5a4 (__TEXT,__text) non-external _aeaInputStreamClose
000000025fc0a764 (__TEXT,__text) non-external _aeaInputStreamDecryptSegment
000000025fc0acac (__TEXT,__text) non-external _aeaInputStreamLoadSegment
000000025fc0a324 (__TEXT,__text) non-external _aeaInputStreamRead
000000025fc13de4 (__TEXT,__text) non-external _aeaKeychainCreateAttributes
000000025fc7e902 (__TEXT,__cstring) non-external _aeaKeychainCreateAttributes.hex
000000025fc03300 (__TEXT,__text) non-external (was a private external) _aeaMagicInit
000000025fc0dbc8 (__TEXT,__text) non-external _aeaOutputStreamAbort
000000025fc0dbe4 (__TEXT,__text) non-external _aeaOutputStreamClose
000000025fc0e2ec (__TEXT,__text) non-external _aeaOutputStreamCloseAndUpdateContext
000000025fc0e75c (__TEXT,__text) non-external _aeaOutputStreamRunCurrentWorker
000000025fc0c69c (__TEXT,__text) non-external (was a private external) _aeaOutputStreamRunThreads
000000025fc0cb30 (__TEXT,__text) non-external _aeaOutputStreamWorkerThreadProc
000000025fc0d98c (__TEXT,__text) non-external _aeaOutputStreamWrite
000000025fc0d338 (__TEXT,__text) non-external _aeaOutputStreamWriterThreadProc
000000025fc1eeac (__TEXT,__text) non-external (was a private external) _aeaPaddedContainerSize
000000025fc02f98 (__TEXT,__text) non-external (was a private external) _aeaProfileIsValid
000000025fc03324 (__TEXT,__text) non-external (was a private external) _aeaRootHeaderInit
000000025fc106ec (__TEXT,__text) non-external _afStreamCancel
000000025fc10540 (__TEXT,__text) non-external _afStreamClose
000000025fc109e0 (__TEXT,__text) non-external _afStreamCloseWithState
000000025fc10700 (__TEXT,__text) non-external _afStreamWrite
000000025fc6e284 (__TEXT,__text) non-external _afscStreamCancel
000000025fc6dd54 (__TEXT,__text) non-external _afscStreamClose
000000025fc6e6b4 (__TEXT,__text) non-external _afscStreamCloseWithState
000000025fc6bb8c (__TEXT,__text) non-external _afscStreamOpen
000000025fc6e298 (__TEXT,__text) non-external _afscStreamWrite
000000025fbf62d4 (__TEXT,__text) non-external _aggregate_copy_fork
000000025fbf6d14 (__TEXT,__text) non-external _aggregate_identical_forks
000000025fc01a88 (__TEXT,__text) non-external (was a private external) _apfs_scan_diskimage
000000025fc5fe18 (__TEXT,__text) non-external _appendFieldIfNotDefinedString
000000025fc5fdb0 (__TEXT,__text) non-external _appendFieldIfNotDefinedTimespec
000000025fc5fd40 (__TEXT,__text) non-external _appendFieldIfNotDefinedUInt
000000025fbf9908 (__TEXT,__text) non-external (was a private external) _appendPathListWorkerProc
000000025fc35158 (__TEXT,__text) non-external (was a private external) _appendThreadErrorContextString
000000025fc5c804 (__TEXT,__text) non-external _append_field
000000025fc5922c (__TEXT,__text) non-external _applyEntryAttributes
000000025fc34b70 (__TEXT,__text) non-external _applyYEC
000000025fc2fff0 (__TEXT,__text) non-external (was a private external) _areFilesEqual
000000025fc302f4 (__TEXT,__text) non-external (was a private external) _areFilesEqual2
000000025fbfe788 (__TEXT,__text) non-external _asyncContext
000000025fc1c018 (__TEXT,__text) non-external _asyncContext
000000025fbfea7c (__TEXT,__text) non-external _asyncProgress
000000025fc1c32c (__TEXT,__text) non-external _asyncProgress
000000025fbfea64 (__TEXT,__text) non-external _asyncSelect
000000025fc24f20 (__TEXT,__text) non-external _bestMatchInRange
000000025fc37ce0 (__TEXT,__text) non-external _blockGetFromCache
000000025fc37b68 (__TEXT,__text) non-external _blockReader
000000025fc37e34 (__TEXT,__text) non-external _blockWriter
                 (undefined) external _bsearch (from libSystem)
000000025fc3d104 (__TEXT,__text) non-external (was a private external) _bxdiff5Alloc
000000025fc3dabc (__TEXT,__text) non-external (was a private external) _bxdiff5CreateComboControls
000000025fc3e420 (__TEXT,__text) non-external (was a private external) _bxdiff5CreateComboPatch
000000025fc3d8e8 (__TEXT,__text) non-external (was a private external) _bxdiff5CreateInControls
000000025fc3dd24 (__TEXT,__text) non-external (was a private external) _bxdiff5CreateInPatch
000000025fc3dd8c (__TEXT,__text) non-external _bxdiff5CreatePatchBackend
000000025fc3d358 (__TEXT,__text) non-external (was a private external) _bxdiff5Dump
000000025fc3d160 (__TEXT,__text) non-external (was a private external) _bxdiff5Free
000000025fc3d6ec (__TEXT,__text) non-external (was a private external) _bxdiff5SetIn
000000025fc3d880 (__TEXT,__text) non-external (was a private external) _bxdiff5SetOut
                 (undefined) external _bzero (from libSystem)
000000025fc78630 (__TEXT,__text) non-external _cacheData
000000025fc0c5cc (__TEXT,__text) non-external _cacheFlush
000000025fc0c470 (__TEXT,__text) non-external _cachePageEvict
000000025fc0c13c (__TEXT,__text) non-external _cachePageGet
