00007ff841ae2718 (__DATA,__data) non-external _C
00007ff8002e862c (__TEXT,__text) external ___sfvwrite
00007ff800327c90 (__TEXT,__text) non-external (was a private external) ___sgetrune
00007ff841ae29d0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff8002ef797 (__TEXT,__text) external ___sinit
00007ff80031add4 (__TEXT,__text) external ___slbexpand
00007ff8002f8978 (__TEXT,__text) external ___smakebuf
00007ff8002e8a15 (__TEXT,__text) external ___snprintf_chk
00007ff80035fe7c (__TEXT,__text) external ___snprintf_object_size_chk
00007ff80032e741 (__TEXT,__text) external ___split_page
00007ff800349d07 (__TEXT,__text) non-external ___sprint
00007ff8002f0446 (__TEXT,__text) external ___sprintf_chk
00007ff80035ffc5 (__TEXT,__text) external ___sprintf_object_size_chk
00007ff800327d6d (__TEXT,__text) non-external (was a private external) ___sputrune
00007ff8003161cb (__TEXT,__text) external ___sread
00007ff8002ef64f (__TEXT,__text) external ___srefill
00007ff8002ef676 (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff8002eff28 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff80030b469 (__TEXT,__text) external ___srget
00007ff800316345 (__TEXT,__text) external ___sseek
00007ff80034fa52 (__TEXT,__text) external ___stack_chk_fail
00007ff84380d020 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
                 (undefined) external ___stat_extended (from libsystem_kernel)
00007ff841ae29b0 (__DATA,__data) external ___stderrp
00007ff841ae29a0 (__DATA,__data) external ___stdinp
00007ff8003600ef (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff841ae5180 (__DATA,__bss) non-external ___stdout_evp
00007ff841ae29a8 (__DATA,__data) external ___stdoutp
00007ff80035ff70 (__TEXT,__text) external ___stpcpy_chk
00007ff800360092 (__TEXT,__text) external ___stpncpy_chk
00007ff8002e9a90 (__TEXT,__text) external ___strcat_chk
00007ff800332d40 (__TEXT,__text) external ___strcp_D2A
00007ff8002f1b26 (__TEXT,__text) external ___strcpy_chk
00007ff84380b7a8 (__DATA_DIRTY,__bss) non-external ___stream_max
00007ff841ae5378 (__DATA,__bss) non-external ___strerror_ebuf
00007ff8002ed15d (__TEXT,__text) external ___strlcat_chk
00007ff8002e92e5 (__TEXT,__text) external ___strlcpy_chk
00007ff8002ea76e (__TEXT,__text) external ___strncat_chk
00007ff8002f09c2 (__TEXT,__text) external ___strncpy_chk
00007ff800314638 (__TEXT,__text) external ___sum_D2A
00007ff8003457e6 (__TEXT,__text) external ___svfscanf
00007ff8002ed3db (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff800364a00 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff800318e15 (__TEXT,__text) external ___swbuf
00007ff8002f8b69 (__TEXT,__text) external ___swhatbuf
00007ff8003183db (__TEXT,__text) external ___swrite
00007ff800307213 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00007ff841ae2ab8 (__DATA,__data) non-external ___systemfn_mutex
00007ff841ae2bc0 (__DATA,__data) non-external ___systemfn_mutex
00007ff8003640e0 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff800320f9b (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff800320dbd (__TEXT,__text) non-external ___thread_stack_pcs
00007ff8003094c4 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff841ae5370 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff8003640b0 (__TEXT,__const) external ___tinytens_D2A
00007ff8002ea876 (__TEXT,__text) external ___tolower
00007ff80033bfbf (__TEXT,__text) external ___tolower_l
00007ff8002ea8b6 (__TEXT,__text) external ___toupper
00007ff80033bfa0 (__TEXT,__text) external ___toupper_l
00007ff80031478c (__TEXT,__text) external ___trailz_D2A
00007ff80030c19e (__TEXT,__text) external ___ulp_D2A
00007ff8002e8b00 (__TEXT,__text) non-external ___ultoa
00007ff8002e8c0f (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
00007ff80030b4f1 (__TEXT,__text) external ___ungetc
00007ff8003451dd (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff8002e965d (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff800364fe0 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff800358875 (__TEXT,__text) non-external (was a private external) ___utmpxname
00007ff841ae5450 (__DATA,__bss) non-external ___utx__
00007ff800363d14 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00007ff8002e3d88 (__TEXT,__text) non-external (was a private external) ___v2printf
00007ff8002e40be (__TEXT,__text) non-external (was a private external) ___vfprintf
00007ff8003617b6 (__TEXT,__text) non-external ___vfprintf.cold.1
00007ff8003649c0 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007ff8003649d0 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007ff800345a4e (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007ff800364a40 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007ff800364a50 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007ff800349f22 (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007ff800364b40 (__TEXT,__const) non-external ___vfwscanf.basefix
00007ff8002f67ee (__TEXT,__text) external ___vsnprintf_chk
00007ff80035ff27 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007ff80033cb60 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007ff80033c818 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007ff80033be78 (__TEXT,__text) external ___wcwidth
00007ff80033bfde (__TEXT,__text) external ___wcwidth_l
00007ff800307f0a (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007ff800305315 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007ff80032467a (__TEXT,__text) non-external ___xlocale_release
00007ff8003163a0 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007ff80036063c (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007ff841ae2720 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007ff8003576aa (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007ff8002f6413 (__TEXT,__text) non-external (was a private external) ___xvprintf
00007ff8003527a6 (__TEXT,__text) external __allocenvstate
00007ff800332da6 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007ff800338e2a (__TEXT,__text) non-external (was a private external) __ascii_init
00007ff800338e77 (__TEXT,__text) non-external __ascii_mbrtowc
00007ff800338ebd (__TEXT,__text) non-external __ascii_mbsinit
00007ff800338ec8 (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007ff800338f5b (__TEXT,__text) non-external __ascii_wcrtomb
00007ff800338f8a (__TEXT,__text) non-external __ascii_wcsnrtombs
00007ff800320694 (__TEXT,__text) external __atexit_receipt
00007ff841ae4760 (__DATA,__bss) non-external __atexit_receipt_enabled
00007ff8002f78ca (__TEXT,__text) non-external __backtrace_snprintf
00007ff840028700 (__DATA_CONST,__const) external __c_locale
00007ff80030e30f (__TEXT,__text) external __cleanup
00007ff8003223f5 (__TEXT,__text) external __closeutx
00007ff8003527b0 (__TEXT,__text) external __copyenv
00007ff841ae2ab0 (__DATA,__data) external __cthread_init_routine
00007ff80035282f (__TEXT,__text) external __deallocenvstate
00007ff800316032 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00007ff841ae5490 (__DATA,__common) non-external (was a private external) __e_err_exit
00007ff841ae5488 (__DATA,__common) non-external (was a private external) __e_err_file
00007ff80033301d (__TEXT,__text) non-external (was a private external) __e_visprintf
00007ff800357f01 (__TEXT,__text) external __endutxent
00007ff800361f84 (__TEXT,__text) non-external __endutxent.cold.1
00007ff800361fac (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
00007ff80031b45c (__TEXT,__text) non-external __ffpp_strtoencf32_l
00007ff80036012b (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
00007ff80036014e (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
00007ff800362c50 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
00007ff80031b70d (__TEXT,__text) non-external __ffpp_strtoencf64_l
00007ff800360171 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00007ff800360194 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00007ff8003601b7 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
00007ff800362ff0 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
00007ff80031bbc9 (__TEXT,__text) non-external __ffpp_strtoencf80_l
00007ff8003601da (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.1
00007ff8003601fd (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.2
00007ff8003631a0 (__TEXT,__const) non-external __ffpp_strtoencf80_l.longDoublePowerOf10
00007ff80035e5a2 (__TEXT,__text) non-external (was a private external) __filldir
00007ff800336306 (__TEXT,__text) non-external (was a private external) __filldir$INODE64
00007ff80035edb9 (__TEXT,__text) non-external (was a private external) __fixtelldir
00007ff8002ea44f (__TEXT,__text) non-external (was a private external) __fixtelldir$INODE64
00007ff800340f69 (__TEXT,__text) external __flockfile_debug_stub
00007ff800317ff6 (__TEXT,__text) external __fseeko
00007ff8003161dc (__TEXT,__text) external __ftello
00007ff80030e320 (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
00007ff80034fbdf (__TEXT,__text) external __getenvp
00007ff8003581b0 (__TEXT,__text) external __getutxent
00007ff800361fd4 (__TEXT,__text) non-external __getutxent.cold.1
00007ff800361ffc (__TEXT,__text) non-external __getutxent.cold.2
00007ff80035822c (__TEXT,__text) external __getutxid
00007ff800362024 (__TEXT,__text) non-external __getutxid.cold.1
00007ff80036204c (__TEXT,__text) non-external __getutxid.cold.2
00007ff8003583a6 (__TEXT,__text) external __getutxline
00007ff800362074 (__TEXT,__text) non-external __getutxline.cold.1
00007ff80036209c (__TEXT,__text) non-external __getutxline.cold.2
00007ff8002f4fd2 (__TEXT,__text) external __inet_aton_check
00007ff8003052c2 (__TEXT,__text) external __init_clock_port
00007ff80034d0f3 (__TEXT,__text) external __int_to_time
00007ff8002f0aa8 (__TEXT,__text) non-external __isort
00007ff8002f0c3e (__TEXT,__text) non-external __isort
00007ff80035272e (__TEXT,__text) non-external __legacy_crt1_environ
00007ff84380b770 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00007ff841ae4d68 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00007ff84380b768 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00007ff841ae4d60 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00007ff84380b760 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00007ff841ae4d58 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00007ff800327632 (__TEXT,__text) external __libc_fork_child
00007ff800305227 (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007ff800327626 (__TEXT,__text) external __libc_fork_parent
00007ff80032761a (__TEXT,__text) external __libc_fork_prepare
00007ff800305199 (__TEXT,__text) external __libc_initializer
00007ff80033b619 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
00007ff80033b5ea (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
00007ff80033b5bb (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
00007ff80034d0e1 (__TEXT,__text) external __long_to_time
00007ff80031b0b8 (__TEXT,__text) non-external __mach_boottime_usec
00007ff8003206a3 (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00007ff841ae4764 (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00007ff84380b758 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
00007ff80031448a (__TEXT,__text) non-external __mkdtemp_action
00007ff80031a3e4 (__TEXT,__text) non-external __mkfilex_np
00007ff800304cbb (__TEXT,__text) non-external __mkostemps_action
00007ff8002f223a (__TEXT,__text) non-external __mkpath
00007ff800315cb2 (__TEXT,__text) external __mkpath_np
00007ff800342967 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007ff80036168f (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007ff8003428b1 (__TEXT,__text) external __mktemp
00007ff8002f9247 (__TEXT,__text) non-external __mktemp_action
00007ff80033c041 (__TEXT,__text) non-external (was a private external) __none_init
00007ff800310e9a (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007ff80033c08e (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007ff80033c099 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007ff80030e2e0 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007ff80033c109 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00007ff841ae4f20 (__DATA,__bss) non-external __onlyClocaleconv
00007ff800322358 (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007ff8003606a8 (__TEXT,__text) external __os_assert_log
00007ff8003609b3 (__TEXT,__text) external __os_assert_log_ctx
00007ff80030afc8 (__TEXT,__text) external __os_assumes_log
00007ff800360810 (__TEXT,__text) external __os_assumes_log_ctx
00007ff8002f061f (__TEXT,__text) external __os_avoid_tail_call
00007ff80036065f (__TEXT,__text) external __os_crash
00007ff841ae5478 (__DATA,__common) external __os_crash_callback
00007ff800328231 (__TEXT,__text) external __os_crash_fmt
00007ff800360b2c (__TEXT,__text) non-external __os_crash_fmt.cold.1
00007ff8003281cf (__TEXT,__text) external __os_crash_msg
00007ff80036049d (__TEXT,__text) external __os_debug_log
00007ff8003225ea (__TEXT,__text) external __os_debug_log_error_offset
00007ff80030b243 (__TEXT,__text) external __os_debug_log_error_str
00007ff80030b259 (__TEXT,__text) non-external __os_debug_log_init
00007ff800322679 (__TEXT,__text) non-external __os_debug_log_open_file
00007ff800322468 (__TEXT,__text) non-external __os_debug_log_write
00007ff8003225ff (__TEXT,__text) non-external __os_debug_log_write_error
00007ff800328341 (__TEXT,__text) non-external __os_get_build
00007ff8003282cd (__TEXT,__text) non-external __os_get_image_uuid
                 (undefined) external __os_log_default (from libsystem_trace)
00007ff80030b167 (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
00007ff8002e922a (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007ff8002e8dcf (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007ff8002e91bf (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007ff840028940 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007ff8003670a0 (__TEXT,__cstring) non-external __printf_tbl_flags
00007ff8003051eb (__TEXT,__text) non-external (was a private external) __program_vars_init
00007ff800353ae7 (__TEXT,__text) non-external __psort
00007ff800354634 (__TEXT,__text) non-external __psort
00007ff80035509a (__TEXT,__text) non-external __psort
00007ff800361c7a (__TEXT,__text) non-external __psort.cold.1
00007ff800361cb6 (__TEXT,__text) non-external __psort.cold.1
00007ff800361cf2 (__TEXT,__text) non-external __psort.cold.1
00007ff800353a92 (__TEXT,__text) non-external __psort_parallel
00007ff8003545df (__TEXT,__text) non-external __psort_parallel
00007ff800355040 (__TEXT,__text) non-external __psort_parallel
00007ff80035017d (__TEXT,__text) external __putenvp
00007ff800358483 (__TEXT,__text) external __pututxline
00007ff8003620c4 (__TEXT,__text) non-external __pututxline.cold.1
00007ff8003620ec (__TEXT,__text) non-external __pututxline.cold.2
00007ff80032104a (__TEXT,__text) non-external __pwuid_r
00007ff800314b40 (__TEXT,__text) non-external __qsort
00007ff8003153b8 (__TEXT,__text) non-external __qsort
00007ff841ae2758 (__DATA,__data) external __rand48_add
00007ff841ae2750 (__DATA,__data) external __rand48_mult
00007ff841ae2748 (__DATA,__data) external __rand48_seed
00007ff80035e80d (__TEXT,__text) external __readdir_unlocked
00007ff8002ea2e1 (__TEXT,__text) external __readdir_unlocked$INODE64
00007ff8002ea4e5 (__TEXT,__text) external __reclaim_telldir
00007ff8002f862f (__TEXT,__text) non-external __releaselocale
00007ff800364ee4 (__TEXT,__const) non-external (was a private external) __rp_alist
00007ff84380d068 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
00007ff80035ed34 (__TEXT,__text) external __seekdir
00007ff800315fa1 (__TEXT,__text) external __seekdir$INODE64
00007ff800352871 (__TEXT,__text) external __setenvp
00007ff800357e18 (__TEXT,__text) external __setutxent
00007ff800361f38 (__TEXT,__text) non-external __setutxent.cold.1
00007ff800361f5e (__TEXT,__text) non-external __setutxent.cold.2
00007ff800327770 (__TEXT,__text) external __sigaction_nobind
00007ff841ae54b0 (__DATA,__common) external __sigintr
00007ff800337a2a (__TEXT,__text) external __signal_nobind
00007ff80031afd5 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007ff8003378d7 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007ff8002eff81 (__TEXT,__text) external __sread
00007ff8002f8cd1 (__TEXT,__text) external __sseek
00007ff8003059e2 (__TEXT,__text) non-external (was a private external) __st_fmt
00007ff8003262cc (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007ff8002ec6cd (__TEXT,__text) non-external (was a private external) __st_localsub
00007ff8002ec6b3 (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007ff8002fc753 (__TEXT,__text) non-external (was a private external) __st_time1
00007ff8002eaa1a (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007ff800358b4e (__TEXT,__text) non-external __strfmon
00007ff80030c548 (__TEXT,__text) non-external __strptime0
00007ff800364c80 (__TEXT,__const) non-external __strptime0.start_of_month
00007ff800325b00 (__TEXT,__text) external __subsystem_init
00007ff8002f6621 (__TEXT,__text) external __swrite
00007ff800320f72 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00007ff8002f219b (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007ff80034d0b4 (__TEXT,__text) external __time32_to_time
00007ff80034d0c6 (__TEXT,__text) external __time64_to_time
00007ff80034d0ea (__TEXT,__text) external __time_to_int
00007ff80034d0d8 (__TEXT,__text) external __time_to_long
00007ff80034d0bd (__TEXT,__text) external __time_to_time32
00007ff80034d0cf (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
00007ff8003528ef (__TEXT,__text) external __unsetenvp
00007ff80032228b (__TEXT,__text) non-external (was a private external) __utmpx32_64
00007ff8003222f2 (__TEXT,__text) non-external (was a private external) __utmpx64_32
00007ff8003212a6 (__TEXT,__text) non-external (was a private external) __utmpx_asl
00007ff800364ff1 (__TEXT,__const) non-external (was a private external) __utmpx_vers
00007ff800321719 (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00007ff841ae4768 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00007ff800358949 (__TEXT,__text) external __utmpxname
00007ff800362114 (__TEXT,__text) non-external __utmpxname.cold.1
00007ff80036213c (__TEXT,__text) non-external __utmpxname.cold.2
00007ff8003149c5 (__TEXT,__text) non-external (was a private external) __vasprintf
00007ff800319972 (__TEXT,__text) non-external (was a private external) __vdprintf
00007ff8003147d7 (__TEXT,__text) non-external (was a private external) __vsnprintf
00007ff800306b34 (__TEXT,__text) non-external __yconv
00007ff80034fab8 (__TEXT,__text) external _a64l
00007ff800363930 (__TEXT,__const) non-external _a64toi
00007ff8003619fb (__TEXT,__text) external _abort
00007ff800361b3a (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
00007ff80034fb55 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007ff800324bcf (__TEXT,__text) external _acl_add_flag_np
00007ff800324c35 (__TEXT,__text) external _acl_add_perm
00007ff800324725 (__TEXT,__text) external _acl_calc_mask
00007ff800324bd9 (__TEXT,__text) external _acl_clear_flags_np
00007ff800324c59 (__TEXT,__text) external _acl_clear_perms
00007ff80032473b (__TEXT,__text) external _acl_copy_entry
00007ff800324da0 (__TEXT,__text) external _acl_copy_ext
00007ff8002f202a (__TEXT,__text) external _acl_copy_ext_native
00007ff800324e70 (__TEXT,__text) external _acl_copy_int
00007ff800319efd (__TEXT,__text) external _acl_copy_int_native
00007ff80032484d (__TEXT,__text) external _acl_create_entry
00007ff800324790 (__TEXT,__text) external _acl_create_entry_np
00007ff800324bb9 (__TEXT,__text) external _acl_delete_def_file
00007ff80032485c (__TEXT,__text) external _acl_delete_entry
00007ff800324a12 (__TEXT,__text) external _acl_delete_fd_np
00007ff800324a28 (__TEXT,__text) external _acl_delete_file_np
00007ff800324be7 (__TEXT,__text) external _acl_delete_flag_np
00007ff800324a3e (__TEXT,__text) external _acl_delete_link_np
00007ff800324c67 (__TEXT,__text) external _acl_delete_perm
00007ff8002f1f84 (__TEXT,__text) external _acl_dup
00007ff840028710 (__DATA_CONST,__const) non-external _acl_flags
00007ff8002f20f0 (__TEXT,__text) external _acl_free
00007ff800324f16 (__TEXT,__text) external _acl_from_text
00007ff80031ae38 (__TEXT,__text) external _acl_get_entry
00007ff800324a54 (__TEXT,__text) external _acl_get_fd
00007ff8003144b6 (__TEXT,__text) external _acl_get_fd_np
00007ff8003131f1 (__TEXT,__text) external _acl_get_file
00007ff800313200 (__TEXT,__text) non-external _acl_get_file1
00007ff80031aef3 (__TEXT,__text) external _acl_get_flag_np
00007ff80031aeb0 (__TEXT,__text) external _acl_get_flagset_np
00007ff800324a63 (__TEXT,__text) external _acl_get_link_np
00007ff800324c8d (__TEXT,__text) external _acl_get_perm_np
00007ff800324cb4 (__TEXT,__text) external _acl_get_permset
00007ff800324d2b (__TEXT,__text) external _acl_get_permset_mask_np
00007ff800324914 (__TEXT,__text) external _acl_get_qualifier
00007ff800324967 (__TEXT,__text) external _acl_get_tag_type
00007ff800319f86 (__TEXT,__text) external _acl_init
00007ff800324d1c (__TEXT,__text) external _acl_maximal_permset_mask_np
00007ff8400287d0 (__DATA_CONST,__const) non-external _acl_perms
00007ff800324adb (__TEXT,__text) external _acl_set_fd
00007ff800324a6f (__TEXT,__text) external _acl_set_fd_np
00007ff800324ae5 (__TEXT,__text) external _acl_set_file
00007ff800324bf3 (__TEXT,__text) external _acl_set_flagset_np
00007ff800324b51 (__TEXT,__text) external _acl_set_link_np
00007ff800324ce9 (__TEXT,__text) external _acl_set_permset
00007ff800324d5f (__TEXT,__text) external _acl_set_permset_mask_np
00007ff80032499a (__TEXT,__text) external _acl_set_qualifier
00007ff8003249d9 (__TEXT,__text) external _acl_set_tag_type
00007ff8002f1fe0 (__TEXT,__text) external _acl_size
00007ff8003255ad (__TEXT,__text) external _acl_to_text
00007ff8003246b7 (__TEXT,__text) external _acl_valid
00007ff8003246e3 (__TEXT,__text) external _acl_valid_fd_np
00007ff8003246f9 (__TEXT,__text) external _acl_valid_file_np
00007ff80032470f (__TEXT,__text) external _acl_valid_link
00007ff80031d9ec (__TEXT,__text) non-external _addToMP
00007ff800343688 (__TEXT,__text) non-external _addaster
00007ff800337818 (__TEXT,__text) non-external _addcmd
00007ff80033e47a (__TEXT,__text) external _addr2ascii
00007ff841ae5108 (__DATA,__bss) non-external _addr2ascii.staticbuf
00007ff800343852 (__TEXT,__text) non-external _addtype
00007ff80034459c (__TEXT,__text) non-external _addwaster
00007ff8002fada7 (__TEXT,__text) non-external _advance_directory
00007ff8002fae2e (__TEXT,__text) non-external _advance_directory
00007ff800360488 (__TEXT,__text) non-external _advance_directory.cold.1
00007ff8003621e3 (__TEXT,__text) non-external _advance_directory.cold.1
00007ff8003132ba (__TEXT,__text) external _alarm
00007ff80032c843 (__TEXT,__text) non-external _alloc_segs
00007ff80035ec29 (__TEXT,__text) external _alphasort
00007ff80030fc26 (__TEXT,__text) external _alphasort$INODE64
00007ff800364df0 (__TEXT,__const) non-external _ambig
00007ff8002e3984 (__TEXT,__text) non-external _arc4_init
00007ff800360b9b (__TEXT,__text) non-external _arc4_init.cold.1
00007ff8002f0a7f (__TEXT,__text) external _arc4random
00007ff800332da0 (__TEXT,__text) external _arc4random_addrandom
00007ff8002e395c (__TEXT,__text) external _arc4random_buf
00007ff800313fc4 (__TEXT,__text) external _arc4random_stir
00007ff8002f6940 (__TEXT,__text) external _arc4random_uniform
00007ff841ae5420 (__DATA,__bss) non-external _arg_type_queue
00007ff8003575c5 (__TEXT,__text) non-external (was a private external) _arrayfree
00007ff800316e60 (__TEXT,__text) non-external _arrayget
00007ff80033e51b (__TEXT,__text) external _ascii2addr
00007ff800311092 (__TEXT,__text) external _asctime
00007ff800305733 (__TEXT,__text) external _asctime_r
00007ff800364b90 (__TEXT,__const) non-external _asctime_r.mon_name
00007ff800364b70 (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
00007ff8002f1882 (__TEXT,__text) external _asprintf
00007ff800340fa7 (__TEXT,__text) external _asprintf_l
00007ff8003262d9 (__TEXT,__text) external _asxprintf
00007ff800326b20 (__TEXT,__text) external _asxprintf_exec
