00000001e3b67158 (__DATA,__bss) non-external _AGCPrinter
00000001a70ed308 (__TEXT,__const) non-external __ZL36texFormatpqYCBCR12_422_2PLANE_PACKED.13317
00000001a70f3428 (__TEXT,__const) non-external __ZL36texFormatpqYCBCR12_422_2PLANE_PACKED.13611
00000001a70d6e08 (__TEXT,__const) non-external __ZL36texFormatpqYCBCR12_444_2PLANE_PACKED
00000001a70dc688 (__TEXT,__const) non-external __ZL36texFormatpqYCBCR12_444_2PLANE_PACKED.12440
00000001a70e2088 (__TEXT,__const) non-external __ZL36texFormatpqYCBCR12_444_2PLANE_PACKED.12728
00000001a70e7a28 (__TEXT,__const) non-external __ZL36texFormatpqYCBCR12_444_2PLANE_PACKED.13023
00000001a70ed368 (__TEXT,__const) non-external __ZL36texFormatpqYCBCR12_444_2PLANE_PACKED.13318
00000001a70f3488 (__TEXT,__const) non-external __ZL36texFormatpqYCBCR12_444_2PLANE_PACKED.13612
00000001a70bb664 (__TEXT,__const) non-external __ZL36wrapper_constant_sampler_global_name
00000001a70bb6b8 (__TEXT,__const) non-external __ZL36wrapper_image_array_info_global_name
00000001a70bb6fb (__TEXT,__const) non-external __ZL36wrapper_image_base_level_global_name
00000001a70bb724 (__TEXT,__const) non-external __ZL36wrapper_image_heap_index_global_name
00000001a6eef7b8 (__TEXT,__text) non-external __ZL37AGCCodeGenServiceBuildRequestInternalP17AGCCodeGenServicePKvmS2_mPN4llvm6ModuleE13AGCTargetArchR15_AGCStreamTokenPS2_Pm7APIKind
00000001a70d1528 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_420_2PLANE_PACKED_XR
00000001a70d65c8 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_420_2PLANE_PACKED_XR.12144
00000001a70dbe48 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_420_2PLANE_PACKED_XR.12414
00000001a70e1848 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_420_2PLANE_PACKED_XR.12702
00000001a70e71e8 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_420_2PLANE_PACKED_XR.12997
00000001a70ecb28 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_420_2PLANE_PACKED_XR.13292
00000001a70f2c48 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_420_2PLANE_PACKED_XR.13586
00000001a70d1588 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_422_2PLANE_PACKED_XR
00000001a70d6628 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_422_2PLANE_PACKED_XR.12145
00000001a70dbea8 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_422_2PLANE_PACKED_XR.12415
00000001a70e18a8 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_422_2PLANE_PACKED_XR.12703
00000001a70e7248 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_422_2PLANE_PACKED_XR.12998
00000001a70ecb88 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_422_2PLANE_PACKED_XR.13293
00000001a70f2ca8 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_422_2PLANE_PACKED_XR.13587
00000001a70d15e8 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_444_2PLANE_PACKED_XR
00000001a70d6688 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_444_2PLANE_PACKED_XR.12146
00000001a70dbf08 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_444_2PLANE_PACKED_XR.12416
00000001a70e1908 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_444_2PLANE_PACKED_XR.12704
00000001a70e72a8 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_444_2PLANE_PACKED_XR.12999
00000001a70ecbe8 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_444_2PLANE_PACKED_XR.13294
00000001a70f2d08 (__TEXT,__const) non-external __ZL37texFormatYCBCR10_444_2PLANE_PACKED_XR.13588
00000001a70d7168 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_420_2PLANE_PACKED_XR
00000001a70dc9e8 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_420_2PLANE_PACKED_XR.12449
00000001a70e23e8 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_420_2PLANE_PACKED_XR.12737
00000001a70e7cc8 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_420_2PLANE_PACKED_XR.13032
00000001a70ed6c8 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_420_2PLANE_PACKED_XR.13327
00000001a70f37e8 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_420_2PLANE_PACKED_XR.13621
00000001a70d71c8 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_422_2PLANE_PACKED_XR
00000001a70dca48 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_422_2PLANE_PACKED_XR.12450
00000001a70e2448 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_422_2PLANE_PACKED_XR.12738
00000001a70e7d28 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_422_2PLANE_PACKED_XR.13033
00000001a70ed728 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_422_2PLANE_PACKED_XR.13328
00000001a70f3848 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_422_2PLANE_PACKED_XR.13622
00000001a70d7228 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_444_2PLANE_PACKED_XR
00000001a70dcaa8 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_444_2PLANE_PACKED_XR.12451
00000001a70e24a8 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_444_2PLANE_PACKED_XR.12739
00000001a70e7d88 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_444_2PLANE_PACKED_XR.13034
00000001a70ed788 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_444_2PLANE_PACKED_XR.13329
00000001a70f38a8 (__TEXT,__const) non-external __ZL37texFormatYCBCR12_444_2PLANE_PACKED_XR.13623
00000001a70edc08 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR10_420_2PLANE_PACKED
00000001a70f3d28 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR10_420_2PLANE_PACKED.13639
00000001a70edc68 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR10_422_2PLANE_PACKED
00000001a70f3d88 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR10_422_2PLANE_PACKED.13640
00000001a70edcc8 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR10_444_2PLANE_PACKED
00000001a70f3de8 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR10_444_2PLANE_PACKED.13641
00000001a70ede48 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR12_420_2PLANE_PACKED
00000001a70f3f68 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR12_420_2PLANE_PACKED.13645
00000001a70edea8 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR12_422_2PLANE_PACKED
00000001a70f3fc8 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR12_422_2PLANE_PACKED.13646
00000001a70edf08 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR12_444_2PLANE_PACKED
00000001a70f4028 (__TEXT,__const) non-external __ZL37texFormathlgYCBCR12_444_2PLANE_PACKED.13647
00000001a70bb41d (__TEXT,__const) non-external __ZL37wrapper_barycentric_coord_global_name
00000001a70bb3ce (__TEXT,__const) non-external __ZL37wrapper_depth_coefficient_global_name
00000001a70bb472 (__TEXT,__const) non-external __ZL37wrapper_point_size_adjust_global_name
00000001a70bb637 (__TEXT,__const) non-external __ZL37wrapper_sampler_unique_id_global_name
00000001a70bb6cd (__TEXT,__const) non-external __ZL38wrapper_image_mipmap_count_global_name
00000001a70bb6e4 (__TEXT,__const) non-external __ZL38wrapper_image_sample_count_global_name
00000001a70bb64d (__TEXT,__const) non-external __ZL38wrapper_sampler_heap_index_global_name
00000001a70bb61e (__TEXT,__const) non-external __ZL40wrapper_sampler_es1_lod_bias_global_name
00000001a70bb43f (__TEXT,__const) non-external __ZL41wrapper_primitive_buffer_path_global_name
00000001a70bb76d (__TEXT,__const) non-external __ZL42wrapper_image_state_struct_ptr_global_name
00000001a70bb3e4 (__TEXT,__const) non-external __ZL43wrapper_point_coord_coefficient_global_name
00000001a70bb400 (__TEXT,__const) non-external __ZL44wrapper_primitive_id_coefficient_global_name
00000001a70bb750 (__TEXT,__const) non-external __ZL44wrapper_sampler_state_struct_ptr_global_name
00000001a70bb788 (__TEXT,__const) non-external __ZL46wrapper_constant_sampler_unique_id_global_name
00000001a70c35c7 (__TEXT,__const) non-external __ZL7formats
00000001a70bb174 (__TEXT,__const) non-external __ZL9crc_table
00000001a70292d0 (__TEXT,__text) non-external __ZN10AGCLLVMCtx10initializeE13AGCTargetArch
00000001a702e940 (__TEXT,__text) non-external __ZN10AGCLLVMCtx14initializePlanERN4llvm8OptionalINS0_3AGX14AGXCompilePlanEEENS2_12PipelineTypeENS2_8OptimizeERNSt3__112basic_stringIcNS8_11char_traitsIcEENS8_9allocatorIcEEEERNS2_14CodeGenOptionsE
00000001a702c888 (__TEXT,__text) non-external __ZN10AGCLLVMCtx16loadMetalRuntimeEPN4llvm6ModuleENS_14RuntimeLibraryENS0_8OptionalINS0_6TripleEEE
00000001a702bfd4 (__TEXT,__text) non-external __ZN10AGCLLVMCtx17createPassManagerEv
00000001a702bba8 (__TEXT,__text) non-external __ZN10AGCLLVMCtx20createGraphicsPassesEv
00000001a702bc80 (__TEXT,__text) non-external __ZN10AGCLLVMCtx7addPassEPN4llvm6legacy11PassManagerEPNS0_4PassE
00000001a702deec (__TEXT,__text) non-external __ZN10AGCLLVMCtx7compileEP13AGCLLVMObjectRN4llvm6ModuleE16AGCFastMathFlagsNS2_3AGX12PipelineTypeERNS6_14CodeGenOptionsEb
00000001a702b738 (__TEXT,__text) non-external __ZN10AGCLLVMCtxC1ERK19AGCLLVMTargetConfigN4llvm3AGX11AGXCompilerE3ApiRKNSt3__112basic_stringIcNS7_11char_traitsIcEENS7_9allocatorIcEEEESF_
00000001a702b9e4 (__TEXT,__text) non-external __ZN10AGCLLVMCtxD1Ev
00000001a6fecea4 (__TEXT,__text) non-external __ZN11AGCTargetOSC2ERKN4llvm6TripleE
00000001a6fdaa58 (__TEXT,__text) non-external __ZN11IntervalMapIjE4joinEjj
00000001a6fd1ec8 (__TEXT,__text) non-external __ZN11IntervalMapIjE6insertERKN17AGCArgumentBuffer8Resource6BoundsEj
00000001a70bb7ac (__TEXT,__const) non-external __ZN11TFBufferMap12MAP_CONFLICTE
00000001a6ef5488 (__TEXT,__text) non-external __ZN11flatbuffers10IDLOptionsC2Ev
00000001a6ef60a8 (__TEXT,__text) non-external __ZN11flatbuffers10IDLOptionsD2Ev
00000001a6ef69c4 (__TEXT,__text) non-external __ZN11flatbuffers11SymbolTableINS_5ValueEED2Ev
                 (undefined) external __ZN11flatbuffers12GenerateTextERKNS_6ParserEPKvPNSt3__112basic_stringIcNS5_11char_traitsIcEENS5_9allocatorIcEEEE (from libllvm-flatbuffers)
00000001a6ef6ef8 (__TEXT,__text) non-external __ZN11flatbuffers15vector_downward10reallocateEm
00000001a6ef718c (__TEXT,__text) non-external __ZN11flatbuffers15vector_downward4fillEm
00000001a6ef7350 (__TEXT,__text) non-external __ZN11flatbuffers15vector_downward4pushEPKhm
00000001a6ef6b2c (__TEXT,__text) non-external __ZN11flatbuffers16DefaultAllocator10deallocateEPhm
00000001a6ef6b4c (__TEXT,__text) non-external __ZN11flatbuffers16DefaultAllocator8allocateEm
00000001a6ef6b64 (__TEXT,__text) non-external __ZN11flatbuffers16DefaultAllocatorD0Ev
00000001a6ef6b78 (__TEXT,__text) non-external __ZN11flatbuffers16DefaultAllocatorD1Ev
00000001a6f0ff84 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder10AddElementIaEEvtT_S2_
00000001a7031a1c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder10AddElementIfEEvtT_S2_
00000001a6ef4c04 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder10AddElementIhEEvtT_S2_
00000001a6ef7200 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder10AddElementIjEEvtT_S2_
00000001a70b62fc (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder10AddElementItEEvtT_S2_
00000001a6f01d9c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder10AddElementIyEEvtT_S2_
00000001a6ef7264 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder10TrackFieldEtj
00000001a6ef72e8 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder11PushElementIaEEjT_
00000001a6ef72e8 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder11PushElementIhEEjT_
00000001a6ef7128 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder11PushElementIjEEjT_
00000001a6f01e04 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder11PushElementIyEEjT_
00000001a6f01d24 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder12CreateStringEPKcm
00000001a6ef4abc (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder12CreateVectorIN17AGCCodeTranslator14ComputeVIInputEEENS_6OffsetINS_6VectorINS4_IT_EEEEEEPKS7_m
00000001a6ef4abc (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder12CreateVectorIN17AGCCodeTranslator15ConstantSamplerEEENS_6OffsetINS_6VectorINS4_IT_EEEEEEPKS7_m
00000001a6ef4abc (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder12CreateVectorIN17AGCCodeTranslator16VertexAttribDataEEENS_6OffsetINS_6VectorINS4_IT_EEEEEEPKS7_m
00000001a6ef4abc (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder12CreateVectorIN17AGCCodeTranslator17VertexBuiltinDataEEENS_6OffsetINS_6VectorINS4_IT_EEEEEEPKS7_m
00000001a6ef4abc (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder12CreateVectorIN17AGCCodeTranslator23VertexShaderOutIteratorEEENS_6OffsetINS_6VectorINS4_IT_EEEEEEPKS7_m
00000001a6fa3568 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder12CreateVectorIhEENS_6OffsetINS_6VectorIT_EEEEPKS4_m
00000001a6ef4a38 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder12CreateVectorIjEENS_6OffsetINS_6VectorIT_EEEEPKS4_m
00000001a6f0159c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder12CreateVectorIyEENS_6OffsetINS_6VectorIT_EEEEPKS4_m
00000001a6ef70f4 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder5AlignEm
00000001a6ef4f9c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder6FinishEjPKcb
00000001a6ef4c6c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder8EndTableEj
00000001a6ef6ec0 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder8PreAlignEmm
00000001a6ef4e4c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator10ShaderInfoEEEvtNS_6OffsetIT_EE
00000001a6ef4e4c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator12VertexInputsEEEvtNS_6OffsetIT_EE
00000001a6f10058 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator13MTLVertexInfoEEEvtNS_6OffsetIT_EE
00000001a6f0ffe8 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator14MeshShaderInfoEEEvtNS_6OffsetIT_EE
00000001a6ef4f2c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator15MTLFragmentInfoEEEvtNS_6OffsetIT_EE
00000001a6f29fa0 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator16ObjectShaderInfoEEEvtNS_6OffsetIT_EE
00000001a6f1e92c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator16VertexShaderInfoEEEvtNS_6OffsetIT_EE
00000001a6f019c4 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator17ComputeKernelInfoEEEvtNS_6OffsetIT_EE
00000001a6ef4b84 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator18ComponentCountInfoEEEvtNS_6OffsetIT_EE
00000001a6ef4ebc (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator18FragmentShaderInfoEEEvtNS_6OffsetIT_EE
00000001a6f40584 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator23MTLPostTessellationInfoEEEvtNS_6OffsetIT_EE
00000001a6f999e4 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator24IntersectionFunctionInfoEEEvtNS_6OffsetIT_EE
00000001a6ef4b84 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN17AGCCodeTranslator5uint3EEEvtNS_6OffsetIT_EE
00000001a6f019c4 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN20AGCCodeTranslatorG1010ShaderInfoEEEvtNS_6OffsetIT_EE
00000001a6ef4ebc (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN20AGCCodeTranslatorG1014TileShaderInfoEEEvtNS_6OffsetIT_EE
00000001a6ef4e4c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN20AGCCodeTranslatorG1017ComputeKernelInfoEEEvtNS_6OffsetIT_EE
00000001a6f1e92c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN20AGCCodeTranslatorG1110ShaderInfoEEEvtNS_6OffsetIT_EE
00000001a6ef4e4c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetIN20AGCCodeTranslatorG1116VertexShaderInfoEEEvtNS_6OffsetIT_EE
00000001a6ef4b84 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetINS_6StringEEEvtNS_6OffsetIT_EE
00000001a6ef4e4c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetINS_6VectorINS_6OffsetIN17AGCCodeTranslator14ComputeVIInputEEEEEEEvtNS3_IT_EE
00000001a6f019c4 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetINS_6VectorINS_6OffsetIN17AGCCodeTranslator15ConstantSamplerEEEEEEEvtNS3_IT_EE
00000001a6ef4e4c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetINS_6VectorINS_6OffsetIN17AGCCodeTranslator16VertexAttribDataEEEEEEEvtNS3_IT_EE
00000001a6f1e92c (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetINS_6VectorINS_6OffsetIN17AGCCodeTranslator17VertexBuiltinDataEEEEEEEvtNS3_IT_EE
00000001a6ef4b84 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetINS_6VectorINS_6OffsetIN17AGCCodeTranslator23VertexShaderOutIteratorEEEEEEEvtNS3_IT_EE
00000001a6ef4b84 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetINS_6VectorIhEEEEvtNS_6OffsetIT_EE
00000001a6ef4b84 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetINS_6VectorIjEEEEvtNS_6OffsetIT_EE
00000001a6ef4b84 (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilder9AddOffsetINS_6VectorIyEEEEvtNS_6OffsetIT_EE
00000001a6ef68bc (__TEXT,__text) non-external __ZN11flatbuffers17FlatBufferBuilderD2Ev
                 (undefined) external __ZN11flatbuffers6Parser11DeserializeEPKhm (from libllvm-flatbuffers)
00000001a6ef5580 (__TEXT,__text) non-external __ZN11flatbuffers6ParserC2ERKNS_10IDLOptionsE
00000001a6ef61a4 (__TEXT,__text) non-external __ZN11flatbuffers6ParserD2Ev
00000001a6ef1b14 (__TEXT,__text) non-external __ZN11flatbuffers8Verifier16VerifyTableStartEPKh
00000001a6ef6a58 (__TEXT,__text) non-external __ZN11flatbuffers9Allocator19reallocate_downwardEPhmmmm
00000001a708f644 (__TEXT,__text) non-external __ZN12AGCOSVersionC2ERKN4llvm6TripleE
00000001a6ef2008 (__TEXT,__text) non-external __ZN12_GLOBAL__N_111reportErrorERKNSt3__112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEE
00000001e3b63cd8 (__DATA,__bss) non-external __ZN12_GLOBAL__N_120AGCReplacementIRInfo12replacementsE
00000001e3b63ce0 (__DATA,__bss) non-external __ZN12_GLOBAL__N_120AGCReplacementIRInfo16replacement_fileE
00000001e3b63cd0 (__DATA,__bss) non-external __ZN12_GLOBAL__N_120AGCReplacementIRInfo9onceTokenE
00000001a702d160 (__TEXT,__text) non-external __ZN13AGCLLVMObject10linkCommonEPN4llvm6ModuleEbPNS0_8FunctionE
00000001a702d50c (__TEXT,__text) non-external __ZN13AGCLLVMObject10linkDSFileEPKcPN4llvm8FunctionE
00000001a702d610 (__TEXT,__text) non-external __ZN13AGCLLVMObject11readBitcodeER10AGCLLVMCtxRN4llvm11LLVMContextENS2_9StringRefEb
00000001e3b665c8 (__DATA,__bss) non-external __ZN13AGCLLVMObject13next_debug_idE
00000001a702f7b4 (__TEXT,__text) non-external __ZN13AGCLLVMObject14buildWGBarrierEN4llvm8ArrayRefIPNS0_5ValueEEE
00000001a70303a8 (__TEXT,__text) non-external __ZN13AGCLLVMObject15addDylibBindingEPN4llvm14GlobalVariableEj
00000001a7030cc0 (__TEXT,__text) non-external __ZN13AGCLLVMObject16buildMulShiftDivEPN4llvm5ValueES2_S2_
00000001a703048c (__TEXT,__text) non-external __ZN13AGCLLVMObject17buildConvertColorEPN4llvm5ValueEPNS0_4TypeEbb7RTZMode
00000001a6efa3f0 (__TEXT,__text) non-external __ZN13AGCLLVMObject17requiresDebugInfoEv
00000001a702f850 (__TEXT,__text) non-external __ZN13AGCLLVMObject18constructFlatReplyEv
00000001a6efa3ec (__TEXT,__text) non-external __ZN13AGCLLVMObject19buildBackendRequestERN4llvm3AGX14CompileRequestE
00000001a702f31c (__TEXT,__text) non-external __ZN13AGCLLVMObject19extractPhaseOffsetsEPKN11flatbuffers6VectorINS0_6OffsetIN16AGCCodeGenerator11ShaderPhaseEEEEERNS2_INS1_IjEEEE
00000001a7027e14 (__TEXT,__text) non-external __ZN13AGCLLVMObject20composeCompilerReplyERPvRmR25CompileTimeStatisticsDataNSt3__18functionIFvRK20AGCDeserializedReplyEEE
00000001a7030068 (__TEXT,__text) non-external __ZN13AGCLLVMObject20validateBackendReplyEv
00000001a7027d4c (__TEXT,__text) non-external __ZN13AGCLLVMObject21getTempRegistersLimitERj
00000001a6ef500c (__TEXT,__text) non-external __ZN13AGCLLVMObject22dumpTranslatorMetadataIN17AGCCodeTranslator24CompileReplyBinarySchemaEEEvRKN11flatbuffers17FlatBufferBuilderE
00000001a6f01a34 (__TEXT,__text) non-external __ZN13AGCLLVMObject22dumpTranslatorMetadataIN20AGCCodeTranslatorG1024CompileReplyBinarySchemaEEEvRKN11flatbuffers17FlatBufferBuilderE
00000001a6f1e99c (__TEXT,__text) non-external __ZN13AGCLLVMObject22dumpTranslatorMetadataIN20AGCCodeTranslatorG1124CompileReplyBinarySchemaEEEvRKN11flatbuffers17FlatBufferBuilderE
00000001a70273c0 (__TEXT,__text) non-external __ZN13AGCLLVMObject22finalizeDriverBindingsEPN4llvm8FunctionE
00000001a7030b10 (__TEXT,__text) non-external __ZN13AGCLLVMObject23disableConstantHoistingEv
00000001a7030bd0 (__TEXT,__text) non-external __ZN13AGCLLVMObject24enableTempRegistersLimitEv
00000001a6efb444 (__TEXT,__text) non-external __ZN13AGCLLVMObject24getMainDeserializedReplyEv
00000001a7030e1c (__TEXT,__text) non-external __ZN13AGCLLVMObject25createGlobalBufferBindingEPN4llvm4TypeERKNS0_5TwineEjjN9AGCShared10BufferTypeEPNS0_14GlobalVariableE
00000001a7030948 (__TEXT,__text) non-external __ZN13AGCLLVMObject27buildOutputFormatConversionEPN4llvm5ValueEPNS0_4TypeE22OutputFormatConversion
00000001a7030fcc (__TEXT,__text) non-external __ZN13AGCLLVMObject30replaceConstantChainWithInstrsEPN4llvm8ConstantE
00000001a702ebe8 (__TEXT,__text) non-external __ZN13AGCLLVMObjectC2ER10AGCLLVMCtxRN4llvm11LLVMContextE
00000001a7027e0c (__TEXT,__text) non-external __ZN13AGCLLVMObjectD0Ev
00000001a7027e10 (__TEXT,__text) non-external __ZN13AGCLLVMObjectD1Ev
00000001a702f08c (__TEXT,__text) non-external __ZN13AGCLLVMObjectD2Ev
00000001a6fcc1e8 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder10CreateLoadEPN4llvm5ValueEPKc
00000001a6f3d9c0 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder10CreateLoadEPN4llvm5ValueERKNS0_5TwineE
00000001a6f59ffc (__TEXT,__text) non-external __ZN14AGCLLVMBuilder10findPrefixERKN4llvm9StringRefERS1_S4_S3_
00000001a6ffbf18 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder11combineRGBAEPN4llvm5ValueES2_
00000001a6ffb5b8 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder11unboxStructEPN4llvm5ValueERNS0_11SmallVectorIS2_Lj8EEE
00000001a6ffb2f0 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder11unboxVectorEPN4llvm5ValueEPS2_b
00000001a6ffbd3c (__TEXT,__text) non-external __ZN14AGCLLVMBuilder12buildICmpSelEPN4llvm5ValueES2_NS0_7CmpInst9PredicateE
00000001a6ffbde8 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder12clampToWidthEPN4llvm5ValueEjb
00000001a6ffae68 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder12extendVectorEPN4llvm5ValueEj
00000001a6f056f4 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder14SetInsertPointEPN4llvm11InstructionEPKNS0_10DILocationE
00000001a6fface0 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder14subrangeVectorEPN4llvm5ValueEjjb
00000001a6ffab80 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder15bitCastElementsEPN4llvm5ValueEPNS0_4TypeE
00000001a6ffbbe4 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder15buildDotProductEPN4llvm5ValueES2_
00000001a6ffa848 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder15extendFromSmallEPN4llvm5ValueEPNS0_4TypeEb
00000001a6ffaa50 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder15truncateToSmallEPN4llvm5ValueE13ComponentType
00000001a6ffa968 (__TEXT,__text) non-external __ZN14AGCLLVMBuilder15truncateToSmallEPN4llvm5ValueEPNS0_4TypeE
