000000019fc3c600 (__TEXT,__text) non-external +[AMFI isAvailable]
000000019fc2989c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem teamID]
000000019fc3b748 (__TEXT,__text) non-external -[SPMigrationScanner .cxx_destruct]
000000019fc3b740 (__TEXT,__text) non-external -[SPMigrationScanner allBundleURLs]
000000019fc3b738 (__TEXT,__text) non-external -[SPMigrationScanner allKextURLs]
000000019fc3b3b4 (__TEXT,__text) non-external -[SPMigrationScanner initWithRoot:]
000000019fc3b448 (__TEXT,__text) non-external -[SPMigrationScanner performMigrationScan]
000000019fc3b730 (__TEXT,__text) non-external -[SPMigrationScanner volumeRoot]
000000019fc2a13c (__TEXT,__text) non-external -[StagedBundleData .cxx_destruct]
000000019fc2a120 (__TEXT,__text) non-external -[StagedBundleData access:]
000000019fc2a134 (__TEXT,__text) non-external -[StagedBundleData bundle]
000000019fc29bd0 (__TEXT,__text) non-external -[StagedBundleData handleReload]
000000019fc29934 (__TEXT,__text) non-external -[StagedBundleData initWithURL:withStagedURL:withReloadBlock:withPrepareBlock:]
000000019fc2a12c (__TEXT,__text) non-external -[StagedBundleData stagedBundle]
000000019fc41ea8 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
000000019fc41f48 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
000000019fc41ee0 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
000000019fc41f14 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
000000019fc41ec8 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
000000019fc41f58 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
000000019fc3c3e0 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibrary
000000019fc3c254 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibraryCore
00000001d6f0f1c0 (__DATA,__bss) non-external _AppleMobileFileIntegrityLibraryCore.frameworkLibrary
000000019fc37218 (__TEXT,__text) non-external _BooleanXPCImpl
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBundleCopyExecutableURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetInfoDictionary (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _FSEventStreamCreate (from CoreServices)
                 (undefined) external _FSEventStreamInvalidate (from CoreServices)
                 (undefined) external _FSEventStreamRelease (from CoreServices)
                 (undefined) external _FSEventStreamScheduleWithRunLoop (from CoreServices)
                 (undefined) external _FSEventStreamStart (from CoreServices)
                 (undefined) external _FSEventStreamStop (from CoreServices)
00000001d2b103e0 (__DATA_CONST,__const) external _GKErrorDomain
                 (undefined) weak external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) weak external _MISInstallProvisioningProfile (from libmis)
                 (undefined) weak external _MISProfileCreateWithFile (from libmis)
                 (undefined) weak external _MISProvisioningProfileCheckValidity (from libmis)
                 (undefined) weak external _MISProvisioningProfileGetUUID (from libmis)
                 (undefined) weak external _MISRemoveProvisioningProfile (from libmis)
                 (undefined) weak external _MISUPPTrusted (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfo (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfoWithProgress (from libmis)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSURLErrorKey (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
00000001d93aecf8 (__AUTH,__objc_data) external _OBJC_CLASS_$_AKELData
00000001d93af270 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMFI
00000001d93aee60 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapper
00000001d93af310 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicy
00000001d93af298 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicyResult
00000001d93aede8 (__AUTH,__objc_data) external _OBJC_CLASS_$_BundleData
00000001d93aeed8 (__AUTH,__objc_data) external _OBJC_CLASS_$_GKScanResult
00000001d93af0b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MIS
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
00000001d93aedc0 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyCacheMeta
00000001d93af1a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyScanTarget
00000001d93af338 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPDeveloperPolicy
00000001d93aef78 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionHistoryItem
00000001d93af018 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicy
00000001d93aee88 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicyItem
00000001d93aed48 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPFilePolicy
00000001d93af158 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPInstallationPolicy
00000001d93aefc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistory
00000001d93af068 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistoryItem
00000001d93aec08 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicy
00000001d93aec30 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicyItem
00000001d93aef28 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPLog
00000001d93af108 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigration
00000001d93af1f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigrationScanner
00000001d93aeca8 (__AUTH,__objc_data) external _OBJC_CLASS_$_StagedBundleData
00000001d6f0e8e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._bundle
00000001d6f0e8e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._signatureExceptionData
00000001d6f0e8ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._timestampExceptionData
00000001d6f0ea5c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isModified
00000001d6f0ea58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isValid
00000001d6f0ea60 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.signerCategory
00000001d6f0e90c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._isSignedBundle
00000001d6f0e910 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._reloadHandler
00000001d6f0e914 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._stream
00000001d6f0e920 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._timestamp
00000001d6f0e908 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._url
00000001d6f0e918 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._version
00000001d6f0e91c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._versionNumber
00000001d6f0e944 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.allowed
00000001d6f0e948 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.gkError
00000001d6f0e8fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._forEntry
00000001d6f0e8f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._lastMiss
00000001d6f0e8f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._metaId
00000001d6f0e8f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._missCount
00000001d6f0e900 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._sourceTable
00000001d6f0e904 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._target
00000001d6f0e9d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._blockDevice
00000001d6f0ea08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundle
00000001d6f0e9f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleID
00000001d6f0e9fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleVersion
00000001d6f0ea14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhash
00000001d6f0ea18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashData
00000001d6f0ea1c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashDigestAlgorithm
00000001d6f0e9e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._checkValidity
00000001d6f0e9e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._chgTime
00000001d6f0ea28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._entitlements
00000001d6f0e9d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._fsTypeName
00000001d6f0ea04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isAppWrapper
00000001d6f0ea40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isBundled
00000001d6f0ea00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isDirectory
00000001d6f0ea34 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantined
00000001d6f0ea30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantinedMount
00000001d6f0ea3c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isScript
00000001d6f0ea38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isUserApproved
00000001d6f0e9f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mainExecutableURL
00000001d6f0e9e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._modTime
00000001d6f0e9dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mountTime
00000001d6f0e9cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._objectID
00000001d6f0e9f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._originalURL
00000001d6f0e9c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pathOnVolume
00000001d6f0ea48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pid
00000001d6f0ea2c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._quarantineChecked
00000001d6f0ea24 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingID
00000001d6f0ea10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingInfo
00000001d6f0ea0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._staticCodeRef
00000001d6f0ea20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._teamID
00000001d6f0ea44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._triggeredByLibraryLoad
00000001d6f0e9ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._url
00000001d6f0e9d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumePath
00000001d6f0e9c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumeUUID
00000001d6f0ea68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._connection
00000001d6f0ea64 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._interface
00000001d6f0e95c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._cdHash
00000001d6f0e964 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._developerName
00000001d6f0e94c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._execPath
00000001d6f0e968 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._lastSeen
00000001d6f0e950 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._mmapPath
00000001d6f0e960 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._responsiblePath
00000001d6f0e954 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._signingID
00000001d6f0e958 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._teamID
00000001d6f0e988 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._connection
00000001d6f0e984 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._interface
00000001d6f0e98c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._lock
00000001d6f0e990 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._progressBlock
00000001d6f0e940 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._blockedReasonDescription
00000001d6f0e930 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._cdHash
00000001d6f0e924 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._itemPath
00000001d6f0e93c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._knownMalware
00000001d6f0e934 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsApproval
00000001d6f0e938 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsOverride
00000001d6f0e928 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._signingID
00000001d6f0e92c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._teamID
00000001d6f0e9bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._connection
00000001d6f0e9b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._interface
00000001d6f0e9c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._requireDaemon
00000001d6f0e970 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._connection
00000001d6f0e96c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._interface
00000001d6f0e9a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.bundleID
00000001d6f0e9b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.cdHash
00000001d6f0e9a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isCodeless
00000001d6f0e998 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isDeprecated
00000001d6f0e994 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isNotarized
00000001d6f0e99c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isUnsupported
00000001d6f0e9b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.lastUsed
00000001d6f0e9a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.path
00000001d6f0e9ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.teamID
00000001d6f0e97c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._connection
00000001d6f0e974 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._currentPolicy
00000001d6f0e978 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._interface
00000001d6f0e980 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy.currentUAKL
00000001d6f0e8a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem._originalAllowed
00000001d6f0e8a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.allowed
00000001d6f0e8b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationName
00000001d6f0e8b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationPath
00000001d6f0e8c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.bundleIDs
00000001d6f0e8b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.developerName
00000001d6f0e8ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.isPendingUpgrade
00000001d6f0e8a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.rebootRequired
00000001d6f0e8bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.teamID
00000001d6f0ea54 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allBundleURLs
00000001d6f0ea50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allKextURLs
00000001d6f0ea4c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._volumeRoot
00000001d6f0e8cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._accessQueue
00000001d6f0e8d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundle
00000001d6f0e8c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundleUrl
00000001d6f0e8d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._fileManager
00000001d6f0e8e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._prepareBlock
00000001d6f0e8dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._reloadBlock
00000001d6f0e8d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedBundle
00000001d6f0e8c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedUrl
00000001d93aed20 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AKELData
00000001d93af248 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AMFI
00000001d93aee38 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapper
00000001d93af2e8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicy
00000001d93af2c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicyResult
00000001d93aee10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_BundleData
00000001d93aef00 (__AUTH,__objc_data) external _OBJC_METACLASS_$_GKScanResult
00000001d93af0e0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MIS
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001d93aed98 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyCacheMeta
00000001d93af1d0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyScanTarget
00000001d93af360 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPDeveloperPolicy
00000001d93aefa0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionHistoryItem
00000001d93af040 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionPolicy
00000001d93aeeb0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionPolicyItem
00000001d93aed70 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPFilePolicy
00000001d93af180 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPInstallationPolicy
00000001d93aeff0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionHistory
00000001d93af090 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionHistoryItem
00000001d93aec58 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionPolicy
00000001d93aec80 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionPolicyItem
00000001d93aef50 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPLog
00000001d93af130 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPMigration
00000001d93af220 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPMigrationScanner
00000001d93aecd0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_StagedBundleData
000000019fc2ed70 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000019fc2f8bc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000019fc30fd8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000019fc37160 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000019fc37be4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000019fc3b320 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000019fc3baa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000019fc3c224 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000019fc3cc88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000019fc2ed8c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000019fc30ff8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000019fc3717c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000019fc37bfc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000019fc3b340 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000019fc3bac0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000019fc3c240 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000019fc3cca8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000019fc2ee70 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000019fc2eda0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000019fc3101c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000019fc3719c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000019fc3b360 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000019fc2edbc (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000019fc3102c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000019fc371b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000019fc3b380 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000019fc2edd0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000019fc31048 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000019fc371d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000019fc3b39c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000019fc2ede8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
000000019fc3105c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
000000019fc371f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
000000019fc2edf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
000000019fc371fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
000000019fc2ee14 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000019fc2ee38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
000000019fc2ee58 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000001d2b10448 (__DATA_CONST,__const) external _SPErrorDomain
                 (undefined) external _SecCertificateCopyOrganization (from Security)
                 (undefined) external _SecCertificateCopyOrganizationalUnit (from Security)
                 (undefined) external _SecCertificateGetTypeID (from Security)
                 (undefined) external _SecCodeCopyPath (from Security)
                 (undefined) external _SecCodeCopySigningInformation (from Security)
                 (undefined) external _SecCodeSetDetachedSignature (from Security)
