00007ff80cc9b3f0 (__TEXT,__const) non-external _A1_Table
00007ff80ca7fef0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_2
00007ff80cc0b2f0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_2
00007ff80c613830 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_3
00007ff80c77d050 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_3
00007ff80c9087d0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_3
00007ff80ca7ffb0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_3
00007ff80cc0b3b0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_3
00007ff80c6138f0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_4
00007ff80c77d110 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_4
00007ff80c908890 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_4
00007ff80ca80070 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_4
00007ff80cc0b470 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_270Degree_block_invoke_4
00007ff80c610b70 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke
00007ff80c77a620 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke
00007ff80c9075a0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke
00007ff80ca7d800 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke
00007ff80cc08c50 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke
00007ff80c6119a0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_2
00007ff80c77b550 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_2
00007ff80c907630 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_2
00007ff80ca7e380 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_2
00007ff80cc097d0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_2
00007ff80c611a40 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_3
00007ff80c77b5f0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_3
00007ff80c9076d0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_3
00007ff80ca7e420 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_3
00007ff80cc09870 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_3
00007ff80c611ad0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_4
00007ff80c77b680 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_4
00007ff80c907760 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_4
00007ff80ca7e4b0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_4
00007ff80cc09900 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt16_90Degree_block_invoke_4
00007ff80c60d2d0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke
00007ff80c776880 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke
00007ff80c905d10 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke
00007ff80ca79f70 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke
00007ff80cc05190 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke
00007ff80c60d3b0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_2
00007ff80c776960 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_2
00007ff80c905df0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_2
00007ff80ca7a050 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_2
00007ff80cc05270 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_2
00007ff80c60d490 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_3
00007ff80c776a40 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_3
00007ff80c905ed0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_3
00007ff80ca7a130 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_3
00007ff80cc05350 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_3
00007ff80c60d560 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_4
00007ff80c776b10 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_4
00007ff80c905fa0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_4
00007ff80ca7a200 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_4
00007ff80cc05420 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_0Degree_block_invoke_4
00007ff80c60e8e0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke
00007ff80c778010 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke
00007ff80c9062c0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke
00007ff80ca7b570 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke
00007ff80cc06780 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke
00007ff80c60ebe0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_2
00007ff80c778450 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_2
00007ff80c9065c0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_2
00007ff80ca7b870 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_2
00007ff80cc06b10 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_2
00007ff80c60eee0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_3
00007ff80c778890 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_3
00007ff80c9068c0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_3
00007ff80ca7bb70 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_3
00007ff80cc06ea0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_3
00007ff80c60f220 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_4
00007ff80c778d10 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_4
00007ff80c906c00 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_4
00007ff80ca7beb0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_4
00007ff80cc07270 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_180Degree_block_invoke_4
00007ff80c60f560 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke
00007ff80c779190 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke
00007ff80c906f40 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke
00007ff80ca7c1f0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke
00007ff80cc07640 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke
00007ff80c6105c0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_2
00007ff80c77a070 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_2
00007ff80c906ff0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_2
00007ff80ca7d250 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_2
00007ff80cc086a0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_2
00007ff80c610680 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_3
00007ff80c77a130 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_3
00007ff80c9070b0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_3
00007ff80ca7d310 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_3
00007ff80cc08760 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_3
00007ff80c610730 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_4
00007ff80c77a1e0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_4
00007ff80c907160 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_4
00007ff80ca7d3c0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_4
00007ff80cc08810 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_270Degree_block_invoke_4
00007ff80c60d630 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke
00007ff80c776be0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke
00007ff80c906070 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke
00007ff80ca7a2d0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke
00007ff80cc054f0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke
00007ff80c60e720 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_2
00007ff80c777e50 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_2
00007ff80c906100 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_2
00007ff80ca7b3b0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_2
00007ff80cc065c0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_2
00007ff80c60e7c0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_3
00007ff80c777ef0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_3
00007ff80c9061a0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_3
00007ff80ca7b450 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_3
00007ff80cc06660 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_3
00007ff80c60e850 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_4
00007ff80c777f80 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_4
00007ff80c906230 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_4
00007ff80ca7b4e0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_4
00007ff80cc066f0 (__TEXT,__text) non-external ___vRotate_90_Planar_UInt8_90Degree_block_invoke_4
00007ff80c220d10 (__TEXT,__text) non-external ___vSelectChannels_ARGB8888_block_invoke
00007ff80c1e25f0 (__TEXT,__text) non-external ___vSelectChannels_ARGBFFFF_AVX_block_invoke
00007ff80c221890 (__TEXT,__text) non-external ___vSelectChannels_ARGBFFFF_block_invoke
00007ff80cc9e040 (__TEXT,__const) non-external (was a private external) __kvImageConstDecodeArray0
00007ff80cc9e010 (__TEXT,__const) non-external (was a private external) __kvImageDecodeArray_16Q12Format
00007ff843bbf9c8 (__DATA,__bss) non-external __kvImageTempBuffer_Legacy
00007ff80cc9de74 (__TEXT,__const) non-external (was a private external) __kvImage_ARGBToYpCbCrMatrix_ITU_R_2020_NCL_0
00007ff80cc9de34 (__TEXT,__const) non-external (was a private external) __kvImage_ARGBToYpCbCrMatrix_ITU_R_601_4
00007ff80cc9de54 (__TEXT,__const) non-external (was a private external) __kvImage_ARGBToYpCbCrMatrix_ITU_R_709_2
00007ff80cc9de20 (__TEXT,__const) non-external (was a private external) __kvImage_YpCbCrToARGBMatrix_ITU_R_2020_NCL_0
00007ff80cc9ddf8 (__TEXT,__const) non-external (was a private external) __kvImage_YpCbCrToARGBMatrix_ITU_R_601_4
00007ff80cc9de0c (__TEXT,__const) non-external (was a private external) __kvImage_YpCbCrToARGBMatrix_ITU_R_709_2
00007ff80c20d380 (__TEXT,__text) non-external __vImageConvert_ARGB16Q12ToXRGB2101010
00007ff80cc995a4 (__TEXT,__const) non-external __vImageConvert_ARGB16Q12ToXRGB2101010.identityMap
00007ff843bbf478 (__DATA,__bss) non-external __vImageConvert_ARGB16Q12ToXRGB2101010.vConvert_ARGB16Q12ToARGB2101010
00007ff843bbf480 (__DATA,__bss) non-external __vImageConvert_ARGB16Q12ToXRGB2101010.vConvert_ARGB16Q12ToXRGB2101010
00007ff80c20cc30 (__TEXT,__text) non-external __vImageConvert_ARGB16UToXRGB2101010
00007ff80cc9959c (__TEXT,__const) non-external __vImageConvert_ARGB16UToXRGB2101010.identityMap
00007ff843bbf458 (__DATA,__bss) non-external __vImageConvert_ARGB16UToXRGB2101010.vConvert_ARGB16UToARGB2101010
00007ff843bbf460 (__DATA,__bss) non-external __vImageConvert_ARGB16UToXRGB2101010.vConvert_ARGB16UToXRGB2101010
00007ff80c20c4e0 (__TEXT,__text) non-external __vImageConvert_ARGB8888ToXRGB2101010
00007ff80cc99594 (__TEXT,__const) non-external __vImageConvert_ARGB8888ToXRGB2101010.identityMap
00007ff843bbf438 (__DATA,__bss) non-external __vImageConvert_ARGB8888ToXRGB2101010.vConvert_ARGB8888ToARGB2101010
00007ff843bbf440 (__DATA,__bss) non-external __vImageConvert_ARGB8888ToXRGB2101010.vConvert_ARGB8888ToXRGB2101010
00007ff80c20db20 (__TEXT,__text) non-external __vImageConvert_ARGBFFFFToXRGB2101010
00007ff80cc995ac (__TEXT,__const) non-external __vImageConvert_ARGBFFFFToXRGB2101010.identityMap
00007ff843bbf498 (__DATA,__bss) non-external __vImageConvert_ARGBFFFFToXRGB2101010.vConvert_ARGBFFFFToARGB2101010
00007ff843bbf4a0 (__DATA,__bss) non-external __vImageConvert_ARGBFFFFToXRGB2101010.vConvert_ARGBFFFFToXRGB2101010
00007ff80c20dee0 (__TEXT,__text) non-external __vImageConvert_XRGB2101010ToARGB16F
00007ff80cc995b0 (__TEXT,__const) non-external __vImageConvert_XRGB2101010ToARGB16F.identityMap
00007ff843bbf4a8 (__DATA,__bss) non-external __vImageConvert_XRGB2101010ToARGB16F.vConvert_ARGB2101010ToARGB16F
00007ff843bbf4b0 (__DATA,__bss) non-external __vImageConvert_XRGB2101010ToARGB16F.vConvert_XRGB2101010ToARGB16F
00007ff80c20cfe0 (__TEXT,__text) non-external __vImageConvert_XRGB2101010ToARGB16Q12
00007ff80cc995a0 (__TEXT,__const) non-external __vImageConvert_XRGB2101010ToARGB16Q12.identityMap
00007ff843bbf470 (__DATA,__bss) non-external __vImageConvert_XRGB2101010ToARGB16Q12.vConvert_ARGB2101010ToARGB16Q12
00007ff843bbf468 (__DATA,__bss) non-external __vImageConvert_XRGB2101010ToARGB16Q12.vConvert_XRGB2101010ToARGB16Q12
00007ff80c20c890 (__TEXT,__text) non-external __vImageConvert_XRGB2101010ToARGB16U
00007ff80cc99598 (__TEXT,__const) non-external __vImageConvert_XRGB2101010ToARGB16U.identityMap
00007ff843bbf448 (__DATA,__bss) non-external __vImageConvert_XRGB2101010ToARGB16U.vConvert_ARGB2101010ToARGB16U
00007ff843bbf450 (__DATA,__bss) non-external __vImageConvert_XRGB2101010ToARGB16U.vConvert_XRGB2101010ToARGB16U
00007ff80c20c140 (__TEXT,__text) non-external __vImageConvert_XRGB2101010ToARGB8888
00007ff80cc99590 (__TEXT,__const) non-external __vImageConvert_XRGB2101010ToARGB8888.identityMap
00007ff843bbf428 (__DATA,__bss) non-external __vImageConvert_XRGB2101010ToARGB8888.vConvert_ARGB2101010ToARGB8888
00007ff843bbf430 (__DATA,__bss) non-external __vImageConvert_XRGB2101010ToARGB8888.vConvert_XRGB2101010ToARGB8888
00007ff80c20d710 (__TEXT,__text) non-external __vImageConvert_XRGB2101010ToARGBFFFF
00007ff80cc995a8 (__TEXT,__const) non-external __vImageConvert_XRGB2101010ToARGBFFFF.identityMap
00007ff843bbf488 (__DATA,__bss) non-external __vImageConvert_XRGB2101010ToARGBFFFF.vConvert_ARGB2101010ToARGBFFFF
00007ff843bbf490 (__DATA,__bss) non-external __vImageConvert_XRGB2101010ToARGBFFFF.vConvert_XRGB2101010ToARGBFFFF
00007ff80c308390 (__TEXT,__text) non-external __vImagePiecewiseGamma_Planar16Q12
00007ff80c308710 (__TEXT,__text) non-external __vImagePiecewiseGamma_PlanarF
00007ff843bbedf8 (__DATA,__bss) non-external __vImagePiecewiseGamma_PlanarF.vPiecewiseGamma_PlanarF
00007ff80c4454d0 (__TEXT,__text) external __vImage_TempBuffer_Enable_Legacy
00007ff843754f48 (__DATA_DIRTY,__common) non-external (was a private external) _allocate_vImageCGConverterRef
                 (undefined) external _arc4random (from libSystem)
00007ff80cc14710 (__TEXT,__const) non-external (was a private external) _argb_32_table
00007ff80ccad100 (__TEXT,__const) non-external _argb_Ndot16_table
00007ff80ccc4900 (__TEXT,__const) non-external _argb_Ndot16_table
00007ff80ccc67e0 (__TEXT,__const) non-external _argb_Ndot16_table
00007ff80cccf120 (__TEXT,__const) non-external _argb_Ndot16_table
00007ff80ccd9f00 (__TEXT,__const) non-external _argb_Ndot16_table
                 (undefined) external _asl_close (from libSystem)
                 (undefined) external _asl_open (from libSystem)
                 (undefined) external _asl_vlog (from libSystem)
00007ff80cc9acd8 (__TEXT,__const) non-external (was a private external) _bounds_11_over_5
00007ff80cc9ad80 (__TEXT,__const) non-external (was a private external) _bounds_11_over_9
00007ff80cc9ac90 (__TEXT,__const) non-external (was a private external) _bounds_5_over_11
00007ff80cc9abc0 (__TEXT,__const) non-external (was a private external) _bounds_5_over_9
00007ff80cc9ad20 (__TEXT,__const) non-external (was a private external) _bounds_9_over_11
00007ff80cc9abfc (__TEXT,__const) non-external (was a private external) _bounds_9_over_5
00007ff80cc9aea0 (__TEXT,__const) non-external (was a private external) _bounds_BT709_forward
00007ff80cc9af30 (__TEXT,__const) non-external (was a private external) _bounds_BT709_reverse
00007ff80cc9add4 (__TEXT,__const) non-external (was a private external) _bounds_sRGB_forward
00007ff80cc9ae60 (__TEXT,__const) non-external (was a private external) _bounds_sRGB_reverse
                 (undefined) external _cache_create (from libSystem)
                 (undefined) external _cache_get_and_retain (from libSystem)
                 (undefined) external _cache_release_value (from libSystem)
                 (undefined) external _cache_set_and_retain (from libSystem)
00007ff843754f40 (__DATA_DIRTY,__common) non-external (was a private external) _cfArrayGetCount
00007ff843754f38 (__DATA_DIRTY,__common) non-external (was a private external) _cfArrayGetTypeID
00007ff843754f30 (__DATA_DIRTY,__common) non-external (was a private external) _cfEqual
00007ff843754f28 (__DATA_DIRTY,__common) non-external (was a private external) _cfGetTypeID
00007ff843754f20 (__DATA_DIRTY,__common) non-external (was a private external) _cfRelease
00007ff843754f18 (__DATA_DIRTY,__common) non-external (was a private external) _cfRetain
00007ff843754f10 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorConversionInfoCreateWithColorSyncCodeFragment
00007ff843754f08 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceCreateDeviceRGB
00007ff843754f00 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceGetBaseColorSpace
00007ff843754ef8 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceGetColorTable
00007ff843754ef0 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceGetColorTableCount
00007ff843754ee8 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceGetLabData
00007ff843754ee0 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceGetModel
00007ff843754ed8 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceGetName
00007ff843754ed0 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceGetNumberOfComponents
00007ff843754ec8 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceGetType
00007ff843754f58 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceRelease
00007ff843754ec0 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceRetain
00007ff843754eb8 (__DATA_DIRTY,__common) non-external (was a private external) _cgColorSpaceUsesExtendedRange
00007ff80c194e10 (__TEXT,__text) non-external _cmpBGR
00007ff80c194e30 (__TEXT,__text) non-external _cmpHash
00007ff80c1a9bc0 (__TEXT,__text) non-external _cmpRGB
00007ff80c1a9c10 (__TEXT,__text) non-external _cmpRGBA
00007ff80c1a9c30 (__TEXT,__text) non-external _cmpRGBAhash
00007ff80c1a9be0 (__TEXT,__text) non-external _cmpRGBhash
00007ff840d0ef00 (__DATA_CONST,__const) non-external (was a private external) _coeffs_11_over_5
00007ff840d0ef30 (__DATA_CONST,__const) non-external (was a private external) _coeffs_11_over_9
00007ff840d0eec0 (__DATA_CONST,__const) non-external (was a private external) _coeffs_5_over_11
00007ff840d0ee90 (__DATA_CONST,__const) non-external (was a private external) _coeffs_5_over_9
00007ff840d0ef10 (__DATA_CONST,__const) non-external (was a private external) _coeffs_9_over_11
00007ff840d0eeb0 (__DATA_CONST,__const) non-external (was a private external) _coeffs_9_over_5
00007ff840d0ef80 (__DATA_CONST,__const) non-external (was a private external) _coeffs_BT709_forward
00007ff840d0ef90 (__DATA_CONST,__const) non-external (was a private external) _coeffs_BT709_reverse
00007ff840d0ef50 (__DATA_CONST,__const) non-external (was a private external) _coeffs_sRGB_forward
00007ff840d0ef60 (__DATA_CONST,__const) non-external (was a private external) _coeffs_sRGB_reverse
00007ff843754eb0 (__DATA_DIRTY,__common) non-external (was a private external) _colorSpaceTransform_DoConvert
00007ff843754ea8 (__DATA_DIRTY,__common) non-external (was a private external) _colorSpaceTransform_Free
00007ff80cc956c0 (__TEXT,__const) non-external _color_bg_mask_table
                 (undefined) external _compression_decode_buffer (from libcompression)
                 (undefined) external _compression_decode_scratch_buffer_size (from libcompression)
                 (undefined) external _compression_encode_buffer (from libcompression)
00007ff80c2b8d40 (__TEXT,__text) non-external _computeImageEdgesAndGetMaskedMean
00007ff80c290730 (__TEXT,__text) non-external _conv4FFFF_A
00007ff80c290220 (__TEXT,__text) non-external _conv4FFFF_AB
00007ff80c28ff30 (__TEXT,__text) non-external _conv4FFFF_ABC
00007ff80c28fd40 (__TEXT,__text) non-external _conv4FFFF_ABCD
00007ff80c2939c0 (__TEXT,__text) non-external _conv4FFFF_ABCD_accum
00007ff80c2950b0 (__TEXT,__text) non-external _conv4FFFF_ABCD_accum_noAlpha
00007ff80c291050 (__TEXT,__text) non-external _conv4FFFF_ABCD_bias
00007ff80c292e90 (__TEXT,__text) non-external _conv4FFFF_ABC_accum
00007ff80c294430 (__TEXT,__text) non-external _conv4FFFF_ABC_accum_noAlpha
00007ff80c291240 (__TEXT,__text) non-external _conv4FFFF_ABC_bias
00007ff80c2900b0 (__TEXT,__text) non-external _conv4FFFF_ABD
00007ff80c293420 (__TEXT,__text) non-external _conv4FFFF_ABD_accum
00007ff80c2949f0 (__TEXT,__text) non-external _conv4FFFF_ABD_accum_noAlpha
00007ff80c2913c0 (__TEXT,__text) non-external _conv4FFFF_ABD_bias
00007ff80c2928d0 (__TEXT,__text) non-external _conv4FFFF_AB_accum
00007ff80c293e20 (__TEXT,__text) non-external _conv4FFFF_AB_accum_noAlpha
00007ff80c291550 (__TEXT,__text) non-external _conv4FFFF_AB_bias
00007ff80c2904d0 (__TEXT,__text) non-external _conv4FFFF_AC
00007ff80c290350 (__TEXT,__text) non-external _conv4FFFF_ACD
00007ff80c2936c0 (__TEXT,__text) non-external _conv4FFFF_ACD_accum
00007ff80c294d20 (__TEXT,__text) non-external _conv4FFFF_ACD_accum_noAlpha
00007ff80c291670 (__TEXT,__text) non-external _conv4FFFF_ACD_bias
00007ff80c292bc0 (__TEXT,__text) non-external _conv4FFFF_AC_accum
00007ff80c294150 (__TEXT,__text) non-external _conv4FFFF_AC_accum_noAlpha
00007ff80c2917f0 (__TEXT,__text) non-external _conv4FFFF_AC_bias
00007ff80c290600 (__TEXT,__text) non-external _conv4FFFF_AD
00007ff80c293150 (__TEXT,__text) non-external _conv4FFFF_AD_accum
00007ff80c294710 (__TEXT,__text) non-external _conv4FFFF_AD_accum_noAlpha
00007ff80c291910 (__TEXT,__text) non-external _conv4FFFF_AD_bias
00007ff80c2925f0 (__TEXT,__text) non-external _conv4FFFF_A_accum
00007ff80c293b70 (__TEXT,__text) non-external _conv4FFFF_A_accum_noAlpha
00007ff80c291a40 (__TEXT,__text) non-external _conv4FFFF_A_bias
00007ff80c290c30 (__TEXT,__text) non-external _conv4FFFF_B
00007ff80c2909c0 (__TEXT,__text) non-external _conv4FFFF_BC
00007ff80c290830 (__TEXT,__text) non-external _conv4FFFF_BCD
00007ff80c293820 (__TEXT,__text) non-external _conv4FFFF_BCD_accum
00007ff80c294ed0 (__TEXT,__text) non-external _conv4FFFF_BCD_accum_noAlpha
00007ff80c291c00 (__TEXT,__text) non-external _conv4FFFF_BCD_bias
00007ff80c292d50 (__TEXT,__text) non-external _conv4FFFF_BC_accum
00007ff80c2942b0 (__TEXT,__text) non-external _conv4FFFF_BC_accum_noAlpha
00007ff80c291d70 (__TEXT,__text) non-external _conv4FFFF_BC_bias
00007ff80c290af0 (__TEXT,__text) non-external _conv4FFFF_BD
00007ff80c2932e0 (__TEXT,__text) non-external _conv4FFFF_BD_accum
00007ff80c294870 (__TEXT,__text) non-external _conv4FFFF_BD_accum_noAlpha
00007ff80c291ea0 (__TEXT,__text) non-external _conv4FFFF_BD_bias
00007ff80c292770 (__TEXT,__text) non-external _conv4FFFF_B_accum
00007ff80c293cf0 (__TEXT,__text) non-external _conv4FFFF_B_accum_noAlpha
00007ff80c291fc0 (__TEXT,__text) non-external _conv4FFFF_B_bias
00007ff80c290e60 (__TEXT,__text) non-external _conv4FFFF_C
00007ff80c290d20 (__TEXT,__text) non-external _conv4FFFF_CD
00007ff80c293580 (__TEXT,__text) non-external _conv4FFFF_CD_accum
00007ff80c294ba0 (__TEXT,__text) non-external _conv4FFFF_CD_accum_noAlpha
00007ff80c292160 (__TEXT,__text) non-external _conv4FFFF_CD_bias
00007ff80c292a60 (__TEXT,__text) non-external _conv4FFFF_C_accum
00007ff80c293f80 (__TEXT,__text) non-external _conv4FFFF_C_accum_noAlpha
00007ff80c292290 (__TEXT,__text) non-external _conv4FFFF_C_bias
