000000018bd13ef4 (__TEXT,__text) non-external _Annihilate
000000018bd1e8f8 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
000000018bd2d91c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
000000018bd2c688 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
000000018bd2d994 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
000000018bd2ad7c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
000000018bd2d958 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
000000018bd2c578 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
000000018bd2d99c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
000000018bd2ac24 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
000000018bd2783c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
000000018bd2d888 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
000000018bd207c8 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
000000018bd2d8c4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
000000018bd2d900 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
000000018bd207a8 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
000000018bdae340 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
000000018bd2ac90 (__TEXT,__text) non-external _lzbitmap_init_encode_state
000000018bdadb40 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
000000018bd2d9b8 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
000000018bdaf340 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
000000018bdad340 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
000000018bd51b9c (__TEXT,__text) non-external _lzfseBackendMatch
000000018bd03760 (__TEXT,__text) non-external (was a private external) _lzfseDecode
000000018bd0708c (__TEXT,__text) non-external _lzfseDecodeV1
000000018bd518a0 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
000000018bd51bfc (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
000000018bd51700 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
000000018bd51758 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
000000018bd51fb4 (__TEXT,__text) non-external _lzfseEncodeMatches
000000018bd51728 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
000000018bd51820 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
000000018bd51cac (__TEXT,__text) non-external _lzfsePushMatch
000000018bd0348c (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
000000018bd033b4 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
000000018bd27830 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
000000018bd4261c (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
000000018bd42580 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
000000018bd4255c (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
000000018bd04b08 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
000000018bd23bd0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
000000018bd23998 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
000000018bd23bc8 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
000000018bd21730 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
000000018bd1e650 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
000000018bd247c0 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001dd8b2b90 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
000000018bd047e4 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
000000018bd3488c (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
000000018bd3484c (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
000000018bd743b8 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
000000018bd743d8 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
000000018bd04700 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
000000018bd21cd8 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
000000018bd21cd4 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
000000018bd21ca8 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
000000018bd21c44 (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
000000018bd03388 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
000000018bd03468 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
000000018bd2c4c4 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
000000018bd2c4bc (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
000000018bd2c528 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
000000018bd2c520 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
000000018bd03350 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
000000018bd53b28 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
000000018bdb23f8 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
000000018bd031f8 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
000000018bd0329c (__TEXT,__text) non-external (was a private external) _lzma_stream_process
000000018bd042c4 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001dd8b2390 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
000000018bd2cc04 (__TEXT,__text) non-external (was a private external) _lzvnEncode
000000018bd2cba4 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
000000018bd14b7c (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
000000018bd14ad8 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
000000018bd14acc (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
000000018bd18884 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
000000018bd187ac (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
000000018bd18788 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
000000018bd04bc0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
000000018bd04bac (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
000000018bd2d628 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
000000018bd2d670 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
000000018bd2d614 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
000000018bd2c41c (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
000000018bd2c4b8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
000000018bd2c4b4 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
000000018bd2c488 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
000000018bd2c44c (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
000000018bd2c3cc (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
000000018bd2c3f8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
000000018bd33f40 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
000000018bd33f34 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
000000018bd4c61c (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
000000018bd0e710 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
000000018bd0e130 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
000000018bd0e308 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
000000018bd0e41c (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
000000018bd27f0c (__TEXT,__text) non-external (was a private external) _parse_size
000000018bda87a4 (__TEXT,__const) non-external _position_slot_base_position
000000018bda872c (__TEXT,__const) non-external _position_slot_extra_bits
000000018bd024d8 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018bd4dd40 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
000000018bd063a4 (__TEXT,__text) non-external _readHuffmanTable
000000018bd27e3c (__TEXT,__text) non-external (was a private external) _read_expected
000000018bcff830 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
000000018bd025e8 (__TEXT,__text) non-external _scan_tree
000000018bd026e0 (__TEXT,__text) non-external _send_tree
                 (undefined) external _stat (from libSystem)
00000001d93d0460 (__DATA,__data) non-external _static_bl_desc
00000001d93d0440 (__DATA,__data) non-external _static_d_desc
000000018bdb0ac8 (__TEXT,__const) non-external _static_dtree
00000001d93d0420 (__DATA,__data) non-external _static_l_desc
000000018bdb0648 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001d93d0400 (__DATA,__data) non-external (was a private external) _tc_quant16
000000018bd147dc (__TEXT,__text) non-external (was a private external) _thread_pool_create
000000018bd14a08 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
000000018bd1490c (__TEXT,__text) non-external _thread_pool_entry
000000018bd1462c (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
000000018bd14734 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
                 (undefined) external _write (from libSystem)
000000018bd27ea4 (__TEXT,__text) non-external (was a private external) _write_expected
000000018bd42a80 (__TEXT,__text) external _yzip_codec_create
000000018bd42abc (__TEXT,__text) external _yzip_codec_destroy
000000018bd42b00 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
000000018bd24b94 (__TEXT,__text) external _yzip_image_create
000000018bd24d18 (__TEXT,__text) external _yzip_image_create_with_payload
000000018bd2508c (__TEXT,__text) external _yzip_image_decode
000000018bd24e64 (__TEXT,__text) external _yzip_image_destroy
000000018bd24e68 (__TEXT,__text) external _yzip_image_encode
000000018bd251a8 (__TEXT,__text) external _yzip_image_get_descriptor
000000018bd25260 (__TEXT,__text) external _yzip_image_get_max_payload_size
000000018bd25214 (__TEXT,__text) external _yzip_image_get_plane_descriptor
000000018bd252e0 (__TEXT,__text) external _yzip_image_set_data
000000018bd25424 (__TEXT,__text) external _yzip_image_set_identifier
000000018bd2539c (__TEXT,__text) external _yzip_image_set_plane_data
000000018bd1fc3c (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
000000018bd1fb28 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
000000018bd1f924 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
000000018bd20724 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
000000018bd2010c (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
000000018bd20648 (__TEXT,__text) non-external _yzip_jobs_process
000000018bd1f8b4 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
000000018bd4d834 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
000000018bd4c918 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
000000018bd4d024 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
000000018bd07cf8 (__TEXT,__text) non-external (was a private external) _zError
00000001d493d250 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
000000018bcffb4c (__TEXT,__text) non-external (was a private external) _zcalloc
000000018bd03144 (__TEXT,__text) non-external (was a private external) _zcfree
000000018bd07268 (__TEXT,__text) external _zero_coder_decode
000000018bd07370 (__TEXT,__text) external _zero_coder_encode
000000018bd074ac (__TEXT,__text) non-external _zero_coder_init_luts
00000001d93d0900 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001d93d0a00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001d93d1200 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001d93d0800 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
000000018bd07cf0 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
000000018bd05120 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
000000018bd059f4 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
000000018bda85dc (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
000000018bda85a0 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
000000018bd07ce4 (__TEXT,__text) non-external (was a private external) _zlibVersion
000000018bd33b5c (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
000000018bd33b50 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
000000018bd14dd0 (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
000000018bd14dc4 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
000000018bd2d884 (__TEXT,__text) non-external (was a private external) _zlib_free
000000018bd2d858 (__TEXT,__text) non-external (was a private external) _zlib_malloc
000000018bd031c8 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
000000018bd33f0c (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
000000018bd33f04 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
000000018bd33f18 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
000000018bd33efc (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
000000018bcff780 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
000000018bcfff6c (__TEXT,__text) non-external (was a private external) _zlib_stream_process
000000018bd53b00 (__TEXT,__text) non-external vec_table
