000000019f79f858 (__TEXT,__text) non-external +[Calculate _lock]
000000019f78fcc8 (__TEXT,__text) non-external -[UnitRanks ranks]
000000019f78fcbc (__TEXT,__text) non-external -[UnitRanks setRanks:]
000000019f78fc40 (__TEXT,__text) non-external -[UnitRanks setUnits:]
000000019f78fc54 (__TEXT,__text) non-external -[UnitRanks setUnitsInfo:]
000000019f78fec4 (__TEXT,__text) non-external -[UnitRanks sort]
000000019f78fc60 (__TEXT,__text) non-external -[UnitRanks unitsInfo]
000000019f78fc4c (__TEXT,__text) non-external -[UnitRanks units]
000000019f7907e8 (__TEXT,__text) non-external -[UnitTypeInfo .cxx_destruct]
000000019f790870 (__TEXT,__text) non-external -[UnitTypeInfo baseUnit]
000000019f790900 (__TEXT,__text) non-external -[UnitTypeInfo decompositionCoefficient]
000000019f7908d4 (__TEXT,__text) non-external -[UnitTypeInfo decomposition]
000000019f79084c (__TEXT,__text) non-external -[UnitTypeInfo isCurrency]
000000019f790914 (__TEXT,__text) non-external -[UnitTypeInfo isDecomposable]
000000019f79085c (__TEXT,__text) non-external -[UnitTypeInfo isTemperature]
000000019f79083c (__TEXT,__text) non-external -[UnitTypeInfo isVolume]
000000019f790928 (__TEXT,__text) non-external -[UnitTypeInfo name]
000000019f790864 (__TEXT,__text) non-external -[UnitTypeInfo setBaseUnit:]
000000019f7908b0 (__TEXT,__text) non-external -[UnitTypeInfo setDecomposition:]
000000019f7908f8 (__TEXT,__text) non-external -[UnitTypeInfo setDecompositionCoefficient:]
000000019f790844 (__TEXT,__text) non-external -[UnitTypeInfo setIsCurrency:]
000000019f79090c (__TEXT,__text) non-external -[UnitTypeInfo setIsDecomposable:]
000000019f790854 (__TEXT,__text) non-external -[UnitTypeInfo setIsTemperature:]
000000019f790834 (__TEXT,__text) non-external -[UnitTypeInfo setIsVolume:]
000000019f79091c (__TEXT,__text) non-external -[UnitTypeInfo setName:]
000000019f790930 (__TEXT,__text) non-external -[UnitTypeInfo setUnitType:]
000000019f79089c (__TEXT,__text) non-external -[UnitTypeInfo setUnits:]
000000019f790938 (__TEXT,__text) non-external -[UnitTypeInfo unitType]
000000019f7908a8 (__TEXT,__text) non-external -[UnitTypeInfo units]
000000019f790940 (__TEXT,__text) non-external -[UnitsInfo .cxx_destruct]
000000019f790a3c (__TEXT,__text) non-external -[UnitsInfo angleInfo]
000000019f790a04 (__TEXT,__text) non-external -[UnitsInfo degreesInfo]
000000019f790ad8 (__TEXT,__text) non-external -[UnitsInfo infoForAngle]
000000019f790ad4 (__TEXT,__text) non-external -[UnitsInfo infoForDegrees]
000000019f790ad0 (__TEXT,__text) non-external -[UnitsInfo infoForRadians]
000000019f790b64 (__TEXT,__text) non-external -[UnitsInfo infoForUnitID:]
000000019f790ae4 (__TEXT,__text) non-external -[UnitsInfo infoForUnitName:]
000000019f790c8c (__TEXT,__text) non-external -[UnitsInfo infoForUnitType:]
000000019f790c0c (__TEXT,__text) non-external -[UnitsInfo infoForUnitTypeName:]
000000019f790d38 (__TEXT,__text) non-external -[UnitsInfo initWithDictionary:]
000000019f790adc (__TEXT,__text) non-external -[UnitsInfo objectAtIndexedSubscript:]
000000019f790ae0 (__TEXT,__text) non-external -[UnitsInfo objectForKeyedSubscript:]
000000019f791eac (__TEXT,__text) non-external -[UnitsInfo populateSubunitIDs:forUnit:visited:]
000000019f7909cc (__TEXT,__text) non-external -[UnitsInfo radiansInfo]
000000019f790a30 (__TEXT,__text) non-external -[UnitsInfo setAngleInfo:]
000000019f7909f8 (__TEXT,__text) non-external -[UnitsInfo setDegreesInfo:]
000000019f7909c0 (__TEXT,__text) non-external -[UnitsInfo setRadiansInfo:]
000000019f790a90 (__TEXT,__text) non-external -[UnitsInfo setUnitIDToInfo:]
000000019f790aa4 (__TEXT,__text) non-external -[UnitsInfo setUnitNameToInfo:]
000000019f790a7c (__TEXT,__text) non-external -[UnitsInfo setUnitTypeNameToInfo:]
000000019f790a68 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeToInfo:]
000000019f790ac0 (__TEXT,__text) non-external -[UnitsInfo unitCount]
000000019f790a9c (__TEXT,__text) non-external -[UnitsInfo unitIDToInfo]
000000019f790ab0 (__TEXT,__text) non-external -[UnitsInfo unitNameToInfo]
000000019f790ac8 (__TEXT,__text) non-external -[UnitsInfo unitNames]
000000019f790ab8 (__TEXT,__text) non-external -[UnitsInfo unitTypeCount]
000000019f790a88 (__TEXT,__text) non-external -[UnitsInfo unitTypeNameToInfo]
000000019f790a74 (__TEXT,__text) non-external -[UnitsInfo unitTypeToInfo]
000000019f908b20 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
000000019f908b4c (__TEXT,__gcc_except_tab) non-external GCC_except_table30
000000019f908b5c (__TEXT,__gcc_except_tab) non-external GCC_except_table33
000000019f908ba0 (__TEXT,__gcc_except_tab) non-external GCC_except_table411
000000019f9092b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table420
000000019f908b6c (__TEXT,__gcc_except_tab) non-external GCC_except_table43
000000019f9092d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table591
000000019f9093e4 (__TEXT,__gcc_except_tab) non-external GCC_except_table606
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesSetAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringTokenizerAdvanceToNextToken (from CoreFoundation)
                 (undefined) external _CFStringTokenizerCreate (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGetCurrentTokenRange (from CoreFoundation)
000000019f79fd18 (__TEXT,__text) external _CalculateExpression
000000019f79fa34 (__TEXT,__text) external _CalculateExpressionError
000000019f79fd20 (__TEXT,__text) external _CalculateInternationalExpression
00000001ddcacc70 (__DATA_CONST,__const) external _CalculateKeyAllowConversions
00000001ddcacc60 (__DATA_CONST,__const) external _CalculateKeyAllowPartialExpressions
00000001ddcacc68 (__DATA_CONST,__const) external _CalculateKeyAllowUnits
00000001ddcacc48 (__DATA_CONST,__const) external _CalculateKeyAutoScientificNotation
00000001ddcacc58 (__DATA_CONST,__const) external _CalculateKeyConvertTrivial
00000001ddcacc88 (__DATA_CONST,__const) external _CalculateKeyEngine
00000001ddcacc98 (__DATA_CONST,__const) external _CalculateKeyExpectedUnitTypes
00000001ddcacc50 (__DATA_CONST,__const) external _CalculateKeyFlexibleFractionDigits
00000001ddcacc90 (__DATA_CONST,__const) external _CalculateKeyIgnoreProbableSearches
00000001ddcacc38 (__DATA_CONST,__const) external _CalculateKeyLocales
00000001ddcacca0 (__DATA_CONST,__const) external _CalculateKeyLocalizeUnit
00000001ddcacc78 (__DATA_CONST,__const) external _CalculateKeyMaximumConversions
00000001ddcacc40 (__DATA_CONST,__const) external _CalculateKeyNumberFormatter
00000001ddcacc80 (__DATA_CONST,__const) external _CalculateKeyPreferMixedUnits
000000019f78f844 (__TEXT,__text) non-external _CalculateLogForCategory
00000001d6a03c88 (__DATA,__bss) non-external _CalculateLogForCategory.logObjects.0
00000001d6a03c90 (__DATA,__bss) non-external _CalculateLogForCategory.loggingToken
000000019f79fa28 (__TEXT,__text) external _CalculatePerformExpression
000000019f77e95c (__TEXT,__text) non-external _CountLeadingZeros
00000001d6a03c30 (__DATA,__bss) non-external _DecimalPi.initialized
00000001d6a03c20 (__DATA,__bss) non-external _DecimalPi.pi.0
000000019f786c68 (__TEXT,__text) non-external _DecimalToDegrees
00000001d6a03c70 (__DATA,__bss) non-external _DecimalToDegrees.initialized
00000001d6a03c60 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.0
00000001d6a03c50 (__DATA,__bss) non-external _DecimalToRadians.initialized
00000001d6a03c40 (__DATA,__bss) non-external _DecimalToRadians.to_radians.0
00000001d6a03bf0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.initialized
00000001d6a03be0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.0
00000001d6a03c10 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.initialized
00000001d6a03c00 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.0
00000001d6a03bb0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.initialized
00000001d6a03ba0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.0
00000001d6a03bd0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.initialized
00000001d6a03bc0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.0
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSDecimalCompare (from Foundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleGroupingSeparator (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystem (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemMetric (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUK (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUS (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnit (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnitCelsius (from CoreFoundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringTransformStripDiacritics (from CoreFoundation)
00000001d7ee7e90 (__AUTH,__objc_data) external _OBJC_CLASS_$_Calculate
00000001d7ee7fa8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateRequest
00000001d7ee7f30 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateResult
00000001d7ee7f08 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateTerm
00000001d7ee8020 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateToken
00000001d7ee8070 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateTokenizer
00000001d7ee7eb8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateUnit
00000001d7ee7c38 (__AUTH,__objc_data) external _OBJC_CLASS_$_Converter
00000001d7ee7c60 (__AUTH,__objc_data) external _OBJC_CLASS_$_CurrencyCache
00000001d7ee8110 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Localize
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCache (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDoubleNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumberHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableURLRequest (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OACredential (from OAuth)
                 (undefined) external _OBJC_CLASS_$_OAURLRequestSigner (from OAuth)
00000001d7ee8098 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Trie
00000001d7ee7e18 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_TrieNode
00000001d7ee7d50 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitInfo
00000001d7ee80e8 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRank
00000001d7ee80c0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRanks
00000001d7ee7dc8 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitTypeInfo
00000001d7ee8160 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitsInfo
                 (undefined) external _OBJC_EHTYPE_id (from libobjc)
00000001d6a03514 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._expression
00000001d6a03510 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._isCanceled
00000001d6a03518 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._options
00000001d6a0351c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._result
00000001d6a03520 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._resultHandler
00000001d6a034bc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._autoScientificNotation
00000001d6a034f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._conversions
00000001d6a034dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._expression
00000001d6a034c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._flexibleFractionDigits
00000001d6a034c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._hasStaleCurrencyData
00000001d6a034f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._inputValueAndUnit
00000001d6a034c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._isTrivial
00000001d6a034e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._locales
00000001d6a034d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._localizeUnit
00000001d6a034e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._numberFormatter
00000001d6a034f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parent
00000001d6a034fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parseTree
00000001d6a03500 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._resultTree
00000001d6a034d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._singleUnitID
00000001d6a034cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._synchronous
00000001d6a034ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._terms
00000001d6a0350c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._typeInfo
00000001d6a034d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitExponent
00000001d6a03504 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitFormat
00000001d6a034e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitType
00000001d6a03508 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitsInfo
00000001d6a034b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._decimalValue
00000001d6a034b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._result
00000001d6a034b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._units
00000001d6a034ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._value
00000001d6a03530 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._range
00000001d6a0352c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._ranks
00000001d6a03528 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._text
00000001d6a03524 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._tokenType
00000001d6a03534 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._index
00000001d6a03554 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._lastToken
00000001d6a0353c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._locales
00000001d6a0354c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekIndex
00000001d6a03550 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekTokens
00000001d6a03538 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._string
00000001d6a03548 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._stringLength
00000001d6a03544 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._trie
00000001d6a03540 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._unitsInfo
00000001d6a03558 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndices
00000001d6a0355c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndicesIndex
00000001d6a03498 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._exponent
00000001d6a0349c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._name
00000001d6a034a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._nextSmallest
00000001d6a034a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitInfo
00000001d6a034a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitType
00000001d6a0358c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._additionalResults
00000001d6a03590 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._conversionType
00000001d6a03588 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._currencyUpdateTimeOut
00000001d6a03560 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputString
00000001d6a03564 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputUnit
00000001d6a03570 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputValue
00000001d6a03584 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._isCurrency
00000001d6a03574 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedInputValueAndUnit
00000001d6a03580 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputUnit
00000001d6a0357c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValue
00000001d6a03578 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValueAndUnit
00000001d6a03568 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputUnit
00000001d6a0356c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputValue
00000001d6a03370 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currencyData
00000001d6a03374 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentCurrency
00000001d6a03378 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentRate
00000001d6a0337c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentString
00000001d6a03364 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._lastRefreshDate
00000001d6a03388 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lastRefreshTimeInternal
00000001d6a0338c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lock
00000001d6a03380 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._mutableCurrencyCache
00000001d6a03368 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._refreshInterval
00000001d6a03384 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._serializer
00000001d6a0336c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._timeout
00000001d6a03360 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._uuid
00000001d6a0346c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._autocompress
00000001d6a03474 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterCount
00000001d6a03478 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterSize
00000001d6a03488 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characters
00000001d6a03470 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._compressed
00000001d6a03494 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._firstByteCache
00000001d6a0347c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeCount
00000001d6a03480 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeSize
00000001d6a0348c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodes
00000001d6a03490 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._objects
00000001d6a03484 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._root
00000001d6a03460 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._node
00000001d6a03464 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._offset
00000001d6a03468 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._trie
00000001d6a03400 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._allSubunitIDs
00000001d6a0340c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseDenominator
00000001d6a03408 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseNumerator
00000001d6a033f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._bestEquivalent
00000001d6a033d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._doNotSuggest
00000001d6a033dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._formatNextSmallest
00000001d6a033c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._impliesDivision
00000001d6a033c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isBaseUnit
00000001d6a033d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isCelsius
00000001d6a033c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isDisplayName
00000001d6a033cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isFahrenheit
00000001d6a033bc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isInverted
00000001d6a033d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isKelvin
00000001d6a03404 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._localizationToCompactName
00000001d6a033f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._measurementSystem
00000001d6a033e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._name
00000001d6a033f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._nextSmallest
00000001d6a033fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._subunitIDs
00000001d6a033ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._typeInfo
00000001d6a033e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitID
00000001d6a033e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitType
00000001d6a0339c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._context
00000001d6a03398 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._locale
00000001d6a03394 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._rank
00000001d6a03390 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._unitID
00000001d6a033ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsCurrency
00000001d6a033a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsFrom
00000001d6a033a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsTo
00000001d6a033a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsUnit
00000001d6a033b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._ranks
00000001d6a033b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._units
00000001d6a033b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._unitsInfo
00000001d6a0342c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._baseUnit
00000001d6a03434 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decomposition
00000001d6a03430 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decompositionCoefficient
00000001d6a03418 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isCurrency
00000001d6a03410 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isDecomposable
00000001d6a03414 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isTemperature
00000001d6a0341c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isVolume
00000001d6a03424 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._name
00000001d6a03420 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._unitType
00000001d6a03428 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._units
00000001d6a03454 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._angleInfo
00000001d6a03458 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._degreesInfo
00000001d6a0345c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._radiansInfo
00000001d6a03438 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitCount
