00007ffd03f7af9c (__TEXT,__text) non-external +[ODCAction action]
00007ffd42ac5d58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odSession
00007ffd42ac5d38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffd42ac5d08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffd42ac5d10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffd42ac5d20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffd42ac5ce8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffd42ac5d60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffd42ac5d78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffd42ac5d68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffd42ac5ca8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffd42ac5d90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffd42ac5cf0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffd42ac5d30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffd42ac5d40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffd42ac5d48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffd42ac5ca0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffd42ac5c90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffd42ac5c80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffd42ac5c50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffd42ac5c88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffd42ac5c28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffd42ac5c70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffd42ac5c40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffd42ac5c48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffd42ac5c68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffd42ac5c38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffd42ac5c60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffd42ac5c20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffd42ac5c78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffd42ac5c58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffd42ac5c30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffd42ac5de0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffd42ac5dc8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffd42ac5de8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffd42ac5dc0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffd42ac5df0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffd42ac5e00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffd42ac5dd8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffd42ac5df8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffd42ac5dd0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffd42ac5e58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffd42ac5db0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffd42ac5da8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffd42ac5db8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffd42ac5d98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffd42ac5da0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffd42ac5e40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffd42ac5e48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffd42ac5e50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffd42ac5e28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffd42ac5e38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffd42ac5e30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffd42ac5e18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffd42ac5e10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffd42ac5e20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffd42ac5e08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffd42ac5ed8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffd42ac5e88 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffd42ac5f78 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffd42ac6068 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffd42ac5f28 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffd42ac6018 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffd42ac5fc8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffd40435dd8 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffd40435dd0 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffd40435de8 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffd40435de0 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffd40435cc8 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffd40435cd0 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffd40435cd8 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffd40435ce0 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffd40435ce8 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffd40435cf0 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffd40435db8 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffd40435d80 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffd40435d88 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffd40435d10 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffd40435d18 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffd40435d20 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffd40435d28 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffd40435d30 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffd40435d38 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffd40435d40 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffd40435d48 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffd40435da8 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffd40435cc0 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffd40435d68 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffd40435d70 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffd40435d78 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffd40435da0 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffd40435cf8 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffd40435d00 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffd40435d08 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffd40435d98 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffd40435d90 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffd40435dc8 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffd40435dc0 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffd40435db0 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffd40435d50 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffd40435d58 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffd40435d60 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffd03f875d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffd03f87648 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffd03f87660 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffd03f87678 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer
00007ffd03f87698 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffd03f87ce8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction
00007ffd03f87e98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffd03f87fb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffd03f88030 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffd03f880f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffd03f88168 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffd40438390 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffd40438020 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffd40438c20 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffd40439190 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffd40438a90 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffd40438fd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffd40438e70 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffd40438798 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffd40438208 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffd40438d48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffd404391b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffd40438b38 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffd40439098 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffd40438ef8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffd40438a00 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffd40438300 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffd40438de0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffd404391d0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffd40438b90 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffd40439100 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffd40438f40 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffd40438348 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffd40437fd8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffd40438bd8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffd40439148 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffd40438a48 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffd40438f88 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffd40438e28 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffd03f7afea (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffd03f82f10 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffd03f789f5 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffd03f78be8 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffd03f7be49 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffd03f789cb (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffd03f789e2 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffd03f88240 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffd03f88200 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffd03f87108 (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffd03f870c6 (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffd40435df0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffd40435e30 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffd40435c90 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffd40435c60 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffd40436058 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffd40436098 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffd40435e10 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffd40436078 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffd404360b8 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffd03f78bf6 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffd03f78b45 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffd03f78c0d (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffd03f78ba1 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffd03f871e7 (__TEXT,__text) non-external ___fixup_schema2
00007ffd03f871fd (__TEXT,__text) non-external ___fixup_schema3
00007ffd03f8722b (__TEXT,__text) non-external ___fixup_schema4
00007ffd03f872e4 (__TEXT,__text) non-external ___fixup_schema5
00007ffd03f86f9d (__TEXT,__text) non-external ___get_keyinfo
00007ffd42ac60d0 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffd03f868f9 (__TEXT,__text) non-external __schema_construct
00007ffd03f873a5 (__TEXT,__text) non-external __schema_construct.cold.1
00007ffd03f86aeb (__TEXT,__text) non-external __schema_deconstruct
00007ffd03f873a5 (__TEXT,__text) non-external __schema_deconstruct.cold.1
00007ffd03f86ff8 (__TEXT,__text) non-external __schema_validate_type
00007ffd42ac60b0 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffd03f873bd (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffd03f873d5 (__TEXT,__text) non-external __schema_validate_type.cold.2
00007ffd42ac60c8 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffd42ac60b8 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffd42ac60c0 (__DATA,__bss) non-external __schema_validate_type.num
00007ffd42ac60a0 (__DATA,__bss) non-external __schema_validate_type.once
00007ffd42ac60a8 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffd42ac6090 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffd40435fe8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffd40435ff0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffd40435ff8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffd40436000 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffd40436008 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffd40435ea0 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffd40435ea8 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffd40435eb0 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffd40435eb8 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffd40435ee0 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffd40435ec0 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffd40435ec8 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffd40435ed8 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffd40435ed0 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffd40435ee8 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffd40435ef0 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffd40435ef8 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffd40435f00 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffd40435f08 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffd40435f18 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffd40435f10 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffd40435f20 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffd40435f28 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffd40435f30 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffd40435f90 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffd40435f88 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffd40435fa8 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffd40435fb0 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffd40435fa0 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffd40435f98 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffd40435f80 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffd40435f38 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffd40435f40 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffd40435f50 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffd40435f58 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffd40435f60 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffd40435f68 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffd40435f48 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffd40435f70 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffd40435f78 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffd40436010 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffd40436020 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffd40436028 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffd40436030 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffd40436038 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffd40436040 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffd40436048 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffd40436018 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffd40436050 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffd03f882a0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffd40435fd0 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffd40435fe0 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffd40435fd8 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffd40435fc8 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffd40435fc0 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffd40435fb8 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffd03f86f3e (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffd42ac6098 (__DATA,__bss) non-external _request_schema
00007ffd03f86a27 (__TEXT,__text) external _schema_construct_request
00007ffd03f868df (__TEXT,__text) external _schema_construct_requestv
00007ffd03f86e7a (__TEXT,__text) external _schema_construct_result
