00000001d5486d78 (__DATA,__data) non-external _C
0000000180339664 (__TEXT,__text) external ___stack_chk_fail
00000001d65f31e8 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
00000001d5486ff8 (__DATA,__data) external ___stderrp
00000001d5486fe8 (__DATA,__data) external ___stdinp
00000001803470e0 (__TEXT,__text) non-external (was a private external) ___stdio_init
00000001d5488a98 (__DATA,__bss) non-external ___stdout_evp
00000001d5486ff0 (__DATA,__data) external ___stdoutp
0000000180346f90 (__TEXT,__text) external ___stpcpy_chk
000000018034706c (__TEXT,__text) external ___stpncpy_chk
00000001802d80a0 (__TEXT,__text) external ___strcat_chk
000000018031dc48 (__TEXT,__text) external ___strcp_D2A
00000001802df3ec (__TEXT,__text) external ___strcpy_chk
00000001d65f1988 (__DATA_DIRTY,__bss) non-external ___stream_max
00000001d5488c80 (__DATA,__bss) non-external ___strerror_ebuf
00000001802db818 (__TEXT,__text) external ___strlcat_chk
00000001802d78a8 (__TEXT,__text) external ___strlcpy_chk
00000001802d8b44 (__TEXT,__text) external ___strncat_chk
00000001802de308 (__TEXT,__text) external ___strncpy_chk
00000001802fe528 (__TEXT,__text) external ___sum_D2A
0000000180330d2c (__TEXT,__text) external ___svfscanf
00000001802dba48 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
000000018034ba90 (__TEXT,__const) non-external ___svfscanf_l.basefix
0000000180302278 (__TEXT,__text) external ___swbuf
00000001802e5e38 (__TEXT,__text) external ___swhatbuf
000000018030174c (__TEXT,__text) external ___swrite
00000001802f1ea0 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00000001d54870f0 (__DATA,__data) non-external ___systemfn_mutex
00000001d54871e8 (__DATA,__data) non-external ___systemfn_mutex
000000018034b250 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
000000018030ac98 (__TEXT,__text) non-external ___thread_stack_async_pcs
000000018030aa8c (__TEXT,__text) non-external ___thread_stack_pcs
00000001802f4198 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00000001d5488c78 (__DATA,__bss) non-external ___time_load_locale.cache
000000018034b228 (__TEXT,__const) external ___tinytens_D2A
00000001802d8c70 (__TEXT,__text) external ___tolower
0000000180327494 (__TEXT,__text) external ___tolower_l
00000001802d8cac (__TEXT,__text) external ___toupper
0000000180327474 (__TEXT,__text) external ___toupper_l
00000001802fe670 (__TEXT,__text) external ___trailz_D2A
00000001802f6f9c (__TEXT,__text) external ___ulp_D2A
00000001802d7154 (__TEXT,__text) non-external ___ultoa
0000000180333ae8 (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
00000001802f6250 (__TEXT,__text) external ___ungetc
000000018033019c (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00000001802d7ca8 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
000000018034bf21 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180342214 (__TEXT,__text) non-external (was a private external) ___utmpxname
00000001d5488d40 (__DATA,__bss) non-external ___utx__
000000018034af28 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00000001802d3c0c (__TEXT,__text) non-external (was a private external) ___v2printf
00000001802d3f48 (__TEXT,__text) non-external (was a private external) ___vfprintf
00000001803486f4 (__TEXT,__text) non-external ___vfprintf.cold.1
000000018034ba4f (__TEXT,__const) non-external ___vfprintf.xdigs_lower
000000018034ba5f (__TEXT,__const) non-external ___vfprintf.xdigs_upper
0000000180330f80 (__TEXT,__text) non-external (was a private external) ___vfwprintf
000000018034bab4 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
000000018034bac4 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180334090 (__TEXT,__text) non-external (was a private external) ___vfwscanf
000000018034bbb0 (__TEXT,__const) non-external ___vfwscanf.basefix
00000001802e38fc (__TEXT,__text) external ___vsnprintf_chk
0000000180346f20 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180327f94 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
0000000180327d10 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180327388 (__TEXT,__text) external ___wcwidth
00000001803274b4 (__TEXT,__text) external ___wcwidth_l
00000001802f2c00 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00000001802f02f0 (__TEXT,__text) non-external (was a private external) ___xlocale_init
000000018030eaa0 (__TEXT,__text) non-external ___xlocale_release
00000001802ff92c (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180347674 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00000001d5486d80 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180341008 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00000001802e34e8 (__TEXT,__text) non-external (was a private external) ___xvprintf
000000018033bfd4 (__TEXT,__text) external __allocenvstate
000000018031dcb0 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00000001803249cc (__TEXT,__text) non-external (was a private external) __ascii_init
0000000180324a30 (__TEXT,__text) non-external __ascii_mbrtowc
0000000180324a8c (__TEXT,__text) non-external __ascii_mbsinit
0000000180324a94 (__TEXT,__text) non-external __ascii_mbsnrtowcs
0000000180324b58 (__TEXT,__text) non-external __ascii_wcrtomb
0000000180324b94 (__TEXT,__text) non-external __ascii_wcsnrtombs
000000018030a248 (__TEXT,__text) external __atexit_receipt
00000001d54880a0 (__DATA,__bss) non-external __atexit_receipt_enabled
00000001802e4ab8 (__TEXT,__text) non-external __backtrace_snprintf
0000000180304a64 (__TEXT,__text) non-external __boottime_fallback_usec
00000001d3301788 (__DATA_CONST,__const) external __c_locale
00000001802f90a0 (__TEXT,__text) external __cleanup
000000018030c190 (__TEXT,__text) external __closeutx
000000018033bfd8 (__TEXT,__text) external __copyenv
00000001d6a8d3c8 (__AUTH,__data) external __cthread_init_routine
000000018033c060 (__TEXT,__text) external __deallocenvstate
00000001802ff534 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00000001d5488d68 (__DATA,__common) non-external (was a private external) __e_err_exit
00000001d5488d60 (__DATA,__common) non-external (was a private external) __e_err_file
000000018031df20 (__TEXT,__text) non-external (was a private external) __e_visprintf
00000001803416c4 (__TEXT,__text) external __endutxent
0000000180349000 (__TEXT,__text) non-external __endutxent.cold.1
0000000180349038 (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
0000000180304ce4 (__TEXT,__text) non-external __ffpp_strtoencf32_l
000000018034712c (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
0000000180347158 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
000000018034a570 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
0000000180304fb0 (__TEXT,__text) non-external __ffpp_strtoencf64_l
0000000180347184 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00000001803471b0 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00000001803471dc (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
000000018034a910 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
00000001803213b0 (__TEXT,__text) non-external (was a private external) __filldir
0000000180323618 (__TEXT,__text) non-external (was a private external) __fixtelldir
000000018032c618 (__TEXT,__text) external __flockfile_debug_stub
00000001803013d0 (__TEXT,__text) external __fseeko
00000001802ff74c (__TEXT,__text) external __ftello
00000001802f90b4 (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
000000018033980c (__TEXT,__text) external __getenvp
00000001803419e4 (__TEXT,__text) external __getutxent
0000000180349070 (__TEXT,__text) non-external __getutxent.cold.1
00000001803490a8 (__TEXT,__text) non-external __getutxent.cold.2
0000000180341a94 (__TEXT,__text) external __getutxid
00000001803490e0 (__TEXT,__text) non-external __getutxid.cold.1
0000000180349118 (__TEXT,__text) non-external __getutxid.cold.2
0000000180341c98 (__TEXT,__text) external __getutxline
0000000180349150 (__TEXT,__text) non-external __getutxline.cold.1
0000000180349188 (__TEXT,__text) non-external __getutxline.cold.2
00000001802e2c3c (__TEXT,__text) external __inet_aton_check
00000001802f0278 (__TEXT,__text) external __init_clock_port
0000000180336b9c (__TEXT,__text) external __int_to_time
00000001802de43c (__TEXT,__text) non-external __isort
000000018033a8e0 (__TEXT,__text) non-external __isort
000000018033bf28 (__TEXT,__text) non-external __legacy_crt1_environ
00000001d65f1950 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00000001d54886a8 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00000001d65f1948 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00000001d54886a0 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00000001d65f1940 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00000001d5488698 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
0000000180311b34 (__TEXT,__text) external __libc_fork_child
00000001802f01c4 (__TEXT,__text) non-external (was a private external) __libc_fork_init
0000000180311b30 (__TEXT,__text) external __libc_fork_parent
0000000180311b2c (__TEXT,__text) external __libc_fork_prepare
00000001802f0120 (__TEXT,__text) external __libc_initializer
0000000180326b24 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
0000000180326afc (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180326ad4 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
0000000180336b94 (__TEXT,__text) external __long_to_time
0000000180304898 (__TEXT,__text) non-external __mach_boottime_usec
000000018030a25c (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00000001d54880a4 (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00000001d65f1938 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
00000001802fe330 (__TEXT,__text) non-external __mkdtemp_action
0000000180303aa4 (__TEXT,__text) non-external __mkfilex_np
00000001802efbac (__TEXT,__text) non-external __mkostemps_action
00000001802dfc54 (__TEXT,__text) non-external __mkpath
00000001802ff204 (__TEXT,__text) external __mkpath_np
000000018032df40 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00000001803485b0 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
000000018032de60 (__TEXT,__text) external __mktemp
00000001802e66c8 (__TEXT,__text) non-external __mktemp_action
00000001803274f8 (__TEXT,__text) non-external (was a private external) __none_init
00000001802fb9f8 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
000000018032755c (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180327564 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00000001802f9064 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00000001803275f8 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00000001d5488850 (__DATA,__bss) non-external __onlyClocaleconv
000000018030c0f4 (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
000000018034771c (__TEXT,__text) external __os_assert_log
00000001803479a4 (__TEXT,__text) external __os_assert_log_ctx
00000001802f5cd4 (__TEXT,__text) external __os_assumes_log
000000018034785c (__TEXT,__text) external __os_assumes_log_ctx
00000001802ddf54 (__TEXT,__text) external __os_avoid_tail_call
00000001803476ac (__TEXT,__text) external __os_crash
00000001d5488d50 (__DATA,__common) external __os_crash_callback
0000000180312acc (__TEXT,__text) external __os_crash_fmt
0000000180347ac4 (__TEXT,__text) non-external __os_crash_fmt.cold.1
0000000180312a58 (__TEXT,__text) external __os_crash_msg
0000000180347534 (__TEXT,__text) external __os_debug_log
000000018030c3c8 (__TEXT,__text) external __os_debug_log_error_offset
00000001802f5f20 (__TEXT,__text) external __os_debug_log_error_str
00000001802f5f34 (__TEXT,__text) non-external __os_debug_log_init
000000018030c46c (__TEXT,__text) non-external __os_debug_log_open_file
000000018030c218 (__TEXT,__text) non-external __os_debug_log_write
000000018030c3d8 (__TEXT,__text) non-external __os_debug_log_write_error
0000000180312c20 (__TEXT,__text) non-external __os_get_build
0000000180312b74 (__TEXT,__text) non-external __os_get_image_uuid
                 (undefined) external __os_log_default (from libsystem_trace)
00000001802f5e30 (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
00000001802d77c8 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00000001802d733c (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00000001802d7730 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001da431f78 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
000000018034df51 (__TEXT,__cstring) non-external __printf_tbl_flags
00000001802f018c (__TEXT,__text) non-external (was a private external) __program_vars_init
000000018033d424 (__TEXT,__text) non-external __psort
000000018033df54 (__TEXT,__text) non-external __psort
000000018033ea04 (__TEXT,__text) non-external __psort
0000000180348c14 (__TEXT,__text) non-external __psort.cold.1
0000000180348c64 (__TEXT,__text) non-external __psort.cold.1
0000000180348cb4 (__TEXT,__text) non-external __psort.cold.1
000000018033d3b8 (__TEXT,__text) non-external __psort_parallel
000000018033dee8 (__TEXT,__text) non-external __psort_parallel
000000018033e994 (__TEXT,__text) non-external __psort_parallel
0000000180339e74 (__TEXT,__text) external __putenvp
0000000180341da0 (__TEXT,__text) external __pututxline
00000001803491c0 (__TEXT,__text) non-external __pututxline.cold.1
00000001803491f8 (__TEXT,__text) non-external __pututxline.cold.2
000000018030ad78 (__TEXT,__text) non-external __pwuid_r
00000001802fe97c (__TEXT,__text) non-external __qsort
0000000180339fa4 (__TEXT,__text) non-external __qsort
00000001d5486db0 (__DATA,__data) external __rand48_add
00000001d5486da8 (__DATA,__data) external __rand48_mult
00000001d5486da0 (__DATA,__data) external __rand48_seed
0000000180321b4c (__TEXT,__text) external __readdir_unlocked
00000001802d886c (__TEXT,__text) external __reclaim_telldir
00000001802e584c (__TEXT,__text) non-external __releaselocale
000000018034be54 (__TEXT,__const) non-external (was a private external) __rp_alist
00000001d65f3230 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
000000018032355c (__TEXT,__text) external __seekdir
000000018033c0bc (__TEXT,__text) external __setenvp
000000018034159c (__TEXT,__text) external __setutxent
0000000180348f90 (__TEXT,__text) non-external __setutxent.cold.1
0000000180348fc8 (__TEXT,__text) non-external __setutxent.cold.2
0000000180311cb8 (__TEXT,__text) external __sigaction_nobind
00000001d5488d88 (__DATA,__common) external __sigintr
0000000180322f7c (__TEXT,__text) external __signal_nobind
0000000180304738 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180322df4 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00000001802dd944 (__TEXT,__text) external __sread
00000001802e6014 (__TEXT,__text) external __sseek
00000001802f0a88 (__TEXT,__text) non-external (was a private external) __st_fmt
0000000180310a40 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00000001802dad04 (__TEXT,__text) non-external (was a private external) __st_localsub
00000001802dacf8 (__TEXT,__text) non-external (was a private external) __st_set_timezone
00000001802e86c8 (__TEXT,__text) non-external (was a private external) __st_time1
00000001802d8e34 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00000001803424a0 (__TEXT,__text) non-external __strfmon
00000001802f73b0 (__TEXT,__text) non-external __strptime0
000000018034bca4 (__TEXT,__const) non-external __strptime0.start_of_month
0000000180310284 (__TEXT,__text) external __subsystem_init
00000001802e36c8 (__TEXT,__text) external __swrite
000000018030ac54 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00000001802dfb80 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
0000000180336b7c (__TEXT,__text) external __time32_to_time
0000000180336b88 (__TEXT,__text) external __time64_to_time
0000000180336b98 (__TEXT,__text) external __time_to_int
0000000180336b90 (__TEXT,__text) external __time_to_long
0000000180336b84 (__TEXT,__text) external __time_to_time32
0000000180336b8c (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
000000018033c14c (__TEXT,__text) external __unsetenvp
000000018030c01c (__TEXT,__text) non-external (was a private external) __utmpx32_64
000000018030c088 (__TEXT,__text) non-external (was a private external) __utmpx64_32
000000018030afe4 (__TEXT,__text) non-external (was a private external) __utmpx_asl
000000018034bf32 (__TEXT,__const) non-external (was a private external) __utmpx_vers
000000018030b40c (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00000001d54880a8 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00000001803422d8 (__TEXT,__text) external __utmpxname
0000000180349230 (__TEXT,__text) non-external __utmpxname.cold.1
0000000180349268 (__TEXT,__text) non-external __utmpxname.cold.2
00000001802fe7fc (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180302e64 (__TEXT,__text) non-external (was a private external) __vdprintf
00000001802fe6e4 (__TEXT,__text) non-external (was a private external) __vsnprintf
00000001802f184c (__TEXT,__text) non-external __yconv
00000001803396c4 (__TEXT,__text) external _a64l
000000018034ab20 (__TEXT,__const) non-external _a64toi
000000018034898c (__TEXT,__text) external _abort
0000000180348af8 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
0000000180339790 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
000000018030f218 (__TEXT,__text) external _acl_add_flag_np
000000018030f2c8 (__TEXT,__text) external _acl_add_perm
000000018030ebcc (__TEXT,__text) external _acl_calc_mask
000000018030f22c (__TEXT,__text) external _acl_clear_flags_np
000000018030f314 (__TEXT,__text) external _acl_clear_perms
000000018030ebf0 (__TEXT,__text) external _acl_copy_entry
000000018030f540 (__TEXT,__text) external _acl_copy_ext
00000001802df998 (__TEXT,__text) external _acl_copy_ext_native
000000018030f628 (__TEXT,__text) external _acl_copy_int
0000000180303534 (__TEXT,__text) external _acl_copy_int_native
000000018030ed54 (__TEXT,__text) external _acl_create_entry
000000018030ec70 (__TEXT,__text) external _acl_create_entry_np
000000018030f1f4 (__TEXT,__text) external _acl_delete_def_file
000000018030ed5c (__TEXT,__text) external _acl_delete_entry
000000018030f004 (__TEXT,__text) external _acl_delete_fd_np
000000018030f028 (__TEXT,__text) external _acl_delete_file_np
000000018030f238 (__TEXT,__text) external _acl_delete_flag_np
000000018030f04c (__TEXT,__text) external _acl_delete_link_np
000000018030f320 (__TEXT,__text) external _acl_delete_perm
00000001802df8b0 (__TEXT,__text) external _acl_dup
00000001d3301790 (__DATA_CONST,__const) non-external _acl_flags
00000001802dfa70 (__TEXT,__text) external _acl_free
000000018030f6f0 (__TEXT,__text) external _acl_from_text
000000018030454c (__TEXT,__text) external _acl_get_entry
000000018030f070 (__TEXT,__text) external _acl_get_fd
00000001802fe364 (__TEXT,__text) external _acl_get_fd_np
00000001802fcf4c (__TEXT,__text) external _acl_get_file
00000001802fcf54 (__TEXT,__text) non-external _acl_get_file1
0000000180304678 (__TEXT,__text) external _acl_get_flag_np
0000000180304608 (__TEXT,__text) external _acl_get_flagset_np
000000018030f078 (__TEXT,__text) external _acl_get_link_np
000000018030f36c (__TEXT,__text) external _acl_get_perm_np
000000018030f3b0 (__TEXT,__text) external _acl_get_permset
000000018030f47c (__TEXT,__text) external _acl_get_permset_mask_np
000000018030ee58 (__TEXT,__text) external _acl_get_qualifier
000000018030eed8 (__TEXT,__text) external _acl_get_tag_type
00000001803035e4 (__TEXT,__text) external _acl_init
000000018030f468 (__TEXT,__text) external _acl_maximal_permset_mask_np
00000001d3301850 (__DATA_CONST,__const) non-external _acl_perms
000000018030f0f8 (__TEXT,__text) external _acl_set_fd
000000018030f080 (__TEXT,__text) external _acl_set_fd_np
000000018030f0fc (__TEXT,__text) external _acl_set_file
000000018030f24c (__TEXT,__text) external _acl_set_flagset_np
000000018030f174 (__TEXT,__text) external _acl_set_link_np
000000018030f40c (__TEXT,__text) external _acl_set_permset
000000018030f4d8 (__TEXT,__text) external _acl_set_permset_mask_np
000000018030ef34 (__TEXT,__text) external _acl_set_qualifier
000000018030efa0 (__TEXT,__text) external _acl_set_tag_type
00000001802df92c (__TEXT,__text) external _acl_size
000000018030fd34 (__TEXT,__text) external _acl_to_text
000000018030eb10 (__TEXT,__text) external _acl_valid
000000018030eb60 (__TEXT,__text) external _acl_valid_fd_np
000000018030eb84 (__TEXT,__text) external _acl_valid_file_np
000000018030eba8 (__TEXT,__text) external _acl_valid_link
0000000180306978 (__TEXT,__text) non-external _addToMP
000000018032ea50 (__TEXT,__text) non-external _addaster
0000000180322cfc (__TEXT,__text) non-external _addcmd
0000000180329ab4 (__TEXT,__text) external _addr2ascii
00000001d5488a38 (__DATA,__bss) non-external _addr2ascii.staticbuf
000000018032ec3c (__TEXT,__text) non-external _addtype
000000018032f798 (__TEXT,__text) non-external _addwaster
00000001802e73c0 (__TEXT,__text) non-external _advance_directory
0000000180347518 (__TEXT,__text) non-external _advance_directory.cold.1
00000001802fd048 (__TEXT,__text) external _alarm
0000000180317430 (__TEXT,__text) non-external _alloc_segs
00000001803225a8 (__TEXT,__text) external _alphasort
000000018034bda4 (__TEXT,__const) non-external _ambig
00000001802d36e4 (__TEXT,__text) non-external _arc4_init
0000000180347b64 (__TEXT,__text) non-external _arc4_init.cold.1
00000001802de3fc (__TEXT,__text) external _arc4random
000000018031dcac (__TEXT,__text) external _arc4random_addrandom
00000001802d3698 (__TEXT,__text) external _arc4random_buf
00000001802fdf00 (__TEXT,__text) external _arc4random_stir
00000001802e3aa0 (__TEXT,__text) external _arc4random_uniform
00000001d5488d10 (__DATA,__bss) non-external _arg_type_queue
0000000180340e00 (__TEXT,__text) non-external (was a private external) _arrayfree
0000000180300304 (__TEXT,__text) non-external _arrayget
0000000180329b90 (__TEXT,__text) external _ascii2addr
00000001802fbc70 (__TEXT,__text) external _asctime
00000001802f07a0 (__TEXT,__text) external _asctime_r
000000018034bbe7 (__TEXT,__const) non-external _asctime_r.mon_name
000000018034bbd2 (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
00000001802df160 (__TEXT,__text) external _asprintf
000000018032c664 (__TEXT,__text) external _asprintf_l
0000000180310a4c (__TEXT,__text) external _asxprintf
0000000180311198 (__TEXT,__text) external _asxprintf_exec
00000001802f7114 (__TEXT,__text) external _atexit
00000001802f9138 (__TEXT,__text) external _atexit_b
00000001d65f1840 (__DATA_DIRTY,__data) non-external _atexit_mutex
00000001802d8164 (__TEXT,__text) non-external _atexit_register
0000000180348b4c (__TEXT,__text) non-external _atexit_register.cold.1
0000000180303434 (__TEXT,__text) external _atof
00000001802f1fb8 (__TEXT,__text) external _atof_l
00000001802de6d8 (__TEXT,__text) external _atoi
00000001803397a0 (__TEXT,__text) external _atoi_l
00000001802e6854 (__TEXT,__text) external _atol
00000001803397c4 (__TEXT,__text) external _atol_l
00000001802e007c (__TEXT,__text) external _atoll
00000001803397d4 (__TEXT,__text) external _atoll_l
00000001802dfaf8 (__TEXT,__text) external _backtrace
0000000180307120 (__TEXT,__text) external _backtrace_async
000000018030718c (__TEXT,__text) external _backtrace_from_fp
00000001d6a8d3a0 (__AUTH,__data) non-external _backtrace_get_pcs_func
00000001802e6324 (__TEXT,__text) external _backtrace_image_offsets
0000000180307100 (__TEXT,__text) external _backtrace_set_pcs_func
00000001802e491c (__TEXT,__text) external _backtrace_symbols
00000001803071f4 (__TEXT,__text) external _backtrace_symbols_fd
00000001802e62c4 (__TEXT,__text) external _basename
00000001d65f1970 (__DATA_DIRTY,__bss) non-external _basename.bname
00000001802e5a2c (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00000001802d37c8 (__TEXT,__text) external _bcopy
0000000180306ca4 (__TEXT,__text) non-external _bitCountMP
0000000180347444 (__TEXT,__text) non-external _bitCountMP.cold.1
000000018034ba6f (__TEXT,__const) non-external _blanks
000000018034bb30 (__TEXT,__const) non-external _blanks
00000001d54871c4 (__DATA,__data) non-external _blanks
                 (undefined) external _bootstrap_parent (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
000000018030a2e0 (__TEXT,__text) non-external _both_ftw
00000001d5488028 (__DATA,__bss) non-external _brapreg
0000000180304b78 (__TEXT,__text) external _brk
0000000180304b9c (__TEXT,__text) external _bsd_signal
00000001802d8bec (__TEXT,__text) external _bsearch
00000001802e16a0 (__TEXT,__text) external _bsearch_b
00000001803164e8 (__TEXT,__text) non-external _bt_broot
0000000180316238 (__TEXT,__text) non-external _bt_page
0000000180316654 (__TEXT,__text) non-external _bt_preserve
00000001803166ac (__TEXT,__text) non-external _bt_psplit
0000000180316154 (__TEXT,__text) non-external _bt_root
00000001803163e0 (__TEXT,__text) non-external _bt_rroot
0000000180303dc0 (__TEXT,__text) external _btowc
0000000180303de4 (__TEXT,__text) external _btowc_l
00000001d5488ac8 (__DATA,__bss) non-external _buf_asctime
000000018032ed20 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
000000018034a2f8 (__TEXT,__const) non-external (was a private external) _cVersionNumber
000000018034a2d0 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
000000018032c53c (__TEXT,__text) external _catclose
