00000001ead85ae0 (__DATA,__data) external _NDR_record
0000000180492a24 (__TEXT,__text) external _csr_get_active_config
0000000180489d4c (__TEXT,__text) external _debug_control_port_for_pid
00000001804a42f8 (__TEXT,__text) external _debug_syscall_reject
00000001804a41e4 (__TEXT,__text) external _debug_syscall_reject_config
00000001ead85ad8 (__DATA,__data) external _denap_boost_assertion_token
0000000180497ff4 (__TEXT,__text) external _disconnectx
00000001804906e8 (__TEXT,__text) non-external _do_compat
000000018048e478 (__TEXT,__text) external _dup
000000018049277c (__TEXT,__text) external _dup2
00000001e6b2bba8 (__DATA_CONST,__const) non-external _err_codes_auth
00000001e6b2ba38 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001e6b2bda0 (__DATA_CONST,__const) non-external _err_codes_exception
00000001e6b2ba78 (__DATA_CONST,__const) non-external _err_codes_execd
00000001e6b2bb78 (__DATA_CONST,__const) non-external _err_codes_io
00000001e6b2c720 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001e6b2c358 (__DATA_CONST,__const) non-external _err_codes_iokit_common
00000001804bde68 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001e6b2c5e8 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
00000001804bdea8 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001e6b2c508 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
00000001804bde78 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001e6b2b620 (__DATA_CONST,__const) non-external _err_codes_kern
00000001e6b2c1e8 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001e6b2c258 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001e6b2c1f8 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001e6b2bd70 (__DATA_CONST,__const) non-external _err_codes_loader
00000001e6b2c158 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001e6b2c0d0 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001e6b2c018 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001e6b2bd40 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001e6b2bfd8 (__DATA_CONST,__const) non-external _err_codes_mig
00000001e6b2ba98 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001e6b2ba18 (__DATA_CONST,__const) non-external _err_codes_netname
00000001e6b2bae8 (__DATA_CONST,__const) non-external _err_codes_ns
00000001e6b2bf90 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001e6b2bf30 (__DATA_CONST,__const) non-external _err_codes_send
00000001e6b2bcb0 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001e6b2bab8 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001e6b2bab0 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001e6b2b7e8 (__DATA_CONST,__const) non-external _err_codes_unix
00000001e6b2bbf0 (__DATA_CONST,__const) non-external _err_codes_us
00000001e6b2bdd8 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001e6b2c1a8 (__DATA_CONST,__const) non-external _err_codes_vm_reclaim
00000001e6b2bec8 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001e6b2b440 (__DATA_CONST,__const) non-external _err_iokit_sub
00000001804bde58 (__TEXT,__const) non-external _err_iokit_sub_map
00000001e6b2b288 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001e6b2b3c8 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001e6b2b300 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001e6b2af68 (__DATA_CONST,__const) non-external _err_os_sub
00000001e6b2b008 (__DATA_CONST,__const) non-external _err_server_sub
00000001804bde30 (__TEXT,__const) non-external _err_us_sub
00000001e6b2b378 (__DATA_CONST,__const) non-external _err_vm_sub
00000001ece849a8 (__DATA_DIRTY,__common) external _errno
00000001804ba37c (__TEXT,__text) external _etap_trace_thread
00000001804a5530 (__TEXT,__text) non-external _eth_rule_iterate
00000001804a8a0c (__TEXT,__text) external _exc_server
00000001804a89d8 (__TEXT,__text) external _exc_server_routine
00000001804a8034 (__TEXT,__text) external _exception_raise
00000001804a81b0 (__TEXT,__text) external _exception_raise_state
00000001804a8420 (__TEXT,__text) external _exception_raise_state_identity
00000001804962d4 (__TEXT,__text) external _exchangedata
000000018049bfa8 (__TEXT,__text) external _exclaves_aoe_message_loop
000000018049bf40 (__TEXT,__text) external _exclaves_aoe_setup
000000018049bf74 (__TEXT,__text) external _exclaves_aoe_work_loop
000000018049bccc (__TEXT,__text) external _exclaves_audio_buffer_copyout
000000018049bd04 (__TEXT,__text) external _exclaves_audio_buffer_copyout_with_status
000000018049bc9c (__TEXT,__text) external _exclaves_audio_buffer_create
000000018049bc68 (__TEXT,__text) external _exclaves_boot
000000018049ba24 (__TEXT,__text) external _exclaves_endpoint_call
000000018049bb38 (__TEXT,__text) external _exclaves_inbound_buffer_copyin
000000018049bb08 (__TEXT,__text) external _exclaves_inbound_buffer_create
000000018049be0c (__TEXT,__text) external _exclaves_indicator_min_on_time
000000018049bb88 (__TEXT,__text) external _exclaves_launch_conclave
000000018049bbd0 (__TEXT,__text) external _exclaves_lookup_service
000000018049bb78 (__TEXT,__text) external _exclaves_named_buffer_copyin
000000018049bb80 (__TEXT,__text) external _exclaves_named_buffer_copyout
000000018049bb70 (__TEXT,__text) external _exclaves_named_buffer_create
000000018049bea4 (__TEXT,__text) external _exclaves_notification_create
000000018049bad0 (__TEXT,__text) external _exclaves_outbound_buffer_copyout
000000018049baa0 (__TEXT,__text) external _exclaves_outbound_buffer_create
000000018049bd3c (__TEXT,__text) external _exclaves_sensor_create
000000018049bd70 (__TEXT,__text) external _exclaves_sensor_start
000000018049bdd8 (__TEXT,__text) external _exclaves_sensor_status
000000018049bda4 (__TEXT,__text) external _exclaves_sensor_stop
000000018049273c (__TEXT,__text) external _execve
00000001ead85b48 (__DATA,__bss) non-external _execve_with_filter
0000000180498020 (__TEXT,__text) external _faccessat
000000018049804c (__TEXT,__text) external _fchdir
000000018048f44c (__TEXT,__text) external _fchflags
000000018048e504 (__TEXT,__text) external _fchmod
0000000180498078 (__TEXT,__text) external _fchmodat
000000018048f890 (__TEXT,__text) external _fchown
00000001804980a4 (__TEXT,__text) external _fchownat
00000001804980d0 (__TEXT,__text) external _fclonefileat
000000018048a704 (__TEXT,__text) external _fcntl
000000018048dfb0 (__TEXT,__text) external _fcntl$NOCANCEL
00000001804980fc (__TEXT,__text) external _fdatasync
000000018049198c (__TEXT,__text) external _ffsctl
000000018048d678 (__TEXT,__text) external _fgetattrlist
000000018048e44c (__TEXT,__text) external _fgetxattr
0000000180498128 (__TEXT,__text) external _fhopen
000000018049010c (__TEXT,__text) external _fileport_makefd
0000000180490388 (__TEXT,__text) external _fileport_makeport
00000001804961e8 (__TEXT,__text) external _flistxattr
000000018048dcbc (__TEXT,__text) external _flock
0000000180498154 (__TEXT,__text) external _fmount
0000000180498180 (__TEXT,__text) external _fpathconf
000000018049b7d4 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
00000001804981ac (__TEXT,__text) external _freadlink
00000001804981d8 (__TEXT,__text) external _fremovexattr
00000001804a4140 (__TEXT,__text) external _fs_snapshot_create
00000001804a415c (__TEXT,__text) external _fs_snapshot_delete
000000018049262c (__TEXT,__text) external _fs_snapshot_list
00000001804a41cc (__TEXT,__text) external _fs_snapshot_mount
00000001804a4178 (__TEXT,__text) external _fs_snapshot_rename
00000001804a4194 (__TEXT,__text) external _fs_snapshot_revert
00000001804a41b0 (__TEXT,__text) external _fs_snapshot_root
000000018048d64c (__TEXT,__text) external _fsctl
000000018048f864 (__TEXT,__text) external _fsetattrlist
000000018048f28c (__TEXT,__text) external _fsetxattr
000000018048d738 (__TEXT,__text) external _fsgetpath
0000000180498204 (__TEXT,__text) external _fsgetpath_ext
000000018049825c (__TEXT,__text) external _fstat
000000018049825c (__TEXT,__text) external _fstat64
00000001804982b4 (__TEXT,__text) external _fstatat
00000001804982b4 (__TEXT,__text) external _fstatat64
0000000180495954 (__TEXT,__text) external _fstatfs
0000000180495954 (__TEXT,__text) external _fstatfs64
000000018049eee4 (__TEXT,__text) external _fstatfs_ext
000000018048d7e8 (__TEXT,__text) external _fsync
0000000180496e28 (__TEXT,__text) external _fsync$NOCANCEL
000000018048d440 (__TEXT,__text) external _ftruncate
000000018049830c (__TEXT,__text) external _funmount
000000018049e920 (__TEXT,__text) external _futimens
000000018048f478 (__TEXT,__text) external _futimes
00000001ead857e0 (__DATA,__crash_info) non-external _gCRAnnotations
000000018048a624 (__TEXT,__text) external _getattrlist
0000000180498338 (__TEXT,__text) external _getattrlistat
000000018048d498 (__TEXT,__text) external _getattrlistbulk
00000001804a7694 (__TEXT,__text) external _getaudit
000000018048c0d8 (__TEXT,__text) external _getaudit_addr
0000000180498364 (__TEXT,__text) external _getauid
0000000180498390 (__TEXT,__text) external _getdirentries
00000001804983bc (__TEXT,__text) external _getdirentriesattr
0000000180492ad4 (__TEXT,__text) external _getdtablesize
000000018048b894 (__TEXT,__text) external _getegid
000000018048a12c (__TEXT,__text) external _getentropy
000000018048b034 (__TEXT,__text) external _geteuid
00000001804983e8 (__TEXT,__text) external _getfh
0000000180498440 (__TEXT,__text) external _getfsstat
0000000180498440 (__TEXT,__text) external _getfsstat64
000000018048df2c (__TEXT,__text) external _getgid
000000018048f8bc (__TEXT,__text) external _getgroups
000000018048f64c (__TEXT,__text) external _gethostuuid
000000018048e62c (__TEXT,__text) external _getiopolicy_np
000000018049846c (__TEXT,__text) external _getitimer
000000018048e4d8 (__TEXT,__text) external _getpeername
00000001804942a0 (__TEXT,__text) external _getpgid
0000000180492710 (__TEXT,__text) external _getpgrp
000000018048a168 (__TEXT,__text) external _getpid
000000018049040c (__TEXT,__text) external _getppid
0000000180492550 (__TEXT,__text) external _getpriority
000000018048c0a4 (__TEXT,__text) external _getrlimit
00000001804917b0 (__TEXT,__text) external _getrusage
0000000180496e54 (__TEXT,__text) external _getsgroups_np
0000000180498498 (__TEXT,__text) external _getsid
00000001804919b8 (__TEXT,__text) external _getsockname
000000018048e3f4 (__TEXT,__text) external _getsockopt
000000018048b83c (__TEXT,__text) external _getuid
0000000180496e80 (__TEXT,__text) external _getwgroups_np
000000018048cebc (__TEXT,__text) external _getxattr
00000001804984c4 (__TEXT,__text) external _grab_pgo_data
00000001804984f0 (__TEXT,__text) external _graftdmg
000000018048d7bc (__TEXT,__text) external _guarded_close_np
00000001804949e8 (__TEXT,__text) external _guarded_kqueue_np
000000018049b84c (__TEXT,__text) external _guarded_open_dprotected_np
000000018048d548 (__TEXT,__text) external _guarded_open_np
000000018048d5a4 (__TEXT,__text) external _guarded_pwrite_np
0000000180491b1c (__TEXT,__text) external _guarded_write_np
000000018049851c (__TEXT,__text) external _guarded_writev_np
00000001804c3424 (__TEXT,__cstring) non-external _hex
000000018049b89c (__TEXT,__text) external _host_check_multiuser_mode
000000018048ae00 (__TEXT,__text) external _host_create_mach_voucher
0000000180489cbc (__TEXT,__text) external _host_create_mach_voucher_trap
00000001804a8fec (__TEXT,__text) external _host_default_memory_manager
00000001804aa9b4 (__TEXT,__text) external _host_get_UNDServer
000000018049b87c (__TEXT,__text) external _host_get_atm_diagnostic_flag
00000001804a8a98 (__TEXT,__text) external _host_get_boot_info
00000001804a96bc (__TEXT,__text) external _host_get_clock_control
000000018048fcbc (__TEXT,__text) external _host_get_clock_service
00000001804a9e8c (__TEXT,__text) external _host_get_exception_ports
00000001804ab648 (__TEXT,__text) external _host_get_io_main
000000018048d814 (__TEXT,__text) external _host_get_io_master
000000018049b894 (__TEXT,__text) external _host_get_multiuser_config_flags
000000018048aa48 (__TEXT,__text) external _host_get_special_port
000000018048ed28 (__TEXT,__text) external _host_info
00000001804aafd4 (__TEXT,__text) external _host_kernel_version
00000001804abf14 (__TEXT,__text) external _host_lockgroup_info
000000018049b9f4 (__TEXT,__text) external _host_page_size
00000001804a8dcc (__TEXT,__text) external _host_priv_statistics
00000001804ab4ac (__TEXT,__text) external _host_processor_info
00000001804aa728 (__TEXT,__text) external _host_processor_set_priv
00000001804aa5a8 (__TEXT,__text) external _host_processor_sets
00000001804a953c (__TEXT,__text) external _host_processors
00000001804a8cb0 (__TEXT,__text) external _host_reboot
00000001804ac57c (__TEXT,__text) external _host_register_mach_voucher_attr_manager
00000001804ac708 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
000000018048bda4 (__TEXT,__text) external _host_request_notification
00000001804aacf8 (__TEXT,__text) external _host_security_create_task_token
00000001804aae94 (__TEXT,__text) external _host_security_set_task_token
000000018049c314 (__TEXT,__text) external _host_self
0000000180489b60 (__TEXT,__text) external _host_self_trap
00000001804aa898 (__TEXT,__text) external _host_set_UNDServer
00000001804ac888 (__TEXT,__text) external _host_set_atm_diagnostic_flag
00000001804a9d5c (__TEXT,__text) external _host_set_exception_ports
00000001804acbb8 (__TEXT,__text) external _host_set_multiuser_config_flags
00000001804a9c30 (__TEXT,__text) external _host_set_special_port
0000000180494398 (__TEXT,__text) external _host_statistics
0000000180493c2c (__TEXT,__text) external _host_statistics64
00000001804aa150 (__TEXT,__text) external _host_swap_exception_ports
00000001804ab924 (__TEXT,__text) external _host_virtual_physical_table_info
00000001ead85ac0 (__DATA,__data) external _important_boost_assertion_token
00000001804a55e4 (__TEXT,__text) non-external _inet_rule_iterate
00000001ee4fcdb8 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
000000018049b724 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001ead85ab0 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
000000018049b654 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001ead85aa8 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
000000018049b570 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001ead85aa0 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
000000018048e2e8 (__TEXT,__text) external _ioctl
0000000180489924 (__TEXT,__text) external _issetugid
0000000180498548 (__TEXT,__text) external _kas_info
00000001804897c0 (__TEXT,__text) external _kdebug_is_enabled
00000001804a4364 (__TEXT,__text) external _kdebug_signpost
000000018049438c (__TEXT,__text) external _kdebug_signpost_end
00000001804942d8 (__TEXT,__text) non-external _kdebug_signpost_internal
00000001804942cc (__TEXT,__text) external _kdebug_signpost_start
00000001804a4314 (__TEXT,__text) external _kdebug_timestamp
00000001804a432c (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001804a4348 (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001804898a4 (__TEXT,__text) external _kdebug_trace
000000018048c850 (__TEXT,__text) external _kdebug_trace_string
0000000180489820 (__TEXT,__text) external _kdebug_typefilter
00000001ece84320 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
00000001804a4300 (__TEXT,__text) external _kdebug_using_continuous_time
000000018048ff28 (__TEXT,__text) external _kevent
0000000180495b7c (__TEXT,__text) external _kevent64
000000018048ba58 (__TEXT,__text) external _kevent_id
000000018048ba2c (__TEXT,__text) external _kevent_qos
00000001804aab10 (__TEXT,__text) external _kext_request
0000000180491fbc (__TEXT,__text) external _kill
00000001804a9a90 (__TEXT,__text) external _kmod_control
00000001804a9828 (__TEXT,__text) external _kmod_create
00000001804a9974 (__TEXT,__text) external _kmod_destroy
00000001804ab7a4 (__TEXT,__text) external _kmod_get_info
00000001804a7780 (__TEXT,__text) external _kpersona_alloc
00000001804a7800 (__TEXT,__text) external _kpersona_dealloc
00000001804a78cc (__TEXT,__text) external _kpersona_find
00000001804a79b0 (__TEXT,__text) external _kpersona_find_by_type
000000018048deec (__TEXT,__text) external _kpersona_get
00000001804a7844 (__TEXT,__text) external _kpersona_getpath
000000018048dbf4 (__TEXT,__text) external _kpersona_info
00000001804a77c0 (__TEXT,__text) external _kpersona_palloc
00000001804a7888 (__TEXT,__text) external _kpersona_pidinfo
000000018048fefc (__TEXT,__text) external _kqueue
000000018048f8e8 (__TEXT,__text) external _lchown
0000000180498574 (__TEXT,__text) external _ledger
000000018048e6d0 (__TEXT,__text) external _link
00000001804985a0 (__TEXT,__text) external _linkat
00000001804985cc (__TEXT,__text) external _lio_listio
0000000180492660 (__TEXT,__text) external _listen
000000018048d4c4 (__TEXT,__text) external _listxattr
00000001804b50c4 (__TEXT,__text) external _lock_set_create
00000001804b522c (__TEXT,__text) external _lock_set_destroy
000000018049f2b8 (__TEXT,__text) external _log_data_as_kernel
000000018048b608 (__TEXT,__text) external _lseek
0000000180495834 (__TEXT,__text) external _lstat
0000000180495834 (__TEXT,__text) external _lstat64
000000018048a090 (__TEXT,__text) external _mach_absolute_time
000000018048a114 (__TEXT,__text) external _mach_absolute_time_kernel
000000018048b470 (__TEXT,__text) external _mach_approximate_time
000000018049e3b4 (__TEXT,__text) external _mach_boottime_usec
0000000180491450 (__TEXT,__text) external _mach_continuous_approximate_time
000000018048a018 (__TEXT,__text) external _mach_continuous_time
000000018048a120 (__TEXT,__text) external _mach_continuous_time_kernel
000000018049b96c (__TEXT,__text) external _mach_error
00000001ead85b00 (__DATA,__common) external _mach_error_full_diag
0000000180490568 (__TEXT,__text) external _mach_error_string
000000018049058c (__TEXT,__text) non-external _mach_error_string_int
000000018049b8a4 (__TEXT,__text) external _mach_error_type
00000001804bc974 (__TEXT,__text) external _mach_eventlink_associate
00000001804bc6bc (__TEXT,__text) external _mach_eventlink_create
00000001804bc858 (__TEXT,__text) external _mach_eventlink_destroy
00000001804bcab4 (__TEXT,__text) external _mach_eventlink_disassociate
000000018049e884 (__TEXT,__text) external _mach_eventlink_signal
000000018049e8e0 (__TEXT,__text) external _mach_eventlink_signal_wait_until
000000018049e8a0 (__TEXT,__text) external _mach_eventlink_wait_until
0000000180489bfc (__TEXT,__text) external _mach_generate_activity_id
000000018048bcbc (__TEXT,__text) external _mach_get_times
000000018048aa44 (__TEXT,__text) external _mach_host_self
000000018049a694 (__TEXT,__text) external _mach_host_special_port_description
00000001e6b2adc8 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
000000018049a6f4 (__TEXT,__text) external _mach_host_special_port_for_id
00000001ead85928 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
000000018048fb60 (__TEXT,__text) external _mach_init
00000001ece84308 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
000000018048fb98 (__TEXT,__text) non-external _mach_init_doit
00000001804b1010 (__TEXT,__text) external _mach_make_memory_entry
000000018048b2ac (__TEXT,__text) external _mach_make_memory_entry_64
00000001804bc2a4 (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001804bc550 (__TEXT,__text) external _mach_memory_entry_get_page_counts
00000001804bc420 (__TEXT,__text) external _mach_memory_entry_ownership
00000001804bc14c (__TEXT,__text) external _mach_memory_entry_purgable_control
00000001804ac9a4 (__TEXT,__text) external _mach_memory_info
00000001804ab324 (__TEXT,__text) external _mach_memory_object_memory_entry
00000001804abd8c (__TEXT,__text) external _mach_memory_object_memory_entry_64
0000000180489f9c (__TEXT,__text) external _mach_msg
000000018049bfdc (__TEXT,__text) external _mach_msg2_internal
0000000180489c2c (__TEXT,__text) external _mach_msg2_trap
000000018048abb0 (__TEXT,__text) external _mach_msg_destroy
000000018048acf4 (__TEXT,__text) non-external _mach_msg_destroy_port
00000001804927a8 (__TEXT,__text) external _mach_msg_overwrite
0000000180489b78 (__TEXT,__text) external _mach_msg_overwrite_trap
000000018049c0f4 (__TEXT,__text) external _mach_msg_priority_encode
000000018049c0e4 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
000000018049c128 (__TEXT,__text) external _mach_msg_priority_overide_qos
000000018049c138 (__TEXT,__text) external _mach_msg_priority_qos
000000018049c148 (__TEXT,__text) external _mach_msg_priority_relpri
0000000180496214 (__TEXT,__text) external _mach_msg_receive
000000018048e694 (__TEXT,__text) external _mach_msg_send
0000000180491c64 (__TEXT,__text) external _mach_msg_server
0000000180492a6c (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
000000018049c0e0 (__TEXT,__text) external _mach_msg_server_importance
0000000180494fc8 (__TEXT,__text) external _mach_msg_server_once
0000000180489b6c (__TEXT,__text) external _mach_msg_trap
00000001804b2314 (__TEXT,__text) external _mach_notify_dead_name
00000001804b2250 (__TEXT,__text) external _mach_notify_no_senders
00000001804b2174 (__TEXT,__text) external _mach_notify_port_deleted
00000001804b21dc (__TEXT,__text) external _mach_notify_port_destroyed
00000001804b22b8 (__TEXT,__text) external _mach_notify_send_once
000000018048bed0 (__TEXT,__text) external _mach_port_allocate
00000001804a71cc (__TEXT,__text) external _mach_port_allocate_full
00000001804a71b8 (__TEXT,__text) external _mach_port_allocate_name
00000001804a71c8 (__TEXT,__text) external _mach_port_allocate_qos
00000001804a743c (__TEXT,__text) external _mach_port_assert_attributes
000000018048ae90 (__TEXT,__text) external _mach_port_construct
000000018048b060 (__TEXT,__text) external _mach_port_deallocate
000000018048f648 (__TEXT,__text) external _mach_port_destroy
000000018048b69c (__TEXT,__text) external _mach_port_destruct
00000001804a736c (__TEXT,__text) external _mach_port_dnrequest_info
000000018048d34c (__TEXT,__text) external _mach_port_extract_member
0000000180493ff4 (__TEXT,__text) external _mach_port_extract_right
000000018048c658 (__TEXT,__text) external _mach_port_get_attributes
000000018048f2b8 (__TEXT,__text) external _mach_port_get_context
000000018048d198 (__TEXT,__text) external _mach_port_get_refs
00000001804a7438 (__TEXT,__text) external _mach_port_get_service_port_info
0000000180495df4 (__TEXT,__text) external _mach_port_get_set_status
00000001804a71d4 (__TEXT,__text) external _mach_port_get_srights
000000018048cbb8 (__TEXT,__text) external _mach_port_guard
00000001804a742c (__TEXT,__text) external _mach_port_guard_with_flags
000000018048bf40 (__TEXT,__text) external _mach_port_insert_member
000000018048c16c (__TEXT,__text) external _mach_port_insert_right
00000001804a7434 (__TEXT,__text) external _mach_port_is_connection_for_service
00000001804a7370 (__TEXT,__text) external _mach_port_kernel_object
00000001804a73b4 (__TEXT,__text) external _mach_port_kobject
00000001804a73b8 (__TEXT,__text) external _mach_port_kobject_description
000000018048a324 (__TEXT,__text) external _mach_port_mod_refs
000000018048ef48 (__TEXT,__text) external _mach_port_move_member
00000001804a71b0 (__TEXT,__text) external _mach_port_names
00000001804a71bc (__TEXT,__text) external _mach_port_peek
00000001804a71b4 (__TEXT,__text) external _mach_port_rename
000000018048bb08 (__TEXT,__text) external _mach_port_request_notification
000000018048c6e4 (__TEXT,__text) external _mach_port_set_attributes
0000000180495cd4 (__TEXT,__text) external _mach_port_set_context
00000001804a71c0 (__TEXT,__text) external _mach_port_set_mscount
00000001804a71c4 (__TEXT,__text) external _mach_port_set_seqno
00000001804a71dc (__TEXT,__text) external _mach_port_space_basic_info
00000001804a71d8 (__TEXT,__text) external _mach_port_space_info
00000001804a7430 (__TEXT,__text) external _mach_port_swap_guard
000000018048c924 (__TEXT,__text) external _mach_port_type
00000001804a73bc (__TEXT,__text) external _mach_port_unguard
0000000180495980 (__TEXT,__text) external _mach_ports_lookup
000000018049e504 (__TEXT,__text) non-external _mach_ports_lookup_legacy
00000001804917dc (__TEXT,__text) external _mach_ports_register
000000018049e418 (__TEXT,__text) non-external _mach_ports_register_legacy
0000000180489b3c (__TEXT,__text) external _mach_reply_port
000000018049c60c (__TEXT,__text) external _mach_right_recv_construct
000000018049c6e4 (__TEXT,__text) external _mach_right_recv_destruct
000000018049c77c (__TEXT,__text) external _mach_right_send_create
000000018049c8c4 (__TEXT,__text) external _mach_right_send_once_consume
000000018049c858 (__TEXT,__text) external _mach_right_send_once_create
000000018048e6fc (__TEXT,__text) external _mach_right_send_release
000000018049c7e4 (__TEXT,__text) external _mach_right_send_retain
00000001804a724c (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001804a72f8 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
000000018049e3c4 (__TEXT,__text) external _mach_task_is_self
000000018049c608 (__TEXT,__text) external _mach_task_self
00000001ece84360 (__DATA_DIRTY,__common) external _mach_task_self_
000000018049a6b4 (__TEXT,__text) external _mach_task_special_port_description
00000001e6b2aee8 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
000000018049a7b8 (__TEXT,__text) external _mach_task_special_port_for_id
00000001ead85a20 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
000000018048fc8c (__TEXT,__text) external _mach_thread_self
000000018049a6d4 (__TEXT,__text) external _mach_thread_special_port_description
00000001e6b2af48 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
000000018049a7c8 (__TEXT,__text) external _mach_thread_special_port_for_id
00000001ead85a80 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
0000000180489fc0 (__TEXT,__text) external _mach_timebase_info
00000001ece842fc (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
0000000180489cf8 (__TEXT,__text) external _mach_timebase_info_trap
000000018048bff0 (__TEXT,__text) external _mach_vm_allocate
00000001804b0aa4 (__TEXT,__text) external _mach_vm_behavior_set
0000000180491b48 (__TEXT,__text) external _mach_vm_copy
000000018048b798 (__TEXT,__text) external _mach_vm_deallocate
00000001804b17e4 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_allocate
00000001804b1950 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_flush
00000001804b2010 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_query
00000001804b1c58 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_resize
00000001804b0424 (__TEXT,__text) external _mach_vm_inherit
00000001804b0bc4 (__TEXT,__text) external _mach_vm_machine_attribute
0000000180489950 (__TEXT,__text) external _mach_vm_map
00000001804b0984 (__TEXT,__text) external _mach_vm_msync
00000001804b12fc (__TEXT,__text) external _mach_vm_page_info
00000001804b0eac (__TEXT,__text) external _mach_vm_page_query
00000001804b14e8 (__TEXT,__text) external _mach_vm_page_range_query
000000018048da30 (__TEXT,__text) external _mach_vm_protect
000000018048d5d4 (__TEXT,__text) external _mach_vm_purgable_control
00000001804b1aa8 (__TEXT,__text) external _mach_vm_range_create
00000001804a7570 (__TEXT,__text) external _mach_vm_read
00000001804b06cc (__TEXT,__text) external _mach_vm_read_list
0000000180494e78 (__TEXT,__text) external _mach_vm_read_overwrite
000000018049d200 (__TEXT,__text) external _mach_vm_reclaim_copied_ring_free
000000018049d23c (__TEXT,__text) external _mach_vm_reclaim_copied_ring_query
000000018049d058 (__TEXT,__text) external _mach_vm_reclaim_get_rings_for_task
000000018049cfa8 (__TEXT,__text) external _mach_vm_reclaim_is_reusable
000000018049cea8 (__TEXT,__text) external _mach_vm_reclaim_query_state
000000018049c974 (__TEXT,__text) external _mach_vm_reclaim_ring_allocate
000000018049cfb8 (__TEXT,__text) external _mach_vm_reclaim_ring_capacity
000000018049d124 (__TEXT,__text) external _mach_vm_reclaim_ring_copy
000000018049cfe4 (__TEXT,__text) external _mach_vm_reclaim_ring_flush
000000018049ca3c (__TEXT,__text) external _mach_vm_reclaim_ring_resize
000000018049cae0 (__TEXT,__text) external _mach_vm_reclaim_round_capacity
000000018049ccd0 (__TEXT,__text) external _mach_vm_reclaim_try_cancel
000000018049cb2c (__TEXT,__text) external _mach_vm_reclaim_try_enter
000000018049cf18 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
0000000180489cb0 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting_trap
000000018048e80c (__TEXT,__text) external _mach_vm_region
0000000180494c04 (__TEXT,__text) external _mach_vm_region_recurse
00000001804a7440 (__TEXT,__text) external _mach_vm_remap
00000001804a74d8 (__TEXT,__text) external _mach_vm_remap_new
