
/System/Cryptexes/OS/usr/lib/system/libsystem_kernel.dylib (for architecture x86_64):
000000000003f1c0 (__DATA,__data) external _NDR_record
000000000000a921 (__TEXT,__text) external _posix_spawnattr_setbinpref_np
00000000000126d5 (__TEXT,__text) external _posix_spawnattr_setcoalition_np
0000000000012553 (__TEXT,__text) external _posix_spawnattr_setcpumonitor
000000000000a80e (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
0000000000012229 (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
000000000000aff3 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
00000000000064a8 (__TEXT,__text) external _posix_spawnattr_setflags
0000000000007d0b (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
0000000000006596 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
0000000000012912 (__TEXT,__text) external _posix_spawnattr_setnosmt_np
00000000000121f9 (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
000000000001215b (__TEXT,__text) external _posix_spawnattr_setpgroup
0000000000012211 (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
000000000000648d (__TEXT,__text) external _posix_spawnattr_setsigdefault
0000000000006473 (__TEXT,__text) external _posix_spawnattr_setsigmask
000000000000a833 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
00000000000023c4 (__TEXT,__text) external _pread
000000000000bb20 (__TEXT,__text) external _pread$NOCANCEL
000000000000c640 (__TEXT,__text) external _preadv
000000000000bb38 (__TEXT,__text) external _preadv$NOCANCEL
0000000000011acf (__TEXT,__text) non-external _prepare_times_array_and_attrs
0000000000010d41 (__TEXT,__text) external _proc_clear_cpulimits
0000000000010ee5 (__TEXT,__text) external _proc_clear_delayidlesleep
0000000000010816 (__TEXT,__text) external _proc_clear_dirty
0000000000010df2 (__TEXT,__text) external _proc_clear_vmpressure
0000000000010717 (__TEXT,__text) external _proc_current_thread_schedinfo
0000000000009061 (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
0000000000009121 (__TEXT,__text) external _proc_denap_assertion_complete
0000000000010f32 (__TEXT,__text) external _proc_disable_apptype
000000000000a184 (__TEXT,__text) external _proc_disable_cpumon
0000000000008dbc (__TEXT,__text) external _proc_disable_wakemon
0000000000010d97 (__TEXT,__text) external _proc_donate_importance_boost
0000000000010f92 (__TEXT,__text) external _proc_enable_apptype
0000000000008d57 (__TEXT,__text) external _proc_get_cpumon_params
00000000000107bb (__TEXT,__text) external _proc_get_dirty
0000000000010c5a (__TEXT,__text) external _proc_get_wakemon_params
0000000000009069 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
0000000000009129 (__TEXT,__text) external _proc_importance_assertion_complete
000000000001064b (__TEXT,__text) external _proc_kmsgbuf
00000000000107a0 (__TEXT,__text) external _proc_libversion
0000000000010cb2 (__TEXT,__text) external _proc_list_dynkqueueids
0000000000010c99 (__TEXT,__text) external _proc_list_uptrs
000000000001041e (__TEXT,__text) external _proc_listallpids
0000000000010488 (__TEXT,__text) external _proc_listchildpids
00000000000104c0 (__TEXT,__text) external _proc_listcoalitions
0000000000010453 (__TEXT,__text) external _proc_listpgrppids
000000000000901b (__TEXT,__text) external _proc_listpids
000000000001800c (__TEXT,__text) external _proc_listpidspath
0000000000005b38 (__TEXT,__text) external _proc_name
000000000000719f (__TEXT,__text) external _proc_pid_rusage
0000000000010581 (__TEXT,__text) external _proc_piddynkqueueinfo
0000000000010538 (__TEXT,__text) external _proc_pidfdinfo
000000000001055d (__TEXT,__text) external _proc_pidfileportinfo
0000000000001f75 (__TEXT,__text) external _proc_pidinfo
0000000000006f42 (__TEXT,__text) external _proc_pidoriginatorinfo
0000000000002572 (__TEXT,__text) external _proc_pidpath
0000000000010676 (__TEXT,__text) external _proc_pidpath_audittoken
00000000000105bf (__TEXT,__text) external _proc_regionfilename
0000000000010d32 (__TEXT,__text) external _proc_reset_footprint_interval
0000000000010aa7 (__TEXT,__text) external _proc_resume_cpumon
0000000000007c30 (__TEXT,__text) external _proc_rlimit_control
0000000000007154 (__TEXT,__text) external _proc_set_cpumon_defaults
00000000000070f1 (__TEXT,__text) external _proc_set_cpumon_params
0000000000010adf (__TEXT,__text) external _proc_set_cpumon_params_fatal
00000000000110a1 (__TEXT,__text) external _proc_set_csm
0000000000010e95 (__TEXT,__text) external _proc_set_delayidlesleep
00000000000037f5 (__TEXT,__text) external _proc_set_dirty
0000000000010ff5 (__TEXT,__text) external _proc_set_no_smt
0000000000010e48 (__TEXT,__text) external _proc_set_owner_vmpressure
0000000000008e17 (__TEXT,__text) external _proc_set_wakemon_defaults
0000000000010c35 (__TEXT,__text) external _proc_set_wakemon_params
0000000000010ccb (__TEXT,__text) external _proc_setcpu_percentage
0000000000002bd9 (__TEXT,__text) external _proc_setpcontrol
00000000000104ed (__TEXT,__text) external _proc_setthread_cpupercent
0000000000011151 (__TEXT,__text) external _proc_setthread_csm
000000000001104d (__TEXT,__text) external _proc_setthread_no_smt
00000000000108b8 (__TEXT,__text) external _proc_signal_delegate
00000000000109ae (__TEXT,__text) external _proc_signal_with_audittoken
0000000000010ff2 (__TEXT,__text) external _proc_suppress
0000000000010860 (__TEXT,__text) external _proc_terminate
0000000000010a51 (__TEXT,__text) external _proc_terminate_all_rsr
0000000000010927 (__TEXT,__text) external _proc_terminate_delegate
00000000000109f6 (__TEXT,__text) external _proc_terminate_with_audittoken
000000000000c658 (__TEXT,__text) external _proc_trace_log
00000000000037ab (__TEXT,__text) external _proc_track_dirty
00000000000105a6 (__TEXT,__text) external _proc_udata_info
000000000000c670 (__TEXT,__text) external _proc_uuid_policy
0000000000022b33 (__TEXT,__text) external _processor_assign
0000000000022a07 (__TEXT,__text) external _processor_control
0000000000022762 (__TEXT,__text) external _processor_exit
0000000000022c2b (__TEXT,__text) external _processor_get_assignment
000000000002282d (__TEXT,__text) external _processor_info
000000000001c6f7 (__TEXT,__text) external _processor_set_create
000000000001c5f1 (__TEXT,__text) external _processor_set_default
0000000000021b8c (__TEXT,__text) external _processor_set_destroy
00000000000223b4 (__TEXT,__text) external _processor_set_info
0000000000021c57 (__TEXT,__text) external _processor_set_max_priority
000000000002213a (__TEXT,__text) external _processor_set_policy_control
0000000000021e21 (__TEXT,__text) external _processor_set_policy_disable
0000000000021d3e (__TEXT,__text) external _processor_set_policy_enable
0000000000022271 (__TEXT,__text) external _processor_set_stack_usage
00000000000219f2 (__TEXT,__text) external _processor_set_statistics
0000000000021f08 (__TEXT,__text) external _processor_set_tasks
000000000002255f (__TEXT,__text) external _processor_set_tasks_with_flavor
0000000000022021 (__TEXT,__text) external _processor_set_threads
0000000000022697 (__TEXT,__text) external _processor_start
000000000001626a (__TEXT,__text) external _pselect
00000000000071e7 (__TEXT,__text) external _pselect$1050
0000000000005c08 (__TEXT,__text) external _pselect$DARWIN_EXTSN
000000000000fcea (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
000000000001646a (__TEXT,__text) external _pselect$NOCANCEL
000000000000252c (__TEXT,__text) external _pthread_getugid_np
000000000000886c (__TEXT,__text) external _pthread_setugid_np
0000000000008044 (__TEXT,__text) external _ptrace
0000000000003a28 (__TEXT,__text) external _pwrite
000000000000bc10 (__TEXT,__text) external _pwrite$NOCANCEL
000000000000c688 (__TEXT,__text) external _pwritev
000000000000bc28 (__TEXT,__text) external _pwritev$NOCANCEL
000000000000f9c5 (__TEXT,__text) external _quota
0000000000005d4c (__TEXT,__text) external _quotactl
0000000000001970 (__TEXT,__text) external _read
00000000000027fc (__TEXT,__text) external _read$NOCANCEL
0000000000002b7c (__TEXT,__text) external _readlink
000000000000c6a0 (__TEXT,__text) external _readlinkat
000000000000c6b8 (__TEXT,__text) external _readv
000000000000bc40 (__TEXT,__text) external _readv$NOCANCEL
000000000000ed2e (__TEXT,__text) external _reboot
000000000000ed35 (__TEXT,__text) external _reboot_np
0000000000016463 (__TEXT,__text) external _record_system_event_as_kernel
0000000000004618 (__TEXT,__text) external _recvfrom
00000000000044e8 (__TEXT,__text) external _recvfrom$NOCANCEL
0000000000004938 (__TEXT,__text) external _recvmsg
000000000000bc88 (__TEXT,__text) external _recvmsg$NOCANCEL
000000000000c6d0 (__TEXT,__text) external _recvmsg_x
000000000000c6e8 (__TEXT,__text) external _register_uexc_handler
0000000000004dc4 (__TEXT,__text) external _removexattr
0000000000003d25 (__TEXT,__text) external _rename
0000000000011fd4 (__TEXT,__text) external _rename_ext
000000000000eda1 (__TEXT,__text) external _renameat
0000000000011f93 (__TEXT,__text) external _renameatx_np
0000000000011faa (__TEXT,__text) external _renamex_np
000000000000c700 (__TEXT,__text) external _revoke
0000000000003d5c (__TEXT,__text) external _rmdir
000000000000c718 (__TEXT,__text) external _searchfs
00000000000046a7 (__TEXT,__text) external _select
0000000000005184 (__TEXT,__text) external _select$1050
0000000000009dc8 (__TEXT,__text) external _select$DARWIN_EXTSN
00000000000044d0 (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
000000000000449f (__TEXT,__text) external _select$NOCANCEL
0000000000008a54 (__TEXT,__text) external _sem_close
0000000000015f3c (__TEXT,__text) external _sem_destroy
0000000000015f5f (__TEXT,__text) external _sem_getvalue
0000000000015f82 (__TEXT,__text) external _sem_init
0000000000008a3c (__TEXT,__text) external _sem_open
000000000000c730 (__TEXT,__text) external _sem_post
000000000000c748 (__TEXT,__text) external _sem_trywait
000000000000c760 (__TEXT,__text) external _sem_unlink
000000000000c778 (__TEXT,__text) external _sem_wait
000000000000bcd0 (__TEXT,__text) external _sem_wait$NOCANCEL
00000000000033e2 (__TEXT,__text) external _semaphore_create
00000000000036c0 (__TEXT,__text) external _semaphore_destroy
000000000000350a (__TEXT,__text) external _semaphore_signal
000000000000faa7 (__TEXT,__text) external _semaphore_signal_all
0000000000000e68 (__TEXT,__text) external _semaphore_signal_all_trap
000000000000faac (__TEXT,__text) external _semaphore_signal_thread
0000000000000e74 (__TEXT,__text) external _semaphore_signal_thread_trap
0000000000000e5c (__TEXT,__text) external _semaphore_signal_trap
0000000000004b76 (__TEXT,__text) external _semaphore_timedwait
000000000000fab7 (__TEXT,__text) external _semaphore_timedwait_signal
0000000000000ea4 (__TEXT,__text) external _semaphore_timedwait_signal_trap
0000000000000e98 (__TEXT,__text) external _semaphore_timedwait_trap
0000000000003505 (__TEXT,__text) external _semaphore_wait
000000000000fab2 (__TEXT,__text) external _semaphore_wait_signal
0000000000000e8c (__TEXT,__text) external _semaphore_wait_signal_trap
0000000000000e80 (__TEXT,__text) external _semaphore_wait_trap
000000000000bce8 (__TEXT,__text) external _semctl
000000000000c790 (__TEXT,__text) external _semget
000000000000c7a8 (__TEXT,__text) external _semop
000000000000bd00 (__TEXT,__text) external _semsys
000000000000c7c0 (__TEXT,__text) external _sendfile
0000000000005758 (__TEXT,__text) external _sendmsg
0000000000004518 (__TEXT,__text) external _sendmsg$NOCANCEL
000000000000c7d8 (__TEXT,__text) external _sendmsg_x
0000000000004600 (__TEXT,__text) external _sendto
0000000000004488 (__TEXT,__text) external _sendto$NOCANCEL
0000000000003a58 (__TEXT,__text) external _setattrlist
000000000000c7f0 (__TEXT,__text) external _setattrlistat
0000000000018ef4 (__TEXT,__text) external _setaudit
000000000000c808 (__TEXT,__text) external _setaudit_addr
000000000000c820 (__TEXT,__text) external _setauid
000000000000889c (__TEXT,__text) external _setegid
0000000000008884 (__TEXT,__text) external _seteuid
000000000000865c (__TEXT,__text) external _setgid
000000000000c838 (__TEXT,__text) external _setgroups
0000000000007072 (__TEXT,__text) external _setiopolicy_np
0000000000007c60 (__TEXT,__text) external _setitimer
000000000000a5d4 (__TEXT,__text) external _setpgid
00000000000077c1 (__TEXT,__text) external _setpriority
000000000000c850 (__TEXT,__text) external _setprivexec
000000000000f9e0 (__TEXT,__text) external _setquota
000000000000bd18 (__TEXT,__text) external _setregid
000000000000bd30 (__TEXT,__text) external _setreuid
000000000000323a (__TEXT,__text) external _setrlimit
000000000000bd48 (__TEXT,__text) external _setsgroups_np
0000000000007d60 (__TEXT,__text) external _setsid
0000000000004458 (__TEXT,__text) external _setsockopt
0000000000008674 (__TEXT,__text) external _setuid
000000000000bd90 (__TEXT,__text) external _setwgroups_np
0000000000003c94 (__TEXT,__text) external _setxattr
0000000000013012 (__TEXT,__text) external _sfi_get_class_offtime
0000000000013033 (__TEXT,__text) external _sfi_process_get_flags
0000000000013023 (__TEXT,__text) external _sfi_process_set_flags
0000000000008a81 (__TEXT,__text) external _sfi_set_class_offtime
0000000000002334 (__TEXT,__text) external _shm_open
000000000000c868 (__TEXT,__text) external _shm_unlink
000000000000c880 (__TEXT,__text) external _shmat
000000000000bdf0 (__TEXT,__text) external _shmctl
000000000000c898 (__TEXT,__text) external _shmdt
000000000000c8b0 (__TEXT,__text) external _shmget
000000000000be08 (__TEXT,__text) external _shmsys
0000000000004660 (__TEXT,__text) external _shutdown
000000000000c8c8 (__TEXT,__text) external _sigpending
00000000000039f8 (__TEXT,__text) external _sigprocmask
000000000001752d (__TEXT,__text) external _sigsuspend
0000000000006d2d (__TEXT,__text) external _sigsuspend$NOCANCEL
0000000000004224 (__TEXT,__text) external _socket
000000000000c8e0 (__TEXT,__text) external _socket_delegate
0000000000004500 (__TEXT,__text) external _socketpair
0000000000012df6 (__TEXT,__text) external _stackshot_capture_with_config
0000000000012d95 (__TEXT,__text) external _stackshot_config_create
0000000000012f1a (__TEXT,__text) external _stackshot_config_dealloc
0000000000012ed2 (__TEXT,__text) external _stackshot_config_dealloc_buffer
0000000000012e64 (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
0000000000012e71 (__TEXT,__text) external _stackshot_config_get_stackshot_size
0000000000012e9e (__TEXT,__text) external _stackshot_config_set_delta_timestamp
0000000000012de4 (__TEXT,__text) external _stackshot_config_set_flags
0000000000012eb7 (__TEXT,__text) external _stackshot_config_set_pagetable_mask
0000000000012dd4 (__TEXT,__text) external _stackshot_config_set_pid
0000000000012e86 (__TEXT,__text) external _stackshot_config_set_size_hint
000000000000a604 (__TEXT,__text) external _stat
0000000000002478 (__TEXT,__text) external _stat$INODE64
0000000000002478 (__TEXT,__text) external _stat64
000000000000c8f8 (__TEXT,__text) external _statfs
0000000000003388 (__TEXT,__text) external _statfs$INODE64
0000000000003388 (__TEXT,__text) external _statfs64
000000000003f240 (__DATA,__bss) non-external _supported
000000000000c910 (__TEXT,__text) external _swapon
0000000000000f64 (__TEXT,__text) external _swtch
0000000000000f58 (__TEXT,__text) external _swtch_pri
0000000000005728 (__TEXT,__text) external _symlink
000000000000c928 (__TEXT,__text) external _symlinkat
000000000000c940 (__TEXT,__text) external _sync
0000000000002b64 (__TEXT,__text) external _syscall
0000000000000f70 (__TEXT,__text) external _syscall_thread_switch
0000000000013000 (__TEXT,__text) external _system_get_sfi_window
000000000000c958 (__TEXT,__text) external _system_override
0000000000008aab (__TEXT,__text) external _system_set_sfi_window
000000000003f248 (__DATA,__bss) non-external _system_version_compat_check_path_suffix
000000000003f280 (__DATA,__common) external _system_version_compat_mode
0000000000024a45 (__TEXT,__text) external _task_assign
0000000000024b3d (__TEXT,__text) external _task_assign_default
00000000000233be (__TEXT,__text) external _task_create
0000000000026899 (__TEXT,__text) external _task_create_identity_token
0000000000026abd (__TEXT,__text) external _task_dyld_process_info_notify_deregister
0000000000000d84 (__TEXT,__text) external _task_dyld_process_info_notify_get
00000000000267b0 (__TEXT,__text) external _task_dyld_process_info_notify_register
0000000000000eec (__TEXT,__text) external _task_for_pid
000000000002596e (__TEXT,__text) external _task_generate_corpse
0000000000024c20 (__TEXT,__text) external _task_get_assignment
0000000000025db3 (__TEXT,__text) external _task_get_dyld_image_infos
00000000000245c7 (__TEXT,__text) external _task_get_emulation_vector
00000000000264d9 (__TEXT,__text) external _task_get_exc_guard_behavior
000000000000a1d2 (__TEXT,__text) external _task_get_exception_ports
0000000000026ba0 (__TEXT,__text) external _task_get_exception_ports_info
0000000000025638 (__TEXT,__text) external _task_get_mach_voucher
0000000000001312 (__TEXT,__text) external _task_get_special_port
0000000000024ede (__TEXT,__text) external _task_get_state
000000000002699f (__TEXT,__text) external _task_identity_token_get_task_port
0000000000001477 (__TEXT,__text) external _task_info
000000000002633f (__TEXT,__text) external _task_inspect
000000000000c970 (__TEXT,__text) external _task_inspect_for_pid
0000000000025a74 (__TEXT,__text) external _task_map_corpse_info
0000000000026202 (__TEXT,__text) external _task_map_corpse_info_64
00000000000270c4 (__TEXT,__text) external _task_map_kcdata_object_64
0000000000000ee0 (__TEXT,__text) external _task_name_for_pid
000000000002439d (__TEXT,__text) external _task_policy
00000000000240df (__TEXT,__text) external _task_policy_get
0000000000002e2d (__TEXT,__text) external _task_policy_set
00000000000254f4 (__TEXT,__text) external _task_purgable_info
000000000000c988 (__TEXT,__text) external _task_read_for_pid
00000000000260c9 (__TEXT,__text) external _task_register_dyld_get_process_state
0000000000025baf (__TEXT,__text) external _task_register_dyld_image_infos
0000000000025fda (__TEXT,__text) external _task_register_dyld_set_dyld_state
0000000000025ed9 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
0000000000027201 (__TEXT,__text) external _task_register_hardened_exception_handler
0000000000001024 (__TEXT,__text) external _task_restartable_ranges_register
000000000000325d (__TEXT,__text) external _task_restartable_ranges_synchronize
00000000000238d3 (__TEXT,__text) external _task_resume
0000000000025429 (__TEXT,__text) external _task_resume2
00000000000242b4 (__TEXT,__text) external _task_sample
000000000000fad5 (__TEXT,__text) external _task_self_
0000000000000e2c (__TEXT,__text) external _task_self_trap
0000000000026ee5 (__TEXT,__text) external _task_set_corpse_forking_behavior
00000000000244e0 (__TEXT,__text) external _task_set_emulation
00000000000246f1 (__TEXT,__text) external _task_set_emulation_vector
00000000000265d3 (__TEXT,__text) external _task_set_exc_guard_behavior
00000000000092e6 (__TEXT,__text) external _task_set_exception_ports
00000000000096b7 (__TEXT,__text) external _task_set_info
0000000000025756 (__TEXT,__text) external _task_set_mach_voucher
0000000000025204 (__TEXT,__text) external _task_set_phys_footprint_limit
0000000000024d26 (__TEXT,__text) external _task_set_policy
0000000000018ad8 (__TEXT,__text) external _task_set_port_space
00000000000247f8 (__TEXT,__text) external _task_set_ras_pc
0000000000001e3c (__TEXT,__text) external _task_set_special_port
00000000000250b4 (__TEXT,__text) external _task_set_state
0000000000023808 (__TEXT,__text) external _task_suspend
0000000000025323 (__TEXT,__text) external _task_suspend2
0000000000023c4c (__TEXT,__text) external _task_swap_exception_ports
000000000002583f (__TEXT,__text) external _task_swap_mach_voucher
0000000000023504 (__TEXT,__text) external _task_terminate
0000000000026fc8 (__TEXT,__text) external _task_test_async_upcall_propagation
0000000000026dfc (__TEXT,__text) external _task_test_sync_upcall
000000000000836b (__TEXT,__text) external _task_threads
0000000000025cb1 (__TEXT,__text) external _task_unregister_dyld_image_infos
00000000000248df (__TEXT,__text) external _task_zone_info
0000000000012ff8 (__TEXT,__text) external _terminate_with_payload
0000000000009681 (__TEXT,__text) external _terminate_with_reason
00000000000279de (__TEXT,__text) external _thread_abort
0000000000027aa9 (__TEXT,__text) external _thread_abort_safely
0000000000028ea7 (__TEXT,__text) external _thread_adopt_exception_handler
00000000000282ac (__TEXT,__text) external _thread_assign
0000000000028395 (__TEXT,__text) external _thread_assign_default
0000000000028a12 (__TEXT,__text) external _thread_convert_thread_state
00000000000239a0 (__TEXT,__text) external _thread_create
0000000000023aa6 (__TEXT,__text) external _thread_create_running
0000000000027b74 (__TEXT,__text) external _thread_depress_abort
0000000000003613 (__TEXT,__text) external _thread_destruct_special_reply_port
0000000000028460 (__TEXT,__text) external _thread_get_assignment
0000000000008abd (__TEXT,__text) external _thread_get_exception_ports
0000000000028c4b (__TEXT,__text) external _thread_get_exception_ports_info
00000000000286dc (__TEXT,__text) external _thread_get_mach_voucher
0000000000011ccf (__TEXT,__text) external _thread_get_register_pointer_values
0000000000027c3f (__TEXT,__text) external _thread_get_special_port
0000000000000f28 (__TEXT,__text) external _thread_get_special_reply_port
0000000000008486 (__TEXT,__text) external _thread_get_state
0000000000006d6d (__TEXT,__text) external _thread_info
0000000000005008 (__TEXT,__text) external _thread_policy
000000000000868b (__TEXT,__text) external _thread_policy_get
0000000000005d79 (__TEXT,__text) external _thread_policy_set
0000000000027913 (__TEXT,__text) external _thread_resume
00000000000280e0 (__TEXT,__text) external _thread_sample
0000000000000e20 (__TEXT,__text) external _thread_self_trap
000000000000c9a0 (__TEXT,__text) external _thread_selfcounts
0000000000005f75 (__TEXT,__text) external _thread_set_exception_ports
00000000000287fa (__TEXT,__text) external _thread_set_mach_voucher
0000000000011c7e (__TEXT,__text) external _thread_set_policy
0000000000027d5d (__TEXT,__text) external _thread_set_special_port
00000000000276f8 (__TEXT,__text) external _thread_set_state
0000000000027848 (__TEXT,__text) external _thread_suspend
0000000000027e57 (__TEXT,__text) external _thread_swap_exception_ports
00000000000288e3 (__TEXT,__text) external _thread_swap_mach_voucher
00000000000053ee (__TEXT,__text) external _thread_switch
0000000000027305 (__TEXT,__text) external _thread_terminate
000000000001a5b9 (__TEXT,__text) external _thread_wire
000000000002aa70 (__TEXT,__const) non-external _times_now
000000000000c9b8 (__TEXT,__text) external _tracker_action
000000000000c9d0 (__TEXT,__text) external _truncate
00000000000053c0 (__TEXT,__text) external _umask
000000000000c9e8 (__TEXT,__text) external _undelete
000000000000ca00 (__TEXT,__text) external _ungraftdmg
0000000000004000 (__TEXT,__text) external _unlink
0000000000008d27 (__TEXT,__text) external _unlinkat
000000000000af00 (__TEXT,__text) external _unmount
000000000000ca18 (__TEXT,__text) external _usrctl
0000000000011bac (__TEXT,__text) external _utimensat
00000000000053d8 (__TEXT,__text) external _utimes
000000000000ca30 (__TEXT,__text) external _vfs_purge
0000000000002a66 (__TEXT,__text) external _vm_allocate
000000000001a6b1 (__TEXT,__text) external _vm_allocate_cpm
0000000000029528 (__TEXT,__text) external _vm_behavior_set
0000000000003511 (__TEXT,__text) external _vm_copy
0000000000002b21 (__TEXT,__text) external _vm_deallocate
0000000000028fa7 (__TEXT,__text) external _vm_inherit
0000000000040078 (__DATA_DIRTY,__common) external _vm_kernel_page_mask
0000000000040080 (__DATA_DIRTY,__common) external _vm_kernel_page_shift
0000000000040070 (__DATA_DIRTY,__common) external _vm_kernel_page_size
0000000000029615 (__TEXT,__text) external _vm_machine_attribute
000000000000ac39 (__TEXT,__text) external _vm_map
0000000000029744 (__TEXT,__text) external _vm_map_page_query
000000000002943d (__TEXT,__text) external _vm_msync
0000000000040088 (__DATA_DIRTY,__common) external _vm_page_mask
0000000000040090 (__DATA_DIRTY,__common) external _vm_page_shift
00000000000400a8 (__DATA_DIRTY,__common) external _vm_page_size
000000000000ca48 (__TEXT,__text) external _vm_pressure_monitor
0000000000004932 (__TEXT,__text) external _vm_protect
0000000000003ba7 (__TEXT,__text) external _vm_purgable_control
00000000000088b2 (__TEXT,__text) external _vm_read
0000000000029093 (__TEXT,__text) external _vm_read_list
0000000000029314 (__TEXT,__text) external _vm_read_overwrite
000000000000781c (__TEXT,__text) external _vm_region_64
0000000000007a0f (__TEXT,__text) external _vm_region_recurse_64
0000000000002c34 (__TEXT,__text) external _vm_remap
0000000000018e25 (__TEXT,__text) external _vm_remap_new
000000000001a4b9 (__TEXT,__text) external _vm_wire
0000000000029211 (__TEXT,__text) external _vm_write
0000000000003999 (__TEXT,__text) external _voucher_mach_msg_adopt
0000000000001dde (__TEXT,__text) external _voucher_mach_msg_clear
0000000000003983 (__TEXT,__text) external _voucher_mach_msg_revert
0000000000001a4d (__TEXT,__text) external _voucher_mach_msg_set
000000000003f250 (__DATA,__common) external _vprintf_stderr_func
000000000000ae88 (__TEXT,__text) external _wait4
000000000000ca60 (__TEXT,__text) external _waitid
000000000000bf20 (__TEXT,__text) external _waitid$NOCANCEL
0000000000017a84 (__TEXT,__text) external _work_interval_copy_port
00000000000080c7 (__TEXT,__text) external _work_interval_create
000000000001791e (__TEXT,__text) external _work_interval_destroy
0000000000017678 (__TEXT,__text) external _work_interval_get_flags_from_port
00000000000081bd (__TEXT,__text) external _work_interval_instance_alloc
0000000000017790 (__TEXT,__text) external _work_interval_instance_clear
00000000000178b6 (__TEXT,__text) external _work_interval_instance_finish
00000000000177a4 (__TEXT,__text) external _work_interval_instance_free
00000000000177f8 (__TEXT,__text) external _work_interval_instance_get_complexity
00000000000177da (__TEXT,__text) external _work_interval_instance_get_deadline
00000000000177e9 (__TEXT,__text) external _work_interval_instance_get_finish
0000000000008217 (__TEXT,__text) external _work_interval_instance_get_id
00000000000177cb (__TEXT,__text) external _work_interval_instance_get_start
0000000000017808 (__TEXT,__text) external _work_interval_instance_get_telemetry_data
00000000000177c6 (__TEXT,__text) external _work_interval_instance_set_complexity
00000000000177bc (__TEXT,__text) external _work_interval_instance_set_deadline
00000000000177c1 (__TEXT,__text) external _work_interval_instance_set_finish
00000000000177b7 (__TEXT,__text) external _work_interval_instance_set_start
0000000000017824 (__TEXT,__text) external _work_interval_instance_start
0000000000017869 (__TEXT,__text) external _work_interval_instance_update
00000000000179f6 (__TEXT,__text) external _work_interval_join
0000000000017a3d (__TEXT,__text) external _work_interval_join_port
0000000000017a74 (__TEXT,__text) external _work_interval_leave
00000000000176e3 (__TEXT,__text) external _work_interval_notify
0000000000017752 (__TEXT,__text) external _work_interval_notify_simple
0000000000003d10 (__TEXT,__text) external _write
0000000000003fa0 (__TEXT,__text) external _write$NOCANCEL
0000000000003f70 (__TEXT,__text) external _writev
000000000000bf38 (__TEXT,__text) external _writev$NOCANCEL

/System/Cryptexes/OS/usr/lib/system/libsystem_kernel.dylib (for architecture arm64):
00000000000401b8 (__DATA,__data) external _NDR_record
000000000001db3c (__TEXT,__text) non-external __Xexception_raise
000000000001dc04 (__TEXT,__text) non-external __Xexception_raise_state
000000000001dd14 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000000000d320 (__TEXT,__text) external _____sigwait_nocancel
0000000000031f58 (__TEXT,__const) external ____kernelVersionNumber
0000000000031f20 (__TEXT,__const) external ____kernelVersionString
000000000000d348 (__TEXT,__text) external ___abort_with_payload
00000000000091d4 (__TEXT,__text) external ___accept
000000000000d370 (__TEXT,__text) external ___accept_nocancel
000000000000d398 (__TEXT,__text) external ___access_extended
000000000000d3c0 (__TEXT,__text) external ___aio_suspend_nocancel
00000000000086a8 (__TEXT,__text) external ___bind
0000000000004d54 (__TEXT,__text) external ___bsdthread_create
0000000000002f04 (__TEXT,__text) external ___bsdthread_ctl
0000000000006bf0 (__TEXT,__text) external ___bsdthread_register
0000000000003f04 (__TEXT,__text) external ___bsdthread_terminate
000000000000cbac (__TEXT,__text) external ___carbon_delete
000000000000d3e8 (__TEXT,__text) external ___channel_get_info
000000000000d410 (__TEXT,__text) external ___channel_get_opt
000000000000d438 (__TEXT,__text) external ___channel_open
000000000000d460 (__TEXT,__text) external ___channel_set_opt
000000000000d488 (__TEXT,__text) external ___channel_sync
0000000000004cb4 (__TEXT,__text) external ___chmod
0000000000006730 (__TEXT,__text) external ___chmod_extended
0000000000002a64 (__TEXT,__text) external ___close_nocancel
000000000000d4b0 (__TEXT,__text) external ___coalition
000000000000d4d8 (__TEXT,__text) external ___coalition_info
000000000000d500 (__TEXT,__text) external ___coalition_ledger
0000000000003038 (__TEXT,__text) external ___commpage_gettimeofday
0000000000003040 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000000005438 (__TEXT,__text) external ___connect
00000000000052c0 (__TEXT,__text) external ___connect_nocancel
000000000000d528 (__TEXT,__text) external ___copyfile
000000000000d550 (__TEXT,__text) external ___crossarch_trap
0000000000001db0 (__TEXT,__text) external ___csrctl
0000000000016300 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000000000d578 (__TEXT,__text) external ___debug_syscall_reject
