00007ffb1c372626 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb1c361800 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
00007ffb1c35a290 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
00007ffb1c3619d0 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
00007ffb1c359020 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
00007ffb1c357c50 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
00007ffb1c378ce0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
00007ffb1c379da0 (__TEXT,__const) non-external ___unnamed_2
00007ffb1c3797d8 (__TEXT,__const) non-external ___unnamed_34
00007ffb1c378858 (__TEXT,__const) non-external ___unnamed_9
00007ffb1c371350 (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
00007ffb42b74e50 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
00007ffb42b74e40 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
00007ffb42b74e28 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftIOKit (from libswiftIOKit)
00007ffb42b74e58 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftIOKit_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftObjectiveC (from libswiftObjectiveC)
00007ffb42b74e48 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftObjectiveC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftXPC (from libswiftXPC)
00007ffb42b74e30 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftXPC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_Builtin_float (from libswift_Builtin_float)
00007ffb42b74e38 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_Builtin_float_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftos (from libswiftos)
00007ffb42b74e60 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftos_$_CBORLibrary
00007ffb1c361c4d (__TEXT,__text) non-external __swift_stdlib_malloc_size
                 (undefined) external __swift_stdlib_reportUnimplementedInitializer (from libswiftCore)
00007ffb1c37ab6e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOSHAASQ
00007ffb1c37ab7e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs23CustomStringConvertible
00007ffb1c37ab76 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs28CustomDebugStringConvertible
00007ffb1c37abdc (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC20DateEncodingStrategyOSHAASQ
00007ffb1c37abd4 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyOSHAASQ
00007ffb1c37abb2 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVSHAASQ
00007ffb1c37abc2 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs23CustomStringConvertible
00007ffb1c37abba (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs28CustomDebugStringConvertible
00007ffb1c37ad06 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLVyxGs013KeyedEncodingD8ProtocolAA0C0sAFP_s06CodingC0
00007ffb1c37aa6a (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLVyxGs0c8DecodingD8ProtocolAA3KeysAFP_s06CodingO0
00007ffb1c37ab04 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance So4CBORC11CBORLibraryE9InitErrorOSHACSQ
00007ffb1c361850 (__TEXT,__text) non-external (was a private external) _get_enum_tag_for_layout_string 10Foundation4DataV15_RepresentationO
00007ffb1c369940 (__TEXT,__text) non-external (was a private external) _get_enum_tag_for_layout_string 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
00007ffb1c369a70 (__TEXT,__text) non-external (was a private external) _get_enum_tag_for_layout_string 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC9ReferenceO
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mktime (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_allocWithZone (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_self (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _strptime_l (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _swift_allocBox (from libswiftCore)
                 (undefined) external _swift_allocError (from libswiftCore)
                 (undefined) external _swift_allocObject (from libswiftCore)
                 (undefined) external _swift_arrayInitWithCopy (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeBackToFront (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeFrontToBack (from libswiftCore)
                 (undefined) external _swift_beginAccess (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRelease (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain_n (from libswiftCore)
                 (undefined) external _swift_checkMetadataState (from libswiftCore)
                 (undefined) external _swift_conformsToProtocol2 (from libswiftCore)
                 (undefined) external _swift_cvw_allocateGenericValueMetadataWithLayoutString (from libswiftCore)
                 (undefined) external _swift_cvw_assignWithCopy (from libswiftCore)
                 (undefined) external _swift_cvw_assignWithTake (from libswiftCore)
                 (undefined) external _swift_cvw_destroy (from libswiftCore)
                 (undefined) external _swift_cvw_enumFn_getEnumTag (from libswiftCore)
                 (undefined) external _swift_cvw_initStructMetadataWithLayoutString (from libswiftCore)
                 (undefined) external _swift_cvw_initWithCopy (from libswiftCore)
                 (undefined) external _swift_cvw_initWithTake (from libswiftCore)
                 (undefined) external _swift_cvw_initializeBufferWithCopyOfBuffer (from libswiftCore)
                 (undefined) external _swift_cvw_instantiateLayoutString (from libswiftCore)
                 (undefined) external _swift_deallocClassInstance (from libswiftCore)
                 (undefined) external _swift_deallocObject (from libswiftCore)
                 (undefined) external _swift_deletedMethodError (from libswiftCore)
                 (undefined) external _swift_dynamicCast (from libswiftCore)
                 (undefined) external _swift_dynamicCastClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastMetatype (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClassUnconditional (from libswiftCore)
                 (undefined) external _swift_endAccess (from libswiftCore)
                 (undefined) external _swift_getDynamicType (from libswiftCore)
                 (undefined) external _swift_getForeignTypeMetadata (from libswiftCore)
                 (undefined) external _swift_getGenericMetadata (from libswiftCore)
                 (undefined) external _swift_getMetatypeMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassFromMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassMetadata (from libswiftCore)
                 (undefined) external _swift_getObjectType (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContext2 (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContextInMetadataState2 (from libswiftCore)
                 (undefined) external _swift_getWitnessTable (from libswiftCore)
                 (undefined) external _swift_initStackObject (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_bridgeObject (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_native (from libswiftCore)
                 (undefined) external _swift_lookUpClassMethod (from libswiftCore)
                 (undefined) external _swift_makeBoxUnique (from libswiftCore)
                 (undefined) external _swift_once (from libswiftCore)
                 (undefined) external _swift_release (from libswiftCore)
                 (undefined) external _swift_release_n (from libswiftCore)
                 (undefined) external _swift_retain (from libswiftCore)
                 (undefined) external _swift_retain_n (from libswiftCore)
                 (undefined) external _swift_setDeallocating (from libswiftCore)
                 (undefined) external _swift_slowAlloc (from libswiftCore)
                 (undefined) external _swift_slowDealloc (from libswiftCore)
                 (undefined) external _swift_unknownObjectRelease (from libswiftCore)
                 (undefined) external _swift_unknownObjectRetain (from libswiftCore)
                 (undefined) external _swift_weakAssign (from libswiftCore)
                 (undefined) external _swift_weakDestroy (from libswiftCore)
                 (undefined) external _swift_weakInit (from libswiftCore)
                 (undefined) external _swift_weakLoadStrong (from libswiftCore)
                 (undefined) external _swift_willThrow (from libswiftCore)
00007ffb1c37ac30 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary27ExplicitKeyOrderedEncodableP
00007ffb1c37a912 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary30_CBORDictionaryDecodableMarker33_9AD5FE8BA51478D9E31399B9411E4CF6LLP
00007ffb1c37a8f4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelDecoderP
00007ffb1c37abea (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelEncoderP
00007ffb1c37aa60 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $sSY
00007ffb1c37aa72 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedDecodingContainerProtocolP
00007ffb1c37ad0e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedEncodingContainerProtocolP
00007ffb1c37aa40 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCABG
00007ffb1c37ac1c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCyXlG
00007ffb1c37a9da (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____AAG s11AnyHashableV
00007ffb1c37a9ce (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____ypG s11AnyHashableV
00007ffb1c37a968 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____ypG s17CodingUserInfoKeyV
00007ffb1c37acce (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SE_p
00007ffb1c37ab38 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SS
00007ffb1c37a9f8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SSSg
00007ffb1c37a986 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SaySo4CBORCG
00007ffb1c37a9e6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Say_____G s11AnyHashableV
00007ffb1c37a97a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Say______pG s9CodingKeyP
00007ffb1c37ac9e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SayyXlG
00007ffb1c37ac2c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Sb
00007ffb1c37aa5c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Si
00007ffb1c37abac (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SiSg
00007ffb1c37ab22 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So10COSE_Sign1C
00007ffb1c37acec (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC
00007ffb1c37aca6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC_Sit
00007ffb1c37ab12 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So4CBORC
00007ffb1c37aada (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So4CBORC_ABt
00007ffb1c37ab56 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So7COSEKeyC
00007ffb1c37ac08 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So8NSObjectC
00007ffb1c37ab42 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So9COSE_Mac0C
00007ffb1c37aa66 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Su
00007ffb1c37a8e8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 10Foundation4DataV
00007ffb1c37ab1c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V
00007ffb1c37ab32 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV
00007ffb1c37ab68 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLO
00007ffb1c37a8ee (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBORDecoderC
00007ffb1c37abe4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC
00007ffb1c37ac64 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC20DateEncodingStrategyO
00007ffb1c37ac5e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
00007ffb1c37a974 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBORDecoder33_9AD5FE8BA51478D9E31399B9411E4CF6LLC
00007ffb1c37ac7c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBOREncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
00007ffb1c37aa98 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary13CBORCodingKeyV
00007ffb1c37ac16 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary15_CBORDictionary33_7693559CB90E2482CACD4C8EAD5C6230LLC
00007ffb1c37ab0c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary18CBORCodableWrapperV
00007ffb1c37ac82 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary20_CBOREncodingStorage33_7693559CB90E2482CACD4C8EAD5C6230LLV
00007ffb1c37ac92 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
00007ffb1c37ac98 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC9ReferenceO
00007ffb1c37ad00 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
00007ffb1c37aa3a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
00007ffb1c37a9a8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBORDecoderUnkeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
00007ffb1c37ace6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBOREncoderUnkeyedContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
00007ffb1c37ab50 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary7COSEKeyV
00007ffb1c37ab3c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary9COSE_Mac0V
00007ffb1c37aa50 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So20COSEKeyOperationTypeV
00007ffb1c37ad34 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So4CBORC11CBORLibraryE07EncodedA0V
00007ffb1c37ad3a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So4CBORC11CBORLibraryE20EncodedCBORTag24DataV
00007ffb1c37ab62 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So4CBORC11CBORLibraryE9InitErrorO
00007ffb1c37aa56 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So8CBORTypeV
00007ffb1c37ac6a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____8fallback_t 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
00007ffb1c37a9f0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____Sg 10Foundation4DataV
00007ffb1c37a9c6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____Sg 10Foundation4DateV
00007ffb1c37aa18 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____Sg s17CodingUserInfoKeyV
00007ffb1c37ac88 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____SgXw 11CBORLibrary11CBOREncoderC
00007ffb1c37acbe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______So4CBORCt 11CBORLibrary15_CBORDictionary33_7693559CB90E2482CACD4C8EAD5C6230LLC
00007ffb1c37acd4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______p 11CBORLibrary27ExplicitKeyOrderedEncodableP
00007ffb1c37aaae (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______p s9CodingKeyP
00007ffb1c37acdc (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______pSg 11CBORLibrary27ExplicitKeyOrderedEncodableP
00007ffb1c37aab6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______p______t s9CodingKeyP s13DecodingErrorO7ContextV
00007ffb1c37aa0e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______ypt s11AnyHashableV
00007ffb1c37aa20 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______ypt s17CodingUserInfoKeyV
00007ffb1c37ab94 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ySiG s23_ContiguousArrayStorageC
00007ffb1c37a9ae (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ySo4CBORCACG s18_DictionaryStorageC
00007ffb1c37aac6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ySo4CBORC_ACtG s23_ContiguousArrayStorageC
00007ffb1c37a994 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ySo4CBORCyXlG s18_DictionaryStorageC
00007ffb1c37aaf6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y_____G s22KeyedDecodingContainerV 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLO
00007ffb1c37aae8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y_____G s22KeyedEncodingContainerV 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLO
00007ffb1c37ab86 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y_____G s23_ContiguousArrayStorageC So20COSEKeyOperationTypeV
00007ffb1c37ab9e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y_____G s23_ContiguousArrayStorageC s5UInt8V
00007ffb1c37aa9e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y______pG s23_ContiguousArrayStorageC s9CodingKeyP
00007ffb1c37a9fe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y_____ypG s18_DictionaryStorageC s11AnyHashableV
00007ffb1c37aa2a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y_____ypG s18_DictionaryStorageC s17CodingUserInfoKeyV
00007ffb1c37a8e4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic q_
00007ffb1c37a8e2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic x
00007ffb1c37a9c0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ypSg
00007ffb1c37a8d4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ypXmT______t s13DecodingErrorO7ContextV
00007ffb1c37abca (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic yp______t s13EncodingErrorO7ContextV
                 (undefined) external _timegm (from libSystem)
00007ffb1c378f98 (__TEXT,__const) non-external _type_layout_string 11CBORLibrary10COSE_Sign1V
00007ffb1c378fc8 (__TEXT,__const) non-external _type_layout_string 11CBORLibrary10COSE_Sign1V8X509HashV
00007ffb1c3794d8 (__TEXT,__const) non-external _type_layout_string 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
00007ffb1c379210 (__TEXT,__const) non-external _type_layout_string 11CBORLibrary13CBORCodingKeyV
00007ffb1c378f60 (__TEXT,__const) non-external _type_layout_string 11CBORLibrary18CBORCodableWrapperV
00007ffb1c379650 (__TEXT,__const) non-external _type_layout_string 11CBORLibrary20_CBOREncodingStorage33_7693559CB90E2482CACD4C8EAD5C6230LLV
00007ffb1c3795c8 (__TEXT,__const) non-external _type_layout_string 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC9ReferenceO
00007ffb1c3788a8 (__TEXT,__const) non-external _type_layout_string 11CBORLibrary28_CBORDecoderUnkeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
00007ffb1c379828 (__TEXT,__const) non-external _type_layout_string 11CBORLibrary28_CBOREncoderUnkeyedContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
00007ffb1c379098 (__TEXT,__const) non-external _type_layout_string 11CBORLibrary7COSEKeyV
00007ffb1c379068 (__TEXT,__const) non-external _type_layout_string 11CBORLibrary9COSE_Mac0V
00007ffb1c379d18 (__TEXT,__const) non-external _type_layout_string SeRzSERzlSo4CBORC11CBORLibraryE20EncodedCBORTag24DataVy_xG
00007ffb1c3797a8 (__TEXT,__const) non-external _type_layout_string s9CodingKeyRzl11CBORLibrary012_CBOREncoderB9Container33_7693559CB90E2482CACD4C8EAD5C6230LLVyxG
00007ffb1c378828 (__TEXT,__const) non-external _type_layout_string s9CodingKeyRzl11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLVyxG
