000000018a5d0040 (__TEXT,__const) non-external _A1_Table
00000001eeea0be0 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_16Q12to16U_vtbl
00000001eeea0b80 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_16Q12to8_vtbl
00000001eeea0c40 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_16Q12toF_vtbl
00000001eeea0940 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_16UToF_vtbl
00000001eeea0880 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_16UToPlanar8_vtbl
00000001eeea0ac0 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_16Uto16Q12_vtbl
00000001eeea0a60 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_8to16Q12_vtbl
00000001eeea08e0 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_ARGB16UToARGB8888_vtbl
00000001eeea0760 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_ARGB8888ToARGB16U_vtbl
00000001eeea07c0 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_ARGB8888ToRGB16U_vtbl
00000001eeea0a00 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_FTo16U_vtbl
00000001eeea0b20 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_Fto16Q12_vtbl
00000001eeea0700 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_Planar8To16U_vtbl
00000001eeea0820 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_Planar8toPlanarF_vtbl
00000001eeea09a0 (__AUTH_CONST,__const) non-external _CreatePass_ConvertToDestPrecision.Convert_PlanarFtoPlanar8_vtbl
000000018a3fdf34 (__TEXT,__text) non-external _CreatePass_Copy
00000001eeea99a0 (__AUTH_CONST,__const) non-external _CreatePass_Copy.Copy_vtbl
000000018a3f6da0 (__TEXT,__text) non-external (was a private external) _CreatePass_DestDecode
00000001eee9fcd0 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.Invert_16U_vtbl
00000001eee9fc70 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.Invert_8_vtbl
00000001eee9fd30 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.Invert_F_vtbl
00000001eee9feb0 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.LinearTransform_16Q12to8_vtbl
00000001eee9fdf0 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.LinearTransform_16U_vtbl
00000001eeea0030 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.LinearTransform_16Uto8_vtbl
00000001eeea00f0 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.LinearTransform_16UtoF_vtbl
00000001eee9fd90 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.LinearTransform_8_vtbl
00000001eee9ff10 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.LinearTransform_8to16U_vtbl
00000001eee9ff70 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.LinearTransform_8toF_vtbl
00000001eee9fe50 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.LinearTransform_F_vtbl
00000001eeea0090 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.LinearTransform_Fto16U_vtbl
00000001eee9ffd0 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode.LinearTransform_Fto8_vtbl
000000018a3f7a40 (__TEXT,__text) non-external (was a private external) _CreatePass_DestDecode_version1
00000001eeea0270 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode_version1.LinearTransform_16Q12to8_vtbl
00000001eeea01b0 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode_version1.LinearTransform_16U_vtbl
00000001eeea03f0 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode_version1.LinearTransform_16Uto8_vtbl
00000001eeea04b0 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode_version1.LinearTransform_16UtoF_vtbl
00000001eeea0150 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode_version1.LinearTransform_8_vtbl
00000001eeea02d0 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode_version1.LinearTransform_8to16U_vtbl
00000001eeea0330 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode_version1.LinearTransform_8toF_vtbl
00000001eeea0210 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode_version1.LinearTransform_F_vtbl
00000001eeea0450 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode_version1.LinearTransform_Fto16U_vtbl
00000001eeea0390 (__AUTH_CONST,__const) non-external _CreatePass_DestDecode_version1.LinearTransform_Fto8_vtbl
000000018a400db4 (__TEXT,__text) non-external _CreatePass_FTo10Bit
00000001eeea23e0 (__AUTH_CONST,__const) non-external _CreatePass_FTo10Bit.Convert_RGBAFFFFtoRGB101010_vtbl
00000001eeea2440 (__AUTH_CONST,__const) non-external _CreatePass_FTo10Bit.Convert_RGBFFFtoRGB101010_vtbl
000000018a40fd90 (__TEXT,__text) non-external _CreatePass_Flatten
00000001eeea7720 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_ARGB16Q12_vtbl
00000001eeea7660 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_ARGB16U_vtbl
00000001eeea7480 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_ARGB8888ToRGB888_vtbl
00000001eeea7b40 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_ARGB8888_vtbl
00000001eeea7a80 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_ARGBFFFFToRGBFFF_vtbl
00000001eeea79c0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_ARGBFFFF_vtbl
00000001eeea73c0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_BGRA8888ToRGB888_vtbl
00000001eeea77e0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_Chunky16AlphaFirst_vtbl
00000001eeea7780 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_Chunky16AlphaLast_vtbl
00000001eeea78a0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_Chunky16Q12AlphaFirst_vtbl
00000001eeea7840 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_Chunky16Q12AlphaLast_vtbl
00000001eeea75a0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_Chunky8AlphaFirst_vtbl
00000001eeea7540 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_Chunky8AlphaLast_vtbl
00000001eeea7900 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_ChunkyFAlphaFirst_vtbl
00000001eeea7960 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_ChunkyFAlphaLast_vtbl
00000001eeea76c0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_RGBA16Q12_vtbl
00000001eeea7600 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_RGBA16U_vtbl
00000001eeea7420 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_RGBA8888ToRGB888_vtbl
00000001eeea74e0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_RGBA8888_vtbl
00000001eeea7ae0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_RGBAFFFFToRGBFFF_vtbl
00000001eeea7a20 (__AUTH_CONST,__const) non-external _CreatePass_Flatten.Flatten_RGBAFFFF_vtbl
00000001eeea4c00 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_ARGB16Q12_vtbl
00000001eeea4b40 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_ARGB16U_vtbl
00000001eeea4960 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_ARGB8888ToRGB888_vtbl
00000001eeea5020 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_ARGB8888_vtbl
00000001eeea4f60 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_ARGBFFFFToRGBFFF_vtbl
00000001eeea4ea0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_ARGBFFFF_vtbl
00000001eeea48a0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_BGRA8888ToRGB888_vtbl
00000001eeea4cc0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_Chunky16AlphaFirst_vtbl
00000001eeea4c60 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_Chunky16AlphaLast_vtbl
00000001eeea4d80 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_Chunky16Q12AlphaFirst_vtbl
00000001eeea4d20 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_Chunky16Q12AlphaLast_vtbl
00000001eeea4a80 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_Chunky8AlphaFirst_vtbl
00000001eeea4a20 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_Chunky8AlphaLast_vtbl
00000001eeea4de0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_ChunkyFAlphaFirst_vtbl
00000001eeea4e40 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_ChunkyFAlphaLast_vtbl
00000001eeea4ba0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_RGBA16Q12_vtbl
00000001eeea4ae0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_RGBA16U_vtbl
00000001eeea4900 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_RGBA8888ToRGB888_vtbl
00000001eeea49c0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_RGBA8888_vtbl
00000001eeea4fc0 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_RGBAFFFFToRGBFFF_vtbl
00000001eeea4f00 (__AUTH_CONST,__const) non-external _CreatePass_Flatten_version1.Flatten_RGBAFFFF_vtbl
000000018a40f5e0 (__TEXT,__text) non-external _CreatePass_PlanarToChunky
00000001eeea6d60 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.Planar16Q12to8_vtbl
00000001eeea6ca0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.Planar16Q12toARGB8888_vtbl
00000001eeea6dc0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.Planar16Q12toF_vtbl
00000001eeea6d00 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.Planar16Q12toRGB888_vtbl
00000001eeea6f40 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.Planar16ToChunky_vtbl
00000001eeea6ee0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.Planar16UTo16U_vtbl
00000001eeea6e20 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.Planar16UtoARGB16U_vtbl
00000001eeea6e80 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.Planar16UtoRGB16U_vtbl
00000001eeea6fa0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.Planar8ToChunky_vtbl
00000001eeea7240 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.PlanarFTo16Q12_vtbl
00000001eeea71e0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.PlanarFTo16U_vtbl
00000001eeea7180 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.PlanarFTo8_vtbl
00000001eeea7120 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.PlanarFToARGB8888_vtbl
00000001eeea70c0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.PlanarFToChunky_vtbl
00000001eeea7360 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.PlanarFToF_vtbl
00000001eeea7300 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.PlanarFToRGBXFFFF_vtbl
00000001eeea72a0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.PlanarFToXRGBFFFF_vtbl
00000001eeea7000 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.PlanarFtoARGBFFFF_vtbl
00000001eeea7060 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky.PlanarFtoRGBFFF_vtbl
000000018a40e680 (__TEXT,__text) non-external _CreatePass_PlanarToChunky_version1
00000001eeea6640 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.Planar16Q12to8_vtbl
00000001eeea6580 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.Planar16Q12toARGB8888_vtbl
00000001eeea66a0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.Planar16Q12toF_vtbl
00000001eeea65e0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.Planar16Q12toRGB888_vtbl
00000001eeea6820 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.Planar16ToChunky_vtbl
00000001eeea67c0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.Planar16UTo16U_vtbl
00000001eeea6700 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.Planar16UtoARGB16U_vtbl
00000001eeea6760 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.Planar16UtoRGB16U_vtbl
00000001eeea6880 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.Planar8ToChunky_vtbl
00000001eeea6b20 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.PlanarFTo16Q12_vtbl
00000001eeea6ac0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.PlanarFTo16U_vtbl
00000001eeea6a60 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.PlanarFTo8_vtbl
00000001eeea6a00 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.PlanarFToARGB8888_vtbl
00000001eeea69a0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.PlanarFToChunky_vtbl
00000001eeea6c40 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.PlanarFToF_vtbl
00000001eeea6be0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.PlanarFToRGBXFFFF_vtbl
00000001eeea6b80 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.PlanarFToXRGBFFFF_vtbl
00000001eeea68e0 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.PlanarFtoARGBFFFF_vtbl
00000001eeea6940 (__AUTH_CONST,__const) non-external _CreatePass_PlanarToChunky_version1.PlanarFtoRGBFFF_vtbl
000000018a40bc4c (__TEXT,__text) non-external _CreatePass_Premultiply
00000001eeea58c0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_ARGB16Q12_vtbl
00000001eeea5740 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_ARGB16U_vtbl
00000001eeea55c0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_ARGB8888_vtbl
00000001eeea5a40 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_ARGBFFFF_vtbl
00000001eeea5800 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_Chunky16AlphaFirst_vtbl
00000001eeea57a0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_Chunky16AlphaLast_vtbl
00000001eeea5980 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_Chunky16Q12AlphaFirst_vtbl
00000001eeea5920 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_Chunky16Q12AlphaLast_vtbl
00000001eeea5680 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_Chunky8AlphaFirst_vtbl
00000001eeea5620 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_Chunky8AlphaLast_vtbl
00000001eeea5aa0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_ChunkyFAlphaFirst_vtbl
00000001eeea5b00 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_ChunkyFAlphaLast_vtbl
00000001eeea5860 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_RGBA16Q12_vtbl
00000001eeea56e0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_RGBA16U_vtbl
00000001eeea5560 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_RGBA8888_vtbl
00000001eeea59e0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply.PremultiplyData_RGBAFFFF_vtbl
00000001eeea4600 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_ARGB16Q12_vtbl
00000001eeea4480 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_ARGB16U_vtbl
00000001eeea4300 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_ARGB8888_vtbl
00000001eeea4780 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_ARGBFFFF_vtbl
00000001eeea4540 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_Chunky16AlphaFirst_vtbl
00000001eeea44e0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_Chunky16AlphaLast_vtbl
00000001eeea46c0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_Chunky16Q12AlphaFirst_vtbl
00000001eeea4660 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_Chunky16Q12AlphaLast_vtbl
00000001eeea43c0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_Chunky8AlphaFirst_vtbl
00000001eeea4360 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_Chunky8AlphaLast_vtbl
00000001eeea47e0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_ChunkyFAlphaFirst_vtbl
00000001eeea4840 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_ChunkyFAlphaLast_vtbl
00000001eeea45a0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_RGBA16Q12_vtbl
00000001eeea4420 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_RGBA16U_vtbl
00000001eeea42a0 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_RGBA8888_vtbl
00000001eeea4720 (__AUTH_CONST,__const) non-external _CreatePass_Premultiply_version1.PremultiplyData_RGBAFFFF_vtbl
000000018a40bf18 (__TEXT,__text) non-external _CreatePass_RemoveAlpha
00000001eeea54a0 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.Convert_ARGB16UtoRGB16U_vtbl
00000001eeea52c0 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.Convert_ARGB8888toRGB888_vtbl
00000001eeea5140 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.Convert_ARGBFFFFtoRGBFFF_vtbl
00000001eeea5380 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.Convert_BGRA8888toRGB888_vtbl
00000001eeea5500 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.Convert_RGBA16UtoRGB16U_vtbl
00000001eeea5320 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.Convert_RGBA8888toRGB888_vtbl
00000001eeea51a0 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.Convert_RGBAFFFFtoRGBFFF_vtbl
00000001eeea53e0 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.RemoveAlpha_Chunky16UAlphaFirst_vtbl
00000001eeea5440 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.RemoveAlpha_Chunky16UAlphaLast_vtbl
00000001eeea5200 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.RemoveAlpha_Chunky8AlphaFirst_vtbl
00000001eeea5260 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.RemoveAlpha_Chunky8AlphaLast_vtbl
00000001eeea5080 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.RemoveAlpha_ChunkyFAlphaFirst_vtbl
00000001eeea50e0 (__AUTH_CONST,__const) non-external _CreatePass_RemoveAlpha.RemoveAlpha_ChunkyFAlphaLast_vtbl
000000018a3f47d8 (__TEXT,__text) non-external (was a private external) _CreatePass_SrcDecode
00000001eee9f3d0 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode.Invert_16U_vtbl
00000001eee9f370 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode.Invert_8_vtbl
00000001eee9f430 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode.Invert_F_vtbl
00000001eee9f4f0 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode.LinearTransform_16U_vtbl
00000001eee9f670 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode.LinearTransform_16UtoF_vtbl
00000001eee9f490 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode.LinearTransform_8_vtbl
00000001eee9f5b0 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode.LinearTransform_8to16Q12_vtbl
00000001eee9f610 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode.LinearTransform_8toF_vtbl
00000001eee9f550 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode.LinearTransform_F_vtbl
000000018a3f5a1c (__TEXT,__text) non-external (was a private external) _CreatePass_SrcDecode_version1
00000001eee9f730 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode_version1.LinearTransform_16U_vtbl
00000001eee9f8b0 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode_version1.LinearTransform_16UtoF_vtbl
00000001eee9f6d0 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode_version1.LinearTransform_8_vtbl
00000001eee9f7f0 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode_version1.LinearTransform_8to16Q12_vtbl
00000001eee9f850 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode_version1.LinearTransform_8toF_vtbl
00000001eee9f790 (__AUTH_CONST,__const) non-external _CreatePass_SrcDecode_version1.LinearTransform_F_vtbl
000000018a3f61ec (__TEXT,__text) non-external (was a private external) _CreatePass_SrcTransDecode
00000001eee9f970 (__AUTH_CONST,__const) non-external _CreatePass_SrcTransDecode.Invert_16U_vtbl
00000001eee9f910 (__AUTH_CONST,__const) non-external _CreatePass_SrcTransDecode.Invert_8_vtbl
00000001eee9f9d0 (__AUTH_CONST,__const) non-external _CreatePass_SrcTransDecode.Invert_F_vtbl
00000001eee9fa90 (__AUTH_CONST,__const) non-external _CreatePass_SrcTransDecode.LinearTransform_16U_vtbl
00000001eee9fc10 (__AUTH_CONST,__const) non-external _CreatePass_SrcTransDecode.LinearTransform_16UtoF_vtbl
00000001eee9fa30 (__AUTH_CONST,__const) non-external _CreatePass_SrcTransDecode.LinearTransform_8_vtbl
00000001eee9fb50 (__AUTH_CONST,__const) non-external _CreatePass_SrcTransDecode.LinearTransform_8to16Q12_vtbl
00000001eee9fbb0 (__AUTH_CONST,__const) non-external _CreatePass_SrcTransDecode.LinearTransform_8toF_vtbl
00000001eee9faf0 (__AUTH_CONST,__const) non-external _CreatePass_SrcTransDecode.LinearTransform_F_vtbl
000000018a206cd4 (__TEXT,__text) non-external _CreatePass_Swap16
00000001eeea0ca0 (__AUTH_CONST,__const) non-external _CreatePass_Swap16.Swap16_vtbl
000000018a5d0758 (__TEXT,__const) non-external _CreatePass_Swap16.kByteOrderMap
000000018a3f5930 (__TEXT,__text) non-external _CreatePass_Swap32
00000001eeea06a0 (__AUTH_CONST,__const) non-external _CreatePass_Swap32.Swap32_vtbl
000000018a5d06f8 (__TEXT,__const) non-external _CreatePass_Swap32.kByteOrderMap
000000018a1d311c (__TEXT,__text) non-external _CreatePass_Unpremultiply
00000001eeea4000 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_ARGB16Q12_vtbl
00000001eeea3e80 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_ARGB16U_vtbl
00000001eeea3d00 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_ARGB8888_vtbl
00000001eeea4180 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_ARGBFFFF_vtbl
00000001eeea3f40 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_Chunky16AlphaFirst_vtbl
00000001eeea3ee0 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_Chunky16AlphaLast_vtbl
00000001eeea40c0 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_Chunky16Q12AlphaFirst_vtbl
00000001eeea4060 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_Chunky16Q12AlphaLast_vtbl
00000001eeea3dc0 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_Chunky8AlphaFirst_vtbl
00000001eeea3d60 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_Chunky8AlphaLast_vtbl
00000001eeea4240 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_ChunkyFAlphaFirst_vtbl
00000001eeea41e0 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_ChunkyFAlphaLast_vtbl
00000001eeea3fa0 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_RGBA16Q12_vtbl
00000001eeea3e20 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_RGBA16U_vtbl
00000001eeea3ca0 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_RGBA8888_vtbl
00000001eeea4120 (__AUTH_CONST,__const) non-external _CreatePass_Unpremultiply.UnpremultiplyData_RGBAFFFF_vtbl
00000001ecfd83e8 (__DATA_DIRTY,__data) non-external (was a private external) _CreateRGBColorSpaceWithPrimariesAndTransferFunction
00000001eeea9fa0 (__AUTH_CONST,__const) non-external _CreateYpCbCrToARGBMatrixPass.Convert_420Yp8_Cb8_Cr8ToARGB8888_vtbl
00000001eeeaa060 (__AUTH_CONST,__const) non-external _CreateYpCbCrToARGBMatrixPass.Convert_420Yp8_CbCr8ToARGB8888_vtbl
00000001eeea9dc0 (__AUTH_CONST,__const) non-external _CreateYpCbCrToARGBMatrixPass.Convert_422CbYpCrYp16ToARGB16U_vtbl
00000001eeea9d60 (__AUTH_CONST,__const) non-external _CreateYpCbCrToARGBMatrixPass.Convert_422CbYpCrYp16ToARGB8888_vtbl
