0000000297ffc1f0 (__DATA,__bss) non-external _A
0000000283c9c9d4 (__TEXT,__text) external _cmark_strbuf_truncate
0000000283c9cbe4 (__TEXT,__text) external _cmark_strbuf_unescape
0000000283c8eb84 (__TEXT,__text) external _cmark_syntax_extension_add_node
0000000283ca8694 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
0000000283c8eaac (__TEXT,__text) external _cmark_syntax_extension_free
0000000283c8ec64 (__TEXT,__text) external _cmark_syntax_extension_get_private
0000000283c8eb18 (__TEXT,__text) external _cmark_syntax_extension_new
0000000283c8ec08 (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
0000000283c8ec7c (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
0000000283c8ec18 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
0000000283c8ec10 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
0000000283c8ebc8 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
0000000283c8ec00 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
0000000283c8ec48 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
0000000283c8ec40 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
0000000283c8ebf0 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
0000000283c8ec28 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
0000000283c8ec38 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
0000000283c8ebe0 (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
0000000283c8ebe8 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
0000000283c8ec6c (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
0000000283c8ec74 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
0000000283c8ebd8 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
0000000283c8ec20 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
0000000283c8ec50 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
0000000283c8ec58 (__TEXT,__text) external _cmark_syntax_extension_set_private
0000000283c8ebf8 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
0000000283c8ec30 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
0000000283c9c13c (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
0000000283c878a4 (__TEXT,__text) external _cmark_utf8proc_case_fold
0000000283c87440 (__TEXT,__text) external _cmark_utf8proc_check
0000000283c8776c (__TEXT,__text) external _cmark_utf8proc_encode_char
0000000283ca8464 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
0000000283c8b2c4 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
0000000283c8b248 (__TEXT,__text) external _cmark_utf8proc_is_space
0000000283c87644 (__TEXT,__text) external _cmark_utf8proc_iterate
0000000283c8cc7c (__TEXT,__text) external _cmark_version
0000000283c8cc88 (__TEXT,__text) external _cmark_version_string
0000000283c8e1bc (__TEXT,__text) non-external _commonmark_render
0000000283c90d9c (__TEXT,__text) non-external _commonmark_render
0000000283ca6834 (__TEXT,__text) non-external _commonmark_render
0000000283ca8bec (__TEXT,__text) non-external _commonmark_render.cold.1
0000000283ca681c (__TEXT,__text) non-external _contains_inlines
0000000283c9c1a0 (__TEXT,__text) non-external _core_extensions_registration
0000000283c8ec84 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
0000000283c90c18 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
0000000283ca5c60 (__TEXT,__text) non-external (was a private external) _create_table_extension
0000000283ca8314 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
0000000283c8df54 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
0000000297ffc0e8 (__DATA,__bss) non-external _enable_safety_checks
0000000283ca95c0 (__TEXT,__const) non-external _encode_unknown.repl
0000000283ca77bc (__TEXT,__text) non-external _escape
0000000283ca8358 (__TEXT,__text) non-external _filter
0000000283c9ee40 (__TEXT,__text) non-external _finalize
0000000283ca895c (__TEXT,__text) non-external _finalize.cold.1
0000000283ca8988 (__TEXT,__text) non-external _finalize.cold.2
0000000283c9c0e0 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
0000000283c9f89c (__TEXT,__text) non-external _free_node_as
0000000283ca7ea4 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
0000000283c921d0 (__TEXT,__text) non-external _get_link_type
0000000283c8e0c8 (__TEXT,__text) non-external _get_type_string
0000000283c90d54 (__TEXT,__text) non-external _get_type_string
0000000283ca670c (__TEXT,__text) non-external _get_type_string
0000000283ca5104 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
0000000283ca8a9c (__TEXT,__text) non-external _houdini_escape_href.cold.1
0000000283cac155 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
0000000283ca85bc (__TEXT,__text) non-external (was a private external) _houdini_escape_html
0000000283ca84bc (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
0000000283ca5150 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
0000000283ca53e0 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
0000000283ca54f0 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
0000000283c8e278 (__TEXT,__text) non-external _html_render
0000000283c90e9c (__TEXT,__text) non-external _html_render
0000000283ca706c (__TEXT,__text) non-external _html_render
0000000283ca8c70 (__TEXT,__text) non-external _html_render.cold.1
0000000283ca7ff0 (__TEXT,__text) non-external _html_table_add_align
0000000283c91004 (__TEXT,__text) non-external _insert
0000000283c8f990 (__TEXT,__text) non-external _is_valid_hostchar
0000000283c90dc0 (__TEXT,__text) non-external _latex_render
0000000283ca6af4 (__TEXT,__text) non-external _latex_render
0000000283ca8c18 (__TEXT,__text) non-external _latex_render.cold.1
0000000283ca3c5c (__TEXT,__text) non-external _link_label
0000000283ca89e0 (__TEXT,__text) non-external _link_label.cold.1
0000000283ca8a60 (__TEXT,__text) non-external _link_label.cold.2
0000000283ca8a60 (__TEXT,__text) non-external _link_label.cold.3
0000000283ca8a60 (__TEXT,__text) non-external _link_label.cold.4
0000000283ca8a60 (__TEXT,__text) non-external _link_label.cold.5
0000000283ca48c4 (__TEXT,__text) non-external _make_autolink
0000000283ca8a50 (__TEXT,__text) non-external _make_autolink.cold.1
0000000283ca47b8 (__TEXT,__text) non-external _make_literal
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
0000000283c90df4 (__TEXT,__text) non-external _man_render
0000000283ca6e44 (__TEXT,__text) non-external _man_render
0000000283ca8c44 (__TEXT,__text) non-external _man_render.cold.1
0000000283ca3f48 (__TEXT,__text) non-external _manual_scan_link_url
0000000283c8ed10 (__TEXT,__text) non-external _match
0000000283c90ee0 (__TEXT,__text) non-external _match
0000000283c8e038 (__TEXT,__text) non-external _matches
0000000283ca5e14 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
0000000283c9c214 (__TEXT,__text) non-external (was a private external) _normalize_map_label
0000000283ca879c (__TEXT,__text) non-external _normalize_map_label.cold.1
0000000283ca76ac (__TEXT,__text) non-external _opaque_alloc
0000000283ca7728 (__TEXT,__text) non-external _opaque_free
0000000283c8e0d4 (__TEXT,__text) non-external _open_tasklist_item
0000000283c8bb8c (__TEXT,__text) non-external _outc
0000000283c91640 (__TEXT,__text) non-external _outc
0000000283ca55d0 (__TEXT,__text) non-external _outc
0000000283c90ebc (__TEXT,__text) non-external _plaintext_render
0000000283c8f124 (__TEXT,__text) non-external _postprocess
0000000283ca86c0 (__TEXT,__text) non-external _postprocess.cold.1
0000000283ca86ec (__TEXT,__text) non-external _postprocess.cold.2
0000000283ca3304 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _qsort (from libSystem)
0000000283c9c4c4 (__TEXT,__text) non-external _refcmp
0000000283c9ce10 (__TEXT,__text) non-external _reference_free
0000000283c9c404 (__TEXT,__text) non-external _refsearch
00000002994bf7f8 (__DATA_DIRTY,__bss) non-external _registered
0000000283ca38b0 (__TEXT,__text) non-external _remove_delimiter
0000000283ca8a70 (__TEXT,__text) non-external _remove_delimiter.cold.1
0000000283c9f1d8 (__TEXT,__text) non-external _resolve_reference_link_definitions
0000000283ca7a30 (__TEXT,__text) non-external _row_from_string
0000000291c52b10 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
0000000283c9f474 (__TEXT,__text) non-external _sort_footnote_by_ix
0000000283ca3e3c (__TEXT,__text) non-external _spnl
0000000283ca8a60 (__TEXT,__text) non-external _spnl.cold.1
0000000283ca8a60 (__TEXT,__text) non-external _spnl.cold.2
0000000283ca8a60 (__TEXT,__text) non-external _spnl.cold.3
0000000283ca8a60 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00000002994bf7f0 (__DATA_DIRTY,__bss) non-external _syntax_extensions
0000000283ca7f28 (__TEXT,__text) non-external _try_inserting_table_header_paragraph
0000000283ca5ecc (__TEXT,__text) non-external _try_opening_table_block
0000000283ca7dd0 (__TEXT,__text) non-external _unescape_pipes
0000000283ca94c0 (__TEXT,__const) non-external _utf8proc_utf8class
0000000283c8f9e0 (__TEXT,__text) non-external _validate_protocol
0000000283c8cc94 (__TEXT,__text) non-external _xcalloc
0000000283ca85dc (__TEXT,__text) non-external _xcalloc.cold.1
0000000283c8cce4 (__TEXT,__text) non-external _xfree
0000000283c8e400 (__TEXT,__text) non-external _xml_attr
0000000283ca6d44 (__TEXT,__text) non-external _xml_attr
0000000283c8ccbc (__TEXT,__text) non-external _xrealloc
0000000283ca860c (__TEXT,__text) non-external _xrealloc.cold.1
