00000001ffd33998 (__TEXT,__text) non-external _Done_iODBC
0000000209fd6c38 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
0000000209fd6cb0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
0000000209fd6d08 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
0000000209fd6d88 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
0000000209fd6db0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
0000000209fd6df8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
0000000209fd6af8 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
0000000209fd6e20 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
0000000209fd6338 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
0000000209fd5f40 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
0000000209fd6358 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
0000000209fd6008 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
0000000209fd6028 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
0000000209fd60d8 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
0000000209fd63d8 (__DATA_CONST,__const) non-external __mask_SQL_UNION
0000000209fd6388 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
0000000209fd5d40 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00000001ffd4b520 (__TEXT,__text) non-external __trace_bufferlen
00000001ffd4abe0 (__TEXT,__text) non-external __trace_c_type
00000001ffd477f0 (__TEXT,__text) non-external __trace_colattr2_type
00000001ffd47bb0 (__TEXT,__text) non-external __trace_colattr3_data
00000001ffd47850 (__TEXT,__text) non-external __trace_colattr3_type
00000001ffd437a0 (__TEXT,__text) non-external __trace_connattr_type
00000001ffd4b894 (__TEXT,__text) non-external __trace_connopt_type
00000001ffd4db3c (__TEXT,__text) non-external __trace_connstr
00000001ffd4de6c (__TEXT,__text) non-external __trace_connstr_hidepwd
00000001ffd4dda4 (__TEXT,__text) non-external __trace_connstr_w
00000001ffd4cd2c (__TEXT,__text) non-external __trace_data
00000001ffd43aac (__TEXT,__text) non-external __trace_desc_null
00000001ffd47084 (__TEXT,__text) non-external __trace_descfield_type
00000001ffd4c99c (__TEXT,__text) non-external __trace_diag_type
00000001ffd494d0 (__TEXT,__text) non-external __trace_direction
00000001ffd4dc3c (__TEXT,__text) non-external __trace_drvcn_completion
00000001ffd44508 (__TEXT,__text) non-external __trace_envattr_type
00000001ffd44dd4 (__TEXT,__text) non-external __trace_fetchtype
00000001ffd4e45c (__TEXT,__text) non-external __trace_freestmt_option
00000001ffd48afc (__TEXT,__text) non-external __trace_func_name
00000001ffd48a30 (__TEXT,__text) non-external __trace_func_result
00000001ffd45078 (__TEXT,__text) non-external __trace_getinfo
00000001ffd4a4f8 (__TEXT,__text) non-external __trace_handle
00000001ffd4a484 (__TEXT,__text) non-external __trace_handle_p
00000001ffd4a424 (__TEXT,__text) non-external __trace_handletype
00000001ffd4af58 (__TEXT,__text) non-external __trace_inouttype
00000001ffd4a5bc (__TEXT,__text) non-external __trace_integer
00000001ffd4a75c (__TEXT,__text) non-external __trace_integer_p
00000001ffd4a890 (__TEXT,__text) non-external __trace_len
00000001ffd4a8f8 (__TEXT,__text) non-external __trace_len_p
00000001ffd4a62c (__TEXT,__text) non-external __trace_pointer
00000001ffd4a22c (__TEXT,__text) non-external __trace_print_function
00000001ffd44ee8 (__TEXT,__text) non-external __trace_scrollopt_type
00000001ffd44bf4 (__TEXT,__text) non-external __trace_setpos_irow
00000001ffd44c8c (__TEXT,__text) non-external __trace_setpos_lock
00000001ffd44c2c (__TEXT,__text) non-external __trace_setpos_oper
00000001ffd4a54c (__TEXT,__text) non-external __trace_smallint
00000001ffd4a674 (__TEXT,__text) non-external __trace_smallint_p
00000001ffd44818 (__TEXT,__text) non-external __trace_spcols_null
00000001ffd447b8 (__TEXT,__text) non-external __trace_spcols_scope
00000001ffd44754 (__TEXT,__text) non-external __trace_spcols_type
00000001ffd4b43c (__TEXT,__text) non-external __trace_sql_subtype
00000001ffd4afb8 (__TEXT,__text) non-external __trace_sql_type
00000001ffd4b1dc (__TEXT,__text) non-external __trace_sql_type_p
00000001ffd4e108 (__TEXT,__text) non-external __trace_stats_accuracy
00000001ffd4e0a4 (__TEXT,__text) non-external __trace_stats_unique
00000001ffd4bc60 (__TEXT,__text) non-external __trace_stmtattr_type
00000001ffd4c5d4 (__TEXT,__text) non-external __trace_stmtopt_type
00000001ffd4a9e0 (__TEXT,__text) non-external __trace_string
00000001ffd4aac4 (__TEXT,__text) non-external __trace_string_w
00000001ffd4a844 (__TEXT,__text) non-external __trace_stringlen
0000000209fd6f20 (__DATA_CONST,__const) non-external __trace_sym_handletype
00000001ffd4d424 (__TEXT,__text) non-external __trace_tran_completion
00000001ffd4d768 (__TEXT,__text) non-external __trace_typeinfo
00000001ffd4a5f4 (__TEXT,__text) non-external __trace_uinteger
00000001ffd4a7d0 (__TEXT,__text) non-external __trace_uinteger_p
00000001ffd4a8c4 (__TEXT,__text) non-external __trace_ulen
00000001ffd4a96c (__TEXT,__text) non-external __trace_ulen_p
00000001ffd4a584 (__TEXT,__text) non-external __trace_usmallint
00000001ffd4a6e8 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000020db24e22 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000001ffd4f3dc (__TEXT,__text) non-external _dm_SQL_A2W
00000001ffd4f918 (__TEXT,__text) non-external _dm_SQL_U8toW
00000001ffd4f360 (__TEXT,__text) non-external _dm_SQL_W2A
00000001ffd4f670 (__TEXT,__text) non-external _dm_SQL_WtoU8
00000001ffd4f458 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00000001ffd4fb30 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00000001ffd4f508 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00000001ffd4f5b8 (__TEXT,__text) non-external _dm_strcpy_A2W
00000001ffd4f614 (__TEXT,__text) non-external _dm_strcpy_W2A
00000001ffd510a0 (__TEXT,__text) non-external _do_create_dsns
000000020db24de0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
000000020db24dc0 (__DATA,__common) non-external _ierror
00000001ffd511f4 (__TEXT,__text) non-external _install_from_ini
00000001ffd516c0 (__TEXT,__text) non-external _install_from_string
000000020db24828 (__DATA,__data) external _iodbc_version
000000020db24d00 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000020db24d48 (__DATA,__data) non-external _numerrors
000000020db24830 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
000000020db24d50 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00000001ffd5186c (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
0000000209fd51b0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
000000020db24d90 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00000001ffd4690c (__TEXT,__text) non-external _trace_SQLAllocConnect
00000001ffd4b7c0 (__TEXT,__text) non-external _trace_SQLAllocEnv
00000001ffd47608 (__TEXT,__text) non-external _trace_SQLAllocHandle
00000001ffd493c4 (__TEXT,__text) non-external _trace_SQLAllocStmt
00000001ffd47550 (__TEXT,__text) non-external _trace_SQLBindCol
00000001ffd48268 (__TEXT,__text) non-external _trace_SQLBindParameter
00000001ffd4b600 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00000001ffd4b6e0 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00000001ffd446b8 (__TEXT,__text) non-external _trace_SQLBulkOperations
00000001ffd4cc7c (__TEXT,__text) non-external _trace_SQLCancel
00000001ffd49488 (__TEXT,__text) non-external _trace_SQLCloseCursor
00000001ffd47ae8 (__TEXT,__text) non-external _trace_SQLColAttribute
00000001ffd47fa4 (__TEXT,__text) non-external _trace_SQLColAttributeW
00000001ffd4806c (__TEXT,__text) non-external _trace_SQLColAttributes
00000001ffd48140 (__TEXT,__text) non-external _trace_SQLColAttributesW
00000001ffd4c764 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00000001ffd4c880 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00000001ffd46a14 (__TEXT,__text) non-external _trace_SQLColumns
00000001ffd46b30 (__TEXT,__text) non-external _trace_SQLColumnsW
00000001ffd4c03c (__TEXT,__text) non-external _trace_SQLConnect
00000001ffd4c128 (__TEXT,__text) non-external _trace_SQLConnectW
00000001ffd44d7c (__TEXT,__text) non-external _trace_SQLCopyDesc
00000001ffd4955c (__TEXT,__text) non-external _trace_SQLDataSources
00000001ffd49664 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00000001ffd43b40 (__TEXT,__text) non-external _trace_SQLDescribeCol
00000001ffd43c54 (__TEXT,__text) non-external _trace_SQLDescribeColW
00000001ffd4c69c (__TEXT,__text) non-external _trace_SQLDescribeParam
00000001ffd49440 (__TEXT,__text) non-external _trace_SQLDisconnect
00000001ffd4da34 (__TEXT,__text) non-external _trace_SQLDriverConnect
00000001ffd4dc9c (__TEXT,__text) non-external _trace_SQLDriverConnectW
00000001ffd48540 (__TEXT,__text) non-external _trace_SQLDrivers
00000001ffd48648 (__TEXT,__text) non-external _trace_SQLDriversW
00000001ffd468a4 (__TEXT,__text) non-external _trace_SQLEndTran
00000001ffd43fe8 (__TEXT,__text) non-external _trace_SQLError
00000001ffd440f0 (__TEXT,__text) non-external _trace_SQLErrorW
00000001ffd49160 (__TEXT,__text) non-external _trace_SQLExecDirect
00000001ffd491e4 (__TEXT,__text) non-external _trace_SQLExecDirectW
00000001ffd4470c (__TEXT,__text) non-external _trace_SQLExecute
00000001ffd44e38 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00000001ffd49874 (__TEXT,__text) non-external _trace_SQLFetch
00000001ffd4b82c (__TEXT,__text) non-external _trace_SQLFetchScroll
00000001ffd4c214 (__TEXT,__text) non-external _trace_SQLForeignKeys
00000001ffd4c394 (__TEXT,__text) non-external _trace_SQLForeignKeysW
00000001ffd4c58c (__TEXT,__text) non-external _trace_SQLFreeConnect
00000001ffd44bac (__TEXT,__text) non-external _trace_SQLFreeEnv
00000001ffd46850 (__TEXT,__text) non-external _trace_SQLFreeHandle
00000001ffd4e4b4 (__TEXT,__text) non-external _trace_SQLFreeStmt
00000001ffd43954 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00000001ffd43a00 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00000001ffd4bac0 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00000001ffd4bb28 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00000001ffd47698 (__TEXT,__text) non-external _trace_SQLGetCursorName
00000001ffd47744 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00000001ffd4d310 (__TEXT,__text) non-external _trace_SQLGetData
00000001ffd473e0 (__TEXT,__text) non-external _trace_SQLGetDescField
00000001ffd47498 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00000001ffd43d68 (__TEXT,__text) non-external _trace_SQLGetDescRec
00000001ffd43ea8 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00000001ffd4cb00 (__TEXT,__text) non-external _trace_SQLGetDiagField
00000001ffd4cbcc (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00000001ffd44308 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00000001ffd44408 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00000001ffd44594 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00000001ffd490e8 (__TEXT,__text) non-external _trace_SQLGetFunctions
00000001ffd44fc0 (__TEXT,__text) non-external _trace_SQLGetInfo
00000001ffd464f8 (__TEXT,__text) non-external _trace_SQLGetInfoW
00000001ffd4bf00 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00000001ffd4bfac (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00000001ffd4c634 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00000001ffd4d98c (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00000001ffd4d9e0 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00000001ffd4d3dc (__TEXT,__text) non-external _trace_SQLMoreResults
00000001ffd46e9c (__TEXT,__text) non-external _trace_SQLNativeSql
00000001ffd46f90 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00000001ffd46c4c (__TEXT,__text) non-external _trace_SQLNumParams
00000001ffd4c514 (__TEXT,__text) non-external _trace_SQLNumResultCols
00000001ffd48214 (__TEXT,__text) non-external _trace_SQLParamData
00000001ffd46988 (__TEXT,__text) non-external _trace_SQLParamOptions
00000001ffd4e508 (__TEXT,__text) non-external _trace_SQLPrepare
00000001ffd4e58c (__TEXT,__text) non-external _trace_SQLPrepareW
00000001ffd48750 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00000001ffd4883c (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00000001ffd465b0 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00000001ffd466cc (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00000001ffd48368 (__TEXT,__text) non-external _trace_SQLProcedures
00000001ffd48454 (__TEXT,__text) non-external _trace_SQLProceduresW
00000001ffd4ccc4 (__TEXT,__text) non-external _trace_SQLPutData
00000001ffd44640 (__TEXT,__text) non-external _trace_SQLRowCount
00000001ffd4dfbc (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00000001ffd4e030 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00000001ffd4bb90 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00000001ffd4bbf8 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00000001ffd4976c (__TEXT,__text) non-external _trace_SQLSetCursorName
00000001ffd497f0 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00000001ffd441f8 (__TEXT,__text) non-external _trace_SQLSetDescField
00000001ffd44280 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00000001ffd48928 (__TEXT,__text) non-external _trace_SQLSetDescRec
00000001ffd49268 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00000001ffd44cec (__TEXT,__text) non-external _trace_SQLSetPos
00000001ffd44f4c (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00000001ffd492dc (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00000001ffd49350 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00000001ffd467e8 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00000001ffd4487c (__TEXT,__text) non-external _trace_SQLSpecialColumns
00000001ffd44a14 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00000001ffd4e16c (__TEXT,__text) non-external _trace_SQLStatistics
00000001ffd4e2e4 (__TEXT,__text) non-external _trace_SQLStatisticsW
00000001ffd46cc4 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00000001ffd46db0 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00000001ffd4d530 (__TEXT,__text) non-external _trace_SQLTables
00000001ffd4d64c (__TEXT,__text) non-external _trace_SQLTablesW
00000001ffd4d488 (__TEXT,__text) non-external _trace_SQLTransact
000000020db24d80 (__DATA,__bss) non-external _trace_appname
00000001ffd49e18 (__TEXT,__text) non-external _trace_emit
00000001ffd4a098 (__TEXT,__text) non-external _trace_emit_binary
00000001ffd49e80 (__TEXT,__text) non-external _trace_emit_string
00000001ffd49e64 (__TEXT,__text) non-external _trace_emitc
000000020db24d88 (__DATA,__bss) non-external _trace_fname
000000020db24da0 (__DATA,__bss) non-external _trace_fp
000000020db24da8 (__DATA,__bss) non-external _trace_fp_close
00000001ffd498f8 (__TEXT,__text) non-external _trace_get_filename
00000001ffd498bc (__TEXT,__text) non-external _trace_set_appname
00000001ffd49904 (__TEXT,__text) non-external _trace_set_filename
00000001ffd49bc8 (__TEXT,__text) non-external _trace_start
00000001ffd49d64 (__TEXT,__text) non-external _trace_stop
00000001ffd49b50 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00000001ffd4fab8 (__TEXT,__text) non-external _utf8_len
00000001ffd4fbd4 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
000000020db24e20 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
