0000000182bba330 (__DATA,__data) non-external _C
0000000180a9b4d0 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
0000000180a38f5c (__TEXT,__text) non-external ___thread_stack_async_pcs
0000000180a38d38 (__TEXT,__text) non-external ___thread_stack_pcs
0000000180a79508 (__TEXT,__text) non-external (was a private external) ___time_load_locale
0000000182bc6cc0 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180a9b4a8 (__TEXT,__const) external ___tinytens_D2A
0000000180a5ab40 (__TEXT,__text) external ___tolower
0000000180a5ac90 (__TEXT,__text) external ___tolower_l
0000000180a5ab00 (__TEXT,__text) external ___toupper
0000000180a5ac70 (__TEXT,__text) external ___toupper_l
0000000180a4b2a0 (__TEXT,__text) external ___trailz_D2A
0000000180a4c24c (__TEXT,__text) external ___ulp_D2A
0000000180a6b150 (__TEXT,__text) non-external ___ultoa
0000000180a70390 (__TEXT,__text) non-external ___ultoa
0000000180a677a4 (__TEXT,__text) external ___ungetc
0000000180a6795c (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
0000000180a82e1c (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
0000000180a9c0d9 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180a8a2a8 (__TEXT,__text) non-external (was a private external) ___v2printf
0000000180a680a4 (__TEXT,__text) non-external (was a private external) ___vfprintf
0000000180a998e0 (__TEXT,__text) non-external ___vfprintf.cold.1
0000000180a9bc63 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
0000000180a9bc73 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
0000000180a6d824 (__TEXT,__text) non-external (was a private external) ___vfwprintf
0000000180a9bcc8 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
0000000180a9bcd8 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180a7092c (__TEXT,__text) non-external (was a private external) ___vfwscanf
0000000180a9bdc4 (__TEXT,__const) non-external ___vfwscanf.basefix
0000000180a9864c (__TEXT,__text) external ___vsnprintf_chk
0000000180a983f4 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180a5cc0c (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
0000000180a5c974 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180a5ab80 (__TEXT,__text) external ___wcwidth
0000000180a5acb0 (__TEXT,__text) external ___wcwidth_l
0000000180a5be18 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
0000000182bba9f8 (__DATA,__data) external ___xlocale_C_collate
0000000180a3be94 (__TEXT,__text) non-external (was a private external) ___xlocale_init
0000000180a3becc (__TEXT,__text) non-external ___xlocale_release
0000000180a3cb38 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180a989dc (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
0000000182bba8f8 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180a8a7dc (__TEXT,__text) non-external (was a private external) ___xprintf_vector
0000000180a8a62c (__TEXT,__text) non-external (was a private external) ___xvprintf
0000000180a82f08 (__TEXT,__text) external __allocenvstate
0000000180a4c444 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
0000000180a55c5c (__TEXT,__text) non-external (was a private external) __ascii_init
0000000180a55cd4 (__TEXT,__text) non-external __ascii_mbrtowc
0000000180a55d34 (__TEXT,__text) non-external __ascii_mbsinit
0000000180a55d3c (__TEXT,__text) non-external __ascii_mbsnrtowcs
0000000180a55e00 (__TEXT,__text) non-external __ascii_wcrtomb
0000000180a55e48 (__TEXT,__text) non-external __ascii_wcsnrtombs
0000000180a319a4 (__TEXT,__text) non-external __boottime_fallback_usec
0000000180b9a4c8 (__DATA_CONST,__const) external __c_locale
0000000180a61094 (__TEXT,__text) external __cleanup
0000000180a82f0c (__TEXT,__text) external __copyenv
0000000182be15b0 (__AUTH,__data) external __cthread_init_routine
0000000180a82fa4 (__TEXT,__text) external __deallocenvstate
0000000180a82804 (__TEXT,__text) non-external __do_nothing
0000000180a3b3b4 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
0000000182bc6dd0 (__DATA,__common) non-external (was a private external) __e_err_exit
0000000182bc6dc8 (__DATA,__common) non-external (was a private external) __e_err_file
0000000180a4c938 (__TEXT,__text) non-external (was a private external) __e_visprintf
                 (undefined) external __exit (from libsystem_kernel)
0000000180a31c58 (__TEXT,__text) non-external __ffpp_strtoencf32_l
0000000180a9867c (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
0000000180a986a8 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
0000000180a9adf0 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
0000000180a31fb0 (__TEXT,__text) non-external __ffpp_strtoencf64_l
0000000180a986d4 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
0000000180a98700 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
0000000180a9872c (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
0000000180a9b190 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
0000000180a50f38 (__TEXT,__text) non-external (was a private external) __filldir
0000000180a53714 (__TEXT,__text) non-external (was a private external) __fixtelldir
0000000180a5f9f0 (__TEXT,__text) external __flockfile_debug_stub
0000000180a62508 (__TEXT,__text) external __fseeko
0000000180a62990 (__TEXT,__text) external __ftello
0000000180a62f30 (__TEXT,__text) external __fwalk
0000000180a7d984 (__TEXT,__text) external __getenvp
0000000180a38324 (__TEXT,__text) external __init_clock_port
0000000180a794e0 (__TEXT,__text) external __int_to_time
0000000180a8024c (__TEXT,__text) non-external __isort
0000000180a80df4 (__TEXT,__text) non-external __isort
0000000182bbc098 (__DATA,__bss) non-external __libSystem_atfork_child
0000000182bbc080 (__DATA,__bss) non-external __libSystem_atfork_child_v2
0000000182bbc090 (__DATA,__bss) non-external __libSystem_atfork_parent
0000000182bbc078 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
0000000182bbc088 (__DATA,__bss) non-external __libSystem_atfork_prepare
0000000182bbc070 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
0000000180a3e200 (__TEXT,__text) external __libc_fork_child
0000000180a3e2b4 (__TEXT,__text) non-external (was a private external) __libc_fork_init
0000000180a3e1fc (__TEXT,__text) external __libc_fork_parent
0000000180a3e1f8 (__TEXT,__text) external __libc_fork_prepare
0000000180a3e148 (__TEXT,__text) external __libc_initializer
0000000180a59998 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
0000000180a59970 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180a59948 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
0000000180a794d8 (__TEXT,__text) external __long_to_time
0000000180a31630 (__TEXT,__text) non-external __mach_boottime_usec
0000000182bbc068 (__DATA,__bss) non-external __mh_execute_header_pointer
0000000180a64308 (__TEXT,__text) non-external __mkdtemp_action
0000000180a64038 (__TEXT,__text) non-external __mkostemps_action
0000000180a3d458 (__TEXT,__text) non-external __mkpath
0000000180a3d444 (__TEXT,__text) external __mkpath_np
0000000180a6452c (__TEXT,__text) non-external __mkstemp_dprotected_np_action
0000000180a9979c (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
0000000180a6438c (__TEXT,__text) external __mktemp
0000000180a643e4 (__TEXT,__text) non-external __mktemp_action
0000000180a5acf4 (__TEXT,__text) non-external (was a private external) __none_init
0000000180a5ad6c (__TEXT,__text) non-external (was a private external) __none_mbrtowc
0000000180a5ad9c (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180a5ada4 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
0000000180a5ae38 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
0000000180a5ae80 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
0000000180a98bdc (__TEXT,__text) external __os_assert_log
0000000180a98dd8 (__TEXT,__text) external __os_assert_log_ctx
0000000180a98ad0 (__TEXT,__text) external __os_assumes_log
0000000180a98ca8 (__TEXT,__text) external __os_assumes_log_ctx
0000000180a3ed08 (__TEXT,__text) external __os_avoid_tail_call
0000000180a98ac4 (__TEXT,__text) external __os_crash
0000000182bc6db8 (__DATA,__common) external __os_crash_callback
0000000180a3ed0c (__TEXT,__text) non-external __os_get_build
                 (undefined) external __os_once (from libsystem_platform)
0000000180a8280c (__TEXT,__text) non-external (was a private external) __owned_ptr_add
0000000180a82968 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
0000000180a828d0 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
0000000182c51bf8 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
0000000180a9dc69 (__TEXT,__cstring) non-external __printf_tbl_flags
0000000180a3e27c (__TEXT,__text) non-external (was a private external) __program_vars_init
0000000180a7f814 (__TEXT,__text) external __putenvp
0000000180a7f994 (__TEXT,__text) non-external __qsort
0000000180a80478 (__TEXT,__text) non-external __qsort
0000000182bba958 (__DATA,__data) external __rand48_add
0000000182bba950 (__DATA,__data) external __rand48_mult
0000000182bba948 (__DATA,__data) external __rand48_seed
0000000180a517f0 (__TEXT,__text) external __readdir_unlocked
0000000180a53748 (__TEXT,__text) external __reclaim_telldir
0000000180a9c03c (__TEXT,__const) non-external (was a private external) __rp_alist
0000000180a53658 (__TEXT,__text) external __seekdir
0000000180a83000 (__TEXT,__text) external __setenvp
0000000180a3e8b4 (__TEXT,__text) external __sigaction_nobind
0000000182bc6de8 (__DATA,__common) external __sigintr
0000000180a52888 (__TEXT,__text) external __signal_nobind
0000000180a310b0 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180a525ac (__TEXT,__text) non-external (was a private external) __sm_compress_mode
0000000180a66edc (__TEXT,__text) external __sread
0000000180a67010 (__TEXT,__text) external __sseek
0000000180a76b50 (__TEXT,__text) non-external (was a private external) __st_fmt
0000000180a3c760 (__TEXT,__text) non-external (was a private external) __st_get_timezone
0000000180a74a98 (__TEXT,__text) non-external (was a private external) __st_localsub
0000000180a3c76c (__TEXT,__text) non-external (was a private external) __st_set_timezone
0000000180a7555c (__TEXT,__text) non-external (was a private external) __st_time1
0000000180a73858 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
0000000180a8adc0 (__TEXT,__text) non-external __strfmon
0000000180a77d34 (__TEXT,__text) non-external __strptime0
0000000180a9be98 (__TEXT,__const) non-external __strptime0.start_of_month
0000000180a3bf90 (__TEXT,__text) external __subsystem_init
0000000180a66f4c (__TEXT,__text) external __swrite
0000000180a38ef4 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
0000000180a38d18 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
0000000180a794c0 (__TEXT,__text) external __time32_to_time
0000000180a794cc (__TEXT,__text) external __time64_to_time
0000000180a794dc (__TEXT,__text) external __time_to_int
0000000180a794d4 (__TEXT,__text) external __time_to_long
0000000180a794c8 (__TEXT,__text) external __time_to_time32
0000000180a794d0 (__TEXT,__text) external __time_to_time64
0000000180a83090 (__TEXT,__text) external __unsetenvp
0000000180a67b20 (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180a67d04 (__TEXT,__text) non-external (was a private external) __vdprintf
0000000180a72428 (__TEXT,__text) non-external (was a private external) __vsnprintf
0000000180a77a74 (__TEXT,__text) non-external __yconv
0000000180a7d010 (__TEXT,__text) external _a64l
0000000180a99ae4 (__TEXT,__text) external _abort
0000000180a99c1c (__TEXT,__text) external _abort_report_np
0000000180a7d0dc (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
0000000180a33b5c (__TEXT,__text) non-external _addToMP
0000000180a650d8 (__TEXT,__text) non-external _addaster
0000000180a524b4 (__TEXT,__text) non-external _addcmd
0000000180a65304 (__TEXT,__text) non-external _addtype
0000000180a65f10 (__TEXT,__text) non-external _addwaster
0000000180a3722c (__TEXT,__text) non-external _advance_directory
0000000180a989c0 (__TEXT,__text) non-external _advance_directory.cold.1
0000000180a4c2b8 (__TEXT,__text) external _alarm
0000000180a43588 (__TEXT,__text) non-external _alloc_segs
0000000180a51d0c (__TEXT,__text) external _alphasort
0000000180a9bf8e (__TEXT,__const) non-external _ambig
0000000180a4c3b0 (__TEXT,__text) non-external _arc4_init
0000000180a98f2c (__TEXT,__text) non-external _arc4_init.cold.1
0000000180a4c31c (__TEXT,__text) external _arc4random
0000000180a4c318 (__TEXT,__text) external _arc4random_addrandom
0000000180a4c360 (__TEXT,__text) external _arc4random_buf
0000000180a4c3f8 (__TEXT,__text) external _arc4random_stir
0000000180a4c3fc (__TEXT,__text) external _arc4random_uniform
0000000180a89d44 (__TEXT,__text) non-external _arrayget
0000000180a7364c (__TEXT,__text) external _asctime
0000000180a73500 (__TEXT,__text) external _asctime_r
0000000180a9bdfb (__TEXT,__const) non-external _asctime_r.mon_name
0000000180a9bde6 (__TEXT,__const) non-external _asctime_r.wday_name
0000000180a5fa78 (__TEXT,__text) external _asprintf
0000000180a5fac8 (__TEXT,__text) external _asprintf_l
0000000180a3c778 (__TEXT,__text) external _asxprintf
0000000180a3d1dc (__TEXT,__text) external _asxprintf_exec
0000000180a8acac (__TEXT,__text) external _at_quick_exit
0000000180a7d130 (__TEXT,__text) external _atexit
0000000180a7d280 (__TEXT,__text) external _atexit_b
0000000182bbb020 (__DATA,__data) non-external _atexit_mutex
0000000180a7d164 (__TEXT,__text) non-external _atexit_register
0000000180a99c70 (__TEXT,__text) non-external _atexit_register.cold.1
0000000180a7d610 (__TEXT,__text) external _atof
0000000180a7d638 (__TEXT,__text) external _atof_l
0000000180a7d644 (__TEXT,__text) external _atoi
0000000180a7d684 (__TEXT,__text) external _atoi_l
0000000180a7d6a8 (__TEXT,__text) external _atol
0000000180a7d6d4 (__TEXT,__text) external _atol_l
0000000180a7d6e4 (__TEXT,__text) external _atoll
0000000180a7d710 (__TEXT,__text) external _atoll_l
0000000180a34544 (__TEXT,__text) external _backtrace
0000000180a345ac (__TEXT,__text) external _backtrace_async
0000000180a34618 (__TEXT,__text) external _backtrace_from_fp
0000000182be13d8 (__AUTH,__data) non-external _backtrace_get_pcs_func
0000000180a34680 (__TEXT,__text) external _backtrace_image_offsets
0000000180a34520 (__TEXT,__text) external _backtrace_set_pcs_func
0000000180a4c524 (__TEXT,__text) external _basename
0000000182bbc0c8 (__DATA,__bss) non-external _basename.bname
0000000180a4c448 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
0000000180a3a244 (__TEXT,__text) external _bcopy
0000000180a33e84 (__TEXT,__text) non-external _bitCountMP
0000000180a98994 (__TEXT,__text) non-external _bitCountMP.cold.1
0000000180a9bc83 (__TEXT,__const) non-external _blanks
0000000180a9bd44 (__TEXT,__const) non-external _blanks
0000000182bbb1a8 (__DATA,__data) non-external _blanks
0000000180a38568 (__TEXT,__text) non-external _both_ftw
0000000182bbbf60 (__DATA,__bss) non-external _brapreg
0000000180a31ab8 (__TEXT,__text) external _brk
0000000180a31adc (__TEXT,__text) external _bsd_signal
0000000180a7d720 (__TEXT,__text) external _bsearch
0000000180a7d7a8 (__TEXT,__text) external _bsearch_b
0000000180a425b8 (__TEXT,__text) non-external _bt_broot
0000000180a42300 (__TEXT,__text) non-external _bt_page
0000000180a42724 (__TEXT,__text) non-external _bt_preserve
0000000180a4277c (__TEXT,__text) non-external _bt_psplit
0000000180a4221c (__TEXT,__text) non-external _bt_root
0000000180a424b0 (__TEXT,__text) non-external _bt_rroot
0000000180a5615c (__TEXT,__text) external _btowc
0000000180a560a0 (__TEXT,__text) external _btowc_l
0000000182bbdc40 (__DATA,__bss) non-external _buf_asctime
0000000180a65408 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
0000000180a9ab88 (__TEXT,__const) non-external (was a private external) _cVersionNumber
0000000180a9ab60 (__TEXT,__const) non-external (was a private external) _cVersionString
0000000180a5f8d8 (__TEXT,__text) external _catclose
0000000180b9a808 (__DATA_CONST,__const) non-external _categories
0000000180a5f584 (__TEXT,__text) external _catgets
0000000180a5eea4 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
0000000180a5395c (__TEXT,__text) external _cfgetispeed
0000000180a53954 (__TEXT,__text) external _cfgetospeed
0000000180a53988 (__TEXT,__text) external _cfmakeraw
0000000180a53970 (__TEXT,__text) external _cfsetispeed
0000000180a53964 (__TEXT,__text) external _cfsetospeed
0000000180a5397c (__TEXT,__text) external _cfsetspeed
0000000180a4ed0c (__TEXT,__text) external _cgetcap
0000000180a4f500 (__TEXT,__text) external _cgetclose
0000000180a4ed98 (__TEXT,__text) external _cgetent
0000000180a4f490 (__TEXT,__text) external _cgetfirst
0000000180a4f418 (__TEXT,__text) external _cgetmatch
0000000180a4f54c (__TEXT,__text) external _cgetnext
0000000180a4fcd4 (__TEXT,__text) external _cgetnum
0000000180a4ec74 (__TEXT,__text) external _cgetset
0000000180a4f8fc (__TEXT,__text) external _cgetstr
0000000180a4fbd4 (__TEXT,__text) external _cgetustr
0000000180a57114 (__TEXT,__text) non-external _chainsearch
0000000180a9ba98 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
0000000180a374d0 (__TEXT,__text) non-external _check_env_var
0000000180a5faf4 (__TEXT,__text) external _clearerr
0000000180a5fb38 (__TEXT,__text) external _clearerr_unlocked
0000000180a4c58c (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
0000000180a31894 (__TEXT,__text) external _clock_getres
0000000180a316a8 (__TEXT,__text) external _clock_gettime
0000000180a31460 (__TEXT,__text) external _clock_gettime_nsec_np
0000000182bc6d7c (__DATA,__common) external _clock_port
0000000182bc6d78 (__DATA,__common) external _clock_sem
0000000180a31938 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
0000000180a36f94 (__TEXT,__text) non-external _close_directory
0000000180a4c5fc (__TEXT,__text) external _closedir
0000000180b9ae10 (__DATA_CONST,__const) non-external _cnames
0000000180a44a70 (__TEXT,__text) non-external _collect_data
0000000180a44c30 (__TEXT,__text) non-external _collect_key
0000000180a9bf0e (__TEXT,__const) non-external _command_substitution_str
0000000180a372cc (__TEXT,__text) external _compat_mode
0000000180a3473c (__TEXT,__text) external _confstr
0000000180a3cc98 (__TEXT,__text) external _copy_printf_domain
0000000180a968b0 (__TEXT,__text) external _creat
0000000180a3ede4 (__TEXT,__text) external _creat$NOCANCEL
0000000180a4c67c (__TEXT,__text) external _ctermid
0000000182bba960 (__DATA,__data) non-external _ctermid.def
0000000180a4c6a4 (__TEXT,__text) external _ctermid_r
0000000180a754d8 (__TEXT,__text) external _ctime
0000000180a7550c (__TEXT,__text) external _ctime_r
0000000182bbaacc (__DATA,__data) non-external _current_categories
0000000180a5b3f8 (__TEXT,__text) non-external _currentlocale
0000000182bbc388 (__DATA,__bss) non-external _currentlocale.current_locale_string
0000000182bbbfc0 (__DATA,__bss) non-external _curshell
0000000182bbb088 (__DATA,__data) non-external _dash_prefix
0000000182bc6e08 (__DATA,__common) external _daylight
0000000180a46e08 (__TEXT,__text) external _dbm_clearerr
0000000180a46c38 (__TEXT,__text) external _dbm_close
0000000180a46d7c (__TEXT,__text) external _dbm_delete
0000000180a46e18 (__TEXT,__text) external _dbm_dirfno
0000000180a46dfc (__TEXT,__text) external _dbm_error
0000000180a46c44 (__TEXT,__text) external _dbm_fetch
0000000180a46c90 (__TEXT,__text) external _dbm_firstkey
0000000180a46d00 (__TEXT,__text) external _dbm_nextkey
0000000180a46b4c (__TEXT,__text) external _dbm_open
0000000180a46db8 (__TEXT,__text) external _dbm_store
0000000180a42eb0 (__TEXT,__text) external _dbopen
0000000182bbc138 (__DATA,__bss) non-external _dbp
0000000182bbbf80 (__DATA,__bss) non-external _decpreg
0000000180a9c014 (__TEXT,__const) non-external _degrees
0000000180a56bd8 (__TEXT,__text) non-external _destruct_collate
0000000180a86570 (__TEXT,__text) non-external _destruct_ctype
0000000180a58fd8 (__TEXT,__text) non-external (was a private external) _destruct_ldpart
0000000180a3bef4 (__TEXT,__text) non-external _destruct_locale
0000000180a34c24 (__TEXT,__text) external _devname
0000000182bbbee0 (__DATA,__bss) non-external _devname.buf
0000000180a34ac4 (__TEXT,__text) external _devname_r
0000000180a73658 (__TEXT,__text) external _difftime
0000000180a396c4 (__TEXT,__text) external _digittoint
0000000180a399a8 (__TEXT,__text) external _digittoint_l
0000000180a3ecd8 (__TEXT,__text) external _dirfd
0000000180a4c7c0 (__TEXT,__text) external _dirname
0000000182bbc0d0 (__DATA,__bss) non-external _dirname.dname
0000000180a4c6c4 (__TEXT,__text) external _dirname_r
0000000180a7d840 (__TEXT,__text) external _div
0000000182bb9c70 (__DATA,__data) non-external _dktypenames
0000000180a55320 (__TEXT,__text) non-external _do_hvis
0000000180a55458 (__TEXT,__text) non-external _do_mvis
0000000180a55600 (__TEXT,__text) non-external _do_svis
0000000180a5fb48 (__TEXT,__text) external _dprintf
0000000180a5fb98 (__TEXT,__text) external _dprintf_l
0000000180a4c828 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
0000000180a3b350 (__TEXT,__text) external _duplocale
0000000180a3c7b4 (__TEXT,__text) external _dxprintf
0000000180a3d21c (__TEXT,__text) external _dxprintf_exec
0000000180a85008 (__TEXT,__text) external _ecvt
0000000182bbc1a0 (__DATA,__bss) non-external _empty
0000000182bbc1b0 (__DATA,__bss) non-external _empty
0000000182bbb0d0 (__DATA,__data) non-external _end_ptr
0000000180a37e1c (__TEXT,__text) external _endttyent
0000000180a38188 (__TEXT,__text) external _endusershell
0000000180a7d95c (__TEXT,__text) external _environ_lock_np
0000000182bbc058 (__DATA,__bss) non-external _environ_pointer
0000000180a7d96c (__TEXT,__text) external _environ_unlock_np
0000000180a72874 (__TEXT,__text) non-external _eofread
0000000180a72ca4 (__TEXT,__text) non-external _eofread
0000000180a4c8a8 (__TEXT,__text) external _erand48
0000000180a99064 (__TEXT,__text) external _err
0000000180a4ca84 (__TEXT,__text) external _err_set_exit
0000000180a4cadc (__TEXT,__text) external _err_set_exit_b
0000000180a4ca64 (__TEXT,__text) external _err_set_file
0000000180a991d0 (__TEXT,__text) external _errc
0000000180a991f0 (__TEXT,__text) external _errx
0000000180a9b588 (__TEXT,__const) non-external _escape
0000000180a4cb38 (__TEXT,__text) external _execl
0000000180a4cc18 (__TEXT,__text) external _execle
0000000180a4cd00 (__TEXT,__text) external _execlp
0000000180a4ce40 (__TEXT,__text) external _execv
0000000180a4ce7c (__TEXT,__text) external _execvP
0000000180a4cec8 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
0000000180a4cddc (__TEXT,__text) external _execvp
0000000180a7d870 (__TEXT,__text) external _exit
0000000180a3c0c0 (__TEXT,__text) non-external _extract_next_subsystem_root_path
0000000180a61008 (__TEXT,__text) external _f_prealloc
0000000180a324f8 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
0000000180a5fbc4 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
0000000180a851e4 (__TEXT,__text) external _fcvt
0000000180a5fd3c (__TEXT,__text) external _fdopen
0000000180a97478 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180a50c24 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
0000000180a5fec4 (__TEXT,__text) external _feof
0000000180a5fefc (__TEXT,__text) external _feof_unlocked
0000000180a5ff08 (__TEXT,__text) external _ferror
0000000180a5ff40 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
0000000180a46ac4 (__TEXT,__text) non-external _fetch_bitmap
0000000180a38b10 (__TEXT,__text) external _fflagstostr
0000000180a5ff4c (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
0000000180a601ec (__TEXT,__text) external _fgetc
0000000180a602d0 (__TEXT,__text) external _fgetln
0000000180a6047c (__TEXT,__text) external _fgetpos
0000000180a604ac (__TEXT,__text) external _fgets
0000000180a60688 (__TEXT,__text) external _fgetwc
0000000180a60818 (__TEXT,__text) external _fgetwc_l
0000000180a6097c (__TEXT,__text) external _fgetwln
0000000180a608a0 (__TEXT,__text) external _fgetwln_l
0000000180a60b74 (__TEXT,__text) external _fgetws
0000000180a609a0 (__TEXT,__text) external _fgetws_l
0000000182bbae70 (__DATA,__data) non-external _filelist_lock
0000000180a60b98 (__TEXT,__text) external _fileno
0000000180a60bcc (__TEXT,__text) external _fileno_unlocked
0000000180a63d9c (__TEXT,__text) non-external _find_temp_path
0000000180a7940c (__TEXT,__text) non-external _first_wday_of
0000000180a5f9b4 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
0000000180a43dd8 (__TEXT,__text) non-external _flush_meta
0000000180a7c090 (__TEXT,__text) external _fmemopen
0000000180a7c3f8 (__TEXT,__text) non-external _fmemopen_close
0000000180a7c288 (__TEXT,__text) non-external _fmemopen_read
0000000180a7c370 (__TEXT,__text) non-external _fmemopen_seek
0000000180a7c2e4 (__TEXT,__text) non-external _fmemopen_write
0000000180b9a9c0 (__DATA_CONST,__const) non-external _fmt_padding
0000000180a4d20c (__TEXT,__text) external _fmtcheck
0000000180a4d80c (__TEXT,__text) external _fmtmsg
0000000180a4dd9c (__TEXT,__text) external _fnmatch
0000000180a61174 (__TEXT,__text) external _fopen
0000000180a97600 (__TEXT,__text) external _fopen$DARWIN_EXTSN
0000000180a3e310 (__TEXT,__text) external _fork
0000000180a61330 (__TEXT,__text) external _fprintf
