00000001813225dc (__TEXT,__text) external _APL_dgemm
00000001816f0a7c (__TEXT,__text) external _cblas_ctbmv$NEWLAPACK$ILP64
000000018171d030 (__TEXT,__text) external _cblas_ctbsv
00000001816e0238 (__TEXT,__text) external _cblas_ctbsv$NEWLAPACK
00000001816f0d50 (__TEXT,__text) external _cblas_ctbsv$NEWLAPACK$ILP64
000000018171d2d8 (__TEXT,__text) external _cblas_ctpmv
00000001816e0bbc (__TEXT,__text) external _cblas_ctpmv$NEWLAPACK
00000001816f1024 (__TEXT,__text) external _cblas_ctpmv$NEWLAPACK$ILP64
000000018171d528 (__TEXT,__text) external _cblas_ctpsv
00000001816e1304 (__TEXT,__text) external _cblas_ctpsv$NEWLAPACK
00000001816f1284 (__TEXT,__text) external _cblas_ctpsv$NEWLAPACK$ILP64
000000018170a848 (__TEXT,__text) external _cblas_ctrmm
00000001811edcfc (__TEXT,__text) external _cblas_ctrmm$NEWLAPACK
00000001816caa38 (__TEXT,__text) external _cblas_ctrmm$NEWLAPACK$ILP64
000000018171dae8 (__TEXT,__text) external _cblas_ctrmv
00000001816e1be8 (__TEXT,__text) external _cblas_ctrmv$NEWLAPACK
00000001816f150c (__TEXT,__text) external _cblas_ctrmv$NEWLAPACK$ILP64
000000018170b89c (__TEXT,__text) external _cblas_ctrsm
0000000180f9033c (__TEXT,__text) external _cblas_ctrsm$NEWLAPACK
00000001816c43a0 (__TEXT,__text) external _cblas_ctrsm$NEWLAPACK$ILP64
0000000180f84bb8 (__TEXT,__text) external _cblas_ctrsm_spi$NEWLAPACK
00000001816c2dfc (__TEXT,__text) external _cblas_ctrsm_spi$NEWLAPACK$ILP64
0000000181311678 (__TEXT,__text) external _cblas_ctrsm_spi_mem_requirement$NEWLAPACK
00000001816cde84 (__TEXT,__text) external _cblas_ctrsm_spi_mem_requirement$NEWLAPACK$ILP64
000000018171e548 (__TEXT,__text) external _cblas_ctrsv
00000001816e2648 (__TEXT,__text) external _cblas_ctrsv$NEWLAPACK
00000001816f1f90 (__TEXT,__text) external _cblas_ctrsv$NEWLAPACK$ILP64
00000001816fc590 (__TEXT,__text) external _cblas_dasum
0000000181382630 (__TEXT,__text) external _cblas_dasum$NEWLAPACK
00000001816d0b24 (__TEXT,__text) external _cblas_dasum$NEWLAPACK$ILP64
00000001816fc5ec (__TEXT,__text) external _cblas_daxpy
000000018138268c (__TEXT,__text) external _cblas_daxpy$NEWLAPACK
00000001816d0b78 (__TEXT,__text) external _cblas_daxpy$NEWLAPACK$ILP64
00000001816fc6ac (__TEXT,__text) external _cblas_dcopy
000000018138274c (__TEXT,__text) external _cblas_dcopy$NEWLAPACK
00000001816d0c1c (__TEXT,__text) external _cblas_dcopy$NEWLAPACK$ILP64
00000001816fc53c (__TEXT,__text) external _cblas_ddot
00000001813825dc (__TEXT,__text) external _cblas_ddot$NEWLAPACK
00000001816d0ae0 (__TEXT,__text) external _cblas_ddot$NEWLAPACK$ILP64
000000018170031c (__TEXT,__text) external _cblas_dgbmv
000000018164e270 (__TEXT,__text) external _cblas_dgbmv$NEWLAPACK
00000001816d8588 (__TEXT,__text) external _cblas_dgbmv$NEWLAPACK$ILP64
00000001816fda54 (__TEXT,__text) external _cblas_dgemm
00000001815ee450 (__TEXT,__text) external _cblas_dgemm$NEWLAPACK
00000001816d5a60 (__TEXT,__text) external _cblas_dgemm$NEWLAPACK$ILP64
00000001815ee4c0 (__TEXT,__text) external _cblas_dgemm_singlecore
0000000181318968 (__TEXT,__text) external _cblas_dgemm_spi$NEWLAPACK
00000001816cf524 (__TEXT,__text) external _cblas_dgemm_spi$NEWLAPACK$ILP64
000000018130fa6c (__TEXT,__text) external _cblas_dgemm_spi_mem_requirement$NEWLAPACK
00000001816cc2b4 (__TEXT,__text) external _cblas_dgemm_spi_mem_requirement$NEWLAPACK$ILP64
0000000180f63a7c (__TEXT,__text) external _cblas_dgemv
000000018100e648 (__TEXT,__text) external _cblas_dgemv$NEWLAPACK
00000001816c8930 (__TEXT,__text) external _cblas_dgemv$NEWLAPACK$ILP64
000000018100e6ac (__TEXT,__text) external _cblas_dgemv_singlecore
0000000180f62c10 (__TEXT,__text) external _cblas_dger
000000018100e408 (__TEXT,__text) external _cblas_dger$NEWLAPACK
00000001816c86f4 (__TEXT,__text) external _cblas_dger$NEWLAPACK$ILP64
00000001816fc710 (__TEXT,__text) external _cblas_dnrm2
00000001813827b0 (__TEXT,__text) external _cblas_dnrm2$NEWLAPACK
00000001816d0c70 (__TEXT,__text) external _cblas_dnrm2$NEWLAPACK$ILP64
00000001816fc7e4 (__TEXT,__text) external _cblas_drot
00000001813828b8 (__TEXT,__text) external _cblas_drot$NEWLAPACK
00000001816d0d50 (__TEXT,__text) external _cblas_drot$NEWLAPACK$ILP64
0000000181719060 (__TEXT,__text) external _cblas_drotg
00000001816daf48 (__TEXT,__text) external _cblas_drotg$NEWLAPACK
00000001816ecf7c (__TEXT,__text) external _cblas_drotg$NEWLAPACK$ILP64
00000001816fc85c (__TEXT,__text) external _cblas_drotm
0000000181382930 (__TEXT,__text) external _cblas_drotm$NEWLAPACK
00000001816d0db8 (__TEXT,__text) external _cblas_drotm$NEWLAPACK$ILP64
0000000181719154 (__TEXT,__text) external _cblas_drotmg
00000001816db03c (__TEXT,__text) external _cblas_drotmg$NEWLAPACK
00000001816ed070 (__TEXT,__text) external _cblas_drotmg$NEWLAPACK$ILP64
0000000181700778 (__TEXT,__text) external _cblas_dsbmv
000000018164f638 (__TEXT,__text) external _cblas_dsbmv$NEWLAPACK
00000001816d89cc (__TEXT,__text) external _cblas_dsbmv$NEWLAPACK$ILP64
0000000180f62bdc (__TEXT,__text) external _cblas_dscal
00000001813827d8 (__TEXT,__text) external _cblas_dscal$NEWLAPACK
00000001816d0c90 (__TEXT,__text) external _cblas_dscal$NEWLAPACK$ILP64
00000001816fab04 (__TEXT,__text) external _cblas_dsdot
0000000180f8eb84 (__TEXT,__text) external _cblas_dsdot$NEWLAPACK
00000001816c3f84 (__TEXT,__text) external _cblas_dsdot$NEWLAPACK$ILP64
00000001816fb328 (__TEXT,__text) external _cblas_dspmv
0000000181010acc (__TEXT,__text) external _cblas_dspmv$NEWLAPACK
00000001816c8c84 (__TEXT,__text) external _cblas_dspmv$NEWLAPACK$ILP64
00000001817010b0 (__TEXT,__text) external _cblas_dspr
00000001816a6030 (__TEXT,__text) external _cblas_dspr$NEWLAPACK
00000001816d9264 (__TEXT,__text) external _cblas_dspr$NEWLAPACK$ILP64
00000001817012b0 (__TEXT,__text) external _cblas_dspr2
00000001816a6718 (__TEXT,__text) external _cblas_dspr2$NEWLAPACK
00000001816d9468 (__TEXT,__text) external _cblas_dspr2$NEWLAPACK$ILP64
00000001816fc764 (__TEXT,__text) external _cblas_dswap
0000000181382838 (__TEXT,__text) external _cblas_dswap$NEWLAPACK
00000001816d0ce0 (__TEXT,__text) external _cblas_dswap$NEWLAPACK$ILP64
00000001816fa35c (__TEXT,__text) external _cblas_dsymm
0000000180f87418 (__TEXT,__text) external _cblas_dsymm$NEWLAPACK
00000001816c3824 (__TEXT,__text) external _cblas_dsymm$NEWLAPACK$ILP64
0000000181700014 (__TEXT,__text) external _cblas_dsymv
0000000181644b80 (__TEXT,__text) external _cblas_dsymv$NEWLAPACK
00000001816d829c (__TEXT,__text) external _cblas_dsymv$NEWLAPACK$ILP64
00000001816fb188 (__TEXT,__text) external _cblas_dsyr
000000018100e710 (__TEXT,__text) external _cblas_dsyr$NEWLAPACK
00000001816c8980 (__TEXT,__text) external _cblas_dsyr$NEWLAPACK$ILP64
00000001816fb240 (__TEXT,__text) external _cblas_dsyr2
000000018100e7c8 (__TEXT,__text) external _cblas_dsyr2$NEWLAPACK
00000001816c8a40 (__TEXT,__text) external _cblas_dsyr2$NEWLAPACK$ILP64
00000001816fc910 (__TEXT,__text) external _cblas_dsyr2k
000000018140a9e8 (__TEXT,__text) external _cblas_dsyr2k$NEWLAPACK
00000001816d3594 (__TEXT,__text) external _cblas_dsyr2k$NEWLAPACK$ILP64
00000001816fccb0 (__TEXT,__text) external _cblas_dsyrk
00000001815482fc (__TEXT,__text) external _cblas_dsyrk$NEWLAPACK
00000001816d3bb0 (__TEXT,__text) external _cblas_dsyrk$NEWLAPACK$ILP64
0000000181700b20 (__TEXT,__text) external _cblas_dtbmv
00000001816507c8 (__TEXT,__text) external _cblas_dtbmv$NEWLAPACK
00000001816d8d54 (__TEXT,__text) external _cblas_dtbmv$NEWLAPACK$ILP64
0000000181700de8 (__TEXT,__text) external _cblas_dtbsv
000000018165ac08 (__TEXT,__text) external _cblas_dtbsv$NEWLAPACK
00000001816d8fdc (__TEXT,__text) external _cblas_dtbsv$NEWLAPACK$ILP64
0000000181701524 (__TEXT,__text) external _cblas_dtpmv
00000001816a9948 (__TEXT,__text) external _cblas_dtpmv$NEWLAPACK
00000001816d96b8 (__TEXT,__text) external _cblas_dtpmv$NEWLAPACK$ILP64
0000000181701770 (__TEXT,__text) external _cblas_dtpsv
00000001816ace98 (__TEXT,__text) external _cblas_dtpsv$NEWLAPACK
00000001816d98e4 (__TEXT,__text) external _cblas_dtpsv$NEWLAPACK$ILP64
00000001816fcfec (__TEXT,__text) external _cblas_dtrmm
00000001815507e8 (__TEXT,__text) external _cblas_dtrmm$NEWLAPACK
00000001816d46f4 (__TEXT,__text) external _cblas_dtrmm$NEWLAPACK$ILP64
0000000180f632e0 (__TEXT,__text) external _cblas_dtrmv
000000018100e8b0 (__TEXT,__text) external _cblas_dtrmv$NEWLAPACK
00000001816c8b2c (__TEXT,__text) external _cblas_dtrmv$NEWLAPACK$ILP64
00000001816fa738 (__TEXT,__text) external _cblas_dtrsm
0000000180f877f4 (__TEXT,__text) external _cblas_dtrsm$NEWLAPACK
00000001816c3bd0 (__TEXT,__text) external _cblas_dtrsm$NEWLAPACK$ILP64
0000000181550ba8 (__TEXT,__text) external _cblas_dtrsm_spi$NEWLAPACK
00000001816d4a90 (__TEXT,__text) external _cblas_dtrsm_spi$NEWLAPACK$ILP64
0000000181310f60 (__TEXT,__text) external _cblas_dtrsm_spi_mem_requirement$NEWLAPACK
00000001816cd778 (__TEXT,__text) external _cblas_dtrsm_spi_mem_requirement$NEWLAPACK$ILP64
00000001816ffda4 (__TEXT,__text) external _cblas_dtrsv
00000001816435d0 (__TEXT,__text) external _cblas_dtrsv$NEWLAPACK
00000001816d8058 (__TEXT,__text) external _cblas_dtrsv$NEWLAPACK$ILP64
000000018171febc (__TEXT,__text) external _cblas_dzasum
00000001816e3fbc (__TEXT,__text) external _cblas_dzasum$NEWLAPACK
00000001816f38dc (__TEXT,__text) external _cblas_dzasum$NEWLAPACK$ILP64
000000018171ff20 (__TEXT,__text) external _cblas_dznrm2
00000001816e4020 (__TEXT,__text) external _cblas_dznrm2$NEWLAPACK
00000001816f393c (__TEXT,__text) external _cblas_dznrm2$NEWLAPACK$ILP64
0000000181727598 (__TEXT,__text) external _cblas_errprn
00000001816ec0e8 (__TEXT,__text) external _cblas_errprn$NEWLAPACK
00000001816f9c5c (__TEXT,__text) external _cblas_errprn$NEWLAPACK$ILP64
000000018171fc54 (__TEXT,__text) external _cblas_icamax
00000001816e3d54 (__TEXT,__text) external _cblas_icamax$NEWLAPACK
00000001816f3680 (__TEXT,__text) external _cblas_icamax$NEWLAPACK$ILP64
0000000180f62990 (__TEXT,__text) external _cblas_idamax
00000001816c1cf8 (__TEXT,__text) external _cblas_idamax$NEWLAPACK
00000001816d9ec8 (__TEXT,__text) external _cblas_idamax$NEWLAPACK$ILP64
00000001817019bc (__TEXT,__text) external _cblas_isamax
00000001816af590 (__TEXT,__text) external _cblas_isamax$NEWLAPACK
00000001816d9b10 (__TEXT,__text) external _cblas_isamax$NEWLAPACK$ILP64
0000000181720000 (__TEXT,__text) external _cblas_izamax
00000001816e4100 (__TEXT,__text) external _cblas_izamax$NEWLAPACK
00000001816f3a14 (__TEXT,__text) external _cblas_izamax$NEWLAPACK$ILP64
00000001816fac1c (__TEXT,__text) external _cblas_sasum
0000000180f8ec9c (__TEXT,__text) external _cblas_sasum$NEWLAPACK
00000001816c406c (__TEXT,__text) external _cblas_sasum$NEWLAPACK$ILP64
00000001816fac78 (__TEXT,__text) external _cblas_saxpy
0000000180f8ecf8 (__TEXT,__text) external _cblas_saxpy$NEWLAPACK
00000001816c40c0 (__TEXT,__text) external _cblas_saxpy$NEWLAPACK$ILP64
000000018171fd80 (__TEXT,__text) external _cblas_scasum
00000001816e3e80 (__TEXT,__text) external _cblas_scasum$NEWLAPACK
00000001816f37a8 (__TEXT,__text) external _cblas_scasum$NEWLAPACK$ILP64
000000018171fddc (__TEXT,__text) external _cblas_scnrm2
00000001816e3edc (__TEXT,__text) external _cblas_scnrm2$NEWLAPACK
00000001816f3800 (__TEXT,__text) external _cblas_scnrm2$NEWLAPACK$ILP64
00000001816fad38 (__TEXT,__text) external _cblas_scopy
0000000180f8edb8 (__TEXT,__text) external _cblas_scopy$NEWLAPACK
00000001816c4164 (__TEXT,__text) external _cblas_scopy$NEWLAPACK$ILP64
00000001816fabd4 (__TEXT,__text) external _cblas_sdot
0000000180f8ec54 (__TEXT,__text) external _cblas_sdot$NEWLAPACK
00000001816c4034 (__TEXT,__text) external _cblas_sdot$NEWLAPACK$ILP64
00000001816fab58 (__TEXT,__text) external _cblas_sdsdot
0000000180f8ebd8 (__TEXT,__text) external _cblas_sdsdot$NEWLAPACK
00000001816c3fc8 (__TEXT,__text) external _cblas_sdsdot$NEWLAPACK$ILP64
00000001816fe418 (__TEXT,__text) external _cblas_sgbmv
000000018163417c (__TEXT,__text) external _cblas_sgbmv$NEWLAPACK
00000001816d67f8 (__TEXT,__text) external _cblas_sgbmv$NEWLAPACK$ILP64
00000001816fafcc (__TEXT,__text) external _cblas_sgemm
0000000180f98f8c (__TEXT,__text) external _cblas_sgemm$NEWLAPACK
00000001816c4f14 (__TEXT,__text) external _cblas_sgemm$NEWLAPACK$ILP64
0000000180f98ffc (__TEXT,__text) external _cblas_sgemm_singlecore
0000000181314680 (__TEXT,__text) external _cblas_sgemm_spi$NEWLAPACK
00000001816ceb9c (__TEXT,__text) external _cblas_sgemm_spi$NEWLAPACK$ILP64
000000018130f560 (__TEXT,__text) external _cblas_sgemm_spi_mem_requirement$NEWLAPACK
00000001816cbdb8 (__TEXT,__text) external _cblas_sgemm_spi_mem_requirement$NEWLAPACK$ILP64
00000001816fc1f0 (__TEXT,__text) external _cblas_sgemv
0000000181328e9c (__TEXT,__text) external _cblas_sgemv$NEWLAPACK
00000001816d0794 (__TEXT,__text) external _cblas_sgemv$NEWLAPACK$ILP64
0000000181328f00 (__TEXT,__text) external _cblas_sgemv_singlecore
00000001816fbfbc (__TEXT,__text) external _cblas_sger
0000000181328c68 (__TEXT,__text) external _cblas_sger$NEWLAPACK
00000001816d0560 (__TEXT,__text) external _cblas_sger$NEWLAPACK$ILP64
00000001816fad9c (__TEXT,__text) external _cblas_snrm2
0000000180f8ee1c (__TEXT,__text) external _cblas_snrm2$NEWLAPACK
00000001816c41b8 (__TEXT,__text) external _cblas_snrm2$NEWLAPACK$ILP64
00000001816faea4 (__TEXT,__text) external _cblas_srot
0000000180f8ef24 (__TEXT,__text) external _cblas_srot$NEWLAPACK
00000001816c4298 (__TEXT,__text) external _cblas_srot$NEWLAPACK$ILP64
0000000181719438 (__TEXT,__text) external _cblas_srotg
00000001816db320 (__TEXT,__text) external _cblas_srotg$NEWLAPACK
00000001816ed354 (__TEXT,__text) external _cblas_srotg$NEWLAPACK$ILP64
00000001816faf1c (__TEXT,__text) external _cblas_srotm
0000000180f8ef9c (__TEXT,__text) external _cblas_srotm$NEWLAPACK
00000001816c4300 (__TEXT,__text) external _cblas_srotm$NEWLAPACK$ILP64
0000000181719528 (__TEXT,__text) external _cblas_srotmg
00000001816db410 (__TEXT,__text) external _cblas_srotmg$NEWLAPACK
00000001816ed444 (__TEXT,__text) external _cblas_srotmg$NEWLAPACK$ILP64
00000001816fe874 (__TEXT,__text) external _cblas_ssbmv
0000000181634e94 (__TEXT,__text) external _cblas_ssbmv$NEWLAPACK
00000001816d6c3c (__TEXT,__text) external _cblas_ssbmv$NEWLAPACK$ILP64
00000001816fadc4 (__TEXT,__text) external _cblas_sscal
0000000180f8ee44 (__TEXT,__text) external _cblas_sscal$NEWLAPACK
00000001816c41d8 (__TEXT,__text) external _cblas_sscal$NEWLAPACK$ILP64
00000001816fec1c (__TEXT,__text) external _cblas_sspmv
0000000181635a48 (__TEXT,__text) external _cblas_sspmv$NEWLAPACK
00000001816d6fc4 (__TEXT,__text) external _cblas_sspmv$NEWLAPACK$ILP64
00000001816fef10 (__TEXT,__text) external _cblas_sspr
0000000181636118 (__TEXT,__text) external _cblas_sspr$NEWLAPACK
00000001816d72ac (__TEXT,__text) external _cblas_sspr$NEWLAPACK$ILP64
00000001816ff110 (__TEXT,__text) external _cblas_sspr2
0000000181636868 (__TEXT,__text) external _cblas_sspr2$NEWLAPACK
00000001816d74a0 (__TEXT,__text) external _cblas_sspr2$NEWLAPACK$ILP64
00000001816fae24 (__TEXT,__text) external _cblas_sswap
0000000180f8eea4 (__TEXT,__text) external _cblas_sswap$NEWLAPACK
00000001816c4228 (__TEXT,__text) external _cblas_sswap$NEWLAPACK$ILP64
00000001816fdac4 (__TEXT,__text) external _cblas_ssymm
0000000181623234 (__TEXT,__text) external _cblas_ssymm$NEWLAPACK
00000001816d5ab8 (__TEXT,__text) external _cblas_ssymm$NEWLAPACK$ILP64
00000001816fe110 (__TEXT,__text) external _cblas_ssymv
0000000181631b90 (__TEXT,__text) external _cblas_ssymv$NEWLAPACK
00000001816d650c (__TEXT,__text) external _cblas_ssymv$NEWLAPACK$ILP64
00000001816fc254 (__TEXT,__text) external _cblas_ssyr
0000000181328f64 (__TEXT,__text) external _cblas_ssyr$NEWLAPACK
00000001816d07e4 (__TEXT,__text) external _cblas_ssyr$NEWLAPACK$ILP64
00000001816fc308 (__TEXT,__text) external _cblas_ssyr2
0000000181329018 (__TEXT,__text) external _cblas_ssyr2$NEWLAPACK
00000001816d08a0 (__TEXT,__text) external _cblas_ssyr2$NEWLAPACK$ILP64
00000001816fb520 (__TEXT,__text) external _cblas_ssyr2k
00000001810beaf8 (__TEXT,__text) external _cblas_ssyr2k$NEWLAPACK
00000001816c9158 (__TEXT,__text) external _cblas_ssyr2k$NEWLAPACK$ILP64
00000001816fb8c0 (__TEXT,__text) external _cblas_ssyrk
00000001811f67fc (__TEXT,__text) external _cblas_ssyrk$NEWLAPACK
00000001816cb158 (__TEXT,__text) external _cblas_ssyrk$NEWLAPACK$ILP64
00000001816ff37c (__TEXT,__text) external _cblas_stbmv
0000000181637a9c (__TEXT,__text) external _cblas_stbmv$NEWLAPACK
00000001816d76f0 (__TEXT,__text) external _cblas_stbmv$NEWLAPACK$ILP64
00000001816ff644 (__TEXT,__text) external _cblas_stbsv
0000000181638fec (__TEXT,__text) external _cblas_stbsv$NEWLAPACK
00000001816d7978 (__TEXT,__text) external _cblas_stbsv$NEWLAPACK$ILP64
00000001816ff90c (__TEXT,__text) external _cblas_stpmv
000000018163c704 (__TEXT,__text) external _cblas_stpmv$NEWLAPACK
00000001816d7c00 (__TEXT,__text) external _cblas_stpmv$NEWLAPACK$ILP64
00000001816ffb58 (__TEXT,__text) external _cblas_stpsv
0000000181640854 (__TEXT,__text) external _cblas_stpsv$NEWLAPACK
00000001816d7e2c (__TEXT,__text) external _cblas_stpsv$NEWLAPACK$ILP64
00000001816fbbfc (__TEXT,__text) external _cblas_strmm
0000000181322dac (__TEXT,__text) external _cblas_strmm$NEWLAPACK
00000001816cfea4 (__TEXT,__text) external _cblas_strmm$NEWLAPACK$ILP64
00000001816fc3ec (__TEXT,__text) external _cblas_strmv
00000001813290fc (__TEXT,__text) external _cblas_strmv$NEWLAPACK
00000001816d0988 (__TEXT,__text) external _cblas_strmv$NEWLAPACK$ILP64
0000000181701c14 (__TEXT,__text) external _cblas_strsm
00000001816af7e8 (__TEXT,__text) external _cblas_strsm$NEWLAPACK
00000001816d9b14 (__TEXT,__text) external _cblas_strsm$NEWLAPACK$ILP64
00000001811ca2d8 (__TEXT,__text) external _cblas_strsm_spi$NEWLAPACK
00000001816ca67c (__TEXT,__text) external _cblas_strsm_spi$NEWLAPACK$ILP64
000000018131082c (__TEXT,__text) external _cblas_strsm_spi_mem_requirement$NEWLAPACK
00000001816cd050 (__TEXT,__text) external _cblas_strsm_spi_mem_requirement$NEWLAPACK$ILP64
00000001816fdea0 (__TEXT,__text) external _cblas_strsv
0000000181630728 (__TEXT,__text) external _cblas_strsv$NEWLAPACK
00000001816d62c8 (__TEXT,__text) external _cblas_strsv$NEWLAPACK$ILP64
0000000181727500 (__TEXT,__text) external _cblas_xerbla
00000001816ec050 (__TEXT,__text) external _cblas_xerbla$NEWLAPACK
00000001816f9bc4 (__TEXT,__text) external _cblas_xerbla$NEWLAPACK$ILP64
00000001817203f8 (__TEXT,__text) external _cblas_zaxpy
00000001816e44f8 (__TEXT,__text) external _cblas_zaxpy$NEWLAPACK
00000001816f3e00 (__TEXT,__text) external _cblas_zaxpy$NEWLAPACK$ILP64
0000000181720520 (__TEXT,__text) external _cblas_zcopy
00000001816e4620 (__TEXT,__text) external _cblas_zcopy$NEWLAPACK
00000001816f3f24 (__TEXT,__text) external _cblas_zcopy$NEWLAPACK$ILP64
0000000181720604 (__TEXT,__text) external _cblas_zdotc_sub
00000001816e4704 (__TEXT,__text) external _cblas_zdotc_sub$NEWLAPACK
00000001816f4014 (__TEXT,__text) external _cblas_zdotc_sub$NEWLAPACK$ILP64
000000018172078c (__TEXT,__text) external _cblas_zdotu_sub
00000001816e4858 (__TEXT,__text) external _cblas_zdotu_sub$NEWLAPACK
00000001816f4164 (__TEXT,__text) external _cblas_zdotu_sub$NEWLAPACK$ILP64
00000001817208e0 (__TEXT,__text) external _cblas_zdrot
00000001816e49ac (__TEXT,__text) external _cblas_zdrot$NEWLAPACK
00000001816f42b4 (__TEXT,__text) external _cblas_zdrot$NEWLAPACK$ILP64
0000000181720970 (__TEXT,__text) external _cblas_zdscal
00000001816e4a3c (__TEXT,__text) external _cblas_zdscal$NEWLAPACK
00000001816f4340 (__TEXT,__text) external _cblas_zdscal$NEWLAPACK$ILP64
0000000181720fc0 (__TEXT,__text) external _cblas_zgbmv
00000001816e4eec (__TEXT,__text) external _cblas_zgbmv$NEWLAPACK
00000001816f47c8 (__TEXT,__text) external _cblas_zgbmv$NEWLAPACK$ILP64
000000018170f700 (__TEXT,__text) external _cblas_zgemm
00000001811be69c (__TEXT,__text) external _cblas_zgemm$NEWLAPACK
00000001816c9de4 (__TEXT,__text) external _cblas_zgemm$NEWLAPACK$ILP64
0000000180f98ad8 (__TEXT,__text) external _cblas_zgemm_spi$NEWLAPACK
00000001816c4ab0 (__TEXT,__text) external _cblas_zgemm_spi$NEWLAPACK$ILP64
00000001813103e4 (__TEXT,__text) external _cblas_zgemm_spi_mem_requirement$NEWLAPACK
00000001816ccc14 (__TEXT,__text) external _cblas_zgemm_spi_mem_requirement$NEWLAPACK$ILP64
00000001817216a4 (__TEXT,__text) external _cblas_zgemv
0000000181550f8c (__TEXT,__text) external _cblas_zgemv$NEWLAPACK
00000001816d4e4c (__TEXT,__text) external _cblas_zgemv$NEWLAPACK$ILP64
000000018172237c (__TEXT,__text) external _cblas_zgerc
00000001816e559c (__TEXT,__text) external _cblas_zgerc$NEWLAPACK
00000001816f4e98 (__TEXT,__text) external _cblas_zgerc$NEWLAPACK$ILP64
0000000181722a84 (__TEXT,__text) external _cblas_zgeru
00000001816e5ca4 (__TEXT,__text) external _cblas_zgeru$NEWLAPACK
00000001816f559c (__TEXT,__text) external _cblas_zgeru$NEWLAPACK$ILP64
0000000181723214 (__TEXT,__text) external _cblas_zhbmv
00000001816e6434 (__TEXT,__text) external _cblas_zhbmv$NEWLAPACK
00000001816f5d20 (__TEXT,__text) external _cblas_zhbmv$NEWLAPACK$ILP64
0000000181710574 (__TEXT,__text) external _cblas_zhemm
00000001812487f8 (__TEXT,__text) external _cblas_zhemm$NEWLAPACK
00000001816cba38 (__TEXT,__text) external _cblas_zhemm$NEWLAPACK$ILP64
0000000181723498 (__TEXT,__text) external _cblas_zhemv
00000001816e6a08 (__TEXT,__text) external _cblas_zhemv$NEWLAPACK
00000001816f5fbc (__TEXT,__text) external _cblas_zhemv$NEWLAPACK$ILP64
0000000181723ba8 (__TEXT,__text) external _cblas_zher
00000001816e73f8 (__TEXT,__text) external _cblas_zher$NEWLAPACK
00000001816f66a8 (__TEXT,__text) external _cblas_zher$NEWLAPACK$ILP64
00000001817242bc (__TEXT,__text) external _cblas_zher2
00000001816e7b0c (__TEXT,__text) external _cblas_zher2$NEWLAPACK
00000001816f6dcc (__TEXT,__text) external _cblas_zher2$NEWLAPACK$ILP64
000000018171154c (__TEXT,__text) external _cblas_zher2k
0000000181239348 (__TEXT,__text) external _cblas_zher2k$NEWLAPACK
00000001816cb6bc (__TEXT,__text) external _cblas_zher2k$NEWLAPACK$ILP64
0000000181712834 (__TEXT,__text) external _cblas_zherk
0000000181098538 (__TEXT,__text) external _cblas_zherk$NEWLAPACK
00000001816c8e64 (__TEXT,__text) external _cblas_zherk$NEWLAPACK$ILP64
00000001817248ec (__TEXT,__text) external _cblas_zhpmv
00000001816e813c (__TEXT,__text) external _cblas_zhpmv$NEWLAPACK
00000001816f73dc (__TEXT,__text) external _cblas_zhpmv$NEWLAPACK$ILP64
0000000181724b1c (__TEXT,__text) external _cblas_zhpr
00000001816e8654 (__TEXT,__text) external _cblas_zhpr$NEWLAPACK
00000001816f7618 (__TEXT,__text) external _cblas_zhpr$NEWLAPACK$ILP64
0000000181724c8c (__TEXT,__text) external _cblas_zhpr2
00000001816e89c0 (__TEXT,__text) external _cblas_zhpr2$NEWLAPACK
00000001816f7790 (__TEXT,__text) external _cblas_zhpr2$NEWLAPACK$ILP64
0000000181720a54 (__TEXT,__text) external _cblas_zrotg
00000001816e4b20 (__TEXT,__text) external _cblas_zrotg$NEWLAPACK
00000001816f4420 (__TEXT,__text) external _cblas_zrotg$NEWLAPACK$ILP64
0000000181720bd4 (__TEXT,__text) external _cblas_zscal
00000001816e4ca0 (__TEXT,__text) external _cblas_zscal$NEWLAPACK
00000001816f45a0 (__TEXT,__text) external _cblas_zscal$NEWLAPACK$ILP64
0000000181720f4c (__TEXT,__text) external _cblas_zswap
00000001816e4e78 (__TEXT,__text) external _cblas_zswap$NEWLAPACK
00000001816f4758 (__TEXT,__text) external _cblas_zswap$NEWLAPACK$ILP64
0000000181714f44 (__TEXT,__text) external _cblas_zsymm
000000018140a614 (__TEXT,__text) external _cblas_zsymm$NEWLAPACK
00000001816d3214 (__TEXT,__text) external _cblas_zsymm$NEWLAPACK$ILP64
0000000181715f24 (__TEXT,__text) external _cblas_zsyr2k
000000018132316c (__TEXT,__text) external _cblas_zsyr2k$NEWLAPACK
00000001816d0240 (__TEXT,__text) external _cblas_zsyr2k$NEWLAPACK$ILP64
0000000181717228 (__TEXT,__text) external _cblas_zsyrk
00000001810cf680 (__TEXT,__text) external _cblas_zsyrk$NEWLAPACK
00000001816c9790 (__TEXT,__text) external _cblas_zsyrk$NEWLAPACK$ILP64
0000000181725244 (__TEXT,__text) external _cblas_ztbmv
00000001816e8f78 (__TEXT,__text) external _cblas_ztbmv$NEWLAPACK
00000001816f7d2c (__TEXT,__text) external _cblas_ztbmv$NEWLAPACK$ILP64
00000001817254ec (__TEXT,__text) external _cblas_ztbsv
00000001816e9628 (__TEXT,__text) external _cblas_ztbsv$NEWLAPACK
00000001816f8000 (__TEXT,__text) external _cblas_ztbsv$NEWLAPACK$ILP64
