00007ffb00f71e62 (__TEXT,__text) non-external _DiToMD5
00007ffb00f5f4a4 (__TEXT,__text) external __ZN12IOUserClient27CopyClientEntitlements_ImplEPP12OSDictionary
00007ffb00f7f65a (__TEXT,__text) external __ZN12IOUserClient28CreateActionKernelCompletionEmPP8OSAction
00007ffb00f7eb98 (__TEXT,__text) external __ZN12IOUserClient29CopyClientEntitlements_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00007ffb00f7f776 (__TEXT,__text) external __ZN12IOUserClient30CopyClientMemoryForType_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPyPP18IOMemoryDescriptorE
00007ffb00f7f132 (__TEXT,__text) external __ZN12IOUserClient32CreateMemoryDescriptorFromClientEyjPK16IOAddressSegmentPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb00f7f7fc (__TEXT,__text) external __ZN12IOUserClient39CreateMemoryDescriptorFromClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_yjPK16IOAddressSegmentPP18IOMemoryDescriptorE
00007ffb00f5ee04 (__TEXT,__text) external __ZN12IOUserClient4freeEv
00007ffb00f5ed38 (__TEXT,__text) external __ZN12IOUserClient4initEv
00007ffb00f7ea8e (__TEXT,__text) external __ZN12IOUserClient8DispatchE5IORPC
00007ffb00f7ea98 (__TEXT,__text) external __ZN12IOUserClient9_DispatchEPS_5IORPC
00007ffb00f7ff6e (__TEXT,__text) external __ZN12IOUserServer10LoadModuleEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb00f7faba (__TEXT,__text) external __ZN12IOUserServer11Exit_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb00f800da (__TEXT,__text) external __ZN12IOUserServer13Create_InvokeE5IORPCPFiPKcyyP8OSStringPPS_E
00007ffb00f5bf9a (__TEXT,__text) external __ZN12IOUserServer15LoadModule_ImplEPKc
00007ffb00f7fb6e (__TEXT,__text) external __ZN12IOUserServer17LoadModule_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb00f7fe02 (__TEXT,__text) external __ZN12IOUserServer4ExitEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb00f5bf36 (__TEXT,__text) external __ZN12IOUserServer4freeEv
00007ffb00f5bf26 (__TEXT,__text) external __ZN12IOUserServer4initEv
00007ffb00f7fc44 (__TEXT,__text) external __ZN12IOUserServer6CreateEPKcyyP8OSStringPPS_
00007ffb00f7f968 (__TEXT,__text) external __ZN12IOUserServer8DispatchE5IORPC
00007ffb00f5bf80 (__TEXT,__text) external __ZN12IOUserServer9Exit_ImplEPKc
00007ffb00f7f972 (__TEXT,__text) external __ZN12IOUserServer9_DispatchEPS_5IORPC
00007ffb00f651d6 (__TEXT,__text) external __ZN12OSDictionary11withObjectsEPPK8OSObjectS3_jj
00007ffb00f65336 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPK8OSObject
00007ffb00f65344 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPKc
00007ffb00f651cc (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
00007ffb00f650b0 (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
00007ffb00f6525e (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00007ffb00f650c0 (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00007ffb00f6517e (__TEXT,__text) external __ZN12OSDictionary4freeEv
00007ffb00f65298 (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00007ffb00f6524e (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00007ffb00f65324 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00007ffb00f5fa7c (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00007ffb00f5fdaa (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00007ffb00f5fd56 (__TEXT,__text) external __ZN12OSMappedFile4initEv
00007ffb00f660c6 (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00007ffb00f65e7e (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00007ffb00f6601e (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00007ffb00f66056 (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00007ffb00f65f1a (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00007ffb00f65f02 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00007ffb00f65f7e (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00007ffb00f60016 (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00007ffb00f5feee (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00007ffb00f600f8 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00007ffb00f601ca (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00007ffb00f834a0 (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00007ffb00f6027a (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00007ffb00f834c3 (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00007ffb00f5ff5a (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00007ffb00f5fede (__TEXT,__text) external __ZN13IOCommandPool4initEv
00007ffb00f5ffbc (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00007ffb00f71a4e (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00007ffb00f719f6 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00007ffb00f71906 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00007ffb00f718a4 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00007ffb00f71718 (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00007ffb00f718f8 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00007ffb00f815b2 (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00007ffb00f74bbe (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00007ffb00f5a4d0 (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00007ffb00f74db0 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00007ffb00f5c3a6 (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00007ffb00f5c53a (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00007ffb00f74d3e (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb00f5a3ee (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00007ffb00f5c8fc (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00007ffb00f5c66e (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00007ffb00f83044 (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00007ffb00f5c970 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00007ffb00f830d0 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00007ffb00f830f3 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00007ffb00f5c4a2 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00007ffb00f5c4cc (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00007ffb00f83021 (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00007ffb00f5c368 (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00007ffb00f5c10e (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00007ffb00f5bfd4 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00007ffb00f5c966 (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00007ffb00f5c028 (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00007ffb00f5bbb6 (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00007ffb00f82e37 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00007ffb00f82e5a (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00007ffb00f82e7d (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00007ffb00f82ea0 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00007ffb00f82ec3 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00007ffb00f82ee6 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00007ffb00f82f09 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00007ffb00f82f2c (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00007ffb00f5ca0e (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00007ffb00f5a328 (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00007ffb00f5a33a (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00007ffb00f74ab2 (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00007ffb00f74a4c (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00007ffb00f5ca1a (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00007ffb00f74a6e (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00007ffb00f711e4 (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00007ffb00f70e5a (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00007ffb00f70ec6 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00007ffb00f712d2 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00007ffb00f7131a (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00007ffb00f70ed0 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00007ffb00f843e1 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00007ffb00f714ce (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00007ffb00f715c2 (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00007ffb00f71004 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00007ffb00f843f3 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00007ffb00f715d6 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00007ffb00f715ea (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00007ffb00f70744 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00007ffb00f707b6 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00007ffb00f7114c (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00007ffb00f711da (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00007ffb00f80ef4 (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00007ffb00f58ce8 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00007ffb00f594ce (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00007ffb00f596e0 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00007ffb00f823d9 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00007ffb00f823fc (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00007ffb00f59638 (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00007ffb00f8239a (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00007ffb00f59dd0 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00007ffb00f825d1 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00007ffb00f825f4 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00007ffb00f82617 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00007ffb00f8263a (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00007ffb00f8265d (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00007ffb00f82680 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00007ffb00f59858 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00007ffb00f824b9 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00007ffb00f824dc (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00007ffb00f824ff (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00007ffb00f82522 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00007ffb00f58cde (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00007ffb00f58d18 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00007ffb00f62908 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00007ffb00f667e6 (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00007ffb00f83da4 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00007ffb00f667a2 (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00007ffb00f83d81 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00007ffb00f6678e (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00007ffb00f66798 (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00007ffb00f6680c (__TEXT,__text) external __ZN15OSSerialization4freeEv
00007ffb00f7527c (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00007ffb00f75594 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00007ffb00f5cb4c (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00007ffb00f74f72 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffb00f75680 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00007ffb00f7513e (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb00f75608 (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00007ffb00f5cb34 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00007ffb00f5cb24 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00007ffb00f75008 (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb00f74ec0 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00007ffb00f7545a (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00007ffb00f74eca (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00007ffb00f6f8b8 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00007ffb00f6f0c0 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00007ffb00f6f7e8 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00007ffb00f6f0de (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00007ffb00f6fc0e (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00007ffb00f6fb50 (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00007ffb00f8414a (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00007ffb00f6fade (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00007ffb00f84131 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00007ffb00f6fb88 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00007ffb00f84163 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00007ffb00f6fc4c (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00007ffb00f6f4ac (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00007ffb00f84071 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00007ffb00f8408a (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00007ffb00f840aa (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00007ffb00f840d1 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00007ffb00f840f1 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00007ffb00f6f154 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00007ffb00f83f6d (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00007ffb00f83f86 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00007ffb00f83f9f (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00007ffb00f6f784 (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00007ffb00f6f62e (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00007ffb00f6f0a2 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00007ffb00f6fb80 (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00007ffb00f6f6e8 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00007ffb00f84118 (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00007ffb00f6fbd0 (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00007ffb00f6f31a (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffb00f83fb1 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffb00f83fca (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffb00f83fe3 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffb00f84003 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00007ffb00f8402a (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00007ffb00f8404a (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00007ffb00f6f0f0 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00007ffb00f6f570 (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00007ffb00f6ee08 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00007ffb00f6ed02 (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00007ffb00f6ef24 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00007ffb00f6ef1a (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00007ffb00f6ee72 (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00007ffb00f83edf (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00007ffb00f83eff (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00007ffb00f83f26 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00007ffb00f83f46 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00007ffb00f6fe5e (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00007ffb00f6fcdc (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00007ffb00f6feec (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00007ffb00f6fd4c (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00007ffb00f6fdd0 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00007ffb00f80e08 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00007ffb00f81f00 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00007ffb00f80830 (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00007ffb00f808fc (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00007ffb00f80e76 (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00007ffb00f80f92 (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00007ffb00f80fc2 (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00007ffb00f81024 (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00007ffb00f815f0 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00007ffb00f73066 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00007ffb00f776a4 (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00007ffb00f77800 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00007ffb00f77c00 (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00007ffb00f77c74 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00007ffb00f77982 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00007ffb00f77a94 (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00007ffb00f77d0c (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00007ffb00f77dd2 (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00007ffb00f5d6bc (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00007ffb00f8322a (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00007ffb00f5ea06 (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00007ffb00f5e9b2 (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00007ffb00f7763e (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00007ffb00f5ea68 (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00007ffb00f83365 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00007ffb00f77660 (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00007ffb00f78258 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00007ffb00f78e2a (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00007ffb00f80e46 (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00007ffb00f70738 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00007ffb00f7065e (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00007ffb00f705d8 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00007ffb00f6ff92 (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb00f70042 (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb00f78168 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00007ffb00f7572c (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00007ffb00f7586c (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00007ffb00f7630a (__TEXT,__text) external __ZN20IOExtensiblePaniclog10AppendDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb00f761c6 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10InsertDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb00f765bc (__TEXT,__text) external __ZN20IOExtensiblePaniclog10SetUsedLenEjPFiP15OSMetaClassBase5IORPCE
00007ffb00f61234 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11ClaimBufferEPyS0_
00007ffb00f76094 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11SetInactiveEPFiP15OSMetaClassBase5IORPCE
00007ffb00f61304 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11YieldBufferEj
00007ffb00f766f6 (__TEXT,__text) external __ZN20IOExtensiblePaniclog13Create_InvokeE5IORPCPFiP6OSDataP8OSStringjjPPS_E
00007ffb00f767e6 (__TEXT,__text) external __ZN20IOExtensiblePaniclog16SetActive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb00f76974 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17AppendData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00007ffb00f768be (__TEXT,__text) external __ZN20IOExtensiblePaniclog17InsertData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
