000000018276dda8 (__DATA,__data) external _NDR_record
0000000180744f08 (__DATA_CONST,__const) non-external _err_codes_send
0000000180744c88 (__DATA_CONST,__const) non-external _err_codes_sunrpc
0000000180744a90 (__DATA_CONST,__const) non-external _err_codes_task_master
0000000180744a88 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001807447c0 (__DATA_CONST,__const) non-external _err_codes_unix
0000000180744bc8 (__DATA_CONST,__const) non-external _err_codes_us
0000000180744db0 (__DATA_CONST,__const) non-external _err_codes_ux_signal
0000000180744ea0 (__DATA_CONST,__const) non-external _err_codes_xkernel
0000000180744508 (__DATA_CONST,__const) non-external _err_ipc_sub
0000000180744580 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001807441e8 (__DATA_CONST,__const) non-external _err_os_sub
0000000180744288 (__DATA_CONST,__const) non-external _err_server_sub
000000018068eb70 (__TEXT,__const) non-external _err_us_sub
000000018276de30 (__DATA,__common) external _errno
0000000180689f4c (__TEXT,__text) external _etap_trace_thread
0000000180674ab4 (__TEXT,__text) external _exc_server
0000000180674a80 (__TEXT,__text) external _exc_server_routine
00000001806740cc (__TEXT,__text) external _exception_raise
0000000180674248 (__TEXT,__text) external _exception_raise_state
00000001806744bc (__TEXT,__text) external _exception_raise_state_identity
000000018065f980 (__TEXT,__text) external _exchangedata
0000000180664374 (__TEXT,__text) external _exclaves_boot
0000000180664288 (__TEXT,__text) external _exclaves_endpoint_call
000000018066431c (__TEXT,__text) external _exclaves_named_buffer_copyin
0000000180664348 (__TEXT,__text) external _exclaves_named_buffer_copyout
00000001806642f8 (__TEXT,__text) external _exclaves_named_buffer_create
000000018066a564 (__TEXT,__text) external _execve
000000018065f9ac (__TEXT,__text) external _faccessat
000000018065f9d8 (__TEXT,__text) external _fchdir
000000018065fa04 (__TEXT,__text) external _fchflags
00000001806681f8 (__TEXT,__text) external _fchmod
000000018065fa30 (__TEXT,__text) external _fchmodat
000000018065fa5c (__TEXT,__text) external _fchown
000000018065fa88 (__TEXT,__text) external _fchownat
000000018065fab4 (__TEXT,__text) external _fclonefileat
000000018066ac38 (__TEXT,__text) external _fcntl
000000018066a8bc (__TEXT,__text) external _fcntl$NOCANCEL
000000018065fae0 (__TEXT,__text) external _fdatasync
000000018065fb0c (__TEXT,__text) external _ffsctl
000000018065fb38 (__TEXT,__text) external _fgetattrlist
000000018065fb64 (__TEXT,__text) external _fgetxattr
000000018065fb90 (__TEXT,__text) external _fhopen
000000018065fbbc (__TEXT,__text) external _fileport_makefd
000000018065fbe8 (__TEXT,__text) external _fileport_makeport
000000018065fc14 (__TEXT,__text) external _flistxattr
000000018065fc40 (__TEXT,__text) external _flock
000000018065fc6c (__TEXT,__text) external _fmount
000000018065fc98 (__TEXT,__text) external _fpathconf
0000000180663c78 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
000000018065fcc4 (__TEXT,__text) external _freadlink
000000018065fcf0 (__TEXT,__text) external _fremovexattr
000000018066eb70 (__TEXT,__text) external _fs_snapshot_create
000000018066ebc0 (__TEXT,__text) external _fs_snapshot_delete
000000018066eb8c (__TEXT,__text) external _fs_snapshot_list
000000018066ec30 (__TEXT,__text) external _fs_snapshot_mount
000000018066ebdc (__TEXT,__text) external _fs_snapshot_rename
000000018066ebf8 (__TEXT,__text) external _fs_snapshot_revert
000000018066ec14 (__TEXT,__text) external _fs_snapshot_root
000000018065fd1c (__TEXT,__text) external _fsctl
000000018065fd48 (__TEXT,__text) external _fsetattrlist
000000018065fd74 (__TEXT,__text) external _fsetxattr
000000018065fda0 (__TEXT,__text) external _fsgetpath
000000018065fdcc (__TEXT,__text) external _fsgetpath_ext
000000018065fdf8 (__TEXT,__text) external _fstat
000000018065fdf8 (__TEXT,__text) external _fstat64
000000018065fe24 (__TEXT,__text) external _fstatat
000000018065fe24 (__TEXT,__text) external _fstatat64
000000018065fe50 (__TEXT,__text) external _fstatfs
000000018065fe50 (__TEXT,__text) external _fstatfs64
000000018065fe7c (__TEXT,__text) external _fsync
000000018065d3f8 (__TEXT,__text) external _fsync$NOCANCEL
000000018065fea8 (__TEXT,__text) external _ftruncate
0000000180667a28 (__TEXT,__text) external _futimens
000000018065fed4 (__TEXT,__text) external _futimes
000000018276ddb0 (__DATA,__crash_info) non-external _gCRAnnotations
000000018065d424 (__TEXT,__text) external _getattrlist
000000018065ff00 (__TEXT,__text) external _getattrlistat
000000018065ff2c (__TEXT,__text) external _getattrlistbulk
0000000180673480 (__TEXT,__text) external _getaudit
000000018065ff58 (__TEXT,__text) external _getaudit_addr
000000018065ff84 (__TEXT,__text) external _getauid
000000018065ffb0 (__TEXT,__text) external _getdirentries
000000018065ffdc (__TEXT,__text) external _getdirentriesattr
0000000180660008 (__TEXT,__text) external _getdtablesize
0000000180660034 (__TEXT,__text) external _getegid
0000000180660060 (__TEXT,__text) external _getentropy
000000018066008c (__TEXT,__text) external _geteuid
00000001806600b8 (__TEXT,__text) external _getfh
00000001806600e4 (__TEXT,__text) external _getfsstat
00000001806600e4 (__TEXT,__text) external _getfsstat64
0000000180660110 (__TEXT,__text) external _getgid
000000018066013c (__TEXT,__text) external _getgroups
000000018066775c (__TEXT,__text) external _gethostuuid
0000000180665798 (__TEXT,__text) external _getiopolicy_np
0000000180660168 (__TEXT,__text) external _getitimer
000000018065d4d4 (__TEXT,__text) external _getpeername
0000000180660194 (__TEXT,__text) external _getpgid
00000001806601c0 (__TEXT,__text) external _getpgrp
000000018065d500 (__TEXT,__text) external _getpid
00000001806601ec (__TEXT,__text) external _getppid
0000000180660218 (__TEXT,__text) external _getpriority
000000018066add4 (__TEXT,__text) external _getrlimit
0000000180660244 (__TEXT,__text) external _getrusage
000000018065d57c (__TEXT,__text) external _getsgroups_np
0000000180660270 (__TEXT,__text) external _getsid
000000018065d5a8 (__TEXT,__text) external _getsockname
000000018066029c (__TEXT,__text) external _getsockopt
00000001806602c8 (__TEXT,__text) external _getuid
000000018065d65c (__TEXT,__text) external _getwgroups_np
00000001806602f4 (__TEXT,__text) external _getxattr
0000000180660320 (__TEXT,__text) external _grab_pgo_data
000000018066034c (__TEXT,__text) external _graftdmg
0000000180660378 (__TEXT,__text) external _guarded_close_np
00000001806603a4 (__TEXT,__text) external _guarded_kqueue_np
0000000180663cf4 (__TEXT,__text) external _guarded_open_dprotected_np
00000001806738d8 (__TEXT,__text) external _guarded_open_np
00000001806603d0 (__TEXT,__text) external _guarded_pwrite_np
00000001806603fc (__TEXT,__text) external _guarded_write_np
0000000180660428 (__TEXT,__text) external _guarded_writev_np
0000000180692140 (__TEXT,__cstring) non-external _hex
0000000180663d44 (__TEXT,__text) external _host_check_multiuser_mode
0000000180663d4c (__TEXT,__text) external _host_create_mach_voucher
000000018065c904 (__TEXT,__text) external _host_create_mach_voucher_trap
000000018067509c (__TEXT,__text) external _host_default_memory_manager
0000000180676c58 (__TEXT,__text) external _host_get_UNDServer
0000000180663d24 (__TEXT,__text) external _host_get_atm_diagnostic_flag
0000000180674b40 (__TEXT,__text) external _host_get_boot_info
0000000180675790 (__TEXT,__text) external _host_get_clock_control
0000000180677c9c (__TEXT,__text) external _host_get_clock_service
00000001806760f0 (__TEXT,__text) external _host_get_exception_ports
0000000180677b3c (__TEXT,__text) external _host_get_io_main
0000000180663dc4 (__TEXT,__text) external _host_get_io_master
0000000180663d3c (__TEXT,__text) external _host_get_multiuser_config_flags
0000000180675d18 (__TEXT,__text) external _host_get_special_port
0000000180677294 (__TEXT,__text) external _host_info
00000001806774b8 (__TEXT,__text) external _host_kernel_version
00000001806788ec (__TEXT,__text) external _host_lockgroup_info
000000018066417c (__TEXT,__text) external _host_page_size
0000000180674e78 (__TEXT,__text) external _host_priv_statistics
000000018067799c (__TEXT,__text) external _host_processor_info
00000001806769bc (__TEXT,__text) external _host_processor_set_priv
0000000180676838 (__TEXT,__text) external _host_processor_sets
000000018067560c (__TEXT,__text) external _host_processors
0000000180674d58 (__TEXT,__text) external _host_reboot
00000001806791ac (__TEXT,__text) external _host_register_mach_voucher_attr_manager
0000000180679340 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001806787b8 (__TEXT,__text) external _host_request_notification
0000000180676fa8 (__TEXT,__text) external _host_security_create_task_token
000000018067714c (__TEXT,__text) external _host_security_set_task_token
00000001806655f4 (__TEXT,__text) external _host_self
000000018065c7b4 (__TEXT,__text) external _host_self_trap
0000000180676b34 (__TEXT,__text) external _host_set_UNDServer
00000001806794c8 (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000180675fb8 (__TEXT,__text) external _host_set_exception_ports
0000000180679800 (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180675e84 (__TEXT,__text) external _host_set_special_port
0000000180678594 (__TEXT,__text) external _host_statistics
0000000180678a80 (__TEXT,__text) external _host_statistics64
00000001806763c4 (__TEXT,__text) external _host_swap_exception_ports
0000000180677f90 (__TEXT,__text) external _host_virtual_physical_table_info
000000018276dd88 (__DATA,__data) external _important_boost_assertion_token
00000001827ce218 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
0000000180663b6c (__TEXT,__text) non-external _internal_catch_exception_raise
000000018276dd78 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
0000000180663a40 (__TEXT,__text) non-external _internal_catch_exception_raise_state
000000018276dd70 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
0000000180663900 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
000000018276dd68 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
000000018066ae54 (__TEXT,__text) external _ioctl
0000000180660454 (__TEXT,__text) external _issetugid
000000018276e4b8 (__DATA,__bss) non-external _kAccountingThreshold
0000000180660480 (__TEXT,__text) external _kas_info
000000018066ee3c (__TEXT,__text) external _kdebug_is_enabled
000000018066f028 (__TEXT,__text) external _kdebug_signpost
000000018066f0f4 (__TEXT,__text) external _kdebug_signpost_end
000000018066f030 (__TEXT,__text) non-external _kdebug_signpost_internal
000000018066f0e4 (__TEXT,__text) external _kdebug_signpost_start
000000018066eeb0 (__TEXT,__text) external _kdebug_timestamp
000000018066eec8 (__TEXT,__text) external _kdebug_timestamp_from_absolute
000000018066eee4 (__TEXT,__text) external _kdebug_timestamp_from_continuous
000000018066ef00 (__TEXT,__text) external _kdebug_trace
000000018066ef80 (__TEXT,__text) external _kdebug_trace_string
000000018066edb8 (__TEXT,__text) external _kdebug_typefilter
000000018276e4e0 (__DATA,__bss) non-external _kdebug_typefilter.typefilter
000000018066ee9c (__TEXT,__text) external _kdebug_using_continuous_time
00000001806604ac (__TEXT,__text) external _kevent
00000001806604d8 (__TEXT,__text) external _kevent64
0000000180660504 (__TEXT,__text) external _kevent_id
0000000180660530 (__TEXT,__text) external _kevent_qos
0000000180676db8 (__TEXT,__text) external _kext_request
000000018066e8ec (__TEXT,__text) external _kill
0000000180675b70 (__TEXT,__text) external _kmod_control
0000000180675900 (__TEXT,__text) external _kmod_create
0000000180675a50 (__TEXT,__text) external _kmod_destroy
0000000180677e0c (__TEXT,__text) external _kmod_get_info
000000018067356c (__TEXT,__text) external _kpersona_alloc
00000001806735ec (__TEXT,__text) external _kpersona_dealloc
000000018067373c (__TEXT,__text) external _kpersona_find
0000000180673820 (__TEXT,__text) external _kpersona_find_by_type
0000000180673630 (__TEXT,__text) external _kpersona_get
0000000180673670 (__TEXT,__text) external _kpersona_getpath
00000001806736b4 (__TEXT,__text) external _kpersona_info
00000001806735ac (__TEXT,__text) external _kpersona_palloc
00000001806736f8 (__TEXT,__text) external _kpersona_pidinfo
000000018066055c (__TEXT,__text) external _kqueue
000000018065d898 (__TEXT,__text) external _lchown
0000000180660588 (__TEXT,__text) external _ledger
00000001806605b4 (__TEXT,__text) external _link
00000001806605e0 (__TEXT,__text) external _linkat
000000018066060c (__TEXT,__text) external _lio_listio
000000018065d8c4 (__TEXT,__text) external _listen
0000000180660638 (__TEXT,__text) external _listxattr
0000000180683b6c (__TEXT,__text) external _lock_set_create
0000000180683cd8 (__TEXT,__text) external _lock_set_destroy
00000001806681f4 (__TEXT,__text) external _log_data_as_kernel
000000018065d91c (__TEXT,__text) external _lseek
0000000180660664 (__TEXT,__text) external _lstat
0000000180660664 (__TEXT,__text) external _lstat64
000000018065c640 (__TEXT,__text) external _mach_absolute_time
000000018065c6c4 (__TEXT,__text) external _mach_absolute_time_kernel
0000000180667740 (__TEXT,__text) external _mach_approximate_time
0000000180667838 (__TEXT,__text) external _mach_boottime_usec
0000000180663848 (__TEXT,__text) external _mach_continuous_approximate_time
00000001806637d0 (__TEXT,__text) external _mach_continuous_time
000000018065c6d0 (__TEXT,__text) external _mach_continuous_time_kernel
00000001806640f4 (__TEXT,__text) external _mach_error
000000018276ddf8 (__DATA,__common) external _mach_error_full_diag
00000001806640d0 (__TEXT,__text) external _mach_error_string
0000000180663f44 (__TEXT,__text) non-external _mach_error_string_int
0000000180663dc8 (__TEXT,__text) external _mach_error_type
000000018068d1b8 (__TEXT,__text) external _mach_eventlink_associate
000000018068cef8 (__TEXT,__text) external _mach_eventlink_create
000000018068d098 (__TEXT,__text) external _mach_eventlink_destroy
000000018068d300 (__TEXT,__text) external _mach_eventlink_disassociate
000000018066798c (__TEXT,__text) external _mach_eventlink_signal
00000001806679e8 (__TEXT,__text) external _mach_eventlink_signal_wait_until
00000001806679a8 (__TEXT,__text) external _mach_eventlink_wait_until
000000018065c850 (__TEXT,__text) external _mach_generate_activity_id
000000018066aa58 (__TEXT,__text) external _mach_get_times
00000001806659ec (__TEXT,__text) external _mach_host_self
00000001806620c8 (__TEXT,__text) external _mach_host_special_port_description
0000000180744058 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
0000000180662128 (__TEXT,__text) external _mach_host_special_port_for_id
000000018276dbf0 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
0000000180664190 (__TEXT,__text) external _mach_init
000000018276e4a8 (__DATA,__bss) non-external _mach_init.mach_init_inited
00000001806641c8 (__TEXT,__text) non-external _mach_init_doit
000000018067f2a4 (__TEXT,__text) external _mach_make_memory_entry
000000018068c378 (__TEXT,__text) external _mach_make_memory_entry_64
000000018068cc40 (__TEXT,__text) external _mach_memory_entry_access_tracking
000000018068cdc0 (__TEXT,__text) external _mach_memory_entry_ownership
000000018068cae4 (__TEXT,__text) external _mach_memory_entry_purgable_control
00000001806795e8 (__TEXT,__text) external _mach_memory_info
000000018067780c (__TEXT,__text) external _mach_memory_object_memory_entry
0000000180678404 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001806644a8 (__TEXT,__text) external _mach_msg
000000018066439c (__TEXT,__text) external _mach_msg2_internal
000000018065c880 (__TEXT,__text) external _mach_msg2_trap
0000000180664798 (__TEXT,__text) external _mach_msg_destroy
00000001806648e8 (__TEXT,__text) non-external _mach_msg_destroy_port
00000001806644cc (__TEXT,__text) external _mach_msg_overwrite
000000018065c7cc (__TEXT,__text) external _mach_msg_overwrite_trap
00000001806650e8 (__TEXT,__text) external _mach_msg_priority_encode
00000001806650d8 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
000000018066511c (__TEXT,__text) external _mach_msg_priority_overide_qos
000000018066512c (__TEXT,__text) external _mach_msg_priority_qos
000000018066513c (__TEXT,__text) external _mach_msg_priority_relpri
000000018066475c (__TEXT,__text) external _mach_msg_receive
0000000180664720 (__TEXT,__text) external _mach_msg_send
0000000180664d4c (__TEXT,__text) external _mach_msg_server
0000000180664ce4 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001806650c4 (__TEXT,__text) external _mach_msg_server_importance
0000000180664a0c (__TEXT,__text) external _mach_msg_server_once
000000018065c7c0 (__TEXT,__text) external _mach_msg_trap
0000000180680144 (__TEXT,__text) external _mach_notify_dead_name
0000000180680080 (__TEXT,__text) external _mach_notify_no_senders
000000018067ffa4 (__TEXT,__text) external _mach_notify_port_deleted
000000018068000c (__TEXT,__text) external _mach_notify_port_destroyed
00000001806800e8 (__TEXT,__text) external _mach_notify_send_once
0000000180672328 (__TEXT,__text) external _mach_port_allocate
00000001806726ac (__TEXT,__text) external _mach_port_allocate_full
0000000180672324 (__TEXT,__text) external _mach_port_allocate_name
00000001806726a8 (__TEXT,__text) external _mach_port_allocate_qos
0000000180672cb8 (__TEXT,__text) external _mach_port_assert_attributes
0000000180672ad0 (__TEXT,__text) external _mach_port_construct
000000018067239c (__TEXT,__text) external _mach_port_deallocate
0000000180672398 (__TEXT,__text) external _mach_port_destroy
0000000180672768 (__TEXT,__text) external _mach_port_destruct
000000018067295c (__TEXT,__text) external _mach_port_dnrequest_info
0000000180672a14 (__TEXT,__text) external _mach_port_extract_member
0000000180672610 (__TEXT,__text) external _mach_port_extract_right
0000000180672618 (__TEXT,__text) external _mach_port_get_attributes
0000000180672a84 (__TEXT,__text) external _mach_port_get_context
00000001806723f8 (__TEXT,__text) external _mach_port_get_refs
0000000180672cb4 (__TEXT,__text) external _mach_port_get_service_port_info
000000018067247c (__TEXT,__text) external _mach_port_get_set_status
00000001806726b4 (__TEXT,__text) external _mach_port_get_srights
0000000180672b48 (__TEXT,__text) external _mach_port_guard
0000000180672ca8 (__TEXT,__text) external _mach_port_guard_with_flags
00000001806729a4 (__TEXT,__text) external _mach_port_insert_member
0000000180672598 (__TEXT,__text) external _mach_port_insert_right
0000000180672cb0 (__TEXT,__text) external _mach_port_is_connection_for_service
0000000180672960 (__TEXT,__text) external _mach_port_kernel_object
0000000180672ac8 (__TEXT,__text) external _mach_port_kobject
0000000180672acc (__TEXT,__text) external _mach_port_kobject_description
00000001806723fc (__TEXT,__text) external _mach_port_mod_refs
0000000180672480 (__TEXT,__text) external _mach_port_move_member
00000001806722ac (__TEXT,__text) external _mach_port_names
0000000180672474 (__TEXT,__text) external _mach_port_peek
0000000180672320 (__TEXT,__text) external _mach_port_rename
00000001806724f0 (__TEXT,__text) external _mach_port_request_notification
00000001806726a4 (__TEXT,__text) external _mach_port_set_attributes
0000000180672ac4 (__TEXT,__text) external _mach_port_set_context
0000000180672478 (__TEXT,__text) external _mach_port_set_mscount
0000000180672614 (__TEXT,__text) external _mach_port_set_seqno
00000001806726bc (__TEXT,__text) external _mach_port_space_basic_info
00000001806726b8 (__TEXT,__text) external _mach_port_space_info
0000000180672cac (__TEXT,__text) external _mach_port_swap_guard
00000001806722b0 (__TEXT,__text) external _mach_port_type
0000000180672bc0 (__TEXT,__text) external _mach_port_unguard
00000001806826ac (__TEXT,__text) external _mach_ports_lookup
0000000180682578 (__TEXT,__text) external _mach_ports_register
000000018065c790 (__TEXT,__text) external _mach_reply_port
0000000180665a80 (__TEXT,__text) external _mach_right_recv_construct
0000000180665b44 (__TEXT,__text) external _mach_right_recv_destruct
0000000180665bdc (__TEXT,__text) external _mach_right_send_create
0000000180665dd0 (__TEXT,__text) external _mach_right_send_once_consume
0000000180665d64 (__TEXT,__text) external _mach_right_send_once_create
0000000180665cb8 (__TEXT,__text) external _mach_right_send_release
0000000180665c44 (__TEXT,__text) external _mach_right_send_retain
000000018067283c (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001806728e8 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
0000000180667848 (__TEXT,__text) external _mach_task_is_self
00000001806659f0 (__TEXT,__text) external _mach_task_self
000000018276e490 (__DATA,__common) external _mach_task_self_
00000001806620e8 (__TEXT,__text) external _mach_task_special_port_description
0000000180744168 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
00000001806621f0 (__TEXT,__text) external _mach_task_special_port_for_id
000000018276dce8 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
00000001806659f4 (__TEXT,__text) external _mach_thread_self
0000000180662108 (__TEXT,__text) external _mach_thread_special_port_description
00000001807441c8 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
0000000180662200 (__TEXT,__text) external _mach_thread_special_port_for_id
000000018276dd48 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
000000018066ed60 (__TEXT,__text) external _mach_timebase_info
000000018276e4d4 (__DATA,__bss) non-external _mach_timebase_info.cached_info
000000018065c940 (__TEXT,__text) external _mach_timebase_info_trap
0000000180672cbc (__TEXT,__text) external _mach_vm_allocate
000000018067e744 (__TEXT,__text) external _mach_vm_behavior_set
000000018067e3ac (__TEXT,__text) external _mach_vm_copy
0000000180672d70 (__TEXT,__text) external _mach_vm_deallocate
000000018067fa90 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_init
000000018067fbb0 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_synchronize
000000018067fcd0 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
000000018067de38 (__TEXT,__text) external _mach_vm_inherit
000000018067e9fc (__TEXT,__text) external _mach_vm_machine_attribute
0000000180672eec (__TEXT,__text) external _mach_vm_map
000000018067e620 (__TEXT,__text) external _mach_vm_msync
000000018067f59c (__TEXT,__text) external _mach_vm_page_info
000000018067ecf0 (__TEXT,__text) external _mach_vm_page_query
000000018067f788 (__TEXT,__text) external _mach_vm_page_range_query
0000000180672e18 (__TEXT,__text) external _mach_vm_protect
0000000180673404 (__TEXT,__text) external _mach_vm_purgable_control
000000018067fdf0 (__TEXT,__text) external _mach_vm_range_create
0000000180673160 (__TEXT,__text) external _mach_vm_read
000000018067e0e8 (__TEXT,__text) external _mach_vm_read_list
000000018067e4cc (__TEXT,__text) external _mach_vm_read_overwrite
00000001806661b4 (__TEXT,__text) external _mach_vm_reclaim_is_available
0000000180665f4c (__TEXT,__text) external _mach_vm_reclaim_mark_free
0000000180666090 (__TEXT,__text) external _mach_vm_reclaim_mark_used
0000000180665e80 (__TEXT,__text) external _mach_vm_reclaim_ringbuffer_init
00000001806661d4 (__TEXT,__text) external _mach_vm_reclaim_synchronize
00000001806661a0 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
000000018067f074 (__TEXT,__text) external _mach_vm_region
000000018067ee58 (__TEXT,__text) external _mach_vm_region_recurse
0000000180673028 (__TEXT,__text) external _mach_vm_remap
00000001806730c4 (__TEXT,__text) external _mach_vm_remap_new
0000000180676700 (__TEXT,__text) external _mach_vm_wire
000000018067e270 (__TEXT,__text) external _mach_vm_write
000000018068db24 (__TEXT,__text) external _mach_voucher_attr_command
00000001806650c8 (__TEXT,__text) external _mach_voucher_deallocate
000000018068dd88 (__TEXT,__text) external _mach_voucher_debug_info
000000018068d8cc (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
000000018068d42c (__TEXT,__text) external _mach_voucher_extract_attr_content
0000000180672c30 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
000000018065c910 (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
000000018065c94c (__TEXT,__text) external _mach_wait_until
0000000180678e8c (__TEXT,__text) external _mach_zone_force_gc
0000000180679dd8 (__TEXT,__text) external _mach_zone_get_btlog_records
0000000180679c44 (__TEXT,__text) external _mach_zone_get_zlog_zones
0000000180678cbc (__TEXT,__text) external _mach_zone_info
0000000180679a94 (__TEXT,__text) external _mach_zone_info_for_largest_zone
0000000180679920 (__TEXT,__text) external _mach_zone_info_for_zone
000000018065c8c8 (__TEXT,__text) external _macx_backing_store_recovery
000000018065c8bc (__TEXT,__text) external _macx_backing_store_suspend
000000018065c898 (__TEXT,__text) external _macx_swapoff
000000018065c88c (__TEXT,__text) external _macx_swapon
000000018065c8b0 (__TEXT,__text) external _macx_triggers
0000000180660690 (__TEXT,__text) external _madvise
0000000180661a38 (__TEXT,__text) non-external (was a private external) _malloc
000000018276e4b0 (__DATA,__bss) non-external _master_host_port
0000000180661b90 (__TEXT,__text) non-external _memcpy
00000001806606bc (__TEXT,__text) external _memorystatus_control
00000001806606e8 (__TEXT,__text) external _memorystatus_get_level
0000000180665154 (__TEXT,__text) external _mig_allocate
00000001806653a8 (__TEXT,__text) external _mig_dealloc_reply_port
00000001806726fc (__TEXT,__text) external _mig_dealloc_special_reply_port
00000001806651b0 (__TEXT,__text) external _mig_deallocate
0000000180665314 (__TEXT,__text) external _mig_get_reply_port
00000001806726c0 (__TEXT,__text) external _mig_get_special_reply_port
0000000180665420 (__TEXT,__text) external _mig_put_reply_port
00000001806652e0 (__TEXT,__text) external _mig_reply_setup
0000000180665424 (__TEXT,__text) external _mig_strncpy
000000018066546c (__TEXT,__text) external _mig_strncpy_zerofill
0000000180660714 (__TEXT,__text) external _mincore
0000000180660740 (__TEXT,__text) external _minherit
000000018065c970 (__TEXT,__text) external _mk_timer_arm
000000018065c988 (__TEXT,__text) external _mk_timer_arm_leeway
000000018065c97c (__TEXT,__text) external _mk_timer_cancel
000000018065c958 (__TEXT,__text) external _mk_timer_create
000000018065c964 (__TEXT,__text) external _mk_timer_destroy
000000018066076c (__TEXT,__text) external _mkdir
0000000180660798 (__TEXT,__text) external _mkdirat
00000001806607c4 (__TEXT,__text) external _mkfifo
00000001806607f0 (__TEXT,__text) external _mkfifoat
000000018066081c (__TEXT,__text) external _mknod
0000000180660848 (__TEXT,__text) external _mknodat
0000000180660874 (__TEXT,__text) external _mlock
00000001806608a0 (__TEXT,__text) external _mlockall
000000018066ea88 (__TEXT,__text) external _mmap
00000001806608cc (__TEXT,__text) external _mount
000000018065ddc0 (__TEXT,__text) external _mprotect
00000001806608f8 (__TEXT,__text) external _mremap_encrypted
00000001806655e0 (__TEXT,__text) external _msg_receive
00000001806655d0 (__TEXT,__text) external _msg_rpc
00000001806655d8 (__TEXT,__text) external _msg_send
000000018065ddec (__TEXT,__text) external _msgctl
0000000180660924 (__TEXT,__text) external _msgget
0000000180660950 (__TEXT,__text) external _msgrcv
000000018065de18 (__TEXT,__text) external _msgrcv$NOCANCEL
000000018066097c (__TEXT,__text) external _msgsnd
000000018065de44 (__TEXT,__text) external _msgsnd$NOCANCEL
000000018065cc44 (__TEXT,__text) external _msgsys
000000018065de9c (__TEXT,__text) external _msync
000000018065dec8 (__TEXT,__text) external _msync$NOCANCEL
00000001806609a8 (__TEXT,__text) external _munlock
00000001806609d4 (__TEXT,__text) external _munlockall
0000000180673934 (__TEXT,__text) external _munmap
0000000180660a00 (__TEXT,__text) external _necp_client_action
0000000180660a2c (__TEXT,__text) external _necp_match_policy
0000000180660a58 (__TEXT,__text) external _necp_open
0000000180660a84 (__TEXT,__text) external _necp_session_action
0000000180660ab0 (__TEXT,__text) external _necp_session_open
0000000180660adc (__TEXT,__text) external _net_qos_guideline
0000000180660b08 (__TEXT,__text) external _netagent_trigger
0000000180681a00 (__TEXT,__text) external _netname_check_in
0000000180681e00 (__TEXT,__text) external _netname_check_out
0000000180681ba8 (__TEXT,__text) external _netname_look_up
0000000180681fa4 (__TEXT,__text) external _netname_version
0000000180667898 (__TEXT,__text) external _nfsclnt
0000000180660b34 (__TEXT,__text) external _nfssvc
000000018276dd98 (__DATA,__data) external _non_boost_assertion_token
000000018276dd90 (__DATA,__data) external _normal_boost_assertion_token
0000000180660b60 (__TEXT,__text) external _ntp_adjtime
0000000180660b8c (__TEXT,__text) external _ntp_gettime
0000000180660bb8 (__TEXT,__text) external _objc_bp_assist_cfg_np
000000018067096c (__TEXT,__text) external _open
0000000180667924 (__TEXT,__text) external _open$NOCANCEL
00000001806714c8 (__TEXT,__text) external _open_dprotected_np
00000001806709a0 (__TEXT,__text) external _openat
0000000180667958 (__TEXT,__text) external _openat$NOCANCEL
0000000180671584 (__TEXT,__text) external _openat_authenticated_np
0000000180671524 (__TEXT,__text) external _openat_dprotected_np
0000000180660be4 (__TEXT,__text) external _openbyid_np
00000001806635e4 (__TEXT,__text) external _os_buflet_get_data_address
00000001806635b4 (__TEXT,__text) external _os_buflet_get_data_length
