00000001c0a4fbfc (__TEXT,__text) non-external +[DDLog addLogger:]
00000001c0a57b2c (__TEXT,__text) non-external -[HTTPFileResponse dealloc].cold.1
00000001c0a42250 (__TEXT,__text) non-external -[HTTPFileResponse filePath]
00000001c0a418c4 (__TEXT,__text) non-external -[HTTPFileResponse initWithFilePath:forConnection:]
00000001c0a57b2c (__TEXT,__text) non-external -[HTTPFileResponse initWithFilePath:forConnection:].cold.1
00000001c0a421ec (__TEXT,__text) non-external -[HTTPFileResponse isDone]
00000001c0a5818c (__TEXT,__text) non-external -[HTTPFileResponse isDone].cold.1
00000001c0a41e1c (__TEXT,__text) non-external -[HTTPFileResponse offset]
00000001c0a57b2c (__TEXT,__text) non-external -[HTTPFileResponse offset].cold.1
00000001c0a41d98 (__TEXT,__text) non-external -[HTTPFileResponse openFileIfNeeded]
00000001c0a41c04 (__TEXT,__text) non-external -[HTTPFileResponse openFile]
00000001c0a57b2c (__TEXT,__text) non-external -[HTTPFileResponse openFile].cold.1
00000001c0a57bf4 (__TEXT,__text) non-external -[HTTPFileResponse openFile].cold.2
00000001c0a41f24 (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:]
00000001c0a57e68 (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.1
00000001c0a57f24 (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.2
00000001c0a57ff0 (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.3
00000001c0a580d0 (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.4
00000001c0a41e78 (__TEXT,__text) non-external -[HTTPFileResponse setOffset:]
00000001c0a57cc0 (__TEXT,__text) non-external -[HTTPFileResponse setOffset:].cold.1
00000001c0a57d7c (__TEXT,__text) non-external -[HTTPFileResponse setOffset:].cold.2
00000001c0a3c4e0 (__TEXT,__text) non-external -[HTTPMessage allHeaderFields]
00000001c0a3c3bc (__TEXT,__text) non-external -[HTTPMessage appendData:]
00000001c0a3c578 (__TEXT,__text) non-external -[HTTPMessage body]
00000001c0a3c36c (__TEXT,__text) non-external -[HTTPMessage dealloc]
00000001c0a3c50c (__TEXT,__text) non-external -[HTTPMessage headerField:]
00000001c0a3c1bc (__TEXT,__text) non-external -[HTTPMessage initEmptyRequest]
00000001c0a3c218 (__TEXT,__text) non-external -[HTTPMessage initRequestWithMethod:URL:version:]
00000001c0a3c2cc (__TEXT,__text) non-external -[HTTPMessage initResponseWithStatusCode:description:version:]
00000001c0a3c430 (__TEXT,__text) non-external -[HTTPMessage isHeaderComplete]
00000001c0a3c54c (__TEXT,__text) non-external -[HTTPMessage messageData]
00000001c0a3c5b0 (__TEXT,__text) non-external -[HTTPMessage message]
00000001c0a3c480 (__TEXT,__text) non-external -[HTTPMessage method]
00000001c0a3c5a4 (__TEXT,__text) non-external -[HTTPMessage setBody:]
00000001c0a3c53c (__TEXT,__text) non-external -[HTTPMessage setHeaderField:value:]
00000001c0a3c4d8 (__TEXT,__text) non-external -[HTTPMessage statusCode]
00000001c0a3c4ac (__TEXT,__text) non-external -[HTTPMessage url]
00000001c0a3c454 (__TEXT,__text) non-external -[HTTPMessage version]
00000001c0a42720 (__TEXT,__text) non-external -[HTTPRedirectResponse .cxx_destruct]
00000001c0a42548 (__TEXT,__text) non-external -[HTTPRedirectResponse contentLength]
00000001c0a426a4 (__TEXT,__text) non-external -[HTTPRedirectResponse dealloc]
00000001c0a58260 (__TEXT,__text) non-external -[HTTPRedirectResponse dealloc].cold.1
00000001c0a425c0 (__TEXT,__text) non-external -[HTTPRedirectResponse httpHeaders]
00000001c0a58260 (__TEXT,__text) non-external -[HTTPRedirectResponse httpHeaders].cold.1
00000001c0a42494 (__TEXT,__text) non-external -[HTTPRedirectResponse initWithPath:]
00000001c0a58260 (__TEXT,__text) non-external -[HTTPRedirectResponse initWithPath:].cold.1
00000001c0a425b8 (__TEXT,__text) non-external -[HTTPRedirectResponse isDone]
00000001c0a42550 (__TEXT,__text) non-external -[HTTPRedirectResponse offset]
00000001c0a4255c (__TEXT,__text) non-external -[HTTPRedirectResponse readDataOfLength:]
00000001c0a58260 (__TEXT,__text) non-external -[HTTPRedirectResponse readDataOfLength:].cold.1
00000001c0a42558 (__TEXT,__text) non-external -[HTTPRedirectResponse setOffset:]
00000001c0a42648 (__TEXT,__text) non-external -[HTTPRedirectResponse status]
00000001c0a58260 (__TEXT,__text) non-external -[HTTPRedirectResponse status].cold.1
00000001c0a52638 (__TEXT,__text) non-external -[HTTPSendFileResponse .cxx_destruct]
00000001c0a5206c (__TEXT,__text) non-external -[HTTPSendFileResponse abort]
00000001c0a591e4 (__TEXT,__text) non-external -[HTTPSendFileResponse abort].cold.1
00000001c0a522a8 (__TEXT,__text) non-external -[HTTPSendFileResponse contentLength]
00000001c0a591e4 (__TEXT,__text) non-external -[HTTPSendFileResponse contentLength].cold.1
00000001c0a525bc (__TEXT,__text) non-external -[HTTPSendFileResponse dealloc]
00000001c0a591e4 (__TEXT,__text) non-external -[HTTPSendFileResponse dealloc].cold.1
00000001c0a525b4 (__TEXT,__text) non-external -[HTTPSendFileResponse filePath]
00000001c0a51da0 (__TEXT,__text) non-external -[HTTPSendFileResponse initWithFilePath:forConnection:]
00000001c0a591e4 (__TEXT,__text) non-external -[HTTPSendFileResponse initWithFilePath:forConnection:].cold.1
00000001c0a52550 (__TEXT,__text) non-external -[HTTPSendFileResponse isDone]
00000001c0a594d8 (__TEXT,__text) non-external -[HTTPSendFileResponse isDone].cold.1
00000001c0a52304 (__TEXT,__text) non-external -[HTTPSendFileResponse offset]
00000001c0a591e4 (__TEXT,__text) non-external -[HTTPSendFileResponse offset].cold.1
00000001c0a52284 (__TEXT,__text) non-external -[HTTPSendFileResponse openFileIfNeeded]
00000001c0a520d8 (__TEXT,__text) non-external -[HTTPSendFileResponse openFile]
00000001c0a591e4 (__TEXT,__text) non-external -[HTTPSendFileResponse openFile].cold.1
00000001c0a592ac (__TEXT,__text) non-external -[HTTPSendFileResponse openFile].cold.2
00000001c0a523bc (__TEXT,__text) non-external -[HTTPSendFileResponse readHTTPDataOfLength:orLimit:]
00000001c0a59428 (__TEXT,__text) non-external -[HTTPSendFileResponse readHTTPDataOfLength:orLimit:].cold.1
00000001c0a52360 (__TEXT,__text) non-external -[HTTPSendFileResponse setOffset:]
00000001c0a59378 (__TEXT,__text) non-external -[HTTPSendFileResponse setOffset:].cold.1
00000001c0a3f94c (__TEXT,__text) non-external -[HTTPServer .cxx_destruct]
00000001c0a3dae4 (__TEXT,__text) non-external -[HTTPServer TXTRecordDictionary]
00000001c0a3eb0c (__TEXT,__text) non-external -[HTTPServer config]
00000001c0a3cc44 (__TEXT,__text) non-external -[HTTPServer connectionClass]
00000001c0a3f360 (__TEXT,__text) non-external -[HTTPServer connectionDidDie:]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer connectionDidDie:].cold.1
00000001c0a3c854 (__TEXT,__text) non-external -[HTTPServer dealloc]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer dealloc].cold.1
00000001c0a3c910 (__TEXT,__text) non-external -[HTTPServer documentRoot]
00000001c0a3d35c (__TEXT,__text) non-external -[HTTPServer domain]
00000001c0a3c698 (__TEXT,__text) non-external -[HTTPServer init]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer init].cold.1
00000001c0a3cde0 (__TEXT,__text) non-external -[HTTPServer interface]
00000001c0a3ea0c (__TEXT,__text) non-external -[HTTPServer isRunning]
00000001c0a3cf90 (__TEXT,__text) non-external -[HTTPServer listeningAddresses]
00000001c0a3ddf8 (__TEXT,__text) non-external -[HTTPServer listeningIPv4Socket]
00000001c0a3df84 (__TEXT,__text) non-external -[HTTPServer listeningIPv6Socket]
00000001c0a3d198 (__TEXT,__text) non-external -[HTTPServer listeningPort]
00000001c0a3e110 (__TEXT,__text) non-external -[HTTPServer listeningUnixSocket]
00000001c0a3d558 (__TEXT,__text) non-external -[HTTPServer name]
00000001c0a3f208 (__TEXT,__text) non-external -[HTTPServer netService:didNotPublish:]
00000001c0a3f0cc (__TEXT,__text) non-external -[HTTPServer netServiceDidPublish:]
00000001c0a3eacc (__TEXT,__text) non-external -[HTTPServer numberOfHTTPConnections]
00000001c0a3d0d8 (__TEXT,__text) non-external -[HTTPServer port]
00000001c0a3ec2c (__TEXT,__text) non-external -[HTTPServer publishBonjour]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer publishBonjour].cold.1
00000001c0a56604 (__TEXT,__text) non-external -[HTTPServer publishBonjour].cold.2
00000001c0a3d65c (__TEXT,__text) non-external -[HTTPServer publishedName]
00000001c0a3efdc (__TEXT,__text) non-external -[HTTPServer republishBonjour]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer republishBonjour].cold.1
00000001c0a3cd1c (__TEXT,__text) non-external -[HTTPServer setConnectionClass:]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer setConnectionClass:].cold.1
00000001c0a3ca2c (__TEXT,__text) non-external -[HTTPServer setDocumentRoot:]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer setDocumentRoot:].cold.1
00000001c0a3d460 (__TEXT,__text) non-external -[HTTPServer setDomain:]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer setDomain:].cold.1
00000001c0a3cee4 (__TEXT,__text) non-external -[HTTPServer setInterface:]
00000001c0a3deb8 (__TEXT,__text) non-external -[HTTPServer setListeningIPv4Socket:]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer setListeningIPv4Socket:].cold.1
00000001c0a3e044 (__TEXT,__text) non-external -[HTTPServer setListeningIPv6Socket:]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer setListeningIPv6Socket:].cold.1
00000001c0a3e1d0 (__TEXT,__text) non-external -[HTTPServer setListeningUnixSocket:]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer setListeningUnixSocket:].cold.1
00000001c0a3d888 (__TEXT,__text) non-external -[HTTPServer setName:]
00000001c0a3d290 (__TEXT,__text) non-external -[HTTPServer setPort:]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer setPort:].cold.1
00000001c0a3dbe8 (__TEXT,__text) non-external -[HTTPServer setTXTRecordDictionary:]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer setTXTRecordDictionary:].cold.1
00000001c0a3da38 (__TEXT,__text) non-external -[HTTPServer setType:]
00000001c0a3eb78 (__TEXT,__text) non-external -[HTTPServer socket:didAcceptNewSocket:]
00000001c0a3e29c (__TEXT,__text) non-external -[HTTPServer start:]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer start:].cold.1
00000001c0a3e7f8 (__TEXT,__text) non-external -[HTTPServer stop:]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer stop:].cold.1
00000001c0a3e7f0 (__TEXT,__text) non-external -[HTTPServer stop]
00000001c0a3d934 (__TEXT,__text) non-external -[HTTPServer type]
00000001c0a3eebc (__TEXT,__text) non-external -[HTTPServer unpublishBonjour]
00000001c0a56438 (__TEXT,__text) non-external -[HTTPServer unpublishBonjour].cold.1
00000001c0a56670 (__TEXT,__text) non-external -[HTTPServer unpublishBonjour].cold.2
00000001c0a34354 (__TEXT,__text) non-external -[NSData(DDData) base64Decoded]
00000001c0a34184 (__TEXT,__text) non-external -[NSData(DDData) base64Encoded]
00000001c0a340b0 (__TEXT,__text) non-external -[NSData(DDData) hexStringValue]
00000001c0a33f68 (__TEXT,__text) non-external -[NSData(DDData) md5Digest]
00000001c0a3400c (__TEXT,__text) non-external -[NSData(DDData) sha1Digest]
00000001c0a34a44 (__TEXT,__text) non-external -[NSValue(NSValueDDRangeExtensions) ddrangeCompare:]
00000001c0a34a18 (__TEXT,__text) non-external -[NSValue(NSValueDDRangeExtensions) ddrangeValue]
00000001c0a5e904 (__TEXT,__gcc_except_tab) non-external GCC_except_table105
00000001c0a5e91c (__TEXT,__gcc_except_tab) non-external GCC_except_table112
00000001c0a5e934 (__TEXT,__gcc_except_tab) non-external GCC_except_table158
00000001c0a5e948 (__TEXT,__gcc_except_tab) non-external GCC_except_table160
00000001c0a5e95c (__TEXT,__gcc_except_tab) non-external GCC_except_table186
00000001c0a5e970 (__TEXT,__gcc_except_tab) non-external GCC_except_table188
00000001c0a5e984 (__TEXT,__gcc_except_tab) non-external GCC_except_table224
00000001c0a5e998 (__TEXT,__gcc_except_tab) non-external GCC_except_table227
00000001c0a5e9c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table249
00000001c0a5e9d4 (__TEXT,__gcc_except_tab) non-external GCC_except_table268
00000001c0a5ea64 (__TEXT,__gcc_except_tab) non-external GCC_except_table274
00000001c0a5ea7c (__TEXT,__gcc_except_tab) non-external GCC_except_table29
00000001c0a5eab0 (__TEXT,__gcc_except_tab) non-external GCC_except_table39
00000001c0a5eae4 (__TEXT,__gcc_except_tab) non-external GCC_except_table55
00000001c0a5e8c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table76
00000001c0a5e8d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table80
00000001c0a5e8ec (__TEXT,__gcc_except_tab) non-external GCC_except_table87
                 (undefined) external _CC_MD5 (from libSystem)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFHTTPMessageAppendBytes (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyAllHeaderFields (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyBody (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyHeaderFieldValue (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyRequestMethod (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyRequestURL (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopySerializedMessage (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyVersion (from CFNetwork)
                 (undefined) external _CFHTTPMessageCreateEmpty (from CFNetwork)
                 (undefined) external _CFHTTPMessageCreateRequest (from CFNetwork)
                 (undefined) external _CFHTTPMessageCreateResponse (from CFNetwork)
                 (undefined) external _CFHTTPMessageGetResponseStatusCode (from CFNetwork)
                 (undefined) external _CFHTTPMessageIsHeaderComplete (from CFNetwork)
                 (undefined) external _CFHTTPMessageSetBody (from CFNetwork)
                 (undefined) external _CFHTTPMessageSetHeaderFieldValue (from CFNetwork)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithSubstring (from CoreFoundation)
                 (undefined) external _CFStringTrimWhitespace (from CoreFoundation)
                 (undefined) external _CFURLCreateStringByReplacingPercentEscapes (from CoreFoundation)
                 (undefined) external _CFUUIDCreate (from CoreFoundation)
                 (undefined) external _CFUUIDCreateString (from CoreFoundation)
00000001c0a51130 (__TEXT,__text) external _DDExtractFileNameWithoutExtension
00000001c0a347c4 (__TEXT,__text) external _DDIntersectionRange
00000001c0a34988 (__TEXT,__text) external _DDRangeCompare
00000001c0a34834 (__TEXT,__text) external _DDRangeFromString
00000001c0a347fc (__TEXT,__text) external _DDStringFromRange
00000001c0a347a0 (__TEXT,__text) external _DDUnionRange
00000001e844b8d8 (__DATA_CONST,__const) external _GCDAsyncSocketErrorDomain
00000001e844b8d0 (__DATA_CONST,__const) external _GCDAsyncSocketException
00000001e844b8e0 (__DATA_CONST,__const) external _GCDAsyncSocketQueueName
00000001e844b900 (__DATA_CONST,__const) external _GCDAsyncSocketSSLAllowsAnyRoot
00000001e844b8f0 (__DATA_CONST,__const) external _GCDAsyncSocketSSLAllowsExpiredCertificates
00000001e844b8f8 (__DATA_CONST,__const) external _GCDAsyncSocketSSLAllowsExpiredRoots
00000001e844b908 (__DATA_CONST,__const) external _GCDAsyncSocketSSLCipherSuites
00000001e844b910 (__DATA_CONST,__const) external _GCDAsyncSocketSSLClientSideAuthentication
00000001e844b928 (__DATA_CONST,__const) external _GCDAsyncSocketSSLDiffieHellmanParameters
00000001e844b920 (__DATA_CONST,__const) external _GCDAsyncSocketSSLProtocolVersionMax
00000001e844b918 (__DATA_CONST,__const) external _GCDAsyncSocketSSLProtocolVersionMin
00000001e844b8e8 (__DATA_CONST,__const) external _GCDAsyncSocketThreadName
00000001e844b930 (__DATA_CONST,__const) non-external _GlobalLoggingQueueIdentityKey
00000001c0a5c1f0 (__TEXT,__const) external _HTTPServerVersionNumber
00000001c0a5c1c0 (__TEXT,__const) external _HTTPServerVersionString
                 (undefined) external _NSClassFromString (from Foundation)
                 (undefined) external _NSFileCreationDate (from Foundation)
                 (undefined) external _NSFileHandleOperationException (from Foundation)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSFileSize (from Foundation)
                 (undefined) external _NSFileType (from Foundation)
                 (undefined) external _NSFileTypeDirectory (from Foundation)
                 (undefined) external _NSFileTypeRegular (from Foundation)
                 (undefined) external _NSKeyValueChangeNewKey (from Foundation)
                 (undefined) external _NSKeyValueChangeOldKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSRunLoopCommonModes (from CoreFoundation)
                 (undefined) external _NSSearchPathForDirectoriesInDomains (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSStringFromSelector (from Foundation)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
00000001edfdf020 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDAbstractLogger
00000001edfdf1d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDFileLogger
00000001edfdefa8 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLog
00000001edfdf188 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogFileFormatterDefault
00000001edfdf138 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogFileInfo
00000001edfdf110 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogFileManagerDefault
00000001edfdef30 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogMessage
00000001edfdef58 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLoggerNode
00000001edfdf250 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDTTYLogger
00000001edfdedf0 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncReadPacket
00000001edfdee90 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncSendfilePacket
00000001ed4d4490 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_GCDAsyncSocket
00000001ed4d4468 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_GCDAsyncSocketPreBuffer
00000001edfdeee0 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncSpecialPacket
00000001edfdee40 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncWritePacket
00000001edfdec60 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPAsyncFileResponse
00000001edfdeb20 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPAuthenticationRequest
00000001edfdeb98 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPConfig
00000001ed4d4440 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_HTTPConnection
00000001edfdeb70 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPData
00000001edfdecb0 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPDataResponse
00000001edfded00 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPDynamicFileResponse
00000001edfdf0c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPErrorResponse
00000001edfded50 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPFileResponse
00000001edfdec10 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPMessage
00000001edfdeda0 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPRedirectResponse
00000001edfdf070 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPSendFileResponse
00000001ed4d4418 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_HTTPServer
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSAssertionHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileHandle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNetService (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRunLoop (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSTimer (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001ebe6f6c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDAbstractLogger.formatter
00000001ebe6f6cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDAbstractLogger.loggerQueue
00000001ebe6f708 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.currentLogFileHandle
00000001ebe6f710 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.currentLogFileInfo
00000001ebe6f700 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.droppedMessageCount
00000001ebe6f704 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.logFileManager
00000001ebe6f6f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.maximumFileSize
00000001ebe6f6fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.rollingFrequency
00000001ebe6f70c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.rollingTimer
00000001ebe6f6f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileFormatterDefault.dateFormatter
00000001ebe6f720 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.creationDate
00000001ebe6f71c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.fileAttributes
00000001ebe6f718 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.fileName
00000001ebe6f714 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.filePath
00000001ebe6f728 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.fileSize
00000001ebe6f724 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.modificationDate
00000001ebe6f6f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileManagerDefault._logsDirectory
00000001ebe6f6ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileManagerDefault.maximumNumberOfLogFiles
00000001ebe6f6a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.file
00000001ebe6f6ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.function
00000001ebe6f6b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.lineNumber
00000001ebe6f69c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logContext
00000001ebe6f698 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logFlag
00000001ebe6f694 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logLevel
00000001ebe6f6a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logMsg
00000001ebe6f6b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.machThreadID
00000001ebe6f6c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.options
00000001ebe6f6b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.queueLabel
00000001ebe6f6c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.tag
00000001ebe6f6bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.threadName
00000001ebe6f6a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.timestamp
00000001ebe6f690 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLoggerNode.logger
00000001ebe6f68c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLoggerNode.loggerQueue
00000001ebe6f73c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.app
00000001ebe6f738 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.appLen
00000001ebe6f734 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.appName
00000001ebe6f72c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.calendar
00000001ebe6f730 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.calendarUnitFlags
00000001ebe6f748 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.pid
00000001ebe6f744 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.pidLen
00000001ebe6f740 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.processID
00000001ebe6f5a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.buffer
00000001ebe6f5c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.bufferOwner
00000001ebe6f5b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.bytesDone
00000001ebe6f5b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.maxLength
00000001ebe6f5c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.originalBufferLength
00000001ebe6f5bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.readLength
00000001ebe6f5ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.startOffset
