00000001e4c8843c (__TEXT,__text) non-external _DiToMD5
00000001e4c78d50 (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00000001e4c78b00 (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00000001e4c78c20 (__TEXT,__text) external __ZN12OSDictionary4freeEv
00000001e4c78db8 (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00000001e4c78d44 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00000001e4c78e68 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00000001e4c72b40 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00000001e4c72ec0 (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00000001e4c72e60 (__TEXT,__text) external __ZN12OSMappedFile4initEv
00000001e4c7a19c (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00000001e4c79e3c (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00000001e4c7a05c (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00000001e4c7a0c0 (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00000001e4c79ed0 (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00000001e4c79ec4 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00000001e4c79f40 (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00000001e4c731f0 (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00000001e4c73020 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00000001e4c73330 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00000001e4c73414 (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00000001e4c9b51c (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00000001e4c734e8 (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00000001e4c9b548 (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00000001e4c730ac (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00000001e4c73010 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00000001e4c73138 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00000001e4c87e64 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00000001e4c87dd0 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00000001e4c87c9c (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00000001e4c87c18 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00000001e4c8796c (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00000001e4c87c90 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00000001e4c98d04 (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00000001e4c8bdf4 (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00000001e4c6be00 (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00000001e4c8c014 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00000001e4c6e308 (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00000001e4c6e55c (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00000001e4c8bf78 (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00000001e4c6bca0 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00000001e4c6ea48 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00000001e4c6e6fc (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00000001e4c9af70 (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00000001e4c6ead4 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00000001e4c9b04c (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00000001e4c9b078 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00000001e4c6e484 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00000001e4c6e4d4 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00000001e4c9af44 (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00000001e4c6e2b4 (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00000001e4c6e020 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00000001e4c6de50 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00000001e4c6ead0 (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00000001e4c6deb0 (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00000001e4c6d944 (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00000001e4c9acdc (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00000001e4c9ad08 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00000001e4c9ad34 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00000001e4c9ad60 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00000001e4c9ad8c (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00000001e4c9adb8 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00000001e4c9ade4 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00000001e4c9ae10 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00000001e4c6eb8c (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00000001e4c6bb8c (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00000001e4c6bb98 (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00000001e4c8bcf4 (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00000001e4c8bbf4 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00000001e4c6eb94 (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00000001e4c8bc4c (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00000001e4c871d8 (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00000001e4c86c5c (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00000001e4c86d10 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00000001e4c87384 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00000001e4c87404 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00000001e4c86d14 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00000001e4c9c958 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00000001e4c87630 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00000001e4c8778c (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00000001e4c86eec (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00000001e4c9c970 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00000001e4c87798 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00000001e4c877a4 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00000001e4c86464 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00000001e4c86520 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00000001e4c870d0 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00000001e4c871d4 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00000001e4c9834c (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00000001e4c6a358 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00000001e4c6abb8 (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00000001e4c6ae84 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00000001e4c99f5c (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00000001e4c99f88 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00000001e4c6ade0 (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00000001e4c99f0c (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00000001e4c6b5b4 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00000001e4c9a228 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00000001e4c9a254 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00000001e4c9a280 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00000001e4c9a2ac (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00000001e4c9a2d8 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00000001e4c9a304 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00000001e4c6b058 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00000001e4c9a078 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00000001e4c9a0a4 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00000001e4c9a0d0 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00000001e4c9a0fc (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00000001e4c6a350 (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00000001e4c6a388 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00000001e4c75c6c (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00000001e4c7a980 (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00000001e4c9c01c (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00000001e4c7a930 (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00000001e4c9bff0 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00000001e4c7a928 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00000001e4c7a92c (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00000001e4c7a9b4 (__TEXT,__text) external __ZN15OSSerialization4freeEv
00000001e4c8c584 (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00000001e4c8c82c (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00000001e4c6ed44 (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00000001e4c8c258 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00000001e4c8c96c (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00000001e4c8c464 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00000001e4c8c8c8 (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00000001e4c6ed38 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00000001e4c6ed28 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00000001e4c8c348 (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00000001e4c8c184 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00000001e4c8c70c (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00000001e4c8c1b8 (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00000001e4c85090 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00000001e4c84668 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00000001e4c84f44 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00000001e4c84698 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00000001e4c8558c (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00000001e4c8546c (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00000001e4c9c560 (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00000001e4c853e4 (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00000001e4c9c538 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00000001e4c854bc (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00000001e4c9c588 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00000001e4c85600 (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00000001e4c84a74 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00000001e4c9c410 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00000001e4c9c438 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00000001e4c9c468 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00000001e4c9c4a4 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00000001e4c9c4d4 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00000001e4c84730 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00000001e4c9c280 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00000001e4c9c2a8 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00000001e4c9c2d0 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00000001e4c84e94 (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00000001e4c84c68 (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00000001e4c84638 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00000001e4c854b4 (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00000001e4c84da0 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00000001e4c9c510 (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00000001e4c85518 (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00000001e4c84900 (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00000001e4c9c2e8 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00000001e4c9c310 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00000001e4c9c338 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00000001e4c9c368 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00000001e4c9c3a4 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00000001e4c9c3d4 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00000001e4c846a4 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00000001e4c84b48 (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00000001e4c84288 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00000001e4c8417c (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00000001e4c843e0 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00000001e4c843dc (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00000001e4c842f8 (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00000001e4c9c1a8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00000001e4c9c1d8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00000001e4c9c214 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00000001e4c9c244 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00000001e4c858d8 (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00000001e4c856a8 (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00000001e4c859e4 (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00000001e4c85754 (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00000001e4c857d4 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00000001e4c980f0 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00000001e4c99984 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00000001e4c979c8 (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00000001e4c97b78 (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00000001e4c98210 (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00000001e4c984ec (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00000001e4c9856c (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00000001e4c98668 (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00000001e4c98da4 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00000001e4c89cf0 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00000001e4c8df5c (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00000001e4c8e0a0 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00000001e4c8e4ac (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00000001e4c8e548 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00000001e4c8e200 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00000001e4c8e330 (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00000001e4c8e604 (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00000001e4c8e6ec (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00000001e4c6fd50 (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00000001e4c9b204 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00000001e4c7154c (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00000001e4c714ec (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00000001e4c8de5c (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00000001e4c715d8 (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00000001e4c9b390 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00000001e4c8deb4 (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00000001e4c8ee28 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00000001e4c8f940 (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00000001e4c98190 (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00000001e4c86458 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00000001e4c86300 (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00000001e4c86240 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00000001e4c85ac4 (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00000001e4c85bc4 (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00000001e4c8eba8 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00000001e4c8ca64 (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00000001e4c8cc24 (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00000001e4c8e840 (__TEXT,__text) external __ZN20IOMemoryMapMetaClass3NewEP8OSObject
00000001e4c8e93c (__TEXT,__text) external __ZN20IOMemoryMapMetaClass8DispatchE5IORPC
00000001e4c97268 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass3NewEP8OSObject
00000001e4c97428 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass8DispatchE5IORPC
00000001e4c982cc (__TEXT,__text) external __ZN20OSContainerMetaClass3NewEP8OSObject
00000001e4c89e10 (__TEXT,__text) external __ZN21IODMACommandMetaClass3NewEP8OSObject
00000001e4c89f0c (__TEXT,__text) external __ZN21IODMACommandMetaClass8DispatchE5IORPC
00000001e4c8763c (__TEXT,__text) external __ZN21IOStateReporter_IVars14_getStateValueEyy29IOStateReporter_valueSelector
00000001e4c86b54 (__TEXT,__text) external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_
00000001e4c9c930 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_.cold.1
00000001e4c87258 (__TEXT,__text) external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy
00000001e4c9c988 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy.cold.1
00000001e4c86ab8 (__TEXT,__text) external __ZN21IOStateReporter_IVars17handleSwapCleanupEi
00000001e4c9c830 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.1
00000001e4c9c858 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.2
00000001e4c9c888 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.3
00000001e4c9c8c4 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.4
00000001e4c9c8f4 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.5
00000001e4c86730 (__TEXT,__text) external __ZN21IOStateReporter_IVars17handleSwapPrepareEi
00000001e4c9c788 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapPrepareEi.cold.1
00000001e4c9c7b0 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapPrepareEi.cold.2
00000001e4c87838 (__TEXT,__text) external __ZN21IOStateReporter_IVars19updateChannelValuesEi
00000001e4c9c9d8 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars19updateChannelValuesEi.cold.1
00000001e4c868f0 (__TEXT,__text) external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString
00000001e4c9c7c8 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00000001e4c9c7f0 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00000001e4c9c818 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00000001e4c87408 (__TEXT,__text) external __ZN21IOStateReporter_IVars23handleSetStateByIndicesEiiyy
00000001e4c9c9b0 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars23handleSetStateByIndicesEiiyy.cold.1
00000001e4c86df4 (__TEXT,__text) external __ZN21IOStateReporter_IVars35handleOverrideChannelStateByIndicesEiiyyy
00000001e4c86fcc (__TEXT,__text) external __ZN21IOStateReporter_IVars36handleIncrementChannelStateByIndicesEiiyyy
00000001e4c865d4 (__TEXT,__text) external __ZN21IOStateReporter_IVarsC1EP9IOService19IOReportChannelTypeytx
00000001e4c86614 (__TEXT,__text) external __ZN21IOStateReporter_IVarsC2EP9IOService19IOReportChannelTypeytx
00000001e4c86708 (__TEXT,__text) external __ZN21IOStateReporter_IVarsD0Ev
00000001e4c86704 (__TEXT,__text) external __ZN21IOStateReporter_IVarsD1Ev
00000001e4c86654 (__TEXT,__text) external __ZN21IOStateReporter_IVarsD2Ev
00000001e4c9c6b0 (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.1
00000001e4c9c6e0 (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.2
00000001e4c9c71c (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.3
00000001e4c9c74c (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.4
00000001e4c9557c (__TEXT,__text) external __ZN21IOTimerDispatchSource10SetHandlerEP8OSActionPFiP15OSMetaClassBase5IORPCE
00000001e4c95678 (__TEXT,__text) external __ZN21IOTimerDispatchSource10WakeAtTimeEyyyPFiP15OSMetaClassBase5IORPCE
00000001e4c70ad0 (__TEXT,__text) external __ZN21IOTimerDispatchSource11Cancel_ImplEU13block_pointerFvvE
