00000001e6667028 (__TEXT,__text) non-external +[AAFPromise all:]
000000020990f618 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_AAFXPCSession
000000020990f728 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_AAFXPCSessionConfig
000000020990f2d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
000000020990f0e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
000000020990f2b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
000000020990f3d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXPCListenerDelegate
000000020990f318 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
000000020990f3f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXPCListenerDelegate
000000020990f3b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXPCListenerDelegate
000000020990f3f8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_AAFService
000000020fdecb18 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFCertificateTrustValidator
000000020fdec848 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFKeychainItem
000000020fdec968 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFKeychainItemDescriptor
000000020fdec8d8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFKeychainManager
000000020fdecc38 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFPromise
000000020fdec9f8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFService
000000020fdeca88 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFXPCSession
000000020fdecba8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFXPCSessionConfig
000000020fdec7b8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AFUtilities
000000020990ee10 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
000000020990ee18 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXPCListenerDelegate
000000020fdecad0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFCertificateTrustValidator
000000020fdec800 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFKeychainItem
000000020fdec920 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFKeychainItemDescriptor
000000020fdec890 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFKeychainManager
000000020fdecbf0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFPromise
000000020fdec9b0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFService
000000020fdeca40 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFXPCSession
000000020fdecb60 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFXPCSessionConfig
000000020fdec770 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AFUtilities
000000020cb47638 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
000000020cb47698 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXPCListenerDelegate
                 (undefined) external __Unwind_Resume (from libSystem)
00000001e666710c (__TEXT,__text) non-external ___18+[AAFPromise all:]_block_invoke
00000001e66674ec (__TEXT,__text) non-external ___18+[AAFPromise all:]_block_invoke.62
00000001e6667378 (__TEXT,__text) non-external ___18+[AAFPromise all:]_block_invoke_2
00000001e6667448 (__TEXT,__text) non-external ___18+[AAFPromise all:]_block_invoke_3
00000001e66675c4 (__TEXT,__text) non-external ___18-[AAFPromise then]_block_invoke
00000001e66676e4 (__TEXT,__text) non-external ___19-[AAFPromise catch]_block_invoke
00000001e66669a4 (__TEXT,__text) non-external ___19-[AAFPromise then:]_block_invoke
00000001e6666da0 (__TEXT,__text) non-external ___20-[AAFPromise catch:]_block_invoke
00000001e6665f88 (__TEXT,__text) non-external ___21-[AAFPromise _chain:]_block_invoke
00000001e6666054 (__TEXT,__text) non-external ___21-[AAFPromise _chain:]_block_invoke_2
00000001e6664374 (__TEXT,__text) non-external ___23-[AAFXPCSession resume]_block_invoke
00000001e6664450 (__TEXT,__text) non-external ___24-[AAFXPCSession suspend]_block_invoke
00000001e66665f0 (__TEXT,__text) non-external ___25-[AAFPromise onComplete:]_block_invoke
00000001e6667654 (__TEXT,__text) non-external ___25-[AAFPromise thenOnQueue]_block_invoke
00000001e6667774 (__TEXT,__text) non-external ___26-[AAFPromise catchOnQueue]_block_invoke
00000001e6666b38 (__TEXT,__text) non-external ___27-[AAFPromise then:onQueue:]_block_invoke
00000001e6666c28 (__TEXT,__text) non-external ___27-[AAFPromise then:onQueue:]_block_invoke_2
00000001e6664a74 (__TEXT,__text) non-external ___27-[AAFXPCSession connection]_block_invoke
00000001e6664c04 (__TEXT,__text) non-external ___27-[AAFXPCSession connection]_block_invoke.57
00000001e6667dfc (__TEXT,__text) non-external ___27-[AAFXPCSession connection]_block_invoke.57.cold.1
00000001e6667da0 (__TEXT,__text) non-external ___27-[AAFXPCSession connection]_block_invoke.cold.1
00000001e6664d80 (__TEXT,__text) non-external ___27-[AAFXPCSession connection]_block_invoke_2
00000001e666451c (__TEXT,__text) non-external ___27-[AAFXPCSession invalidate]_block_invoke
00000001e6666f24 (__TEXT,__text) non-external ___28-[AAFPromise catch:onQueue:]_block_invoke
00000001e6667014 (__TEXT,__text) non-external ___28-[AAFPromise catch:onQueue:]_block_invoke_2
00000001e6665a04 (__TEXT,__text) non-external ___28-[AAFPromise initWithError:]_block_invoke
00000001e6665930 (__TEXT,__text) non-external ___28-[AAFPromise initWithValue:]_block_invoke
00000001e6660f30 (__TEXT,__text) non-external ___30+[AFUtilities isInternalBuild]_block_invoke
00000001e6665b20 (__TEXT,__text) non-external ___30-[AAFPromise _startWithBlock:]_block_invoke
00000001e6666784 (__TEXT,__text) non-external ___33-[AAFPromise onComplete:onQueue:]_block_invoke
00000001e6666870 (__TEXT,__text) non-external ___33-[AAFPromise onComplete:onQueue:]_block_invoke_2
00000001e66662a4 (__TEXT,__text) non-external ___34-[AAFPromise _placeBlock:onQueue:]_block_invoke
00000001e6666368 (__TEXT,__text) non-external ___34-[AAFPromise _placeBlock:onQueue:]_block_invoke_2
00000001e6664200 (__TEXT,__text) non-external ___35-[AAFXPCSession remoteServiceProxy]_block_invoke
00000001e6667ce8 (__TEXT,__text) non-external ___35-[AAFXPCSession remoteServiceProxy]_block_invoke.cold.1
00000001e6665c94 (__TEXT,__text) non-external ___39-[AAFPromise _completeWithValue:error:]_block_invoke
00000001e666428c (__TEXT,__text) non-external ___39-[AAFXPCSession syncRemoteServiceProxy]_block_invoke
00000001e6667d44 (__TEXT,__text) non-external ___39-[AAFXPCSession syncRemoteServiceProxy]_block_invoke.cold.1
00000001e6661cd8 (__TEXT,__text) non-external ___44-[AAFKeychainManager addKeychainItem:error:]_block_invoke
00000001e6662050 (__TEXT,__text) non-external ___47-[AAFKeychainManager updateKeychainItem:error:]_block_invoke
00000001e6661ee0 (__TEXT,__text) non-external ___52-[AAFKeychainManager addOrUpdateKeychainItem:error:]_block_invoke
00000001e6662260 (__TEXT,__text) non-external ___54-[AAFKeychainManager keychainItemForDescriptor:error:]_block_invoke
00000001e6662520 (__TEXT,__text) non-external ___55-[AAFKeychainManager keychainItemsForDescriptor:error:]_block_invoke
00000001e66626b8 (__TEXT,__text) non-external ___61-[AAFKeychainManager deleteKeychainItemsForDescriptor:error:]_block_invoke
00000001e6661cc0 (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001e6661cd0 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001e6664fb0 (__TEXT,__text) non-external ____AAFLogSystem_block_invoke
000000020990ed98 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
000000020990ed78 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
000000020fdec398 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e20_24?08"NSError"16l
000000020fdec1b8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e25_v16?0?<v?"NSError">8l
000000020fdec4b8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e27_"AAFPromise"16?0?<?>8l
000000020fdec518 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e36_"AAFPromise"16?0?<?"NSError">8l
000000020fdec4e8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e52_"AAFPromise"24?0"NSObject<OS_dispatch_queue>"816l
000000020fdec108 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
000000020fdec1e8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e20_v24?08"NSError"16l
000000020fdec3c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40s_e5_8?0l
000000020fdec488 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40s_e5_v8?0l
000000020fdec368 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e20_v24?08"NSError"16l
000000020fdec278 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e25_v16?0?<v?"NSError">8l
000000020fdec308 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e5_v8?0l
000000020fdec138 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32w40w_e5_v8?0l
000000020fdec248 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32bs40s48bs_e20_v24?08"NSError"16l
000000020fdec458 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32bs40s48s_e27_v32?0"AAFPromise"8Q16^B24l
000000020fdec338 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32bs40s48s_e5_v8?0l
000000020fdec2a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e5_v8?0l
000000020fdec3f8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48s_e8_16?08l
000000020fdec2d8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e25_v16?0?<v?"NSError">8l
000000020fdec068 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48r_e5_v8?0l
000000020fdec218 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_v8?0l
000000020fdec168 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40w48w_e5_v8?0l
000000020fdec428 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32bs40s48s_e20_v24?08"NSError"16l
000000020fdec098 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48r56r_e5_v8?0l
000000020fdec048 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020fdec0c8 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020fdec198 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020fdec0e8 (__AUTH_CONST,__const) non-external ___block_literal_global.5
00000001e6666a28 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001e6666c3c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40s
00000001e66660b8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40s48b
00000001e6666888 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40s48s
00000001e66643cc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001e6666110 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001e66663d8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00000001e6666c80 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48s
00000001e6666430 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00000001e6661d34 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48r
00000001e66622e4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48r56r
00000001e6665e0c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00000001e6664d90 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40w48w
00000001e6665ba8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00000001e6664b80 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w40w
00000001e66643d4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001e6666158 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001e6661d84 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r
00000001e6662344 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r56r
00000001e6665e50 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001e6664de0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40w48w
00000001e6665bb4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
00000001e6664bc8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w40w
                 (undefined) external ___kCFBooleanFalse (from CoreFoundation)
                 (undefined) external ___kCFBooleanTrue (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external _dispatch_assert_queue$V2 (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_group_create (from libSystem)
                 (undefined) external _dispatch_group_enter (from libSystem)
                 (undefined) external _dispatch_group_leave (from libSystem)
                 (undefined) external _dispatch_group_notify (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
000000020cb476f8 (__DATA,__bss) non-external _isInternalBuild.isInternalBuild
000000020cb47700 (__DATA,__bss) non-external _isInternalBuild.onceToken
000000020990edb8 (__DATA_CONST,__const) external _kAAFDisableCertPinningKey
000000020990edc0 (__DATA_CONST,__const) external _kAAFInternalSettingsDomain
                 (undefined) external _kCFBundleIdentifierKey (from CoreFoundation)
                 (undefined) external _kCFBundleVersionKey (from CoreFoundation)
                 (undefined) external _kSecAttrAccessGroup (from Security)
                 (undefined) external _kSecAttrAccessible (from Security)
                 (undefined) external _kSecAttrAccessibleAfterFirstUnlock (from Security)
                 (undefined) external _kSecAttrAccessibleAfterFirstUnlockThisDeviceOnly (from Security)
                 (undefined) external _kSecAttrAccessibleWhenPasscodeSetThisDeviceOnly (from Security)
                 (undefined) external _kSecAttrAccessibleWhenUnlocked (from Security)
                 (undefined) external _kSecAttrAccessibleWhenUnlockedThisDeviceOnly (from Security)
                 (undefined) external _kSecAttrAccount (from Security)
                 (undefined) external _kSecAttrIsInvisible (from Security)
                 (undefined) external _kSecAttrLabel (from Security)
                 (undefined) external _kSecAttrSecurityDomain (from Security)
                 (undefined) external _kSecAttrServer (from Security)
                 (undefined) external _kSecAttrService (from Security)
                 (undefined) external _kSecAttrSynchronizable (from Security)
                 (undefined) external _kSecClass (from Security)
                 (undefined) external _kSecClassGenericPassword (from Security)
                 (undefined) external _kSecClassIdentity (from Security)
                 (undefined) external _kSecClassInternetPassword (from Security)
                 (undefined) external _kSecClassKey (from Security)
                 (undefined) external _kSecMatchLimit (from Security)
                 (undefined) external _kSecMatchLimitAll (from Security)
                 (undefined) external _kSecMatchLimitOne (from Security)
                 (undefined) external _kSecReturnAttributes (from Security)
                 (undefined) external _kSecReturnData (from Security)
                 (undefined) external _kSecUseDataProtectionKeychain (from Security)
                 (undefined) external _kSecValueData (from Security)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_variant_has_internal_ui (from libSystem)
                 (undefined) external _proc_pidpath (from libSystem)
