00007ff80df2ad02 (__TEXT,__text) non-external _Annihilate
00007ff80df38995 (__TEXT,__text) non-external (was a private external) _get_slice_height
00007ff80df3897f (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
00007ff80df3e3f8 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80df3e12e (__TEXT,__text) non-external (was a private external) _is_format_invalid
00007ff80df3e044 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
00007ff80df3ea53 (__TEXT,__text) non-external _is_image_valid
00007ff80df3159e (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80df952f0 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80df769e0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80df76a40 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff8424014b0 (__DATA,__const) non-external _kBrotliDictionary
00007ff80df772c0 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80df76920 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80df76980 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80dfd4bc0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80df96e70 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff842401d80 (__DATA,__const) non-external _kBrotliTransforms
00007ff80df770a0 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80df95430 (__TEXT,__const) non-external _kCmdLut
00007ff80dfc8990 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80df953f0 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80dfc8970 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80df95410 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80df95420 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80df96d30 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80df96cf0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80df97520 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80df97560 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80df96c30 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80df96c10 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80df96ca0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80df96c80 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80dfc94e0 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80dfc89e0 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80dfc6540 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80dfc6620 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80df76820 (__TEXT,__const) non-external _kReverseBits
00007ff80dfcada0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80dfcaae0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80df975d0 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80dfe53d0 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80dfd53d0 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80dfa75d0 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff80dfcb360 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff80dfcb320 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00007ff80dfc6690 (__TEXT,__const) non-external _kTransformsData
00007ff80dfc7370 (__TEXT,__const) non-external _kZeroRepsBits
00007ff80dfc6870 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff80df15688 (__TEXT,__text) non-external _longest_match
00007ff80dfd0230 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff80df311dc (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
00007ff80df3b84d (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00007ff80df3b842 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00007ff80df1b410 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff80df1af80 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff80df1adc7 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00007ff80df1c36f (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00007ff80df1c1b6 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00007ff80df51d34 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00007ff80df51d94 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00007ff80df51d89 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00007ff80df51d7e (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00007ff80df51d57 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00007ff80df51630 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00007ff80df516e5 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00007ff80df3c111 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00007ff80df3c01f (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00007ff80df36e78 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00007ff80df4ded7 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00007ff80df4ca4f (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
00007ff80df4df1a (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00007ff80df4a868 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00007ff80df4def3 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00007ff80df4c96d (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
00007ff80df4df25 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00007ff80df4a72d (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00007ff80df443d4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00007ff80df4de87 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00007ff80df39ad2 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00007ff80df4dea3 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00007ff80df4deca (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00007ff80df39ab8 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00007ff80dfd1270 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00007ff80df4a772 (__TEXT,__text) non-external _lzbitmap_init_encode_state
00007ff80dfd0a70 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00007ff80df4a9a2 (__TEXT,__text) non-external _lzbitmap_process_block
00007ff80df4df32 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00007ff80dfd2270 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00007ff80dfd0270 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00007ff80df734ad (__TEXT,__text) non-external _lzfseBackendMatch
00007ff80df1791c (__TEXT,__text) non-external (was a private external) _lzfseDecode
00007ff80df1b5ee (__TEXT,__text) non-external _lzfseDecodeV1
00007ff80df730f2 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00007ff80df734ec (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00007ff80df72f23 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00007ff80df72f8e (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00007ff80df73872 (__TEXT,__text) non-external _lzfseEncodeMatches
00007ff80df72f4c (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00007ff80df7305a (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00007ff80df73591 (__TEXT,__text) non-external _lzfsePushMatch
00007ff80df17694 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00007ff80df175c2 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00007ff80df443c7 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00007ff80df656bf (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00007ff80df65629 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00007ff80df65618 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00007ff80df193f4 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00007ff80df3cf61 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00007ff80df3cdb4 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00007ff80df3cf56 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00007ff80df3dc65 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00007ff842401580 (__DATA,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00007ff80df1902f (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00007ff80df55d3f (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00007ff80df55d0b (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00007ff80df96e30 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00007ff80df96e50 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00007ff80df18f22 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00007ff80df3b1b0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00007ff80df3b1a6 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00007ff80df3b17d (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00007ff80df3b13c (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00007ff80df1759a (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00007ff80df1766e (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
00007ff80df44dfa (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
00007ff80df44dc0 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
00007ff80df762fa (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00007ff80df4c8cb (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00007ff80df4c8c3 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00007ff80df4c92b (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00007ff80df4c923 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
00007ff80df973b0 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00007ff80df17572 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00007ff80df75cae (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00007ff80dfd53c0 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00007ff80df17424 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00007ff80df174e2 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00007ff80df7585b (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
00007ff80df75be6 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
00007ff80df18ae3 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00007ff842400cb0 (__DATA,__const) non-external _lzvnDecode.opc_tbl
00007ff80df4cf7c (__TEXT,__text) non-external (was a private external) _lzvnEncode
00007ff80df4cf00 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00007ff80df2b61e (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00007ff80df2b58d (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00007ff80df2b582 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00007ff80df30aae (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00007ff80df309d8 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00007ff80df309c7 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00007ff842401f80 (__DATA,__data) non-external _lzvn_decode.opcode_table
00007ff80df194c0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00007ff80df19494 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00007ff80df4db2d (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00007ff80df4db6b (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00007ff80df4db13 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00007ff80df4c841 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00007ff80df4c8b9 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00007ff80df4c8af (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00007ff80df4c886 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00007ff80df4c864 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00007ff80df4c7f3 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00007ff80df4c81b (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00007ff80df553de (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00007ff80df553d3 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00007ff80df6cfce (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00007ff80df24554 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00007ff80df23f9c (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00007ff80df2415b (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00007ff80df24240 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00007ff80df44cd0 (__TEXT,__text) non-external (was a private external) _parse_size
00007ff80dfcb660 (__TEXT,__const) non-external _position_slot_base_position
00007ff80dfcb5e0 (__TEXT,__const) non-external _position_slot_extra_bits
00007ff80df166c6 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80df6ed97 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00007ff80df1a534 (__TEXT,__text) non-external _readHuffmanTable
00007ff80df44c24 (__TEXT,__text) non-external (was a private external) _read_expected
00007ff80df1368b (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00007ff80df167ac (__TEXT,__text) non-external _scan_tree
00007ff80df1689f (__TEXT,__text) non-external _send_tree
00007ff80df4de4e (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
00007ff80df4ddd8 (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
00007ff80df4ddef (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
00007ff80df4dda3 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
00007ff80df51d9f (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
00007ff80df51fb1 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
00007ff80df3f15b (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
00007ff80df3f6ea (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
00007ff80df38374 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
00007ff80df38593 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat$INODE64 (from libSystem)
00007ff80df54fec (__TEXT,__text) non-external _staticHuffmanTable
00007ff842401f60 (__DATA,__data) non-external _static_bl_desc
00007ff842401f40 (__DATA,__data) non-external _static_d_desc
00007ff80dfd3a30 (__TEXT,__const) non-external _static_dtree
00007ff842401f20 (__DATA,__data) non-external _static_l_desc
00007ff80dfd35b0 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ff842401e80 (__DATA,__data) non-external (was a private external) _tc_quant16
00007ff80df2b2a3 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00007ff80df2b4c5 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00007ff80df2b3c8 (__TEXT,__text) non-external _thread_pool_entry
00007ff80df2b0f5 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00007ff80df2b212 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
00007ff80df6ce3d (__TEXT,__text) external _touchpadCodecCreate
00007ff80df2b863 (__TEXT,__text) external _touchpadCodecDecodeImage
00007ff80df6cf81 (__TEXT,__text) external _touchpadCodecDestroy
00007ff80df75cbf (__TEXT,__text) external _touchpadCodecEncodeImage
00007ff80df6c57d (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
00007ff80df44c7c (__TEXT,__text) non-external (was a private external) _write_expected
00007ff80dfd4b76 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
00007ff80dfd4b70 (__TEXT,__const) non-external (was a private external) _xz_header_magic
00007ff80df75c42 (__TEXT,__text) non-external _xz_read_multi_byte
00007ff80df75bf1 (__TEXT,__text) non-external _xz_simple_crc32
00007ff80df65ae9 (__TEXT,__text) external _yzip_codec_create
00007ff80df65b17 (__TEXT,__text) external _yzip_codec_destroy
00007ff80df65b3c (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
00007ff80df3e280 (__TEXT,__text) external _yzip_image_create
00007ff80df3e3d0 (__TEXT,__text) external _yzip_image_create_with_payload
00007ff80df3ebe5 (__TEXT,__text) external _yzip_image_decode
00007ff80df3e51d (__TEXT,__text) external _yzip_image_destroy
00007ff80df3e527 (__TEXT,__text) external _yzip_image_encode
00007ff80df3ee30 (__TEXT,__text) external _yzip_image_get_descriptor
00007ff80df3eee6 (__TEXT,__text) external _yzip_image_get_max_payload_size
00007ff80df3ee95 (__TEXT,__text) external _yzip_image_get_plane_descriptor
00007ff80df3ef69 (__TEXT,__text) external _yzip_image_set_data
00007ff80df3f14e (__TEXT,__text) external _yzip_image_set_identifier
00007ff80df3f076 (__TEXT,__text) external _yzip_image_set_plane_data
00007ff80df38fad (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00007ff80df38ea1 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00007ff80df38c14 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00007ff80df39a36 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00007ff80df3949f (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00007ff80df3999a (__TEXT,__text) non-external _yzip_jobs_process
00007ff80df38bb8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00007ff80df6e639 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00007ff80df6d33c (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
00007ff80df6d24d (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
00007ff80df6d3a3 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00007ff80df6ddf7 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00007ff80df1c19c (__TEXT,__text) non-external (was a private external) _zError
00007ff842400c60 (__DATA,__const) non-external (was a private external) _z_errmsg
00007ff80df13999 (__TEXT,__text) non-external (was a private external) _zcalloc
00007ff80df17373 (__TEXT,__text) non-external (was a private external) _zcfree
00007ff80df1b7ec (__TEXT,__text) external _zero_coder_decode
00007ff80df1b8f4 (__TEXT,__text) external _zero_coder_encode
00007ff80df1ba1a (__TEXT,__text) non-external _zero_coder_init_luts
00007ff842402790 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00007ff842402890 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00007ff842403090 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00007ff842402780 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
00007ff80df1c191 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00007ff80df197ff (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00007ff80df19de4 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00007ff80dfcb480 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00007ff80dfcb440 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00007ff80df1c184 (__TEXT,__text) non-external (was a private external) _zlibVersion
00007ff80df54e5b (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00007ff80df54e50 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00007ff80df2be7e (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00007ff80df2be73 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00007ff80df4dd9d (__TEXT,__text) non-external (was a private external) _zlib_free
00007ff80df4dd75 (__TEXT,__text) non-external (was a private external) _zlib_malloc
00007ff80df17401 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00007ff80df553b0 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00007ff80df553a8 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00007ff80df553bb (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00007ff80df553a0 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00007ff80df135c5 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00007ff80df1426e (__TEXT,__text) non-external (was a private external) _zlib_stream_process
                 (undefined) external dyld_stub_binder (from libSystem)
00007ff80df1cb4b (__TEXT,__text) non-external n_loop
00007ff80df1ce3a (__TEXT,__text) non-external scalar_loop
00007ff80df1cb30 (__TEXT,__text) non-external skip_loading_tables
00007ff842401ed0 (__DATA,__data) non-external sum2_coefficients
00007ff842401ea0 (__DATA,__data) non-external sum2_coefficients_nossse3
